543_133217_000000_000000	XXX	x x x	false	5.4	7.23	20.612778
543_133217_000009_000000	"Ha!" said Pangloss to Paquette, "Providence has then brought you amongst us again, my poor child!	"Ha!" said Pangloss to Paquette, "Providence has then brought you amongst us again, my poor child!	true	285.38	293.19	20
543_133217_000009_000001	Do you know that you cost me the tip of my nose, an eye, and an ear, as you may see?	Do you know that you cost me the tip of my nose, an eye, and an ear, as you may see?	false	293.19	300.73	13
543_133217_000009_000002	What a world is this!"	What a world is this!"	false	300.77	303.39	17.193346
543_133217_000010_000000	And now this new adventure set them philosophising more than ever.	And now this new adventure set them philosophising more than ever.	true	303.39	308.47	12
543_133217_000011_000000	In the neighbourhood there lived a very famous Dervish who was esteemed the best philosopher in all Turkey, and they went to consult him. Pangloss was the speaker.	In the neighbourhood there lived a very famous Dervish who was esteemed the best philosopher in all Turkey, and they went to consult him. Pangloss was the speaker.	true	309.02	320.41	18.47472
543_133217_000012_000000	"Master," said he, "we come to beg you to tell why so strange an animal as man was made."	"Master," said he, "we come to beg you to tell why so strange an animal as man was made."	true	320.45	329.715	14
543_133217_000013_000000	"With what meddlest thou?" said the Dervish; "is it thy business?"	"With what meddlest thou?" said the Dervish; "is it thy business?"	false	329.715	335.77	14
543_133217_000014_000000	"But, reverend father," said Candide, "there is horrible evil in this world."	"But, reverend father," said Candide, "there is horrible evil in this world."	true	335.84	341.05	18
543_133217_000015_000000	"What signifies it," said the Dervish, "whether there be evil or good? When his highness sends a ship to Egypt, does he trouble his head whether the mice on board are at their ease or not?"	"What signifies it," said the Dervish, "whether there be evil or good? When his highness sends a ship to Egypt, does he trouble his head whether the mice on board are at their ease or not?"	true	341.12	355.87	15
543_133217_000016_000000	"What, then, must we do?" said Pangloss.	"What, then, must we do?" said Pangloss.	true	355.94	358.995	19.70301
543_133217_000017_000000	"Hold your tongue," answered the Dervish.	"Hold your tongue," answered the Dervish.	true	358.995	361.14	21
543_133217_000018_000000	"I was in hopes," said Pangloss, "that I should reason with you a little about causes and effects, about the best of possible worlds, the origin of evil, the nature of the soul, and the pre-established harmony."	"I was in hopes," said Pangloss, "that I should reason with you a little about causes and effects, about the best of possible worlds, the origin of evil, the nature of the soul, and the pre established harmony."	true	361.14	376.965	14
543_133217_000019_000000	At these words, the Dervish shut the door in their faces.	At these words, the Dervish shut the door in their faces.	true	376.965	381.34	16.42975
543_133217_000020_000000	During this conversation, the news was spread that two Viziers and the Mufti had been strangled at Constantinople, and that several of their friends had been impaled.	During this conversation, the news was spread that two Viziers and the Mufti had been strangled at Constantinople, and that several of their friends had been impaled.	false	381.65	392.865	14
543_133217_000020_000001	This catastrophe made a great noise for some hours.	This catastrophe made a great noise for some hours.	true	392.865	396.465	15
543_133217_000020_000002	Pangloss, Candide, and Martin, returning to the little farm, saw a good old man taking the fresh air at his door under an orange bower. Pangloss, who was as inquisitive as he was argumentative, asked the old man what was the name of the strangled Mufti.	Pangloss, Candide, and Martin, returning to the little farm, saw a good old man taking the fresh air at his door under an orange bower. Pangloss, who was as inquisitive as he was argumentative, asked the old man what was the name of the strangled Mufti.	false	396.465	413.89	14
543_133217_000021_000000	"I do not know," answered the worthy man, "and I have not known the name of any Mufti, nor of any Vizier.	"I do not know," answered the worthy man, "and I have not known the name of any Mufti, nor of any Vizier.	true	413.96	422.88	13
543_133217_000021_000001	I am entirely ignorant of the event you mention; I presume in general that they who meddle with the administration of public affairs die sometimes miserably, and that they deserve it; but I never trouble my head about what is transacting at Constantinople; I content myself with sending there for sale the fruits of the garden which I cultivate."	I am entirely ignorant of the event you mention; I presume in general that they who meddle with the administration of public affairs die sometimes miserably, and that they deserve it; but I never trouble my head about what is transacting at Constantinople; I content myself with sending there for sale the fruits of the garden which I cultivate."	false	422.88	448.24	16
543_133217_000022_000000	Having said these words, he invited the strangers into his house; his two sons and two daughters presented them with several sorts of sherbet, which they made themselves, with Kaimak enriched with the candied-peel of citrons, with oranges, lemons, pine-apples, pistachio-nuts, and Mocha coffee unadulterated with the bad coffee of Batavia or the American islands.	Having said these words, he invited the strangers into his house; his two sons and two daughters presented them with several sorts of sherbet, which they made themselves, with Kaimak enriched with the candied peel of citrons, with oranges, lemons, pine apples, pistachio nuts, and Mocha coffee unadulterated with the bad coffee of Batavia or the American islands.	true	448.43	474.075	14
543_133217_000022_000001	After which the two daughters of the honest Mussulman perfumed the strangers' beards.	After which the two daughters of the honest Mussulman perfumed the strangers' beards.	true	474.075	480.25	18
543_133217_000023_000000	"You must have a vast and magnificent estate," said Candide to the Turk.	"You must have a vast and magnificent estate," said Candide to the Turk.	false	480.35	485.4	20
543_133217_000024_000000	"I have only twenty acres," replied the old man; "I and my children cultivate them; our labour preserves us from three great evils--weariness, vice, and want."	"I have only twenty acres," replied the old man; "I and my children cultivate them; our labour preserves us from three great evils-weariness, vice, and want."	false	485.4	499.36	20.42804
543_133217_000025_000000	Candide, on his way home, made profound reflections on the old man's conversation.	Candide, on his way home, made profound reflections on the old man's conversation.	true	499.88	506.235	15
543_133217_000026_000000	"This honest Turk," said he to Pangloss and Martin, "seems to be in a situation far preferable to that of the six kings with whom we had the honour of supping."	"This honest Turk," said he to Pangloss and Martin, "seems to be in a situation far preferable to that of the six kings with whom we had the honour of supping."	true	506.235	517.33	15
543_133217_000027_000000	"Grandeur," said Pangloss, "is extremely dangerous according to the testimony of philosophers.	"Grandeur," said Pangloss, "is extremely dangerous according to the testimony of philosophers.	true	517.43	524.35	14
543_133217_000027_000001	For, in short, Eglon, King of Moab, was assassinated by Ehud; Absalom was hung by his hair, and pierced with three darts; King Nadab, the son of Jeroboam, was killed by Baasa; King Ela by Zimri; Ahaziah by Jehu; Athaliah by Jehoiada; the Kings Jehoiakim, Jeconiah, and Zedekiah, were led into captivity.	For, in short, Eglon, King of Moab, was assassinated by Ehud; Absalom was hung by his hair, and pierced with three darts; King Nadab, the son of Jeroboam, was killed by b a a s a; King Ela by Zimri; Ahaziah by Jehu; Athaliah by Jehoiada; the Kings Jehoiakim, Jeconiah, and Zedekiah, were led into captivity.	false	524.36	550.035	13
543_133217_000027_000002	You know how perished Croesus, Astyages, Darius, Dionysius of Syracuse, Pyrrhus, Perseus, Hannibal, Jugurtha, Ariovistus, Caesar, Pompey, Nero, Otho, Vitellius, Domitian, Richard II. of England, Edward II., Henry VI., Richard III., Mary Stuart, Charles I., the three Henrys of France, the Emperor Henry IV.!	You know how perished Croesus, Astyages, Darius, Dionysius of Syracuse, Pyrrhus, Perseus, Hannibal, Jugurtha, Ariovistus, Caesar, Pompey, Nero, Otho, Vitellius, Domitian, Richard the second. of England, Edward the second., Henry the sixth., Richard the third., Mary Stuart, Charles the first, the three Henrys of France, the Emperor Henry the fourth.!	false	550.035	575.895	15
543_133217_000027_000003	You know----"	You know----"	true	575.895	576.885	9
543_133217_000028_000000	"I know also," said Candide, "that we must cultivate our garden."	"I know also," said Candide, "that we must cultivate our garden."	false	576.885	583.21	16
543_133217_000029_000000	"You are right," said Pangloss, "for when man was first placed in the Garden of Eden, he was put there _ut operaretur eum_, that he might cultivate it; which shows that man was not born to be idle."	"You are right," said Pangloss, "for when man was first placed in the Garden of Eden, he was put there underscore ut operaretur e u m underscore, that he might cultivate it; which shows that man was not born to be idle."	false	583.46	597.49	17
543_133217_000030_000000	"Let us work," said Martin, "without disputing; it is the only way to render life tolerable."	"Let us work," said Martin, "without disputing; it is the only way to render life tolerable."	false	597.56	604.93	21.93256
543_133217_000031_000000	The whole little society entered into this laudable design, according to their different abilities.	The whole little society entered into this laudable design, according to their different abilities.	true	605.06	612.43	13
543_133217_000031_000001	Their little plot of land produced plentiful crops.	Their little plot of land produced plentiful crops.	true	612.44	616.18	22.77731
543_133217_000031_000002	Cunegonde was, indeed, very ugly, but she became an excellent pastry cook; Paquette worked at embroidery; the old woman looked after the linen.	Cunegonde was, indeed, very ugly, but she became an excellent pastry cook; Paquette worked at embroidery; the old woman looked after the linen.	false	616.22	626.88	19
543_133217_000031_000003	They were all, not excepting Friar Giroflee, of some service or other; for he made a good joiner, and became a very honest man.	They were all, not excepting Friar Giroflee, of some service or other; for he made a good joiner, and became a very honest man.	true	626.88	636.46	15
543_133217_000032_000000	Pangloss sometimes said to Candide:	Pangloss sometimes said to Candide:	true	636.68	639.675	17
543_133217_000033_000000	"There is a concatenation of events in this best of all possible worlds: for if you had not been kicked out of a magnificent castle for love of Miss Cunegonde: if you had not been put into the Inquisition: if you had not walked over America: if you had not stabbed the Baron: if you had not lost all your sheep from the fine country of El Dorado: you would not be here eating preserved citrons and pistachio-nuts."	"There is a concatenation of events in this best of all possible worlds: for if you had not been kicked out of a magnificent castle for love of Miss Cunegonde: if you had not been put into the Inquisition: if you had not walked over America: if you had not stabbed the Baron: if you had not lost all your sheep from the fine country of El Dorado: you would not be here eating preserved citrons and pistachio nuts."	false	639.675	671.02	16
543_133217_000034_000000	"All that is very well," answered Candide, "but let us cultivate our garden."	"All that is very well," answered Candide, "but let us cultivate our garden."	true	671.15	676.86	21.915028
543_133217_000035_000000	FOOTNOTES:	FOOTNOTES:	false	676.86	678.21	100
543_133217_000036_000000	[1] P. 2.	[one] p two.	false	678.21	681.66	23.480381
543_133217_000036_000001	The name Pangloss is derived from two Greek words signifying "all" and "language."	The name Pangloss is derived from two Greek words signifying "all" and "language."	false	681.66	689.07	20.227407
543_133217_000037_000000	[2] P. 8.	[two] p eight.	false	689.07	689.985	7
543_133217_000037_000001	The Abares were a tribe of Tartars settled on the shores of the Danube, who later dwelt in part of Circassia.	The Abares were a tribe of Tartars settled on the shores of the Danube, who later dwelt in part of Circassia.	false	689.985	710.31	19.553
