2269_88761_000000_000000	Poor Zaluski!	Poor Zaluski!	false	0	0.48	-20
2269_88761_000012_000002	I want just to speak to him about the choir treat."	I want just to speak to him about the choir treat."	true	394.455	397.6	25.623146
2269_88761_000013_000000	"Oh, he is sure to be in by this time," said Lena.	"Oh, he is sure to be in by this time," said Lena.	false	398.15	402.16	25.119223
2269_88761_000014_000000	And they walked home together.	And they walked home together.	true	402.35	404.32	24.971098
2269_88761_000015_000000	"I am so glad to have this chance of speaking to you," she began rather nervously.	"I am so glad to have this chance of speaking to you," she began rather nervously.	true	405.02	410.77	21.61247
2269_88761_000015_000001	"I wanted particularly to ask your advice."	"I wanted particularly to ask your advice."	true	410.93	413.92	24.803423
2269_88761_000016_000000	Mr. Blackthorne, being human and young, was not unnaturally flattered by this remark.	mr Blackthorne, being human and young, was not unnaturally flattered by this remark.	true	414.65	421.42	24.85762
2269_88761_000016_000001	True, he was becoming well accustomed to this sort of thing, since the ladies of Muddleton were far more fond of seeking advice from the young and good-looking curate than from the elderly and experienced rector.	True, he was becoming well accustomed to this sort of thing, since the ladies of Muddleton were far more fond of seeking advice from the young and good looking curate than from the elderly and experienced rector.	true	421.73	434.35	22
2269_88761_000016_000002	They said it was because Mr. Blackthorne was so much more sympathetic, and understood the difficulties of the day so much better; but I think they unconsciously deceived themselves, for the rector was one of a thousand, and the curate, though he had in him the makings of a fine man, was as yet altogether crude and young.	They said it was because mr Blackthorne was so much more sympathetic, and understood the difficulties of the day so much better; but I think they unconsciously deceived themselves, for the rector was one of a thousand, and the curate, though he had in him the makings of a fine man, was as yet altogether crude and young.	false	434.6	457.99	23.178679
2269_88761_000017_000000	"Was it about anything in your district?" he asked, devoutly hoping that she was not going to propound some difficult question about the origin of evil, or any other obscure subject.	"Was it about anything in your district?" he asked, devoutly hoping that she was not going to propound some difficult question about the origin of evil, or any other obscure subject.	false	458.6	470.98	23.226995
2269_88761_000017_000001	For though he liked the honour of being consulted, he did not always like the trouble it involved, and he remembered with a shudder that Miss Houghton had once asked him his opinion about the 'Ethical Concept of the Good.'	For though he liked the honour of being consulted, he did not always like the trouble it involved, and he remembered with a shudder that Miss Houghton had once asked him his opinion about the 'Ethical Concept of the Good.'	true	471.29	485.32	22.578707
2269_88761_000018_000000	"It was only that I was so troubled about something Mrs. O'Reilly has just told me," said Lena Houghton.	"It was only that I was so troubled about something mrs O'Reilly has just told me," said Lena Houghton.	true	485.9	491.92	21
2269_88761_000018_000001	"You won't tell any one that I told you?"	"You won't tell any one that I told you?"	true	491.96	494.77	24.392073
2269_88761_000019_000000	"On no account," said the curate, warmly.	"On no account," said the curate, warmly.	true	495.59	498.64	27.690372
2269_88761_000020_000000	"Well, you know Mr. Zaluski, and how the Morleys have taken him up?"	"Well, you know mr Zaluski, and how the Morleys have taken him up?"	true	499.37	504.22	20.849134
2269_88761_000021_000000	"Every one has taken him up," said the curate, with the least little touch of resentment in his tone.	"Every one has taken him up," said the curate, with the least little touch of resentment in his tone.	true	504.53	510.49	24.59557
2269_88761_000021_000001	"I knew that the Morleys were his special friends; I imagine that he admires Miss Morley."	"I knew that the Morleys were his special friends; I imagine that he admires Miss Morley."	true	510.68	516.37	22.44274
2269_88761_000022_000000	"Yes, every one thinks they are either engaged or on the brink of it.	"Yes, every one thinks they are either engaged or on the brink of it.	true	516.92	521.02	25.487888
2269_88761_000022_000001	And oh, Mr. Blackthorne, can't you or somebody put a stop to it, for it seems such a dreadful fate for poor Gertrude?"	And oh, mr Blackthorne, can't you or somebody put a stop to it, for it seems such a dreadful fate for poor Gertrude?"	false	521.24	530.64	23.157394
2269_88761_000023_000000	The curate looked startled.	The curate looked startled.	true	530.64	532.57	25.930862
2269_88761_000024_000000	"Why, I don't profess to like Mr. Zaluski," he said.	"Why, I don't profess to like mr Zaluski," he said.	true	532.85	537.13	23.11131
2269_88761_000024_000001	"But I don't know anything exactly against him."	"But I don't know anything exactly against him."	true	537.29	539.92	25.54004
2269_88761_000025_000000	"But I do.	"But I do.	true	540.41	541.575	24.266983
2269_88761_000025_000001	Mrs. O'Reilly has just been telling me."	mrs O'Reilly has just been telling me."	true	541.575	543.97	19.862766
2269_88761_000026_000000	"What did she tell you?" he asked with some curiosity.	"What did she tell you?" he asked with some curiosity.	true	544.25	547.81	20.983715
2269_88761_000027_000000	"Why, she has found out that he is really a Nihilist--just think of a Nihilist going about loose like this, and playing tennis at the rectory and all the good houses!	"Why, she has found out that he is really a Nihilist-just think of a Nihilist going about loose like this, and playing tennis at the rectory and all the good houses!	true	548.42	559.33	20.9752
2269_88761_000027_000001	And not only that, but she says he is altogether a dangerous, unprincipled man with a dreadful temper.	And not only that, but she says he is altogether a dangerous, unprincipled man with a dreadful temper.	true	559.64	567.28	23.18467
2269_88761_000027_000002	You can't think how unhappy she is about poor Gertrude, and so am I, for we were at school together and have always been friends."	You can't think how unhappy she is about poor Gertrude, and so am I, for we were at school together and have always been friends."	true	567.44	575.56	21.966496
2269_88761_000028_000000	"I am very sorry to hear about it," said Mr. Blackthorne, "but I don't see that anything can be done.	"I am very sorry to hear about it," said mr Blackthorne, "but I don't see that anything can be done.	true	576.11	582.7	24.253223
2269_88761_000028_000001	You see, one does not like to interfere in these sort of things.	You see, one does not like to interfere in these sort of things.	true	582.77	586.87	20.12068
2269_88761_000028_000002	It seems officious rather, and meddlesome."	It seems officious rather, and meddlesome."	true	586.94	589.93	20.50124
2269_88761_000029_000000	"Yes, that is the worst of it," she replied, with a sigh.	"Yes, that is the worst of it," she replied, with a sigh.	true	590.63	594.94	24.605135
2269_88761_000029_000001	"I suppose we can do nothing.	"I suppose we can do nothing.	true	595.16	597.55	22.269186
2269_88761_000029_000002	Still, it has been a great relief just to tell you about it and get it off my mind.	Still, it has been a great relief just to tell you about it and get it off my mind.	true	597.95	603.25	23
2269_88761_000029_000003	I suppose we can only hope that something may put a stop to it all--we must just leave it to chance."	I suppose we can only hope that something may put a stop to it all-we must just leave it to chance."	true	603.53	610.6	22.890965
2269_88761_000030_000000	This sentiment amused me not a little.	This sentiment amused me not a little.	true	611.6	614.77	21.354126
2269_88761_000030_000001	Leave it to chance indeed!	Leave it to chance indeed!	true	614.84	617.2	22.890182
2269_88761_000030_000002	Had she not caused me to grow stronger and larger by every word she uttered? And had not the conversation revealed to me Mr. Blackthorn's one vulnerable part?	Had she not caused me to grow stronger and larger by every word she uttered? And had not the conversation revealed to me mr Blackthorn's one vulnerable part?	true	617.45	630.19	22.628328
2269_88761_000030_000003	I knew well enough that I should be able to dominate his thoughts as I had done hers.	I knew well enough that I should be able to dominate his thoughts as I had done hers.	true	630.77	635.71	23
2269_88761_000030_000004	Finding me burdensome, she had passed me on to somebody else with additions that vastly increased my working powers, and then she talked of leaving it to chance!	Finding me burdensome, she had passed me on to somebody else with additions that vastly increased my working powers, and then she talked of leaving it to chance!	true	635.99	647.71	21.720192
2269_88761_000030_000005	The way in which mortals practise pious frauds on themselves is really delightful!	The way in which mortals practise pious frauds on themselves is really delightful!	true	648.23	654.37	21
2269_88761_000030_000006	And yet Lena Houghton was a good sort of girl, and had from her childhood repeated the catechism words which proclaim that, "My duty to my neighbour is to love him as myself . . .	And yet Lena Houghton was a good sort of girl, and had from her childhood repeated the catechism words which proclaim that, "My duty to my neighbour is to love him as myself . . .	true	654.83	667.39	23.53597
2269_88761_000030_000007	To keep my tongue from evil-speaking, lying, and slandering." What is more, she took great pains to teach these words to a big class of Sunday School children, and went, rain or shine, to spend two hours each Sunday in a stuffy school- room for that purpose.	To keep my tongue from evil speaking, lying, and slandering." What is more, she took great pains to teach these words to a big class of Sunday School children, and went, rain or shine, to spend two hours each Sunday in a stuffy school room for that purpose.	true	667.4	686.41	21.340498
2269_88761_000030_000008	It was strange that she should be so ready to believe evil of her neighbour, and so eager to spread the story.	It was strange that she should be so ready to believe evil of her neighbour, and so eager to spread the story.	true	686.99	695.71	23.55569
2269_88761_000030_000009	But my progenitor is clever, and doubtless knows very well, whom to select as his tools.	But my progenitor is clever, and doubtless knows very well, whom to select as his tools.	true	696.02	703.78	21.195374
2269_88761_000031_000000	By this time they had reached a comfortable-looking, red-brick house with white stone facings, and in the discussion of the arrangements for the choir treat I was entirely forgotten.	By this time they had reached a comfortable looking, red brick house with white stone facings, and in the discussion of the arrangements for the choir treat I was entirely forgotten.	false	704.78	728.16	22.623995
