2269_88761_000001_000000	MY SECOND STAGE	MY SECOND STAGE
2269_88761_000012_000002	I want just to speak to him about the choir treat."	I want just to speak to him about the choir treat."
2269_88761_000014_000000	And they walked home together.	And they walked home together.
2269_88761_000015_000000	"I am so glad to have this chance of speaking to you," she began rather nervously.	"I am so glad to have this chance of speaking to you," she began rather nervously.
2269_88761_000015_000001	"I wanted particularly to ask your advice."	"I wanted particularly to ask your advice."
2269_88761_000016_000000	Mr. Blackthorne, being human and young, was not unnaturally flattered by this remark.	mr Blackthorne, being human and young, was not unnaturally flattered by this remark.
2269_88761_000016_000001	True, he was becoming well accustomed to this sort of thing, since the ladies of Muddleton were far more fond of seeking advice from the young and good-looking curate than from the elderly and experienced rector.	True, he was becoming well accustomed to this sort of thing, since the ladies of Muddleton were far more fond of seeking advice from the young and good looking curate than from the elderly and experienced rector.
2269_88761_000017_000001	For though he liked the honour of being consulted, he did not always like the trouble it involved, and he remembered with a shudder that Miss Houghton had once asked him his opinion about the 'Ethical Concept of the Good.'	For though he liked the honour of being consulted, he did not always like the trouble it involved, and he remembered with a shudder that Miss Houghton had once asked him his opinion about the 'Ethical Concept of the Good.'
2269_88761_000018_000000	"It was only that I was so troubled about something Mrs. O'Reilly has just told me," said Lena Houghton.	"It was only that I was so troubled about something mrs O'Reilly has just told me," said Lena Houghton.
2269_88761_000018_000001	"You won't tell any one that I told you?"	"You won't tell any one that I told you?"
2269_88761_000019_000000	"On no account," said the curate, warmly.	"On no account," said the curate, warmly.
2269_88761_000020_000000	"Well, you know Mr. Zaluski, and how the Morleys have taken him up?"	"Well, you know mr Zaluski, and how the Morleys have taken him up?"
2269_88761_000021_000000	"Every one has taken him up," said the curate, with the least little touch of resentment in his tone.	"Every one has taken him up," said the curate, with the least little touch of resentment in his tone.
2269_88761_000021_000001	"I knew that the Morleys were his special friends; I imagine that he admires Miss Morley."	"I knew that the Morleys were his special friends; I imagine that he admires Miss Morley."
2269_88761_000022_000000	"Yes, every one thinks they are either engaged or on the brink of it.	"Yes, every one thinks they are either engaged or on the brink of it.
2269_88761_000023_000000	The curate looked startled.	The curate looked startled.
2269_88761_000024_000000	"Why, I don't profess to like Mr. Zaluski," he said.	"Why, I don't profess to like mr Zaluski," he said.
2269_88761_000024_000001	"But I don't know anything exactly against him."	"But I don't know anything exactly against him."
2269_88761_000025_000000	"But I do.	"But I do.
2269_88761_000026_000000	"What did she tell you?" he asked with some curiosity.	"What did she tell you?" he asked with some curiosity.
2269_88761_000027_000000	"Why, she has found out that he is really a Nihilist--just think of a Nihilist going about loose like this, and playing tennis at the rectory and all the good houses!	"Why, she has found out that he is really a Nihilist-just think of a Nihilist going about loose like this, and playing tennis at the rectory and all the good houses!
2269_88761_000027_000001	And not only that, but she says he is altogether a dangerous, unprincipled man with a dreadful temper.	And not only that, but she says he is altogether a dangerous, unprincipled man with a dreadful temper.
2269_88761_000027_000002	You can't think how unhappy she is about poor Gertrude, and so am I, for we were at school together and have always been friends."	You can't think how unhappy she is about poor Gertrude, and so am I, for we were at school together and have always been friends."
2269_88761_000028_000000	"I am very sorry to hear about it," said Mr. Blackthorne, "but I don't see that anything can be done.	"I am very sorry to hear about it," said mr Blackthorne, "but I don't see that anything can be done.
2269_88761_000028_000001	You see, one does not like to interfere in these sort of things.	You see, one does not like to interfere in these sort of things.
2269_88761_000028_000002	It seems officious rather, and meddlesome."	It seems officious rather, and meddlesome."
2269_88761_000029_000000	"Yes, that is the worst of it," she replied, with a sigh.	"Yes, that is the worst of it," she replied, with a sigh.
2269_88761_000029_000001	"I suppose we can do nothing.	"I suppose we can do nothing.
2269_88761_000029_000002	Still, it has been a great relief just to tell you about it and get it off my mind.	Still, it has been a great relief just to tell you about it and get it off my mind.
2269_88761_000029_000003	I suppose we can only hope that something may put a stop to it all--we must just leave it to chance."	I suppose we can only hope that something may put a stop to it all-we must just leave it to chance."
2269_88761_000030_000000	This sentiment amused me not a little.	This sentiment amused me not a little.
2269_88761_000030_000001	Leave it to chance indeed!	Leave it to chance indeed!
2269_88761_000030_000002	Had she not caused me to grow stronger and larger by every word she uttered? And had not the conversation revealed to me Mr. Blackthorn's one vulnerable part?	Had she not caused me to grow stronger and larger by every word she uttered? And had not the conversation revealed to me mr Blackthorn's one vulnerable part?
2269_88761_000030_000003	I knew well enough that I should be able to dominate his thoughts as I had done hers.	I knew well enough that I should be able to dominate his thoughts as I had done hers.
2269_88761_000030_000004	Finding me burdensome, she had passed me on to somebody else with additions that vastly increased my working powers, and then she talked of leaving it to chance!	Finding me burdensome, she had passed me on to somebody else with additions that vastly increased my working powers, and then she talked of leaving it to chance!
2269_88761_000030_000005	The way in which mortals practise pious frauds on themselves is really delightful!	The way in which mortals practise pious frauds on themselves is really delightful!
2269_88761_000030_000006	And yet Lena Houghton was a good sort of girl, and had from her childhood repeated the catechism words which proclaim that, "My duty to my neighbour is to love him as myself . . .	And yet Lena Houghton was a good sort of girl, and had from her childhood repeated the catechism words which proclaim that, "My duty to my neighbour is to love him as myself . . .
2269_88761_000030_000007	To keep my tongue from evil-speaking, lying, and slandering." What is more, she took great pains to teach these words to a big class of Sunday School children, and went, rain or shine, to spend two hours each Sunday in a stuffy school- room for that purpose.	To keep my tongue from evil speaking, lying, and slandering." What is more, she took great pains to teach these words to a big class of Sunday School children, and went, rain or shine, to spend two hours each Sunday in a stuffy school room for that purpose.
2269_88761_000030_000008	It was strange that she should be so ready to believe evil of her neighbour, and so eager to spread the story.	It was strange that she should be so ready to believe evil of her neighbour, and so eager to spread the story.
2269_88761_000030_000009	But my progenitor is clever, and doubtless knows very well, whom to select as his tools.	But my progenitor is clever, and doubtless knows very well, whom to select as his tools.
