8619_291379_000000_000000	XXIV	twenty four	false	18.6	20.07	27.15764
8619_291379_000002_000003	This verse I have said for thee, wise from lapsed winters.	This verse I have said for thee, wise from lapsed winters.	false	252.53	256.47	11
8619_291379_000002_000004	Wondrous seems how to sons of men Almighty God in the strength of His spirit sendeth wisdom, estate, high station: He swayeth all things. Whiles He letteth right lustily fare the heart of the hero of high-born race, -- in seat ancestral assigns him bliss, his folk's sure fortress in fee to hold, puts in his power great parts of the earth, empire so ample, that end of it this wanter-of-wisdom weeneth none. So he waxes in wealth, nowise can harm him illness or age; no evil cares shadow his spirit; no sword-hate threatens from ever an enemy: all the world wends at his will, no worse he knoweth, till all within him obstinate pride waxes and wakes while the warden slumbers, the spirit's sentry; sleep is too fast which masters his might, and the murderer nears, stealthily shooting the shafts from his bow!	Wondrous seems how to sons of men Almighty God in the strength of His spirit sendeth wisdom, estate, high station: He swayeth all things. Whiles He letteth right lustily fare the heart of the hero of high born race, -- in seat ancestral assigns him bliss, his folk's sure fortress in fee to hold, puts in his power great parts of the earth, empire so ample, that end of it this wanter of wisdom weeneth none. So he waxes in wealth, nowise can harm him illness or age; no evil cares shadow his spirit; no sword hate threatens from ever an enemy: all the world wends at his will, no worse he knoweth, till all within him obstinate pride waxes and wakes while the warden slumbers, the spirit's sentry; sleep is too fast which masters his might, and the murderer nears, stealthily shooting the shafts from his bow!	false	256.47	318.52	18
8619_291379_000003_000000	XXV	twenty five	true	318.95	320.14	27.221893
8619_291379_000004_000000	"UNDER harness his heart then is hit indeed by sharpest shafts; and no shelter avails from foul behest of the hellish fiend.	"UNDER harness his heart then is hit indeed by sharpest shafts; and no shelter avails from foul behest of the hellish fiend.	false	320.75	330.06	18
8619_291379_000004_000001	{25a} Him seems too little what long he possessed. Greedy and grim, no golden rings he gives for his pride; the promised future forgets he and spurns, with all God has sent him, Wonder-Wielder, of wealth and fame. Yet in the end it ever comes that the frame of the body fragile yields, fated falls; and there follows another who joyously the jewels divides, the royal riches, nor recks of his forebear. Ban, then, such baleful thoughts, Beowulf dearest, best of men, and the better part choose, profit eternal; and temper thy pride, warrior famous!	{twenty five a} Him seems too little what long he possessed. Greedy and grim, no golden rings he gives for his pride; the promised future forgets he and spurns, with all God has sent him, Wonder Wielder, of wealth and fame. Yet in the end it ever comes that the frame of the body fragile yields, fated falls; and there follows another who joyously the jewels divides, the royal riches, nor recks of his forebear. Ban, then, such baleful thoughts, Beowulf dearest, best of men, and the better part choose, profit eternal; and temper thy pride, warrior famous!	false	330.06	369.13	18
8619_291379_000004_000002	The flower of thy might lasts now a while: but erelong it shall be that sickness or sword thy strength shall minish, or fang of fire, or flooding billow, or bite of blade, or brandished spear, or odious age; or the eyes' clear beam wax dull and darken: Death even thee in haste shall o'erwhelm, thou hero of war! So the Ring-Danes these half-years a hundred I ruled, wielded 'neath welkin, and warded them bravely from mighty-ones many o'er middle-earth, from spear and sword, till it seemed for me no foe could be found under fold of the sky. Lo, sudden the shift!	The flower of thy might lasts now a while: but erelong it shall be that sickness or sword thy strength shall minish, or fang of fire, or flooding billow, or bite of blade, or brandished spear, or odious age; or the eyes' clear beam wax dull and darken: Death even thee in haste shall o'erwhelm, thou hero of war! So the Ring Danes these half years a hundred I ruled, wielded 'neath welkin, and warded them bravely from mighty ones many o'er middle earth, from spear and sword, till it seemed for me no foe could be found under fold of the sky. Lo, sudden the shift!	false	369.32	411.54	16
8619_291379_000004_000003	To me seated secure came grief for joy when Grendel began to harry my home, the hellish foe; for those ruthless raids, unresting I suffered heart-sorrow heavy.	To me seated secure came grief for joy when Grendel began to harry my home, the hellish foe; for those ruthless raids, unresting I suffered heart sorrow heavy.	true	411.54	422.74	17
8619_291379_000004_000004	Heaven be thanked, Lord Eternal, for life extended that I on this head all hewn and bloody, after long evil, with eyes may gaze! -- Go to the bench now!	Heaven be thanked, Lord Eternal, for life extended that I on this head all hewn and bloody, after long evil, with eyes may gaze! -- Go to the bench now!	false	423.08	435.4	21
8619_291379_000004_000005	Be glad at banquet, warrior worthy!	Be glad at banquet, warrior worthy!	true	435.47	438.22	23
8619_291379_000004_000006	A wealth of treasure at dawn of day, be dealt between us!" Glad was the Geats' lord, going betimes to seek his seat, as the Sage commanded. Afresh, as before, for the famed-in-battle, for the band of the hall, was a banquet dight nobly anew.	A wealth of treasure at dawn of day, be dealt between us!" Glad was the Geats' lord, going betimes to seek his seat, as the Sage commanded. Afresh, as before, for the famed in battle, for the band of the hall, was a banquet dight nobly anew.	false	438.32	456.52	21.117895
8619_291379_000004_000007	The Night-Helm darkened dusk o'er the drinkers. The doughty ones rose: for the hoary-headed would hasten to rest, aged Scylding; and eager the Geat, shield-fighter sturdy, for sleeping yearned. Him wander-weary, warrior-guest from far, a hall-thane heralded forth, who by custom courtly cared for all needs of a thane as in those old days warrior-wanderers wont to have. So slumbered the stout-heart.	The Night Helm darkened dusk o'er the drinkers. The doughty ones rose: for the hoary headed would hasten to rest, aged Scylding; and eager the Geat, shield fighter sturdy, for sleeping yearned. Him wander weary, warrior guest from far, a hall thane heralded forth, who by custom courtly cared for all needs of a thane as in those old days warrior wanderers wont to have. So slumbered the stout heart.	false	456.8	486.63	20.290216
8619_291379_000004_000008	Stately the hall rose gabled and gilt where the guest slept on till a raven black the rapture-of-heaven {25b} blithe-heart boded.	Stately the hall rose gabled and gilt where the guest slept on till a raven black the rapture of heaven {twenty five b} blithe heart boded.	false	486.63	496.03	20
8619_291379_000004_000009	Bright came flying shine after shadow.	Bright came flying shine after shadow.	true	496.28	499.54	19
8619_291379_000004_000010	The swordsmen hastened, athelings all were eager homeward forth to fare; and far from thence the great-hearted guest would guide his keel. Bade then the hardy-one Hrunting be brought to the son of Ecglaf, the sword bade him take, excellent iron, and uttered his thanks for it, quoth that he counted it keen in battle, "war-friend" winsome: with words he slandered not edge of the blade: 'twas a big-hearted man! Now eager for parting and armed at point warriors waited, while went to his host that Darling of Danes.	The swordsmen hastened, athelings all were eager homeward forth to fare; and far from thence the great hearted guest would guide his keel. Bade then the hardy one h r unting be brought to the son of Ecglaf, the sword bade him take, excellent iron, and uttered his thanks for it, quoth that he counted it keen in battle, "war friend" winsome: with words he slandered not edge of the blade: 'twas a big hearted man! Now eager for parting and armed at point warriors waited, while went to his host that Darling of Danes.	false	499.7	537.19	21
8619_291379_000004_000011	The doughty atheling to high-seat hastened and Hrothgar greeted.	The doughty atheling to high seat hastened and Hrothgar greeted.	false	537.35	542.32	25.517122
8619_291379_000005_000000	XXVI	twenty six	true	542.81	544	25.461905
8619_291379_000006_000000	BEOWULF spake, bairn of Ecgtheow: -- "Lo, we seafarers say our will, far-come men, that we fain would seek Hygelac now.	BEOWULF spake, bairn of Ecgtheow: -- "Lo, we seafarers say our will, far come men, that we fain would seek Hygelac now.	false	544.67	555.4	20.532711
8619_291379_000006_000001	We here have found hosts to our heart: thou hast harbored us well. If ever on earth I am able to win me more of thy love, O lord of men, aught anew, than I now have done, for work of war I am willing still! If it come to me ever across the seas that neighbor foemen annoy and fright thee, -- as they that hate thee erewhile have used, -- thousands then of thanes I shall bring, heroes to help thee.	We here have found hosts to our heart: thou hast harbored us well. If ever on earth I am able to win me more of thy love, O lord of men, aught anew, than I now have done, for work of war one am willing still! If it come to me ever across the seas that neighbor foemen annoy and fright thee, -- as they that hate thee erewhile have used, -- thousands then of thanes I shall bring, heroes to help thee.	false	555.68	585.82	16
8619_291379_000006_000002	Of Hygelac I know, ward of his folk, that, though few his years, the lord of the Geats will give me aid by word and by work, that well I may serve thee, wielding the war-wood to win thy triumph and lending thee might when thou lackest men. If thy Hrethric should come to court of Geats, a sovran's son, he will surely there find his friends.	Of Hygelac I know, ward of his folk, that, though few his years, the lord of the Geats will give me aid by word and by work, that well I may serve thee, wielding the war wood to win thy triumph and lending thee might when thou lackest men. If thy Hrethric should come to court of Geats, a sovran's son, he will surely there find his friends.	false	586.1	612.82	18
8619_291379_000006_000003	A far-off land each man should visit who vaunts him brave." Him then answering, Hrothgar spake: -- "These words of thine the wisest God sent to thy soul!	A far off land each man should visit who vaunts him brave." Him then answering, Hrothgar spake: -- "These words of thine the wisest God sent to thy soul!	false	612.89	625.48	21.4211
8619_291379_000006_000004	No sager counsel from so young in years e'er yet have I heard. Thou art strong of main and in mind art wary, art wise in words!	No sager counsel from so young in years e'er yet have I heard. Thou art strong of main and in mind art wary, art wise in words!	false	625.55	635.05	14
8619_291379_000006_000005	I ween indeed if ever it hap that Hrethel's heir by spear be seized, by sword-grim battle, by illness or iron, thine elder and lord, people's leader, -- and life be thine, -- no seemlier man will the Sea-Geats find at all to choose for their chief and king, for hoard-guard of heroes, if hold thou wilt thy kinsman's kingdom!	I ween indeed if ever it hap that Hrethel's heir by spear be seized, by sword grim battle, by illness or iron, thine elder and lord, people's leader, -- and life be thine, -- no seemlier man will the Sea Geats find at all to choose for their chief and king, for hoard guard of heroes, if hold thou wilt thy kinsman's kingdom!	false	635.12	658.98	18
8619_291379_000006_000006	Thy keen mind pleases me the longer the better, Beowulf loved!	Thy keen mind pleases me the longer the better, Beowulf loved!	false	658.98	663.18	15
8619_291379_000007_000000	Thou hast brought it about that both our peoples, sons of the Geat and Spear-Dane folk, shall have mutual peace, and from murderous strife, such as once they waged, from war refrain. Long as I rule this realm so wide, let our hoards be common, let heroes with gold each other greet o'er the gannet's-bath, and the ringed-prow bear o'er rolling waves tokens of love.	Thou hast brought it about that both our peoples, sons of the Geat and Spear Dane folk, shall have mutual peace, and from murderous strife, such as once they waged, from war refrain. Long as I rule this realm so wide, let our hoards be common, let heroes with gold each other greet o'er the gannet's bath, and the ringed prow bear o'er rolling waves tokens of love.	false	663.18	691.41	20
8619_291379_000007_000001	I trow my landfolk towards friend and foe are firmly joined, and honor they keep in the olden way." To him in the hall, then, Healfdene's son gave treasures twelve, and the trust-of-earls bade him fare with the gifts to his folk beloved, hale to his home, and in haste return. Then kissed the king of kin renowned, Scyldings' chieftain, that choicest thane, and fell on his neck.	I trow my landfolk towards friend and foe are firmly joined, and honor they keep in the olden way." To him in the hall, then, Healfdene's son gave treasures twelve, and the trust of earls bade him fare with the gifts to his folk beloved, hale to his home, and in haste return. Then kissed the king of kin renowned, Scyldings' chieftain, that choicest thane, and fell on his neck.	false	691.41	720.64	22
8619_291379_000007_000002	Fast flowed the tears of the hoary-headed.	Fast flowed the tears of the hoary headed.	true	720.77	723.88	17
8619_291379_000007_000003	Heavy with winters, he had chances twain, but he clung to this, {26a} -- that each should look on the other again, and hear him in hall.	Heavy with winters, he had chances twain, but he clung to this, {twenty six a} -- that each should look on the other again, and hear him in hall.	false	723.89	733.78	21
8619_291379_000007_000004	Was this hero so dear to him. his breast's wild billows he banned in vain; safe in his soul a secret longing, locked in his mind, for that loved man burned in his blood.	Was this hero so dear to him. his breast's wild billows he banned in vain; safe in his soul a secret longing, locked in his mind, for that loved man burned in his blood.	false	733.91	746.02	15
8619_291379_000007_000005	Then Beowulf strode, glad of his gold-gifts, the grass-plot o'er, warrior blithe.	Then Beowulf strode, glad of his gold gifts, the grass plot o'er, warrior blithe.	true	746.24	752.05	19
8619_291379_000007_000006	The wave-roamer bode riding at anchor, its owner awaiting. As they hastened onward, Hrothgar's gift they lauded at length.	The wave roamer bode riding at anchor, its owner awaiting. As they hastened onward, Hrothgar's gift they lauded at length.	true	752.15	760.81	21.85623
8619_291379_000007_000007	-- 'Twas a lord unpeered, every way blameless, till age had broken -- it spareth no mortal -- his splendid might.	-- 'twas a lord unpeered, every way blameless, till age had broken -- it spareth no mortal -- his splendid might.	true	760.88	768.84	21
8619_291379_000008_000000	XXVII	twenty seven	false	768.84	768.84	
8619_291379_000009_000000	CAME now to ocean the ever-courageous hardy henchmen, their harness bearing, woven war-sarks.	CAME now to ocean the ever courageous hardy henchmen, their harness bearing, woven war sarks.	false	768.84	768.93	7
8619_291379_000009_000001	The warden marked, trusty as ever, the earl's return. From the height of the hill no hostile words reached the guests as he rode to greet them; but "Welcome!" he called to that Weder clan as the sheen-mailed spoilers to ship marched on. Then on the strand, with steeds and treasure and armor their roomy and ring-dight ship was heavily laden: high its mast rose over Hrothgar's hoarded gems. A sword to the boat-guard Beowulf gave, mounted with gold; on the mead-bench since he was better esteemed, that blade possessing, heirloom old.	The warden marked, trusty as ever, the earl's return. From the height of the hill no hostile words reached the guests as he rode to greet them; but "Welcome!" he called to that Weder clan as the sheen mailed spoilers to ship marched on. Then on the strand, with steeds and treasure and armor their roomy and ring dight ship was heavily laden: high its mast rose over Hrothgar's hoarded gems. A sword to the boat guard Beowulf gave, mounted with gold; on the mead bench since he was better esteemed, that blade possessing, heirloom old.	false	768.93	769.65	13.984024
8619_291379_000009_000002	-- Their ocean-keel boarding, they drove through the deep, and Daneland left. A sea-cloth was set, a sail with ropes, firm to the mast; the flood-timbers moaned; {27a} nor did wind over billows that wave-swimmer blow across from her course.	-- Their ocean keel boarding, they drove through the deep, and Daneland left. A sea cloth was set, a sail with ropes, firm to the mast; the flood timbers moaned; {twenty seven a} nor did wind over billows that wave swimmer blow across from her course.	false	769.65	769.71	-8
8619_291379_000009_000003	The craft sped on, foam-necked it floated forth o'er the waves, keel firm-bound over briny currents, till they got them sight of the Geatish cliffs, home-known headlands.	The craft sped on, foam necked it floated forth o'er the waves, keel firm bound over briny currents, till they got them sight of the Geatish cliffs, home known headlands.	false	769.71	769.77	9
8619_291379_000009_000004	High the boat, stirred by winds, on the strand updrove. Helpful at haven the harbor-guard stood, who long already for loved companions by the water had waited and watched afar. He bound to the beach the broad-bosomed ship with anchor-bands, lest ocean-billows that trusty timber should tear away. Then Beowulf bade them bear the treasure, gold and jewels; no journey far was it thence to go to the giver of rings, Hygelac Hrethling: at home he dwelt by the sea-wall close, himself and clan. Haughty that house, a hero the king, high the hall, and Hygd {27b} right young, wise and wary, though winters few in those fortress walls she had found a home, Haereth's daughter.	High the boat, stirred by winds, on the strand updrove. Helpful at haven the harbor guard stood, who long already for loved companions by the water had waited and watched afar. He bound to the beach the broad bosomed ship with anchor bands, lest ocean billows that trusty timber should tear away. Then Beowulf bade them bear the treasure, gold and jewels; no journey far was it thence to go to the giver of rings, Hygelac Hrethling: at home he dwelt by the sea wall close, himself and clan. Haughty that house, a hero the king, high the hall, and h y g d {twenty seven b} right young, wise and wary, though winters few in those fortress walls she had found a home, Haereth's daughter.	false	769.77	770.19	13
8619_291379_000009_000005	Nor humble her ways, nor grudged she gifts to the Geatish men, of precious treasure.	Nor humble her ways, nor grudged she gifts to the Geatish men, of precious treasure.	false	770.19	770.19	
8619_291379_000009_000006	Not Thryth's pride showed she, folk-queen famed, or that fell deceit. Was none so daring that durst make bold (save her lord alone) of the liegemen dear that lady full in the face to look, but forged fetters he found his lot, bonds of death!	Not Thryth's pride showed she, folk queen famed, or that fell deceit. Was none so daring that durst make bold (save her lord alone) of the liegemen dear that lady full in the face to look, but forged fetters he found his lot, bonds of death!	false	770.19	770.19	
8619_291379_000009_000007	And brief the respite; soon as they seized him, his sword-doom was spoken, and the burnished blade a baleful murder proclaimed and closed.	And brief the respite; soon as they seized him, his sword doom was spoken, and the burnished blade a baleful murder proclaimed and closed.	false	770.19	770.19	
8619_291379_000009_000008	No queenly way for woman to practise, though peerless she, that the weaver-of-peace {27c} from warrior dear by wrath and lying his life should reave! But Hemming's kinsman hindered this.	No queenly way for woman to practise, though peerless she, that the weaver of peace {twenty seven c} from warrior dear by wrath and lying his life should reave! But Hemming's kinsman hindered this.	false	770.19	770.19	
8619_291379_000009_000009	-- For over their ale men also told that of these folk-horrors fewer she wrought, onslaughts of evil, after she went, gold-decked bride, to the brave young prince, atheling haughty, and Offa's hall o'er the fallow flood at her father's bidding safely sought, where since she prospered, royal, throned, rich in goods, fain of the fair life fate had sent her, and leal in love to the lord of warriors. He, of all heroes I heard of ever from sea to sea, of the sons of earth, most excellent seemed.	-- For over their ale men also told that of these folk horrors fewer she wrought, onslaughts of evil, after she went, gold decked bride, to the brave young prince, atheling haughty, and Offa's hall o'er the fallow flood at her father's bidding safely sought, where since she prospered, royal, throned, rich in goods, fain of the fair life fate had sent her, and leal in love to the lord of warriors. He, of all heroes I heard of ever from sea to sea, of the sons of earth, most excellent seemed.	false	770.19	770.55	1
8619_291379_000009_000010	Hence Offa was praised for his fighting and feeing by far-off men, the spear-bold warrior; wisely he ruled over his empire.	Hence Offa was praised for his fighting and feeing by far off men, the spear bold warrior; wisely he ruled over his empire.	false	770.55	770.58	2
8619_291379_000009_000011	Eomer woke to him, help of heroes, Hemming's kinsman, Grandson of Garmund, grim in war.	Eomer woke to him, help of heroes, Hemming's kinsman, Grandson of Garmund, grim in war.	false	770.58	770.58	
