8183_282977_000000_000000	His master (Mr.	His master (mr	false	0	0.36	13
8183_282977_000017_000005	This system was organized and times were somewhat better.	This system was organized and times were somewhat better.	true	438.08	441.85	20.923618
8183_282977_000018_000000	William had been hired out almost his entire life.	William had been hired out almost his entire life.	true	442.49	445.93	20.843153
8183_282977_000018_000001	For the last twelve or fifteen years he had been accustomed to hire his time for one hundred and thirty dollars per annum.	For the last twelve or fifteen years he had been accustomed to hire his time for one hundred and thirty dollars per annum.	false	446.24	453.4	20
8183_282977_000018_000002	In order to meet this demand he commonly resorted to oystering.	In order to meet this demand he commonly resorted to oystering.	true	453.74	457.57	20
8183_282977_000018_000003	By the hardest toil he managed to maintain himself and family in a humble way.	By the hardest toil he managed to maintain himself and family in a humble way.	true	458.42	463.42	18.575315
8183_282977_000019_000000	For the last twenty years (prior to his escape) the slaves had constantly been encouraged by their mistress' promises to believe that at her death all would be free, and transported to Liberia, where they would enjoy their liberty and be happy the remainder of their days.	For the last twenty years (prior to his escape) the slaves had constantly been encouraged by their mistress' promises to believe that at her death all would be free, and transported to Liberia, where they would enjoy their liberty and be happy the remainder of their days.	false	464.72	481.66	21.505844
8183_282977_000020_000000	With full faith in her promises year by year the slaves awaited her demise with as much patience as possible, and often prayed that her time might be shortened for the general good of the oppressed.	With full faith in her promises year by year the slaves awaited her demise with as much patience as possible, and often prayed that her time might be shortened for the general good of the oppressed.	true	482.36	494.17	20.521742
8183_282977_000020_000001	Fortunately, as the slaves thought, she had no children or near relatives to deprive them of their just and promised rights.	Fortunately, as the slaves thought, she had no children or near relatives to deprive them of their just and promised rights.	true	495.05	502.42	18.461575
8183_282977_000021_000000	In November, previous to William's escape, her long looked-for dissolution took place.	In November, previous to William's escape, her long looked for dissolution took place.	true	503.48	509.35	20.328781
8183_282977_000021_000001	Every bondman who was old enough to realize the nature and import of the change felt a great anxiety to learn what the will of their old mistress said, whether she had actually freed them or not.	Every bondman who was old enough to realize the nature and import of the change felt a great anxiety to learn what the will of their old mistress said, whether she had actually freed them or not.	false	509.54	521.59	20.089907
8183_282977_000021_000002	Alas! when the secret was disclosed, it was ascertained that not a fetter was broken, not a bond unloosed, and that no provision whatever had been made looking towards freedom.	Alas! when the secret was disclosed, it was ascertained that not a fetter was broken, not a bond unloosed, and that no provision whatever had been made looking towards freedom.	true	521.96	533.59	19.985918
8183_282977_000021_000003	In this sad case, the slaves could imagine no other fate than soon to be torn asunder and scattered. The fact was soon made known that the High Sheriff had administered on the estate of the late mistress; it was therefore obvious enough to William and the more intelligent slaves that the auction block was near at hand.	In this sad case, the slaves could imagine no other fate than soon to be torn asunder and scattered. The fact was soon made known that the High Sheriff had administered on the estate of the late mistress; it was therefore obvious enough to William and the more intelligent slaves that the auction block was near at hand.	true	534.44	554.29	20.130898
8183_282977_000022_000000	The trader, the slave-pen, the auction-block, the coffle gang, the rice swamp, the cotton plantation, bloodhounds, and cruel overseers loomed up before him, as they had never done before.	The trader, the slave pen, the auction block, the coffle gang, the rice swamp, the cotton plantation, bloodhounds, and cruel overseers loomed up before him, as they had never done before.	false	554.9	568.36	21.269707
8183_282977_000022_000001	Without stopping to consider the danger, he immediately made up his mind that he would make a struggle, cost what it might.	Without stopping to consider the danger, he immediately made up his mind that he would make a struggle, cost what it might.	true	569.21	576.49	21.323418
8183_282977_000022_000002	He knew of no other way of escape than the Underground Rail Road.	He knew of no other way of escape than the Underground Rail Road.	false	576.8	580.87	20.869797
8183_282977_000022_000003	He was shrewd enough to find an agent, who gave him private instructions, and to whom he indicated a desire to travel North on said road.	He was shrewd enough to find an agent, who gave him private instructions, and to whom he indicated a desire to travel North on said road.	false	581.24	590.5	20.860844
8183_282977_000022_000004	On examination he was deemed reliable, and a mutual understanding was entered into between.	On examination he was deemed reliable, and a mutual understanding was entered into between.	true	590.96	596.67	19
8183_282977_000022_000005	William and one of the accommodating Captains running on the Richmond and Philadelphia Line, to the effect that he, William, should have a first class Underground Rail Road berth, so perfectly private that even the law-officers could not find him.	William and one of the accommodating Captains running on the Richmond and Philadelphia Line, to the effect that he, William, should have a first class Underground Rail Road berth, so perfectly private that even the law officers could not find him.	true	596.67	612.73	21.549076
8183_282977_000023_000000	The first ties to be severed were those which bound him to his wife and children, and next to the Baptist Church, to which he belonged.	The first ties to be severed were those which bound him to his wife and children, and next to the Baptist Church, to which he belonged.	false	613.64	621.93	18.986189
8183_282977_000023_000001	His family were slaves, and bore the following names: his wife, Nancy, and children, Simon Henry, William, Sarah, Mary Ann, Elizabeth, Louis, and Cornelius.	His family were slaves, and bore the following names: his wife, Nancy, and children, Simon Henry, William, Sarah, Mary Ann, Elizabeth, Louis, and Cornelius.	true	621.93	634.48	19.145998
8183_282977_000023_000002	It was no light matter to bid them farewell forever.	It was no light matter to bid them farewell forever.	true	635.21	638.77	22.195522
8183_282977_000023_000003	The separation from them was a trial such as rarely falls to the lot of mortals; but he nerved himself for the undertaking, and when the hour arrived his strength was sufficient for the occasion.	The separation from them was a trial such as rarely falls to the lot of mortals; but he nerved himself for the undertaking, and when the hour arrived his strength was sufficient for the occasion.	true	639.59	652.27	20.558706
8183_282977_000024_000000	Thus in company with Andrew they embarked for an unknown shore, their entire interests entrusted to a stranger who was to bring them through difficulties and dangers seen and unseen.	Thus in company with Andrew they embarked for an unknown shore, their entire interests entrusted to a stranger who was to bring them through difficulties and dangers seen and unseen.	false	652.76	665.08	20.677158
8183_282977_000025_000000	Andrew was about twenty-four years of age, very tall, quite black, and bore himself manfully.	Andrew was about twenty four years of age, very tall, quite black, and bore himself manfully.	true	666.23	672.64	21.503473
8183_282977_000025_000001	He too was of the same estate that William belonged to.	He too was of the same estate that William belonged to.	false	673.01	676.48	20.470432
8183_282977_000025_000002	He had served on the farm as a common farm laborer.	He had served on the farm as a common farm laborer.	true	676.97	680.17	19.090904
8183_282977_000025_000003	He had had it "sometimes rough and sometimes smooth," to use his own language. The fear of what awaited the slaves prompted Andrew to escape.	He had had it "sometimes rough and sometimes smooth," to use his own language. The fear of what awaited the slaves prompted Andrew to escape.	false	680.6	689.62	20.227655
8183_282977_000025_000004	He too was entangled with a wife and one child, with whom he parted only as a friend parts with a companion when death separates them.	He too was entangled with a wife and one child, with whom he parted only as a friend parts with a companion when death separates them.	false	689.93	698.44	20.681095
8183_282977_000025_000005	Catharine was the name of Andrew's wife; and Anna Clarissa the name of his child left in chains.	Catharine was the name of Andrew's wife; and Anna Clarissa the name of his child left in chains.	false	699.05	721.56	18.811762
