8183_282977_000003_000000	John fled from under the yoke of Dr. Joshua R. Nelson.	john fled from under the yoke of dr joshua r Nelson.
8183_282977_000016_000001	Most of her slave property was kept on her plantation not far from Old Point Comfort.	Most of her slave property was kept on her plantation not far from Old Point Comfort.
8183_282977_000016_000002	According to William's testimony "of times Mrs. Twyne would meddle too freely with the cup, and when under its influence she was very desperate, and acted as though she wanted to kill some of the slaves."	According to William's testimony "of times mrs Twyne would meddle too freely with the cup, and when under its influence she was very desperate, and acted as though she wanted to kill some of the slaves."
8183_282977_000017_000000	After the evil spirit left her and she had regained her wonted composure, she would pretend that she loved her "negroes," and would make a great fuss over them.	After the evil spirit left her and she had regained her wonted composure, she would pretend that she loved her "negroes," and would make a great fuss over them.
8183_282977_000017_000002	Having license to do as they pleased, they would of course carry their cruelties to the most extreme verge of punishment.	Having license to do as they pleased, they would of course carry their cruelties to the most extreme verge of punishment.
8183_282977_000017_000003	If a slave was maimed or killed under their correction, it was no loss of theirs.	If a slave was maimed or killed under their correction, it was no loss of theirs.
8183_282977_000017_000005	This system was organized and times were somewhat better.	This system was organized and times were somewhat better.
8183_282977_000018_000000	William had been hired out almost his entire life.	William had been hired out almost his entire life.
8183_282977_000018_000002	In order to meet this demand he commonly resorted to oystering.	In order to meet this demand he commonly resorted to oystering.
8183_282977_000020_000000	With full faith in her promises year by year the slaves awaited her demise with as much patience as possible, and often prayed that her time might be shortened for the general good of the oppressed.	With full faith in her promises year by year the slaves awaited her demise with as much patience as possible, and often prayed that her time might be shortened for the general good of the oppressed.
8183_282977_000021_000000	In November, previous to William's escape, her long looked-for dissolution took place.	In November, previous to William's escape, her long looked for dissolution took place.
8183_282977_000021_000003	In this sad case, the slaves could imagine no other fate than soon to be torn asunder and scattered. The fact was soon made known that the High Sheriff had administered on the estate of the late mistress; it was therefore obvious enough to William and the more intelligent slaves that the auction block was near at hand.	In this sad case, the slaves could imagine no other fate than soon to be torn asunder and scattered. The fact was soon made known that the High Sheriff had administered on the estate of the late mistress; it was therefore obvious enough to William and the more intelligent slaves that the auction block was near at hand.
8183_282977_000022_000001	Without stopping to consider the danger, he immediately made up his mind that he would make a struggle, cost what it might.	Without stopping to consider the danger, he immediately made up his mind that he would make a struggle, cost what it might.
8183_282977_000022_000005	William and one of the accommodating Captains running on the Richmond and Philadelphia Line, to the effect that he, William, should have a first class Underground Rail Road berth, so perfectly private that even the law-officers could not find him.	William and one of the accommodating Captains running on the Richmond and Philadelphia Line, to the effect that he, William, should have a first class Underground Rail Road berth, so perfectly private that even the law officers could not find him.
8183_282977_000023_000002	It was no light matter to bid them farewell forever.	It was no light matter to bid them farewell forever.
8183_282977_000023_000003	The separation from them was a trial such as rarely falls to the lot of mortals; but he nerved himself for the undertaking, and when the hour arrived his strength was sufficient for the occasion.	The separation from them was a trial such as rarely falls to the lot of mortals; but he nerved himself for the undertaking, and when the hour arrived his strength was sufficient for the occasion.
8183_282977_000025_000000	Andrew was about twenty-four years of age, very tall, quite black, and bore himself manfully.	Andrew was about twenty four years of age, very tall, quite black, and bore himself manfully.
