8066_114256_000002_000000	CHAPTER XLIII	CHAPTER forty three
8066_114256_000021_000001	Almost level with his own, he looked into the eyes of a crawling man who--stooped, one hand steadying himself against the slant of the ravine, the other below, carrying a rifle--was peering frowningly ahead.	Almost level with his own, he looked into the eyes of a crawling man who-stooped, one hand steadying himself against the slant of the ravine, the other below, carrying a rifle-was peering frowningly ahead.
8066_114256_000022_000000	It was an evil face, bearded, aquiline, not unhandsome; but evil in its plain meaning now.	It was an evil face, bearded, aquiline, not unhandsome; but evil in its plain meaning now.
8066_114256_000022_000001	The eyes were narrowed, the full lips drawn close, as though some tense emotion now approached its climax.	The eyes were narrowed, the full lips drawn close, as though some tense emotion now approached its climax.
8066_114256_000022_000002	The appearance was that of strain, of nerves stretched in some purpose long sustained.	The appearance was that of strain, of nerves stretched in some purpose long sustained.
8066_114256_000023_000000	And why not?	And why not?
8066_114256_000023_000001	When a man would do murder, when that has been his steady and premeditated purpose for a year, waiting only for opportunity to serve his purpose, that purpose itself changes his very lineaments, alters his whole cast of countenance.	When a man would do murder, when that has been his steady and premeditated purpose for a year, waiting only for opportunity to serve his purpose, that purpose itself changes his very lineaments, alters his whole cast of countenance.
8066_114256_000023_000002	Other men avoid him, knowing unconsciously what is in his soul, because of what is written on his face.	Other men avoid him, knowing unconsciously what is in his soul, because of what is written on his face.
8066_114256_000024_000002	His questions, his movements, his changes of locality showed that; and Woodhull was one of those who cannot avoid asseverance, needing it for their courage sake.	His questions, his movements, his changes of locality showed that; and Woodhull was one of those who cannot avoid asseverance, needing it for their courage sake.
8066_114256_000024_000003	Now morose and brooding, now loudly profane, now laughing or now aloof, his errand in these unknown hills was plain.	Now morose and brooding, now loudly profane, now laughing or now aloof, his errand in these unknown hills was plain.
8066_114256_000024_000004	Well, he was not alone among men whose depths were loosed. Some time his hour might come.	Well, he was not alone among men whose depths were loosed. Some time his hour might come.
8066_114256_000025_000000	It had come!	It had come!
8066_114256_000025_000001	He stared now full into the face of his enemy!	He stared now full into the face of his enemy!
8066_114256_000025_000002	He at last had found him.	He at last had found him.
8066_114256_000025_000003	Here stood his enemy, unarmed, delivered into his hands.	Here stood his enemy, unarmed, delivered into his hands.
8066_114256_000026_000000	For one instant the two stood, staring into one another's eyes.	For one instant the two stood, staring into one another's eyes.
8066_114256_000026_000002	Woodhull was taken as much unawares as he.	Woodhull was taken as much unawares as he.
8066_114256_000027_000000	It had been Woodhull's purpose to get a stand above the sluices, hidden by the angle, where he could command the reach of the stream bed where Banion and Jackson last had been working.	It had been Woodhull's purpose to get a stand above the sluices, hidden by the angle, where he could command the reach of the stream bed where Banion and Jackson last had been working.
8066_114256_000027_000001	He had studied the place before, and meant to take no chances.	He had studied the place before, and meant to take no chances.
8066_114256_000027_000002	His shot must be sure.	His shot must be sure.
8066_114256_000028_000000	But now, in his climbing on the steep hillside, his rifle was in his left hand, downhill, and his footing, caught as he was with one foot half raised, was insecure.	But now, in his climbing on the steep hillside, his rifle was in his left hand, downhill, and his footing, caught as he was with one foot half raised, was insecure.
8066_114256_000028_000001	At no time these last four hours had his opportunity been so close--or so poor--as precisely now!	At no time these last four hours had his opportunity been so close-or so poor-as precisely now!
8066_114256_000030_000001	He snarled, for he saw Banion stoop, unarmed.	He snarled, for he saw Banion stoop, unarmed.
8066_114256_000030_000003	There was time even to exult, and that was much better in a long-deferred matter such as this.	There was time even to exult, and that was much better in a long deferred matter such as this.
8066_114256_000031_000000	"Now, damn you, I've got you!"	"Now, damn you, I've got you!"
8066_114256_000032_000000	He gave Banion that much chance to see that he was now to die.	He gave Banion that much chance to see that he was now to die.
8066_114256_000033_000000	Half leaning, he raised the long rifle to its line and touched the trigger.	Half leaning, he raised the long rifle to its line and touched the trigger.
8066_114256_000034_000000	The report came; and Banion fell.	The report came; and Banion fell.
8066_114256_000034_000002	It was not more than the piece of rotten quartz he had picked up and planned to examine later.	It was not more than the piece of rotten quartz he had picked up and planned to examine later.
8066_114256_000034_000003	He flung it straight at Woodhull's face--an act of chance, of instinct.	He flung it straight at Woodhull's face-an act of chance, of instinct.
8066_114256_000034_000004	By a hair it saved him.	By a hair it saved him.
8066_114256_000035_000002	The rifle carried but the one shot.	The rifle carried but the one shot.
8066_114256_000035_000003	He flung it down, reached for his heavy knife, raising an arm against the second piece of rock which Banion flung as he closed.	He flung it down, reached for his heavy knife, raising an arm against the second piece of rock which Banion flung as he closed.
8066_114256_000035_000004	He felt his wrist caught in an iron grip, felt the blood gush where his temple was cut by the last missile.	He felt his wrist caught in an iron grip, felt the blood gush where his temple was cut by the last missile.
8066_114256_000035_000005	And then once more, on the narrow bared floor that but now was patterned in parquetry traced in yellow, and soon must turn to red, it came to man and man between them--and it was free!	And then once more, on the narrow bared floor that but now was patterned in parquetry traced in yellow, and soon must turn to red, it came to man and man between them-and it was free!
8066_114256_000036_000000	They fell and stumbled so that neither could much damage the other at first.	They fell and stumbled so that neither could much damage the other at first.
8066_114256_000036_000001	Banion knew he must keep the impounded hand back from the knife sheath or he was done.	Banion knew he must keep the impounded hand back from the knife sheath or he was done.
8066_114256_000036_000002	Thus close, he could make no escape.	Thus close, he could make no escape.
8066_114256_000036_000003	He fought fast and furiously, striving to throw, to bend, to beat back the body of a man almost as strong as himself, and now a maniac in rage and fear.	He fought fast and furiously, striving to throw, to bend, to beat back the body of a man almost as strong as himself, and now a maniac in rage and fear.
8066_114256_000037_000001	To Jackson, shaving off bits of sweet meat between thumb and knife blade, it meant the presence of a stranger, friend or foe, for he knew Banion had carried no weapon with him.	To Jackson, shaving off bits of sweet meat between thumb and knife blade, it meant the presence of a stranger, friend or foe, for he knew Banion had carried no weapon with him.
8066_114256_000037_000002	His own long rifle he snatched from its pegs.	His own long rifle he snatched from its pegs.
8066_114256_000037_000004	His moccasined feet made no sound.	His moccasined feet made no sound.
8066_114256_000037_000005	He saw no one in the creek bed or at the long turn.	He saw no one in the creek bed or at the long turn.
8066_114256_000037_000007	It was Will Banion's voice.	It was Will Banion's voice.
8066_114256_000038_000000	The two struggling men grappled below him had no notion of how long they had fought.	The two struggling men grappled below him had no notion of how long they had fought.
8066_114256_000038_000001	It seemed an age, and the denouement yet another age deferred.	It seemed an age, and the denouement yet another age deferred.
8066_114256_000038_000002	But to them came the sound of a voice:	But to them came the sound of a voice:
8066_114256_000039_000001	Stand back!"	Stand back!"
8066_114256_000040_000000	It was Jackson.	It was Jackson.
8066_114256_000041_000000	They both, still gripped, looked up the bank.	They both, still gripped, looked up the bank.
8066_114256_000041_000001	The long barrel of a rifle, foreshortened to a black point, above it a cold eye, fronted and followed them as they swayed.	The long barrel of a rifle, foreshortened to a black point, above it a cold eye, fronted and followed them as they swayed.
8066_114256_000041_000002	The crooked arm of the rifleman was motionless, save as it just moved that deadly circle an inch this way, an inch back again.	The crooked arm of the rifleman was motionless, save as it just moved that deadly circle an inch this way, an inch back again.
8066_114256_000042_000003	For just one instant he looked up at the death staring down on him, then turned to run.	For just one instant he looked up at the death staring down on him, then turned to run.
8066_114256_000043_000000	There was no place where he could run.	There was no place where he could run.
8066_114256_000044_000001	Sam Woodhull, look at me!"	Sam Woodhull, look at me!"
8066_114256_000045_000000	He did turn, in horror, in fascination at sight of the Bright Angel.	He did turn, in horror, in fascination at sight of the Bright Angel.
8066_114256_000045_000001	The rifle barrel to his last gaze became a small, round circle, large as a bottle top, and around it shone a fringed aura of red and purple light. That might have been the eye.	The rifle barrel to his last gaze became a small, round circle, large as a bottle top, and around it shone a fringed aura of red and purple light. That might have been the eye.
