1259_72927_000000_000000	CHAPTER XIII: CONCERNING POLITICS	CHAPTER thirteen: CONCERNING POLITICS	false	0	16.21	20.246277
1259_72927_000017_000001	But I fear--In short, I have been told that political strife was a necessary result of human nature."	But I fear-In short, I have been told that political strife was a necessary result of human nature."	true	244.01	250.15	18.77387
1259_72927_000018_000000	"Human nature!" cried the old boy, impetuously; "what human nature?	"Human nature!" cried the old boy, impetuously; "what human nature?	true	250.55	256.54	21.56456
1259_72927_000018_000001	The human nature of paupers, of slaves, of slave-holders, or the human nature of wealthy freemen?	The human nature of paupers, of slaves, of slave holders, or the human nature of wealthy freemen?	true	256.73	263.44	17
1259_72927_000018_000002	Which?	Which?	true	263.63	264.46	24.044685
1259_72927_000018_000003	Come, tell me that!"	Come, tell me that!"	true	264.68	265.9	20.63477
1259_72927_000019_000000	"Well," said I, "I suppose there would be a difference according to circumstances in people's action about these matters."	"Well," said I, "I suppose there would be a difference according to circumstances in people's action about these matters."	true	266.81	273.13	17
1259_72927_000020_000000	"I should think so, indeed," said he.	"I should think so, indeed," said he.	true	273.74	276.43	21.781479
1259_72927_000020_000001	"At all events, experience shows that it is so.	"At all events, experience shows that it is so.	true	276.59	279.25	18.760336
1259_72927_000020_000002	Amongst us, our differences concern matters of business, and passing events as to them, and could not divide men permanently.	Amongst us, our differences concern matters of business, and passing events as to them, and could not divide men permanently.	true	279.53	286.42	18
1259_72927_000020_000003	As a rule, the immediate outcome shows which opinion on a given subject is the right one; it is a matter of fact, not of speculation.	As a rule, the immediate outcome shows which opinion on a given subject is the right one; it is a matter of fact, not of speculation.	true	286.46	293.92	20
1259_72927_000020_000004	For instance, it is clearly not easy to knock up a political party on the question as to whether haymaking in such and such a country-side shall begin this week or next, when all men agree that it must at latest begin the week after next, and when any man can go down into the fields himself and see whether the seeds are ripe enough for the cutting."	For instance, it is clearly not easy to knock up a political party on the question as to whether haymaking in such and such a country side shall begin this week or next, when all men agree that it must at latest begin the week after next, and when any man can go down into the fields himself and see whether the seeds are ripe enough for the cutting."	true	294.26	312.1	17
1259_72927_000021_000000	Said I: "And you settle these differences, great and small, by the will of the majority, I suppose?"	Said I: "And you settle these differences, great and small, by the will of the majority, I suppose?"	true	312.92	318.37	19.715652
1259_72927_000022_000000	"Certainly," said he; "how else could we settle them?	"Certainly," said he; "how else could we settle them?	false	318.83	322.27	24.302542
1259_72927_000022_000001	You see in matters which are merely personal which do not affect the welfare of the community--how a man shall dress, what he shall eat and drink, what he shall write and read, and so forth--there can be no difference of opinion, and everybody does as he pleases.	You see in matters which are merely personal which do not affect the welfare of the community-how a man shall dress, what he shall eat and drink, what he shall write and read, and so forth-there can be no difference of opinion, and everybody does as he pleases.	true	322.46	336.28	17
1259_72927_000022_000002	But when the matter is of common interest to the whole community, and the doing or not doing something affects everybody, the majority must have their way; unless the minority were to take up arms and show by force that they were the effective or real majority; which, however, in a society of men who are free and equal is little likely to happen; because in such a community the apparent majority _is_ the real majority, and the others, as I have hinted before, know that too well to obstruct from mere pigheadedness; especially as they have had plenty of opportunity of putting forward their side of the question."	But when the matter is of common interest to the whole community, and the doing or not doing something affects everybody, the majority must have their way; unless the minority were to take up arms and show by force that they were the effective or real majority; which, however, in a society of men who are free and equal is little likely to happen; because in such a community the apparent majority underscore is underscore the real majority, and the others, as I have hinted before, know that too well to obstruct from mere pigheadedness; especially as they have had plenty of opportunity of putting forward their side of the question."	false	336.59	369.79	20
1259_72927_000023_000000	"How is that managed?" said I.	"How is that managed?" said i	true	370.22	372.52	23.415861
1259_72927_000024_000000	"Well," said he, "let us take one of our units of management, a commune, or a ward, or a parish (for we have all three names, indicating little real distinction between them now, though time was there was a good deal).	"Well," said he, "let us take one of our units of management, a commune, or a ward, or a parish (for we have all three names, indicating little real distinction between them now, though time was there was a good deal).	true	373.04	386.44	20.213238
1259_72927_000024_000001	In such a district, as you would call it, some neighbours think that something ought to be done or undone: a new town-hall built; a clearance of inconvenient houses; or say a stone bridge substituted for some ugly old iron one,--there you have undoing and doing in one.	In such a district, as you would call it, some neighbours think that something ought to be done or undone: a new town hall built; a clearance of inconvenient houses; or say a stone bridge substituted for some ugly old iron one,--there you have undoing and doing in one.	true	386.87	403.42	20.763111
1259_72927_000024_000002	Well, at the next ordinary meeting of the neighbours, or Mote, as we call it, according to the ancient tongue of the times before bureaucracy, a neighbour proposes the change, and of course, if everybody agrees, there is an end of discussion, except about details.	Well, at the next ordinary meeting of the neighbours, or Mote, as we call it, according to the ancient tongue of the times before bureaucracy, a neighbour proposes the change, and of course, if everybody agrees, there is an end of discussion, except about details.	true	403.91	418.66	20.734375
1259_72927_000024_000003	Equally, if no one backs the proposer,--'seconds him,' it used to be called--the matter drops for the time being; a thing not likely to happen amongst reasonable men, however, as the proposer is sure to have talked it over with others before the Mote.	Equally, if no one backs the proposer,--'seconds him,' it used to be called-the matter drops for the time being; a thing not likely to happen amongst reasonable men, however, as the proposer is sure to have talked it over with others before the Mote.	true	418.94	432.25	20.841917
1259_72927_000024_000004	But supposing the affair proposed and seconded, if a few of the neighbours disagree to it, if they think that the beastly iron bridge will serve a little longer and they don't want to be bothered with building a new one just then, they don't count heads that time, but put off the formal discussion to the next Mote; and meantime arguments _pro_ and _con_ are flying about, and some get printed, so that everybody knows what is going on; and when the Mote comes together again there is a regular discussion and at last a vote by show of hands.	But supposing the affair proposed and seconded, if a few of the neighbours disagree to it, if they think that the beastly iron bridge will serve a little longer and they don't want to be bothered with building a new one just then, they don't count heads that time, but put off the formal discussion to the next Mote; and meantime arguments underscore pro underscore and underscore con underscore are flying about, and some get printed, so that everybody knows what is going on; and when the Mote comes together again there is a regular discussion and at last a vote by show of hands.	false	432.65	461.62	19
1259_72927_000024_000005	If the division is a close one, the question is again put off for further discussion; if the division is a wide one, the minority are asked if they will yield to the more general opinion, which they often, nay, most commonly do.	If the division is a close one, the question is again put off for further discussion; if the division is a wide one, the minority are asked if they will yield to the more general opinion, which they often, nay, most commonly do.	true	461.9	474.55	20.25645
1259_72927_000024_000006	If they refuse, the question is debated a third time, when, if the minority has not perceptibly grown, they always give way; though I believe there is some half-forgotten rule by which they might still carry it on further; but I say, what always happens is that they are convinced, not perhaps that their view is the wrong one, but they cannot persuade or force the community to adopt it."	If they refuse, the question is debated a third time, when, if the minority has not perceptibly grown, they always give way; though I believe there is some half forgotten rule by which they might still carry it on further; but I say, what always happens is that they are convinced, not perhaps that their view is the wrong one, but they cannot persuade or force the community to adopt it."	false	474.92	497.17	20.89115
1259_72927_000025_000000	"Very good," said I; "but what happens if the divisions are still narrow?"	"Very good," said I; "but what happens if the divisions are still narrow?"	true	497.99	502.66	20
1259_72927_000026_000000	Said he: "As a matter of principle and according to the rule of such cases, the question must then lapse, and the majority, if so narrow, has to submit to sitting down under the _status quo_.	Said he: "As a matter of principle and according to the rule of such cases, the question must then lapse, and the majority, if so narrow, has to submit to sitting down under the underscore status quo underscore.	false	503.15	515.34	22.225368
1259_72927_000026_000001	But I must tell you that in point of fact the minority very seldom enforces this rule, but generally yields in a friendly manner."	But I must tell you that in point of fact the minority very seldom enforces this rule, but generally yields in a friendly manner."	false	515.34	522.84	19.548637
1259_72927_000027_000000	"But do you know," said I, "that there is something in all this very like democracy; and I thought that democracy was considered to be in a moribund condition many, many years ago."	"But do you know," said I, "that there is something in all this very like democracy; and I thought that democracy was considered to be in a moribund condition many, many years ago."	true	522.84	533.23	21
1259_72927_000028_000000	The old boy's eyes twinkled.	The old boy's eyes twinkled.	true	533.72	535.69	21.22687
1259_72927_000028_000001	"I grant you that our methods have that drawback.	"I grant you that our methods have that drawback.	true	535.85	538.71	17.597916
1259_72927_000028_000002	But what is to be done?	But what is to be done?	false	538.71	540.46	19.827263
1259_72927_000028_000003	We can't get _anyone_ amongst us to complain of his not always having his own way in the teeth of the community, when it is clear that _everybody_ cannot have that indulgence. What is to be done?"	We can't get underscore anyone underscore amongst us to complain of his not always having his own way in the teeth of the community, when it is clear that underscore everybody underscore cannot have that indulgence. What is to be done?"	false	540.59	550.57	19.066818
1259_72927_000029_000000	"Well," said I, "I don't know."	"Well," said I, "I don't know."	true	551.18	553.93	20.97274
1259_72927_000030_000000	Said he: "The only alternatives to our method that I can conceive of are these.	Said he: "The only alternatives to our method that I can conceive of are these.	true	554.45	559.15	21.17359
1259_72927_000030_000001	First, that we should choose out, or breed, a class of superior persons capable of judging on all matters without consulting the neighbours; that, in short, we should get for ourselves what used to be called an aristocracy of intellect; or, secondly, that for the purpose of safe-guarding the freedom of the individual will, we should revert to a system of private property again, and have slaves and slave-holders once more.	First, that we should choose out, or breed, a class of superior persons capable of judging on all matters without consulting the neighbours; that, in short, we should get for ourselves what used to be called an aristocracy of intellect; or, secondly, that for the purpose of safe guarding the freedom of the individual will, we should revert to a system of private property again, and have slaves and slave holders once more.	true	559.4	582.34	18
1259_72927_000030_000002	What do you think of those two expedients?"	What do you think of those two expedients?"	false	582.68	585.57	26.573448
1259_72927_000031_000000	"Well," said I, "there is a third possibility--to wit, that every man should be quite independent of every other, and that thus the tyranny of society should be abolished."	"Well," said I, "there is a third possibility-to wit, that every man should be quite independent of every other, and that thus the tyranny of society should be abolished."	false	585.57	596.17	19
1259_72927_000032_000000	He looked hard at me for a second or two, and then burst out laughing very heartily; and I confess that I joined him.	He looked hard at me for a second or two, and then burst out laughing very heartily; and I confess that I joined him.	false	596.72	603.88	20.383688
1259_72927_000032_000001	When he recovered himself he nodded at me, and said: "Yes, yes, I quite agree with you--and so we all do."	When he recovered himself he nodded at me, and said: "Yes, yes, I quite agree with you-and so we all do."	true	604.16	611.02	19.51332
1259_72927_000033_000000	"Yes," I said, "and besides, it does not press hardly on the minority: for, take this matter of the bridge, no man is obliged to work on it if he doesn't agree to its building.	"Yes," I said, "and besides, it does not press hardly on the minority: for, take this matter of the bridge, no man is obliged to work on it if he doesn't agree to its building.	true	611.66	621.7	20.1225
1259_72927_000033_000001	At least, I suppose not."	At least, I suppose not."	true	621.8	623.5	19.220337
1259_72927_000034_000000	He smiled, and said: "Shrewdly put; and yet from the point of view of the native of another planet.	He smiled, and said: "Shrewdly put; and yet from the point of view of the native of another planet.	true	623.93	630.07	20.05419
1259_72927_000034_000001	If the man of the minority does find his feelings hurt, doubtless he may relieve them by refusing to help in building the bridge.	If the man of the minority does find his feelings hurt, doubtless he may relieve them by refusing to help in building the bridge.	true	630.23	637.03	17
1259_72927_000034_000002	But, dear neighbour, that is not a very effective salve for the wound caused by the 'tyranny of a majority' in our society; because all work that is done is either beneficial or hurtful to every member of society.	But, dear neighbour, that is not a very effective salve for the wound caused by the 'tyranny of a majority' in our society; because all work that is done is either beneficial or hurtful to every member of society.	true	637.46	648.94	17
1259_72927_000034_000003	The man is benefited by the bridge-building if it turns out a good thing, and hurt by it if it turns out a bad one, whether he puts a hand to it or not; and meanwhile he is benefiting the bridge- builders by his work, whatever that may be.	The man is benefited by the bridge building if it turns out a good thing, and hurt by it if it turns out a bad one, whether he puts a hand to it or not; and meanwhile he is benefiting the bridge builders by his work, whatever that may be.	true	649.34	661.84	21
1259_72927_000034_000004	In fact, I see no help for him except the pleasure of saying 'I told you so' if the bridge-building turns out to be a mistake and hurts him; if it benefits him he must suffer in silence.	In fact, I see no help for him except the pleasure of saying 'I told you so' if the bridge building turns out to be a mistake and hurts him; if it benefits him he must suffer in silence.	true	662.15	672.25	20
1259_72927_000034_000005	A terrible tyranny our Communism, is it not?	A terrible tyranny our Communism, is it not?	true	672.47	675.01	17.783281
1259_72927_000034_000006	Folk used often to be warned against this very unhappiness in times past, when for every well-fed, contented person you saw a thousand miserable starvelings.	Folk used often to be warned against this very unhappiness in times past, when for every well fed, contented person you saw a thousand miserable starvelings.	true	675.26	684.31	16
1259_72927_000034_000007	Whereas for us, we grow fat and well-liking on the tyranny; a tyranny, to say the truth, not to be made visible by any microscope I know.	Whereas for us, we grow fat and well liking on the tyranny; a tyranny, to say the truth, not to be made visible by any microscope I know.	true	684.68	692.86	19.962923
1259_72927_000034_000008	Don't be afraid, my friend; we are not going to seek for troubles by calling our peace and plenty and happiness by ill names whose very meaning we have forgotten!"	Don't be afraid, my friend; we are not going to seek for troubles by calling our peace and plenty and happiness by ill names whose very meaning we have forgotten!"	true	693.26	701.98	16
1259_72927_000035_000000	He sat musing for a little, and then started and said: "Are there any more questions, dear guest?	He sat musing for a little, and then started and said: "Are there any more questions, dear guest?	true	702.74	709.42	22.069374
1259_72927_000035_000001	The morning is waning fast amidst my garrulity?"	The morning is waning fast amidst my garrulity?"	true	709.43	712.44	15
1259_72927_000036_000000	CHAPTER XV: ON THE LACK OF INCENTIVE TO LABOUR IN A COMMUNIST SOCIETY	CHAPTER fifteen: ON THE LACK OF INCENTIVE TO LABOUR IN A COMMUNIST SOCIETY	false	712.44	715.47	17.80437
1259_72927_000037_000000	"Yes," said I. "I was expecting Dick and Clara to make their appearance any moment: but is there time to ask just one or two questions before they come?"	"Yes," said i "I was expecting Dick and Clara to make their appearance any moment: but is there time to ask just one or two questions before they come?"	false	715.47	720.03	-20
