1165_135220_000000_000000	I paused for a moment.	I paused for a moment.	false	0	1.92	22.055859
1165_135220_000004_000008	I felt that I could meet it calmly, sternly, even thankfully; far better was a death here amid the roar of waters than at the hands of those abhorrent beings by whose treachery my friend had fallen.	I felt that I could meet it calmly, sternly, even thankfully; far better was a death here amid the roar of waters than at the hands of those abhorrent beings by whose treachery my friend had fallen.	false	92.03	103.75	21.602428
1165_135220_000005_000000	As I went on, the precipices rose higher and seemed to overhang, the channel grew narrower, the light grew fainter, until at last all around me grew dark.	As I went on, the precipices rose higher and seemed to overhang, the channel grew narrower, the light grew fainter, until at last all around me grew dark.	true	105.26	115.57	21.781662
1165_135220_000005_000001	I was floating at the bottom of a vast chasm, where the sides seemed to rise precipitously for thousands of feet, where neither watery flood nor rocky wall was visible, and where, far above, I could see the line of sky between the summits of the cliffs, and watch the glowing stars.	I was floating at the bottom of a vast chasm, where the sides seemed to rise precipitously for thousands of feet, where neither watery flood nor rocky wall was visible, and where, far above, I could see the line of sky between the summits of the cliffs, and watch the glowing stars.	true	116.36	132.85	21.254032
1165_135220_000005_000002	And as I watched them there came to me the thought that this was my last sight on earth, and I could only hope that the life which was so swiftly approaching its end might live again somewhere among those glittering orbs.	And as I watched them there came to me the thought that this was my last sight on earth, and I could only hope that the life which was so swiftly approaching its end might live again somewhere among those glittering orbs.	false	133.97	146.38	20
1165_135220_000005_000003	So I thought; and with these thoughts I drifted on, I cannot tell how long, until at length there appeared a vast black mass, where the open sky above me terminated, and where the lustre of the stars and the light of the heavens were all swallowed up in utter darkness.	So I thought; and with these thoughts I drifted on, I cannot tell how long, until at length there appeared a vast black mass, where the open sky above me terminated, and where the lustre of the stars and the light of the heavens were all swallowed up in utter darkness.	true	147.59	162.7	22.462118
1165_135220_000006_000000	This, then, I thought, is the end.	This, then, I thought, is the end.	true	163.31	165.52	22.425678
1165_135220_000006_000001	Here, amid this darkness, I must make the awful plunge and find my death I fell upon my knees in the bottom of the boat and prayed.	Here, amid this darkness, I must make the awful plunge and find my death I fell upon my knees in the bottom of the boat and prayed.	true	165.77	174.37	22.00265
1165_135220_000006_000002	As I knelt there the boat drew nearer, the black mass grew blacker.	As I knelt there the boat drew nearer, the black mass grew blacker.	true	174.77	178.78	24.313295
1165_135220_000006_000003	The current swept me on.	The current swept me on.	true	179.69	181.425	20.895329
1165_135220_000006_000004	There were no breakers; there was no phosphorescent sparkle of seething waters, and no whiteness of foam.	There were no breakers; there was no phosphorescent sparkle of seething waters, and no whiteness of foam.	true	181.425	187.12	21.603226
1165_135220_000006_000005	I thought that I was on the brink of some tremendous cataract a thousand times deeper than Niagara; some fall where the waters plunged into the depths of the earth; and where, gathering for the terrific descent, all other movements--all dashings and writhings and twistings--were obliterated and lost in the one overwhelming onward rush.	I thought that I was on the brink of some tremendous cataract a thousand times deeper than Niagara; some fall where the waters plunged into the depths of the earth; and where, gathering for the terrific descent, all other movements-all dashings and writhings and twistings-were obliterated and lost in the one overwhelming onward rush.	true	188.33	208.18	21.58051
1165_135220_000006_000006	Suddenly all grew dark--dark beyond all expression; the sky above was in a moment snatched from view; I had been flung into some tremendous cavern; and there, on my knees, with terror in my heart, I waited for death.	Suddenly all grew dark-dark beyond all expression; the sky above was in a moment snatched from view; I had been flung into some tremendous cavern; and there, on my knees, with terror in my heart, I waited for death.	true	209.57	224.08	22.589888
1165_135220_000007_000000	The moments passed, and death delayed to come.	The moments passed, and death delayed to come.	true	225.98	228.88	22.967419
1165_135220_000007_000001	The awful plunge was still put off; and though I remained on my knees and waited long, still the end came not.	The awful plunge was still put off; and though I remained on my knees and waited long, still the end came not.	true	229.46	236.32	21.514942
1165_135220_000007_000002	The waters seemed still, the boat motionless. It was borne upon the surface of a vast stream as smooth as glass; but who could tell how deep that stream was, or how wide?	The waters seemed still, the boat motionless. It was borne upon the surface of a vast stream as smooth as glass; but who could tell how deep that stream was, or how wide?	true	237.26	247.84	20.749971
1165_135220_000007_000003	At length I rose from my knees and sank down upon the seat of the boat, and tried to peer through the gloom.	At length I rose from my knees and sank down upon the seat of the boat, and tried to peer through the gloom.	true	249.41	255.01	20.74617
1165_135220_000007_000004	In vain.	In vain.	true	255.2	256.21	19.524073
1165_135220_000007_000005	Nothing was visible.	Nothing was visible.	true	256.28	257.62	22.02323
1165_135220_000007_000006	It was the very blackness of darkness.	It was the very blackness of darkness.	true	258.17	260.94	20.748066
1165_135220_000007_000007	I listened, but heard nothing save a deep, dull, droning sound, which seemed to fill all the air and make it all tremulous with its vibrations.	I listened, but heard nothing save a deep, dull, droning sound, which seemed to fill all the air and make it all tremulous with its vibrations.	true	260.94	269.47	20.342478
1165_135220_000007_000008	I tried to collect my thoughts.	I tried to collect my thoughts.	true	269.93	271.69	22.50299
1165_135220_000007_000009	I recalled that old theory which had been in my mind before this, and which I had mentioned to Agnew.	I recalled that old theory which had been in my mind before this, and which I had mentioned to Agnew.	false	272.06	277.6	19
1165_135220_000007_000010	This was the notion that at each pole there is a vast opening; that into one of them all the waters of the ocean pour themselves, and, after passing through the earth, come out at the other pole, to pass about its surface in innumerable streams. It was a wild fancy, which I had laughed at under other circumstances, but which now occurred to me once more, when I was overwhelmed with despair, and my mind was weakened by the horrors which I had experienced; and I had a vague fear that I had been drawn into the very channel through which the ocean waters flowed in their course to that terrific, that unparalleled abyss.	This was the notion that at each pole there is a vast opening; that into one of them all the waters of the ocean pour themselves, and, after passing through the earth, come out at the other pole, to pass about its surface in innumerable streams. It was a wild fancy, which I had laughed at under other circumstances, but which now occurred to me once more, when I was overwhelmed with despair, and my mind was weakened by the horrors which I had experienced; and I had a vague fear that I had been drawn into the very channel through which the ocean waters flowed in their course to that terrific, that unparalleled abyss.	false	279.05	313.48	21.109316
1165_135220_000007_000011	Still, there was as yet no sign whatever of anything like a descent, for the boat was on even keel, and perfectly level as before, and it was impossible for me to tell whether I was moving swiftly or slowly, or standing perfectly still; for in that darkness there were no visible objects by which I could find out the rate of my progress; and as those who go up in balloons are utterly insensible of motion, so was I on those calm but swift waters.	Still, there was as yet no sign whatever of anything like a descent, for the boat was on even keel, and perfectly level as before, and it was impossible for me to tell whether I was moving swiftly or slowly, or standing perfectly still; for in that darkness there were no visible objects by which I could find out the rate of my progress; and as those who go up in balloons are utterly insensible of motion, so was I on those calm but swift waters.	false	314.3	339.64	22.117773
1165_135220_000008_000000	At length there came into view something which arrested my attention and engrossed all my thoughts.	At length there came into view something which arrested my attention and engrossed all my thoughts.	true	341.09	346.15	17
1165_135220_000008_000001	It was faint glow that at first caught my gaze; and, on turning to see it better, I saw a round red spot glowing like fire.	It was faint glow that at first caught my gaze; and, on turning to see it better, I saw a round red spot glowing like fire.	true	347.72	355.66	21.765663
1165_135220_000008_000002	I had not seen this before.	I had not seen this before.	true	355.85	357.58	22.51596
1165_135220_000008_000003	It looked like the moon when it rises from behind clouds, and glows red and lurid from the horizon; and so this glowed, but not with the steady light of the moon, for the light was fitful, and sometimes flashed into a baleful brightness, which soon subsided into a dimmer lustre.	It looked like the moon when it rises from behind clouds, and glows red and lurid from the horizon; and so this glowed, but not with the steady light of the moon, for the light was fitful, and sometimes flashed into a baleful brightness, which soon subsided into a dimmer lustre.	true	358.4	374.17	21.453188
1165_135220_000008_000004	New alarm arose within me, for this new sight suggested something more terrible than anything that I had thus far thought of.	New alarm arose within me, for this new sight suggested something more terrible than anything that I had thus far thought of.	false	376.46	383.02	20
1165_135220_000008_000005	This, then, I thought, was to be the end of my voyage; this was my goal--a pit of fire, into which I should be hurled!	This, then, I thought, was to be the end of my voyage; this was my goal-a pit of fire, into which I should be hurled!	true	383.42	391.66	21.443695
1165_135220_000008_000006	Would it be well, I thought, to wait for such a fate, and experience such a death-agony?	Would it be well, I thought, to wait for such a fate, and experience such a death agony?	true	391.82	396.37	23
1165_135220_000008_000007	Would it not be better for me to take my own life before I should know the worst?	Would it not be better for me to take my own life before I should know the worst?	true	396.59	400.45	21
1165_135220_000008_000008	I took my pistol and loaded it, so as to be prepared, but hesitated to use it until my fate should be more apparent.	I took my pistol and loaded it, so as to be prepared, but hesitated to use it until my fate should be more apparent.	true	401.33	407.74	22.820267
1165_135220_000008_000009	So I sat, holding my pistol, prepared to use it, watching the light, and awaiting the time when the glowing fires should make all further hope impossible.	So I sat, holding my pistol, prepared to use it, watching the light, and awaiting the time when the glowing fires should make all further hope impossible.	true	408.47	416.71	21.712696
1165_135220_000008_000010	But time passed, and the light grew no brighter; on the contrary, it seemed to grow fainter.	But time passed, and the light grew no brighter; on the contrary, it seemed to grow fainter.	true	417.83	422.8	20.686861
1165_135220_000008_000011	There was also another change.	There was also another change.	true	423.32	425.11	18.864197
1165_135220_000008_000012	Instead of shining before me, it appeared more on my left.	Instead of shining before me, it appeared more on my left.	true	425.6	429.04	19.65166
1165_135220_000008_000013	From this it went on changing its position until at length it was astern.	From this it went on changing its position until at length it was astern.	true	429.26	433.15	19
1165_135220_000008_000014	All the time it continued to grow fainter, and it seemed certain that I was moving away from it rather than toward it.	All the time it continued to grow fainter, and it seemed certain that I was moving away from it rather than toward it.	true	433.79	439.48	21
1165_135220_000008_000015	In the midst of this there occurred a new thought, which seemed to account for this light--this was, that it arose from these same volcanoes which had illuminated the northern sky when I was ashore, and followed me still with their glare.	In the midst of this there occurred a new thought, which seemed to account for this light-this was, that it arose from these same volcanoes which had illuminated the northern sky when I was ashore, and followed me still with their glare.	false	440.57	452.32	21
1165_135220_000008_000016	I had been carried into this darkness, through some vast opening which now lay behind me, disclosing the red volcano glow, and this it was that caused that roundness and resemblance to the moon.	I had been carried into this darkness, through some vast opening which now lay behind me, disclosing the red volcano glow, and this it was that caused that roundness and resemblance to the moon.	false	453.17	464.92	22.203812
1165_135220_000008_000017	I saw that I was still moving on away from that light as before, and that its changing position was due to the turning of the boat as the water drifted it along, now stern foremost, now sidewise, and again bow foremost.	I saw that I was still moving on away from that light as before, and that its changing position was due to the turning of the boat as the water drifted it along, now stern foremost, now sidewise, and again bow foremost.	true	465.26	478.12	22.26771
1165_135220_000008_000018	From this it seemed plainly evident that the waters had borne me into some vast cavern of unknown extent, which went under the mountains--a subterranean channel, whose issue I could not conjecture.	From this it seemed plainly evident that the waters had borne me into some vast cavern of unknown extent, which went under the mountains-a subterranean channel, whose issue I could not conjecture.	true	479.51	490.72	22.045506
1165_135220_000008_000019	Was this the beginning of that course which should ultimately become a plunge deep down into some unutterable abyss? or might I ever hope to emerge again into the light of day--perhaps in some other ocean--some land of ice and frost and eternal night?	Was this the beginning of that course which should ultimately become a plunge deep down into some unutterable abyss? or might I ever hope to emerge again into the light of day-perhaps in some other ocean-some land of ice and frost and eternal night?	false	491.21	505.75	21.468151
1165_135220_000008_000020	But the old theory of the flow of water through the earth had taken hold of me and could not be shaken off.	But the old theory of the flow of water through the earth had taken hold of me and could not be shaken off.	true	507.11	512.47	22.328865
1165_135220_000008_000021	I knew some scientific men held the opinion that the earth's interior is a mass of molten rock and pent-up fire, and that the earth itself had once been a burning orb, which had cooled down at the surface; yet, after all, this was only a theory, and there were other theories which were totally different.	I knew some scientific men held the opinion that the earth's interior is a mass of molten rock and pent up fire, and that the earth itself had once been a burning orb, which had cooled down at the surface; yet, after all, this was only a theory, and there were other theories which were totally different.	true	513.17	529.03	23.113037
1165_135220_000008_000022	As a boy I had read wild works of fiction about lands in the interior of the earth, with a sun at the centre, which gave them the light of a perpetual day.	As a boy I had read wild works of fiction about lands in the interior of the earth, with a sun at the centre, which gave them the light of a perpetual day.	false	529.88	537.7	21.632542
1165_135220_000008_000023	These, I knew, were only the creations of fiction; yet, after all, it seemed possible that the earth might contain vast hollow spaces in its interior--realms of eternal darkness, caverns in comparison with which the hugest caves on the surface were but the tiniest cells.	These, I knew, were only the creations of fiction; yet, after all, it seemed possible that the earth might contain vast hollow spaces in its interior-realms of eternal darkness, caverns in comparison with which the hugest caves on the surface were but the tiniest cells.	true	538.22	553.15	21.129047
1165_135220_000008_000024	I was now being borne on to these.	I was now being borne on to these.	true	553.64	555.82	21.556301
1165_135220_000008_000025	In that case there might be no sudden plunge, after all.	In that case there might be no sudden plunge, after all.	true	556.28	559.18	22.467617
1165_135220_000008_000026	The stream might run on for many thousand miles through this terrific cavern gloom, in accordance with natural laws; and I might thus live, and drift on in this darkness, until I should die a lingering death of horror and despair.	The stream might run on for many thousand miles through this terrific cavern gloom, in accordance with natural laws; and I might thus live, and drift on in this darkness, until I should die a lingering death of horror and despair.	false	559.58	571.48	21
1165_135220_000009_000000	There was no possible way of forming any estimate as to speed.	There was no possible way of forming any estimate as to speed.	true	572.75	576.28	22.716434
1165_135220_000009_000001	All was dark, and even the glow behind was fading away; nor could I make any conjecture whatever as to the size of the channel.	All was dark, and even the glow behind was fading away; nor could I make any conjecture whatever as to the size of the channel.	true	576.56	584.17	21.528847
1165_135220_000009_000002	At the opening it had been contracted and narrow; but here it might have expanded itself to miles, and its vaulted top might reach almost to the summit of the lofty mountains.	At the opening it had been contracted and narrow; but here it might have expanded itself to miles, and its vaulted top might reach almost to the summit of the lofty mountains.	true	584.75	593.32	22.48293
1165_135220_000009_000003	While sight thus failed me, sound was equally unavailing, for it was always the same--a sustained and unintermittent roar, a low, droning sound, deep and terrible, with no variations of dashing breakers or rushing rapids or falling cataracts.	While sight thus failed me, sound was equally unavailing, for it was always the same-a sustained and unintermittent roar, a low, droning sound, deep and terrible, with no variations of dashing breakers or rushing rapids or falling cataracts.	true	594.11	609.46	21.30746
1165_135220_000009_000004	Vague thoughts of final escape came and went; but in such a situation hope could not be sustained.	Vague thoughts of final escape came and went; but in such a situation hope could not be sustained.	true	612.14	618.04	23.259111
1165_135220_000009_000005	The thick darkness oppressed the soul; and at length even the glow of the distant volcanoes, which had been gradually diminishing, grew dimmer and fainter, and finally faded out altogether.	The thick darkness oppressed the soul; and at length even the glow of the distant volcanoes, which had been gradually diminishing, grew dimmer and fainter, and finally faded out altogether.	false	618.86	629.62	23.140932
1165_135220_000009_000006	That seemed to me to be my last sight of earthly things. After this nothing was left.	That seemed to me to be my last sight of earthly things. After this nothing was left.	true	631.22	636.79	22.575197
1165_135220_000009_000007	There was no longer for me such a thing as sight; there was nothing but darkness--perpetual and eternal night. I was buried in a cavern of rushing waters, to which there would be no end, where I should be borne onward helplessly by the resistless tide to a mysterious and an appalling doom.	There was no longer for me such a thing as sight; there was nothing but darkness-perpetual and eternal night. I was buried in a cavern of rushing waters, to which there would be no end, where I should be borne onward helplessly by the resistless tide to a mysterious and an appalling doom.	false	637.64	653.86	21.42463
1165_135220_000010_000000	The darkness grew so intolerable that I longed for something to dispel it, if only for a moment.	The darkness grew so intolerable that I longed for something to dispel it, if only for a moment.	false	655.46	660.7	23.86884
1165_135220_000010_000001	I struck a match.	I struck a match.	true	660.89	662.2	24.352673
1165_135220_000010_000002	The air was still, and the flame flashed out, lighting up the boat and showing the black water around me.	The air was still, and the flame flashed out, lighting up the boat and showing the black water around me.	false	662.63	668.05	21
1165_135220_000010_000003	This made me eager to see more.	This made me eager to see more.	true	668.36	670.15	18.531275
1165_135220_000010_000004	I loaded both barrels of the rifle, keeping my pistol for another purpose, and then fired one of them.	I loaded both barrels of the rifle, keeping my pistol for another purpose, and then fired one of them.	true	670.64	676.18	22.903961
1165_135220_000010_000005	There was a tremendous report, that rang in my ears like a hundred thunder-volleys, and rolled and reverberated far along, and died away in endless echoes.	There was a tremendous report, that rang in my ears like a hundred thunder volleys, and rolled and reverberated far along, and died away in endless echoes.	true	676.7	685.36	20.891998
1165_135220_000010_000006	The flash lighted up the scene for an instant, and for an instant only; like the sudden lightning, it revealed all around.	The flash lighted up the scene for an instant, and for an instant only; like the sudden lightning, it revealed all around.	false	686.36	693.16	21.822742
1165_135220_000010_000007	I saw a wide expanse of water, black as ink--a Stygian pool; but no rocks were visible, and it seemed as though I had been carried into a subterranean sea.	I saw a wide expanse of water, black as ink-a Stygian pool; but no rocks were visible, and it seemed as though I had been carried into a subterranean sea.	true	693.41	702.76	21.902342
1165_135220_000011_000000	I loaded the empty barrel and waited.	I loaded the empty barrel and waited.	true	704.84	707.11	21.248634
1165_135220_000011_000001	The flash of light had revealed nothing, yet it had distracted my thoughts, and the work of reloading was an additional distraction.	The flash of light had revealed nothing, yet it had distracted my thoughts, and the work of reloading was an additional distraction.	true	707.18	713.83	21.697906
1165_135220_000011_000002	Anything was better than inaction.	Anything was better than inaction.	true	714.2	716.05	22.840803
1165_135220_000011_000003	I did not wish to waste my ammunition, yet I thought that an occasional shot might serve some good purpose, if it was only to afford me some relief from despair.	I did not wish to waste my ammunition, yet I thought that an occasional shot might serve some good purpose, if it was only to afford me some relief from despair.	true	716.72	725.23	20
1165_135220_000012_000000	And now, as I sat with the rifle in my hands, I was aware of a sound--new, exciting, different altogether from the murmur of innumerable waters that filled my ears, and in sharp contrast with the droning echoes of the rushing flood.	And now, as I sat with the rifle in my hands, I was aware of a sound-new, exciting, different altogether from the murmur of innumerable waters that filled my ears, and in sharp contrast with the droning echoes of the rushing flood.	true	726.71	740.26	21.071383
1165_135220_000012_000001	It was a sound that spoke of life.	It was a sound that spoke of life.	true	741.26	743.44	19.165737
1165_135220_000012_000002	I heard quick, heavy pantings, as of some great living thing; and with this there came the noise of regular movements in the water, and the foaming and gurgling of waves.	I heard quick, heavy pantings, as of some great living thing; and with this there came the noise of regular movements in the water, and the foaming and gurgling of waves.	true	743.75	753.64	21.101269
1165_135220_000012_000003	It was as though some living, breathing creature were here, not far away, moving through these midnight waters; and with this discovery there came a new fear--the fear of pursuit.	It was as though some living, breathing creature were here, not far away, moving through these midnight waters; and with this discovery there came a new fear-the fear of pursuit.	true	754.07	765.01	21.030703
1165_135220_000012_000004	I thought that some sea-monster had scented me in my boat, and had started to attack me.	I thought that some sea monster had scented me in my boat, and had started to attack me.	false	765.53	770.05	23.344715
1165_135220_000012_000005	This new fear aroused me to action.	This new fear aroused me to action.	true	770.54	772.87	22.653963
1165_135220_000012_000006	It was a danger quite unlike any other which I had ever known; yet the fear which it inspired was a feeling that roused me to action, and prompted me, even though the coming danger might be as sure as death, to rise against it and resist to the last.	It was a danger quite unlike any other which I had ever known; yet the fear which it inspired was a feeling that roused me to action, and prompted me, even though the coming danger might be as sure as death, to rise against it and resist to the last.	false	773.21	786.97	21.169249
1165_135220_000012_000007	So I stood up with my rifle and listened, with all my soul in my sense of hearing.	So I stood up with my rifle and listened, with all my soul in my sense of hearing.	true	787.82	792.31	20.223936
1165_135220_000012_000008	The sounds arose more plainly.	The sounds arose more plainly.	true	793.97	795.88	21.29804
1165_135220_000012_000009	They had come nearer.	They had come nearer.	true	795.95	797.2	23.753805
1165_135220_000012_000010	They were immediately in front.	They were immediately in front.	true	797.39	799.12	20.245256
1165_135220_000012_000011	I raised my rifle and took aim.	I raised my rifle and took aim.	true	799.52	801.435	21.969814
1165_135220_000012_000012	Then in quick succession two reports thundered out with tremendous uproar and interminable echoes, but the long reverberations were unheeded in the blaze of sudden light and the vision that was revealed.	Then in quick succession two reports thundered out with tremendous uproar and interminable echoes, but the long reverberations were unheeded in the blaze of sudden light and the vision that was revealed.	true	801.435	812.235	19
1165_135220_000012_000013	For there full before me I saw, though but for an instant, a tremendous sight.	For there full before me I saw, though but for an instant, a tremendous sight.	true	812.235	816.82	21.607159
1165_135220_000012_000014	It was a vast monster, moving in the waters against the stream and toward the boat.	It was a vast monster, moving in the waters against the stream and toward the boat.	true	817.37	821.98	21.954647
1165_135220_000012_000015	Its head was raised high, its eyes were inflamed with a baleful light, its jaws, opened wide, bristled with sharp teeth, and it had a long neck joined to a body of enormous bulk, with a tail that lashed all the water into foam.	Its head was raised high, its eyes were inflamed with a baleful light, its jaws, opened wide, bristled with sharp teeth, and it had a long neck joined to a body of enormous bulk, with a tail that lashed all the water into foam.	false	822.47	836.62	21.872763
1165_135220_000012_000016	It was but for an instant that I saw it, and then with a sudden plunge the monster dived, while at the same moment all was as dark as before.	It was but for an instant that I saw it, and then with a sudden plunge the monster dived, while at the same moment all was as dark as before.	false	837.53	983.76	20.899471
