335_125943_000000_000000	Line-Art Drawing	Line Art Drawing	false	0	1.92	19.7875
335_125943_000037_000000	"Dear me!" said the Scarecrow dolefully.	"Dear me!" said the Scarecrow dolefully.	true	341.24	344.08	24.240574
335_125943_000037_000001	"What a mess I'm in!"	"What a mess I'm in!"	false	344.12	346.32	19.580713
335_125943_000038_000000	"Never mind, my friend," returned the Tin Woodman," I'll send you to my Imperial Laundry, and you'll come out as good as new."	"Never mind, my friend," returned the Tin Woodman," I'll send you to my Imperial Laundry, and you'll come out as good as new."	true	346.32	353.29	19.686247
335_125943_000039_000000	"Won't I be mangled?" asked the Scarecrow.	"Won't I be mangled?" asked the Scarecrow.	false	354.26	357.22	22.302046
335_125943_000040_000000	"No, indeed!" was the reply.	"No, indeed!" was the reply.	true	357.5	360.07	19.089205
335_125943_000040_000001	"But tell me, how came your Majesty here?	"But tell me, how came your Majesty here?	true	360.17	362.92	24
335_125943_000040_000002	and who are your companions?"	and who are your companions?"	true	363.02	365.32	21
335_125943_000041_000000	The Scarecrow, with great politeness, introduced Tip and Jack Pumpkinhead, and the latter personage seemed to interest the Tin Woodman greatly.	The Scarecrow, with great politeness, introduced Tip and Jack Pumpkinhead, and the latter personage seemed to interest the Tin Woodman greatly.	true	365.57	374.77	21.042429
335_125943_000042_000000	"You are not very substantial, I must admit," said the Emperor.	"You are not very substantial, I must admit," said the Emperor.	true	375.68	379.03	22.836668
335_125943_000042_000001	"but you are certainly unusual, and therefore worthy to become a member of our select society."	"but you are certainly unusual, and therefore worthy to become a member of our select society."	true	379.19	384.58	16
335_125943_000043_000000	"I thank your Majesty, said Jack, humbly.	"I thank your Majesty, said Jack, humbly.	false	385.85	388.44	21
335_125943_000044_000000	127 Line-Art Drawing	one hundred twenty seven Line Art Drawing	false	388.44	389.295	-3
335_125943_000045_000000	"I hope you are enjoying good health?" continued the Woodman.	"I hope you are enjoying good health?" continued the Woodman.	true	389.295	393.34	23.685665
335_125943_000046_000000	"At present, yes;" replied the Pumpkinhead, with a sigh; "but I am in constant terror of the day when I shall spoil."	"At present, yes;" replied the Pumpkinhead, with a sigh; "but I am in constant terror of the day when I shall spoil."	true	394.25	400.78	22.708366
335_125943_000047_000000	"Nonsense!" said the Emperor--but in a kindly, sympathetic tone.	"Nonsense!" said the Emperor-but in a kindly, sympathetic tone.	true	401.81	406.3	23.562368
335_125943_000047_000001	"Do not, I beg of you, dampen today's sun with the showers of tomorrow.	"Do not, I beg of you, dampen today's sun with the showers of tomorrow.	true	406.97	410.74	22
335_125943_000047_000002	For before your head has time to spoil you can have it canned, and in that way it may be preserved indefinitely."	For before your head has time to spoil you can have it canned, and in that way it may be preserved indefinitely."	true	410.75	417.76	21
335_125943_000048_000000	Tip, during this conversation, was looking at the Woodman with undisguised amazement, and noticed that the celebrated Emperor of the Winkies was composed entirely of pieces of tin, neatly soldered	Tip, during this conversation, was looking at the Woodman with undisguised amazement, and noticed that the celebrated Emperor of the Winkies was composed entirely of pieces of tin, neatly soldered	true	418.55	431.31	17
335_125943_000049_000000	128 and riveted together into the form of a man.	one hundred twenty eight and riveted together into the form of a man.	false	431.31	434.02	10
335_125943_000049_000001	He rattled and clanked a little, as he moved, but in the main he seemed to be most cleverly constructed, and his appearance was only marred by the thick coating of polishing-paste that covered him from head to foot.	He rattled and clanked a little, as he moved, but in the main he seemed to be most cleverly constructed, and his appearance was only marred by the thick coating of polishing paste that covered him from head to foot.	true	435.14	447.19	22
335_125943_000050_000000	The boy's intent gaze caused the Tin Woodman to remember that he was not in the most presentable condition, so he begged his friends to excuse him while he retired to his private apartment and allowed his servants to polish him. This was accomplished in a short time, and when the emperor returned his nickel-plated body shone so magnificently that the Scarecrow heartily congratulated him on his improved appearance.	The boy's intent gaze caused the Tin Woodman to remember that he was not in the most presentable condition, so he begged his friends to excuse him while he retired to his private apartment and allowed his servants to polish him. This was accomplished in a short time, and when the emperor returned his nickel plated body shone so magnificently that the Scarecrow heartily congratulated him on his improved appearance.	true	448.13	472.6	21
335_125943_000051_000000	"That nickel-plate was, I confess, a happy thought," said Nick; "and it was the more necessary because I had become somewhat scratched during my adventurous experiences.	"That nickel plate was, I confess, a happy thought," said Nick; "and it was the more necessary because I had become somewhat scratched during my adventurous experiences.	true	475.46	484.51	21.897608
335_125943_000051_000001	You will observe this engraved star upon my left breast.	You will observe this engraved star upon my left breast.	true	484.7	488.29	20
335_125943_000051_000002	It not only indicates where my excellent heart lies, but covers very neatly the patch made by the Wonderful Wizard when he placed that valued organ in my breast with his own skillful hands."	It not only indicates where my excellent heart lies, but covers very neatly the patch made by the Wonderful Wizard when he placed that valued organ in my breast with his own skillful hands."	false	488.6	498.63	17
335_125943_000052_000000	"Is your heart, then, a hand-organ?" asked the Pumpkinhead, curiously.	"Is your heart, then, a hand organ?" asked the Pumpkinhead, curiously.	false	498.63	503.46	20.648
335_125943_000053_000000	129	one hundred twenty nine	false	503.46	504.06	-6
335_125943_000054_000000	"By no means," responded the emperor, with dignity.	"By no means," responded the emperor, with dignity.	true	504.06	506.89	19.482967
335_125943_000054_000001	"It is, I am convinced, a strictly orthodox heart, although somewhat larger and warmer than most people possess."	"It is, I am convinced, a strictly orthodox heart, although somewhat larger and warmer than most people possess."	true	507.02	513.49	23
335_125943_000055_000000	Then he turned to the Scarecrow and asked:	Then he turned to the Scarecrow and asked:	true	514.25	516.88	20
335_125943_000056_000000	"Are your subjects happy and contented, my dear friend?"	"Are your subjects happy and contented, my dear friend?"	true	517.28	520.09	20.928768
335_125943_000057_000000	"I cannot, say" was the reply.	"I cannot, say" was the reply.	true	520.91	523.21	21.209106
335_125943_000057_000001	"for the girls of Oz have risen in revolt and driven me out of the emerald City."	"for the girls of Oz have risen in revolt and driven me out of the emerald City."	true	523.22	527.56	19
335_125943_000058_000000	"Great Goodness!" cried the Tin Woodman, "What a calamity!	"Great Goodness!" cried the Tin Woodman, "What a calamity!	true	528.65	532.62	22.540985
335_125943_000058_000001	They surely do not complain of your wise and gracious rule?"	They surely do not complain of your wise and gracious rule?"	true	532.62	535.6	18
335_125943_000059_000000	"No; but they say it is a poor rule that don't work both ways," answered the Scarecrow; "and these females are also of the opinion that men have ruled the land long enough.	"No; but they say it is a poor rule that don't work both ways," answered the Scarecrow; "and these females are also of the opinion that men have ruled the land long enough.	false	536.27	546.79	21.696043
335_125943_000059_000001	So they have captured my city, robbed the treasury of all its jewels, and are running things to suit themselves."	So they have captured my city, robbed the treasury of all its jewels, and are running things to suit themselves."	false	547.13	553.87	19
335_125943_000060_000000	"Dear me!	"Dear me!	true	554.9	555.75	17
335_125943_000060_000001	What an extraordinary idea!" cried the Emperor, who was both shocked and surprised.	What an extraordinary idea!" cried the Emperor, who was both shocked and surprised.	true	555.75	561.82	22.510244
335_125943_000061_000000	"And I heard some of them say," said Tip, "that they intend to march here and capture the castle and city of the Tin Woodman."	"And I heard some of them say," said Tip, "that they intend to march here and capture the castle and city of the Tin Woodman."	false	563.63	569.73	20.238146
335_125943_000062_000000	"Ah! we must not give them time to do that," said the Emperor, quickly; "we will go at once and	"Ah! we must not give them time to do that," said the Emperor, quickly; "we will go at once and	false	569.73	577.14	21.738668
335_125943_000063_000000	130 Full page line-art drawing.	one hundred thirty Full page line art drawing.	false	577.14	577.2	-20
335_125943_000064_000000	RENOVATING HIS MAJESTY, THE SCARECROW.	RENOVATING HIS MAJESTY, THE SCARECROW.	false	577.2	577.23	-20
335_125943_000065_000000	131 recapture the Emerald City and place the Scarecrow again upon his throne."	one hundred thirty one recapture the Emerald City and place the Scarecrow again upon his throne."	false	577.23	581.68	15
335_125943_000066_000000	"I was sure you would help me," remarked the Scarecrow in a pleased voice. "How large an army can you assemble?"	"I was sure you would help me," remarked the Scarecrow in a pleased voice. "How large an army can you assemble?"	true	583.61	589.42	22
335_125943_000067_000000	"We do not need an army," replied the Woodman.	"We do not need an army," replied the Woodman.	true	590.54	593.5	15.750355
335_125943_000067_000001	"We four, with the aid of my gleaming axe, are enough to strike terror into the hearts of the rebels."	"We four, with the aid of my gleaming axe, are enough to strike terror into the hearts of the rebels."	true	593.51	598.48	19
335_125943_000068_000000	"We five," corrected the Pumpkinhead.	"We five," corrected the Pumpkinhead.	true	599	601.39	25.27557
335_125943_000069_000000	"Five?" repeated the Tin Woodman.	"Five?" repeated the Tin Woodman.	true	601.4	603.82	25.242609
335_125943_000070_000000	"Yes; the Saw-Horse is brave and fearless," answered Jack, forgetting his recent quarrel with the quadruped.	"Yes; the Saw Horse is brave and fearless," answered Jack, forgetting his recent quarrel with the quadruped.	false	604.22	610.74	21.280848
335_125943_000071_000000	The Tin Woodman looked around him in a puzzled way, for the Saw-Horse had until now remained quietly standing in a corner, where the Emperor had not noticed him.	The Tin Woodman looked around him in a puzzled way, for the Saw Horse had until now remained quietly standing in a corner, where the Emperor had not noticed him.	true	610.74	619.72	21
335_125943_000071_000001	Tip immediately called the odd-looking creature to them, and it approached so awkwardly that it nearly upset the beautiful center-table and the engraved oil-can.	Tip immediately called the odd looking creature to them, and it approached so awkwardly that it nearly upset the beautiful center table and the engraved oil can.	true	620.42	629.17	18
335_125943_000072_000000	"I begin to think," remarked the Tin Woodman as he looked earnestly at the Saw-Horse, "that wonders will never cease!	"I begin to think," remarked the Tin Woodman as he looked earnestly at the Saw Horse, "that wonders will never cease!	true	629.87	636.97	19.673294
335_125943_000072_000001	How came this creature alive?"	How came this creature alive?"	true	637.04	638.95	26.537403
335_125943_000073_000000	"I did it with a magic powder," modestly asserted the boy.	"I did it with a magic powder," modestly asserted the boy.	true	640.79	644.02	21.610699
335_125943_000073_000001	"and the Saw- Horse has been very useful to us."	"and the Saw Horse has been very useful to us."	true	644.09	647.07	19
335_125943_000074_000000	132	one hundred thirty two	false	647.07	648.42	-20
335_125943_000075_000000	"He enabled us to escape the rebels," added the Scarecrow.	"He enabled us to escape the rebels," added the Scarecrow.	true	648.42	651.46	20.864513
335_125943_000076_000000	"Then we must surely accept him as a comrade," declared the emperor.	"Then we must surely accept him as a comrade," declared the emperor.	true	651.86	656.32	19.747316
335_125943_000076_000001	"A live Saw-Horse is a distinct novelty, and should prove an interesting study.	"A live Saw Horse is a distinct novelty, and should prove an interesting study.	true	657.02	662.38	20.710274
335_125943_000076_000002	Does he know anything?"	Does he know anything?"	true	662.45	663.67	23.691864
335_125943_000077_000000	"Well, I cannot claim any great experience in life," the Saw-Horse answered for himself.	"Well, I cannot claim any great experience in life," the Saw Horse answered for himself.	true	664.88	670.69	25.679863
335_125943_000077_000001	"but I seem to learn very quickly, and often it occurs to me that I know more than any of those around me."	"but I seem to learn very quickly, and often it occurs to me that I know more than any of those around me."	true	670.91	678.28	19
335_125943_000078_000000	"Perhaps you do," said the emperor; "for experience does not always mean wisdom.	"Perhaps you do," said the emperor; "for experience does not always mean wisdom.	true	679.85	684.37	22.11964
335_125943_000078_000001	But time is precious Just now, so let us quickly make preparations to start upon our Journey.	But time is precious Just now, so let us quickly make preparations to start upon our Journey.	true	684.47	691.18	23.126427
335_125943_000079_000000	The emperor called his Lord High Chancellor and instructed him how to run the kingdom during his absence.	The emperor called his Lord High Chancellor and instructed him how to run the kingdom during his absence.	true	691.55	697.15	18
335_125943_000079_000001	Meanwhile the Scarecrow was taken apart and the painted sack that served him for a head was carefully laundered and restuffed with the brains originally given him by the great Wizard.	Meanwhile the Scarecrow was taken apart and the painted sack that served him for a head was carefully laundered and restuffed with the brains originally given him by the great Wizard.	true	697.46	708.28	22.175632
335_125943_000079_000002	His clothes were also cleaned and pressed by the Imperial tailors, and his crown polished and again sewed upon his head, for the Tin Woodman insisted he should not renounce this badge of royalty.	His clothes were also cleaned and pressed by the Imperial tailors, and his crown polished and again sewed upon his head, for the Tin Woodman insisted he should not renounce this badge of royalty.	true	709.28	721	20
335_125943_000079_000003	The Scarecrow now presented a very respectable appearance, and although in no way addicted to vanity he	The Scarecrow now presented a very respectable appearance, and although in no way addicted to vanity he	true	721.64	728.91	22.94324
335_125943_000080_000000	133 was quite pleased with himself and strutted a trifle as he walked.	one hundred thirty three was quite pleased with himself and strutted a trifle as he walked.	false	728.91	732.76	15
335_125943_000080_000001	While this was being done Tip mended the wooden limbs of Jack Pumpkinhead and made them stronger than before, and the Saw-Horse was also inspected to see if he was in good working order.	While this was being done Tip mended the wooden limbs of Jack Pumpkinhead and made them stronger than before, and the Saw Horse was also inspected to see if he was in good working order.	true	733.37	744.37	20.847921
335_125943_000081_000000	Then bright and early the next morning they set out upon the return Journey to the emerald City, the Tin Woodman bearing upon his shoulder a gleaming axe and leading the way, while the Pumpkinhead rode upon the Saw-Horse and Tip and the Scarecrow walked upon either side to make sure that he didn't fall off or become damaged.	Then bright and early the next morning they set out upon the return Journey to the emerald City, the Tin Woodman bearing upon his shoulder a gleaming axe and leading the way, while the Pumpkinhead rode upon the Saw Horse and Tip and the Scarecrow walked upon either side to make sure that he didn't fall off or become damaged.	false	745.43	777.99	20.935764
