3521_7591_000000_000000	THE MASQUE OF THE RED DEATH.	THE MASQUE OF THE RED DEATH.	true	23.115	24.91	25.016039
3521_7591_000002_000005	The courtiers, having entered, brought furnaces and massy hammers and welded the bolts. They resolved to leave means neither of ingress or egress to the sudden impulses of despair or of frenzy from within.	The courtiers, having entered, brought furnaces and massy hammers and welded the bolts. They resolved to leave means neither of ingress or egress to the sudden impulses of despair or of frenzy from within.	false	85.52	97.99	18
3521_7591_000002_000006	The abbey was amply provisioned.	The abbey was amply provisioned.	true	98.21	100.21	21.840069
3521_7591_000002_000007	With such precautions the courtiers might bid defiance to contagion.	With such precautions the courtiers might bid defiance to contagion.	true	100.31	104.475	20
3521_7591_000002_000008	The external world could take care of itself.	The external world could take care of itself.	true	104.475	107.14	24.65049
3521_7591_000002_000009	In the meantime it was folly to grieve, or to think.	In the meantime it was folly to grieve, or to think.	true	107.15	110.23	26.208479
3521_7591_000002_000010	The prince had provided all the appliances of pleasure.	The prince had provided all the appliances of pleasure.	true	110.48	113.49	24.376007
3521_7591_000002_000011	There were buffoons, there were improvisatori, there were ballet-dancers, there were musicians, there was Beauty, there was wine.	There were buffoons, there were improvisatori, there were ballet dancers, there were musicians, there was Beauty, there was wine.	true	113.49	121.15	20
3521_7591_000002_000012	All these and security were within.	All these and security were within.	true	121.43	123.67	20.253904
3521_7591_000002_000013	Without was the "Red Death."	Without was the "Red Death."	true	123.95	125.89	24.196651
3521_7591_000003_000000	It was toward the close of the fifth or sixth month of his seclusion, and while the pestilence raged most furiously abroad, that the Prince Prospero entertained his thousand friends at a masked ball of the most unusual magnificence.	It was toward the close of the fifth or sixth month of his seclusion, and while the pestilence raged most furiously abroad, that the Prince Prospero entertained his thousand friends at a masked ball of the most unusual magnificence.	false	126.68	138.79	17
3521_7591_000004_000000	It was a voluptuous scene, that masquerade.	It was a voluptuous scene, that masquerade.	true	138.86	141.66	22
3521_7591_000004_000001	But first let me tell of the rooms in which it was held.	But first let me tell of the rooms in which it was held.	false	141.66	144.49	18
3521_7591_000004_000002	There were seven--an imperial suite.	There were seven-an imperial suite.	true	144.53	147.22	24.359762
3521_7591_000004_000003	In many palaces, however, such suites form a long and straight vista, while the folding doors slide back nearly to the walls on either hand, so that the view of the whole extent is scarcely impeded.	In many palaces, however, such suites form a long and straight vista, while the folding doors slide back nearly to the walls on either hand, so that the view of the whole extent is scarcely impeded.	true	147.26	157.9	17
3521_7591_000004_000004	Here the case was very different; as might have been expected from the duke's love of the bizarre.	Here the case was very different; as might have been expected from the duke's love of the bizarre.	true	157.94	162.79	24
3521_7591_000004_000005	The apartments were so irregularly disposed that the vision embraced but little more than one at a time.	The apartments were so irregularly disposed that the vision embraced but little more than one at a time.	true	162.92	168.25	17
3521_7591_000004_000006	There was a sharp turn at every twenty or thirty yards, and at each turn a novel effect.	There was a sharp turn at every twenty or thirty yards, and at each turn a novel effect.	true	168.41	173.14	22
3521_7591_000004_000007	To the right and left, in the middle of each wall, a tall and narrow Gothic window looked out upon a closed corridor which pursued the windings of the suite.	To the right and left, in the middle of each wall, a tall and narrow Gothic window looked out upon a closed corridor which pursued the windings of the suite.	true	173.24	181.35	22.97427
3521_7591_000004_000008	These windows were of stained glass whose color varied in accordance with the prevailing hue of the decorations of the chamber into which it opened.	These windows were of stained glass whose color varied in accordance with the prevailing hue of the decorations of the chamber into which it opened.	true	181.35	188.65	18
3521_7591_000004_000009	That at the eastern extremity was hung, for example, in blue--and vividly blue were its windows.	That at the eastern extremity was hung, for example, in blue-and vividly blue were its windows.	true	188.75	194.41	16
3521_7591_000004_000010	The second chamber was purple in its ornaments and tapestries, and here the panes were purple.	The second chamber was purple in its ornaments and tapestries, and here the panes were purple.	true	194.48	199.39	20
3521_7591_000004_000011	The third was green throughout, and so were the casements.	The third was green throughout, and so were the casements.	true	199.46	202.54	22
3521_7591_000004_000012	The fourth was furnished and lighted with orange--the fifth with white--the sixth with violet.	The fourth was furnished and lighted with orange-the fifth with white-the sixth with violet.	true	202.67	207.79	21.504292
3521_7591_000004_000013	The seventh apartment was closely shrouded in black velvet tapestries that hung all over the ceiling and down the walls, falling in heavy folds upon a carpet of the same material and hue.	The seventh apartment was closely shrouded in black velvet tapestries that hung all over the ceiling and down the walls, falling in heavy folds upon a carpet of the same material and hue.	true	208.13	217.81	18
3521_7591_000004_000014	But in this chamber only, the color of the windows failed to correspond with the decorations.	But in this chamber only, the color of the windows failed to correspond with the decorations.	true	217.94	222.61	21.275763
3521_7591_000004_000015	The panes here were scarlet--a deep blood color.	The panes here were scarlet-a deep blood color.	true	222.71	226.03	23.189333
3521_7591_000004_000016	Now in no one of the seven apartments was there any lamp or candelabrum, amid the profusion of golden ornaments that lay scattered to and fro or depended from the roof.	Now in no one of the seven apartments was there any lamp or candelabrum, amid the profusion of golden ornaments that lay scattered to and fro or depended from the roof.	true	226.31	235.14	18
3521_7591_000004_000017	There was no light of any kind emanating from lamp or candle within the suite of chambers.	There was no light of any kind emanating from lamp or candle within the suite of chambers.	true	235.14	239.65	18
3521_7591_000004_000018	But in the corridors that followed the suite, there stood, opposite to each window, a heavy tripod, bearing a brazier of fire that projected its rays through the tinted glass and so glaringly illumined the room.	But in the corridors that followed the suite, there stood, opposite to each window, a heavy tripod, bearing a brazier of fire that projected its rays through the tinted glass and so glaringly illumined the room.	true	239.87	251.32	20
3521_7591_000004_000019	And thus were produced a multitude of gaudy and fantastic appearances.	And thus were produced a multitude of gaudy and fantastic appearances.	true	251.54	255.64	20
3521_7591_000004_000020	But in the western or black chamber the effect of the fire-light that streamed upon the dark hangings through the blood-tinted panes, was ghastly in the extreme, and produced so wild a look upon the countenances of those who entered, that there were few of the company bold enough to set foot within its precincts at all.	But in the western or black chamber the effect of the fire light that streamed upon the dark hangings through the blood tinted panes, was ghastly in the extreme, and produced so wild a look upon the countenances of those who entered, that there were few of the company bold enough to set foot within its precincts at all.	false	255.77	271.3	19
3521_7591_000005_000000	It was in this apartment, also, that there stood against the western wall, a gigantic clock of ebony.	It was in this apartment, also, that there stood against the western wall, a gigantic clock of ebony.	true	271.61	276.82	20
3521_7591_000005_000001	Its pendulum swung to and fro with a dull, heavy, monotonous clang; and when the minute-hand made the circuit of the face, and the hour was to be stricken, there came from the brazen lungs of the clock a sound which was clear and loud and deep and exceedingly musical, but of so peculiar a note and emphasis that, at each lapse of an hour, the musicians of the orchestra were constrained to pause, momentarily, in their performance, to hearken to the sound; and thus the waltzers perforce ceased their evolutions; and there was a brief disconcert of the whole gay company; and, while the chimes of the clock yet rang, it was observed that the giddiest grew pale, and the more aged and sedate passed their hands over their brows as if in confused reverie or meditation.	Its pendulum swung to and fro with a dull, heavy, monotonous clang; and when the minute hand made the circuit of the face, and the hour was to be stricken, there came from the brazen lungs of the clock a sound which was clear and loud and deep and exceedingly musical, but of so peculiar a note and emphasis that, at each lapse of an hour, the musicians of the orchestra were constrained to pause, momentarily, in their performance, to hearken to the sound; and thus the waltzers perforce ceased their evolutions; and there was a brief disconcert of the whole gay company; and, while the chimes of the clock yet rang, it was observed that the giddiest grew pale, and the more aged and sedate passed their hands over their brows as if in confused reverie or meditation.	false	277.01	318.64	19
3521_7591_000005_000002	But when the echoes had fully ceased, a light laughter at once pervaded the assembly; the musicians looked at each other and smiled as if at their own nervousness and folly, and made whispering vows, each to the other, that the next chiming of the clock should produce in them no similar emotion; and then, after the lapse of sixty minutes, (which embrace three thousand and six hundred seconds of the Time that flies,) there came yet another chiming of the clock, and then were the same disconcert and tremulousness and meditation as before.	But when the echoes had fully ceased, a light laughter at once pervaded the assembly; the musicians looked at each other and smiled as if at their own nervousness and folly, and made whispering vows, each to the other, that the next chiming of the clock should produce in them no similar emotion; and then, after the lapse of sixty minutes, (which embrace three thousand and six hundred seconds of the Time that flies,) there came yet another chiming of the clock, and then were the same disconcert and tremulousness and meditation as before.	true	318.68	346.99	16
3521_7591_000006_000000	But, in spite of these things, it was a gay and magnificent revel. The tastes of the duke were peculiar.	But, in spite of these things, it was a gay and magnificent revel. The tastes of the duke were peculiar.	true	347.06	352.575	18
3521_7591_000006_000001	He had a fine eye for colors and effects.	He had a fine eye for colors and effects.	true	352.575	355	27.477205
3521_7591_000006_000002	He disregarded the decora of mere fashion.	He disregarded the decora of mere fashion.	true	355.01	357.67	21.884441
3521_7591_000006_000003	His plans were bold and fiery, and his conceptions glowed with barbaric lustre.	His plans were bold and fiery, and his conceptions glowed with barbaric lustre.	true	357.74	362.44	17
3521_7591_000006_000004	There are some who would have thought him mad.	There are some who would have thought him mad.	true	362.66	364.75	21.987667
3521_7591_000006_000005	His followers felt that he was not. It was necessary to hear and see and touch him to be sure that he was not.	His followers felt that he was not. It was necessary to hear and see and touch him to be sure that he was not.	true	364.85	370.93	19.649916
3521_7591_000007_000000	He had directed, in great part, the moveable embellishments of the seven chambers, upon occasion of this great fete; and it was his own guiding taste which had given character to the masqueraders.	He had directed, in great part, the moveable embellishments of the seven chambers, upon occasion of this great fete; and it was his own guiding taste which had given character to the masqueraders.	true	371.27	381.57	18
3521_7591_000007_000001	Be sure they were grotesque.	Be sure they were grotesque.	true	381.57	383.445	23.228207
3521_7591_000007_000002	There were much glare and glitter and piquancy and phantasm--much of what has been since seen in "Hernani." There were arabesque figures with unsuited limbs and appointments.	There were much glare and glitter and piquancy and phantasm-much of what has been since seen in "Hernani." There were arabesque figures with unsuited limbs and appointments.	false	383.445	393.19	17
3521_7591_000007_000003	There were delirious fancies such as the madman fashions.	There were delirious fancies such as the madman fashions.	true	393.23	396.64	17
3521_7591_000007_000004	There was much of the beautiful, much of the wanton, much of the bizarre, something of the terrible, and not a little of that which might have excited disgust. To and fro in the seven chambers there stalked, in fact, a multitude of dreams.	There was much of the beautiful, much of the wanton, much of the bizarre, something of the terrible, and not a little of that which might have excited disgust. To and fro in the seven chambers there stalked, in fact, a multitude of dreams.	true	396.86	409.89	22
3521_7591_000007_000005	And these--the dreams--writhed in and about, taking hue from the rooms, and causing the wild music of the orchestra to seem as the echo of their steps.	And these-the dreams-writhed in and about, taking hue from the rooms, and causing the wild music of the orchestra to seem as the echo of their steps.	true	409.89	418.39	16
3521_7591_000007_000006	And, anon, there strikes the ebony clock which stands in the hall of the velvet.	And, anon, there strikes the ebony clock which stands in the hall of the velvet.	false	418.52	422.83	21
3521_7591_000007_000007	And then, for a moment, all is still, and all is silent save the voice of the clock.	And then, for a moment, all is still, and all is silent save the voice of the clock.	true	422.9	427.84	22.698565
3521_7591_000007_000008	The dreams are stiff-frozen as they stand.	The dreams are stiff frozen as they stand.	true	428	430.69	22.472578
3521_7591_000007_000009	But the echoes of the chime die away--they have endured but an instant--and a light, half-subdued laughter floats after them as they depart.	But the echoes of the chime die away-they have endured but an instant-and a light, half subdued laughter floats after them as they depart.	false	430.82	438.91	24.649796
3521_7591_000007_000010	And now again the music swells, and the dreams live, and writhe to and fro more merrily than ever, taking hue from the many-tinted windows through which stream the rays from the tripods.	And now again the music swells, and the dreams live, and writhe to and fro more merrily than ever, taking hue from the many tinted windows through which stream the rays from the tripods.	false	438.92	449.23	17
3521_7591_000007_000011	But to the chamber which lies most westwardly of the seven, there are now none of the maskers who venture; for the night is waning away; and there flows a ruddier light through the blood-colored panes; and the blackness of the sable drapery appals; and to him whose foot falls upon the sable carpet, there comes from the near clock of ebony a muffled peal more solemnly emphatic than any which reaches their ears who indulge in the more remote gaieties of the other apartments.	But to the chamber which lies most westwardly of the seven, there are now none of the maskers who venture; for the night is waning away; and there flows a ruddier light through the blood colored panes; and the blackness of the sable drapery appals; and to him whose foot falls upon the sable carpet, there comes from the near clock of ebony a muffled peal more solemnly emphatic than any which reaches their ears who indulge in the more remote gaieties of the other apartments.	false	449.36	473.05	16
3521_7591_000008_000000	But these other apartments were densely crowded, and in them beat feverishly the heart of life.	But these other apartments were densely crowded, and in them beat feverishly the heart of life.	true	473.33	478.335	22
3521_7591_000008_000001	And the revel went whirlingly on, until at length there commenced the sounding of midnight upon the clock.	And the revel went whirlingly on, until at length there commenced the sounding of midnight upon the clock.	true	478.335	483.55	20
3521_7591_000008_000002	And then the music ceased, as I have told; and the evolutions of the waltzers were quieted; and there was an uneasy cessation of all things as before. But now there were twelve strokes to be sounded by the bell of the clock; and thus it happened, perhaps, that more of thought crept, with more of time, into the meditations of the thoughtful among those who revelled.	And then the music ceased, as I have told; and the evolutions of the waltzers were quieted; and there was an uneasy cessation of all things as before. But now there were twelve strokes to be sounded by the bell of the clock; and thus it happened, perhaps, that more of thought crept, with more of time, into the meditations of the thoughtful among those who revelled.	false	483.59	502.74	22
3521_7591_000008_000003	And thus, too, it happened, perhaps, that before the last echoes of the last chime had utterly sunk into silence, there were many individuals in the crowd who had found leisure to become aware of the presence of a masked figure which had arrested the attention of no single individual before.	And thus, too, it happened, perhaps, that before the last echoes of the last chime had utterly sunk into silence, there were many individuals in the crowd who had found leisure to become aware of the presence of a masked figure which had arrested the attention of no single individual before.	true	502.74	517.12	16
3521_7591_000008_000004	And the rumor of this new presence having spread itself whisperingly around, there arose at length from the whole company a buzz, or murmur, expressive of disapprobation and surprise--then, finally, of terror, of horror, and of disgust.	And the rumor of this new presence having spread itself whisperingly around, there arose at length from the whole company a buzz, or murmur, expressive of disapprobation and surprise-then, finally, of terror, of horror, and of disgust.	true	517.4	531.55	23
3521_7591_000009_000000	In an assembly of phantasms such as I have painted, it may well be supposed that no ordinary appearance could have excited such sensation. In truth the masquerade license of the night was nearly unlimited; but the figure in question had out-Heroded Herod, and gone beyond the bounds of even the prince's indefinite decorum.	In an assembly of phantasms such as I have painted, it may well be supposed that no ordinary appearance could have excited such sensation. In truth the masquerade license of the night was nearly unlimited; but the figure in question had out Heroded Herod, and gone beyond the bounds of even the prince's indefinite decorum.	false	531.86	549.13	17
3521_7591_000009_000001	There are chords in the hearts of the most reckless which cannot be touched without emotion.	There are chords in the hearts of the most reckless which cannot be touched without emotion.	true	549.14	553.42	21.980238
3521_7591_000009_000002	Even with the utterly lost, to whom life and death are equally jests, there are matters of which no jest can be made.	Even with the utterly lost, to whom life and death are equally jests, there are matters of which no jest can be made.	true	553.46	559.93	17
3521_7591_000009_000003	The whole company, indeed, seemed now deeply to feel that in the costume and bearing of the stranger neither wit nor propriety existed.	The whole company, indeed, seemed now deeply to feel that in the costume and bearing of the stranger neither wit nor propriety existed.	false	559.97	567.46	14
3521_7591_000009_000004	The figure was tall and gaunt, and shrouded from head to foot in the habiliments of the grave.	The figure was tall and gaunt, and shrouded from head to foot in the habiliments of the grave.	true	567.62	573.045	22.15999
3521_7591_000009_000005	The mask which concealed the visage was made so nearly to resemble the countenance of a stiffened corpse that the closest scrutiny must have had difficulty in detecting the cheat.	The mask which concealed the visage was made so nearly to resemble the countenance of a stiffened corpse that the closest scrutiny must have had difficulty in detecting the cheat.	false	573.045	581.55	18
3521_7591_000009_000006	And yet all this might have been endured, if not approved, by the mad revellers around.	And yet all this might have been endured, if not approved, by the mad revellers around.	true	581.55	586.12	18
3521_7591_000009_000007	But the mummer had gone so far as to assume the type of the Red Death.	But the mummer had gone so far as to assume the type of the Red Death.	true	586.13	589.935	24.474958
3521_7591_000009_000008	His vesture was dabbled in blood--and his broad brow, with all the features of the face, was besprinkled with the scarlet horror.	His vesture was dabbled in blood-and his broad brow, with all the features of the face, was besprinkled with the scarlet horror.	true	589.935	596.89	21
3521_7591_000010_000000	When the eyes of Prince Prospero fell upon this spectral image (which with a slow and solemn movement, as if more fully to sustain its role, stalked to and fro among the waltzers) he was seen to be convulsed, in the first moment with a strong shudder either of terror or distaste; but, in the next, his brow reddened with rage.	When the eyes of Prince Prospero fell upon this spectral image (which with a slow and solemn movement, as if more fully to sustain its role, stalked to and fro among the waltzers) he was seen to be convulsed, in the first moment with a strong shudder either of terror or distaste; but, in the next, his brow reddened with rage.	false	597.35	615.13	18
3521_7591_000011_000000	"Who dares?" he demanded hoarsely of the courtiers who stood near him--"who dares insult us with this blasphemous mockery?	"Who dares?" he demanded hoarsely of the courtiers who stood near him-"who dares insult us with this blasphemous mockery?	true	615.5	623.115	22.376146
3521_7591_000011_000001	Seize him and unmask him--that we may know whom we have to hang at sunrise, from the battlements!"	Seize him and unmask him-that we may know whom we have to hang at sunrise, from the battlements!"	true	623.115	628.45	14
3521_7591_000012_000000	It was in the eastern or blue chamber in which stood the Prince Prospero as he uttered these words.	It was in the eastern or blue chamber in which stood the Prince Prospero as he uttered these words.	true	628.61	633.46	17
3521_7591_000012_000001	They rang throughout the seven rooms loudly and clearly--for the prince was a bold and robust man, and the music had become hushed at the waving of his hand.	They rang throughout the seven rooms loudly and clearly-for the prince was a bold and robust man, and the music had become hushed at the waving of his hand.	true	633.56	641.32	18
3521_7591_000013_000000	It was in the blue room where stood the prince, with a group of pale courtiers by his side.	It was in the blue room where stood the prince, with a group of pale courtiers by his side.	false	641.84	646.66	22
3521_7591_000013_000001	At first, as he spoke, there was a slight rushing movement of this group in the direction of the intruder, who at the moment was also near at hand, and now, with deliberate and stately step, made closer approach to the speaker.	At first, as he spoke, there was a slight rushing movement of this group in the direction of the intruder, who at the moment was also near at hand, and now, with deliberate and stately step, made closer approach to the speaker.	true	646.91	658.54	20
3521_7591_000013_000002	But from a certain nameless awe with which the mad assumptions of the mummer had inspired the whole party, there were found none who put forth hand to seize him; so that, unimpeded, he passed within a yard of the prince's person; and, while the vast assembly, as if with one impulse, shrank from the centres of the rooms to the walls, he made his way uninterruptedly, but with the same solemn and measured step which had distinguished him from the first, through the blue chamber to the purple--through the purple to the green--through the green to the orange--through this again to the white--and even thence to the violet, ere a decided movement had been made to arrest him.	But from a certain nameless awe with which the mad assumptions of the mummer had inspired the whole party, there were found none who put forth hand to seize him; so that, unimpeded, he passed within a yard of the prince's person; and, while the vast assembly, as if with one impulse, shrank from the centres of the rooms to the walls, he made his way uninterruptedly, but with the same solemn and measured step which had distinguished him from the first, through the blue chamber to the purple-through the purple to the green-through the green to the orange-through this again to the white-and even thence to the violet, ere a decided movement had been made to arrest him.	false	658.55	693.13	17
3521_7591_000013_000003	It was then, however, that the Prince Prospero, maddening with rage and the shame of his own momentary cowardice, rushed hurriedly through the six chambers, while none followed him on account of a deadly terror that had seized upon all.	It was then, however, that the Prince Prospero, maddening with rage and the shame of his own momentary cowardice, rushed hurriedly through the six chambers, while none followed him on account of a deadly terror that had seized upon all.	false	693.38	705.19	17
3521_7591_000013_000004	He bore aloft a drawn dagger, and had approached, in rapid impetuosity, to within three or four feet of the retreating figure, when the latter, having attained the extremity of the velvet apartment, turned suddenly and confronted his pursuer.	He bore aloft a drawn dagger, and had approached, in rapid impetuosity, to within three or four feet of the retreating figure, when the latter, having attained the extremity of the velvet apartment, turned suddenly and confronted his pursuer.	true	705.23	717.85	19
3521_7591_000013_000005	There was a sharp cry--and the dagger dropped gleaming upon the sable carpet, upon which, instantly afterwards, fell prostrate in death the Prince Prospero.	There was a sharp cry-and the dagger dropped gleaming upon the sable carpet, upon which, instantly afterwards, fell prostrate in death the Prince Prospero.	false	718.07	727.21	25.887926
3521_7591_000013_000006	Then, summoning the wild courage of despair, a throng of the revellers at once threw themselves into the black apartment, and, seizing the mummer, whose tall figure stood erect and motionless within the shadow of the ebony clock, gasped in unutterable horror at finding the grave-cerements and corpse-like mask which they handled with so violent a rudeness, untenanted by any tangible form.	Then, summoning the wild courage of despair, a throng of the revellers at once threw themselves into the black apartment, and, seizing the mummer, whose tall figure stood erect and motionless within the shadow of the ebony clock, gasped in unutterable horror at finding the grave cerements and corpse like mask which they handled with so violent a rudeness, untenanted by any tangible form.	true	727.61	748.3	16
3521_7591_000014_000000	And now was acknowledged the presence of the Red Death.	And now was acknowledged the presence of the Red Death.	true	748.61	751.53	22.351128
3521_7591_000014_000001	He had come like a thief in the night.	He had come like a thief in the night.	false	751.53	753.72	21.809309
3521_7591_000014_000002	And one by one dropped the revellers in the blood-bedewed halls of their revel, and died each in the despairing posture of his fall.	And one by one dropped the revellers in the blood bedewed halls of their revel, and died each in the despairing posture of his fall.	true	753.72	761.11	20
3521_7591_000014_000003	And the life of the ebony clock went out with that of the last of the gay.	And the life of the ebony clock went out with that of the last of the gay.	true	761.27	765.13	22.991583
3521_7591_000014_000004	And the flames of the tripods expired.	And the flames of the tripods expired.	true	765.35	767.85	23.079657
3521_7591_000014_000005	And Darkness and Decay and the Red Death held illimitable dominion over all.	And Darkness and Decay and the Red Death held illimitable dominion over all.	true	767.85	772.41	17
3521_7591_000015_000000	THE CASK OF AMONTILLADO.	THE CASK OF AMONTILLADO.	false	772.41	775.65	15.339073
3521_7591_000016_000000	THE thousand injuries of Fortunato I had borne as I best could; but when he ventured upon insult, I vowed revenge.	THE thousand injuries of Fortunato I had borne as I best could; but when he ventured upon insult, I vowed revenge.	false	775.65	776.34	15
3521_7591_000016_000001	You, who so well know the nature of my soul, will not suppose, however, that I gave utterance to a threat.	You, who so well know the nature of my soul, will not suppose, however, that I gave utterance to a threat.	false	776.34	777.72	22.905354
3521_7591_000016_000002	_At length_ I would be avenged; this was a point definitively settled--but the very definitiveness with which it was resolved, precluded the idea of risk.	underscore At length underscore I would be avenged; this was a point definitively settled-but the very definitiveness with which it was resolved, precluded the idea of risk.	false	777.72	780.06	24.435505
3521_7591_000016_000003	I must not only punish, but punish with impunity.	I must not only punish, but punish with impunity.	false	780.06	780.81	-20
3521_7591_000016_000004	A wrong is unredressed when retribution overtakes its redresser.	A wrong is unredressed when retribution overtakes its redresser.	false	780.81	781.59	-20
3521_7591_000016_000005	It is equally unredressed when the avenger fails to make himself felt as such to him who has done the wrong.	It is equally unredressed when the avenger fails to make himself felt as such to him who has done the wrong.	false	781.59	783.33	-20
