8404_282926_000000_000000	XI	XI	false	18.06	18.45	-20
8404_282926_000004_000003	Back of the /jacal/ a tremendous forest of bristling pear, twenty feet high at its worst, crowded almost to its door.	Back of the /jacal/ a tremendous forest of bristling pear, twenty feet high at its worst, crowded almost to its door.	false	110.94	119.47	22.90813
8404_282926_000004_000004	It was along the bewildering maze of this spinous thicket that the speckled roan would bring the Kid to see his girl.	It was along the bewildering maze of this spinous thicket that the speckled roan would bring the Kid to see his girl.	false	119.87	126.94	21.604713
8404_282926_000004_000005	And once, clinging like a lizard to the ridge-pole, high up under the peaked grass roof, he had heard Tonia, with her Madonna face and Carmen beauty and humming-bird soul, parley with the sheriff's posse, denying knowledge of her man in her soft /melange/ of Spanish and English.	And once, clinging like a lizard to the ridge pole, high up under the peaked grass roof, he had heard Tonia, with her Madonna face and Carmen beauty and humming bird soul, parley with the sheriff's posse, denying knowledge of her man in her soft /melange/ of Spanish and English.	false	127.22	144.79	21.248495
8404_282926_000005_000000	One day the adjutant-general of the State, who is, /ex offico/, commander of the ranger forces, wrote some sarcastic lines to Captain Duval of Company X, stationed at Laredo, relative to the serene and undisturbed existence led by murderers and desperadoes in the said captain's territory.	One day the adjutant general of the State, who is, /ex offico/, commander of the ranger forces, wrote some sarcastic lines to Captain Duval of Company X, stationed at Laredo, relative to the serene and undisturbed existence led by murderers and desperadoes in the said captain's territory.	false	145.55	165.55	20.736324
8404_282926_000006_000000	The captain turned the colour of brick dust under his tan, and forwarded the letter, after adding a few comments, per ranger Private Bill Adamson, to ranger Lieutenant Sandridge, camped at a water hole on the Nueces with a squad of five men in preservation of law and order.	The captain turned the colour of brick dust under his tan, and forwarded the letter, after adding a few comments, per ranger Private Bill Adamson, to ranger Lieutenant Sandridge, camped at a water hole on the Nueces with a squad of five men in preservation of law and order.	true	166.16	183.37	21.151924
8404_282926_000007_000000	Lieutenant Sandridge turned a beautiful /couleur de rose/ through his ordinary strawberry complexion, tucked the letter in his hip pocket, and chewed off the ends of his gamboge moustache.	Lieutenant Sandridge turned a beautiful /couleur de rose/ through his ordinary strawberry complexion, tucked the letter in his hip pocket, and chewed off the ends of his gamboge moustache.	true	183.8	195.28	20.287365
8404_282926_000008_000000	The next morning he saddled his horse and rode alone to the Mexican settlement at the Lone Wolf Crossing of the Frio, twenty miles away.	The next morning he saddled his horse and rode alone to the Mexican settlement at the Lone Wolf Crossing of the Frio, twenty miles away.	true	195.8	203.62	18
8404_282926_000009_000000	Six feet two, blond as a Viking, quiet as a deacon, dangerous as a machine gun, Sandridge moved among the /Jacales/, patiently seeking news of the Cisco Kid.	Six feet two, blond as a Viking, quiet as a deacon, dangerous as a machine gun, Sandridge moved among the /Jacales/, patiently seeking news of the Cisco Kid.	false	203.81	214.65	21.876059
8404_282926_000010_000000	Far more than the law, the Mexicans dreaded the cold and certain vengeance of the lone rider that the ranger sought.	Far more than the law, the Mexicans dreaded the cold and certain vengeance of the lone rider that the ranger sought.	false	214.65	221.62	21.64778
8404_282926_000010_000001	It had been one of the Kid's pastimes to shoot Mexicans "to see them kick": if he demanded from them moribund Terpsichorean feats, simply that he might be entertained, what terrible and extreme penalties would be certain to follow should they anger him!	It had been one of the Kid's pastimes to shoot Mexicans "to see them kick": if he demanded from them moribund Terpsichorean feats, simply that he might be entertained, what terrible and extreme penalties would be certain to follow should they anger him!	true	222.2	237.94	21.90639
8404_282926_000010_000002	One and all they lounged with upturned palms and shrugging shoulders, filling the air with "/quien sabes/" and denials of the Kid's acquaintance.	One and all they lounged with upturned palms and shrugging shoulders, filling the air with "/quien sabes/" and denials of the Kid's acquaintance.	true	238.37	247.3	21.610884
8404_282926_000011_000000	But there was a man named Fink who kept a store at the Crossing--a man of many nationalities, tongues, interests, and ways of thinking.	But there was a man named Fink who kept a store at the Crossing-a man of many nationalities, tongues, interests, and ways of thinking.	true	247.7	256.33	20.090988
8404_282926_000012_000000	"No use to ask them Mexicans," he said to Sandridge.	"No use to ask them Mexicans," he said to Sandridge.	true	256.4	259.45	19
8404_282926_000012_000001	"They're afraid to tell.	"They're afraid to tell.	true	259.61	261.07	20.644932
8404_282926_000012_000002	This /hombre/ they call the Kid--Goodall is his name, ain't it?--he's been in my store once or twice.	This /hombre/ they call the Kid-Goodall is his name, ain't it?--he's been in my store once or twice.	true	261.11	267.43	21.830898
8404_282926_000012_000003	I have an idea you might run across him at--but I guess I don't keer to say, myself.	I have an idea you might run across him at-but I guess I don't keer to say, myself.	true	267.59	272.98	20.622995
8404_282926_000012_000004	I'm two seconds later in pulling a gun than I used to be, and the difference is worth thinking about.	I'm two seconds later in pulling a gun than I used to be, and the difference is worth thinking about.	true	273.11	278.235	20.998888
8404_282926_000012_000005	But this Kid's got a half-Mexican girl at the Crossing that he comes to see.	But this Kid's got a half Mexican girl at the Crossing that he comes to see.	true	278.235	282.52	20
8404_282926_000012_000006	She lives in that /jacal/ a hundred yards down the arroyo at the edge of the pear.	She lives in that /jacal/ a hundred yards down the arroyo at the edge of the pear.	false	282.56	287.74	22.1387
8404_282926_000012_000007	Maybe she--no, I don't suppose she would, but that /jacal/ would be a good place to watch, anyway."	Maybe she-no, I don't suppose she would, but that /jacal/ would be a good place to watch, anyway."	true	287.87	294.25	22.730042
8404_282926_000013_000000	Sandridge rode down to the /jacal/ of Perez.	Sandridge rode down to the /jacal/ of Perez.	false	294.77	297.55	21.436964
8404_282926_000013_000001	The sun was low, and the broad shade of the great pear thicket already covered the grass- thatched hut.	The sun was low, and the broad shade of the great pear thicket already covered the grass thatched hut.	true	297.89	303.97	22.637125
8404_282926_000013_000002	The goats were enclosed for the night in a brush corral near by.	The goats were enclosed for the night in a brush corral near by.	true	304.43	308.14	23.094173
8404_282926_000013_000003	A few kids walked the top of it, nibbling the chaparral leaves.	A few kids walked the top of it, nibbling the chaparral leaves.	true	308.57	313.39	22.014997
8404_282926_000013_000004	The old Mexican lay upon a blanket on the grass, already in a stupor from his mescal, and dreaming, perhaps, of the nights when he and Pizarro touched glasses to their New World fortunes--so old his wrinkled face seemed to proclaim him to be.	The old Mexican lay upon a blanket on the grass, already in a stupor from his mescal, and dreaming, perhaps, of the nights when he and Pizarro touched glasses to their New World fortunes-so old his wrinkled face seemed to proclaim him to be.	false	313.88	328.93	21.649933
8404_282926_000013_000005	And in the door of the /jacal/ stood Tonia.	And in the door of the /jacal/ stood Tonia.	false	329.24	331.84	21.888931
8404_282926_000013_000006	And Lieutenant Sandridge sat in his saddle staring at her like a gannet agape at a sailorman.	And Lieutenant Sandridge sat in his saddle staring at her like a gannet agape at a sailorman.	false	331.94	337.96	18
8404_282926_000014_000000	The Cisco Kid was a vain person, as all eminent and successful assassins are, and his bosom would have been ruffled had he known that at a simple exchange of glances two persons, in whose minds he had been looming large, suddenly abandoned (at least for the time) all thought of him.	The Cisco Kid was a vain person, as all eminent and successful assassins are, and his bosom would have been ruffled had he known that at a simple exchange of glances two persons, in whose minds he had been looming large, suddenly abandoned (at least for the time) all thought of him.	true	338.66	357.31	21.646875
8404_282926_000015_000000	Never before had Tonia seen such a man as this.	Never before had Tonia seen such a man as this.	true	358.01	361.12	20
8404_282926_000015_000001	He seemed to be made of sunshine and blood-red tissue and clear weather.	He seemed to be made of sunshine and blood red tissue and clear weather.	true	361.19	365.35	17
8404_282926_000015_000002	He seemed to illuminate the shadow of the pear when he smiled, as though the sun were rising again.	He seemed to illuminate the shadow of the pear when he smiled, as though the sun were rising again.	true	365.63	371.44	19.40407
8404_282926_000015_000003	The men she had known had been small and dark.	The men she had known had been small and dark.	true	371.93	374.98	20.108362
8404_282926_000015_000004	Even the Kid, in spite of his achievements, was a stripling no larger than herself, with black, straight hair and a cold, marble face that chilled the noonday.	Even the Kid, in spite of his achievements, was a stripling no larger than herself, with black, straight hair and a cold, marble face that chilled the noonday.	true	375.05	384.76	22.524582
8404_282926_000016_000000	As for Tonia, though she sends description to the poorhouse, let her make a millionaire of your fancy.	As for Tonia, though she sends description to the poorhouse, let her make a millionaire of your fancy.	true	385.34	391.54	21.472221
8404_282926_000016_000001	Her blue-black hair, smoothly divided in the middle and bound close to her head, and her large eyes full of the Latin melancholy, gave her the Madonna touch.	Her blue black hair, smoothly divided in the middle and bound close to her head, and her large eyes full of the Latin melancholy, gave her the Madonna touch.	true	391.58	401.02	20.766418
8404_282926_000016_000002	Her motions and air spoke of the concealed fire and the desire to charm that she had inherited from the /gitanas/ of the Basque province.	Her motions and air spoke of the concealed fire and the desire to charm that she had inherited from the /gitanas/ of the Basque province.	true	401.36	410.5	21.94812
8404_282926_000016_000003	As for the humming-bird part of her, that dwelt in her heart; you could not perceive it unless her bright red skirt and dark blue blouse gave you a symbolic hint of the vagarious bird.	As for the humming bird part of her, that dwelt in her heart; you could not perceive it unless her bright red skirt and dark blue blouse gave you a symbolic hint of the vagarious bird.	true	411.59	422.59	22.410357
8404_282926_000017_000000	The newly lighted sun-god asked for a drink of water.	The newly lighted sun god asked for a drink of water.	true	423.53	426.7	21.776028
8404_282926_000017_000001	Tonia brought it from the red jar hanging under the brush shelter.	Tonia brought it from the red jar hanging under the brush shelter.	true	426.77	430.15	21.124413
8404_282926_000017_000002	Sandridge considered it necessary to dismount so as to lessen the trouble of her ministrations.	Sandridge considered it necessary to dismount so as to lessen the trouble of her ministrations.	true	430.55	435.7	16
8404_282926_000018_000000	I play no spy; nor do I assume to master the thoughts of any human heart; but I assert, by the chronicler's right, that before a quarter of an hour had sped, Sandridge was teaching her how to plaint a six-strand rawhide stake-rope, and Tonia had explained to him that were it not for her little English book that the peripatetic /padre/ had given her and the little crippled /chivo/, that she fed from a bottle, she would be very, very lonely indeed.	I play no spy; nor do I assume to master the thoughts of any human heart; but I assert, by the chronicler's right, that before a quarter of an hour had sped, Sandridge was teaching her how to plaint a six strand rawhide stake rope, and Tonia had explained to him that were it not for her little English book that the peripatetic /padre/ had given her and the little crippled /chivo/, that she fed from a bottle, she would be very, very lonely indeed.	false	436.31	465.06	22.096226
8404_282926_000019_000000	Which leads to a suspicion that the Kid's fences needed repairing, and that the adjutant-general's sarcasm had fallen upon unproductive soil.	Which leads to a suspicion that the Kid's fences needed repairing, and that the adjutant general's sarcasm had fallen upon unproductive soil.	true	465.06	473.41	21.948345
8404_282926_000020_000000	In his camp by the water hole Lieutenant Sandridge announced and reiterated his intention of either causing the Cisco Kid to nibble the black loam of the Frio country prairies or of haling him before a judge and jury.	In his camp by the water hole Lieutenant Sandridge announced and reiterated his intention of either causing the Cisco Kid to nibble the black loam of the Frio country prairies or of haling him before a judge and jury.	true	474.05	487.45	19
8404_282926_000020_000001	That sounded business-like.	That sounded business like.	true	487.52	489.1	22.68587
8404_282926_000020_000002	Twice a week he rode over to the Lone Wolf Crossing of the Frio, and directed Tonia's slim, slightly lemon-tinted fingers among the intricacies of the slowly growing lariata.	Twice a week he rode over to the Lone Wolf Crossing of the Frio, and directed Tonia's slim, slightly lemon tinted fingers among the intricacies of the slowly growing lariata.	true	489.26	500.65	21
8404_282926_000020_000003	A six-strand plait is hard to learn and easy to teach.	A six strand plait is hard to learn and easy to teach.	true	500.87	504.4	22.492401
8404_282926_000021_000000	The ranger knew that he might find the Kid there at any visit.	The ranger knew that he might find the Kid there at any visit.	true	504.92	508.54	19
8404_282926_000021_000001	He kept his armament ready, and had a frequent eye for the pear thicket at the rear of the /jacal/.	He kept his armament ready, and had a frequent eye for the pear thicket at the rear of the /jacal/.	false	508.67	514.77	21.113049
8404_282926_000021_000002	Thus he might bring down the kite and the humming-bird with one stone.	Thus he might bring down the kite and the humming bird with one stone.	true	514.77	518.59	22
8404_282926_000022_000000	While the sunny-haired ornithologist was pursuing his studies the Cisco Kid was also attending to his professional duties.	While the sunny haired ornithologist was pursuing his studies the Cisco Kid was also attending to his professional duties.	true	519.26	526.54	20.813856
8404_282926_000022_000001	He moodily shot up a saloon in a small cow village on Quintana Creek, killed the town marshal (plugging him neatly in the centre of his tin badge), and then rode away, morose and unsatisfied.	He moodily shot up a saloon in a small cow village on Quintana Creek, killed the town marshal (plugging him neatly in the centre of his tin badge), and then rode away, morose and unsatisfied.	true	527.27	539.29	21.059027
8404_282926_000022_000002	No true artist is uplifted by shooting an aged man carrying an old-style .38 bulldog.	No true artist is uplifted by shooting an aged man carrying an old style point three eight bulldog.	false	539.6	545.28	20.924116
8404_282926_000023_000000	On his way the Kid suddenly experienced the yearning that all men feel when wrong-doing loses its keen edge of delight.	On his way the Kid suddenly experienced the yearning that all men feel when wrong doing loses its keen edge of delight.	false	545.28	552.22	21
8404_282926_000023_000001	He yearned for the woman he loved to reassure him that she was his in spite of it.	He yearned for the woman he loved to reassure him that she was his in spite of it.	true	552.38	556.96	18
8404_282926_000023_000002	He wanted her to call his bloodthirstiness bravery and his cruelty devotion.	He wanted her to call his bloodthirstiness bravery and his cruelty devotion.	true	557.45	562.24	21.87312
8404_282926_000023_000003	He wanted Tonia to bring him water from the red jar under the brush shelter, and tell him how the /chivo/ was thriving on the bottle.	He wanted Tonia to bring him water from the red jar under the brush shelter, and tell him how the /chivo/ was thriving on the bottle.	true	562.49	569.92	21.274057
8404_282926_000024_000000	The Kid turned the speckled roan's head up the ten-mile pear flat that stretches along the Arroyo Hondo until it ends at the Lone Wolf Crossing of the Frio.	The Kid turned the speckled roan's head up the ten mile pear flat that stretches along the Arroyo Hondo until it ends at the Lone Wolf Crossing of the Frio.	true	570.95	580.48	21.497643
8404_282926_000024_000001	The roan whickered; for he had a sense of locality and direction equal to that of a belt-line street-car horse; and he knew he would soon be nibbling the rich mesquite grass at the end of a forty-foot stake-rope while Ulysses rested his head in Circe's straw-roofed hut.	The roan whickered; for he had a sense of locality and direction equal to that of a belt line street car horse; and he knew he would soon be nibbling the rich mesquite grass at the end of a forty foot stake rope while Ulysses rested his head in Circe's straw roofed hut.	true	581.06	599.44	20.386974
8404_282926_000025_000000	More weird and lonesome than the journey of an Amazonian explorer is the ride of one through a Texas pear flat.	More weird and lonesome than the journey of an Amazonian explorer is the ride of one through a Texas pear flat.	true	600.23	607.18	19
8404_282926_000025_000001	With dismal monotony and startling variety the uncanny and multiform shapes of the cacti lift their twisted trunks, and fat, bristly hands to encumber the way.	With dismal monotony and startling variety the uncanny and multiform shapes of the cacti lift their twisted trunks, and fat, bristly hands to encumber the way.	true	607.64	618.94	22.109806
8404_282926_000025_000002	The demon plant, appearing to live without soil or rain, seems to taunt the parched traveller with its lush grey greenness.	The demon plant, appearing to live without soil or rain, seems to taunt the parched traveller with its lush grey greenness.	true	619.25	628.18	21.885479
8404_282926_000025_000003	It warps itself a thousand times about what look to be open and inviting paths, only to lure the rider into blind and impassable spine-defended "bottoms of the bag," leaving him to retreat, if he can, with the points of the compass whirling in his head.	It warps itself a thousand times about what look to be open and inviting paths, only to lure the rider into blind and impassable spine defended "bottoms of the bag," leaving him to retreat, if he can, with the points of the compass whirling in his head.	true	628.31	644.56	22.255558
8404_282926_000026_000000	To be lost in the pear is to die almost the death of the thief on the cross, pierced by nails and with grotesque shapes of all the fiends hovering about.	To be lost in the pear is to die almost the death of the thief on the cross, pierced by nails and with grotesque shapes of all the fiends hovering about.	true	645.08	653.92	21.679567
8404_282926_000027_000000	But it was not so with the Kid and his mount.	But it was not so with the Kid and his mount.	false	654.98	657.4	21.920227
8404_282926_000027_000001	Winding, twisting, circling, tracing the most fantastic and bewildering trail ever picked out, the good roan lessened the distance to the Lone Wolf Crossing with every coil and turn that he made.	Winding, twisting, circling, tracing the most fantastic and bewildering trail ever picked out, the good roan lessened the distance to the Lone Wolf Crossing with every coil and turn that he made.	false	657.53	669.82	22
8404_282926_000028_000000	While they fared the Kid sang.	While they fared the Kid sang.	false	670.49	672.69	21.327568
8404_282926_000028_000001	He knew but one tune and sang it, as he knew but one code and lived it, and but one girl and loved her.	He knew but one tune and sang it, as he knew but one code and lived it, and but one girl and loved her.	true	672.69	678.76	21.800476
8404_282926_000028_000002	He was a single-minded man of conventional ideas.	He was a single minded man of conventional ideas.	true	679.1	682.21	19.530842
8404_282926_000028_000003	He had a voice like a coyote with bronchitis, but whenever he chose to sing his song he sang it.	He had a voice like a coyote with bronchitis, but whenever he chose to sing his song he sang it.	true	682.49	688.45	20.489061
8404_282926_000028_000004	It was a conventional song of the camps and trail, running at its beginning as near as may be to these words:	It was a conventional song of the camps and trail, running at its beginning as near as may be to these words:	false	688.7	695.35	21
8404_282926_000029_000000	Don't you monkey with my Lulu girl Or I'll tell you what I'll do--	Don't you monkey with my Lulu girl Or I'll tell you what I'll do-	true	695.81	700.03	21.79987
8404_282926_000030_000000	and so on.	and so on.	true	700.22	701.29	19.807535
8404_282926_000030_000001	The roan was inured to it, and did not mind.	The roan was inured to it, and did not mind.	false	701.57	704.32	21.177887
8404_282926_000031_000000	But even the poorest singer will, after a certain time, gain his own consent to refrain from contributing to the world's noises.	But even the poorest singer will, after a certain time, gain his own consent to refrain from contributing to the world's noises.	true	704.54	711.63	16
8404_282926_000031_000001	So the Kid, by the time he was within a mile or two of Tonia's /jacal/, had reluctantly allowed his song to die away--not because his vocal performance had become less charming to his own ears, but because his laryngeal muscles were aweary.	So the Kid, by the time he was within a mile or two of Tonia's /jacal/, had reluctantly allowed his song to die away-not because his vocal performance had become less charming to his own ears, but because his laryngeal muscles were aweary.	false	711.63	727.39	20.60017
8404_282926_000032_000000	As though he were in a circus ring the speckled roan wheeled and danced through the labyrinth of pear until at length his rider knew by certain landmarks that the Lone Wolf Crossing was close at hand.	As though he were in a circus ring the speckled roan wheeled and danced through the labyrinth of pear until at length his rider knew by certain landmarks that the Lone Wolf Crossing was close at hand.	true	727.82	740.17	21.72593
8404_282926_000032_000001	Then, where the pear was thinner, he caught sight of the grass roof of the /jacal/ and the hackberry tree on the edge of the arroyo.	Then, where the pear was thinner, he caught sight of the grass roof of the /jacal/ and the hackberry tree on the edge of the arroyo.	false	740.48	748.42	22.465534
8404_282926_000032_000002	A few yards farther the Kid stopped the roan and gazed intently through the prickly openings.	A few yards farther the Kid stopped the roan and gazed intently through the prickly openings.	true	748.88	754.45	21.305838
8404_282926_000032_000003	Then he dismounted, dropped the roan's reins, and proceeded on foot, stooping and silent, like an Indian.	Then he dismounted, dropped the roan's reins, and proceeded on foot, stooping and silent, like an Indian.	true	754.73	761.68	21.712265
8404_282926_000032_000004	The roan, knowing his part, stood still, making no sound.	The roan, knowing his part, stood still, making no sound.	true	761.93	766.15	18.941572
8404_282926_000033_000000	The Kid crept noiselessly to the very edge of the pear thicket and reconnoitred between the leaves of a clump of cactus.	The Kid crept noiselessly to the very edge of the pear thicket and reconnoitred between the leaves of a clump of cactus.	true	766.58	773.8	20.850039
8404_282926_000034_000000	Ten yards from his hiding-place, in the shade of the /jacal/, sat his Tonia calmly plaiting a rawhide lariat.	Ten yards from his hiding place, in the shade of the /jacal/, sat his Tonia calmly plaiting a rawhide lariat.	false	774.47	782.38	20.628227
8404_282926_000034_000001	So far she might surely escape condemnation; women have been known, from time to time, to engage in more mischievous occupations.	So far she might surely escape condemnation; women have been known, from time to time, to engage in more mischievous occupations.	true	782.48	790.54	18.81492
8404_282926_000034_000002	But if all must be told, there is to be added that her head reposed against the broad and comfortable chest of a tall red-and-yellow man, and that his arm was about her, guiding her nimble fingers that required so many lessons at the intricate six- strand plait.	But if all must be told, there is to be added that her head reposed against the broad and comfortable chest of a tall red and yellow man, and that his arm was about her, guiding her nimble fingers that required so many lessons at the intricate six strand plait.	true	790.82	808.66	21.54492
8404_282926_000035_000000	Sandridge glanced quickly at the dark mass of pear when he heard a slight squeaking sound that was not altogether unfamiliar.	Sandridge glanced quickly at the dark mass of pear when he heard a slight squeaking sound that was not altogether unfamiliar.	true	808.76	816.22	23
8404_282926_000035_000001	A gun- scabbard will make that sound when one grasps the handle of a six- shooter suddenly.	A gun scabbard will make that sound when one grasps the handle of a six shooter suddenly.	true	816.35	821.83	20.911423
8404_282926_000035_000002	But the sound was not repeated; and Tonia's fingers needed close attention.	But the sound was not repeated; and Tonia's fingers needed close attention.	true	822.29	826.9	21.365961
8404_282926_000036_000000	And then, in the shadow of death, they began to talk of their love; and in the still July afternoon every word they uttered reached the ears of the Kid.	And then, in the shadow of death, they began to talk of their love; and in the still July afternoon every word they uttered reached the ears of the Kid.	true	827.45	837.13	21.520117
8404_282926_000037_000000	"Remember, then," said Tonia, "you must not come again until I send for you.	"Remember, then," said Tonia, "you must not come again until I send for you.	true	837.59	842.38	19.891703
8404_282926_000037_000001	Soon he will be here.	Soon he will be here.	true	842.42	843.88	24.214659
8404_282926_000037_000002	A /vaquero/ at the /tienda/ said to-day he saw him on the Guadalupe three days ago.	A /vaquero/ at the /tienda/ said to day he saw him on the Guadalupe three days ago.	true	844.07	849.55	21.395514
8404_282926_000037_000003	When he is that near he always comes.	When he is that near he always comes.	true	849.89	852.58	20
8404_282926_000037_000004	If he comes and finds you here he will kill you.	If he comes and finds you here he will kill you.	true	852.71	855.73	17
8404_282926_000037_000005	So, for my sake, you must come no more until I send you the word."	So, for my sake, you must come no more until I send you the word."	true	855.86	859.81	19
8404_282926_000038_000000	"All right," said the stranger.	"All right," said the stranger.	true	859.97	861.36	21.562935
8404_282926_000038_000001	"And then what?"	"And then what?"	true	861.36	862.33	23.73154
8404_282926_000039_000000	"And then," said the girl, "you must bring your men here and kill him. If not, he will kill you."	"And then," said the girl, "you must bring your men here and kill him. If not, he will kill you."	true	862.67	868.57	22.24797
8404_282926_000040_000000	"He ain't a man to surrender, that's sure," said Sandridge.	"He ain't a man to surrender, that's sure," said Sandridge.	false	869.69	872.98	18
8404_282926_000040_000001	"It's kill or be killed for the officer that goes up against Mr. Cisco Kid."	"It's kill or be killed for the officer that goes up against mr Cisco Kid."	true	873.05	877.6	20.858686
8404_282926_000041_000000	"He must die," said the girl.	"He must die," said the girl.	true	877.88	879.76	24.225704
8404_282926_000041_000001	"Otherwise there will not be any peace in the world for thee and me.	"Otherwise there will not be any peace in the world for thee and me.	false	879.77	883.42	18
8404_282926_000041_000002	He has killed many.	He has killed many.	false	883.85	885.57	23.902561
8404_282926_000041_000003	Let him so die. Bring your men, and give him no chance to escape."	Let him so die. Bring your men, and give him no chance to escape."	false	885.57	890.23	17.878656
8404_282926_000042_000000	"You used to think right much of him," said Sandridge.	"You used to think right much of him," said Sandridge.	true	890.78	893.53	19
8404_282926_000043_000000	Tonia dropped the lariat, twisted herself around, and curved a lemon- tinted arm over the ranger's shoulder.	Tonia dropped the lariat, twisted herself around, and curved a lemon tinted arm over the ranger's shoulder.	true	893.66	900.43	22.350786
8404_282926_000044_000000	"But then," she murmured in liquid Spanish, "I had not beheld thee, thou great, red mountain of a man!	"But then," she murmured in liquid Spanish, "I had not beheld thee, thou great, red mountain of a man!	true	900.8	907.3	20.96513
8404_282926_000044_000001	And thou art kind and good, as well as strong.	And thou art kind and good, as well as strong.	true	907.94	911.02	22.973875
8404_282926_000044_000002	Could one choose him, knowing thee?	Could one choose him, knowing thee?	false	911.27	913.92	18.47102
8404_282926_000044_000003	Let him die; for then I will not be filled with fear by day and night lest he hurt thee or me."	Let him die; for then I will not be filled with fear by day and night lest he hurt thee or me."	true	913.92	920.17	21.257895
8404_282926_000045_000000	"How can I know when he comes?" asked Sandridge.	"How can I know when he comes?" asked Sandridge.	true	920.69	923.35	17.052828
8404_282926_000046_000000	"When he comes," said Tonia, "he remains two days, sometimes three. Gregorio, the small son of old Luisa, the /lavendera/, has a swift pony.	"When he comes," said Tonia, "he remains two days, sometimes three. Gregorio, the small son of old Luisa, the /lavendera/, has a swift pony.	true	923.63	933.97	21.03734
8404_282926_000046_000001	I will write a letter to thee and send it by him, saying how it will be best to come upon him.	I will write a letter to thee and send it by him, saying how it will be best to come upon him.	false	934.22	939.73	20.798935
8404_282926_000046_000002	By Gregorio will the letter come.	By Gregorio will the letter come.	false	939.86	942.16	22.214106
8404_282926_000046_000003	And bring many men with thee, and have much care, oh, dear red one, for the rattlesnake is not quicker to strike than is '/El Chivato/,' as they call him, to send a ball from his /pistola/."	And bring many men with thee, and have much care, oh, dear red one, for the rattlesnake is not quicker to strike than is '/El Chivato/,' as they call him, to send a ball from his /pistola/."	true	942.32	955.54	22.04956
8404_282926_000047_000000	"The Kid's handy with his gun, sure enough," admitted Sandridge, "but when I come for him I shall come alone.	"The Kid's handy with his gun, sure enough," admitted Sandridge, "but when I come for him I shall come alone.	true	956.18	962.62	19.956303
8404_282926_000047_000001	I'll get him by myself or not at all.	I'll get him by myself or not at all.	true	962.69	965.17	23.330568
8404_282926_000047_000002	The Cap wrote one or two things to me that make me want to do the trick without any help.	The Cap wrote one or two things to me that make me want to do the trick without any help.	true	965.48	970.62	21.833506
8404_282926_000047_000003	You let me know when Mr. Kid arrives, and I'll do the rest."	You let me know when mr Kid arrives, and I'll do the rest."	false	970.62	973.96	21.618286
8404_282926_000048_000000	"I will send you the message by the boy Gregorio," said the girl.	"I will send you the message by the boy Gregorio," said the girl.	true	974.3	978.25	22.902988
8404_282926_000048_000001	"I knew you were braver than that small slayer of men who never smiles. How could I ever have thought I cared for him?"	"I knew you were braver than that small slayer of men who never smiles. How could I ever have thought I cared for him?"	true	978.65	985.81	21.14406
