8404_282926_000001_000000	THE CABALLERO'S WAY	THE CABALLERO'S WAY
8404_282926_000012_000003	I have an idea you might run across him at--but I guess I don't keer to say, myself.	I have an idea you might run across him at-but I guess I don't keer to say, myself.
8404_282926_000012_000004	I'm two seconds later in pulling a gun than I used to be, and the difference is worth thinking about.	I'm two seconds later in pulling a gun than I used to be, and the difference is worth thinking about.
8404_282926_000012_000005	But this Kid's got a half-Mexican girl at the Crossing that he comes to see.	But this Kid's got a half Mexican girl at the Crossing that he comes to see.
8404_282926_000012_000007	Maybe she--no, I don't suppose she would, but that /jacal/ would be a good place to watch, anyway."	Maybe she-no, I don't suppose she would, but that /jacal/ would be a good place to watch, anyway."
8404_282926_000013_000001	The sun was low, and the broad shade of the great pear thicket already covered the grass- thatched hut.	The sun was low, and the broad shade of the great pear thicket already covered the grass thatched hut.
8404_282926_000013_000002	The goats were enclosed for the night in a brush corral near by.	The goats were enclosed for the night in a brush corral near by.
8404_282926_000013_000003	A few kids walked the top of it, nibbling the chaparral leaves.	A few kids walked the top of it, nibbling the chaparral leaves.
8404_282926_000014_000000	The Cisco Kid was a vain person, as all eminent and successful assassins are, and his bosom would have been ruffled had he known that at a simple exchange of glances two persons, in whose minds he had been looming large, suddenly abandoned (at least for the time) all thought of him.	The Cisco Kid was a vain person, as all eminent and successful assassins are, and his bosom would have been ruffled had he known that at a simple exchange of glances two persons, in whose minds he had been looming large, suddenly abandoned (at least for the time) all thought of him.
8404_282926_000015_000000	Never before had Tonia seen such a man as this.	Never before had Tonia seen such a man as this.
8404_282926_000015_000003	The men she had known had been small and dark.	The men she had known had been small and dark.
8404_282926_000015_000004	Even the Kid, in spite of his achievements, was a stripling no larger than herself, with black, straight hair and a cold, marble face that chilled the noonday.	Even the Kid, in spite of his achievements, was a stripling no larger than herself, with black, straight hair and a cold, marble face that chilled the noonday.
8404_282926_000016_000000	As for Tonia, though she sends description to the poorhouse, let her make a millionaire of your fancy.	As for Tonia, though she sends description to the poorhouse, let her make a millionaire of your fancy.
8404_282926_000016_000001	Her blue-black hair, smoothly divided in the middle and bound close to her head, and her large eyes full of the Latin melancholy, gave her the Madonna touch.	Her blue black hair, smoothly divided in the middle and bound close to her head, and her large eyes full of the Latin melancholy, gave her the Madonna touch.
8404_282926_000016_000002	Her motions and air spoke of the concealed fire and the desire to charm that she had inherited from the /gitanas/ of the Basque province.	Her motions and air spoke of the concealed fire and the desire to charm that she had inherited from the /gitanas/ of the Basque province.
8404_282926_000016_000003	As for the humming-bird part of her, that dwelt in her heart; you could not perceive it unless her bright red skirt and dark blue blouse gave you a symbolic hint of the vagarious bird.	As for the humming bird part of her, that dwelt in her heart; you could not perceive it unless her bright red skirt and dark blue blouse gave you a symbolic hint of the vagarious bird.
8404_282926_000017_000000	The newly lighted sun-god asked for a drink of water.	The newly lighted sun god asked for a drink of water.
8404_282926_000017_000001	Tonia brought it from the red jar hanging under the brush shelter.	Tonia brought it from the red jar hanging under the brush shelter.
8404_282926_000019_000000	Which leads to a suspicion that the Kid's fences needed repairing, and that the adjutant-general's sarcasm had fallen upon unproductive soil.	Which leads to a suspicion that the Kid's fences needed repairing, and that the adjutant general's sarcasm had fallen upon unproductive soil.
8404_282926_000020_000001	That sounded business-like.	That sounded business like.
8404_282926_000020_000002	Twice a week he rode over to the Lone Wolf Crossing of the Frio, and directed Tonia's slim, slightly lemon-tinted fingers among the intricacies of the slowly growing lariata.	Twice a week he rode over to the Lone Wolf Crossing of the Frio, and directed Tonia's slim, slightly lemon tinted fingers among the intricacies of the slowly growing lariata.
8404_282926_000020_000003	A six-strand plait is hard to learn and easy to teach.	A six strand plait is hard to learn and easy to teach.
8404_282926_000021_000002	Thus he might bring down the kite and the humming-bird with one stone.	Thus he might bring down the kite and the humming bird with one stone.
8404_282926_000022_000000	While the sunny-haired ornithologist was pursuing his studies the Cisco Kid was also attending to his professional duties.	While the sunny haired ornithologist was pursuing his studies the Cisco Kid was also attending to his professional duties.
8404_282926_000022_000001	He moodily shot up a saloon in a small cow village on Quintana Creek, killed the town marshal (plugging him neatly in the centre of his tin badge), and then rode away, morose and unsatisfied.	He moodily shot up a saloon in a small cow village on Quintana Creek, killed the town marshal (plugging him neatly in the centre of his tin badge), and then rode away, morose and unsatisfied.
8404_282926_000023_000002	He wanted her to call his bloodthirstiness bravery and his cruelty devotion.	He wanted her to call his bloodthirstiness bravery and his cruelty devotion.
8404_282926_000023_000003	He wanted Tonia to bring him water from the red jar under the brush shelter, and tell him how the /chivo/ was thriving on the bottle.	He wanted Tonia to bring him water from the red jar under the brush shelter, and tell him how the /chivo/ was thriving on the bottle.
8404_282926_000024_000000	The Kid turned the speckled roan's head up the ten-mile pear flat that stretches along the Arroyo Hondo until it ends at the Lone Wolf Crossing of the Frio.	The Kid turned the speckled roan's head up the ten mile pear flat that stretches along the Arroyo Hondo until it ends at the Lone Wolf Crossing of the Frio.
8404_282926_000024_000001	The roan whickered; for he had a sense of locality and direction equal to that of a belt-line street-car horse; and he knew he would soon be nibbling the rich mesquite grass at the end of a forty-foot stake-rope while Ulysses rested his head in Circe's straw-roofed hut.	The roan whickered; for he had a sense of locality and direction equal to that of a belt line street car horse; and he knew he would soon be nibbling the rich mesquite grass at the end of a forty foot stake rope while Ulysses rested his head in Circe's straw roofed hut.
8404_282926_000025_000001	With dismal monotony and startling variety the uncanny and multiform shapes of the cacti lift their twisted trunks, and fat, bristly hands to encumber the way.	With dismal monotony and startling variety the uncanny and multiform shapes of the cacti lift their twisted trunks, and fat, bristly hands to encumber the way.
8404_282926_000025_000002	The demon plant, appearing to live without soil or rain, seems to taunt the parched traveller with its lush grey greenness.	The demon plant, appearing to live without soil or rain, seems to taunt the parched traveller with its lush grey greenness.
8404_282926_000025_000003	It warps itself a thousand times about what look to be open and inviting paths, only to lure the rider into blind and impassable spine-defended "bottoms of the bag," leaving him to retreat, if he can, with the points of the compass whirling in his head.	It warps itself a thousand times about what look to be open and inviting paths, only to lure the rider into blind and impassable spine defended "bottoms of the bag," leaving him to retreat, if he can, with the points of the compass whirling in his head.
8404_282926_000026_000000	To be lost in the pear is to die almost the death of the thief on the cross, pierced by nails and with grotesque shapes of all the fiends hovering about.	To be lost in the pear is to die almost the death of the thief on the cross, pierced by nails and with grotesque shapes of all the fiends hovering about.
8404_282926_000028_000001	He knew but one tune and sang it, as he knew but one code and lived it, and but one girl and loved her.	He knew but one tune and sang it, as he knew but one code and lived it, and but one girl and loved her.
8404_282926_000028_000003	He had a voice like a coyote with bronchitis, but whenever he chose to sing his song he sang it.	He had a voice like a coyote with bronchitis, but whenever he chose to sing his song he sang it.
8404_282926_000029_000000	Don't you monkey with my Lulu girl Or I'll tell you what I'll do--	Don't you monkey with my Lulu girl Or I'll tell you what I'll do-
8404_282926_000032_000000	As though he were in a circus ring the speckled roan wheeled and danced through the labyrinth of pear until at length his rider knew by certain landmarks that the Lone Wolf Crossing was close at hand.	As though he were in a circus ring the speckled roan wheeled and danced through the labyrinth of pear until at length his rider knew by certain landmarks that the Lone Wolf Crossing was close at hand.
8404_282926_000032_000002	A few yards farther the Kid stopped the roan and gazed intently through the prickly openings.	A few yards farther the Kid stopped the roan and gazed intently through the prickly openings.
8404_282926_000032_000003	Then he dismounted, dropped the roan's reins, and proceeded on foot, stooping and silent, like an Indian.	Then he dismounted, dropped the roan's reins, and proceeded on foot, stooping and silent, like an Indian.
8404_282926_000033_000000	The Kid crept noiselessly to the very edge of the pear thicket and reconnoitred between the leaves of a clump of cactus.	The Kid crept noiselessly to the very edge of the pear thicket and reconnoitred between the leaves of a clump of cactus.
8404_282926_000034_000002	But if all must be told, there is to be added that her head reposed against the broad and comfortable chest of a tall red-and-yellow man, and that his arm was about her, guiding her nimble fingers that required so many lessons at the intricate six- strand plait.	But if all must be told, there is to be added that her head reposed against the broad and comfortable chest of a tall red and yellow man, and that his arm was about her, guiding her nimble fingers that required so many lessons at the intricate six strand plait.
8404_282926_000035_000000	Sandridge glanced quickly at the dark mass of pear when he heard a slight squeaking sound that was not altogether unfamiliar.	Sandridge glanced quickly at the dark mass of pear when he heard a slight squeaking sound that was not altogether unfamiliar.
8404_282926_000035_000001	A gun- scabbard will make that sound when one grasps the handle of a six- shooter suddenly.	A gun scabbard will make that sound when one grasps the handle of a six shooter suddenly.
8404_282926_000035_000002	But the sound was not repeated; and Tonia's fingers needed close attention.	But the sound was not repeated; and Tonia's fingers needed close attention.
8404_282926_000036_000000	And then, in the shadow of death, they began to talk of their love; and in the still July afternoon every word they uttered reached the ears of the Kid.	And then, in the shadow of death, they began to talk of their love; and in the still July afternoon every word they uttered reached the ears of the Kid.
8404_282926_000037_000001	Soon he will be here.	Soon he will be here.
8404_282926_000037_000002	A /vaquero/ at the /tienda/ said to-day he saw him on the Guadalupe three days ago.	A /vaquero/ at the /tienda/ said to day he saw him on the Guadalupe three days ago.
8404_282926_000037_000003	When he is that near he always comes.	When he is that near he always comes.
8404_282926_000038_000000	"All right," said the stranger.	"All right," said the stranger.
8404_282926_000038_000001	"And then what?"	"And then what?"
8404_282926_000039_000000	"And then," said the girl, "you must bring your men here and kill him. If not, he will kill you."	"And then," said the girl, "you must bring your men here and kill him. If not, he will kill you."
8404_282926_000040_000001	"It's kill or be killed for the officer that goes up against Mr. Cisco Kid."	"It's kill or be killed for the officer that goes up against mr Cisco Kid."
8404_282926_000041_000000	"He must die," said the girl.	"He must die," said the girl.
8404_282926_000043_000000	Tonia dropped the lariat, twisted herself around, and curved a lemon- tinted arm over the ranger's shoulder.	Tonia dropped the lariat, twisted herself around, and curved a lemon tinted arm over the ranger's shoulder.
8404_282926_000044_000000	"But then," she murmured in liquid Spanish, "I had not beheld thee, thou great, red mountain of a man!	"But then," she murmured in liquid Spanish, "I had not beheld thee, thou great, red mountain of a man!
8404_282926_000044_000001	And thou art kind and good, as well as strong.	And thou art kind and good, as well as strong.
8404_282926_000044_000003	Let him die; for then I will not be filled with fear by day and night lest he hurt thee or me."	Let him die; for then I will not be filled with fear by day and night lest he hurt thee or me."
8404_282926_000046_000000	"When he comes," said Tonia, "he remains two days, sometimes three. Gregorio, the small son of old Luisa, the /lavendera/, has a swift pony.	"When he comes," said Tonia, "he remains two days, sometimes three. Gregorio, the small son of old Luisa, the /lavendera/, has a swift pony.
8404_282926_000046_000003	And bring many men with thee, and have much care, oh, dear red one, for the rattlesnake is not quicker to strike than is '/El Chivato/,' as they call him, to send a ball from his /pistola/."	And bring many men with thee, and have much care, oh, dear red one, for the rattlesnake is not quicker to strike than is '/El Chivato/,' as they call him, to send a ball from his /pistola/."
8404_282926_000047_000001	I'll get him by myself or not at all.	I'll get him by myself or not at all.
8404_282926_000047_000002	The Cap wrote one or two things to me that make me want to do the trick without any help.	The Cap wrote one or two things to me that make me want to do the trick without any help.
8404_282926_000048_000000	"I will send you the message by the boy Gregorio," said the girl.	"I will send you the message by the boy Gregorio," said the girl.
8404_282926_000048_000001	"I knew you were braver than that small slayer of men who never smiles. How could I ever have thought I cared for him?"	"I knew you were braver than that small slayer of men who never smiles. How could I ever have thought I cared for him?"
8404_282926_000049_000002	No sound or movement disturbed the serenity of the dense pear thicket ten yards away.	No sound or movement disturbed the serenity of the dense pear thicket ten yards away.
8404_282926_000050_000000	When the form of Sandridge had disappeared, loping his big dun down the steep banks of the Frio crossing, the Kid crept back to his own horse, mounted him, and rode back along the tortuous trail he had come.	When the form of Sandridge had disappeared, loping his big dun down the steep banks of the Frio crossing, the Kid crept back to his own horse, mounted him, and rode back along the tortuous trail he had come.
8404_282926_000051_000000	But not far.	But not far.
8404_282926_000051_000001	He stopped and waited in the silent depths of the pear until half an hour had passed.	He stopped and waited in the silent depths of the pear until half an hour had passed.
8404_282926_000052_000001	He dismounted, and his girl sprang into his arms.	He dismounted, and his girl sprang into his arms.
8404_282926_000052_000002	The Kid looked at her fondly.	The Kid looked at her fondly.
8404_282926_000052_000003	His thick, black hair clung to his head like a wrinkled mat.	His thick, black hair clung to his head like a wrinkled mat.
8404_282926_000052_000004	The meeting brought a slight ripple of some undercurrent of feeling to his smooth, dark face that was usually as motionless as a clay mask.	The meeting brought a slight ripple of some undercurrent of feeling to his smooth, dark face that was usually as motionless as a clay mask.
8404_282926_000053_000000	"How's my girl?" he asked, holding her close.	"How's my girl?" he asked, holding her close.
8404_282926_000054_000001	"My eyes are dim with always gazing into that devil's pincushion through which you come.	"My eyes are dim with always gazing into that devil's pincushion through which you come.
8404_282926_000054_000003	But you are here, beloved one, and I will not scold.	But you are here, beloved one, and I will not scold.
8404_282926_000056_000000	"Not if the court knows itself do I let a lady stake my horse for me," said he.	"Not if the court knows itself do I let a lady stake my horse for me," said he.
8404_282926_000056_000001	"But if you'll run in, /chica/, and throw a pot of coffee together while I attend to the /caballo/, I'll be a good deal obliged."	"But if you'll run in, /chica/, and throw a pot of coffee together while I attend to the /caballo/, I'll be a good deal obliged."
8404_282926_000057_000000	Besides his marksmanship the Kid had another attribute for which he admired himself greatly.	Besides his marksmanship the Kid had another attribute for which he admired himself greatly.
8404_282926_000057_000001	He was /muy caballero/, as the Mexicans express it, where the ladies were concerned.	He was /muy caballero/, as the Mexicans express it, where the ladies were concerned.
8404_282926_000057_000003	He could not have spoken a harsh word to a woman.	He could not have spoken a harsh word to a woman.
8404_282926_000057_000004	He might ruthlessly slay their husbands and brothers, but he could not have laid the weight of a finger in anger upon a woman. Wherefore many of that interesting division of humanity who had come under the spell of his politeness declared their disbelief in the stories circulated about Mr. Kid.	He might ruthlessly slay their husbands and brothers, but he could not have laid the weight of a finger in anger upon a woman. Wherefore many of that interesting division of humanity who had come under the spell of his politeness declared their disbelief in the stories circulated about mr Kid.
8404_282926_000057_000005	One shouldn't believe everything one heard, they said.	One shouldn't believe everything one heard, they said.
8404_282926_000057_000006	When confronted by their indignant men folk with proof of the /caballero's/ deeds of infamy, they said maybe he had been driven to it, and that he knew how to treat a lady, anyhow.	When confronted by their indignant men folk with proof of the /caballero's/ deeds of infamy, they said maybe he had been driven to it, and that he knew how to treat a lady, anyhow.
8404_282926_000058_000000	Considering this extremely courteous idiosyncrasy of the Kid and the pride he took in it, one can perceive that the solution of the problem that was presented to him by what he saw and heard from his hiding- place in the pear that afternoon (at least as to one of the actors) must have been obscured by difficulties.	Considering this extremely courteous idiosyncrasy of the Kid and the pride he took in it, one can perceive that the solution of the problem that was presented to him by what he saw and heard from his hiding place in the pear that afternoon (at least as to one of the actors) must have been obscured by difficulties.
8404_282926_000058_000001	And yet one could not think of the Kid overlooking little matters of that kind.	And yet one could not think of the Kid overlooking little matters of that kind.
8404_282926_000059_000001	Afterward, the ancestor, his flock corralled, smoked a cigarette and became a mummy in a grey blanket.	Afterward, the ancestor, his flock corralled, smoked a cigarette and became a mummy in a grey blanket.
8404_282926_000059_000002	Tonia washed the few dishes while the Kid dried them with the flour-sacking towel. Her eyes shone; she chatted volubly of the inconsequent happenings of her small world since the Kid's last visit; it was as all his other home-comings had been.	Tonia washed the few dishes while the Kid dried them with the flour sacking towel. Her eyes shone; she chatted volubly of the inconsequent happenings of her small world since the Kid's last visit; it was as all his other home comings had been.
8404_282926_000061_000000	"Do you love me just the same, old girl?" asked the Kid, hunting for his cigarette papers.	"Do you love me just the same, old girl?" asked the Kid, hunting for his cigarette papers.
8404_282926_000062_000000	"Always the same, little one," said Tonia, her dark eyes lingering upon him.	"Always the same, little one," said Tonia, her dark eyes lingering upon him.
8404_282926_000063_000000	"I must go over to Fink's," said the Kid, rising, "for some tobacco.	"I must go over to Fink's," said the Kid, rising, "for some tobacco.
8404_282926_000063_000001	I thought I had another sack in my coat.	I thought I had another sack in my coat.
8404_282926_000063_000002	I'll be back in a quarter of an hour."	I'll be back in a quarter of an hour."
8404_282926_000064_000000	"Hasten," said Tonia, "and tell me--how long shall I call you my own this time?	"Hasten," said Tonia, "and tell me-how long shall I call you my own this time?
8404_282926_000064_000001	Will you be gone again to-morrow, leaving me to grieve, or will you be longer with your Tonia?"	Will you be gone again to morrow, leaving me to grieve, or will you be longer with your Tonia?"
8404_282926_000065_000000	"Oh, I might stay two or three days this trip," said the Kid, yawning. "I've been on the dodge for a month, and I'd like to rest up."	"Oh, I might stay two or three days this trip," said the Kid, yawning. "I've been on the dodge for a month, and I'd like to rest up."
8404_282926_000067_000000	"It's funny," said the Kid, "how I feel.	"It's funny," said the Kid, "how I feel.
8404_282926_000067_000002	I never had mullygrubs like them before.	I never had mullygrubs like them before.
8404_282926_000067_000004	The Guadalupe country is burning up about that old Dutchman I plugged down there."	The Guadalupe country is burning up about that old Dutchman I plugged down there."
8404_282926_000068_000000	"You are not afraid--no one could make my brave little one fear."	"You are not afraid-no one could make my brave little one fear."
8404_282926_000069_000001	Somebody might get hurt that oughtn't to."	Somebody might get hurt that oughtn't to."
8404_282926_000070_000000	"Remain with your Tonia; no one will find you here."	"Remain with your Tonia; no one will find you here."
8404_282926_000071_000000	The Kid looked keenly into the shadows up and down the arroyo and toward the dim lights of the Mexican village.	The Kid looked keenly into the shadows up and down the arroyo and toward the dim lights of the Mexican village.
8404_282926_000074_000000	At midnight a horseman rode into the rangers' camp, blazing his way by noisy "halloes" to indicate a pacific mission.	At midnight a horseman rode into the rangers' camp, blazing his way by noisy "halloes" to indicate a pacific mission.
8404_282926_000074_000001	Sandridge and one or two others turned out to investigate the row.	Sandridge and one or two others turned out to investigate the row.
8404_282926_000074_000003	Old Luisa, the /lavendera/, had persuaded him to bring it, he said, her son Gregorio being too ill of a fever to ride.	Old Luisa, the /lavendera/, had persuaded him to bring it, he said, her son Gregorio being too ill of a fever to ride.
8404_282926_000075_000000	Sandridge lighted the camp lantern and read the letter.	Sandridge lighted the camp lantern and read the letter.
8404_282926_000075_000001	These were its words:	These were its words:
8404_282926_000076_000001	Hardly had you ridden away when he came out of the pear.	Hardly had you ridden away when he came out of the pear.
8404_282926_000076_000002	When he first talked he said he would stay three days or more.	When he first talked he said he would stay three days or more.
8404_282926_000076_000004	Soon he said he must leave before daylight when it is dark and stillest.	Soon he said he must leave before daylight when it is dark and stillest.
8404_282926_000076_000005	And then he seemed to suspect that I be not true to him.	And then he seemed to suspect that I be not true to him.
8404_282926_000076_000006	He looked at me so strange that I am frightened.	He looked at me so strange that I am frightened.
8404_282926_000076_000007	I swear to him that I love him, his own Tonia.	I swear to him that I love him, his own Tonia.
8404_282926_000076_000008	Last of all he said I must prove to him I am true.	Last of all he said I must prove to him I am true.
8404_282926_000076_000010	To escape he says he will dress in my clothes, my red skirt and the blue waist I wear and the brown mantilla over the head, and thus ride away.	To escape he says he will dress in my clothes, my red skirt and the blue waist I wear and the brown mantilla over the head, and thus ride away.
8404_282926_000076_000012	This before he goes, so he can tell if I am true and if men are hidden to shoot him.	This before he goes, so he can tell if I am true and if men are hidden to shoot him.
8404_282926_000076_000013	It is a terrible thing.	It is a terrible thing.
8404_282926_000076_000014	An hour before daybreak this is to be.	An hour before daybreak this is to be.
8404_282926_000076_000017	Knowing all, you should do that.	Knowing all, you should do that.
8404_282926_000076_000019	It is dark in there.	It is dark in there.
8404_282926_000076_000020	He will wear my red skirt and blue waist and brown mantilla.	He will wear my red skirt and blue waist and brown mantilla.
8404_282926_000078_000000	Sandridge quickly explained to his men the official part of the missive.	Sandridge quickly explained to his men the official part of the missive.
8404_282926_000078_000001	The rangers protested against his going alone.	The rangers protested against his going alone.
8404_282926_000079_000000	"I'll get him easy enough," said the lieutenant.	"I'll get him easy enough," said the lieutenant.
8404_282926_000079_000001	"The girl's got him trapped.	"The girl's got him trapped.
8404_282926_000079_000002	And don't even think he'll get the drop on me."	And don't even think he'll get the drop on me."
8404_282926_000080_000000	Sandridge saddled his horse and rode to the Lone Wolf Crossing.	Sandridge saddled his horse and rode to the Lone Wolf Crossing.
8404_282926_000080_000001	He tied his big dun in a clump of brush on the arroyo, took his Winchester from its scabbard, and carefully approached the Perez /jacal/.	He tied his big dun in a clump of brush on the arroyo, took his Winchester from its scabbard, and carefully approached the Perez /jacal/.
8404_282926_000080_000002	There was only the half of a high moon drifted over by ragged, milk-white gulf clouds.	There was only the half of a high moon drifted over by ragged, milk white gulf clouds.
8404_282926_000081_000000	The wagon-shed was an excellent place for ambush; and the ranger got inside it safely.	The wagon shed was an excellent place for ambush; and the ranger got inside it safely.
8404_282926_000082_000001	And then the other figure, in skirt, waist, and mantilla over its head, stepped out into the faint moonlight, gazing after the rider.	And then the other figure, in skirt, waist, and mantilla over its head, stepped out into the faint moonlight, gazing after the rider.
8404_282926_000082_000002	Sandridge thought he would take his chance then before Tonia rode back.	Sandridge thought he would take his chance then before Tonia rode back.
8404_282926_000083_000000	"Throw up your hands," he ordered loudly, stepping out of the wagon- shed with his Winchester at his shoulder.	"Throw up your hands," he ordered loudly, stepping out of the wagon shed with his Winchester at his shoulder.
8404_282926_000084_000000	There was a quick turn of the figure, but no movement to obey, so the ranger pumped in the bullets--one--two--three--and then twice more; for you never could be too sure of bringing down the Cisco Kid.	There was a quick turn of the figure, but no movement to obey, so the ranger pumped in the bullets-one-two-three-and then twice more; for you never could be too sure of bringing down the Cisco Kid.
8404_282926_000084_000001	There was no danger of missing at ten paces, even in that half moonlight.	There was no danger of missing at ten paces, even in that half moonlight.
8404_282926_000085_000000	The old ancestor, asleep on his blanket, was awakened by the shots. Listening further, he heard a great cry from some man in mortal distress or anguish, and rose up grumbling at the disturbing ways of moderns.	The old ancestor, asleep on his blanket, was awakened by the shots. Listening further, he heard a great cry from some man in mortal distress or anguish, and rose up grumbling at the disturbing ways of moderns.
8404_282926_000087_000001	"Who wrote it?"	"Who wrote it?"
8404_282926_000089_000000	Just then all that Sandridge could think of to do was to go outside and throw himself face downward in the dust by the side of his humming-bird, of whom not a feather fluttered.	Just then all that Sandridge could think of to do was to go outside and throw himself face downward in the dust by the side of his humming bird, of whom not a feather fluttered.
8404_282926_000089_000001	He was not a /caballero/ by instinct, and he could not understand the niceties of revenge.	He was not a /caballero/ by instinct, and he could not understand the niceties of revenge.
8404_282926_000090_000000	A mile away the rider who had ridden past the wagon-shed struck up a harsh, untuneful song, the words of which began:	A mile away the rider who had ridden past the wagon shed struck up a harsh, untuneful song, the words of which began:
8404_282926_000091_000000	Don't you monkey with my Lulu girl Or I'll tell you what I'll do--	Don't you monkey with my Lulu girl Or I'll tell you what I'll do-
