93_123172_000001_000000	Butter.	Butter.
93_123172_000013_000000	Butter cured in this way, (it is said) will keep good for several years. I have never kept it longer than from the fall until late in the spring, it was then very sweet and good.	Butter cured in this way, (it is said) will keep good for several years. I have never kept it longer than from the fall until late in the spring, it was then very sweet and good.
93_123172_000014_000000	It will not do to use for a month, because earlier, the salts will not be sufficiently blended with it.	It will not do to use for a month, because earlier, the salts will not be sufficiently blended with it.
93_123172_000014_000001	It should be kept in wooden vessels, or nice stone jars.	It should be kept in wooden vessels, or nice stone jars.
93_123172_000014_000002	Earthen-ware jars are not suitable for butter, as during the decomposition of the salts, they corrode the glazing; and the butter becomes rancid and unhealthy.	Earthen ware jars are not suitable for butter, as during the decomposition of the salts, they corrode the glazing; and the butter becomes rancid and unhealthy.
93_123172_000015_000001	Thus in cities during warm weather butter is often cheap, a house-keeper may then purchase her winter supply.	Thus in cities during warm weather butter is often cheap, a house keeper may then purchase her winter supply.
93_123172_000016_000001	It is very important to keep the butter in a cool place."	It is very important to keep the butter in a cool place."
93_123172_000017_000000	A great deal depends on the butter being well worked.	A great deal depends on the butter being well worked.
93_123172_000017_000002	A large churning may be more effectually cleared of the butter-milk in a few minutes, than in the old way in an hour.	A large churning may be more effectually cleared of the butter milk in a few minutes, than in the old way in an hour.
93_123172_000017_000003	By doing it quickly, it does not get soft and oily in hot weather.	By doing it quickly, it does not get soft and oily in hot weather.
93_123172_000018_000000	A Pickle for Butter.	A Pickle for Butter.
93_123172_000019_000001	If the butter is good when put up in the fall, it will keep till you can get grass butter, in the spring.	If the butter is good when put up in the fall, it will keep till you can get grass butter, in the spring.
93_123172_000019_000002	The jars for this purpose should not have been previously used for pickles.	The jars for this purpose should not have been previously used for pickles.
93_123172_000021_000000	Persons living in the country sometimes have more milk than they can use, of which cheese may be made.	Persons living in the country sometimes have more milk than they can use, of which cheese may be made.
93_123172_000022_000000	Have a clean cloth in the vat, put in the curd, close it over and put on the cover; if you have no cheese press, a heavy stone will answer the purpose; press it very gently at first, to keep the richness from running out.	Have a clean cloth in the vat, put in the curd, close it over and put on the cover; if you have no cheese press, a heavy stone will answer the purpose; press it very gently at first, to keep the richness from running out.
93_123172_000023_000000	Cheese made in this way has a rich, mild taste, and most persons are fond of it.	Cheese made in this way has a rich, mild taste, and most persons are fond of it.
93_123172_000023_000001	If you get eight gallons of milk a day, you may make cheese twice a week, and still have butter for the family.	If you get eight gallons of milk a day, you may make cheese twice a week, and still have butter for the family.
93_123172_000024_000000	Pennsylvania Cream Cheese.	Pennsylvania Cream Cheese.
93_123172_000025_000000	The cheese called by this name is not in reality made of cream.	The cheese called by this name is not in reality made of cream.
93_123172_000025_000002	In six or seven hours it will be ready to take out of the press, when rub it over with fine salt, set it in a dry dark place, change it from one plate to another twice a day, and it will be fit for use in less than a week.	In six or seven hours it will be ready to take out of the press, when rub it over with fine salt, set it in a dry dark place, change it from one plate to another twice a day, and it will be fit for use in less than a week.
93_123172_000026_000000	To Prepare Rennet for making Whey or Cheese.	To Prepare Rennet for making Whey or Cheese.
93_123172_000028_000000	Cottage Cheese or Smearcase.	Cottage Cheese or Smearcase.
93_123172_000030_000000	Roasting Coffee.	Roasting Coffee.
93_123172_000031_000000	Pick out the stones and black grains from the coffee, and if it is green, let it dry in an oven, or on a stove, then roast it till it is a light-brown, be careful that it does not burn, as a few burnt grains will spoil the flavor of the whole.	Pick out the stones and black grains from the coffee, and if it is green, let it dry in an oven, or on a stove, then roast it till it is a light brown, be careful that it does not burn, as a few burnt grains will spoil the flavor of the whole.
93_123172_000032_000000	White coffee need not be dried before roasting, and will do in less time.	White coffee need not be dried before roasting, and will do in less time.
93_123172_000032_000002	The whites of one or two eggs, well beaten, and stirred in the coffee when half cold, and well mixed through it, are sufficient to clear two pounds, and is the most economical way of using eggs.	The whites of one or two eggs, well beaten, and stirred in the coffee when half cold, and well mixed through it, are sufficient to clear two pounds, and is the most economical way of using eggs.
93_123172_000032_000003	It will answer either for summer or winter.	It will answer either for summer or winter.
93_123172_000032_000005	Many persons use coffee roasters,--but some old experienced housekeepers think that the fine flavor flies off more than when done in a dutch-oven, and constantly stirred.	Many persons use coffee roasters,--but some old experienced housekeepers think that the fine flavor flies off more than when done in a dutch oven, and constantly stirred.
93_123172_000033_000000	If you are careful, it can be done very well in the dripping-pan of a stove.	If you are careful, it can be done very well in the dripping pan of a stove.
93_123172_000033_000002	Coffee may be roasted in a dripping-pan in a brick oven.	Coffee may be roasted in a dripping pan in a brick oven.
93_123172_000033_000003	After the bread is taken out, there will be heat sufficient, put about two pounds in a pan, stir it a few times--it will roast gradually, and if not sufficiently brown, finish in a stove or before the fire.	After the bread is taken out, there will be heat sufficient, put about two pounds in a pan, stir it a few times-it will roast gradually, and if not sufficiently brown, finish in a stove or before the fire.
93_123172_000033_000004	If you have a large family, by using several pans, six pounds of coffee can thus be roasted, and but little time spent on it.	If you have a large family, by using several pans, six pounds of coffee can thus be roasted, and but little time spent on it.
93_123172_000034_000000	Boiling Coffee.	Boiling Coffee.
93_123172_000035_000001	If you boil coffee too long, the aromatic flavor flies off.	If you boil coffee too long, the aromatic flavor flies off.
93_123172_000037_000000	Always be sure that the kettle is boiling when you make tea, or the flavor will not be so good, scald the pot, and allow a tea-spoonful for each person.	Always be sure that the kettle is boiling when you make tea, or the flavor will not be so good, scald the pot, and allow a tea spoonful for each person.
93_123172_000037_000002	Persons with weak nerves should never drink strong tea and coffee.	Persons with weak nerves should never drink strong tea and coffee.
93_123172_000037_000004	Before pouring out tea, it should be stirred with a spoon that the strength of each cup may be alike.	Before pouring out tea, it should be stirred with a spoon that the strength of each cup may be alike.
93_123172_000038_000000	Milk is the best drink for children, but if that cannot be had, sweetened water, with a little milk, will do.	Milk is the best drink for children, but if that cannot be had, sweetened water, with a little milk, will do.
93_123172_000039_000000	A New Mode of Preparing Chocolate.	A New Mode of Preparing Chocolate.
