5126_27504_000002_000000	Chapter 44	Chapter forty four
5126_27504_000011_000003	It looked as if our luck was dead out, and we began to think our chance of getting across the border to Queensland, and clear out of the colony that way, looked worse every day.	It looked as if our luck was dead out, and we began to think our chance of getting across the border to Queensland, and clear out of the colony that way, looked worse every day.
5126_27504_000013_000000	Sir Ferdinand was always on the move, but we knew he couldn't do it all himself unless he got the office from some one who knew the ropes better than he did.	Sir Ferdinand was always on the move, but we knew he couldn't do it all himself unless he got the office from some one who knew the ropes better than he did.
5126_27504_000014_000000	Last of all we dropped on to it.	Last of all we dropped on to it.
5126_27504_000015_000001	Well, this gentleman took it into his head to put on extra steam and try and run us down.	Well, this gentleman took it into his head to put on extra steam and try and run us down.
5126_27504_000015_000002	He'd lost some gold by us in the escort robbery, and not forgotten it; so it seems he'd been trying his best to fit us ever since.	He'd lost some gold by us in the escort robbery, and not forgotten it; so it seems he'd been trying his best to fit us ever since.
5126_27504_000015_000004	We heard, too, that he should say he'd never rest till he had Starlight and the Marstons, and that if he could get picked police he'd bring us in within a month, dead or alive.	We heard, too, that he should say he'd never rest till he had Starlight and the Marstons, and that if he could get picked police he'd bring us in within a month, dead or alive.
5126_27504_000017_000000	Moran and Daly knew about this, and they were dead on for sticking up the place and getting hold of the gold.	Moran and Daly knew about this, and they were dead on for sticking up the place and getting hold of the gold.
5126_27504_000017_000001	Besides that, we felt savage about his trying to run us in.	Besides that, we felt savage about his trying to run us in.
5126_27504_000017_000005	We didn't like working with them. Starlight and I were dead against it.	We didn't like working with them. Starlight and I were dead against it.
5126_27504_000017_000006	But we knew they'd tackle it by themselves if we backed out.	But we knew they'd tackle it by themselves if we backed out.
5126_27504_000017_000007	So we agreed to make one thing of it. We were to meet at a place about ten miles off and ride over there together.	So we agreed to make one thing of it. We were to meet at a place about ten miles off and ride over there together.
5126_27504_000019_000000	Of course he was on his guard then, and before long the bullets began to fly pretty thick among us, and we had to take cover to return fire and keep as dark as we could.	Of course he was on his guard then, and before long the bullets began to fly pretty thick among us, and we had to take cover to return fire and keep as dark as we could.
5126_27504_000020_000000	We blazed away too, and as there was no stable at the back we surrounded the house and tried hard to find an opening.	We blazed away too, and as there was no stable at the back we surrounded the house and tried hard to find an opening.
5126_27504_000020_000001	Devil a chance there seemed to be; none of us dared show.	Devil a chance there seemed to be; none of us dared show.
5126_27504_000020_000003	We all had a close shave more than once for being too fast.	We all had a close shave more than once for being too fast.
5126_27504_000022_000000	The lot fell upon Patsey Daly.	The lot fell upon Patsey Daly.
5126_27504_000022_000002	'I'm dashed if I don't think Knightley will bag me.	'I'm dashed if I don't think Knightley will bag me.
5126_27504_000022_000003	I don't half like charging him, and that's God's truth.	I don't half like charging him, and that's God's truth.
5126_27504_000022_000004	Anyhow I'll try for that barrel there; and if I get behind it I can fire from short range and make him come out.'	Anyhow I'll try for that barrel there; and if I get behind it I can fire from short range and make him come out.'
5126_27504_000023_000000	He made a rush, half on his hands and knees, and managed to get behind this barrel, where he was safe from being hit as long as he kept well behind it.	He made a rush, half on his hands and knees, and managed to get behind this barrel, where he was safe from being hit as long as he kept well behind it.
5126_27504_000024_000000	On the left of the verandah there was a door stood partly open, and after a bit a man in a light overcoat and a white hat, like Mr. Knightley always wore, showed himself for a second.	On the left of the verandah there was a door stood partly open, and after a bit a man in a light overcoat and a white hat, like mr Knightley always wore, showed himself for a second.
5126_27504_000024_000001	Daly raps away at this, and the man staggers and falls.	Daly raps away at this, and the man staggers and falls.
5126_27504_000024_000002	Patsey shows himself for a moment from behind the cask, thinking to make a rush forward; that minute Mr. Knightley, who was watching him from a window (the other was only an image), lets drive at him, cool and steady, and poor Patsey drops like a cock, and never raised his head again.	Patsey shows himself for a moment from behind the cask, thinking to make a rush forward; that minute mr Knightley, who was watching him from a window (the other was only an image), lets drive at him, cool and steady, and poor Patsey drops like a cock, and never raised his head again.
5126_27504_000024_000003	He was shot through the body.	He was shot through the body.
5126_27504_000024_000004	He lingered a bit; but in less than an hour he was a dead man.	He lingered a bit; but in less than an hour he was a dead man.
5126_27504_000025_000000	We began to think at last that we had got in for a hot thing, and that we should have to drop it like Moran's mob at Kadombla.	We began to think at last that we had got in for a hot thing, and that we should have to drop it like Moran's mob at Kadombla.
5126_27504_000025_000002	He crept away to the back of the building, where he could see to fire at a top window close by where the doctor and Mr. Knightley had been potting at us.	He crept away to the back of the building, where he could see to fire at a top window close by where the doctor and mr Knightley had been potting at us.
5126_27504_000026_000002	It always beat me how they contrived to defend so many points at once.	It always beat me how they contrived to defend so many points at once.
5126_27504_000026_000003	We tried back and front, doors and windows.	We tried back and front, doors and windows.
5126_27504_000026_000004	Twenty times we tried a rush, but they were always ready--so it seemed--and their fire was too hot for us to stand up to, unless we wanted to lose every second man.	Twenty times we tried a rush, but they were always ready-so it seemed-and their fire was too hot for us to stand up to, unless we wanted to lose every second man.
5126_27504_000027_000000	The shooting was very close.	The shooting was very close.
5126_27504_000027_000001	Nearly every one of us had a scratch--Starlight rather the worst, as he was more in the front and showed himself more.	Nearly every one of us had a scratch-Starlight rather the worst, as he was more in the front and showed himself more.
5126_27504_000028_000000	At last we began to see that the return fire was slacking off, while ours was as brisk as ever.	At last we began to see that the return fire was slacking off, while ours was as brisk as ever.
5126_27504_000029_000002	Here goes for a battering-ram, Dick!'	Here goes for a battering ram, Dick!'
5126_27504_000030_000000	He pointed to a long, heavy sapling which had been fetched in for a sleeper or something of that sort.	He pointed to a long, heavy sapling which had been fetched in for a sleeper or something of that sort.
5126_27504_000030_000001	We picked it up, and, taking a run back, brought it with all its weight against the front door.	We picked it up, and, taking a run back, brought it with all its weight against the front door.
5126_27504_000030_000003	It seemed very queer and strange, everything was so silent and quiet.	It seemed very queer and strange, everything was so silent and quiet.
5126_27504_000031_000000	We half expected another volley.	We half expected another volley.
5126_27504_000031_000001	But nothing came.	But nothing came.
5126_27504_000031_000002	We could only stand and wait.	We could only stand and wait.
5126_27504_000032_000000	'Get to a corner, Dick; they're always the safest places.	'Get to a corner, Dick; they're always the safest places.
5126_27504_000032_000001	We must mind it isn't an ambush.	We must mind it isn't an ambush.
5126_27504_000032_000002	What the devil's the matter?	What the devil's the matter?
5126_27504_000032_000003	Are they going to suicide, like the people in the round tower of Jhansi?'	Are they going to suicide, like the people in the round tower of Jhansi?'
5126_27504_000033_000000	'There are no women here,' I said.	'There are no women here,' I said.
5126_27504_000034_000001	'I hate seeing women put out.	'I hate seeing women put out.
5126_27504_000034_000002	Besides, everybody bows down to Mrs. Knightley.	Besides, everybody bows down to mrs Knightley.
5126_27504_000034_000003	She's as good as she's handsome, I believe, and that's saying a great deal.'	She's as good as she's handsome, I believe, and that's saying a great deal.'
5126_27504_000035_000000	Just then Moran and Wall managed to find their way into the other side of the house, and they came tearing into the hall like a pair of colts. They looked rather queer when they saw us three and no one else.	Just then Moran and Wall managed to find their way into the other side of the house, and they came tearing into the hall like a pair of colts. They looked rather queer when they saw us three and no one else.
5126_27504_000036_000001	Poor Patsey won't want one, anyhow.'	Poor Patsey won't want one, anyhow.'
5126_27504_000039_000001	Then he stepped back and waited.	Then he stepped back and waited.
5126_27504_000039_000002	I noticed he took off his hat and leaned against the wall.	I noticed he took off his hat and leaned against the wall.
5126_27504_000040_000000	It was an old-fashioned house for that part of the world, built a good many years ago by a rich settler, who was once the owner of all that side of the country.	It was an old-fashioned house for that part of the world, built a good many years ago by a rich settler, who was once the owner of all that side of the country.
5126_27504_000040_000001	The staircase was all stone, ornamented every way it could be.	The staircase was all stone, ornamented every way it could be.
5126_27504_000040_000002	Three or four people could walk abreast easy enough.	Three or four people could walk abreast easy enough.
5126_27504_000043_000000	It was a strange sight.	It was a strange sight.
5126_27504_000043_000001	There we were standing and leaning about the dark hall, staring and wondering, and these people walking down to meet us like ghosts, without speaking or anything else.	There we were standing and leaning about the dark hall, staring and wondering, and these people walking down to meet us like ghosts, without speaking or anything else.
5126_27504_000044_000000	Mr. Knightley was a tall, handsome man, with a grand black beard that came down to his chest.	mr Knightley was a tall, handsome man, with a grand black beard that came down to his chest.
5126_27504_000044_000001	He walked like a lord, and had that kind of manner with him that comes to people that have always been used to be waited on and have everything found for them in this world.	He walked like a lord, and had that kind of manner with him that comes to people that have always been used to be waited on and have everything found for them in this world.
5126_27504_000044_000002	As for his wife, she was given in to be the handsomest woman in the whole countryside--tall and graceful, with a beautiful smile, and soft fair hair.	As for his wife, she was given in to be the handsomest woman in the whole countryside-tall and graceful, with a beautiful smile, and soft fair hair.
5126_27504_000044_000003	Everybody liked and respected her, gentle and simple--everybody had a good word for her.	Everybody liked and respected her, gentle and simple-everybody had a good word for her.
5126_27504_000044_000004	You couldn't have got any one to say different for a hundred pounds.	You couldn't have got any one to say different for a hundred pounds.
5126_27504_000044_000005	There are some people, here and there, like this among the gentlefolk, and, say what you like, it does more to make coves like us look a little closer at things and keep away from what's wrong and bad than all the parsons' talk twice over.	There are some people, here and there, like this among the gentlefolk, and, say what you like, it does more to make coves like us look a little closer at things and keep away from what's wrong and bad than all the parsons' talk twice over.
5126_27504_000044_000006	Mrs. Knightley was the only woman that ever put me in mind of Miss Falkland, and I can't say more than that.	mrs Knightley was the only woman that ever put me in mind of Miss Falkland, and I can't say more than that.
5126_27504_000045_000001	We had both seen them at the ball at the Turon, and everybody agreed they were the handsomest couple there.	We had both seen them at the ball at the Turon, and everybody agreed they were the handsomest couple there.
5126_27504_000046_000000	Now they were entering their own hall in a different way.	Now they were entering their own hall in a different way.
5126_27504_000046_000001	But you couldn't have told much of what they felt by their faces.	But you couldn't have told much of what they felt by their faces.
5126_27504_000046_000003	Now the tables were turned.	Now the tables were turned.
5126_27504_000046_000004	He and his beautiful wife were in our power, and, to make matters worse, one of our band lay dead, beside the inner wall, killed by his hand.	He and his beautiful wife were in our power, and, to make matters worse, one of our band lay dead, beside the inner wall, killed by his hand.
5126_27504_000047_000000	What was to be his doom?	What was to be his doom?
5126_27504_000047_000001	And who could say how such a play might end?	And who could say how such a play might end?
5126_27504_000048_000000	I looked at our men.	I looked at our men.
5126_27504_000048_000001	As they stepped on to the floor of the hall and looked round Mrs. Knightley smiled.	As they stepped on to the floor of the hall and looked round mrs Knightley smiled.
5126_27504_000048_000002	She looked to me like an angel from heaven that had come by chance into the other place and hadn't found out her mistake.	She looked to me like an angel from heaven that had come by chance into the other place and hadn't found out her mistake.
5126_27504_000048_000003	I saw Starlight start as he looked at her.	I saw Starlight start as he looked at her.
5126_27504_000048_000005	Part of her hair had straggled down, and hung in a sort of ringlet by her face.	Part of her hair had straggled down, and hung in a sort of ringlet by her face.
5126_27504_000048_000006	It was pale, but clear and bright-looking, and there was a thin streak of blood across her forehead that showed as she came underneath the lamp-light from the landing above.	It was pale, but clear and bright looking, and there was a thin streak of blood across her forehead that showed as she came underneath the lamp light from the landing above.
5126_27504_000049_000000	I looked over at Moran.	I looked over at Moran.
5126_27504_000049_000001	He and Wall sat in a corner, looking as grim and savage as possible, while his deadly black eyes had a kind of gloomy fire in them that made him look like a wild beast in a cage.	He and Wall sat in a corner, looking as grim and savage as possible, while his deadly black eyes had a kind of gloomy fire in them that made him look like a wild beast in a cage.
5126_27504_000050_000000	Mr. Knightley was a man that always had the first word in everything, and generally the best of an argument--putting down anybody who differed from him in a quiet, superior sort of way.	mr Knightley was a man that always had the first word in everything, and generally the best of an argument-putting down anybody who differed from him in a quiet, superior sort of way.
5126_27504_000051_000000	He began now.	He began now.
5126_27504_000051_000002	But we have fired our last cartridge--the doctor thought we had a thousand left--in which case, I may as well tell you, you'd never have had this pleasure.	But we have fired our last cartridge-the doctor thought we had a thousand left-in which case, I may as well tell you, you'd never have had this pleasure.
5126_27504_000051_000003	Captain Starlight, I surrender my sword--or should do so if I had one.	Captain Starlight, I surrender my sword-or should do so if I had one.
5126_27504_000051_000004	We trust to receive honourable treatment at your hands.'	We trust to receive honourable treatment at your hands.'
5126_27504_000053_000000	'I shall never forget the honour,' says Starlight, walking forward and bowing low.	'I shall never forget the honour,' says Starlight, walking forward and bowing low.
5126_27504_000053_000001	'Permit me to offer you a chair, madam; you look faint.'	'Permit me to offer you a chair, madam; you look faint.'
5126_27504_000054_000000	As he did so she sank down in it, and really looked as if she would faint away.	As he did so she sank down in it, and really looked as if she would faint away.
5126_27504_000054_000001	It wouldn't have been much wonder if she had after what she'd gone through that night.	It wouldn't have been much wonder if she had after what she'd gone through that night.
5126_27504_000055_000000	Then Mr. Knightley began again.	Then mr Knightley began again.
5126_27504_000055_000001	He wanted to know how he stood.	He wanted to know how he stood.
5126_27504_000055_000002	He didn't like the look of Moran and Wall--they were a deal too quiet for him, and he could read men's faces like a book.	He didn't like the look of Moran and Wall-they were a deal too quiet for him, and he could read men's faces like a book.
5126_27504_000055_000003	The other two prisoners were the German Dr. Schiller--a plucky old chap, who'd been a rebel and a conspirator and I don't know what all in his own country.	The other two prisoners were the German dr Schiller-a plucky old chap, who'd been a rebel and a conspirator and I don't know what all in his own country.
5126_27504_000055_000005	The old woman was a family servant, who had been with them for years and years.	The old woman was a family servant, who had been with them for years and years.
