707_161166_000000_000000	WHAT THE FROST GIANTS DID TO NANNIE'S RUN	WHAT THE FROST GIANTS DID TO NANNIE'S RUN	true	24.99	28.27	22.785685
707_161166_000011_000000	Three streams, straying from the far-away mountains, and fed by their melted snows and hidden springs, find their way through the forest, leap and tumble over the cliff, and, passing through the little settlement, reach the sea.	Three streams, straying from the far away mountains, and fed by their melted snows and hidden springs, find their way through the forest, leap and tumble over the cliff, and, passing through the little settlement, reach the sea.	true	299.54	315.82	21.526957
707_161166_000011_000001	The people who live here call these little streams RUNS, and one of them is Nannie's Run.	The people who live here call these little streams RUNS, and one of them is Nannie's Run.	true	316.67	323.08	20.640892
707_161166_000012_000000	And, now, who is Nannie?	And, now, who is Nannie?	true	324.08	326.17	21.603193
707_161166_000012_000001	Why, Nannie is Nannie Dwight,--a little girl not yet five years old, who lives in the small square house standing under the cliff.	Why, Nannie is Nannie Dwight,--a little girl not yet five years old, who lives in the small square house standing under the cliff.	true	326.69	335.68	20.89379
707_161166_000012_000002	She sits even now on the door-step, and her red dress looks like one gay flower brightening the sombre shadow of the firs.	She sits even now on the door step, and her red dress looks like one gay flower brightening the sombre shadow of the firs.	false	336.53	344.95	21.298073
707_161166_000012_000003	Her father and mother came here to live when she was but a baby, and before there was a single house built in the place; and it is out of compliment to her that one of the streams has been named Nannie's Run.	Her father and mother came here to live when she was but a baby, and before there was a single house built in the place; and it is out of compliment to her that one of the streams has been named Nannie's Run.	true	345.92	359.11	22.456728
707_161166_000013_000000	While Nannie sits on the doorstep, and looks out at the sea, watching for the vessel that will bring her father home from Victoria, we will go through the forest, and up the mountain-sides, till we find the home of the Frost Giants, and see what they are about to-day.	While Nannie sits on the doorstep, and looks out at the sea, watching for the vessel that will bring her father home from Victoria, we will go through the forest, and up the mountain sides, till we find the home of the Frost Giants, and see what they are about to day.	false	359.87	376.12	21.89929
707_161166_000014_000000	They have been working all winter, but not quite so busily as now; for since yesterday they have cracked that big rock in two, and dug the great cave under the hill, and now they are gathered in council on the mountain-side that overlooks a dashing little stream.	They have been working all winter, but not quite so busily as now; for since yesterday they have cracked that big rock in two, and dug the great cave under the hill, and now they are gathered in council on the mountain side that overlooks a dashing little stream.	true	376.49	391.57	23
707_161166_000014_000001	As we followed this stream from the seashore, we happen to know that it is no other than Nannie's Run.	As we followed this stream from the seashore, we happen to know that it is no other than Nannie's Run.	true	392.48	398.53	19.409557
707_161166_000014_000002	And as we have already begun to care for the little girl, and therefore for her namesake, we are anxious to know what the giants think of doing.	And as we have already begun to care for the little girl, and therefore for her namesake, we are anxious to know what the giants think of doing.	false	399.05	407.68	21.262932
707_161166_000014_000003	We have not long to wait before we shall see, and hear too; for a great creaking and cracking begins, and, while we gaze astonished, the mountain-side begins to slide, and presently, with a rush and a roar, dashes into the stream, and chokes it with a huge dam of earth and rocks and trees.	We have not long to wait before we shall see, and hear too; for a great creaking and cracking begins, and, while we gaze astonished, the mountain side begins to slide, and presently, with a rush and a roar, dashes into the stream, and chokes it with a huge dam of earth and rocks and trees.	true	408.98	433.87	23.410244
707_161166_000015_000000	What will the stream do now?	What will the stream do now?	true	434.87	436.63	24.222973
707_161166_000015_000001	For a moment the water leaps into the air, all foam and sparkle, as if it would jump over the barrier, and find its way to the sea at any rate.	For a moment the water leaps into the air, all foam and sparkle, as if it would jump over the barrier, and find its way to the sea at any rate.	true	437.03	445.39	21.034195
707_161166_000015_000002	But this proves entirely unsuccessful; and at last, after whirling and tumbling, trying to creep under; trying to leap over, it settles itself quietly in its prison, as if to think about the matter.	But this proves entirely unsuccessful; and at last, after whirling and tumbling, trying to creep under; trying to leap over, it settles itself quietly in its prison, as if to think about the matter.	true	446.12	460.03	23.075981
707_161166_000016_000000	Now, if you will stay and watch it day after day, you will see what good result will come from this waiting; for every hour more and more water is running to its aid, and, as its forces increase, we begin to feel sure, that, although it can neither pass over nor under, it will some day be strong enough to break through the Frost Giants' dam.	Now, if you will stay and watch it day after day, you will see what good result will come from this waiting; for every hour more and more water is running to its aid, and, as its forces increase, we begin to feel sure, that, although it can neither pass over nor under, it will some day be strong enough to break through the Frost Giants' dam.	true	460.88	481.9	23.045069
707_161166_000016_000001	And the day comes at last, when, summoning all its waters to the attack, it makes a breach in the great earth wall, and in a strong, grand column, as high as this room, marches away towards the sea.	And the day comes at last, when, summoning all its waters to the attack, it makes a breach in the great earth wall, and in a strong, grand column, as high as this room, marches away towards the sea.	true	482.84	496.6	24.267609
707_161166_000017_000000	As we have the wings of thought to travel with, let us hurry back to the settlement, and see where Nannie is now, and tell the people, if we only can, what a wall of water is marching down upon them; for you see the little channel that used to hold Nannie's Run is not a quarter large enough for this torrent, that has gathered so long behind the dam.	As we have the wings of thought to travel with, let us hurry back to the settlement, and see where Nannie is now, and tell the people, if we only can, what a wall of water is marching down upon them; for you see the little channel that used to hold Nannie's Run is not a quarter large enough for this torrent, that has gathered so long behind the dam.	false	497.39	518.11	21.872066
707_161166_000018_000000	Peep in at the window, and see how Nannie stands at the kitchen table, cutting out little cakes from a bit of dough that her mother has given her; she is all absorbed in her play, and her mother has gone to look into the oven at the nicely browning loaves.	Peep in at the window, and see how Nannie stands at the kitchen table, cutting out little cakes from a bit of dough that her mother has given her; she is all absorbed in her play, and her mother has gone to look into the oven at the nicely browning loaves.	true	518.15	532.69	21.236246
707_161166_000019_000000	Oh, don't we wish the house had been built up on the cliff among the fir-trees, safe above the reach of the water!	Oh, don't we wish the house had been built up on the cliff among the fir trees, safe above the reach of the water!	true	532.76	541.12	21.024153
707_161166_000019_000001	But, alas! here it stands, just in the path that the torrent will take, and we have no power to tell of the danger that is approaching.	But, alas! here it stands, just in the path that the torrent will take, and we have no power to tell of the danger that is approaching.	true	541.43	550.75	22.466534
707_161166_000020_000000	Mrs. Dwight turns from the oven, and, passing the window on her way to the table, suddenly sees the great wall of water only a few rods from her house.	mrs Dwight turns from the oven, and, passing the window on her way to the table, suddenly sees the great wall of water only a few rods from her house.	true	551.12	559.24	17
707_161166_000020_000001	With one step she reaches the bedroom, seizes the blankets from the bed, wraps Nannie in them, and with the little girl on one arm, grasps Frankie's hand, and, telling Harry to run beside her, opens the door nearest the cliff, and almost flies up its steep side.	With one step she reaches the bedroom, seizes the blankets from the bed, wraps Nannie in them, and with the little girl on one arm, grasps Frankie's hand, and, telling Harry to run beside her, opens the door nearest the cliff, and almost flies up its steep side.	false	560	573.37	17
707_161166_000021_000000	Five minutes afterwards, sitting breathless on the roots of an old tree, with her children safe beside her, she sees the whole shore covered with surging water, and the houses swept into the bay, tossing and drifting there like boats in a stormy sea.	Five minutes afterwards, sitting breathless on the roots of an old tree, with her children safe beside her, she sees the whole shore covered with surging water, and the houses swept into the bay, tossing and drifting there like boats in a stormy sea.	true	574.64	592.09	21.280386
707_161166_000021_000001	And this is what the Frost Giants did to Nannie's Run.	And this is what the Frost Giants did to Nannie's Run.	true	592.55	596.89	21.731512
707_161166_000022_000000	THE INDIANS	THE INDIANS	true	597.47	598.45	20.023306
707_161166_000023_000000	What will Nannie do now?	What will Nannie do now?	true	598.97	600.67	22.25824
707_161166_000023_000001	Here in our New-England towns it would seem hard enough to have one's house swept away before one's eyes; but then you know you could take the next train of cars, and go to your aunt in Boston, or your uncle in New York, to stay until a new house could be prepared for you.	Here in our New England towns it would seem hard enough to have one's house swept away before one's eyes; but then you know you could take the next train of cars, and go to your aunt in Boston, or your uncle in New York, to stay until a new house could be prepared for you.	true	600.83	616.75	23.534458
707_161166_000023_000002	But here is Nannie hundreds and thousands of miles away from any such help; for there are not only no railroads to travel upon, but not even common roads nor horses nor wagons; nevertheless, there are neighbors who will bring help.	But here is Nannie hundreds and thousands of miles away from any such help; for there are not only no railroads to travel upon, but not even common roads nor horses nor wagons; nevertheless, there are neighbors who will bring help.	true	617.6	633.22	20.336884
707_161166_000024_000000	You remember reading in your history, how, when our great-great- grandfathers came to this country to live, they found it occupied by Indians.	You remember reading in your history, how, when our great great grandfathers came to this country to live, they found it occupied by Indians.	true	633.98	642.07	20.309242
707_161166_000024_000001	The Indians are all gone from our part of the country now; but out in the far North-West, where Nannie lives, they still have their wigwams and canoes, still dress in blankets, and wear feathers on their heads, and in that particular part of the country lives a tribe called the Flatheads.	The Indians are all gone from our part of the country now; but out in the far north-west, where Nannie lives, they still have their wigwams and canoes, still dress in blankets, and wear feathers on their heads, and in that particular part of the country lives a tribe called the Flatheads.	true	642.71	661.18	19.888092
707_161166_000024_000002	They take this odd name because of a fashion they have of binding a board upon the top of a child's head, while he is yet very young, in order that he may grow up with a flattened head, which is considered a mark of beauty among these savages, just as small feet are so considered among the Chinese, you know.	They take this odd name because of a fashion they have of binding a board upon the top of a child's head, while he is yet very young, in order that he may grow up with a flattened head, which is considered a mark of beauty among these savages, just as small feet are so considered among the Chinese, you know.	false	662.18	681.31	20.72083
707_161166_000025_000000	The Flatheads are Nannie's only neighbors, and perhaps you would consider them rather undesirable friends; but when I tell you how they came at once with blankets and food, and all sorts of friendly offers of shelter and help, you will think that some white people might well take a lesson from them.	The Flatheads are Nannie's only neighbors, and perhaps you would consider them rather undesirable friends; but when I tell you how they came at once with blankets and food, and all sorts of friendly offers of shelter and help, you will think that some white people might well take a lesson from them.	true	683.12	700.69	22.363056
707_161166_000026_000000	They had been in the habit of bringing venison and salmon to the settlement for sale; and when Nannie's mother tells them that she has no longer any money to buy, they say, "Oh, no, it is a potlatch!" which in their language mean a present.	They had been in the habit of bringing venison and salmon to the settlement for sale; and when Nannie's mother tells them that she has no longer any money to buy, they say, "Oh, no, it is a potlatch!" which in their language mean a present.	false	701.18	714.7	20.53865
707_161166_000027_000000	Happily the warm weather is approaching; and a little girl who has lived out of doors so much does not find it unsafe to sleep in the hammock which Hunter has slung for her among the trees, or even on the ground, rolled in an Indian blanket; and when her shoes wear out, she can safely run barefooted in the woods or on the sand.	Happily the warm weather is approaching; and a little girl who has lived out of doors so much does not find it unsafe to sleep in the hammock which Hunter has slung for her among the trees, or even on the ground, rolled in an Indian blanket; and when her shoes wear out, she can safely run barefooted in the woods or on the sand.	false	715.1	737.05	19.764725
707_161166_000028_000000	Before many weeks have passed, some of the tall fir-trees are cut down, and a new house is built, this time safely perched on top of the cliff; and, so far as I know, the Frost Giants have never succeeded in touching it.	Before many weeks have passed, some of the tall fir trees are cut down, and a new house is built, this time safely perched on top of the cliff; and, so far as I know, the Frost Giants have never succeeded in touching it.	true	737.6	752.22	21.841368
707_161166_000029_000000	HOW QUERCUS ALBA WENT TO EXPLORE THE UNDER-WORLD: WHAT CAME OF IT	HOW QUERCUS ALBA WENT TO EXPLORE THE UNDER WORLD: WHAT CAME OF IT	false	752.22	752.46	-20
707_161166_000030_000000	Quercus Alba lay on the ground, looking up at the sky.	Quercus Alba lay on the ground, looking up at the sky.	false	752.46	752.7	-20
707_161166_000030_000001	He lay in a little brown, rustic cradle which would be pretty for any baby, but was specially becoming to his shining, bronzed complexion; for although his name, Alba, is the Latin word for white, he did not belong to the white race.	He lay in a little brown, rustic cradle which would be pretty for any baby, but was specially becoming to his shining, bronzed complexion; for although his name, Alba, is the Latin word for white, he did not belong to the white race.	false	752.7	753.57	-20
707_161166_000030_000002	He was trying to play with his cousins Coccinea and Rubra; but they were two or three yards away from him, and not one of the three dared to roll any distance, for fear of rolling out of his cradle: so it wasn't a lively play, as you may easily imagine.	He was trying to play with his cousins Coccinea and Rubra; but they were two or three yards away from him, and not one of the three dared to roll any distance, for fear of rolling out of his cradle: so it wasn't a lively play, as you may easily imagine.	false	753.57	754.14	100
707_161166_000030_000003	Presently Rubra, who was a sturdy little fellow, hardly afraid of any thing, summoned courage to roll full half a yard, and, having come within speaking distance, began to tell how his elder brother had, that very morning, started on the grand underground tour, which to the Quercus family is what going to Europe would be for you and me.	Presently Rubra, who was a sturdy little fellow, hardly afraid of any thing, summoned courage to roll full half a yard, and, having come within speaking distance, began to tell how his elder brother had, that very morning, started on the grand underground tour, which to the Quercus family is what going to Europe would be for you and me.	false	754.14	754.14	
707_161166_000030_000004	Coccinea thought the account very stupid; said his brothers had all been, and he should go too sometime, he supposed; and, giving a little shrug of his shoulders which set his cradle rocking, fell asleep in the very face of his visitors.	Coccinea thought the account very stupid; said his brothers had all been, and he should go too sometime, he supposed; and, giving a little shrug of his shoulders which set his cradle rocking, fell asleep in the very face of his visitors.	false	754.14	757.35	21.361605
707_161166_000030_000005	Not so Alba: this was all news to him,--grand news.	Not so Alba: this was all news to him,--grand news.	false	757.35	759.18	24.834225
707_161166_000030_000006	He was young and inexperienced, and, moreover, full of roving fancies: so he lifted his head as far as he dared, nodded delightedly as Rubra described the departure, and, when his cousin ceased speaking, asked eagerly, "And what will he do there?"	He was young and inexperienced, and, moreover, full of roving fancies: so he lifted his head as far as he dared, nodded delightedly as Rubra described the departure, and, when his cousin ceased speaking, asked eagerly, "And what will he do there?"	false	759.18	761.46	24.61329
