5731_50777_000000_000000	V.	V.	false	9.42	11.91	26.271393
5731_50777_000008_000006	I counted the whole lot last night when I was washin' of 'em, an' there ain't but nineteen anyhow yer fix 'em, an' no nine pairs mates nohow; an' I ain't goin' ter have my childern wear odd stockin's to a dinner-comp'ny, brought up as I was!	I counted the whole lot last night when I was washin' of 'em, an' there ain't but nineteen anyhow yer fix 'em, an' no nine pairs mates nohow; an' I ain't goin' ter have my childern wear odd stockin's to a dinner comp'ny, brought up as I was!	false	148.94	162.42	22.833904
5731_50777_000008_000007	Eily, can't you run out and ask Mis' Cullen ter lend me a pair o' stockin's for Peory, an' tell her if she will, Peory'll give Jim half her candy when she gets home.	Eily, can't you run out and ask Mis' Cullen ter lend me a pair o' stockin's for Peory, an' tell her if she will, Peory'll give Jim half her candy when she gets home.	false	162.42	171.39	24
5731_50777_000008_000008	Won't yer, Peory?"	Won't yer, Peory?"	true	171.39	172.69	29.115166
5731_50777_000009_000000	Peoria was young and greedy, and thought the remedy so much worse than the disease that she set up a deafening howl at the projected bargain--a howl so rebellious and so out of all season that her mother started in her direction with flashing eye and uplifted hand; but she let it fall suddenly, saying, "No, I won't lick ye Christmas day, if yer drive me crazy; but speak up smart, now, 'n say whether yer'd ruther give Tim Cullen half yer candy or go bare-legged ter the party?" The matter being put so plainly, Peoria collected her faculties, dried her tears and chose the lesser evil, Clem having hastened the decision by an affectionate wink, that meant he'd go halves with her on his candy.	Peoria was young and greedy, and thought the remedy so much worse than the disease that she set up a deafening howl at the projected bargain-a howl so rebellious and so out of all season that her mother started in her direction with flashing eye and uplifted hand; but she let it fall suddenly, saying, "No, I won't lick ye Christmas day, if yer drive me crazy; but speak up smart, now, 'n say whether yer'd ruther give Tim Cullen half yer candy or go bare legged ter the party?" The matter being put so plainly, Peoria collected her faculties, dried her tears and chose the lesser evil, Clem having hastened the decision by an affectionate wink, that meant he'd go halves with her on his candy.	false	173.48	215.26	23.231764
5731_50777_000010_000000	"That's a lady;" cried her mother.	"That's a lady;" cried her mother.	true	215.84	218.05	29.899437
5731_50777_000010_000001	"Now, you young ones that ain't doin' nothin', play all yer want ter before noontime, for after ye git through eatin' at twelve o'clock me 'n Sarah Maud's goin' ter give yer such a washin' an' combin' an' dressin' as yer never had before an' never will agin, an' then I'm goin' to set yer down an' give yer two solid hours trainin' in manners; an' 'twon't be no foolin' neither."	"Now, you young ones that ain't doin' nothin', play all yer want ter before noontime, for after ye git through eatin' at twelve o'clock me 'n Sarah Maud's goin' ter give yer such a washin' an' combin' an' dressin' as yer never had before an' never will agin, an' then I'm goin' to set yer down an' give yer two solid hours trainin' in manners; an' 'twon't be no foolin' neither."	false	218.06	237.76	20
5731_50777_000011_000000	"All we've got ter do 's go eat!" grumbled Peter.	"All we've got ter do 's go eat!" grumbled peter.	false	238.46	241.87	31.674763
5731_50777_000012_000000	"Well, that's enough," responded his mother; "there's more 'n one way of eatin', let me tell yer, an' you've got a heap ter learn about it, Peter Ruggles.	"Well, that's enough," responded his mother; "there's more 'n one way of eatin', let me tell yer, an' you've got a heap ter learn about it, peter Ruggles.	false	242.03	249.435	25.365217
5731_50777_000012_000001	Lord sakes, I wish you childern could see the way I was fetched up to eat--never took a meal o' vittles in the kitchen before I married Ruggles; but yer can't keep up that style with nine young ones 'n yer Pa always off ter sea."	Lord sakes, I wish you childern could see the way I was fetched up to eat-never took a meal o' vittles in the kitchen before I married Ruggles; but yer can't keep up that style with nine young ones 'n yer Pa always off ter sea."	false	249.435	262.53	23.904387
5731_50777_000013_000000	The big Ruggleses worked so well, and the little Ruggleses kept from "under foot" so successfully, that by one o'clock nine complete toilets were laid out in solemn grandeur on the beds.	The big Ruggleses worked so well, and the little Ruggleses kept from "under foot" so successfully, that by one o'clock nine complete toilets were laid out in solemn grandeur on the beds.	false	262.53	272.38	22
5731_50777_000013_000001	I say, "complete;" but I do not know whether they would be called so in the best society.	I say, "complete;" but I do not know whether they would be called so in the best society.	true	272.57	277.57	26.347198
5731_50777_000013_000002	The law of compensation had been well applied; he that had necktie had no cuffs; she that had sash had no handkerchief, and vice versa; but they all had boots and a certain amount of clothing, such as it was, the outside layer being in every case quite above criticism.	The law of compensation had been well applied; he that had necktie had no cuffs; she that had sash had no handkerchief, and vice versa; but they all had boots and a certain amount of clothing, such as it was, the outside layer being in every case quite above criticism.	true	277.73	293.2	25.696577
5731_50777_000014_000000	"Now, Sarah Maud," said Mrs. Ruggles, her face shining with excitement, "everything is red up an' we can begin.	"Now, Sarah Maud," said mrs Ruggles, her face shining with excitement, "everything is red up an' we can begin.	true	293.57	300.01	23.895527
5731_50777_000014_000001	I've got a boiler 'n a kettle 'n a pot o' hot water.	I've got a boiler 'n a kettle 'n a pot o' hot water.	false	300.05	303.285	25.062819
5731_50777_000014_000002	Peter, you go into the back bedroom, an' I'll take Susan, Kitty, Peory an' Cornelius; an' Sarah Maud, you take Clem, 'n Eily, 'n Larry, one to a time, an' git as fur as you can with 'em, an' then I'll finish 'em off while you do yerself."	peter, you go into the back bedroom, an' I'll take Susan, Kitty, Peory an' Cornelius; an' Sarah Maud, you take Clem, 'n Eily, 'n Larry, one to a time, an' git as fur as you can with 'em, an' then I'll finish 'em off while you do yerself."	false	303.285	316.81	25.19115
5731_50777_000015_000000	Sarah Maud couldn't have scrubbed with any more decision and force if she had been doing floors, and the little Ruggleses bore it bravely, not from natural heroism, but for the joy that was set before them. Not being satisfied, however, with the "tone" of their complexions, she wound up operations by applying a little Bristol brick from the knife-board, which served as the proverbial "last straw," from under which the little Ruggleses issued rather red and raw and out of temper. When the clock struck three they were all clothed, and most of them in their right minds, ready for those last touches that always take the most time.	Sarah Maud couldn't have scrubbed with any more decision and force if she had been doing floors, and the little Ruggleses bore it bravely, not from natural heroism, but for the joy that was set before them. Not being satisfied, however, with the "tone" of their complexions, she wound up operations by applying a little Bristol brick from the knife board, which served as the proverbial "last straw," from under which the little Ruggleses issued rather red and raw and out of temper. When the clock struck three they were all clothed, and most of them in their right minds, ready for those last touches that always take the most time.	true	317.39	353.2	25.449116
5731_50777_000015_000001	Kitty's red hair was curled in thirty-four ringlets, Sarah Maud's was braided in one pig-tail, and Susan's and Eily's in two braids apiece, while Peoria's resisted all advances in the shape of hair oils and stuck out straight on all sides, like that of the Circassian girl of the circus--so Clem said; and he was sent into the bed-room for it too, from whence he was dragged out forgivingly by Peoria herself, five minutes later.	Kitty's red hair was curled in thirty four ringlets, Sarah Maud's was braided in one pig tail, and Susan's and Eily's in two braids apiece, while Peoria's resisted all advances in the shape of hair oils and stuck out straight on all sides, like that of the Circassian girl of the circus-so Clem said; and he was sent into the bed room for it too, from whence he was dragged out forgivingly by Peoria herself, five minutes later.	false	353.51	379.9	23
5731_50777_000015_000002	Then--exciting moment--came linen collars for some and neckties and bows for others, and Eureka! the Ruggleses were dressed, and Solomon in all his glory was not arrayed like one of these!	Then-exciting moment-came linen collars for some and neckties and bows for others, and Eureka! the Ruggleses were dressed, and Solomon in all his glory was not arrayed like one of these!	false	380.3	393.19	23.599445
5731_50777_000015_000003	A row of seats was formed directly through the middle of the kitchen.	A row of seats was formed directly through the middle of the kitchen.	true	393.5	397.12	25.038755
5731_50777_000015_000004	There were not quite chairs enough for ten, since the family had rarely all wanted to sit down at once, somebody always being out, or in bed, but the wood box and the coal-hod finished out the line nicely.	There were not quite chairs enough for ten, since the family had rarely all wanted to sit down at once, somebody always being out, or in bed, but the wood box and the coal hod finished out the line nicely.	true	397.4	409.39	23.762234
5731_50777_000015_000005	The children took their places according to age, Sarah Maud at the head and Larry on the coal-hod, and Mrs. Ruggles seated herself in front, surveying them proudly as she wiped the sweat of honest toil from her brow.	The children took their places according to age, Sarah Maud at the head and Larry on the coal hod, and mrs Ruggles seated herself in front, surveying them proudly as she wiped the sweat of honest toil from her brow.	true	409.91	422.62	24.428783
5731_50777_000016_000000	"Well," she exclaimed, "if I do say so as shouldn't, I never see a cleaner, more stylish mess o' childern in my life!	"Well," she exclaimed, "if I do say so as shouldn't, I never see a cleaner, more stylish mess o' childern in my life!	false	423.32	430.15	24.226242
5731_50777_000016_000001	I do wish Ruggles could look at ye for a minute!	I do wish Ruggles could look at ye for a minute!	false	430.28	432.52	24.611809
5731_50777_000016_000002	Now, I've of 'en told ye what kind of a family the McGrills was.	Now, I've of 'en told ye what kind of a family the McGrills was.	false	432.59	436.24	23
5731_50777_000016_000003	I've got some reason to be proud; your uncle is on the po-lice force o' New York city; you can take up the newspaper most any day an' see his name printed right out--James McGrill, and I can't have my childern fetched up common, like some folks.	I've got some reason to be proud; your uncle is on the po lice force o' New York city; you can take up the newspaper most any day an' see his name printed right out-james McGrill, and I can't have my childern fetched up common, like some folks.	false	436.28	449.44	24
5731_50777_000016_000004	When they go out they've got to have close, and learn ter act decent!	When they go out they've got to have close, and learn ter act decent!	false	449.72	453.34	25.386473
5731_50777_000016_000005	Now, I want ter see how yer goin' to behave when yer git there to-night. Let's start in at the beginnin' 'n act out the whole business.	Now, I want ter see how yer goin' to behave when yer git there to night. Let's start in at the beginnin' 'n act out the whole business.	false	453.56	459.91	23.996279
5731_50777_000016_000006	Pile into the bed-room, there, every last one of ye, an' show me how yer goin' ter go in't the parlor.	Pile into the bed room, there, every last one of ye, an' show me how yer goin' ter go in't the parlor.	false	459.95	465.51	23.720753
5731_50777_000016_000007	This'll be the parlor 'n I'll be Mis' Bird." The youngsters hustled into the next room in high glee, and Mrs. Ruggles drew herself up in her chair with an infinitely haughty and purse-proud expression that much better suited a descendant of the McGrills than modest Mrs. Bird.	This'll be the parlor 'n I'll be Mis' Bird." The youngsters hustled into the next room in high glee, and mrs Ruggles drew herself up in her chair with an infinitely haughty and purse proud expression that much better suited a descendant of the McGrills than modest mrs Bird.	false	465.51	482.56	25.26879
5731_50777_000016_000008	The bed-room was small, and there presently ensued such a clatter that you would have thought a herd of wild cattle had broken loose; the door opened, and they straggled in, all the little ones giggling, with Sarah Maud at the head, looking as if she had been caught in the act of stealing sheep; while Larry, being last in line, seemed to think the door a sort of gate of heaven which would be shut in his face if he didn't get there in time; accordingly he struggled ahead of his elders and disgraced himself by tumbling in head foremost.	The bed room was small, and there presently ensued such a clatter that you would have thought a herd of wild cattle had broken loose; the door opened, and they straggled in, all the little ones giggling, with Sarah Maud at the head, looking as if she had been caught in the act of stealing sheep; while Larry, being last in line, seemed to think the door a sort of gate of heaven which would be shut in his face if he didn't get there in time; accordingly he struggled ahead of his elders and disgraced himself by tumbling in head foremost.	true	482.87	512.95	24.660187
5731_50777_000017_000000	Mrs. Ruggles looked severe.	mrs Ruggles looked severe.	true	513.41	515.145	23.328684
5731_50777_000017_000001	"There, I knew yer'd do it in some sech fool-way,--try it agin 'n if Larry can't come in on two legs he can stay ter home!"	"There, I knew yer'd do it in some sech fool way,--try it agin 'n if Larry can't come in on two legs he can stay ter home!"	false	515.145	522.19	23.700996
5731_50777_000018_000000	The matter began to assume a graver aspect; the little Ruggleses stopped giggling and backed into the bed-room, issuing presently with lock step, Indian file, a scared and hunted expression in every countenance.	The matter began to assume a graver aspect; the little Ruggleses stopped giggling and backed into the bed room, issuing presently with lock step, Indian file, a scared and hunted expression in every countenance.	true	522.89	535.12	24.12581
5731_50777_000019_000000	"No, no, no!" cried Mrs. Ruggles, in despair; "Yer look for all the world like a gang o' pris'ners; there ain't no style ter that; spread out more, can't yer, an' act kind o' careless like--nobody's goin' ter kill ye!"	"No, no, no!" cried mrs Ruggles, in despair; "Yer look for all the world like a gang o' pris'ners; there ain't no style ter that; spread out more, can't yer, an' act kind o' careless like-nobody's goin' ter kill ye!"	false	535.28	548.16	26.42373
5731_50777_000019_000001	The third time brought deserved success, and the pupils took their seats in the row.	The third time brought deserved success, and the pupils took their seats in the row.	true	548.16	552.7	26
5731_50777_000019_000002	"Now, yer know," said Mrs. Ruggles, "there ain't enough decent hats to go round, an' if there was I don' know 's I'd let yer wear 'em, for the boys would never think to take 'em off when they got inside--but, anyhow, there ain't enough good ones.	"Now, yer know," said mrs Ruggles, "there ain't enough decent hats to go round, an' if there was I don' know 's I'd let yer wear 'em, for the boys would never think to take 'em off when they got inside-but, anyhow, there ain't enough good ones.	false	552.8	565.05	23.116419
5731_50777_000019_000003	Now, look me in the eye.	Now, look me in the eye.	true	565.05	566.35	27.126558
5731_50777_000019_000004	You needn't wear no hats, none of yer, en' when yer get int' the parlor 'n they ask yer ter lay off yer hats, Sarah Maud must speak up an' say it was sech a pleasant evenin' an' sech a short walk that you left yer hats to home to save trouble.	You needn't wear no hats, none of yer, en' when yer get int' the parlor 'n they ask yer ter lay off yer hats, Sarah Maud must speak up an' say it was sech a pleasant evenin' an' sech a short walk that you left yer hats to home to save trouble.	false	566.75	579.25	25.361341
5731_50777_000019_000005	Now, can you remember?"	Now, can you remember?"	true	579.38	580.87	27.566525
5731_50777_000020_000000	All the little Ruggleses shouted, "Yes, marm," in chorus.	All the little Ruggleses shouted, "Yes, marm," in chorus.	true	581.09	585.07	27.105247
5731_50777_000021_000000	"What have you got ter do with it," demanded their mother; "did I tell YOU to say it!	"What have you got ter do with it," demanded their mother; "did I tell YOU to say it!	false	585.68	589.83	26.637571
5731_50777_000021_000001	Wasn't I talkin' ter Sarah Maud?"	Wasn't I talkin' ter Sarah Maud?"	false	589.83	591.93	23.575525
5731_50777_000021_000002	The little Ruggleses hung their diminished heads.	The little Ruggleses hung their diminished heads.	true	591.93	594.4	24.751678
5731_50777_000021_000003	"Yes, marm," they piped, more feebly. "Now git up, all of ye, an' try it.	"Yes, marm," they piped, more feebly. "Now git up, all of ye, an' try it.	false	594.56	599.26	30.745323
5731_50777_000021_000004	Speak up, Sarah Maud."	Speak up, Sarah Maud."	true	599.39	601.06	29.379345
5731_50777_000022_000000	Sarah Maud's tongue clove to the roof of her mouth.	Sarah Maud's tongue clove to the roof of her mouth.	false	601.31	604.59	26.805037
5731_50777_000023_000000	"Quick!"	"Quick!"	true	604.59	605.41	32.412395
5731_50777_000024_000000	"Ma thought--it was--sech a pleasant hat that we'd--we'd better leave our short walk to home," recited Sarah Maud, in an agony of mental effort.	"Ma thought-it was-sech a pleasant hat that we'd-we'd better leave our short walk to home," recited Sarah Maud, in an agony of mental effort.	false	605.96	616.3	27.04294
5731_50777_000025_000000	This was too much for the boys.	This was too much for the boys.	true	617	619.3	28.499
5731_50777_000026_000000	"Oh, whatever shall I do with ye?" moaned the unhappy mother; "I suppose I've got to learn it to yer!" which she did, word for word, until Sarah Maud thought she could stand on her head and say it backwards.	"Oh, whatever shall I do with ye?" moaned the unhappy mother; "I suppose I've got to learn it to yer!" which she did, word for word, until Sarah Maud thought she could stand on her head and say it backwards.	false	619.43	630.34	27.722359
5731_50777_000027_000000	"Now, Cornelius, what are YOU goin' ter say ter make yerself good comp'ny?"	"Now, Cornelius, what are YOU goin' ter say ter make yerself good comp'ny?"	false	631.31	635.5	26.488764
5731_50777_000028_000000	"Dunno!" said Cornelius, turning pale.	"Dunno!" said Cornelius, turning pale.	true	636.08	638.85	27.042843
5731_50777_000029_000000	"Well, ye ain't goin' to set there like a bump on a log 'thout sayin' a word ter pay for yer vittles, air ye?	"Well, ye ain't goin' to set there like a bump on a log 'thout sayin' a word ter pay for yer vittles, air ye?	false	638.85	644.19	27.60633
5731_50777_000029_000001	Ask Mis' Bird how she's feelin' this evenin', or if Mr. Bird's havin' a busy season, or somethin' like that.	Ask Mis' Bird how she's feelin' this evenin', or if mr Bird's havin' a busy season, or somethin' like that.	true	644.19	650.08	21.642193
5731_50777_000029_000002	Now we'll make b'lieve we've got ter the dinner--that won't be so hard, 'cause yer'll have somethin' to do--it's awful bothersome ter stan' round an' act stylish.	Now we'll make b'lieve we've got ter the dinner-that won't be so hard, 'cause yer'll have somethin' to do-it's awful bothersome ter stan' round an' act stylish.	false	650.21	658.33	24.645357
5731_50777_000029_000003	If they have napkins, Sarah Maud down to Peory may put 'em in their laps 'n the rest of ye can tuck 'em in yer necks.	If they have napkins, Sarah Maud down to Peory may put 'em in their laps 'n the rest of ye can tuck 'em in yer necks.	false	658.34	664.69	26.864384
5731_50777_000029_000004	Don't eat with yer fingers--don't grab no vittles off one 'nother's plates; don't reach out for nothin', but wait till yer asked, 'n if yer never GIT asked don't git up and grab it--don't spill nothin' on the table cloth, or like's not Mis' Bird 'll send yer away from the table.	Don't eat with yer fingers-don't grab no vittles off one 'nother's plates; don't reach out for nothin', but wait till yer asked, 'n if yer never GIT asked don't git up and grab it-don't spill nothin' on the table cloth, or like's not Mis' Bird 'l l send yer away from the table.	false	664.97	679.92	24.627172
5731_50777_000029_000005	Now we'll try a few things ter see how they'll go!	Now we'll try a few things ter see how they'll go!	false	679.92	682.69	22
5731_50777_000029_000006	Mr. Clement, do you eat cramb'ry sarse?"	mr Clement, do you eat cramb'ry sarse?"	false	682.76	685.59	28.150097
5731_50777_000030_000000	"Bet yer life!" cried Clem, who, not having taken in the idea exactly, had mistaken this for an ordinary family question.	"Bet yer life!" cried Clem, who, not having taken in the idea exactly, had mistaken this for an ordinary family question.	false	685.59	693.4	24.540953
5731_50777_000031_000000	"Clement Ruggles, do you mean to tell me that you'd say that to a dinner party?	"Clement Ruggles, do you mean to tell me that you'd say that to a dinner party?	true	693.53	697.12	22.579975
5731_50777_000031_000001	I'll give ye one more chance.	I'll give ye one more chance.	false	697.22	698.64	23
5731_50777_000031_000002	Mr. Clement, will you take some of the cramb'ry?"	mr Clement, will you take some of the cramb'ry?"	true	698.64	701.38	28.710773
5731_50777_000032_000000	"Yes marm, thank ye kindly, if you happen ter have any handy."	"Yes marm, thank ye kindly, if you happen ter have any handy."	false	701.42	705.04	22.701181
5731_50777_000033_000000	"Very good, indeed!	"Very good, indeed!	true	705.26	706.605	27.662987
5731_50777_000033_000001	Mr. Peter, do you speak for white or dark meat?"	mr peter, do you speak for white or dark meat?"	true	706.605	709.39	28.316593
5731_50777_000034_000000	"I ain't particler as ter color--anything that nobody else wants will suit me," answered Peter with his best air.	"I ain't particler as ter color-anything that nobody else wants will suit me," answered peter with his best air.	false	709.55	717.045	24.018648
5731_50777_000035_000000	"First rate!	"First rate!	true	717.045	718.06	30.56414
5731_50777_000035_000001	nobody could speak more genteel than that.	nobody could speak more genteel than that.	true	718.13	720.55	26.777859
5731_50777_000035_000002	Miss Kitty, will you have hard or soft sarse with your pudden?"	Miss Kitty, will you have hard or soft sarse with your pudden?"	false	720.62	724.92	22.376425
5731_50777_000036_000000	"A little of both if you please, an' I'm much obliged," said Kitty with decided ease and grace, at which all the other Ruggleses pointed the finger of shame at her and Peter GRUNTED expressively, that their meaning might not be mistaken.	"A little of both if you please, an' I'm much obliged," said Kitty with decided ease and grace, at which all the other Ruggleses pointed the finger of shame at her and peter GRUNTED expressively, that their meaning might not be mistaken.	false	724.92	738.76	24.37144
5731_50777_000037_000000	"You just stop your gruntin', Peter Ruggles; that was all right.	"You just stop your gruntin', peter Ruggles; that was all right.	true	738.89	742.065	24.096184
5731_50777_000037_000001	I wish I could git it inter your heads that it ain't so much what yer say, as the way yer say it.	I wish I could git it inter your heads that it ain't so much what yer say, as the way yer say it.	false	742.065	747.28	26
5731_50777_000037_000002	Eily, you an' Larry's too little to train, so you just look at the rest, an' do 's they do, an' the Lord have mercy on ye an' help ye to act decent!	Eily, you an' Larry's too little to train, so you just look at the rest, an' do 's they do, an' the Lord have mercy on ye an' help ye to act decent!	false	747.41	755.44	23
5731_50777_000037_000003	Now, is there anything more ye'd like to practice?"	Now, is there anything more ye'd like to practice?"	true	755.48	758.08	28.483688
5731_50777_000038_000000	"If yer tell me one more thing I can't set up an' eat," said Peter, gloomily; "I'm so cram full o' manners now I'm ready ter bust 'thout no dinner at all."	"If yer tell me one more thing I can't set up an' eat," said peter, gloomily; "I'm so cram full o' manners now I'm ready ter bust 'thout no dinner at all."	false	758.33	766.48	23
5731_50777_000039_000000	"Me too," chimed in Cornelius.	"Me too," chimed in Cornelius.	false	766.58	768.9	28.97436
5731_50777_000040_000000	"Well, I'm sorry for yer both," rejoined Mrs. Ruggles, sarcastically; "if the 'mount o' manners yer've got on hand now, troubles ye, you're dreadful easy hurt!	"Well, I'm sorry for yer both," rejoined mrs Ruggles, sarcastically; "if the 'mount o' manners yer've got on hand now, troubles ye, you're dreadful easy hurt!	false	768.9	777.46	23.081379
5731_50777_000040_000001	Now, Sarah Maud, after dinner, about once in so often, you must say, 'I guess we'd better be goin';' an' if they say, 'Oh, no, set a while longer,' yer can stay; but if they don't say nothin' you've got ter get up an' go.	Now, Sarah Maud, after dinner, about once in so often, you must say, 'I guess we'd better be goin';' an' if they say, 'Oh, no, set a while longer,' yer can stay; but if they don't say nothin' you've got ter get up an' go.	false	777.5	790.8	23.186455
5731_50777_000040_000002	Can you remember?"	Can you remember?"	true	790.8	792.04	19.938972
5731_50777_000041_000000	"ABOUT ONCE IN SO OFTEN!" Could any words in the language be fraught with more terrible and wearing uncertainty?	"ABOUT ONCE IN SO OFTEN!" Could any words in the language be fraught with more terrible and wearing uncertainty?	true	792.38	801.31	24.456465
5731_50777_000042_000000	"Well," answered Sarah Maud, mournfully, "seems as if this whole dinner party set right square on top o' me!	"Well," answered Sarah Maud, mournfully, "seems as if this whole dinner party set right square on top o' me!	false	802.28	808.57	24.370167
5731_50777_000042_000001	Maybe I could manage my own manners, but ter manage nine mannerses is worse 'n staying to home!"	Maybe I could manage my own manners, but ter manage nine mannerses is worse 'n staying to home!"	false	808.64	813.97	24.365213
5731_50777_000043_000000	"Oh, don't fret," said her mother, good naturedly, "I guess you'll git along.	"Oh, don't fret," said her mother, good naturedly, "I guess you'll git along.	true	814.16	818.62	26.750977
5731_50777_000043_000001	I wouldn't mind if folks would only say, 'Oh, childern will be childern;' but they won't.	I wouldn't mind if folks would only say, 'Oh, childern will be childern;' but they won't.	false	818.66	823.335	24.142862
5731_50777_000043_000002	They'll say, 'Land o' Goodness, who fetched them childern up?' Now it's quarter past five; you can go, an' whatever yer do, don't forget your mother was a McGrill!"	They'll say, 'Land o' Goodness, who fetched them childern up?' Now it's quarter past five; you can go, an' whatever yer do, don't forget your mother was a McGrill!"	false	823.335	841.08	21.734749
