5583_41259_000000_000000	LETTER the 14th LAURA in continuation	LETTER the fourteenth LAURA in continuation	true	27.75	31.39	20.775314
5583_41259_000007_000002	By his side sate Augusta, and on the same seat with me were your Mother and Lady Dorothea.	By his side sate Augusta, and on the same seat with me were your Mother and Lady Dorothea.	true	343.37	349.24	21.304161
5583_41259_000007_000003	Imagine my surprise at finding myself thus seated amongst my old Acquaintance.	Imagine my surprise at finding myself thus seated amongst my old Acquaintance.	true	350.03	354.52	17
5583_41259_000007_000004	Great as was my astonishment, it was yet increased, when on looking out of Windows, I beheld the Husband of Philippa, with Philippa by his side, on the Coachbox and when on looking behind I beheld, Philander and Gustavus in the Basket.	Great as was my astonishment, it was yet increased, when on looking out of Windows, I beheld the Husband of Philippa, with Philippa by his side, on the Coachbox and when on looking behind I beheld, Philander and Gustavus in the Basket.	true	355.49	371.05	21.791086
5583_41259_000007_000005	"Oh!	"Oh!	true	371.81	372.09	23.791697
5583_41259_000007_000006	Heavens, (exclaimed I) is it possible that I should so unexpectedly be surrounded by my nearest Relations and Connections?" These words roused the rest of the Party, and every eye was directed to the corner in which I sat.	Heavens, (exclaimed I) is it possible that I should so unexpectedly be surrounded by my nearest Relations and Connections?" These words roused the rest of the Party, and every eye was directed to the corner in which I sat	true	372.09	387.28	21.563639
5583_41259_000007_000007	"Oh! my Isabel (continued I throwing myself across Lady Dorothea into her arms) receive once more to your Bosom the unfortunate Laura.	"Oh! my Isabel (continued I throwing myself across Lady Dorothea into her arms) receive once more to your Bosom the unfortunate Laura.	true	388.46	398.56	20.631693
5583_41259_000007_000008	Alas! when we last parted in the Vale of Usk, I was happy in being united to the best of Edwards; I had then a Father and a Mother, and had never known misfortunes--But now deprived of every freind but you--"	Alas! when we last parted in the Vale of u s k, I was happy in being united to the best of Edwards; I had then a Father and a Mother, and had never known misfortunes-But now deprived of every freind but you-"	false	399.05	414.4	22.46506
5583_41259_000008_000000	"What! (interrupted Augusta) is my Brother dead then?	"What! (interrupted Augusta) is my Brother dead then?	false	415.46	420.75	22.331348
5583_41259_000008_000001	Tell us I intreat you what is become of him?" "Yes, cold and insensible Nymph, (replied I) that luckless swain your Brother, is no more, and you may now glory in being the Heiress of Sir Edward's fortune."	Tell us I intreat you what is become of him?" "Yes, cold and insensible Nymph, (replied I) that luckless swain your Brother, is no more, and you may now glory in being the Heiress of Sir Edward's fortune."	true	420.75	436.18	20.226896
5583_41259_000009_000000	Although I had always despised her from the Day I had overheard her conversation with my Edward, yet in civility I complied with hers and Sir Edward's intreaties that I would inform them of the whole melancholy affair.	Although I had always despised her from the Day I had overheard her conversation with my Edward, yet in civility I complied with hers and Sir Edward's intreaties that I would inform them of the whole melancholy affair.	true	437.21	450.61	18.512575
5583_41259_000009_000001	They were greatly shocked--even the obdurate Heart of Sir Edward and the insensible one of Augusta, were touched with sorrow, by the unhappy tale.	They were greatly shocked-even the obdurate Heart of Sir Edward and the insensible one of Augusta, were touched with sorrow, by the unhappy tale.	false	451.22	461.14	18.687763
5583_41259_000009_000002	At the request of your Mother I related to them every other misfortune which had befallen me since we parted.	At the request of your Mother I related to them every other misfortune which had befallen me since we parted.	true	462.08	468.46	18.597857
5583_41259_000009_000003	Of the imprisonment of Augustus and the absence of Edward--of our arrival in Scotland--of our unexpected Meeting with our Grand-father and our cousins--of our visit to Macdonald-Hall--of the singular service we there performed towards Janetta--of her Fathers ingratitude for it.. of his inhuman Behaviour, unaccountable suspicions, and barbarous treatment of us, in obliging us to leave the House.. of our lamentations on the loss of Edward and Augustus and finally of the melancholy Death of my beloved Companion.	Of the imprisonment of Augustus and the absence of Edward-of our arrival in Scotland-of our unexpected Meeting with our Grand father and our cousins-of our visit to Macdonald Hall-of the singular service we there performed towards Janetta-of her Fathers ingratitude for it.. of his inhuman Behaviour, unaccountable suspicions, and barbarous treatment of us, in obliging us to leave the House.. of our lamentations on the loss of Edward and Augustus and finally of the melancholy Death of my beloved Companion.	false	468.98	504.76	20.186905
5583_41259_000010_000000	Pity and surprise were strongly depictured in your Mother's countenance, during the whole of my narration, but I am sorry to say, that to the eternal reproach of her sensibility, the latter infinitely predominated. Nay, faultless as my conduct had certainly been during the whole course of my late misfortunes and adventures, she pretended to find fault with my behaviour in many of the situations in which I had been placed.	Pity and surprise were strongly depictured in your Mother's countenance, during the whole of my narration, but I am sorry to say, that to the eternal reproach of her sensibility, the latter infinitely predominated. Nay, faultless as my conduct had certainly been during the whole course of my late misfortunes and adventures, she pretended to find fault with my behaviour in many of the situations in which I had been placed.	true	505.7	533.17	19.64542
5583_41259_000010_000001	As I was sensible myself, that I had always behaved in a manner which reflected Honour on my Feelings and Refinement, I paid little attention to what she said, and desired her to satisfy my Curiosity by informing me how she came there, instead of wounding my spotless reputation with unjustifiable Reproaches.	As I was sensible myself, that I had always behaved in a manner which reflected Honour on my Feelings and Refinement, I paid little attention to what she said, and desired her to satisfy my Curiosity by informing me how she came there, instead of wounding my spotless reputation with unjustifiable Reproaches.	true	534.14	553.24	19.481184
5583_41259_000010_000002	As soon as she had complyed with my wishes in this particular and had given me an accurate detail of every thing that had befallen her since our separation (the particulars of which if you are not already acquainted with, your Mother will give you) I applied to Augusta for the same information respecting herself, Sir Edward and Lady Dorothea.	As soon as she had complyed with my wishes in this particular and had given me an accurate detail of every thing that had befallen her since our separation (the particulars of which if you are not already acquainted with, your Mother will give you) I applied to Augusta for the same information respecting herself, Sir Edward and Lady Dorothea.	true	554.33	573.97	19.314194
5583_41259_000011_000000	She told me that having a considerable taste for the Beauties of Nature, her curiosity to behold the delightful scenes it exhibited in that part of the World had been so much raised by Gilpin's Tour to the Highlands, that she had prevailed on her Father to undertake a Tour to Scotland and had persuaded Lady Dorothea to accompany them.	She told me that having a considerable taste for the Beauties of Nature, her curiosity to behold the delightful scenes it exhibited in that part of the World had been so much raised by Gilpin's Tour to the Highlands, that she had prevailed on her Father to undertake a Tour to Scotland and had persuaded Lady Dorothea to accompany them.	true	574.97	594.46	19
5583_41259_000011_000001	That they had arrived at Edinburgh a few Days before and from thence had made daily Excursions into the Country around in the Stage Coach they were then in, from one of which Excursions they were at that time returning.	That they had arrived at Edinburgh a few Days before and from thence had made daily Excursions into the Country around in the Stage Coach they were then in, from one of which Excursions they were at that time returning.	true	595.22	607.66	18.940866
5583_41259_000011_000002	My next enquiries were concerning Philippa and her Husband, the latter of whom I learned having spent all her fortune, had recourse for subsistence to the talent in which, he had always most excelled, namely, Driving, and that having sold every thing which belonged to them except their Coach, had converted it into a Stage and in order to be removed from any of his former Acquaintance, had driven it to Edinburgh from whence he went to Sterling every other Day.	My next enquiries were concerning Philippa and her Husband, the latter of whom I learned having spent all her fortune, had recourse for subsistence to the talent in which, he had always most excelled, namely, Driving, and that having sold every thing which belonged to them except their Coach, had converted it into a Stage and in order to be removed from any of his former Acquaintance, had driven it to Edinburgh from whence he went to Sterling every other Day.	false	608.81	636.19	19.998348
5583_41259_000011_000003	That Philippa still retaining her affection for her ungratefull Husband, had followed him to Scotland and generally accompanied him in his little Excursions to Sterling.	That Philippa still retaining her affection for her ungratefull Husband, had followed him to Scotland and generally accompanied him in his little Excursions to Sterling.	true	637.1	647.8	19.700031
5583_41259_000011_000004	"It has only been to throw a little money into their Pockets (continued Augusta) that my Father has always travelled in their Coach to veiw the beauties of the Country since our arrival in Scotland--for it would certainly have been much more agreable to us, to visit the Highlands in a Postchaise than merely to travel from Edinburgh to Sterling and from Sterling to Edinburgh every other Day in a crowded and uncomfortable Stage." I perfectly agreed with her in her sentiments on the affair, and secretly blamed Sir Edward for thus sacrificing his Daughter's Pleasure for the sake of a ridiculous old woman whose folly in marrying so young a man ought to be punished.	"It has only been to throw a little money into their Pockets (continued Augusta) that my Father has always travelled in their Coach to veiw the beauties of the Country since our arrival in Scotland-for it would certainly have been much more agreable to us, to visit the Highlands in a Postchaise than merely to travel from Edinburgh to Sterling and from Sterling to Edinburgh every other Day in a crowded and uncomfortable Stage." I perfectly agreed with her in her sentiments on the affair, and secretly blamed Sir Edward for thus sacrificing his Daughter's Pleasure for the sake of a ridiculous old woman whose folly in marrying so young a man ought to be punished.	false	647.84	687.55	19.580044
5583_41259_000011_000005	His Behaviour however was entirely of a peice with his general Character; for what could be expected from a man who possessed not the smallest atom of Sensibility, who scarcely knew the meaning of simpathy, and who actually snored--.	His Behaviour however was entirely of a peice with his general Character; for what could be expected from a man who possessed not the smallest atom of Sensibility, who scarcely knew the meaning of simpathy, and who actually snored-.	false	688.28	703.74	20.19903
5583_41259_000011_000006	Adeiu Laura.	Adeiu Laura.	false	703.74	705.58	22.130302
5583_41259_000012_000000	LETTER the 15th LAURA in continuation.	LETTER the fifteenth LAURA in continuation.	true	707.12	710.47	20.964771
5583_41259_000013_000000	When we arrived at the town where we were to Breakfast, I was determined to speak with Philander and Gustavus, and to that purpose as soon as I left the Carriage, I went to the Basket and tenderly enquired after their Health, expressing my fears of the uneasiness of their situation. At first they seemed rather confused at my appearance dreading no doubt that I might call them to account for the money which our Grandfather had left me and which they had unjustly deprived me of, but finding that I mentioned nothing of the Matter, they desired me to step into the Basket as we might there converse with greater ease.	When we arrived at the town where we were to Breakfast, I was determined to speak with Philander and Gustavus, and to that purpose as soon as I left the Carriage, I went to the Basket and tenderly enquired after their Health, expressing my fears of the uneasiness of their situation. At first they seemed rather confused at my appearance dreading no doubt that I might call them to account for the money which our Grandfather had left me and which they had unjustly deprived me of, but finding that I mentioned nothing of the Matter, they desired me to step into the Basket as we might there converse with greater ease.	false	711.65	747.46	20.59584
5583_41259_000013_000001	Accordingly I entered and whilst the rest of the party were devouring green tea and buttered toast, we feasted ourselves in a more refined and sentimental Manner by a confidential Conversation.	Accordingly I entered and whilst the rest of the party were devouring green tea and buttered toast, we feasted ourselves in a more refined and sentimental Manner by a confidential Conversation.	true	748.4	760.15	19
5583_41259_000013_000002	I informed them of every thing which had befallen me during the course of my life, and at my request they related to me every incident of theirs.	I informed them of every thing which had befallen me during the course of my life, and at my request they related to me every incident of theirs.	true	761.09	768.97	17
5583_41259_000014_000000	"We are the sons as you already know, of the two youngest Daughters which Lord St Clair had by Laurina an italian opera girl.	"We are the sons as you already know, of the two youngest Daughters which Lord St Clair had by Laurina an italian opera girl.	false	770.18	778.93	20.09902
5583_41259_000014_000001	Our mothers could neither of them exactly ascertain who were our Father, though it is generally beleived that Philander, is the son of one Philip Jones a Bricklayer and that my Father was one Gregory Staves a Staymaker of Edinburgh.	Our mothers could neither of them exactly ascertain who were our Father, though it is generally beleived that Philander, is the son of one Philip Jones a Bricklayer and that my Father was one Gregory Staves a Staymaker of Edinburgh.	false	778.94	793.06	19
5583_41259_000014_000002	This is however of little consequence for as our Mothers were certainly never married to either of them it reflects no Dishonour on our Blood, which is of a most ancient and unpolluted kind.	This is however of little consequence for as our Mothers were certainly never married to either of them it reflects no Dishonour on our Blood, which is of a most ancient and unpolluted kind.	true	794.12	805.57	20.612743
5583_41259_000014_000003	Bertha (the Mother of Philander) and Agatha (my own Mother) always lived together. They were neither of them very rich; their united fortunes had originally amounted to nine thousand Pounds, but as they had always lived on the principal of it, when we were fifteen it was diminished to nine Hundred.	Bertha (the Mother of Philander) and Agatha (my own Mother) always lived together. They were neither of them very rich; their united fortunes had originally amounted to nine thousand Pounds, but as they had always lived on the principal of it, when we were fifteen it was diminished to nine Hundred.	false	806.06	825.22	20.327291
5583_41259_000014_000004	This nine Hundred they always kept in a Drawer in one of the Tables which stood in our common sitting Parlour, for the convenience of having it always at Hand.	This nine Hundred they always kept in a Drawer in one of the Tables which stood in our common sitting Parlour, for the convenience of having it always at Hand.	true	825.98	834.4	17
5583_41259_000014_000005	Whether it was from this circumstance, of its being easily taken, or from a wish of being independant, or from an excess of sensibility (for which we were always remarkable) I cannot now determine, but certain it is that when we had reached our 15th year, we took the nine Hundred Pounds and ran away. Having obtained this prize we were determined to manage it with eoconomy and not to spend it either with folly or Extravagance.	Whether it was from this circumstance, of its being easily taken, or from a wish of being independant, or from an excess of sensibility (for which we were always remarkable) I cannot now determine, but certain it is that when we had reached our fifteenth year, we took the nine Hundred Pounds and ran away. Having obtained this prize we were determined to manage it with eoconomy and not to spend it either with folly or Extravagance.	true	835.4	862.93	20.83791
5583_41259_000014_000006	To this purpose we therefore divided it into nine parcels, one of which we devoted to Victuals, the 2d to Drink, the 3d to Housekeeping, the 4th to Carriages, the 5th to Horses, the 6th to Servants, the 7th to Amusements, the 8th to Cloathes and the 9th to Silver Buckles.	To this purpose we therefore divided it into nine parcels, one of which we devoted to Victuals, the two d to Drink, the three d to Housekeeping, the fourth to Carriages, the fifth to Horses, the sixth to Servants, the seventh to Amusements, the eighth to Cloathes and the ninth to Silver Buckles.	false	863.51	884.35	21.824188
5583_41259_000014_000007	Having thus arranged our Expences for two months (for we expected to make the nine Hundred Pounds last as long) we hastened to London and had the good luck to spend it in 7 weeks and a Day which was 6 Days sooner than we had intended.	Having thus arranged our Expences for two months (for we expected to make the nine Hundred Pounds last as long) we hastened to London and had the good luck to spend it in seven weeks and a Day which was six Days sooner than we had intended.	true	885.2	899.92	20.989641
5583_41259_000014_000008	As soon as we had thus happily disencumbered ourselves from the weight of so much money, we began to think of returning to our Mothers, but accidentally hearing that they were both starved to Death, we gave over the design and determined to engage ourselves to some strolling Company of Players, as we had always a turn for the Stage.	As soon as we had thus happily disencumbered ourselves from the weight of so much money, we began to think of returning to our Mothers, but accidentally hearing that they were both starved to Death, we gave over the design and determined to engage ourselves to some strolling Company of Players, as we had always a turn for the Stage.	false	900.59	920.38	20.300243
5583_41259_000014_000009	Accordingly we offered our services to one and were accepted; our Company was indeed rather small, as it consisted only of the Manager his wife and ourselves, but there were fewer to pay and the only inconvenience attending it was the Scarcity of Plays which for want of People to fill the Characters, we could perform.	Accordingly we offered our services to one and were accepted; our Company was indeed rather small, as it consisted only of the Manager his wife and ourselves, but there were fewer to pay and the only inconvenience attending it was the Scarcity of Plays which for want of People to fill the Characters, we could perform.	false	921.35	941.2	18.805223
5583_41259_000014_000010	We did not mind trifles however--. One of our most admired Performances was MACBETH, in which we were truly great.	We did not mind trifles however-. One of our most admired Performances was MACBETH, in which we were truly great.	true	941.96	949.69	19.667511
5583_41259_000014_000011	The Manager always played BANQUO himself, his Wife my LADY MACBETH.	The Manager always played BANQUO himself, his Wife my LADY MACBETH.	true	950.15	955.18	20.562443
5583_41259_000014_000012	I did the THREE WITCHES and Philander acted ALL THE REST.	I did the THREE WITCHES and Philander acted ALL THE REST.	true	955.79	959.71	22.061655
5583_41259_000014_000013	To say the truth this tragedy was not only the Best, but the only Play that we ever performed; and after having acted it all over England, and Wales, we came to Scotland to exhibit it over the remainder of Great Britain.	To say the truth this tragedy was not only the Best, but the only Play that we ever performed; and after having acted it all over England, and Wales, we came to Scotland to exhibit it over the remainder of Great Britain.	true	960.53	973.63	19.518246
5583_41259_000014_000014	We happened to be quartered in that very Town, where you came and met your Grandfather--.	We happened to be quartered in that very Town, where you came and met your Grandfather-.	true	974.45	978.85	14
5583_41259_000014_000015	We were in the Inn-yard when his Carriage entered and perceiving by the arms to whom it belonged, and knowing that Lord St Clair was our Grandfather, we agreed to endeavour to get something from him by discovering the Relationship--.	We were in the Inn yard when his Carriage entered and perceiving by the arms to whom it belonged, and knowing that Lord St Clair was our Grandfather, we agreed to endeavour to get something from him by discovering the Relationship-.	false	979.64	992.56	18.746698
5583_41259_000014_000016	You know how well it succeeded--.	You know how well it succeeded-.	true	993.23	995.2	21.773895
5583_41259_000014_000017	Having obtained the two Hundred Pounds, we instantly left the Town, leaving our Manager and his Wife to act MACBETH by themselves, and took the road to Sterling, where we spent our little fortune with great ECLAT.	Having obtained the two Hundred Pounds, we instantly left the Town, leaving our Manager and his Wife to act MACBETH by themselves, and took the road to Sterling, where we spent our little fortune with great ECLAT.	false	996.11	1009.23	19.9276
5583_41259_000014_000018	We are now returning to Edinburgh in order to get some preferment in the Acting way; and such my Dear Cousin is our History."	We are now returning to Edinburgh in order to get some preferment in the Acting way; and such my Dear Cousin is our History."	true	1009.23	1016.23	18.529066
5583_41259_000015_000000	I thanked the amiable Youth for his entertaining narration, and after expressing my wishes for their Welfare and Happiness, left them in their little Habitation and returned to my other Freinds who impatiently expected me.	I thanked the amiable Youth for his entertaining narration, and after expressing my wishes for their Welfare and Happiness, left them in their little Habitation and returned to my other Freinds who impatiently expected me.	true	1017.02	1029.4	19
5583_41259_000016_000000	My adventures are now drawing to a close my dearest Marianne; at least for the present.	My adventures are now drawing to a close my dearest Marianne; at least for the present.	true	1030.49	1035.61	18.690851
5583_41259_000017_000000	When we arrived at Edinburgh Sir Edward told me that as the Widow of his son, he desired I would accept from his Hands of four Hundred a year.	When we arrived at Edinburgh Sir Edward told me that as the Widow of his son, he desired I would accept from his Hands of four Hundred a year.	false	1036.28	1044.55	19.13378
5583_41259_000017_000001	I graciously promised that I would, but could not help observing that the unsimpathetic Baronet offered it more on account of my being the Widow of Edward than in being the refined and amiable Laura.	I graciously promised that I would, but could not help observing that the unsimpathetic Baronet offered it more on account of my being the Widow of Edward than in being the refined and amiable Laura.	true	1045.31	1056.88	20
5583_41259_000018_000000	I took up my Residence in a Romantic Village in the Highlands of Scotland where I have ever since continued, and where I can uninterrupted by unmeaning Visits, indulge in a melancholy solitude, my unceasing Lamentations for the Death of my Father, my Mother, my Husband and my Freind.	I took up my Residence in a Romantic Village in the Highlands of Scotland where I have ever since continued, and where I can uninterrupted by unmeaning Visits, indulge in a melancholy solitude, my unceasing lamentations for the Death of my Father, my Mother, my Husband and my Freind.	true	1057.76	1076.05	20.544518
5583_41259_000019_000000	Augusta has been for several years united to Graham the Man of all others most suited to her; she became acquainted with him during her stay in Scotland.	Augusta has been for several years united to Graham the Man of all others most suited to her; she became acquainted with him during her stay in Scotland.	true	1076.78	1086.16	19.997698
5583_41259_000020_000000	Sir Edward in hopes of gaining an Heir to his Title and Estate, at the same time married Lady Dorothea--.	Sir Edward in hopes of gaining an Heir to his Title and Estate, at the same time married Lady Dorothea-.	true	1086.98	1093.45	19
5583_41259_000020_000001	His wishes have been answered.	His wishes have been answered.	true	1093.82	1095.61	18.760782
5583_41259_000021_000000	Philander and Gustavus, after having raised their reputation by their Performances in the Theatrical Line at Edinburgh, removed to Covent Garden, where they still exhibit under the assumed names of LUVIS and QUICK.	Philander and Gustavus, after having raised their reputation by their Performances in the Theatrical Line at Edinburgh, removed to Covent Garden, where they still exhibit under the assumed names of l u v i s and QUICK.	false	1096.4	1109.11	19.80689
5583_41259_000022_000000	Philippa has long paid the Debt of Nature, Her Husband however still continues to drive the Stage-Coach from Edinburgh to Sterling:--Adeiu my Dearest Marianne.	Philippa has long paid the Debt of Nature, Her Husband however still continues to drive the Stage Coach from Edinburgh to Sterling:--Adeiu my Dearest Marianne.	true	1109.84	1120.96	20.217337
5583_41259_000022_000001	Laura.	Laura.	true	1121.69	1122.55	21.482174
5583_41259_000023_000000	Finis	Finis	true	1124	1124.71	24.497948
5583_41259_000024_000000	June 13th 1790.	june thirteenth seventeen ninety.	true	1125.26	1129.86	19.120497
5583_41259_000025_000000	*****	asterisk asterisk asterisk asterisk asterisk	false	1129.86	1131.54	20.190277
5583_41259_000026_000000	AN UNFINISHED NOVEL IN LETTERS	AN UNFINISHED NOVEL IN LETTERS	false	1131.54	1133.25	-20
5583_41259_000027_000000	To HENRY THOMAS AUSTEN Esqre.	To HENRY THOMAS AUSTEN e s q r e.	false	1133.25	1136.31	-20
