1535_141644_000000_000000	"We are glad to be free!" said these strange people.	"We are glad to be free!" said these strange people.	false	0	6.39	21.360777
1535_141644_000009_000001	They feared lest it was Double-Face come in a new guise to torture them. The rabbit understood their fear and said: "I am Manstin, the kind-hearted,--Manstin, the noted huntsman.	They feared lest it was Double Face come in a new guise to torture them. The rabbit understood their fear and said: "I am Manstin, the kind hearted,--Manstin, the noted huntsman.	false	195.71	211.72	19.04537
1535_141644_000009_000002	I am your friend.	I am your friend.	true	211.82	213.39	19.7046
1535_141644_000009_000003	Do not fear."	Do not fear."	true	213.39	214.69	24.657675
1535_141644_000010_000000	That night a strange thing happened.	That night a strange thing happened.	true	215.96	219.01	22.723742
1535_141644_000010_000001	While the father and mother slept, Manstin took the wee baby.	While the father and mother slept, Manstin took the wee baby.	true	219.26	224.83	19.672224
1535_141644_000010_000002	With his feet placed gently yet firmly upon the tiny toes of the little child, he drew upward by each small hand the sleeping child till he was a full-grown man.	With his feet placed gently yet firmly upon the tiny toes of the little child, he drew upward by each small hand the sleeping child till he was a full grown man.	true	225.71	241.24	21.51799
1535_141644_000010_000003	With a forefinger he traced a slit in the upper lip; and when on the morrow the man and woman awoke they could not distinguish their own son from Manstin, so much alike were the braves.	With a forefinger he traced a slit in the upper lip; and when on the morrow the man and woman awoke they could not distinguish their own son from Manstin, so much alike were the braves.	false	241.67	259.72	21.692957
1535_141644_000011_000000	"Henceforth we are friends, to help each other," said Manstin, shaking a right hand in farewell.	"Henceforth we are friends, to help each other," said Manstin, shaking a right hand in farewell.	true	260.99	269.26	21.83245
1535_141644_000011_000001	"The earth is our common ear, to carry from its uttermost extremes one's slightest wish for the other!"	"The earth is our common ear, to carry from its uttermost extremes one's slightest wish for the other!"	false	269.66	278.98	21.228977
1535_141644_000012_000000	"Ho! Be it so!" answered the newly made man.	"Ho! Be it so!" answered the newly made man.	true	280.07	284.29	21.127148
1535_141644_000013_000000	Upon leaving his friend, Manstin hurried away toward the North country whither he was bound for a long hunt.	Upon leaving his friend, Manstin hurried away toward the North country whither he was bound for a long hunt.	true	285.41	294.34	19.92117
1535_141644_000013_000001	Suddenly he came upon the edge of a wide brook.	Suddenly he came upon the edge of a wide brook.	true	295.07	299.56	19.64091
1535_141644_000013_000002	His alert eye caught sight of a rawhide rope staked to the water's brink, which led away toward a small round hut in the distance. The ground was trodden into a deep groove beneath the loosely drawn rawhide rope.	His alert eye caught sight of a rawhide rope staked to the water's brink, which led away toward a small round hut in the distance. The ground was trodden into a deep groove beneath the loosely drawn rawhide rope.	true	299.99	320.29	20.946043
1535_141644_000014_000000	"Hun-he!" exclaimed Manstin, bending over the freshly made footprints in the moist bank of the brook.	"Hun he!" exclaimed Manstin, bending over the freshly made footprints in the moist bank of the brook.	true	321.41	330.4	20.781141
1535_141644_000014_000001	"A man's footprints!" he said to himself. "A blind man lives in yonder hut!	"A man's footprints!" he said to himself. "A blind man lives in yonder hut!	true	330.74	337.93	18.442436
1535_141644_000014_000002	This rope is his guide by which he comes for his daily water!" surmised Manstin, who knew all the peculiar contrivances of the people.	This rope is his guide by which he comes for his daily water!" surmised Manstin, who knew all the peculiar contrivances of the people.	true	338.51	350.23	22.689808
1535_141644_000014_000003	At once his eyes became fixed upon the solitary dwelling and hither he followed his curiosity,--a real blind man's rope.	At once his eyes became fixed upon the solitary dwelling and hither he followed his curiosity,--a real blind man's rope.	true	350.72	363.52	20.638311
1535_141644_000015_000000	Quietly he lifted the door-flap and entered in.	Quietly he lifted the door flap and entered in.	true	364.4	368.74	23.429806
1535_141644_000015_000001	An old toothless grandfather, blind and shaky with age, sat upon the ground.	An old toothless grandfather, blind and shaky with age, sat upon the ground.	true	369.2	376.75	21.994501
1535_141644_000015_000002	He was not deaf however.	He was not deaf however.	true	377.33	379.63	25.29352
1535_141644_000015_000003	He heard the entrance and felt the presence of some stranger.	He heard the entrance and felt the presence of some stranger.	true	379.91	384.55	18.90071
1535_141644_000016_000000	"How, grandchild," he mumbled, for he was old enough to be grandparent to every living thing, "how!	"How, grandchild," he mumbled, for he was old enough to be grandparent to every living thing, "how!	true	385.67	395.04	22.021368
1535_141644_000016_000001	I cannot see you.	I cannot see you.	true	395.04	396.67	21.716774
1535_141644_000016_000002	Pray, speak your name!"	Pray, speak your name!"	true	396.68	398.92	23.723114
1535_141644_000017_000000	"Grandfather, I am Manstin," answered the rabbit, all the while looking with curious eyes about the wigwam.	"Grandfather, I am Manstin," answered the rabbit, all the while looking with curious eyes about the wigwam.	true	399.86	409.27	20.508928
1535_141644_000018_000000	"Grandfather, what is it so tightly packed in all these buckskin bags placed against the tent poles?" he asked.	"Grandfather, what is it so tightly packed in all these buckskin bags placed against the tent poles?" he asked.	true	410.48	419.95	24.477036
1535_141644_000019_000000	"My grandchild, those are dried buffalo meat and venison.	"My grandchild, those are dried buffalo meat and venison.	false	420.92	425.74	21.344727
1535_141644_000019_000001	These are magic bags which never grow empty.	These are magic bags which never grow empty.	true	426.23	429.85	23.336758
1535_141644_000019_000002	I am blind and cannot go on a hunt. Hence a kind Maker has given me these magic bags of choicest foods."	I am blind and cannot go on a hunt. Hence a kind Maker has given me these magic bags of choicest foods."	false	430.22	440.11	20.22115
1535_141644_000020_000000	Then the old, bent man pulled at a rope which lay by his right hand. "This leads me to the brook where I drink! and this," said he, turning to the one on his left, "and this takes me into the forest, where I feel about for dry sticks for my fire."	Then the old, bent man pulled at a rope which lay by his right hand. "This leads me to the brook where I drink! and this," said he, turning to the one on his left, "and this takes me into the forest, where I feel about for dry sticks for my fire."	false	441.5	465.64	21.11742
1535_141644_000021_000000	"Grandfather, I wish I lived in such sure luxury!	"Grandfather, I wish I lived in such sure luxury!	true	466.49	471.34	20.03321
1535_141644_000021_000001	I would lean back against a tent pole, and with crossed feet I would smoke sweet willow bark the rest of my days," sighed Manstin.	I would lean back against a tent pole, and with crossed feet I would smoke sweet willow bark the rest of my days," sighed Manstin.	false	471.53	482.35	19.629536
1535_141644_000022_000000	"My grandchild, your eyes are your luxury! you would be unhappy without them!" the old man replied.	"My grandchild, your eyes are your luxury! you would be unhappy without them!" the old man replied.	true	484.04	493.75	20.019737
1535_141644_000023_000000	"Grandfather, I would give you my two eyes for your place!" cried Manstin.	"Grandfather, I would give you my two eyes for your place!" cried Manstin.	true	494.6	500.74	21.860565
1535_141644_000024_000000	"How! you have said it.	"How! you have said it.	true	502.22	504.43	23.209885
1535_141644_000024_000001	Arise.	Arise.	true	504.47	505.54	22.47946
1535_141644_000024_000002	Take out your eyes and give them to me. Henceforth you are at home here in my stead."	Take out your eyes and give them to me. Henceforth you are at home here in my stead."	false	505.82	512.92	20.28441
1535_141644_000025_000000	At once Manstin took out both his eyes and the old man put them on! Rejoicing, the old grandfather started away with his young eyes while the blind rabbit filled his dream pipe, leaning lazily against the tent pole.	At once Manstin took out both his eyes and the old man put them on! Rejoicing, the old grandfather started away with his young eyes while the blind rabbit filled his dream pipe, leaning lazily against the tent pole.	true	514.1	533.8	19.746565
1535_141644_000025_000001	For a short time it was a most pleasant pastime to smoke willow bark and to eat from the magic bags.	For a short time it was a most pleasant pastime to smoke willow bark and to eat from the magic bags.	true	534.29	543.7	22.230064
1535_141644_000026_000000	Manstin grew thirsty, but there was no water in the small dwelling. Taking one of the rawhide ropes he started toward the brook to quench his thirst.	Manstin grew thirsty, but there was no water in the small dwelling. Taking one of the rawhide ropes he started toward the brook to quench his thirst.	true	544.73	556.39	20.751308
1535_141644_000026_000001	He was young and unwilling to trudge slowly in the old man's footpath.	He was young and unwilling to trudge slowly in the old man's footpath.	true	556.79	562.84	20.146591
1535_141644_000026_000002	He was full of glee, for it had been many long moons since he had tasted such good food.	He was full of glee, for it had been many long moons since he had tasted such good food.	true	563.12	571.36	20.11514
1535_141644_000026_000003	Thus he skipped confidently along jerking the old weather-eaten rawhide spasmodically till all of a sudden it gave way and Manstin fell headlong into the water.	Thus he skipped confidently along jerking the old weather eaten rawhide spasmodically till all of a sudden it gave way and Manstin fell headlong into the water.	true	572.18	587.01	20.864489
1535_141644_000027_000000	"En! En!" he grunted kicking frantically amid stream.	"En! En!" he grunted kicking frantically amid stream.	false	587.01	593.89	20.527433
1535_141644_000027_000001	All along the slippery bank he vainly tried to climb, till at last he chanced upon the old stake and the deeply worn footpath.	All along the slippery bank he vainly tried to climb, till at last he chanced upon the old stake and the deeply worn footpath.	true	594.29	605.59	21.967213
1535_141644_000027_000002	Exhausted and inwardly disgusted with his mishaps, he crawled more cautiously on all fours to his wigwam door.	Exhausted and inwardly disgusted with his mishaps, he crawled more cautiously on all fours to his wigwam door.	true	606.14	617.11	20.248772
1535_141644_000027_000003	Dripping with his recent plunge he sat with chattering teeth within his unfired wigwam.	Dripping with his recent plunge he sat with chattering teeth within his unfired wigwam.	true	617.75	626.08	22.984257
1535_141644_000028_000000	The sun had set and the night air was chilly, but there was no fire-wood in the dwelling.	The sun had set and the night air was chilly, but there was no fire wood in the dwelling.	true	627.29	634	19.31405
1535_141644_000028_000001	"Hin!" murmured Manstin and bravely tried the other rope.	"Hin!" murmured Manstin and bravely tried the other rope.	true	634.28	639.46	18.586277
1535_141644_000028_000002	"I go for some fire-wood!" he said, following the rawhide rope which led into the forest.	"I go for some fire wood!" he said, following the rawhide rope which led into the forest.	true	639.53	647.83	20.603848
1535_141644_000028_000003	Soon he stumbled upon thickly strewn dry willow sticks.	Soon he stumbled upon thickly strewn dry willow sticks.	true	648.29	653.41	24.69075
1535_141644_000028_000004	Eagerly with both hands he gathered the wood into his outspread blanket.	Eagerly with both hands he gathered the wood into his outspread blanket.	true	653.78	660.37	21.52519
1535_141644_000028_000005	Manstin was naturally an energetic fellow.	Manstin was naturally an energetic fellow.	true	660.71	664.84	23.950184
1535_141644_000029_000000	When he had a large heap, he tied two opposite ends of blanket together and lifted the bundle of wood upon his back, but alas! he had unconsciously dropped the end of the rope and now he was lost in the wood!	When he had a large heap, he tied two opposite ends of blanket together and lifted the bundle of wood upon his back, but alas! he had unconsciously dropped the end of the rope and now he was lost in the wood!	false	665.93	684.82	20.587603
1535_141644_000030_000000	"Hin! hin!" he groaned.	"Hin! hin!" he groaned.	true	685.94	688.24	18.40499
1535_141644_000030_000001	Then pausing a moment, he set his fan-like ears to catch any sound of approaching footsteps.	Then pausing a moment, he set his fan like ears to catch any sound of approaching footsteps.	false	688.55	696.76	24.160492
1535_141644_000030_000002	There was none.	There was none.	true	697.25	698.56	18.01169
1535_141644_000030_000003	Not even a night bird twittered to help him out of his predicament.	Not even a night bird twittered to help him out of his predicament.	true	699.26	703.9	21.175116
1535_141644_000031_000000	With a bold face, he made a start at random.	With a bold face, he made a start at random.	true	704.9	709.24	22.129957
1535_141644_000032_000000	He fell into some tangled wood where he was held fast.	He fell into some tangled wood where he was held fast.	true	710.39	715.48	19.697445
1535_141644_000032_000001	Manstin let go his bundle and began to lament having given away his two eyes.	Manstin let go his bundle and began to lament having given away his two eyes.	true	715.91	722.92	21.798775
1535_141644_000033_000000	"Friend, my friend, I have need of you!	"Friend, my friend, I have need of you!	true	724.16	728.17	18.796118
1535_141644_000033_000001	The old oak tree grandfather has gone off with my eyes and I am lost in the woods!" he cried with his lips close to the earth.	The old oak tree grandfather has gone off with my eyes and I am lost in the woods!" he cried with his lips close to the earth.	true	728.84	741.19	20.50701
1535_141644_000034_000000	Scarcely had he spoken when the sound of voices was audible on the outer edge of the forest.	Scarcely had he spoken when the sound of voices was audible on the outer edge of the forest.	true	742.31	750.64	20.459904
1535_141644_000034_000001	Nearer and louder grew the voices--one was the clear flute tones of a young brave and the other the tremulous squeaks of an old grandfather.	Nearer and louder grew the voices-one was the clear flute tones of a young brave and the other the tremulous squeaks of an old grandfather.	true	751.07	764.47	20.552427
1535_141644_000035_000000	It was Manstin's friend with the Earth Ear and the old grandfather. "Here Manstin, take back your eyes," said the old man, "I knew you would not be content in my stead, but I wanted you to learn your lesson.	It was Manstin's friend with the Earth Ear and the old grandfather. "Here Manstin, take back your eyes," said the old man, "I knew you would not be content in my stead, but I wanted you to learn your lesson.	true	765.77	783.94	20.27028
1535_141644_000035_000001	I have had pleasure seeing with your eyes and trying your bow and arrows, but since I am old and feeble I much prefer my own teepee and my magic bags!"	I have had pleasure seeing with your eyes and trying your bow and arrows, but since I am old and feeble I much prefer my own teepee and my magic bags!"	true	784.34	798.76	21.29339
1535_141644_000036_000000	Thus talking the three returned to the hut.	Thus talking the three returned to the hut.	false	800	803.32	23.140984
1535_141644_000036_000001	The old grandfather crept into his wigwam, which is often mistaken for a mere oak tree by little Indian girls and boys.	The old grandfather crept into his wigwam, which is often mistaken for a mere oak tree by little Indian girls and boys.	true	803.81	814.9	21.181444
1535_141644_000037_000000	Manstin, with his own bright eyes fitted into his head again, went on happily to hunt in the North country.	Manstin, with his own bright eyes fitted into his head again, went on happily to hunt in the North country.	false	815.09	837.72	21.969683
