1535_141644_000003_000003	I am going to the North country on a long hunt."	I am going to the North country on a long hunt."
1535_141644_000026_000003	Thus he skipped confidently along jerking the old weather-eaten rawhide spasmodically till all of a sudden it gave way and Manstin fell headlong into the water.	Thus he skipped confidently along jerking the old weather eaten rawhide spasmodically till all of a sudden it gave way and Manstin fell headlong into the water.
1535_141644_000027_000001	All along the slippery bank he vainly tried to climb, till at last he chanced upon the old stake and the deeply worn footpath.	All along the slippery bank he vainly tried to climb, till at last he chanced upon the old stake and the deeply worn footpath.
1535_141644_000027_000002	Exhausted and inwardly disgusted with his mishaps, he crawled more cautiously on all fours to his wigwam door.	Exhausted and inwardly disgusted with his mishaps, he crawled more cautiously on all fours to his wigwam door.
1535_141644_000027_000003	Dripping with his recent plunge he sat with chattering teeth within his unfired wigwam.	Dripping with his recent plunge he sat with chattering teeth within his unfired wigwam.
1535_141644_000028_000002	"I go for some fire-wood!" he said, following the rawhide rope which led into the forest.	"I go for some fire wood!" he said, following the rawhide rope which led into the forest.
1535_141644_000028_000003	Soon he stumbled upon thickly strewn dry willow sticks.	Soon he stumbled upon thickly strewn dry willow sticks.
1535_141644_000028_000004	Eagerly with both hands he gathered the wood into his outspread blanket.	Eagerly with both hands he gathered the wood into his outspread blanket.
1535_141644_000028_000005	Manstin was naturally an energetic fellow.	Manstin was naturally an energetic fellow.
1535_141644_000030_000003	Not even a night bird twittered to help him out of his predicament.	Not even a night bird twittered to help him out of his predicament.
1535_141644_000031_000000	With a bold face, he made a start at random.	With a bold face, he made a start at random.
1535_141644_000032_000001	Manstin let go his bundle and began to lament having given away his two eyes.	Manstin let go his bundle and began to lament having given away his two eyes.
1535_141644_000033_000001	The old oak tree grandfather has gone off with my eyes and I am lost in the woods!" he cried with his lips close to the earth.	The old oak tree grandfather has gone off with my eyes and I am lost in the woods!" he cried with his lips close to the earth.
1535_141644_000034_000000	Scarcely had he spoken when the sound of voices was audible on the outer edge of the forest.	Scarcely had he spoken when the sound of voices was audible on the outer edge of the forest.
1535_141644_000034_000001	Nearer and louder grew the voices--one was the clear flute tones of a young brave and the other the tremulous squeaks of an old grandfather.	Nearer and louder grew the voices-one was the clear flute tones of a young brave and the other the tremulous squeaks of an old grandfather.
1535_141644_000035_000000	It was Manstin's friend with the Earth Ear and the old grandfather. "Here Manstin, take back your eyes," said the old man, "I knew you would not be content in my stead, but I wanted you to learn your lesson.	It was Manstin's friend with the Earth Ear and the old grandfather. "Here Manstin, take back your eyes," said the old man, "I knew you would not be content in my stead, but I wanted you to learn your lesson.
1535_141644_000035_000001	I have had pleasure seeing with your eyes and trying your bow and arrows, but since I am old and feeble I much prefer my own teepee and my magic bags!"	I have had pleasure seeing with your eyes and trying your bow and arrows, but since I am old and feeble I much prefer my own teepee and my magic bags!"
1535_141644_000036_000001	The old grandfather crept into his wigwam, which is often mistaken for a mere oak tree by little Indian girls and boys.	The old grandfather crept into his wigwam, which is often mistaken for a mere oak tree by little Indian girls and boys.
