3889_9915_000000_000000	The little fellow will grow up.	The little fellow will grow up.	false	0	0.72	4
3889_9915_000017_000007	A child was encountered in the streets; provided that he was fifteen years of age and did not know where he was to sleep, he was sent to the galleys.	A child was encountered in the streets; provided that he was fifteen years of age and did not know where he was to sleep, he was sent to the galleys.	true	627.74	636.46	20.893911
3889_9915_000017_000008	Grand reign; grand century.	Grand reign; grand century.	true	637.01	639.55	19.206156
3889_9915_000018_000000	Under Louis XV. children disappeared in Paris; the police carried them off, for what mysterious purpose no one knew.	Under Louis the fifteenth. children disappeared in Paris; the police carried them off, for what mysterious purpose no one knew.	true	641.09	648.94	22.694223
3889_9915_000018_000001	People whispered with terror monstrous conjectures as to the king's baths of purple.	People whispered with terror monstrous conjectures as to the king's baths of purple.	true	649.28	654.06	21
3889_9915_000018_000002	Barbier speaks ingenuously of these things.	Barbier speaks ingenuously of these things.	false	654.06	657.58	18.403542
3889_9915_000018_000003	It sometimes happened that the exempts of the guard, when they ran short of children, took those who had fathers.	It sometimes happened that the exempts of the guard, when they ran short of children, took those who had fathers.	true	658.07	664.6	21.701265
3889_9915_000018_000004	The fathers, in despair, attacked the exempts.	The fathers, in despair, attacked the exempts.	true	664.85	667.33	24.423195
3889_9915_000018_000005	In that case, the parliament intervened and had some one hung.	In that case, the parliament intervened and had some one hung.	true	667.7	670.9	22.255966
3889_9915_000018_000006	Who?	Who?	true	671.03	671.745	25.533863
3889_9915_000018_000007	The exempts? No, the fathers.	The exempts? No, the fathers.	false	671.745	686.76	19.495459
