5239_31629_000002_000001	His escape from death had in it something of the marvellous.	His escape from death had in it something of the marvellous.
5239_31629_000018_000002	As we went forward we met one or two of the sailors from the forecastle, who wanted to know about the dust that was falling on the ship.	As we went forward we met one or two of the sailors from the forecastle, who wanted to know about the dust that was falling on the ship.
5239_31629_000018_000003	Then we found that the grayish-looking ash was sifting all over the ship, both forward and aft.	Then we found that the grayish looking ash was sifting all over the ship, both forward and aft.
5239_31629_000020_000001	A few moments later, the lookout called down that we were running into a fog-bank dead ahead.	A few moments later, the lookout called down that we were running into a fog bank dead ahead.
5239_31629_000021_000000	"Before we knew it, we went into the fog, which proved to be a big dense bank of this same sand, and it rained down on us from every side. Ventilators were quickly brought to their places, and later even the hatches were battened down.	"Before we knew it, we went into the fog, which proved to be a big dense bank of this same sand, and it rained down on us from every side. Ventilators were quickly brought to their places, and later even the hatches were battened down.
5239_31629_000021_000002	What the stuff was we could not at first conjecture, or rather, we didn't have much time to speculate on it, for we had to get our ship in shape to withstand we hardly knew what.	What the stuff was we could not at first conjecture, or rather, we didn't have much time to speculate on it, for we had to get our ship in shape to withstand we hardly knew what.
5239_31629_000024_000000	THE ENGINE BECAME CHOKED	THE ENGINE BECAME CHOKED
5239_31629_000025_000000	"Then there was another anxious moment shortly after nine o'clock.	"Then there was another anxious moment shortly after nine o'clock.
5239_31629_000026_000001	We made some experiments, and found the stuff was superior to emery dust.	We made some experiments, and found the stuff was superior to emery dust.
5239_31629_000026_000002	It cut deeper and quicker, and only about half as much was required to do the work.	It cut deeper and quicker, and only about half as much was required to do the work.
5239_31629_000030_000000	MATE SCOTT'S GRAPHIC STORY	MATE SCOTT'S GRAPHIC STORY
5239_31629_000032_000002	I wasn't looking at the mountain at all.	I wasn't looking at the mountain at all.
5239_31629_000033_000000	"Did you ever see the tide come into the Bay of Fundy.	"Did you ever see the tide come into the Bay of Fundy.
5239_31629_000033_000004	He was facing the fire cloud with both hands gripped hard to the bridge rail, his legs apart and his knees braced back stiff.	He was facing the fire cloud with both hands gripped hard to the bridge rail, his legs apart and his knees braced back stiff.
5239_31629_000035_000000	"In another instant it was all over for him.	"In another instant it was all over for him.
5239_31629_000035_000002	He reeled and fell on the bridge with his face toward me.	He reeled and fell on the bridge with his face toward me.
5239_31629_000036_000000	"That all happened a long way inside of half a minute; then something new happened.	"That all happened a long way inside of half a minute; then something new happened.
5239_31629_000036_000001	When the wave of fire was going over us, a tidal wave of the sea came out from the shore and did the rest.	When the wave of fire was going over us, a tidal wave of the sea came out from the shore and did the rest.
5239_31629_000036_000003	For an instant we could see nothing but the water and the flame.	For an instant we could see nothing but the water and the flame.
5239_31629_000037_000000	"That tidal wave picked the ship up like a canoe and then smashed her. After one list to starboard the ship righted, but the masts, the bridge, the funnel and all the upper works had gone overboard.	"That tidal wave picked the ship up like a canoe and then smashed her. After one list to starboard the ship righted, but the masts, the bridge, the funnel and all the upper works had gone overboard.
5239_31629_000038_000002	Before I could get up three men tumbled in on top of me.	Before I could get up three men tumbled in on top of me.
5239_31629_000039_000000	"Captain Muggah went overboard, still clinging to the fragments of his wrecked bridge.	"Captain Muggah went overboard, still clinging to the fragments of his wrecked bridge.
5239_31629_000039_000001	Daniel Taylor, the ship's cooper, and a Kitts native jumped overboard to save him.	Daniel Taylor, the ship's cooper, and a Kitts native jumped overboard to save him.
5239_31629_000039_000002	Taylor managed to push the captain on to a hatch that had floated off from us and then they swam back to the ship for more assistance, but nothing could be done for the captain.	Taylor managed to push the captain on to a hatch that had floated off from us and then they swam back to the ship for more assistance, but nothing could be done for the captain.
5239_31629_000039_000003	Taylor wasn't sure he was alive.	Taylor wasn't sure he was alive.
5239_31629_000039_000004	The last we saw of him or his dead body it was drifting shoreward on that hatch.	The last we saw of him or his dead body it was drifting shoreward on that hatch.
5239_31629_000040_000001	There were just four of us left aboard who could do anything. The four were Thompson, Dan Taylor, Quashee, and myself.	There were just four of us left aboard who could do anything. The four were Thompson, Dan Taylor, Quashee, and myself.
5239_31629_000040_000002	It was still raining fire and hot rocks and you could hardly see a ship's length for dust and ashes, but we could stand that.	It was still raining fire and hot rocks and you could hardly see a ship's length for dust and ashes, but we could stand that.
5239_31629_000040_000004	Not just burned, but burning, then, when we got to them.	Not just burned, but burning, then, when we got to them.
5239_31629_000040_000005	More than half the ship's company had been killed in that first rush of flame.	More than half the ship's company had been killed in that first rush of flame.
5239_31629_000040_000007	The cook was burned to death in his galley.	The cook was burned to death in his galley.
5239_31629_000040_000011	The donkey engineman was killed on deck sitting in front of his boiler.	The donkey engineman was killed on deck sitting in front of his boiler.
5239_31629_000040_000012	We found parts of some bodies--a hand, or an arm or a leg.	We found parts of some bodies-a hand, or an arm or a leg.
5239_31629_000040_000013	Below decks there were some twenty alive.	Below decks there were some twenty alive.
5239_31629_000041_000000	"The ship was on fire, of course, what was left of it.	"The ship was on fire, of course, what was left of it.
5239_31629_000041_000001	The stumps of both masts were blazing.	The stumps of both masts were blazing.
5239_31629_000041_000002	Aft she was like a furnace, but forward the flames had not got below deck, so we four carried those who were still alive on deck into the fo'c's'l.	Aft she was like a furnace, but forward the flames had not got below deck, so we four carried those who were still alive on deck into the fo'c's'l.
5239_31629_000042_000001	His hair and all his clothing had been burned off, but he was alive.	His hair and all his clothing had been burned off, but he was alive.
5239_31629_000042_000002	We rolled him in a blanket and put him in a sailor's bunk.	We rolled him in a blanket and put him in a sailor's bunk.
5239_31629_000042_000003	A few minutes later we looked at him and he was dead.	A few minutes later we looked at him and he was dead.
5239_31629_000043_000000	"My own son's gone, too.	"My own son's gone, too.
5239_31629_000043_000002	But he wasn't.	But he wasn't.
5239_31629_000043_000003	Nobody could tell me where he was.	Nobody could tell me where he was.
5239_31629_000043_000005	He was a likely boy.	He was a likely boy.
5239_31629_000044_000002	Our boats had gone overboard with the masts and funnel.	Our boats had gone overboard with the masts and funnel.
5239_31629_000045_000000	PREPARED TO TRUST TO LUCK	PREPARED TO TRUST TO LUCK
5239_31629_000046_000000	"We made that raft for something over thirty that were alive.	"We made that raft for something over thirty that were alive.
5239_31629_000046_000001	We put provisions on for two days and rigged up a make-shift mast and sail, for we intended to go to sea.	We put provisions on for two days and rigged up a make shift mast and sail, for we intended to go to sea.
5239_31629_000046_000004	But we did not have to risk the raft, for about 3 o'clock in the afternoon, when we were almost ready to put the raft overboard, the Suchet came along and took us all off.	But we did not have to risk the raft, for about three o'clock in the afternoon, when we were almost ready to put the raft overboard, the Suchet came along and took us all off.
5239_31629_000046_000005	We thought for a minute just after we were wrecked that we were to get help from a ship that passed us.	We thought for a minute just after we were wrecked that we were to get help from a ship that passed us.
5239_31629_000046_000006	We burned blue lights, but she kept on.	We burned blue lights, but she kept on.
5239_31629_000046_000007	We learned afterward that she was the Roddam."	We learned afterward that she was the Roddam."
5239_31629_000047_000001	While deep crevices had been formed on the land, a still greater effect had seemingly been produced beneath the water.	While deep crevices had been formed on the land, a still greater effect had seemingly been produced beneath the water.
5239_31629_000047_000004	The French Cable Company, which was at work trying to repair the cables broken by the eruption, found the bottom of the Caribbean Sea so changed as to render the old charts useless.	The French Cable Company, which was at work trying to repair the cables broken by the eruption, found the bottom of the Caribbean Sea so changed as to render the old charts useless.
5239_31629_000048_000001	The changes in sea levels were not confined to the immediate centre of volcanic activity, but extended as far north as Porto Rico, and it was believed that the seismic wave would be found to have altered the ocean bed round Jamaica.	The changes in sea levels were not confined to the immediate centre of volcanic activity, but extended as far north as Porto Rico, and it was believed that the seismic wave would be found to have altered the ocean bed round Jamaica.
5239_31629_000049_000001	Soundings showed seven fathoms where before the eruption there were thirty-six fathoms of water.	Soundings showed seven fathoms where before the eruption there were thirty six fathoms of water.
5239_31629_000050_000001	The following is the story told by Captain Eric Lillien-skjold:	The following is the story told by Captain Eric Lillien skjold:
5239_31629_000051_000000	THE STRANGE EXPERIENCE OF THE "NORDBY"	THE STRANGE EXPERIENCE OF THE "NORDBY"
5239_31629_000052_000002	Nothing worth while talking about occurred until two days afterward--Wednesday, May 7th.	Nothing worth while talking about occurred until two days afterward-wednesday may seventh.
5239_31629_000053_000001	About noon I took the bridge to make an observation.	About noon I took the bridge to make an observation.
5239_31629_000053_000003	I shed my coat and vest and got into what little shade there was.	I shed my coat and vest and got into what little shade there was.
5239_31629_000053_000004	As I worked it grew hotter and hotter.	As I worked it grew hotter and hotter.
5239_31629_000053_000005	I didn't know what to make of it.	I didn't know what to make of it.
5239_31629_000053_000006	Along about 2 o'clock in the afternoon it was so hot that all hands got to talking about it.	Along about two o'clock in the afternoon it was so hot that all hands got to talking about it.
5239_31629_000053_000007	We reckoned that something queer was coming off, but none of us could explain what it was.	We reckoned that something queer was coming off, but none of us could explain what it was.
5239_31629_000053_000008	You could almost see the pitch softening in the seams.	You could almost see the pitch softening in the seams.
5239_31629_000054_000000	"Then, as quick as you could toss a biscuit over its rail, the Nordby dropped--regularly dropped--three or four feet down into the sea.	"Then, as quick as you could toss a biscuit over its rail, the Nordby dropped-regularly dropped-three or four feet down into the sea.
5239_31629_000055_000005	We sort of ducked, expecting an awful crash of thunder, but it didn't come.	We sort of ducked, expecting an awful crash of thunder, but it didn't come.
5239_31629_000055_000007	There wasn't a breath of wind.	There wasn't a breath of wind.
5239_31629_000057_000000	"Something else we could see, too.	"Something else we could see, too.
5239_31629_000057_000001	Sharks!	Sharks!
5239_31629_000057_000003	Some of them jumped clear out of it.	Some of them jumped clear out of it.
5239_31629_000057_000004	And sea birds!	And sea birds!
5239_31629_000057_000005	A flock of them, squawking and crying, made for our rigging and perched there.	A flock of them, squawking and crying, made for our rigging and perched there.
5239_31629_000057_000006	They seemed like they were scared to death.	They seemed like they were scared to death.
5239_31629_000058_000003	Even the officers began to think that the world was coming to an end.	Even the officers began to think that the world was coming to an end.
5239_31629_000058_000004	Mighty strange things happen on the sea, but this topped them all.	Mighty strange things happen on the sea, but this topped them all.
5239_31629_000059_000000	"I kept to the bridge all night.	"I kept to the bridge all night.
5239_31629_000059_000002	We were all pretty much tired out by that time, but there was no such thing as trying to sleep.	We were all pretty much tired out by that time, but there was no such thing as trying to sleep.
5239_31629_000059_000004	At 2 o'clock in the morning all the queer goings on stopped just the way they began--all of a sudden.	At two o'clock in the morning all the queer goings on stopped just the way they began-all of a sudden.
5239_31629_000059_000005	We lay to until daylight; then we took our reckonings and started off again.	We lay to until daylight; then we took our reckonings and started off again.
5239_31629_000059_000006	We were about 700 miles off Cape Henlopen.	We were about seven hundred miles off Cape Henlopen.
5239_31629_000061_000000	FIERY STREAM CONTAINED POISONOUS GASES	FIERY STREAM CONTAINED POISONOUS GASES
5239_31629_000063_000000	It is believed that Mont Pelee threw off a great gasp of some exceedingly heavy and noxious gas, something akin to firedamp, which settled upon the city and rendered the inhabitants insensible.	It is believed that Mont Pelee threw off a great gasp of some exceedingly heavy and noxious gas, something akin to firedamp, which settled upon the city and rendered the inhabitants insensible.
5239_31629_000064_000001	Cattle lowed in the night.	Cattle lowed in the night.
5239_31629_000064_000002	Dogs howled and sought the company of their masters, and when driven forth they gave every evidence of fear.	Dogs howled and sought the company of their masters, and when driven forth they gave every evidence of fear.
5239_31629_000065_000001	Even the snakes, which at ordinary times are found in great numbers near the volcano, crawled away.	Even the snakes, which at ordinary times are found in great numbers near the volcano, crawled away.
5239_31629_000066_000002	Morne Rouge, a beautiful summer resort, frequented by the people of the island during the hot season as a place of recreation, also escaped.	Morne Rouge, a beautiful summer resort, frequented by the people of the island during the hot season as a place of recreation, also escaped.
