5740_97593_000003_000000	Jimmy Scarecrow led a sad life in the winter.	Jimmy Scarecrow led a sad life in the winter.
5740_97593_000056_000000	Whichever crow shall hereafter hop, fly, or flop into this field during the absence of Jimmy Scarecrow, and therefrom purloin, steal, or abstract corn, shall be instantly, in a twinkling and a trice, turned snow-white, and be ever after a disgrace, a byword and a reproach to his whole race.	Whichever crow shall hereafter hop, fly, or flop into this field during the absence of Jimmy Scarecrow, and therefrom purloin, steal, or abstract corn, shall be instantly, in a twinkling and a trice, turned snow white, and be ever after a disgrace, a byword and a reproach to his whole race.
5740_97593_000057_000000	Per order of Santa Claus.	Per order of Santa Claus.
5740_97593_000058_000000	"The corn will be safe now," said Santa Claus, "get in." Jimmy got into the sledge and they flew away over the fields, out of sight, with merry halloos and a great clamour of bells.	"The corn will be safe now," said Santa Claus, "get in." Jimmy got into the sledge and they flew away over the fields, out of sight, with merry halloos and a great clamour of bells.
5740_97593_000059_000001	Betsey had told Aunt Hannah she had given away the crazy quilt and the doll-baby, but had been scolded very little.	Betsey had told Aunt Hannah she had given away the crazy quilt and the doll baby, but had been scolded very little.
5740_97593_000061_000000	That was all Aunt Hannah had said.	That was all Aunt Hannah had said.
5740_97593_000062_000001	John, the servant-man, searched everywhere, but not a trace of them could he find.	john, the servant man, searched everywhere, but not a trace of them could he find.
5740_97593_000064_000000	But the next summer there was no need of a scarecrow, for not a crow came past the fence-post on which Santa Claus had written his notice to crows.	But the next summer there was no need of a scarecrow, for not a crow came past the fence post on which Santa Claus had written his notice to crows.
5740_97593_000066_000001	Then she and Betsey had each a strange present.	Then she and Betsey had each a strange present.
5740_97593_000067_000000	"Why, it's my old crazy quilt, but it isn't crazy now!" cried Aunt Hannah, and her very spectacles seemed to glisten with amazement.	"Why, it's my old crazy quilt, but it isn't crazy now!" cried Aunt Hannah, and her very spectacles seemed to glisten with amazement.
5740_97593_000068_000002	"It's my doll-baby!" she cried, and snatched her up and kissed her.	"It's my doll baby!" she cried, and snatched her up and kissed her.
