6788_92420_000004_000001	We see it with pleasure, because, in its way, it is genuine.	We see it with pleasure, because, in its way, it is genuine.
6788_92420_000012_000003	That such things are, private observation has made us sure; but the writers of books rarely seem to have seen them; rarely to have walked alone in an untrodden path long enough to hold commune with the spirit of the scene.	That such things are, private observation has made us sure; but the writers of books rarely seem to have seen them; rarely to have walked alone in an untrodden path long enough to hold commune with the spirit of the scene.
6788_92420_000013_000000	In this book you find the very life; the most vulgar prose, and the most exquisite poetry.	In this book you find the very life; the most vulgar prose, and the most exquisite poetry.
6788_92420_000014_000000	But when we come to the girl who is the presiding deity, or rather the tutelary angel of the scene, how are all discords harmonized; how all its latent music poured forth!	But when we come to the girl who is the presiding deity, or rather the tutelary angel of the scene, how are all discords harmonized; how all its latent music poured forth!
6788_92420_000014_000001	It is a portrait from the life--it has the mystic charm of fulfilled reality, how far beyond the fairest ideals ever born of thought!	It is a portrait from the life-it has the mystic charm of fulfilled reality, how far beyond the fairest ideals ever born of thought!
6788_92420_000014_000003	She plays round the most vulgar and rude beings, gentle and caressing, yet unsullied; in her wildness there is nothing cold or savage; her elevation is soft and warm.	She plays round the most vulgar and rude beings, gentle and caressing, yet unsullied; in her wildness there is nothing cold or savage; her elevation is soft and warm.
6788_92420_000015_000000	The lonely life of the girl after the death of her parents,--her fearlessness, her gay and sweet enjoyment of nature, her intercourse with the old people of the neighborhood, her sisterly conduct towards her "suitors,"--all seem painted from the life; but the death-bed scene seems borrowed from some sermon, and is not in harmony with the rest.	The lonely life of the girl after the death of her parents,--her fearlessness, her gay and sweet enjoyment of nature, her intercourse with the old people of the neighborhood, her sisterly conduct towards her "suitors,"--all seem painted from the life; but the death bed scene seems borrowed from some sermon, and is not in harmony with the rest.
6788_92420_000016_000001	At the time of that notice we had only looked into it here and there, and did no justice to a work full of genius, profound in its meaning, and of admirable fidelity to nature in its details.	At the time of that notice we had only looked into it here and there, and did no justice to a work full of genius, profound in its meaning, and of admirable fidelity to nature in its details.
6788_92420_000018_000000	A young girl could not sufficiently express her delight at the simple nature with which scenes of childhood are given, and especially at Margaret's first going to meeting.	A young girl could not sufficiently express her delight at the simple nature with which scenes of childhood are given, and especially at Margaret's first going to meeting.
6788_92420_000019_000001	Christi.	Christi.
6788_92420_000021_000002	The ease with which she assimilates the city life when in it, making it a part of her imaginative tapestry, is a sign of the power to which she has grown.	The ease with which she assimilates the city life when in it, making it a part of her imaginative tapestry, is a sign of the power to which she has grown.
6788_92420_000022_000000	We have much more to think and to say of the book, as a whole, and in parts; and should the mood and summer leisure ever permit a familiar and intimate acquaintance with it, we trust they will be both thought and said.	We have much more to think and to say of the book, as a whole, and in parts; and should the mood and summer leisure ever permit a familiar and intimate acquaintance with it, we trust they will be both thought and said.
