7434_75939_000000_000001	Monsieur is Jealous of Guiche.	Monsieur is Jealous of Guiche.
7434_75939_000056_000000	"Rely upon it, that is quite sufficient; it was, perhaps, even a little too much.	"Rely upon it, that is quite sufficient; it was, perhaps, even a little too much.
7434_75939_000056_000001	These young women easily take offense.	These young women easily take offense.
7434_75939_000057_000000	"Very good, very good; but wait a minute.	"Very good, very good; but wait a minute.
7434_75939_000057_000001	Do not forget what you have just this moment said, that this morning's lesson ought to have been sufficient, and that if they had been doing what was wrong, they would have hidden themselves."	Do not forget what you have just this moment said, that this morning's lesson ought to have been sufficient, and that if they had been doing what was wrong, they would have hidden themselves."
7434_75939_000059_000000	"Well, just now, repenting of my hastiness of the morning, and imagining that Guiche was sulking in his own apartments, I went to pay Madame a visit.	"Well, just now, repenting of my hastiness of the morning, and imagining that Guiche was sulking in his own apartments, I went to pay Madame a visit.
7434_75939_000059_000001	Can you guess what, or whom, I found there?	Can you guess what, or whom, I found there?
7434_75939_000059_000002	Another set of musicians; more dancing, and Guiche himself--he was concealed there."	Another set of musicians; more dancing, and Guiche himself-he was concealed there."
7434_75939_000060_000000	Anne of Austria frowned.	Anne of Austria frowned.
7434_75939_000060_000001	"It was imprudent," she said.	"It was imprudent," she said.
7434_75939_000061_000000	"Nothing."	"Nothing."
7434_75939_000062_000000	"And Guiche?"	"And Guiche?"
7434_75939_000063_000000	"As much--oh, no! he muttered some impertinent remark or another."	"As much-oh, no! he muttered some impertinent remark or another."
7434_75939_000064_000000	"Well, what is your opinion, Philip?"	"Well, what is your opinion, Philip?"
7434_75939_000065_000000	"That I have been made a fool of; that Buckingham was only a pretext, and that Guiche is the one who is really to blame in the matter."	"That I have been made a fool of; that Buckingham was only a pretext, and that Guiche is the one who is really to blame in the matter."
7434_75939_000066_000001	"Well," she said, "what else?"	"Well," she said, "what else?"
7434_75939_000067_000000	"I wish De Guiche to be dismissed from my household, as Buckingham was, and I shall ask the king, unless--"	"I wish De Guiche to be dismissed from my household, as Buckingham was, and I shall ask the king, unless-"
7434_75939_000068_000000	"Unless what?"	"Unless what?"
7434_75939_000069_000000	"Unless you, my dear mother, who are so clever and so kind, will execute the commission yourself."	"Unless you, my dear mother, who are so clever and so kind, will execute the commission yourself."
7434_75939_000070_000000	"I will not do it, Philip."	"I will not do it, Philip."
7434_75939_000071_000000	"What, madame?"	"What, madame?"
7434_75939_000073_000000	"He has displeased me."	"He has displeased me."
7434_75939_000074_000000	"That is your own affair."	"That is your own affair."
7434_75939_000075_000000	"Very well, I know what I shall do," said the prince, impetuously.	"Very well, I know what I shall do," said the prince, impetuously.
7434_75939_000077_000000	"I will have him drowned in my fish-pond the very next time I find him in my apartments again." Having launched this terrible threat, the prince expected his mother would be frightened out of her senses; but the queen was unmoved.	"I will have him drowned in my fish pond the very next time I find him in my apartments again." Having launched this terrible threat, the prince expected his mother would be frightened out of her senses; but the queen was unmoved.
7434_75939_000078_000000	"Do so," she said.	"Do so," she said.
7434_75939_000079_000000	Philip was as weak as a woman, and began to cry out, "Every one betrays me,--no one cares for me; my mother, even, joins my enemies."	Philip was as weak as a woman, and began to cry out, "Every one betrays me,--no one cares for me; my mother, even, joins my enemies."
7434_75939_000080_000000	"Your mother, Philip, sees further in the matter than you do, and does not care about advising you, since you will not listen to her."	"Your mother, Philip, sees further in the matter than you do, and does not care about advising you, since you will not listen to her."
7434_75939_000081_000000	"I will go to the king."	"I will go to the king."
7434_75939_000082_000000	"I was about to propose that to you.	"I was about to propose that to you.
7434_75939_000082_000001	I am now expecting his majesty; it is the hour he usually pays me a visit; explain the matter to him yourself."	I am now expecting his majesty; it is the hour he usually pays me a visit; explain the matter to him yourself."
7434_75939_000083_000000	She had hardly finished when Philip heard the door of the ante-room open with some noise.	She had hardly finished when Philip heard the door of the ante room open with some noise.
7434_75939_000083_000002	At the sound of the king's footsteps, which could be heard upon the carpet, the duke hurriedly made his escape.	At the sound of the king's footsteps, which could be heard upon the carpet, the duke hurriedly made his escape.
7434_75939_000083_000003	Anne of Austria could not resist laughing, and was laughing still when the king entered.	Anne of Austria could not resist laughing, and was laughing still when the king entered.
7434_75939_000083_000004	He came very affectionately to inquire after the even now uncertain health of the queen-mother, and to announce to her that the preparations for the journey to Fontainebleau were complete.	He came very affectionately to inquire after the even now uncertain health of the queen mother, and to announce to her that the preparations for the journey to Fontainebleau were complete.
7434_75939_000083_000005	Seeing her laugh, his uneasiness on her account diminished, and he addressed her in a vivacious tone himself.	Seeing her laugh, his uneasiness on her account diminished, and he addressed her in a vivacious tone himself.
7434_75939_000084_000000	"Why, madame?"	"Why, madame?"
7434_75939_000085_000000	"Because Spanish women are worth more than English women at least."	"Because Spanish women are worth more than English women at least."
7434_75939_000086_000000	"Explain yourself."	"Explain yourself."
7434_75939_000087_000000	"Since your marriage you have not, I believe, had a single reproach to make against the queen."	"Since your marriage you have not, I believe, had a single reproach to make against the queen."
7434_75939_000088_000000	"Certainly not."	"Certainly not."
7434_75939_000089_000000	"And you, too, have been married some time.	"And you, too, have been married some time.
7434_75939_000089_000001	Your brother, on the contrary, has been married but a fortnight."	Your brother, on the contrary, has been married but a fortnight."
7434_75939_000090_000000	"Well?"	"Well?"
7434_75939_000091_000000	"He is now finding fault with Madame a second time."	"He is now finding fault with Madame a second time."
7434_75939_000092_000000	"What, Buckingham still?"	"What, Buckingham still?"
7434_75939_000093_000000	"No, another."	"No, another."
7434_75939_000095_000000	"Guiche."	"Guiche."
7434_75939_000096_000000	"Really?	"Really?
7434_75939_000096_000001	Madame is a coquette, then?"	Madame is a coquette, then?"
7434_75939_000097_000000	"I fear so."	"I fear so."
7434_75939_000099_000000	"You don't object to coquettes, it seems?"	"You don't object to coquettes, it seems?"
7434_75939_000100_000000	"In Madame, certainly I do; but Madame is not a coquette at heart."	"In Madame, certainly I do; but Madame is not a coquette at heart."
7434_75939_000101_000000	"That may be, but your brother is excessively angry about it."	"That may be, but your brother is excessively angry about it."
7434_75939_000102_000000	"What does he want?"	"What does he want?"
7434_75939_000103_000000	"He wants to drown Guiche."	"He wants to drown Guiche."
7434_75939_000104_000000	"That is a violent measure to resort to."	"That is a violent measure to resort to."
7434_75939_000105_000000	"Do not laugh; he is extremely irritated.	"Do not laugh; he is extremely irritated.
7434_75939_000105_000001	Think of what can be done."	Think of what can be done."
7434_75939_000106_000000	"To save Guiche--certainly."	"To save Guiche-certainly."
7434_75939_000107_000000	"Of, if your brother heard you, he would conspire against you as your uncle did against your father."	"Of, if your brother heard you, he would conspire against you as your uncle did against your father."
7434_75939_000108_000000	"No; Philip has too much affection for me for that, and I, on my side, have too great a regard for him; we shall live together on very good terms.	"No; Philip has too much affection for me for that, and I, on my side, have too great a regard for him; we shall live together on very good terms.
7434_75939_000108_000001	But what is the substance of his request?"	But what is the substance of his request?"
7434_75939_000109_000000	"That you will prevent Madame from being a coquette and Guiche from being amiable."	"That you will prevent Madame from being a coquette and Guiche from being amiable."
7434_75939_000110_000000	"Is that all?	"Is that all?
7434_75939_000110_000001	My brother has an exalted idea of sovereign power.	My brother has an exalted idea of sovereign power.
7434_75939_000110_000002	To reform a man, not to speak about reforming a woman!"	To reform a man, not to speak about reforming a woman!"
7434_75939_000112_000000	"With a word to Guiche, who is a clever fellow, I will undertake to convince him."	"With a word to Guiche, who is a clever fellow, I will undertake to convince him."
7434_75939_000113_000000	"But Madame?"	"But Madame?"
7434_75939_000114_000000	"That is more difficult; a word will not be enough.	"That is more difficult; a word will not be enough.
7434_75939_000114_000001	I will compose a homily and read it to her."	I will compose a homily and read it to her."
7434_75939_000115_000000	"There is no time to be lost."	"There is no time to be lost."
7434_75939_000116_000000	"Oh, I will use the utmost diligence.	"Oh, I will use the utmost diligence.
7434_75939_000116_000001	There is a repetition of the ballet this afternoon."	There is a repetition of the ballet this afternoon."
7434_75939_000117_000000	"You will read her a lecture while you are dancing?"	"You will read her a lecture while you are dancing?"
7434_75939_000118_000000	"Yes, madame."	"Yes, madame."
7434_75939_000119_000000	"You promise to convert her?"	"You promise to convert her?"
7434_75939_000120_000000	"I will root out the heresy altogether, either by convincing her, or by extreme measures."	"I will root out the heresy altogether, either by convincing her, or by extreme measures."
7434_75939_000121_000000	"That is all right, then.	"That is all right, then.
7434_75939_000122_000000	"The king, madame, will take all upon himself.	"The king, madame, will take all upon himself.
7434_75939_000122_000001	But let me reflect."	But let me reflect."
7434_75939_000123_000000	"What about?"	"What about?"
7434_75939_000124_000000	"It would be better, perhaps, if I were to go and see Madame in her own apartment."	"It would be better, perhaps, if I were to go and see Madame in her own apartment."
7434_75939_000125_000000	"Would that not seem a somewhat serious step to take?"	"Would that not seem a somewhat serious step to take?"
7434_75939_000126_000000	"Yes; but seriousness is not unbecoming in preachers, and the music of the ballet would drown half my arguments.	"Yes; but seriousness is not unbecoming in preachers, and the music of the ballet would drown half my arguments.
7434_75939_000126_000001	Besides, the object is to prevent any violent measures on my brother's part, so that a little precipitation may be advisable.	Besides, the object is to prevent any violent measures on my brother's part, so that a little precipitation may be advisable.
7434_75939_000126_000002	Is Madame in her own apartment?"	Is Madame in her own apartment?"
7434_75939_000127_000000	"I believe so."	"I believe so."
7434_75939_000128_000000	"What is my statement of grievances to consist of?"	"What is my statement of grievances to consist of?"
7434_75939_000129_000000	"In a few words, of the following: music uninterruptedly; Guiche's assiduity; suspicions of treasonable plots and practices."	"In a few words, of the following: music uninterruptedly; Guiche's assiduity; suspicions of treasonable plots and practices."
7434_75939_000130_000000	"And the proofs?"	"And the proofs?"
7434_75939_000132_000000	"Very well; I will go at once to see Madame." The king turned to look in the mirrors at his costume, which was very rich, and his face, which was radiant as the morning.	"Very well; I will go at once to see Madame." The king turned to look in the mirrors at his costume, which was very rich, and his face, which was radiant as the morning.
7434_75939_000132_000001	"I suppose my brother is kept a little at a distance," said the king.	"I suppose my brother is kept a little at a distance," said the king.
7434_75939_000134_000000	"That will do.	"That will do.
7434_75939_000134_000001	Permit me, madame, to kiss your hands, the most beautiful hands in France."	Permit me, madame, to kiss your hands, the most beautiful hands in France."
7434_75939_000135_000000	"May you be successful, sire, as the family peacemaker."	"May you be successful, sire, as the family peacemaker."
