7484_39971_000000_000000	Summary.	Summary.	false	0	0.21	11
7484_39971_000004_000008	A premium is put on physical quietude; on silence, on rigid uniformity of posture and movement; upon a machine-like simulation of the attitudes of intelligent interest.	A premium is put on physical quietude; on silence, on rigid uniformity of posture and movement; upon a machine like simulation of the attitudes of intelligent interest.	true	389.4	402.73	20.60027
7484_39971_000004_000009	The teachers' business is to hold the pupils up to these requirements and to punish the inevitable deviations which occur.	The teachers' business is to hold the pupils up to these requirements and to punish the inevitable deviations which occur.	true	403.43	410.86	21.269596
7484_39971_000005_000000	The nervous strain and fatigue which result with both teacher and pupil are a necessary consequence of the abnormality of the situation in which bodily activity is divorced from the perception of meaning.	The nervous strain and fatigue which result with both teacher and pupil are a necessary consequence of the abnormality of the situation in which bodily activity is divorced from the perception of meaning.	true	412.52	426.16	22.607634
7484_39971_000005_000001	Callous indifference and explosions from strain alternate.	Callous indifference and explosions from strain alternate.	true	426.68	430.84	20.723953
7484_39971_000005_000002	The neglected body, having no organized fruitful channels of activity, breaks forth, without knowing why or how, into meaningless boisterousness, or settles into equally meaningless fooling--both very different from the normal play of children.	The neglected body, having no organized fruitful channels of activity, breaks forth, without knowing why or how, into meaningless boisterousness, or settles into equally meaningless fooling-both very different from the normal play of children.	true	431.3	447.85	20.770138
7484_39971_000005_000003	Physically active children become restless and unruly; the more quiescent, so-called conscientious ones spend what energy they have in the negative task of keeping their instincts and active tendencies suppressed, instead of in a positive one of constructive planning and execution; they are thus educated not into responsibility for the significant and graceful use of bodily powers, but into an enforced duty not to give them free play.	Physically active children become restless and unruly; the more quiescent, so-called conscientious ones spend what energy they have in the negative task of keeping their instincts and active tendencies suppressed, instead of in a positive one of constructive planning and execution; they are thus educated not into responsibility for the significant and graceful use of bodily powers, but into an enforced duty not to give them free play.	true	448.61	481	22.644495
7484_39971_000005_000004	It may be seriously asserted that a chief cause for the remarkable achievements of Greek education was that it was never misled by false notions into an attempted separation of mind and body.	It may be seriously asserted that a chief cause for the remarkable achievements of Greek education was that it was never misled by false notions into an attempted separation of mind and body.	true	482.06	494.62	20
7484_39971_000006_000000	(b) Even, however, with respect to the lessons which have to be learned by the application of "mind," some bodily activities have to be used. The senses--especially the eye and ear--have to be employed to take in what the book, the map, the blackboard, and the teacher say.	(b) Even, however, with respect to the lessons which have to be learned by the application of "mind," some bodily activities have to be used. The senses-especially the eye and ear-have to be employed to take in what the book, the map, the blackboard, and the teacher say.	true	495.92	515.77	22.061754
7484_39971_000006_000001	The lips and vocal organs, and the hands, have to be used to reproduce in speech and writing what has been stowed away.	The lips and vocal organs, and the hands, have to be used to reproduce in speech and writing what has been stowed away.	true	516.23	524.56	22.52035
7484_39971_000006_000002	The senses are then regarded as a kind of mysterious conduit through which information is conducted from the external world into the mind; they are spoken of as gateways and avenues of knowledge.	The senses are then regarded as a kind of mysterious conduit through which information is conducted from the external world into the mind; they are spoken of as gateways and avenues of knowledge.	true	525.5	538.69	21.993221
7484_39971_000006_000003	To keep the eyes on the book and the ears open to the teacher's words is a mysterious source of intellectual grace. Moreover, reading, writing, and figuring--important school arts--demand muscular or motor training.	To keep the eyes on the book and the ears open to the teacher's words is a mysterious source of intellectual grace. Moreover, reading, writing, and figuring-important school arts-demand muscular or motor training.	true	539.27	556.33	20.190598
7484_39971_000006_000004	The muscles of eye, hand, and vocal organs accordingly have to be trained to act as pipes for carrying knowledge back out of the mind into external action.	The muscles of eye, hand, and vocal organs accordingly have to be trained to act as pipes for carrying knowledge back out of the mind into external action.	true	556.7	567.52	24.781227
7484_39971_000006_000005	For it happens that using the muscles repeatedly in the same way fixes in them an automatic tendency to repeat.	For it happens that using the muscles repeatedly in the same way fixes in them an automatic tendency to repeat.	true	568.01	576.07	19.451294
7484_39971_000007_000000	The obvious result is a mechanical use of the bodily activities which (in spite of the generally obtrusive and interfering character of the body in mental action) have to be employed more or less.	The obvious result is a mechanical use of the bodily activities which (in spite of the generally obtrusive and interfering character of the body in mental action) have to be employed more or less.	true	577.13	590.32	21
7484_39971_000007_000001	For the senses and muscles are used not as organic participants in having an instructive experience, but as external inlets and outlets of mind. Before the child goes to school, he learns with his hand, eye, and ear, because they are organs of the process of doing something from which meaning results.	For the senses and muscles are used not as organic participants in having an instructive experience, but as external inlets and outlets of mind. Before the child goes to school, he learns with his hand, eye, and ear, because they are organs of the process of doing something from which meaning results.	false	592.31	613.54	21.06929
7484_39971_000007_000002	The boy flying a kite has to keep his eye on the kite, and has to note the various pressures of the string on his hand.	The boy flying a kite has to keep his eye on the kite, and has to note the various pressures of the string on his hand.	true	614.09	622.06	24.146217
7484_39971_000007_000003	His senses are avenues of knowledge not because external facts are somehow "conveyed" to the brain, but because they are used in doing something with a purpose.	His senses are avenues of knowledge not because external facts are somehow "conveyed" to the brain, but because they are used in doing something with a purpose.	true	622.64	634.06	20.0311
7484_39971_000007_000004	The qualities of seen and touched things have a bearing on what is done, and are alertly perceived; they have a meaning.	The qualities of seen and touched things have a bearing on what is done, and are alertly perceived; they have a meaning.	true	634.61	642.97	19.259258
7484_39971_000007_000005	But when pupils are expected to use their eyes to note the form of words, irrespective of their meaning, in order to reproduce them in spelling or reading, the resulting training is simply of isolated sense organs and muscles.	But when pupils are expected to use their eyes to note the form of words, irrespective of their meaning, in order to reproduce them in spelling or reading, the resulting training is simply of isolated sense organs and muscles.	false	643.4	658.21	22.376072
7484_39971_000007_000006	It is such isolation of an act from a purpose which makes it mechanical.	It is such isolation of an act from a purpose which makes it mechanical.	true	658.76	664.03	22.502148
7484_39971_000007_000007	It is customary for teachers to urge children to read with expression, so as to bring out the meaning.	It is customary for teachers to urge children to read with expression, so as to bring out the meaning.	true	664.52	671.68	22.375954
7484_39971_000007_000008	But if they originally learned the sensory-motor technique of reading--the ability to identify forms and to reproduce the sounds they stand for--by methods which did not call for attention to meaning, a mechanical habit was established which makes it difficult to read subsequently with intelligence.	But if they originally learned the sensory motor technique of reading-the ability to identify forms and to reproduce the sounds they stand for-by methods which did not call for attention to meaning, a mechanical habit was established which makes it difficult to read subsequently with intelligence.	true	672.23	691.63	20.889406
7484_39971_000007_000009	The vocal organs have been trained to go their own way automatically in isolation; and meaning cannot be tied on at will.	The vocal organs have been trained to go their own way automatically in isolation; and meaning cannot be tied on at will.	false	692.21	700.54	23
7484_39971_000007_000010	Drawing, singing, and writing may be taught in the same mechanical way; for, we repeat, any way is mechanical which narrows down the bodily activity so that a separation of body from mind--that is, from recognition of meaning--is set up.	Drawing, singing, and writing may be taught in the same mechanical way; for, we repeat, any way is mechanical which narrows down the bodily activity so that a separation of body from mind-that is, from recognition of meaning-is set up.	false	701.09	718.81	20.784145
7484_39971_000007_000011	Mathematics, even in its higher branches, when undue emphasis is put upon the technique of calculation, and science, when laboratory exercises are given for their own sake, suffer from the same evil.	Mathematics, even in its higher branches, when undue emphasis is put upon the technique of calculation, and science, when laboratory exercises are given for their own sake, suffer from the same evil.	true	719.21	733.63	22.530092
7484_39971_000008_000000	(c) On the intellectual side, the separation of "mind" from direct occupation with things throws emphasis on things at the expense of relations or connections.	(c) On the intellectual side, the separation of "mind" from direct occupation with things throws emphasis on things at the expense of relations or connections.	true	736.01	748.09	20.232927
7484_39971_000008_000001	It is altogether too common to separate perceptions and even ideas from judgments.	It is altogether too common to separate perceptions and even ideas from judgments.	true	748.94	755.56	22.94861
7484_39971_000008_000002	The latter are thought to come after the former in order to compare them.	The latter are thought to come after the former in order to compare them.	true	756.11	760.66	26.393612
7484_39971_000008_000003	It is alleged that the mind perceives things apart from relations; that it forms ideas of them in isolation from their connections--with what goes before and comes after.	It is alleged that the mind perceives things apart from relations; that it forms ideas of them in isolation from their connections-with what goes before and comes after.	true	761.42	774.07	20.379286
7484_39971_000008_000004	Then judgment or thought is called upon to combine the separated items of "knowledge" so that their resemblance or causal connection shall be brought out.	Then judgment or thought is called upon to combine the separated items of "knowledge" so that their resemblance or causal connection shall be brought out.	true	775.58	787	22.43017
7484_39971_000008_000005	As matter of fact, every perception and every idea is a sense of the bearings, use, and cause, of a thing.	As matter of fact, every perception and every idea is a sense of the bearings, use, and cause, of a thing.	false	787.04	794.68	20.610136
7484_39971_000008_000006	We do not really know a chair or have an idea of it by inventorying and enumerating its various isolated qualities, but only by bringing these qualities into connection with something else--the purpose which makes it a chair and not a table; or its difference from the kind of chair we are accustomed to, or the "period" which it represents, and so on.	We do not really know a chair or have an idea of it by inventorying and enumerating its various isolated qualities, but only by bringing these qualities into connection with something else-the purpose which makes it a chair and not a table; or its difference from the kind of chair we are accustomed to, or the "period" which it represents, and so on.	true	794.84	818.59	21.68076
7484_39971_000008_000007	A wagon is not perceived when all its parts are summed up; it is the characteristic connection of the parts which makes it a wagon.	A wagon is not perceived when all its parts are summed up; it is the characteristic connection of the parts which makes it a wagon.	true	818.9	828.01	22.93713
7484_39971_000008_000008	And these connections are not those of mere physical juxtaposition; they involve connection with the animals that draw it, the things that are carried on it, and so on.	And these connections are not those of mere physical juxtaposition; they involve connection with the animals that draw it, the things that are carried on it, and so on.	true	828.56	840.16	23.291483
7484_39971_000008_000009	Judgment is employed in the perception; otherwise the perception is mere sensory excitation or else a recognition of the result of a prior judgment, as in the case of familiar objects.	Judgment is employed in the perception; otherwise the perception is mere sensory excitation or else a recognition of the result of a prior judgment, as in the case of familiar objects.	true	841.13	854.65	21.423576
7484_39971_000009_000000	Words, the counters for ideals, are, however, easily taken for ideas. And in just the degree in which mental activity is separated from active concern with the world, from doing something and connecting the doing with what is undergone, words, symbols, come to take the place of ideas. The substitution is the more subtle because some meaning is recognized. But we are very easily trained to be content with a minimum of meaning, and to fail to note how restricted is our perception of the relations which confer significance.	Words, the counters for ideals, are, however, easily taken for ideas. And in just the degree in which mental activity is separated from active concern with the world, from doing something and connecting the doing with what is undergone, words, symbols, come to take the place of ideas. The substitution is the more subtle because some meaning is recognized. But we are very easily trained to be content with a minimum of meaning, and to fail to note how restricted is our perception of the relations which confer significance.	true	856.7	895.87	21.09576
7484_39971_000009_000001	We get so thoroughly used to a kind of pseudo-idea, a half perception, that we are not aware how half-dead our mental action is, and how much keener and more extensive our observations and ideas would be if we formed them under conditions of a vital experience which required us to use judgment: to hunt for the connections of the thing dealt with.	We get so thoroughly used to a kind of pseudo idea, a half perception, that we are not aware how half dead our mental action is, and how much keener and more extensive our observations and ideas would be if we formed them under conditions of a vital experience which required us to use judgment: to hunt for the connections of the thing dealt with.	false	896.42	922.15	21.732403
7484_39971_000009_000002	There is no difference of opinion as to the theory of the matter.	There is no difference of opinion as to the theory of the matter.	true	922.58	926.68	24.364462
7484_39971_000009_000003	All authorities agree that that discernment of relationships is the genuinely intellectual matter; hence, the educative matter.	All authorities agree that that discernment of relationships is the genuinely intellectual matter; hence, the educative matter.	false	927.29	936.7	23.723005
7484_39971_000009_000004	The failure arises in supposing that relationships can become perceptible without experience--without that conjoint trying and undergoing of which we have spoken.	The failure arises in supposing that relationships can become perceptible without experience-without that conjoint trying and undergoing of which we have spoken.	true	937.49	949.03	22.307703
7484_39971_000009_000005	It is assumed that "mind" can grasp them if it will only give attention, and that this attention may be given at will irrespective of the situation.	It is assumed that "mind" can grasp them if it will only give attention, and that this attention may be given at will irrespective of the situation.	true	949.82	959.62	21.824894
7484_39971_000009_000006	Hence the deluge of half-observations, of verbal ideas, and unassimilated "knowledge" which afflicts the world.	Hence the deluge of half observations, of verbal ideas, and unassimilated "knowledge" which afflicts the world.	true	960.23	969.04	21.303658
7484_39971_000009_000007	An ounce of experience is better than a ton of theory simply because it is only in experience that any theory has vital and verifiable significance.	An ounce of experience is better than a ton of theory simply because it is only in experience that any theory has vital and verifiable significance.	true	969.74	980.08	22.740093
7484_39971_000009_000008	An experience, a very humble experience, is capable of generating and carrying any amount of theory (or intellectual content), but a theory apart from an experience cannot be definitely grasped even as theory.	An experience, a very humble experience, is capable of generating and carrying any amount of theory (or intellectual content), but a theory apart from an experience cannot be definitely grasped even as theory.	true	980.66	996.88	23.078316
7484_39971_000009_000009	It tends to become a mere verbal formula, a set of catchwords used to render thinking, or genuine theorizing, unnecessary and impossible.	It tends to become a mere verbal formula, a set of catchwords used to render thinking, or genuine theorizing, unnecessary and impossible.	true	998.03	1009	20.601984
7484_39971_000009_000010	Because of our education we use words, thinking they are ideas, to dispose of questions, the disposal being in reality simply such an obscuring of perception as prevents us from seeing any longer the difficulty.	Because of our education we use words, thinking they are ideas, to dispose of questions, the disposal being in reality simply such an obscuring of perception as prevents us from seeing any longer the difficulty.	true	1009.46	1025.34	22.057182
7484_39971_000010_000000	2.	two.	false	1025.34	1029.27	15.815891
7484_39971_000010_000001	Reflection in Experience.	Reflection in Experience.	true	1029.27	1031.32	24
7484_39971_000010_000002	Thought or reflection, as we have already seen virtually if not explicitly, is the discernment of the relation between what we try to do and what happens in consequence.	Thought or reflection, as we have already seen virtually if not explicitly, is the discernment of the relation between what we try to do and what happens in consequence.	true	1031.99	1043.23	25.109873
7484_39971_000010_000003	No experience having a meaning is possible without some element of thought.	No experience having a meaning is possible without some element of thought.	true	1043.72	1049.08	23.723955
7484_39971_000010_000004	But we may contrast two types of experience according to the proportion of reflection found in them.	But we may contrast two types of experience according to the proportion of reflection found in them.	true	1049.45	1055.44	25
7484_39971_000010_000005	All our experiences have a phase of "cut and try" in them--what psychologists call the method of trial and error.	All our experiences have a phase of "cut and try" in them-what psychologists call the method of trial and error.	false	1055.75	1063.69	25.40952
7484_39971_000010_000006	We simply do something, and when it fails, we do something else, and keep on trying till we hit upon something which works, and then we adopt that method as a rule of thumb measure in subsequent procedure.	We simply do something, and when it fails, we do something else, and keep on trying till we hit upon something which works, and then we adopt that method as a rule of thumb measure in subsequent procedure.	true	1064.15	1077.01	23.032436
7484_39971_000010_000007	Some experiences have very little else in them than this hit and miss or succeed process.	Some experiences have very little else in them than this hit and miss or succeed process.	true	1077.5	1084.09	21.990313
7484_39971_000010_000008	We see that a certain way of acting and a certain consequence are connected, but we do not see how they are.	We see that a certain way of acting and a certain consequence are connected, but we do not see how they are.	true	1084.85	1091.32	22.367321
7484_39971_000010_000009	We do not see the details of the connection; the links are missing.	We do not see the details of the connection; the links are missing.	true	1091.66	1095.91	21.452894
7484_39971_000010_000010	Our discernment is very gross.	Our discernment is very gross.	true	1096.43	1098.52	23.116436
7484_39971_000010_000011	In other cases we push our observation farther.	In other cases we push our observation farther.	true	1098.92	1102.21	26.09595
7484_39971_000010_000012	We analyze to see just what lies between so as to bind together cause and effect, activity and consequence.	We analyze to see just what lies between so as to bind together cause and effect, activity and consequence.	true	1102.46	1109.83	23.958088
7484_39971_000010_000013	This extension of our insight makes foresight more accurate and comprehensive.	This extension of our insight makes foresight more accurate and comprehensive.	true	1110.29	1115.14	24
7484_39971_000010_000014	The action which rests simply upon the trial and error method is at the mercy of circumstances; they may change so that the act performed does not operate in the way it was expected to.	The action which rests simply upon the trial and error method is at the mercy of circumstances; they may change so that the act performed does not operate in the way it was expected to.	true	1115.66	1127.17	25
7484_39971_000010_000015	But if we know in detail upon what the result depends, we can look to see whether the required conditions are there.	But if we know in detail upon what the result depends, we can look to see whether the required conditions are there.	true	1127.57	1134.85	26
7484_39971_000010_000016	The method extends our practical control.	The method extends our practical control.	true	1135.4	1138.15	27.019121
7484_39971_000010_000017	For if some of the conditions are missing, we may, if we know what the needed antecedents for an effect are, set to work to supply them; or, if they are such as to produce undesirable effects as well, we may eliminate some of the superfluous causes and economize effort.	For if some of the conditions are missing, we may, if we know what the needed antecedents for an effect are, set to work to supply them; or, if they are such as to produce undesirable effects as well, we may eliminate some of the superfluous causes and economize effort.	false	1138.55	1155.97	24.638174
7484_39971_000011_000000	In discovery of the detailed connections of our activities and what happens in consequence, the thought implied in cut and try experience is made explicit.	In discovery of the detailed connections of our activities and what happens in consequence, the thought implied in cut and try experience is made explicit.	true	1159.07	1168.33	24.046986
7484_39971_000011_000001	Its quantity increases so that its proportionate value is very different.	Its quantity increases so that its proportionate value is very different.	true	1168.82	1174.15	22.938898
7484_39971_000011_000002	Hence the quality of the experience changes; the change is so significant that we may call this type of experience reflective--that is, reflective par excellence.	Hence the quality of the experience changes; the change is so significant that we may call this type of experience reflective-that is, reflective par excellence.	true	1174.43	1185.28	23.954456
7484_39971_000011_000003	The deliberate cultivation of this phase of thought constitutes thinking as a distinctive experience.	The deliberate cultivation of this phase of thought constitutes thinking as a distinctive experience.	true	1186.28	1191.97	25.996355
7484_39971_000011_000004	Thinking, in other words, is the intentional endeavor to discover specific connections between something which we do and the consequences which result, so that the two become continuous. Their isolation, and consequently their purely arbitrary going together, is canceled; a unified developing situation takes its place.	Thinking, in other words, is the intentional endeavor to discover specific connections between something which we do and the consequences which result, so that the two become continuous. Their isolation, and consequently their purely arbitrary going together, is canceled; a unified developing situation takes its place.	true	1192.34	1212.58	23.61567
7484_39971_000011_000005	The occurrence is now understood; it is explained; it is reasonable, as we say, that the thing should happen as it does.	The occurrence is now understood; it is explained; it is reasonable, as we say, that the thing should happen as it does.	true	1213.25	1221.7	22.186705
7484_39971_000012_000000	Thinking is thus equivalent to an explicit rendering of the intelligent element in our experience.	Thinking is thus equivalent to an explicit rendering of the intelligent element in our experience.	true	1222.7	1228.33	20
