7484_39971_000001_000000	Chapter Eleven: Experience and Thinking	Chapter Eleven: Experience and Thinking
7484_39971_000013_000010	Imagine the war done with, and a future historian giving an account of it.	Imagine the war done with, and a future historian giving an account of it.
7484_39971_000013_000011	The episode is, by assumption, past.	The episode is, by assumption, past.
7484_39971_000013_000012	But he cannot give a thoughtful account of the war save as he preserves the time sequence; the meaning of each occurrence, as he deals with it, lies in what was future for it, though not for the historian.	But he cannot give a thoughtful account of the war save as he preserves the time sequence; the meaning of each occurrence, as he deals with it, lies in what was future for it, though not for the historian.
7484_39971_000013_000013	To take it by itself as a complete existence is to take it unreflectively. Reflection also implies concern with the issue--a certain sympathetic identification of our own destiny, if only dramatic, with the outcome of the course of events.	To take it by itself as a complete existence is to take it unreflectively. Reflection also implies concern with the issue-a certain sympathetic identification of our own destiny, if only dramatic, with the outcome of the course of events.
7484_39971_000013_000014	For the general in the war, or a common soldier, or a citizen of one of the contending nations, the stimulus to thinking is direct and urgent.	For the general in the war, or a common soldier, or a citizen of one of the contending nations, the stimulus to thinking is direct and urgent.
7484_39971_000013_000015	For neutrals, it is indirect and dependent upon imagination.	For neutrals, it is indirect and dependent upon imagination.
7484_39971_000013_000016	But the flagrant partisanship of human nature is evidence of the intensity of the tendency to identify ourselves with one possible course of events, and to reject the other as foreign.	But the flagrant partisanship of human nature is evidence of the intensity of the tendency to identify ourselves with one possible course of events, and to reject the other as foreign.
7484_39971_000013_000017	If we cannot take sides in overt action, and throw in our little weight to help determine the final balance, we take sides emotionally and imaginatively.	If we cannot take sides in overt action, and throw in our little weight to help determine the final balance, we take sides emotionally and imaginatively.
7484_39971_000013_000018	We desire this or that outcome.	We desire this or that outcome.
7484_39971_000013_000019	One wholly indifferent to the outcome does not follow or think about what is happening at all.	One wholly indifferent to the outcome does not follow or think about what is happening at all.
7484_39971_000013_000021	Born in partiality, in order to accomplish its tasks it must achieve a certain detached impartiality.	Born in partiality, in order to accomplish its tasks it must achieve a certain detached impartiality.
7484_39971_000013_000022	The general who allows his hopes and desires to affect his observations and interpretations of the existing situation will surely make a mistake in calculation.	The general who allows his hopes and desires to affect his observations and interpretations of the existing situation will surely make a mistake in calculation.
7484_39971_000013_000025	The almost insurmountable difficulty of achieving this detachment is evidence that thinking originates in situations where the course of thinking is an actual part of the course of events and is designed to influence the result.	The almost insurmountable difficulty of achieving this detachment is evidence that thinking originates in situations where the course of thinking is an actual part of the course of events and is designed to influence the result.
7484_39971_000013_000026	Only gradually and with a widening of the area of vision through a growth of social sympathies does thinking develop to include what lies beyond our direct interests: a fact of great significance for education.	Only gradually and with a widening of the area of vision through a growth of social sympathies does thinking develop to include what lies beyond our direct interests: a fact of great significance for education.
7484_39971_000014_000000	To say that thinking occurs with reference to situations which are still going on, and incomplete, is to say that thinking occurs when things are uncertain or doubtful or problematic.	To say that thinking occurs with reference to situations which are still going on, and incomplete, is to say that thinking occurs when things are uncertain or doubtful or problematic.
7484_39971_000014_000001	Only what is finished, completed, is wholly assured.	Only what is finished, completed, is wholly assured.
7484_39971_000014_000002	Where there is reflection there is suspense.	Where there is reflection there is suspense.
7484_39971_000014_000003	The object of thinking is to help reach a conclusion, to project a possible termination on the basis of what is already given.	The object of thinking is to help reach a conclusion, to project a possible termination on the basis of what is already given.
7484_39971_000014_000004	Certain other facts about thinking accompany this feature.	Certain other facts about thinking accompany this feature.
7484_39971_000014_000005	Since the situation in which thinking occurs is a doubtful one, thinking is a process of inquiry, of looking into things, of investigating.	Since the situation in which thinking occurs is a doubtful one, thinking is a process of inquiry, of looking into things, of investigating.
7484_39971_000014_000007	It is seeking, a quest, for something that is not at hand.	It is seeking, a quest, for something that is not at hand.
7484_39971_000014_000008	We sometimes talk as if "original research" were a peculiar prerogative of scientists or at least of advanced students.	We sometimes talk as if "original research" were a peculiar prerogative of scientists or at least of advanced students.
7484_39971_000014_000009	But all thinking is research, and all research is native, original, with him who carries it on, even if everybody else in the world already is sure of what he is still looking for.	But all thinking is research, and all research is native, original, with him who carries it on, even if everybody else in the world already is sure of what he is still looking for.
7484_39971_000015_000000	It also follows that all thinking involves a risk.	It also follows that all thinking involves a risk.
7484_39971_000015_000001	Certainty cannot be guaranteed in advance.	Certainty cannot be guaranteed in advance.
7484_39971_000015_000002	The invasion of the unknown is of the nature of an adventure; we cannot be sure in advance.	The invasion of the unknown is of the nature of an adventure; we cannot be sure in advance.
7484_39971_000015_000003	The conclusions of thinking, till confirmed by the event, are, accordingly, more or less tentative or hypothetical.	The conclusions of thinking, till confirmed by the event, are, accordingly, more or less tentative or hypothetical.
7484_39971_000015_000004	Their dogmatic assertion as final is unwarranted, short of the issue, in fact.	Their dogmatic assertion as final is unwarranted, short of the issue, in fact.
7484_39971_000015_000005	The Greeks acutely raised the question: How can we learn?	The Greeks acutely raised the question: How can we learn?
7484_39971_000015_000006	For either we know already what we are after, or else we do not know.	For either we know already what we are after, or else we do not know.
7484_39971_000015_000008	The dilemma makes no provision for coming to know, for learning; it assumes either complete knowledge or complete ignorance. Nevertheless the twilight zone of inquiry, of thinking, exists.	The dilemma makes no provision for coming to know, for learning; it assumes either complete knowledge or complete ignorance. Nevertheless the twilight zone of inquiry, of thinking, exists.
7484_39971_000015_000009	The possibility of hypothetical conclusions, of tentative results, is the fact which the Greek dilemma overlooked.	The possibility of hypothetical conclusions, of tentative results, is the fact which the Greek dilemma overlooked.
7484_39971_000015_000010	The perplexities of the situation suggest certain ways out.	The perplexities of the situation suggest certain ways out.
7484_39971_000015_000011	We try these ways, and either push our way out, in which case we know we have found what we were looking for, or the situation gets darker and more confused--in which case, we know we are still ignorant.	We try these ways, and either push our way out, in which case we know we have found what we were looking for, or the situation gets darker and more confused-in which case, we know we are still ignorant.
7484_39971_000015_000012	Tentative means trying out, feeling one's way along provisionally.	Tentative means trying out, feeling one's way along provisionally.
7484_39971_000015_000013	Taken by itself, the Greek argument is a nice piece of formal logic.	Taken by itself, the Greek argument is a nice piece of formal logic.
7484_39971_000015_000014	But it is also true that as long as men kept a sharp disjunction between knowledge and ignorance, science made only slow and accidental advance.	But it is also true that as long as men kept a sharp disjunction between knowledge and ignorance, science made only slow and accidental advance.
7484_39971_000015_000015	Systematic advance in invention and discovery began when men recognized that they could utilize doubt for purposes of inquiry by forming conjectures to guide action in tentative explorations, whose development would confirm, refute, or modify the guiding conjecture.	Systematic advance in invention and discovery began when men recognized that they could utilize doubt for purposes of inquiry by forming conjectures to guide action in tentative explorations, whose development would confirm, refute, or modify the guiding conjecture.
7484_39971_000015_000017	To recur to our illustration.	To recur to our illustration.
7484_39971_000015_000018	A commanding general cannot base his actions upon either absolute certainty or absolute ignorance. He has a certain amount of information at hand which is, we will assume, reasonably trustworthy.	A commanding general cannot base his actions upon either absolute certainty or absolute ignorance. He has a certain amount of information at hand which is, we will assume, reasonably trustworthy.
7484_39971_000015_000019	He then infers certain prospective movements, thus assigning meaning to the bare facts of the given situation.	He then infers certain prospective movements, thus assigning meaning to the bare facts of the given situation.
