2517_135229_000003_000000	CHAPTER XIV	CHAPTER fourteen
2517_135229_000008_000001	I learned how dear she was. With her the brightness of life had passed; without her existence would be intolerable.	I learned how dear she was. With her the brightness of life had passed; without her existence would be intolerable.
2517_135229_000008_000002	Her sweet voice, her tender and gracious manner, her soft touch, her tender, affectionate smile, her mournful yet trustful look--oh, heavens! would all these be mine no more?	Her sweet voice, her tender and gracious manner, her soft touch, her tender, affectionate smile, her mournful yet trustful look-oh, heavens! would all these be mine no more?
2517_135229_000008_000003	I could not endure the thought.	I could not endure the thought.
2517_135229_000009_000000	At length on one blessed jom, the Kohen came to me with a bright smile.	At length on one blessed jom, the Kohen came to me with a bright smile.
2517_135229_000010_000001	"Eat, I beseech you.	"Eat, I beseech you.
2517_135229_000010_000003	But now all danger is past.	But now all danger is past.
2517_135229_000010_000004	The physicians say that she will soon be well." There were tears in his eyes as he spoke.	The physicians say that she will soon be well." There were tears in his eyes as he spoke.
2517_135229_000010_000005	It may have been caused by the bright light, but I attributed this to his loving heart, and I forgot that he was a cannibal.	It may have been caused by the bright light, but I attributed this to his loving heart, and I forgot that he was a cannibal.
2517_135229_000010_000006	I took his hands in mine and pressed them in deep emotion.	I took his hands in mine and pressed them in deep emotion.
2517_135229_000010_000007	He looked at me with a sweet and gentle smile.	He looked at me with a sweet and gentle smile.
2517_135229_000012_000000	I pressed his hands harder, but said nothing.	I pressed his hands harder, but said nothing.
2517_135229_000012_000001	Indeed, I could not trust myself to speak.	Indeed, I could not trust myself to speak.
2517_135229_000013_000000	"I knew it," said he; "it is but natural.	"I knew it," said he; "it is but natural.
2517_135229_000013_000001	You are both of a different race from us; you are both much alike, and in full sympathy with one another.	You are both of a different race from us; you are both much alike, and in full sympathy with one another.
2517_135229_000013_000002	This draws you together.	This draws you together.
2517_135229_000013_000003	When I first saw you I thought that you would be a fit companion for her here--that you would lessen her gloom, and that she would be pleasant to you.	When I first saw you I thought that you would be a fit companion for her here-that you would lessen her gloom, and that she would be pleasant to you.
2517_135229_000013_000004	I found out soon that I was right, and I felt glad, for you at once showed the fullest sympathy with one another.	I found out soon that I was right, and I felt glad, for you at once showed the fullest sympathy with one another.
2517_135229_000014_000000	At all this I was so full of amazement that I could not say one word.	At all this I was so full of amazement that I could not say one word.
2517_135229_000015_000000	"Pardon me," continued he, "if I have said anything that may seem like an intrusion upon your secret and most sacred feelings.	"Pardon me," continued he, "if I have said anything that may seem like an intrusion upon your secret and most sacred feelings.
2517_135229_000016_000000	Saying this, he pressed my hand and left me.	Saying this, he pressed my hand and left me.
2517_135229_000016_000001	It was not the custom here to shake hands, but with his usual amiability he had adopted my custom, and used it as naturally as though he had been to the manner born.	It was not the custom here to shake hands, but with his usual amiability he had adopted my custom, and used it as naturally as though he had been to the manner born.
2517_135229_000017_000000	I was encouraged now.	I was encouraged now.
2517_135229_000017_000001	The mild Kohen came often to cheer me.	The mild Kohen came often to cheer me.
2517_135229_000017_000003	In all this he seemed more like a man of my own race than before, and in his eager desire for her recovery he failed to exhibit that love for death which was his nature.	In all this he seemed more like a man of my own race than before, and in his eager desire for her recovery he failed to exhibit that love for death which was his nature.
2517_135229_000017_000005	But just then all this was unknown, and I judged him by myself.	But just then all this was unknown, and I judged him by myself.
2517_135229_000018_000000	At last I learned that she was much better, and would be out on the following jom.	At last I learned that she was much better, and would be out on the following jom.
2517_135229_000018_000001	This intelligence filled me with a fever of eager anticipation, so great that I could think of nothing else.	This intelligence filled me with a fever of eager anticipation, so great that I could think of nothing else.
2517_135229_000018_000002	Sleep was impossible.	Sleep was impossible.
2517_135229_000018_000003	I could only wait, and try as best I might to quell my impatience.	I could only wait, and try as best I might to quell my impatience.
2517_135229_000018_000004	At last the time came.	At last the time came.
2517_135229_000018_000006	The curtain was drawn aside.	The curtain was drawn aside.
2517_135229_000018_000007	I sprang up, and, hurrying toward her, I caught her in my arms and wept for joy.	I sprang up, and, hurrying toward her, I caught her in my arms and wept for joy.
2517_135229_000018_000008	Ah me, how pale she looked!	Ah me, how pale she looked!
2517_135229_000018_000009	She bore still the marks of her illness.	She bore still the marks of her illness.
2517_135229_000018_000010	She seemed deeply embarrassed and agitated at the fervor of my greeting; while I, instead of apologizing or trying to excuse myself, only grew more agitated still.	She seemed deeply embarrassed and agitated at the fervor of my greeting; while I, instead of apologizing or trying to excuse myself, only grew more agitated still.
2517_135229_000019_000001	"I should have died if you had not come back to me!	"I should have died if you had not come back to me!
2517_135229_000019_000003	Oh, forgive me, but I must tell you--and don't weep, darling."	Oh, forgive me, but I must tell you-and don't weep, darling."
2517_135229_000020_000000	She was weeping as I spoke.	She was weeping as I spoke.
2517_135229_000020_000001	She said nothing, but twined her arms around my neck and wept on my breast.	She said nothing, but twined her arms around my neck and wept on my breast.
2517_135229_000020_000002	After this we had much to say that we had never mentioned before.	After this we had much to say that we had never mentioned before.
2517_135229_000021_000000	We had many things to say to one another, and long exchanges of confidence to make.	We had many things to say to one another, and long exchanges of confidence to make.
2517_135229_000021_000001	She now for the first time told me all the sorrow that she had endured in her captivity--sorrow which she had kept silent and shut up deep within her breast.	She now for the first time told me all the sorrow that she had endured in her captivity-sorrow which she had kept silent and shut up deep within her breast.
2517_135229_000021_000003	After this she had sunk into dull despair; she had grown familiar with horrors and lived in a state of unnatural calm.	After this she had sunk into dull despair; she had grown familiar with horrors and lived in a state of unnatural calm.
2517_135229_000021_000004	From this my arrival had roused her.	From this my arrival had roused her.
2517_135229_000021_000006	The darkness, the bloodshed, the sacrifices, all these affected me as they had once affected her.	The darkness, the bloodshed, the sacrifices, all these affected me as they had once affected her.
2517_135229_000021_000007	I had the same fear of death which she had.	I had the same fear of death which she had.
2517_135229_000022_000000	"Then," said Almah, "I felt the full meaning of all that lies before us."	"Then," said Almah, "I felt the full meaning of all that lies before us."
2517_135229_000023_000000	"What do you mean by that?" I asked, anxiously.	"What do you mean by that?" I asked, anxiously.
2517_135229_000023_000002	We have seen the worst; let us now try to shake off these grisly thoughts, and be happy with one another. Your strength will soon be back, and while we have one another we can be happy even in this gloom."	We have seen the worst; let us now try to shake off these grisly thoughts, and be happy with one another. Your strength will soon be back, and while we have one another we can be happy even in this gloom."
2517_135229_000024_000001	I could die happy now, since I know that you love me."	I could die happy now, since I know that you love me."
2517_135229_000025_000000	"Death!" said I; "do not talk of it--do not mention that word.	"Death!" said I; "do not talk of it-do not mention that word.
2517_135229_000025_000001	It is more abhorrent than ever.	It is more abhorrent than ever.
2517_135229_000025_000002	No, Almah, let us live and love--let us hope--let us fly."	No, Almah, let us live and love-let us hope-let us fly."
2517_135229_000026_000001	"We cannot fly.	"We cannot fly.
2517_135229_000026_000002	There is no hope.	There is no hope.
2517_135229_000026_000003	We must face the future, and make up our minds to bear our fate."	We must face the future, and make up our minds to bear our fate."
2517_135229_000027_000000	"Fate!" I repeated, looking at her in wonder and in deep concern. "What do you mean by our fate?	"Fate!" I repeated, looking at her in wonder and in deep concern. "What do you mean by our fate?
2517_135229_000027_000001	Is there anything more which you know and which I have not heard?"	Is there anything more which you know and which I have not heard?"
2517_135229_000028_000001	For you and for me there is a fate--inconceivable, abhorrent, tremendous!--a fate of which I dare not speak or even think, and from which there is no escape whatever."	For you and for me there is a fate-inconceivable, abhorrent, tremendous!--a fate of which I dare not speak or even think, and from which there is no escape whatever."
2517_135229_000029_000002	I looked at her in wonder, and could not say a word.	I looked at her in wonder, and could not say a word.
2517_135229_000031_000001	What is this fate which you fear so much?"	What is this fate which you fear so much?"
2517_135229_000032_000002	You came.	You came.
2517_135229_000032_000003	I saw it all at once.	I saw it all at once.
2517_135229_000032_000004	I have known it--dreaded it--tried to fight against it.	I have known it-dreaded it-tried to fight against it.
2517_135229_000033_000000	"Our doom?	"Our doom?
2517_135229_000034_000000	"The sacrifice!" exclaimed Almah, with another shudder.	"The sacrifice!" exclaimed Almah, with another shudder.
2517_135229_000034_000001	In her voice and look there was a terrible meaning, which I could not fail to take. I understood it now, and my blood curdled in my veins.	In her voice and look there was a terrible meaning, which I could not fail to take. I understood it now, and my blood curdled in my veins.
2517_135229_000035_000000	"Do not leave me!" she cried--"do not leave me!	"Do not leave me!" she cried-"do not leave me!
2517_135229_000035_000001	I have no one but you. The sacrifice, the sacrifice!	I have no one but you. The sacrifice, the sacrifice!
2517_135229_000035_000002	It is our doom the great sacrifice--at the end of the dark season.	It is our doom the great sacrifice-at the end of the dark season.
2517_135229_000035_000003	It is at the amir.	It is at the amir.
2517_135229_000039_000000	"Oh!" she cried, "you will not understand.	"Oh!" she cried, "you will not understand.
2517_135229_000039_000001	The sacrifice is but a part--it is but the beginning.	The sacrifice is but a part-it is but the beginning.
2517_135229_000039_000002	Death is terrible; yet it may be endured--if there is only death.	Death is terrible; yet it may be endured-if there is only death.
2517_135229_000040_000000	Now the full meaning flashed upon me, and I saw it all.	Now the full meaning flashed upon me, and I saw it all.
2517_135229_000040_000002	Oh, horror, horror, horror!	Oh, horror, horror, horror!
2517_135229_000040_000004	I could not speak.	I could not speak.
2517_135229_000040_000005	I caught her in my arms, and we both wept passionately.	I caught her in my arms, and we both wept passionately.
2517_135229_000041_000000	The happiness of our love was now darkened by this tremendous cloud that lowered before us.	The happiness of our love was now darkened by this tremendous cloud that lowered before us.
2517_135229_000041_000001	The shock of this discovery was overpowering, and some time elapsed before I could rally from it.	The shock of this discovery was overpowering, and some time elapsed before I could rally from it.
2517_135229_000042_000000	These feelings, however, grew fainter.	These feelings, however, grew fainter.
2517_135229_000042_000001	Hope is ever ready to arise; and I began to think that these people, though given to evil ways, were after all kind-hearted, and might listen to entreaty.	Hope is ever ready to arise; and I began to think that these people, though given to evil ways, were after all kind hearted, and might listen to entreaty.
2517_135229_000042_000002	Above all, there was the Kohen, so benevolent, so self-denying, so amiable, so sympathetic.	Above all, there was the Kohen, so benevolent, so self denying, so amiable, so sympathetic.
2517_135229_000042_000003	I could not forget all that he had said during Almah's illness, and it seemed more than probable that an appeal to his better nature might not be without effect.	I could not forget all that he had said during Almah's illness, and it seemed more than probable that an appeal to his better nature might not be without effect.
2517_135229_000043_000000	"The Kohen," said she; "why, he can do nothing."	"The Kohen," said she; "why, he can do nothing."
2517_135229_000044_000000	"Why not?	"Why not?
2517_135229_000044_000001	He is the chief man here, and ought to have great influence."	He is the chief man here, and ought to have great influence."
2517_135229_000045_000000	"You don't understand," said she, with a sigh.	"You don't understand," said she, with a sigh.
2517_135229_000045_000001	"The Kohen is the lowest and least influential man in the city."	"The Kohen is the lowest and least influential man in the city."
2517_135229_000046_000000	"Why, who are influential if he is not?" I asked.	"Why, who are influential if he is not?" I asked.
2517_135229_000047_000000	"The paupers," said Almah.	"The paupers," said Almah.
2517_135229_000048_000000	"The paupers!" I exclaimed, in amazement.	"The paupers!" I exclaimed, in amazement.
2517_135229_000049_000000	"Yes," said Almah.	"Yes," said Almah.
2517_135229_000050_000000	This was incomprehensible.	This was incomprehensible.
