1165_135216_000001_000001	Forward were the crew; some asleep, others smoking, others playing cards.	Forward were the crew; some asleep, others smoking, others playing cards.
1165_135216_000029_000000	It was now necessary to determine the state of the race, so Featherstone ordered out the boat.	It was now necessary to determine the state of the race, so Featherstone ordered out the boat.
1165_135216_000029_000001	The four were soon embarked, and the men rowed out toward the point which had been chosen as the end of the race.	The four were soon embarked, and the men rowed out toward the point which had been chosen as the end of the race.
1165_135216_000029_000003	An animated discussion arose about this.	An animated discussion arose about this.
1165_135216_000029_000004	Some of the bets were off, but others remained an open question, and each side insisted upon a different view of the case.	Some of the bets were off, but others remained an open question, and each side insisted upon a different view of the case.
1165_135216_000029_000005	In the midst of this, Featherstone's attention was drawn to the dark spot already mentioned as the goal of the race.	In the midst of this, Featherstone's attention was drawn to the dark spot already mentioned as the goal of the race.
1165_135216_000030_000001	"Pull up, lads, a little; let's see what it is.	"Pull up, lads, a little; let's see what it is.
1165_135216_000030_000002	It doesn't look to me like a spar."	It doesn't look to me like a spar."
1165_135216_000031_000000	The others, always on the lookout for some new object of interest, were attracted by these words, and looked closely at the thing in question.	The others, always on the lookout for some new object of interest, were attracted by these words, and looked closely at the thing in question.
1165_135216_000031_000001	The men pulled.	The men pulled.
1165_135216_000031_000002	The boat drew nearer.	The boat drew nearer.
1165_135216_000033_000000	"It's not a spar," said Melick, who was at the bow.	"It's not a spar," said Melick, who was at the bow.
1165_135216_000034_000001	He failed to get it, and did no more than touch it.	He failed to get it, and did no more than touch it.
1165_135216_000034_000002	It moved easily and sank, but soon came up again.	It moved easily and sank, but soon came up again.
1165_135216_000034_000003	A second time he grasped at it, and with both hands. This time he caught it, and then lifted it out of the water into the boat.	A second time he grasped at it, and with both hands. This time he caught it, and then lifted it out of the water into the boat.
1165_135216_000034_000004	These proceedings had been watched with the deepest interest; and now, as this curious floating thing made its appearance among them, they all crowded around it in eager excitement.	These proceedings had been watched with the deepest interest; and now, as this curious floating thing made its appearance among them, they all crowded around it in eager excitement.
1165_135216_000035_000000	"It looks like a can of preserved meat," said the doctor.	"It looks like a can of preserved meat," said the doctor.
1165_135216_000036_000000	"It certainly is a can," said Melick, "for it's made of metal; but as to preserved meat, I have my doubts."	"It certainly is a can," said Melick, "for it's made of metal; but as to preserved meat, I have my doubts."
1165_135216_000037_000000	The article in question was made of metal and was cylindrical in shape.	The article in question was made of metal and was cylindrical in shape.
1165_135216_000037_000001	It was soldered tight and evidently contained something.	It was soldered tight and evidently contained something.
1165_135216_000037_000003	The nature of the metal was not easily perceptible, for it was coated with slime, and covered over about half its surface with barnacles and sea-weed.	The nature of the metal was not easily perceptible, for it was coated with slime, and covered over about half its surface with barnacles and sea weed.
1165_135216_000038_000000	"It's some kind of preserved meat," said the doctor.	"It's some kind of preserved meat," said the doctor.
1165_135216_000038_000001	"Perhaps something good--game, I dare say--yes, Yorkshire game-pie.	"Perhaps something good-game, I dare say-yes, Yorkshire game pie.
1165_135216_000038_000002	They pot all sorts of things now."	They pot all sorts of things now."
1165_135216_000039_000002	It must have been floating for ages."	It must have been floating for ages."
1165_135216_000040_000001	So come, let's open it, and see what sort of diet the antediluvians had."	So come, let's open it, and see what sort of diet the antediluvians had."
1165_135216_000042_000000	Melick shook his head.	Melick shook his head.
1165_135216_000043_000001	It's odd, too.	It's odd, too.
1165_135216_000043_000003	I never saw anything like it before.	I never saw anything like it before.
1165_135216_000044_000000	"By Jove!" cried Featherstone, "this is getting exciting.	"By Jove!" cried Featherstone, "this is getting exciting.
1165_135216_000044_000001	Let's go back to the yacht and open it."	Let's go back to the yacht and open it."
1165_135216_000046_000001	"I'm certain of that. It has come in good time.	"I'm certain of that. It has come in good time.
1165_135216_000047_000000	"You may have my share, then," said Oxenden.	"You may have my share, then," said Oxenden.
1165_135216_000048_000000	"Meat cans," said Melick, "are never so large as that."	"Meat cans," said Melick, "are never so large as that."
1165_135216_000049_000000	"Oh, I don't know about that," said the doctor, "they make up pretty large packages of pemmican for the arctic expeditions."	"Oh, I don't know about that," said the doctor, "they make up pretty large packages of pemmican for the arctic expeditions."
1165_135216_000051_000000	"Copper!" exclaimed Oxenden.	"Copper!" exclaimed Oxenden.
1165_135216_000051_000001	"Is it copper?"	"Is it copper?"
1165_135216_000052_000000	"Look for yourselves," said Melick, quietly.	"Look for yourselves," said Melick, quietly.
1165_135216_000053_000000	They all looked, and could see, where the knife had cut into the vessel, that it was as he said.	They all looked, and could see, where the knife had cut into the vessel, that it was as he said.
1165_135216_000053_000001	It was copper.	It was copper.
1165_135216_000054_000000	"It's foreign work," said Melick.	"It's foreign work," said Melick.
1165_135216_000054_000001	"In England we make tin cans for everything.	"In England we make tin cans for everything.
1165_135216_000054_000002	It may be something that's drifted out from Mogadore or some port in Morocco."	It may be something that's drifted out from Mogadore or some port in Morocco."
1165_135216_000056_000000	By this time they had reached the yacht and hurried aboard.	By this time they had reached the yacht and hurried aboard.
1165_135216_000056_000001	All were eager to satisfy their curiosity.	All were eager to satisfy their curiosity.
1165_135216_000056_000002	Search was made for a cold-chisel, but to no purpose.	Search was made for a cold chisel, but to no purpose.
1165_135216_000056_000003	Then Featherstone produced a knife which was used to open sardine boxes, but after a faithful trial this proved useless. At length Melick, who had gone off in search of something more effective, made his appearance armed with an axe.	Then Featherstone produced a knife which was used to open sardine boxes, but after a faithful trial this proved useless. At length Melick, who had gone off in search of something more effective, made his appearance armed with an axe.
1165_135216_000056_000004	With this he attacked the copper cylinder, and by means of a few dexterous blows succeeded in cutting it open.	With this he attacked the copper cylinder, and by means of a few dexterous blows succeeded in cutting it open.
1165_135216_000056_000005	Then he looked in.	Then he looked in.
1165_135216_000057_000000	"What do you see?" asked Featherstone.	"What do you see?" asked Featherstone.
1165_135216_000058_000000	"Something," said Melick, "but I can't quite make it out."	"Something," said Melick, "but I can't quite make it out."
1165_135216_000059_000000	"If you can't make it out, then shake it out," said Oxenden.	"If you can't make it out, then shake it out," said Oxenden.
1165_135216_000060_000000	Upon this Melick took the cylinder, turned it upside down, shook it smartly, and then lifted it and pounded it against the deck.	Upon this Melick took the cylinder, turned it upside down, shook it smartly, and then lifted it and pounded it against the deck.
1165_135216_000060_000001	This served to loosen the contents, which seemed tightly packed, but came gradually down until at length they could be seen and drawn forth. Melick drew them forth, and the contents of the mysterious copper cylinder resolved themselves into two packages.	This served to loosen the contents, which seemed tightly packed, but came gradually down until at length they could be seen and drawn forth. Melick drew them forth, and the contents of the mysterious copper cylinder resolved themselves into two packages.
1165_135216_000061_000001	What could they be?	What could they be?
1165_135216_000062_000000	One of the packages was very much larger than the other.	One of the packages was very much larger than the other.
1165_135216_000062_000001	It was enclosed in wrappers made of some coarse kind of felt, bound tight with strong cords.	It was enclosed in wrappers made of some coarse kind of felt, bound tight with strong cords.
1165_135216_000062_000003	This Melick seized and began to open.	This Melick seized and began to open.
1165_135216_000063_000000	"Wait a minute," said Featherstone.	"Wait a minute," said Featherstone.
1165_135216_000063_000001	"Let's make a bet on it.	"Let's make a bet on it.
1165_135216_000064_000000	"Done," said Oxenden.	"Done," said Oxenden.
1165_135216_000065_000000	Melick opened the package, and it was seen that Featherstone had lost. There were no jewels, but one or two sheets of something that looked like paper.	Melick opened the package, and it was seen that Featherstone had lost. There were no jewels, but one or two sheets of something that looked like paper.
1165_135216_000065_000001	It was not paper, however, but some vegetable product which was used for the same purpose.	It was not paper, however, but some vegetable product which was used for the same purpose.
1165_135216_000065_000003	These sheets were covered with writing.	These sheets were covered with writing.
1165_135216_000066_000001	"Why, this is English!"	"Why, this is English!"
1165_135216_000067_000000	At this the others crowded around to look on, and Featherstone in his excitement forgot that he had lost his bet.	At this the others crowded around to look on, and Featherstone in his excitement forgot that he had lost his bet.
1165_135216_000067_000001	There were three sheets, all covered with writing--one in English, another in French, and a third in German.	There were three sheets, all covered with writing-one in English, another in French, and a third in German.
1165_135216_000068_000000	It was as follows:	It was as follows:
1165_135216_000069_000000	"To the finder of this:	"To the finder of this:
1165_135216_000070_000000	"Sir,--I am an Englishman, and have been carried by a series of incredible events to a land from which escape is as impossible as from the grave.	"Sir,--I am an Englishman, and have been carried by a series of incredible events to a land from which escape is as impossible as from the grave.
1165_135216_000070_000001	I have written this and committed it to the sea, in the hope that the ocean currents may bear it within the reach of civilized man.	I have written this and committed it to the sea, in the hope that the ocean currents may bear it within the reach of civilized man.
1165_135216_000070_000002	Oh, unknown friend! whoever you are.	Oh, unknown friend! whoever you are.
1165_135216_000070_000003	I entreat you to let this message be made known in some way to my father, Henry More, Keswick, Cumberland, England, so that he may learn the fate of his son.	I entreat you to let this message be made known in some way to my father, Henry More, Keswick, Cumberland, England, so that he may learn the fate of his son.
1165_135216_000071_000000	"ADAM MORE."	"ADAM MORE."
1165_135216_000073_000000	"This other package must be the manuscript," said Oxenden, "and it'll tell all about it."	"This other package must be the manuscript," said Oxenden, "and it'll tell all about it."
1165_135216_000074_000000	"Such a manuscript'll be better than meat," said the doctor, sententiously.	"Such a manuscript'll be better than meat," said the doctor, sententiously.
1165_135216_000075_000000	Melick said nothing, but, opening his knife, he cut the cords and unfolded the wrapper.	Melick said nothing, but, opening his knife, he cut the cords and unfolded the wrapper.
1165_135216_000075_000001	He saw a great collection of leaves, just like those of the letter, of some vegetable substance, smooth as paper, and covered with writing.	He saw a great collection of leaves, just like those of the letter, of some vegetable substance, smooth as paper, and covered with writing.
1165_135216_000076_000000	"It looks like Egyptian papyrus," said the doctor.	"It looks like Egyptian papyrus," said the doctor.
1165_135216_000076_000001	"That was the common paper of antiquity."	"That was the common paper of antiquity."
1165_135216_000077_000001	"Let's have the contents of the manuscript.	"Let's have the contents of the manuscript.
