1058_133263_000000_000000	Chapter II: Origin Of The Anglo-Americans--Part I	Chapter two: Origin Of The Anglo Americans-Part one	false	38.97	49	20.84181
1058_133263_000006_000002	The men of the sixteenth century are almost as well known to us as our contemporaries.	The men of the sixteenth century are almost as well known to us as our contemporaries.	true	345.92	352.57	14
1058_133263_000006_000003	America, consequently, exhibits in the broad light of day the phenomena which the ignorance or rudeness of earlier ages conceals from our researches. Near enough to the time when the states of America were founded, to be accurately acquainted with their elements, and sufficiently removed from that period to judge of some of their results, the men of our own day seem destined to see further than their predecessors into the series of human events.	America, consequently, exhibits in the broad light of day the phenomena which the ignorance or rudeness of earlier ages conceals from our researches. Near enough to the time when the states of America were founded, to be accurately acquainted with their elements, and sufficiently removed from that period to judge of some of their results, the men of our own day seem destined to see further than their predecessors into the series of human events.	false	353.21	389.47	15
1058_133263_000006_000004	Providence has given us a torch which our forefathers did not possess, and has allowed us to discern fundamental causes in the history of the world which the obscurity of the past concealed from them.	Providence has given us a torch which our forefathers did not possess, and has allowed us to discern fundamental causes in the history of the world which the obscurity of the past concealed from them.	true	390.41	406.21	15
1058_133263_000006_000005	If we carefully examine the social and political state of America, after having studied its history, we shall remain perfectly convinced that not an opinion, not a custom, not a law, I may even say not an event, is upon record which the origin of that people will not explain. The readers of this book will find the germ of all that is to follow in the present chapter, and the key to almost the whole work.	If we carefully examine the social and political state of America, after having studied its history, we shall remain perfectly convinced that not an opinion, not a custom, not a law, I may even say not an event, is upon record which the origin of that people will not explain. The readers of this book will find the germ of all that is to follow in the present chapter, and the key to almost the whole work.	true	406.82	440.05	16
1058_133263_000007_000000	The emigrants who came, at different periods to occupy the territory now covered by the American Union differed from each other in many respects; their aim was not the same, and they governed themselves on different principles.	The emigrants who came, at different periods to occupy the territory now covered by the American Union differed from each other in many respects; their aim was not the same, and they governed themselves on different principles.	true	441.86	459.73	17
1058_133263_000007_000001	These men had, however, certain features in common, and they were all placed in an analogous situation.	These men had, however, certain features in common, and they were all placed in an analogous situation.	true	460.67	469.36	16
1058_133263_000007_000002	The tie of language is perhaps the strongest and the most durable that can unite mankind.	The tie of language is perhaps the strongest and the most durable that can unite mankind.	true	470.03	476.98	15
1058_133263_000007_000003	All the emigrants spoke the same tongue; they were all offsets from the same people.	All the emigrants spoke the same tongue; they were all offsets from the same people.	true	477.92	484.54	18
1058_133263_000007_000004	Born in a country which had been agitated for centuries by the struggles of faction, and in which all parties had been obliged in their turn to place themselves under the protection of the laws, their political education had been perfected in this rude school, and they were more conversant with the notions of right and the principles of true freedom than the greater part of their European contemporaries.	Born in a country which had been agitated for centuries by the struggles of faction, and in which all parties had been obliged in their turn to place themselves under the protection of the laws, their political education had been perfected in this rude school, and they were more conversant with the notions of right and the principles of true freedom than the greater part of their European contemporaries.	true	485.27	514.96	15
1058_133263_000007_000005	At the period of their first emigrations the parish system, that fruitful germ of free institutions, was deeply rooted in the habits of the English; and with it the doctrine of the sovereignty of the people had been introduced into the bosom of the monarchy of the House of Tudor.	At the period of their first emigrations the parish system, that fruitful germ of free institutions, was deeply rooted in the habits of the English; and with it the doctrine of the sovereignty of the people had been introduced into the bosom of the monarchy of the House of Tudor.	true	515.99	537.01	15
1058_133263_000008_000000	The religious quarrels which have agitated the Christian world were then rife.	The religious quarrels which have agitated the Christian world were then rife.	true	538.4	543.85	14
1058_133263_000008_000001	England had plunged into the new order of things with headlong vehemence.	England had plunged into the new order of things with headlong vehemence.	true	544.58	549.76	13
1058_133263_000008_000002	The character of its inhabitants, which had always been sedate and reflective, became argumentative and austere.	The character of its inhabitants, which had always been sedate and reflective, became argumentative and austere.	true	550.49	559.39	17
1058_133263_000008_000003	General information had been increased by intellectual debate, and the mind had received a deeper cultivation.	General information had been increased by intellectual debate, and the mind had received a deeper cultivation.	true	560.12	568.57	15
1058_133263_000008_000004	Whilst religion was the topic of discussion, the morals of the people were reformed.	Whilst religion was the topic of discussion, the morals of the people were reformed.	true	569.63	575.65	13
1058_133263_000008_000005	All these national features are more or less discoverable in the physiognomy of those adventurers who came to seek a new home on the opposite shores of the Atlantic.	All these national features are more or less discoverable in the physiognomy of those adventurers who came to seek a new home on the opposite shores of the Atlantic.	true	576.32	589.51	16
1058_133263_000009_000000	Another remark, to which we shall hereafter have occasion to recur, is applicable not only to the English, but to the French, the Spaniards, and all the Europeans who successively established themselves in the New World.	Another remark, to which we shall hereafter have occasion to recur, is applicable not only to the English, but to the French, the Spaniards, and all the Europeans who successively established themselves in the New World.	true	590.3	608.2	17
1058_133263_000009_000001	All these European colonies contained the elements, if not the development, of a complete democracy.	All these European colonies contained the elements, if not the development, of a complete democracy.	true	609.29	617.53	16
1058_133263_000009_000002	Two causes led to this result.	Two causes led to this result.	true	618.59	621.01	14
1058_133263_000009_000003	It may safely be advanced, that on leaving the mother-country the emigrants had in general no notion of superiority over one another.	It may safely be advanced, that on leaving the mother country the emigrants had in general no notion of superiority over one another.	true	621.59	631.72	15
1058_133263_000009_000004	The happy and the powerful do not go into exile, and there are no surer guarantees of equality among men than poverty and misfortune.	The happy and the powerful do not go into exile, and there are no surer guarantees of equality among men than poverty and misfortune.	true	632.33	643.9	14
1058_133263_000009_000005	It happened, however, on several occasions, that persons of rank were driven to America by political and religious quarrels.	It happened, however, on several occasions, that persons of rank were driven to America by political and religious quarrels.	true	644.78	654.7	16
1058_133263_000009_000006	Laws were made to establish a gradation of ranks; but it was soon found that the soil of America was opposed to a territorial aristocracy.	Laws were made to establish a gradation of ranks; but it was soon found that the soil of America was opposed to a territorial aristocracy.	false	655.67	668.29	15
1058_133263_000009_000007	To bring that refractory land into cultivation, the constant and interested exertions of the owner himself were necessary; and when the ground was prepared, its produce was found to be insufficient to enrich a master and a farmer at the same time. The land was then naturally broken up into small portions, which the proprietor cultivated for himself.	To bring that refractory land into cultivation, the constant and interested exertions of the owner himself were necessary; and when the ground was prepared, its produce was found to be insufficient to enrich a master and a farmer at the same time. The land was then naturally broken up into small portions, which the proprietor cultivated for himself.	true	669.35	697.66	16
1058_133263_000009_000008	Land is the basis of an aristocracy, which clings to the soil that supports it; for it is not by privileges alone, nor by birth, but by landed property handed down from generation to generation, that an aristocracy is constituted.	Land is the basis of an aristocracy, which clings to the soil that supports it; for it is not by privileges alone, nor by birth, but by landed property handed down from generation to generation, that an aristocracy is constituted.	true	698.06	718.81	17.940308
1058_133263_000009_000009	A nation may present immense fortunes and extreme wretchedness, but unless those fortunes are territorial there is no aristocracy, but simply the class of the rich and that of the poor.	A nation may present immense fortunes and extreme wretchedness, but unless those fortunes are territorial there is no aristocracy, but simply the class of the rich and that of the poor.	true	718.91	733.84	16
1058_133263_000010_000000	All the British colonies had then a great degree of similarity at the epoch of their settlement.	All the British colonies had then a great degree of similarity at the epoch of their settlement.	true	736.55	743.8	15
1058_133263_000010_000001	All of them, from their first beginning, seemed destined to witness the growth, not of the aristocratic liberty of their mother-country, but of that freedom of the middle and lower orders of which the history of the world had as yet furnished no complete example.	All of them, from their first beginning, seemed destined to witness the growth, not of the aristocratic liberty of their mother country, but of that freedom of the middle and lower orders of which the history of the world had as yet furnished no complete example.	false	744.32	765.43	15
1058_133263_000011_000000	In this general uniformity several striking differences were however discernible, which it is necessary to point out.	In this general uniformity several striking differences were however discernible, which it is necessary to point out.	false	765.68	774.97	16
1058_133263_000011_000001	Two branches may be distinguished in the Anglo-American family, which have hitherto grown up without entirely commingling; the one in the South, the other in the North.	Two branches may be distinguished in the Anglo American family, which have hitherto grown up without entirely commingling; the one in the South, the other in the North.	true	776	789.34	15
1058_133263_000012_000000	Virginia received the first English colony; the emigrants took possession of it in 1607.	Virginia received the first English colony; the emigrants took possession of it in sixteen o seven.	true	789.86	797.32	16
1058_133263_000012_000001	The idea that mines of gold and silver are the sources of national wealth was at that time singularly prevalent in Europe; a fatal delusion, which has done more to impoverish the nations which adopted it, and has cost more lives in America, than the united influence of war and bad laws.	The idea that mines of gold and silver are the sources of national wealth was at that time singularly prevalent in Europe; a fatal delusion, which has done more to impoverish the nations which adopted it, and has cost more lives in America, than the united influence of war and bad laws.	false	798.14	822.48	17
1058_133263_000012_000002	The men sent to Virginia *a were seekers of gold, adventurers, without resources and without character, whose turbulent and restless spirit endangered the infant colony, *b and rendered its progress uncertain.	The men sent to Virginia asterisk a were seekers of gold, adventurers, without resources and without character, whose turbulent and restless spirit endangered the infant colony, asterisk b and rendered its progress uncertain.	false	822.48	839.92	17.827614
1058_133263_000012_000003	The artisans and agriculturists arrived afterwards; and, although they were a more moral and orderly race of men, they were in nowise above the level of the inferior classes in England.	The artisans and agriculturists arrived afterwards; and, although they were a more moral and orderly race of men, they were in nowise above the level of the inferior classes in England.	false	840.32	855.93	15
1058_133263_000012_000004	*c No lofty conceptions, no intellectual system, directed the foundation of these new settlements.	asterisk c No lofty conceptions, no intellectual system, directed the foundation of these new settlements.	false	855.93	864.67	18.269484
1058_133263_000012_000005	The colony was scarcely established when slavery was introduced, *d and this was the main circumstance which has exercised so prodigious an influence on the character, the laws, and all the future prospects of the South.	The colony was scarcely established when slavery was introduced, asterisk d and this was the main circumstance which has exercised so prodigious an influence on the character, the laws, and all the future prospects of the South.	false	865.49	882.46	16
1058_133263_000012_000006	Slavery, as we shall afterwards show, dishonors labor; it introduces idleness into society, and with idleness, ignorance and pride, luxury and distress.	Slavery, as we shall afterwards show, dishonors labor; it introduces idleness into society, and with idleness, ignorance and pride, luxury and distress.	true	882.89	898.27	17.321161
1058_133263_000012_000007	It enervates the powers of the mind, and benumbs the activity of man.	It enervates the powers of the mind, and benumbs the activity of man.	true	899.42	905.38	14
1058_133263_000012_000008	The influence of slavery, united to the English character, explains the manners and the social condition of the Southern States.	The influence of slavery, united to the English character, explains the manners and the social condition of the Southern States.	true	906.23	916.02	16
1058_133263_000013_000000	[Footnote a: The charter granted by the Crown of England in 1609 stipulated, amongst other conditions, that the adventurers should pay to the Crown a fifth of the produce of all gold and silver mines.	[Footnote a: The charter granted by the Crown of England in sixteen o nine stipulated, amongst other conditions, that the adventurers should pay to the Crown a fifth of the produce of all gold and silver mines.	false	916.02	919.14	20.857042
1058_133263_000013_000001	See Marshall's "Life of Washington," vol. i.	See Marshall's "Life of Washington," vol i.	false	919.14	919.14	
1058_133263_000013_000002	pp. 18-66.] [Footnote b: A large portion of the adventurers, says Stith ("History of Virginia"), were unprincipled young men of family, whom their parents were glad to ship off, discharged servants, fraudulent bankrupts, or debauchees; and others of the same class, people more apt to pillage and destroy than to assist the settlement, were the seditious chiefs, who easily led this band into every kind of extravagance and excess.	p p. eighteen to sixty six.] [Footnote b: A large portion of the adventurers, says Stith ("History of Virginia"), were unprincipled young men of family, whom their parents were glad to ship off, discharged servants, fraudulent bankrupts, or debauchees; and others of the same class, people more apt to pillage and destroy than to assist the settlement, were the seditious chiefs, who easily led this band into every kind of extravagance and excess.	false	919.14	919.14	
1058_133263_000013_000003	See for the history of Virginia the following works:--	See for the history of Virginia the following works:--	false	919.14	919.14	
1058_133263_000014_000000	"History of Virginia, from the First Settlements in the year 1624," by Smith.	"History of Virginia, from the First Settlements in the year sixteen twenty four," by Smith.	false	919.14	919.14	
1058_133263_000015_000000	"History of Virginia," by William Stith.	"History of Virginia," by William Stith.	false	919.14	919.14	
1058_133263_000016_000000	"History of Virginia, from the Earliest Period," by Beverley.]	"History of Virginia, from the Earliest Period," by Beverley.]	false	919.14	919.14	
1058_133263_000017_000000	[Footnote c: It was not till some time later that a certain number of rich English capitalists came to fix themselves in the colony.]	[Footnote c: It was not till some time later that a certain number of rich English capitalists came to fix themselves in the colony.]	false	919.14	919.14	
1058_133263_000018_000000	[Footnote d: Slavery was introduced about the year 1620 by a Dutch vessel which landed twenty negroes on the banks of the river James.	[Footnote d: Slavery was introduced about the year sixteen twenty by a Dutch vessel which landed twenty negroes on the banks of the river james.	false	919.14	919.14	
1058_133263_000018_000001	See Chalmer.]	See Chalmer.]	false	919.14	919.14	
1058_133263_000019_000000	In the North, the same English foundation was modified by the most opposite shades of character; and here I may be allowed to enter into some details.	In the North, the same English foundation was modified by the most opposite shades of character; and here I may be allowed to enter into some details.	false	919.14	930.28	16
1058_133263_000019_000001	The two or three main ideas which constitute the basis of the social theory of the United States were first combined in the Northern English colonies, more generally denominated the States of New England.	The two or three main ideas which constitute the basis of the social theory of the United States were first combined in the Northern English colonies, more generally denominated the States of New England.	true	931.01	946.77	16
1058_133263_000019_000002	*e The principles of New England spread at first to the neighboring states; they then passed successively to the more distant ones; and at length they imbued the whole Confederation.	asterisk e The principles of New England spread at first to the neighboring states; they then passed successively to the more distant ones; and at length they imbued the whole Confederation.	false	946.77	962.17	17.022217
1058_133263_000019_000003	They now extend their influence beyond its limits over the whole American world.	They now extend their influence beyond its limits over the whole American world.	true	962.96	969.19	14
1058_133263_000019_000004	The civilization of New England has been like a beacon lit upon a hill, which, after it has diffused its warmth around, tinges the distant horizon with its glow.	The civilization of New England has been like a beacon lit upon a hill, which, after it has diffused its warmth around, tinges the distant horizon with its glow.	true	969.56	982.2	16
1058_133263_000020_000000	[Footnote e: The States of New England are those situated to the east of the Hudson; they are now six in number: 1, Connecticut; 2, Rhode Island; 3, Massachusetts; 4, Vermont; 5, New Hampshire; 6, Maine.]	[Footnote e: The States of New England are those situated to the east of the Hudson; they are now six in number: one, Connecticut; two, Rhode Island; three, Massachusetts; four, Vermont; five, New Hampshire; six, Maine.]	false	982.2	984.33	13
1058_133263_000021_000000	The foundation of New England was a novel spectacle, and all the circumstances attending it were singular and original.	The foundation of New England was a novel spectacle, and all the circumstances attending it were singular and original.	false	984.33	992.86	15
1058_133263_000021_000001	The large majority of colonies have been first inhabited either by men without education and without resources, driven by their poverty and their misconduct from the land which gave them birth, or by speculators and adventurers greedy of gain.	The large majority of colonies have been first inhabited either by men without education and without resources, driven by their poverty and their misconduct from the land which gave them birth, or by speculators and adventurers greedy of gain.	true	993.53	1012.63	14
1058_133263_000021_000002	Some settlements cannot even boast so honorable an origin; St. Domingo was founded by buccaneers; and the criminal courts of England originally supplied the population of Australia.	Some settlements cannot even boast so honorable an origin; st Domingo was founded by buccaneers; and the criminal courts of England originally supplied the population of Australia.	false	1013.57	1028.83	15
1058_133263_000022_000000	The settlers who established themselves on the shores of New England all belonged to the more independent classes of their native country.	The settlers who established themselves on the shores of New England all belonged to the more independent classes of their native country.	true	1030.19	1039.69	14
1058_133263_000022_000001	Their union on the soil of America at once presented the singular phenomenon of a society containing neither lords nor common people, neither rich nor poor.	Their union on the soil of America at once presented the singular phenomenon of a society containing neither lords nor common people, neither rich nor poor.	true	1040.48	1053.94	14
1058_133263_000022_000002	These men possessed, in proportion to their number, a greater mass of intelligence than is to be found in any European nation of our own time.	These men possessed, in proportion to their number, a greater mass of intelligence than is to be found in any European nation of our own time.	true	1054.67	1065.52	15
1058_133263_000022_000003	All, without a single exception, had received a good education, and many of them were known in Europe for their talents and their acquirements.	All, without a single exception, had received a good education, and many of them were known in Europe for their talents and their acquirements.	true	1066.73	1077.52	17
1058_133263_000022_000004	The other colonies had been founded by adventurers without family; the emigrants of New England brought with them the best elements of order and morality--they landed in the desert accompanied by their wives and children.	The other colonies had been founded by adventurers without family; the emigrants of New England brought with them the best elements of order and morality-they landed in the desert accompanied by their wives and children.	true	1078.25	1094.08	14
1058_133263_000022_000005	But what most especially distinguished them was the aim of their undertaking.	But what most especially distinguished them was the aim of their undertaking.	true	1094.63	1099.93	13
1058_133263_000022_000006	They had not been obliged by necessity to leave their country; the social position they abandoned was one to be regretted, and their means of subsistence were certain.	They had not been obliged by necessity to leave their country; the social position they abandoned was one to be regretted, and their means of subsistence were certain.	true	1100.66	1112.92	16
1058_133263_000022_000007	Nor did they cross the Atlantic to improve their situation or to increase their wealth; the call which summoned them from the comforts of their homes was purely intellectual; and in facing the inevitable sufferings of exile their object was the triumph of an idea.	Nor did they cross the Atlantic to improve their situation or to increase their wealth; the call which summoned them from the comforts of their homes was purely intellectual; and in facing the inevitable sufferings of exile their object was the triumph of an idea.	true	1113.74	1133.71	15
1058_133263_000023_000000	The emigrants, or, as they deservedly styled themselves, the Pilgrims, belonged to that English sect the austerity of whose principles had acquired for them the name of Puritans.	The emigrants, or, as they deservedly styled themselves, the Pilgrims, belonged to that English sect the austerity of whose principles had acquired for them the name of Puritans.	true	1134.47	1149.13	17.165535
1058_133263_000023_000001	Puritanism was not merely a religious doctrine, but it corresponded in many points with the most absolute democratic and republican theories.	Puritanism was not merely a religious doctrine, but it corresponded in many points with the most absolute democratic and republican theories.	true	1149.77	1161.7	17
1058_133263_000023_000002	It was this tendency which had aroused its most dangerous adversaries.	It was this tendency which had aroused its most dangerous adversaries.	true	1164.29	1169.56	14
1058_133263_000023_000003	Persecuted by the Government of the mother-country, and disgusted by the habits of a society opposed to the rigor of their own principles, the Puritans went forth to seek some rude and unfrequented part of the world, where they could live according to their own opinions, and worship God in freedom.	Persecuted by the Government of the mother country, and disgusted by the habits of a society opposed to the rigor of their own principles, the Puritans went forth to seek some rude and unfrequented part of the world, where they could live according to their own opinions, and worship God in freedom.	true	1170.38	1194.22	19
1058_133263_000024_000000	A few quotations will throw more light upon the spirit of these pious adventures than all we can say of them.	A few quotations will throw more light upon the spirit of these pious adventures than all we can say of them.	true	1194.92	1203.91	17.611698
1058_133263_000024_000001	Nathaniel Morton, *f the historian of the first years of the settlement, thus opens his subject:	Nathaniel Morton, asterisk f the historian of the first years of the settlement, thus opens his subject:	false	1204.1	1211.07	19
1058_133263_000025_000000	[Footnote f: "New England's Memorial," p. 13; Boston, 1826.	[Footnote f: "New England's Memorial," p. thirteen; Boston, eighteen twenty six.	false	1211.07	1212	22.692724
1058_133263_000025_000001	See also "Hutchinson's History," vol. ii.	See also "Hutchinson's History," vol ii.	false	1212	1212.54	-20
1058_133263_000025_000002	p. 440.]	p. four hundred forty.]	false	1212.54	1212.9	14
1058_133263_000026_000000	"Gentle Reader,--I have for some length of time looked upon it as a duty incumbent, especially on the immediate successors of those that have had so large experience of those many memorable and signal demonstrations of God's goodness, viz., the first beginners of this Plantation in New England, to commit to writing his gracious dispensations on that behalf; having so many inducements thereunto, not onely otherwise but so plentifully in the Sacred Scriptures: that so, what we have seen, and what our fathers have told us (Psalm lxxviii.	"Gentle Reader,--I have for some length of time looked upon it as a duty incumbent, especially on the immediate successors of those that have had so large experience of those many memorable and signal demonstrations of God's goodness, viz., the first beginners of this Plantation in New England, to commit to writing his gracious dispensations on that behalf; having so many inducements thereunto, not onely otherwise but so plentifully in the Sacred Scriptures: that so, what we have seen, and what our fathers have told us (psalm l x x v i i i.	false	1212.9	1257.33	18
1058_133263_000026_000001	3, 4), we may not hide from our children, showing to the generations to come the praises of the Lord; that especially the seed of Abraham his servant, and the children of Jacob his chosen (Psalm cv.	three, four), we may not hide from our children, showing to the generations to come the praises of the Lord; that especially the seed of Abraham his servant, and the children of Jacob his chosen (psalm c v.	false	1257.33	1271.28	16
1058_133263_000026_000002	5, 6), may remember his marvellous works in the beginning and progress of the planting of New England, his wonders and the judgments of his mouth; how that God brought a vine into this wilderness; that he cast out the heathen, and planted it; that he made room for it and caused it to take deep root; and it filled the land (Psalm lxxx.	five, six), may remember his marvellous works in the beginning and progress of the planting of New England, his wonders and the judgments of his mouth; how that God brought a vine into this wilderness; that he cast out the heathen, and planted it; that he made room for it and caused it to take deep root; and it filled the land (psalm l x x x.	false	1271.28	1297.26	18.096865
1058_133263_000026_000003	8, 9).	eight, nine).	false	1297.26	1297.38	-20
1058_133263_000026_000004	And not onely so, but also that he hath guided his people by his strength to his holy habitation and planted them in the mountain of his inheritance in respect of precious Gospel enjoyments: and that as especially God may have the glory of all unto whom it is most due; so also some rays of glory may reach the names of those blessed Saints that were the main instruments and the beginning of this happy enterprise."	And not onely so, but also that he hath guided his people by his strength to his holy habitation and planted them in the mountain of his inheritance in respect of precious Gospel enjoyments: and that as especially God may have the glory of all unto whom it is most due; so also some rays of glory may reach the names of those blessed Saints that were the main instruments and the beginning of this happy enterprise."	false	1297.38	1333.23	18
1058_133263_000027_000000	It is impossible to read this opening paragraph without an involuntary feeling of religious awe; it breathes the very savor of Gospel antiquity.	It is impossible to read this opening paragraph without an involuntary feeling of religious awe; it breathes the very savor of Gospel antiquity.	true	1333.23	1345.69	13
1058_133263_000027_000001	The sincerity of the author heightens his power of language. The band which to his eyes was a mere party of adventurers gone forth to seek their fortune beyond seas appears to the reader as the germ of a great nation wafted by Providence to a predestined shore.	The sincerity of the author heightens his power of language. The band which to his eyes was a mere party of adventurers gone forth to seek their fortune beyond seas appears to the reader as the germ of a great nation wafted by Providence to a predestined shore.	true	1346.12	1369.69	17
1058_133263_000028_000000	The author thus continues his narrative of the departure of the first pilgrims:--	The author thus continues his narrative of the departure of the first pilgrims:--	false	1369.85	1377.09	16
1058_133263_000029_000000	"So they left that goodly and pleasant city of Leyden, *g which had been their resting-place for above eleven years; but they knew that they were pilgrims and strangers here below, and looked not much on these things, but lifted up their eyes to Heaven, their dearest country, where God hath prepared for them a city (Heb. xi. 16), and therein quieted their spirits.	"So they left that goodly and pleasant city of Leyden, asterisk g which had been their resting place for above eleven years; but they knew that they were pilgrims and strangers here below, and looked not much on these things, but lifted up their eyes to Heaven, their dearest country, where God hath prepared for them a city (Heb. xi. sixteen), and therein quieted their spirits.	false	1377.09	1403.56	18.495174
1058_133263_000029_000001	When they came to Delfs-Haven they found the ship and all things ready; and such of their friends as could not come with them followed after them, and sundry came from Amsterdam to see them shipt, and to take their leaves of them.	When they came to Delfs Haven they found the ship and all things ready; and such of their friends as could not come with them followed after them, and sundry came from Amsterdam to see them shipt, and to take their leaves of them.	false	1403.66	1420.3	18
1058_133263_000029_000002	One night was spent with little sleep with the most, but with friendly entertainment and Christian discourse, and other real expressions of true Christian love.	One night was spent with little sleep with the most, but with friendly entertainment and Christian discourse, and other real expressions of true Christian love.	true	1420.43	1431.73	18
1058_133263_000029_000003	The next day they went on board, and their friends with them, where truly doleful was the sight of that sad and mournful parting, to hear what sighs and sobs and prayers did sound amongst them; what tears did gush from every eye, and pithy speeches pierced each other's heart, that sundry of the Dutch strangers that stood on the Key as spectators could not refrain from tears.	The next day they went on board, and their friends with them, where truly doleful was the sight of that sad and mournful parting, to hear what sighs and sobs and prayers did sound amongst them; what tears did gush from every eye, and pithy speeches pierced each other's heart, that sundry of the Dutch strangers that stood on the Key as spectators could not refrain from tears.	true	1432.25	1461.76	16
