6518_66470_000000_000000	NOVEMBER	NOVEMBER	false	1.02	11.34	25.429913
6518_66470_000030_000000	My poor clay-sparrow seems turned to a stone, And from my heart will neither fly nor run. I cannot feel as thou and I both would, But, Father, I am willing--make me good. What art thou father for, but to help thy son? Look deep, yet deeper, in my heart, and there, Beyond where I can feel, read thou the prayer.	My poor clay sparrow seems turned to a stone, And from my heart will neither fly nor run. I cannot feel as thou and I both would, But, Father, I am willing-make me good. What art thou father for, but to help thy son? Look deep, yet deeper, in my heart, and there, Beyond where I can feel, read thou the prayer.	false	362.79	364.65	48.19455
6518_66470_000031_000000	16.	sixteen.	true	364.65	365.68	30.23966
6518_66470_000032_000000	Oh what it were to be right sure of thee! Sure that thou art, and the same as thy son, Jesus! Oh, faith is deeper, wider than the sea, Yea, than the blue of heaven that ever flees us! Yet simple as the cry of sore-hurt child, Or as his shout, with sudden gladness wild, When home from school he runs, till morn set free.	Oh what it were to be right sure of thee! Sure that thou art, and the same as thy son, Jesus! Oh, faith is deeper, wider than the sea, Yea, than the blue of heaven that ever flees us! Yet simple as the cry of sore hurt child, Or as his shout, with sudden gladness wild, When home from school he runs, till morn set free.	false	366.53	390.15	24.423513
6518_66470_000033_000000	17.	seventeen.	true	390.15	391.24	22.265572
6518_66470_000034_000000	If I were sure thou, Father, verily art, True father of the Nazarene as true, Sure as I am of my wife's shielding heart, Sure as of sunrise in the watching blue, Sure as I am that I do eat and drink, And have a heart to love and laugh and think, Meseems in flame the joy might from my body start.	If I were sure thou, Father, verily art, True father of the Nazarene as true, Sure as I am of my wife's shielding heart, Sure as of sunrise in the watching blue, Sure as I am that I do eat and drink, And have a heart to love and laugh and think, Meseems in flame the joy might from my body start.	false	391.91	413.58	22.286156
6518_66470_000035_000000	18.	eighteen.	true	413.58	414.49	25.06378
6518_66470_000036_000000	But I must know thee in a deeper way Than any of these ways, or know thee not; My heart at peace far loftier proof must lay Than if the wind thou me the wave didst roll, Than if I lay before thee a sunny spot, Or knew thee as the body knows its soul, Or even as the part doth know its perfect whole.	But I must know thee in a deeper way Than any of these ways, or know thee not; My heart at peace far loftier proof must lay Than if the wind thou me the wave didst roll, Than if I lay before thee a sunny spot, Or knew thee as the body knows its soul, Or even as the part doth know its perfect whole.	false	415.1	437.07	25.954725
6518_66470_000037_000000	19.	nineteen.	true	437.07	438.52	23.721401
6518_66470_000038_000000	There is no word to tell how I must know thee; No wind clasped ever a low meadow-flower So close that as to nearness it could show thee; No rainbow so makes one the sun and shower. A something with thee, I am a nothing fro' thee. Because I am not save as I am in thee, My soul is ever setting out to win thee.	There is no word to tell how I must know thee; No wind clasped ever a low meadow flower So close that as to nearness it could show thee; No rainbow so makes one the sun and shower. A something with thee, I am a nothing fro' thee. Because I am not save as I am in thee, My soul is ever setting out to win thee.	false	438.56	460.62	22.929304
6518_66470_000039_000000	20.	twenty.	false	460.62	462.24	29.992891
6518_66470_000040_000000	I know not how--for that I first must know thee. I know I know thee not as I would know thee, For my heart burns like theirs that did not know him, Till he broke bread, and therein they must know him. I know thee, knowing that I do not know thee, Nor ever shall till one with me I know thee-- Even as thy son, the eternal man, doth know thee.	I know not how-for that I first must know thee. I know I know thee not as I would know thee, For my heart burns like theirs that did not know him, Till he broke bread, and therein they must know him. I know thee, knowing that I do not know thee, Nor ever shall till one with me I know thee- Even as thy son, the eternal man, doth know thee.	false	462.24	485.7	23.920223
6518_66470_000041_000000	21.	twenty one.	false	485.7	487.11	22.770664
6518_66470_000042_000000	Creation under me, in, and above, Slopes upward from the base, a pyramid, On whose point I shall stand at last, and love. From the first rush of vapour at thy will, To the last poet-word that darkness chid, Thou hast been sending up creation's hill, To lift thy souls aloft in faithful Godhead free.	Creation under me, in, and above, Slopes upward from the base, a pyramid, On whose point I shall stand at last, and love. From the first rush of vapour at thy will, To the last poet word that darkness chid, Thou hast been sending up creation's hill, To lift thy souls aloft in faithful Godhead free.	false	487.11	507.18	23.388008
6518_66470_000043_000000	22.	twenty two.	false	507.18	508.8	28.643946
6518_66470_000044_000000	I think my thought, and fancy I think thee.-- Lord, wake me up; rend swift my coffin-planks; I pray thee, let me live--alive and free. My soul will break forth in melodious thanks, Aware at last what thou wouldst have it be, When thy life shall be light in me, and when My life to thine is answer and amen.	I think my thought, and fancy I think thee.-- Lord, wake me up; rend swift my coffin planks; I pray thee, let me live-alive and free. My soul will break forth in melodious thanks, Aware at last what thou wouldst have it be, When thy life shall be light in me, and when My life to thine is answer and amen.	false	508.8	531.12	23.474323
6518_66470_000045_000000	23.	twenty three.	false	531.12	532.92	28.17303
6518_66470_000046_000000	How oft I say the same things in these lines! Even as a man, buried in during dark, Turns ever where the edge of twilight shines, Prays ever towards the vague eternal mark; Or as the sleeper, having dreamed he drinks, Back straightway into thirstful dreaming sinks, So turns my will to thee, for thee still longs, still pines.	How oft I say the same things in these lines! Even as a man, buried in during dark, Turns ever where the edge of twilight shines, Prays ever towards the vague eternal mark; Or as the sleeper, having dreamed he drinks, Back straightway into thirstful dreaming sinks, So turns my will to thee, for thee still longs, still pines.	false	532.92	556.62	23.638895
6518_66470_000047_000000	24.	twenty four.	false	556.62	558.12	23.383518
6518_66470_000048_000000	The mortal man, all careful, wise, and troubled, The eternal child in the nursery doth keep. To-morrow on to-day the man heaps doubled; The child laughs, hopeful, even in his sleep. The man rebukes the child for foolish trust; The child replies, "Thy care is for poor dust; Be still, and let me wake that thou mayst sleep."	The mortal man, all careful, wise, and troubled, The eternal child in the nursery doth keep. To morrow on to day the man heaps doubled; The child laughs, hopeful, even in his sleep. The man rebukes the child for foolish trust; The child replies, "Thy care is for poor dust; Be still, and let me wake that thou mayst sleep."	false	558.12	581.52	23.772228
6518_66470_000049_000000	25.	twenty five.	false	581.52	582.87	27.395239
6518_66470_000050_000000	Till I am one, with oneness manifold, I must breed contradiction, strife, and doubt; Things tread Thy court--look real--take proving hold-- My Christ is not yet grown to cast them out; Alas! to me, false-judging 'twixt the twain, The Unseen oft fancy seems, while, all about, The Seen doth lord it with a mighty train.	Till I am one, with oneness manifold, I must breed contradiction, strife, and doubt; Things tread Thy court-look real-take proving hold- My Christ is not yet grown to cast them out; Alas! to me, false judging 'twixt the twain, The Unseen oft fancy seems, while, all about, The Seen doth lord it with a mighty train.	false	582.87	608.34	23.120995
6518_66470_000051_000000	26.	twenty six.	true	608.34	609.46	30.115149
6518_66470_000052_000000	But when the Will hath learned obedience royal, He straight will set the child upon the throne; To whom the seen things all, grown instant loyal, Will gather to his feet, in homage prone-- The child their master they have ever known; Then shall the visible fabric plainly lean On a Reality that never can be seen.	But when the Will hath learned obedience royal, He straight will set the child upon the throne; To whom the seen things all, grown instant loyal, Will gather to his feet, in homage prone- The child their master they have ever known; Then shall the visible fabric plainly lean On a Reality that never can be seen.	false	609.83	630.69	21.591785
6518_66470_000053_000000	27.	twenty seven.	false	630.69	632.67	22.24043
6518_66470_000054_000000	Thy ways are wonderful, maker of men! Thou gavest me a child, and I have fed And clothed and loved her, many a growing year; Lo! now a friend of months draws gently near, And claims her future--all beyond his ken-- There he hath never loved her nor hath led: She weeps and moans, but turns, and leaves her home so dear.	Thy ways are wonderful, maker of men! Thou gavest me a child, and I have fed And clothed and loved her, many a growing year; Lo! now a friend of months draws gently near, And claims her future-all beyond his ken- There he hath never loved her nor hath led: She weeps and moans, but turns, and leaves her home so dear.	false	632.67	656.79	23.694288
6518_66470_000055_000000	28.	twenty eight.	true	656.79	657.85	32.6958
6518_66470_000056_000000	She leaves, but not forsakes.	She leaves, but not forsakes.	true	658.1	660.37	23.893246
6518_66470_000056_000001	Oft in the night, Oft at mid-day when all is still around, Sudden will rise, in dim pathetic light, Some childish memory of household bliss, Or sorrow by love's service robed and crowned; Rich in his love, she yet will sometimes miss The mother's folding arms, the mother's sealing kiss.	Oft in the night, Oft at mid day when all is still around, Sudden will rise, in dim pathetic light, Some childish memory of household bliss, Or sorrow by love's service robed and crowned; Rich in his love, she yet will sometimes miss The mother's folding arms, the mother's sealing kiss.	false	660.56	681.72	22.401236
6518_66470_000057_000000	29.	twenty nine.	true	681.72	682.78	31.635353
6518_66470_000058_000000	Then first, I think, our eldest-born, although Loving, devoted, tender, watchful, dear, The innermost of home-bred love shall know! Yea, when at last the janitor draws near, A still, pale joy will through the darkness go, At thought of lying in those arms again, Which once were heaven enough for any pain.	Then first, I think, our eldest born, although Loving, devoted, tender, watchful, dear, The innermost of home bred love shall know! Yea, when at last the janitor draws near, A still, pale joy will through the darkness go, At thought of lying in those arms again, Which once were heaven enough for any pain.	false	683.18	705.48	23.348656
6518_66470_000059_000000	30.	thirty.	false	705.48	706.89	26.039785
6518_66470_000060_000000	By love doth love grow mighty in its love: Once thou shalt love us, child, as we love thee. Father of loves, is it not thy decree That, by our long, far-wandering remove From thee, our life, our home, our being blest, We learn at last to love thee true and best, And rush with all our loves back to thy infinite rest?	By love doth love grow mighty in its love: Once thou shalt love us, child, as we love thee. Father of loves, is it not thy decree That, by our long, far wandering remove From thee, our life, our home, our being blest, We learn at last to love thee true and best, And rush with all our loves back to thy infinite rest?	false	706.89	743.49	22.262398
