3549_8890_000000_000000	CHAPTER X.	CHAPTER ten
3549_8890_000016_000003	Every now and then the comparatively few remarks of the players at the round game were harshly intruded on by the measured jingle of Farmer Bawtree and the hollow-turner from the back of the room:	Every now and then the comparatively few remarks of the players at the round game were harshly intruded on by the measured jingle of Farmer Bawtree and the hollow turner from the back of the room:
3549_8890_000019_000000	The timber-merchant showed his feelings by talking with a satisfied sense of weight in his words, and by praising the party in a patronizing tone, when Winterborne expressed his fear that he and his were not enjoying themselves.	The timber merchant showed his feelings by talking with a satisfied sense of weight in his words, and by praising the party in a patronizing tone, when Winterborne expressed his fear that he and his were not enjoying themselves.
3549_8890_000020_000000	"Oh yes, yes; pretty much.	"Oh yes, yes; pretty much.
3549_8890_000020_000001	What handsome glasses those are!	What handsome glasses those are!
3549_8890_000020_000002	I didn't know you had such glasses in the house.	I didn't know you had such glasses in the house.
3549_8890_000020_000004	I can't get such coats.	I can't get such coats.
3549_8890_000020_000005	You dress better than I."	You dress better than i"
3549_8890_000021_000000	After supper there was a dance, the bandsmen from Great Hintock having arrived some time before.	After supper there was a dance, the bandsmen from Great Hintock having arrived some time before.
3549_8890_000021_000001	Grace had been away from home so long that she had forgotten the old figures, and hence did not join in the movement.	Grace had been away from home so long that she had forgotten the old figures, and hence did not join in the movement.
3549_8890_000021_000002	Then Giles felt that all was over.	Then Giles felt that all was over.
3549_8890_000021_000003	As for her, she was thinking, as she watched the gyrations, of a very different measure that she had been accustomed to tread with a bevy of sylph-like creatures in muslin, in the music-room of a large house, most of whom were now moving in scenes widely removed from this, both as regarded place and character.	As for her, she was thinking, as she watched the gyrations, of a very different measure that she had been accustomed to tread with a bevy of sylph like creatures in muslin, in the music room of a large house, most of whom were now moving in scenes widely removed from this, both as regarded place and character.
3549_8890_000022_000000	A woman she did not know came and offered to tell her fortune with the abandoned cards.	A woman she did not know came and offered to tell her fortune with the abandoned cards.
3549_8890_000022_000001	Grace assented to the proposal, and the woman told her tale unskilfully, for want of practice, as she declared.	Grace assented to the proposal, and the woman told her tale unskilfully, for want of practice, as she declared.
3549_8890_000023_000000	Mr. Melbury was standing by, and exclaimed, contemptuously, "Tell her fortune, indeed!	mr Melbury was standing by, and exclaimed, contemptuously, "Tell her fortune, indeed!
3549_8890_000023_000001	Her fortune has been told by men of science--what do you call 'em?	Her fortune has been told by men of science-what do you call 'em?
3549_8890_000023_000003	You can't teach her anything new.	You can't teach her anything new.
3549_8890_000023_000004	She's been too far among the wise ones to be astonished at anything she can hear among us folks in Hintock."	She's been too far among the wise ones to be astonished at anything she can hear among us folks in Hintock."
3549_8890_000024_000000	At last the time came for breaking up, Melbury and his family being the earliest to leave, the two card-players still pursuing their game doggedly in the corner, where they had completely covered Giles's mahogany table with chalk scratches.	At last the time came for breaking up, Melbury and his family being the earliest to leave, the two card players still pursuing their game doggedly in the corner, where they had completely covered Giles's mahogany table with chalk scratches.
3549_8890_000024_000001	The three walked home, the distance being short and the night clear.	The three walked home, the distance being short and the night clear.
3549_8890_000025_000000	"Well, Giles is a very good fellow," said Mr. Melbury, as they struck down the lane under boughs which formed a black filigree in which the stars seemed set.	"Well, Giles is a very good fellow," said mr Melbury, as they struck down the lane under boughs which formed a black filigree in which the stars seemed set.
3549_8890_000027_000000	When they were opposite an opening through which, by day, the doctor's house could be seen, they observed a light in one of his rooms, although it was now about two o'clock.	When they were opposite an opening through which, by day, the doctor's house could be seen, they observed a light in one of his rooms, although it was now about two o'clock.
3549_8890_000028_000000	"The doctor is not abed yet," said Mrs. Melbury.	"The doctor is not abed yet," said mrs Melbury.
3549_8890_000029_000000	"Hard study, no doubt," said her husband.	"Hard study, no doubt," said her husband.
3549_8890_000030_000000	"One would think that, as he seems to have nothing to do about here by day, he could at least afford to go to bed early at night.	"One would think that, as he seems to have nothing to do about here by day, he could at least afford to go to bed early at night.
3549_8890_000030_000001	'Tis astonishing how little we see of him."	'tis astonishing how little we see of him."
3549_8890_000031_000001	"It is natural enough," he replied.	"It is natural enough," he replied.
3549_8890_000031_000002	"What can a man of that sort find to interest him in Hintock?	"What can a man of that sort find to interest him in Hintock?
3549_8890_000031_000003	I don't expect he'll stay here long."	I don't expect he'll stay here long."
3549_8890_000033_000000	At this moment the two exclusive, chalk-mark men, having at last really finished their play, could be heard coming along in the rear, vociferously singing a song to march-time, and keeping vigorous step to the same in far-reaching strides--	At this moment the two exclusive, chalk mark men, having at last really finished their play, could be heard coming along in the rear, vociferously singing a song to march time, and keeping vigorous step to the same in far reaching strides-
3549_8890_000034_000000	"She may go, oh! She may go, oh! She may go to the d---- for me!"	"She may go, oh! She may go, oh! She may go to the d---- for me!"
3549_8890_000035_000000	The timber-merchant turned indignantly to Mrs. Melbury.	The timber merchant turned indignantly to mrs Melbury.
3549_8890_000035_000002	"For us old folk it didn't matter; but for Grace--Giles should have known better!"	"For us old folk it didn't matter; but for Grace-Giles should have known better!"
3549_8890_000036_000000	Meanwhile, in the empty house from which the guests had just cleared out, the subject of their discourse was walking from room to room surveying the general displacement of furniture with no ecstatic feeling; rather the reverse, indeed.	Meanwhile, in the empty house from which the guests had just cleared out, the subject of their discourse was walking from room to room surveying the general displacement of furniture with no ecstatic feeling; rather the reverse, indeed.
3549_8890_000036_000001	At last he entered the bakehouse, and found there Robert Creedle sitting over the embers, also lost in contemplation.	At last he entered the bakehouse, and found there Robert Creedle sitting over the embers, also lost in contemplation.
3549_8890_000037_000000	"Well, Robert, you must be tired.	"Well, Robert, you must be tired.
3549_8890_000038_000002	But 'tis well to think the day IS done, when 'tis done."	But 'tis well to think the day IS done, when 'tis done."
3549_8890_000039_000000	Winterborne had abstractedly taken the poker, and with a wrinkled forehead was ploughing abroad the wood-embers on the broad hearth, till it was like a vast scorching Sahara, with red-hot bowlders lying about everywhere.	Winterborne had abstractedly taken the poker, and with a wrinkled forehead was ploughing abroad the wood embers on the broad hearth, till it was like a vast scorching Sahara, with red hot bowlders lying about everywhere.
3549_8890_000039_000001	"Do you think it went off well, Creedle?" he asked.	"Do you think it went off well, Creedle?" he asked.
3549_8890_000040_000000	"The victuals did; that I know.	"The victuals did; that I know.
3549_8890_000040_000001	And the drink did; that I steadfastly believe, from the holler sound of the barrels.	And the drink did; that I steadfastly believe, from the holler sound of the barrels.
3549_8890_000040_000003	Still, I don't deny I'm afeared some things didn't go well with He and his." Creedle nodded in a direction which signified where the Melburys lived.	Still, I don't deny I'm afeared some things didn't go well with He and his." Creedle nodded in a direction which signified where the Melburys lived.
3549_8890_000041_000000	"I'm afraid, too, that it was a failure there!"	"I'm afraid, too, that it was a failure there!"
3549_8890_000042_000001	Not but what that snail might as well have come upon anybody else's plate as hers."	Not but what that snail might as well have come upon anybody else's plate as hers."
3549_8890_000043_000000	"What snail?"	"What snail?"
3549_8890_000047_000000	"But, Robert, of all places, that was where he shouldn't have been!"	"But, Robert, of all places, that was where he shouldn't have been!"
3549_8890_000048_000000	"Well, 'twas his native home, come to that; and where else could we expect him to be?	"Well, 'twas his native home, come to that; and where else could we expect him to be?
3549_8890_000048_000001	I don't care who the man is, snails and caterpillars always will lurk in close to the stump of cabbages in that tantalizing way."	I don't care who the man is, snails and caterpillars always will lurk in close to the stump of cabbages in that tantalizing way."
3549_8890_000049_000000	"He wasn't alive, I suppose?" said Giles, with a shudder on Grace's account.	"He wasn't alive, I suppose?" said Giles, with a shudder on Grace's account.
3549_8890_000050_000000	"Oh no.	"Oh no
3549_8890_000051_000000	"Oh yes--'tis all over!" murmured Giles to himself, shaking his head over the glooming plain of embers, and lining his forehead more than ever.	"Oh yes-'tis all over!" murmured Giles to himself, shaking his head over the glooming plain of embers, and lining his forehead more than ever.
3549_8890_000051_000001	"Do you know, Robert," he said, "that she's been accustomed to servants and everything superfine these many years?	"Do you know, Robert," he said, "that she's been accustomed to servants and everything superfine these many years?
3549_8890_000051_000002	How, then, could she stand our ways?"	How, then, could she stand our ways?"
