2573_178450_000000_000000	CHAPTER XX	CHAPTER twenty
2573_178450_000022_000001	You don't know what it means, keepin' property together these days--just keepin' it ALIVE, let alone makin' it grow the way I do.	You don't know what it means, keepin' property together these days-just keepin' it ALIVE, let alone makin' it grow the way I do.
2573_178450_000022_000002	I've seen too many estates hacked away in chunks, big and little.	I've seen too many estates hacked away in chunks, big and little.
2573_178450_000022_000004	Carried off?	Carried off?
2573_178450_000022_000005	I've seen a big fortune behave like an ash-barrel in a cyclone--there wasn't even a dust-heap left to tell where it stood!	I've seen a big fortune behave like an ash barrel in a cyclone-there wasn't even a dust heap left to tell where it stood!
2573_178450_000022_000009	I tell you this business life is no fool's job nowadays--a man's got to have eyes in the back of his head.	I tell you this business life is no fool's job nowadays-a man's got to have eyes in the back of his head.
2573_178450_000022_000012	This country's been fillin' up with it from all over the world for a good many years, and the old camp-meetin' days are dead and done with.	This country's been fillin' up with it from all over the world for a good many years, and the old camp meetin' days are dead and done with.
2573_178450_000022_000013	Church ain't what it used to be.	Church ain't what it used to be.
2573_178450_000022_000015	There's an awful ruction goin' on, and you got to keep hoppin' if you're goin' to keep your balance on the top of it.	There's an awful ruction goin' on, and you got to keep hoppin' if you're goin' to keep your balance on the top of it.
2573_178450_000022_000017	They run like bugs on the bottom of a board--after any piece o' money they hear is loose.	They run like bugs on the bottom of a board-after any piece o' money they hear is loose.
2573_178450_000022_000019	You got to FIGHT to keep your money after you've made it.	You got to FIGHT to keep your money after you've made it.
2573_178450_000023_000000	He strode up and down the long room, gesticulating--little regarding the troubled and drowsy figure by the fireside.	He strode up and down the long room, gesticulating-little regarding the troubled and drowsy figure by the fireside.
2573_178450_000023_000001	His throat rumbled thunderously; the words came with stormy bitterness.	His throat rumbled thunderously; the words came with stormy bitterness.
2573_178450_000023_000003	I tell you there never was such a time before; there never was such opportunity.	I tell you there never was such a time before; there never was such opportunity.
2573_178450_000023_000004	The sluggard is despoiled while he sleeps--yes, by George! if a man lays down they'll eat him before he wakes!--but the live man can build straight up till he touches the sky!	The sluggard is despoiled while he sleeps-yes, by George! if a man lays down they'll eat him before he wakes!--but the live man can build straight up till he touches the sky!
2573_178450_000023_000005	This is the business man's day; it used to be the soldier's day and the statesman's day, but this is OURS!	This is the business man's day; it used to be the soldier's day and the statesman's day, but this is OURS!
2573_178450_000023_000008	And that's what my son Bibbs has been doin' all his life, and what he'd rather do now than go out and do his part by me.	And that's what my son Bibbs has been doin' all his life, and what he'd rather do now than go out and do his part by me.
2573_178450_000023_000009	And if anything happens to Roscoe--"	And if anything happens to Roscoe-"
2573_178450_000024_000000	"Oh, do stop worryin' over such nonsense," Mrs. Sheridan interrupted, irritated into sharp wakefulness for the moment.	"Oh, do stop worryin' over such nonsense," mrs Sheridan interrupted, irritated into sharp wakefulness for the moment.
2573_178450_000024_000002	Aren't you EVER goin' to bed?"	Aren't you EVER goin' to bed?"
2573_178450_000025_000000	Sheridan halted.	Sheridan halted.
2573_178450_000025_000001	"All right, mamma," he said, with a vast sigh.	"All right, mamma," he said, with a vast sigh.
2573_178450_000025_000002	"Let's go up." And he snapped off the electric light, leaving only the rosy glow of the fire.	"Let's go up." And he snapped off the electric light, leaving only the rosy glow of the fire.
2573_178450_000026_000000	"Did you speak to Roscoe?" she yawned, rising lopsidedly in her drowsiness.	"Did you speak to Roscoe?" she yawned, rising lopsidedly in her drowsiness.
2573_178450_000027_000001	I will to-morrow."	I will to morrow."
2573_178450_000028_000001	He waited.	He waited.
2573_178450_000028_000002	Then, on the fourth day of the month, Roscoe walked into his father's office at nine in the morning, when Sheridan happened to be alone.	Then, on the fourth day of the month, Roscoe walked into his father's office at nine in the morning, when Sheridan happened to be alone.
2573_178450_000029_000000	"They told me down-stairs you'd left word you wanted to see me."	"They told me down stairs you'd left word you wanted to see me."
2573_178450_000030_000000	"Sit down," said Sheridan, rising.	"Sit down," said Sheridan, rising.
2573_178450_000031_000000	Roscoe sat.	Roscoe sat
2573_178450_000031_000001	His father walked close to him, sniffed suspiciously, and then walked away, smiling bitterly.	His father walked close to him, sniffed suspiciously, and then walked away, smiling bitterly.
2573_178450_000031_000003	"Still at it!"	"Still at it!"
2573_178450_000032_000000	"Yes," said Roscoe.	"Yes," said Roscoe.
2573_178450_000032_000002	What about it?"	What about it?"
2573_178450_000033_000000	"I reckon I better adopt some decent young man," his father returned. "I'd bring Bibbs up here and put him in your place if he was fit.	"I reckon I better adopt some decent young man," his father returned. "I'd bring Bibbs up here and put him in your place if he was fit.
2573_178450_000033_000001	I would!"	I would!"
2573_178450_000034_000000	"Better do it," Roscoe assented, sullenly.	"Better do it," Roscoe assented, sullenly.
2573_178450_000035_000000	"When'd you begin this thing?"	"When'd you begin this thing?"
2573_178450_000036_000000	"I always did drink a little.	"I always did drink a little.
2573_178450_000036_000001	Ever since I grew up, that is."	Ever since I grew up, that is."
2573_178450_000037_000000	"Leave that talk out!	"Leave that talk out!
2573_178450_000038_000000	"Well, I don't know as I ever had too much in office hours--until the other day."	"Well, I don't know as I ever had too much in office hours-until the other day."
2573_178450_000039_000000	Sheridan began cutting.	Sheridan began cutting.
2573_178450_000039_000002	I've had Ray Wills up from your office.	I've had Ray Wills up from your office.
2573_178450_000039_000003	He didn't want to give you away, but I put the hooks into him, and he came through.	He didn't want to give you away, but I put the hooks into him, and he came through.
2573_178450_000039_000004	You were drunk twice before and couldn't work.	You were drunk twice before and couldn't work.
2573_178450_000039_000005	You been leavin' your office for drinks every few hours for the last three weeks.	You been leavin' your office for drinks every few hours for the last three weeks.
2573_178450_000039_000007	Your office is way behind.	Your office is way behind.
2573_178450_000039_000008	You haven't done any work, to count, in a month."	You haven't done any work, to count, in a month."
2573_178450_000040_000000	"All right," said Roscoe, drooping under the torture.	"All right," said Roscoe, drooping under the torture.
2573_178450_000040_000001	"It's all true."	"It's all true."
2573_178450_000042_000000	Roscoe's head was sunk between his shoulders.	Roscoe's head was sunk between his shoulders.
2573_178450_000042_000001	"I can't stand very much talk about it, father," he said, pleadingly.	"I can't stand very much talk about it, father," he said, pleadingly.
2573_178450_000043_000000	"No!" Sheridan cried.	"No!" Sheridan cried.
2573_178450_000044_000000	Roscoe shook his head helplessly.	Roscoe shook his head helplessly.
2573_178450_000045_000000	"You can't straighten me out."	"You can't straighten me out."
2573_178450_000046_000000	"See here!" said Sheridan.	"See here!" said Sheridan.
2573_178450_000047_000000	"You needn't worry about that," said Roscoe, looking up with a faint resentment.	"You needn't worry about that," said Roscoe, looking up with a faint resentment.
2573_178450_000047_000001	"I'm not drinking because I've got a thirst."	"I'm not drinking because I've got a thirst."
2573_178450_000048_000000	"Well, what have you got?"	"Well, what have you got?"
2573_178450_000049_000000	"Nothing.	"Nothing.
2573_178450_000049_000001	Nothing you can do anything about.	Nothing you can do anything about.
2573_178450_000049_000002	Nothing, I tell you."	Nothing, I tell you."
2573_178450_000050_000000	"We'll see about that!" said Sheridan, harshly.	"We'll see about that!" said Sheridan, harshly.
2573_178450_000050_000002	You bring your wife to dinner to-morrow.	You bring your wife to dinner to morrow.
2573_178450_000050_000003	You didn't come last Sunday--but you come to-morrow.	You didn't come last Sunday-but you come to morrow.
2573_178450_000050_000006	You better be sure, because I'm going to send Abercrombie down to your office every little while, and he'll let me know."	You better be sure, because I'm going to send Abercrombie down to your office every little while, and he'll let me know."
2573_178450_000051_000000	Roscoe paused at the door.	Roscoe paused at the door.
2573_178450_000051_000001	"You told Abercrombie about it?" he asked.	"You told Abercrombie about it?" he asked.
2573_178450_000052_000000	"TOLD him!" And Sheridan laughed hideously.	"TOLD him!" And Sheridan laughed hideously.
