7540_101799_000000_000000	CHAPTER ONE.	CHAPTER ONE.	false	0.57	12.03	23.498613
7540_101799_000013_000001	"Your dear father took the same view of the matter that you do, and never, to my knowledge, devoted a single hour to the search.	"Your dear father took the same view of the matter that you do, and never, to my knowledge, devoted a single hour to the search.	true	493.67	501.22	23.181044
7540_101799_000013_000002	And I have heard him say that it was the same with your grandfather.	And I have heard him say that it was the same with your grandfather.	true	501.5	504.94	19.716806
7540_101799_000013_000003	And if they never searched for the lost clue, how can we know or suppose that _any one_ has searched for it since Hugh Saint Leger abandoned the quest?	And if they never searched for the lost clue, how can we know or suppose that underscore any one underscore has searched for it since Hugh Saint Leger abandoned the quest?	false	505.1	513.37	21.15119
7540_101799_000013_000004	Yet there never appears to have been the slightest shadow of doubt in the minds of any of your ancestors, that when Richard Saint Leger died in the arms of his son Hugh, he held the clue to the secret; indeed, he died in the act of endeavouring to communicate it."	Yet there never appears to have been the slightest shadow of doubt in the minds of any of your ancestors, that when Richard Saint Leger died in the arms of his son Hugh, he held the clue to the secret; indeed, he died in the act of endeavouring to communicate it."	false	513.62	528.61	22.253061
7540_101799_000014_000000	"So I have always understood," answered I, with languidly reviving interest.	"So I have always understood," answered I, with languidly reviving interest.	true	528.95	534.01	19.517248
7540_101799_000014_000001	"But it is so long since I last heard the story--not since I was a little shaver in petticoats--that I have practically forgotten the details.	"But it is so long since I last heard the story-not since I was a little shaver in petticoats-that I have practically forgotten the details.	false	534.17	541.69	19.433563
7540_101799_000014_000002	I should like to hear it again, if it is not troubling you too much."	I should like to hear it again, if it is not troubling you too much."	false	542	545.59	24.400358
7540_101799_000015_000000	"It is no trouble at all, my dear boy, for it can be told in very few words.	"It is no trouble at all, my dear boy, for it can be told in very few words.	false	545.96	550.66	21.585625
7540_101799_000015_000001	Besides, you _ought_ to know it," answered my mother.	Besides, you underscore ought underscore to know it," answered my mother.	false	551.03	554.83	23.14753
7540_101799_000015_000002	"You are aware, of course, that the Saint Legers have been a race of daring and adventurous seamen, as far back as our family records go; and Richard Saint Leger, who was born in 1689, was perhaps the most daring and adventurous of them all.	"You are aware, of course, that the Saint Legers have been a race of daring and adventurous seamen, as far back as our family records go; and Richard Saint Leger, who was born in sixteen eighty nine, was perhaps the most daring and adventurous of them all.	false	555.41	570.18	20.59256
7540_101799_000015_000003	He was a contemporary of the great Captain (afterwards Lord) Anson; and it was upon his return from a voyage to the West Indies that he first became aware of the rumours, which reached England from time to time, of the fabulous value of the galleon which sailed annually from Acapulco to Manilla laden with the treasure of Peru.	He was a contemporary of the great Captain (afterwards Lord) Anson; and it was upon his return from a voyage to the West Indies that he first became aware of the rumours, which reached England from time to time, of the fabulous value of the galleon which sailed annually from Acapulco to Manilla laden with the treasure of Peru.	false	570.18	590.98	21.831512
7540_101799_000015_000004	These rumours, which were no doubt greatly exaggerated, were well calculated to excite the imagination and stimulate the enterprise of the bold and restless spirits of that period; so much so, indeed, that when the English, in 1739, declared war against Spain, the capture of one of these ships became to the English adventurer what the discovery of the fabled El Dorado had been to his predecessor of Elizabethan times.	These rumours, which were no doubt greatly exaggerated, were well calculated to excite the imagination and stimulate the enterprise of the bold and restless spirits of that period; so much so, indeed, that when the English, in seventeen thirty nine, declared war against Spain, the capture of one of these ships became to the English adventurer what the discovery of the fabled El Dorado had been to his predecessor of Elizabethan times.	false	591.17	616.36	23.127409
7540_101799_000015_000005	At length--in the year 1742, I think it was--it became whispered about among those restless spirits that a galleon had actually been captured, and that the captors had returned to England literally laden with wealth.	At length-in the year seventeen forty two, I think it was-it became whispered about among those restless spirits that a galleon had actually been captured, and that the captors had returned to England literally laden with wealth.	true	617	630.46	24.940926
7540_101799_000015_000006	Richard Saint Leger was one of the first to hear the news; and it so fired his imagination--and probably his cupidity--that he never rested until he had traced the rumour to its source, and found it to be true.	Richard Saint Leger was one of the first to hear the news; and it so fired his imagination-and probably his cupidity-that he never rested until he had traced the rumour to its source, and found it to be true.	false	630.98	643.84	21.497278
7540_101799_000015_000007	He then sought out the leader of the fortunate expedition, and having pledged himself to the strictest secrecy, obtained the fullest particulars relating to the adventure.	He then sought out the leader of the fortunate expedition, and having pledged himself to the strictest secrecy, obtained the fullest particulars relating to the adventure.	true	644.3	654.07	25.113113
7540_101799_000015_000008	This done, his next step was to organise a company of adventurers, with himself as their head and leader, to sail in search of the next year's galleon.	This done, his next step was to organise a company of adventurers, with himself as their head and leader, to sail in search of the next year's galleon.	true	654.38	663.49	22.498611
7540_101799_000015_000009	This was in the year 1742.	This was in the year seventeen forty two.	false	663.83	666.81	18.637655
7540_101799_000015_000010	The expedition was a failure, so far as the capture of the galleon was concerned, for she fell into the hands of Commodore Anson. In other respects, however, the voyage proved fairly profitable; for though they missed the great treasure ship, they fell in with and captured another Spanish vessel which had on board sufficient specie to well recompense the captors for the time and trouble devoted to the adventure.	The expedition was a failure, so far as the capture of the galleon was concerned, for she fell into the hands of Commodore Anson. In other respects, however, the voyage proved fairly profitable; for though they missed the great treasure ship, they fell in with and captured another Spanish vessel which had on board sufficient specie to well recompense the captors for the time and trouble devoted to the adventure.	true	666.81	690.46	21.833061
7540_101799_000015_000011	And now I come to the part of the story which relates to what has always been spoken of in the family as Richard Saint Leger's buried treasure.	And now I come to the part of the story which relates to what has always been spoken of in the family as Richard Saint Leger's buried treasure.	false	690.59	697.66	21
7540_101799_000015_000012	It appears that on board the captured Spanish ship of which I have just spoken, certain English prisoners were found, the survivors of the crew of an English ship that had fought with and been destroyed by the Spanish ship only a few days prior to her own capture. These men were of course at once removed to Richard Saint Leger's own ship, where they received every care, and their hurts--for it is said that every man of them was more or less severely wounded--treated with such skill as happened to be available, with the result that a few of them recovered.	It appears that on board the captured Spanish ship of which I have just spoken, certain English prisoners were found, the survivors of the crew of an English ship that had fought with and been destroyed by the Spanish ship only a few days prior to her own capture. These men were of course at once removed to Richard Saint Leger's own ship, where they received every care, and their hurts-for it is said that every man of them was more or less severely wounded-treated with such skill as happened to be available, with the result that a few of them recovered.	false	697.88	730.15	22.150137
7540_101799_000015_000013	Many, however, were so sorely hurt that they succumbed to their injuries, the English captain being among this number.	Many, however, were so sorely hurt that they succumbed to their injuries, the English captain being among this number.	true	730.37	737.41	21.048683
7540_101799_000015_000014	He survived, however, long enough to tell Richard Saint Leger that he had captured the galleon of the previous year, and had determined upon capturing the next also.	He survived, however, long enough to tell Richard Saint Leger that he had captured the galleon of the previous year, and had determined upon capturing the next also.	false	737.69	747.55	23.654707
7540_101799_000015_000015	With this object in view, and not caring to subject their booty to the manifold risks attendant upon a cruise of an entire year, they had sought out a secluded spot, and had there carefully concealed the treasure by burying it in the earth.	With this object in view, and not caring to subject their booty to the manifold risks attendant upon a cruise of an entire year, they had sought out a secluded spot, and had there carefully concealed the treasure by burying it in the earth.	true	747.98	762.46	22.940224
7540_101799_000015_000016	Now, however, the poor man was dying, and could never hope to enjoy his share of the spoil, or even insure its possession to his relatives.	Now, however, the poor man was dying, and could never hope to enjoy his share of the spoil, or even insure its possession to his relatives.	true	762.86	772	24.925884
7540_101799_000015_000017	He therefore made a compact with Richard Saint Leger, confiding to him the secret of the hiding-place, upon the condition that, upon the recovery of the treasure, one half of it was to be handed over in certain proportions to the survivors of the crew who had captured it, or, failing them, to their heirs; Richard Saint Leger to take the other half.	He therefore made a compact with Richard Saint Leger, confiding to him the secret of the hiding place, upon the condition that, upon the recovery of the treasure, one half of it was to be handed over in certain proportions to the survivors of the crew who had captured it, or, failing them, to their heirs; Richard Saint Leger to take the other half.	false	772.49	795.22	22.256208
7540_101799_000016_000000	"Now, whether it was that Richard Saint Leger was of a secretive disposition, or whether he had some other motive for keeping the matter a secret, I know not; but certain it is that he never made the slightest reference to the matter--even to his son Hugh, who was sailing with him--until some considerable time afterwards.	"Now, whether it was that Richard Saint Leger was of a secretive disposition, or whether he had some other motive for keeping the matter a secret, I know not; but certain it is that he never made the slightest reference to the matter-even to his son Hugh, who was sailing with him-until some considerable time afterwards.	false	795.74	815.59	20.67697
7540_101799_000016_000001	The occasion which led to his taking Hugh into his confidence was the meeting with another enemy, which they promptly proceeded to engage; and it may have been either as a measure of prudence in view of the impending conflict, or perhaps some premonition of his approaching end that led him to adopt the precaution of imparting the secret to a second person.	The occasion which led to his taking Hugh into his confidence was the meeting with another enemy, which they promptly proceeded to engage; and it may have been either as a measure of prudence in view of the impending conflict, or perhaps some premonition of his approaching end that led him to adopt the precaution of imparting the secret to a second person.	false	816.05	836.95	20.06696
7540_101799_000016_000002	He had deferred the matter too long, however; and he had only advanced far enough in his narrative to communicate the particulars I have just given, when the two ships became so hotly engaged that the father and son were obliged to separate in the prosecution of their duties, and the conclusion of the story had to be deferred until a more convenient season.	He had deferred the matter too long, however; and he had only advanced far enough in his narrative to communicate the particulars I have just given, when the two ships became so hotly engaged that the father and son were obliged to separate in the prosecution of their duties, and the conclusion of the story had to be deferred until a more convenient season.	false	837.23	857.79	21.9433
7540_101799_000016_000003	That season never arrived, for Richard Saint Leger was struck down, severely wounded, early in the fight, and the command of the ship then devolved upon Hugh. Moreover, not only was there a very great disparity of force in favour of the Spaniards, but, contrary to usual experience, they fought with the utmost valour and determination, so that for some time after the ships had become engaged at close quarters the struggle was simply one for bare life on the part of the English, during which Hugh Saint Leger had no leisure to think of treasure or of anything else, save how to save his comrades and himself from the horrors of capture by their cruel enemies.	That season never arrived, for Richard Saint Leger was struck down, severely wounded, early in the fight, and the command of the ship then devolved upon Hugh. Moreover, not only was there a very great disparity of force in favour of the Spaniards, but, contrary to usual experience, they fought with the utmost valour and determination, so that for some time after the ships had become engaged at close quarters the struggle was simply one for bare life on the part of the English, during which Hugh Saint Leger had no leisure to think of treasure or of anything else, save how to save his comrades and himself from the horrors of capture by their cruel enemies.	false	857.79	900.22	21.17185
7540_101799_000017_000000	"Meanwhile, the consciousness gradually forced itself upon Richard Saint Leger that he was wounded unto death, and that time would soon be for him no more.	"Meanwhile, the consciousness gradually forced itself upon Richard Saint Leger that he was wounded unto death, and that time would soon be for him no more.	true	900.89	909.97	22.978176
7540_101799_000017_000001	Realising now, no doubt, the grave mistake he had committed in keeping so important a secret as that of the hiding-place of the treasure locked within his own breast, he despatched a messenger to Hugh, enjoining the latter to hasten to the side of his dying father forthwith, at all risks.	Realising now, no doubt, the grave mistake he had committed in keeping so important a secret as that of the hiding place of the treasure locked within his own breast, he despatched a messenger to Hugh, enjoining the latter to hasten to the side of his dying father forthwith, at all risks.	false	910.37	928.51	22.160816
7540_101799_000017_000002	The messenger, however, was shot dead ere he could reach Hugh Saint Leger's side, and the urgent message remained undelivered.	The messenger, however, was shot dead ere he could reach Hugh Saint Leger's side, and the urgent message remained undelivered.	false	928.97	937.27	22.353357
7540_101799_000017_000003	At length the stubborn courage of the English prevailed, and, despite their vast superiority in numbers, the Spaniards, who had boarded, were first driven back to their own deck and then below, when, further resistance being useless, they flung down their arms and surrendered.	At length the stubborn courage of the English prevailed, and, despite their vast superiority in numbers, the Spaniards, who had boarded, were first driven back to their own deck and then below, when, further resistance being useless, they flung down their arms and surrendered.	true	937.88	955.27	20.3302
7540_101799_000018_000000	"Hugh now, after giving a few hasty orders as to the disposal of the prisoners, found time to think of his father, whom he remembered seeing in the act of being borne below, wounded, in the early part of the fight.	"Hugh now, after giving a few hasty orders as to the disposal of the prisoners, found time to think of his father, whom he remembered seeing in the act of being borne below, wounded, in the early part of the fight.	false	955.67	969.15	20.501053
7540_101799_000018_000001	He accordingly hurried away in search of him, finding him in his own cabin, supported in the arms of one of the seamen, and literally at his last breath.	He accordingly hurried away in search of him, finding him in his own cabin, supported in the arms of one of the seamen, and literally at his last breath.	false	969.15	978.99	20.365074
7540_101799_000018_000002	It was with difficulty that Hugh succeeded in rendering his father conscious of his presence; and when this was at length accomplished the sufferer only rallied sufficiently to gasp painfully the words, `The treasure--buried--island--full particulars-- concealed in my--' when a torrent of blood gushed from his mouth and nostrils, and, with a last convulsive struggle, Richard Saint Leger sank back upon his pallet, dead.	It was with difficulty that Hugh succeeded in rendering his father conscious of his presence; and when this was at length accomplished the sufferer only rallied sufficiently to gasp painfully the words, backquote The treasure-buried-island-full particulars- concealed in my-' when a torrent of blood gushed from his mouth and nostrils, and, with a last convulsive struggle, Richard Saint Leger sank back upon his pallet, dead.	false	978.99	1011.67	23.530586
7540_101799_000019_000000	"He was buried at sea, that same night, along with the others who had fallen in the fight; and some days afterwards, when Hugh Saint Leger had conquered his grief sufficiently to give his attention to other matters, he set himself to the task of seeking for the particulars relating to the buried treasure.	"He was buried at sea, that same night, along with the others who had fallen in the fight; and some days afterwards, when Hugh Saint Leger had conquered his grief sufficiently to give his attention to other matters, he set himself to the task of seeking for the particulars relating to the buried treasure.	false	1012.55	1029.94	22.111778
7540_101799_000019_000001	But though he patiently examined every document and scrap of paper contained in his father's desk, and otherwise searched most carefully and industriously in every conceivable hiding-place he could think of, the quest was unavailing, and _the particulars have never been found, to this day_!"	But though he patiently examined every document and scrap of paper contained in his father's desk, and otherwise searched most carefully and industriously in every conceivable hiding place he could think of, the quest was unavailing, and underscore the particulars have never been found, to this day underscore!"	false	1030.31	1049.94	21.512836
7540_101799_000020_000000	"It is very curious," I remarked, when my mother had brought her narrative to a conclusion--"very curious, and very interesting.	"It is very curious," I remarked, when my mother had brought her narrative to a conclusion-"very curious, and very interesting.	false	1049.94	1057.84	22.037561
7540_101799_000020_000001	But what you have related only strengthens my previous conviction, that the document or documents no longer exist.	But what you have related only strengthens my previous conviction, that the document or documents no longer exist.	true	1058.15	1065.42	22.73671
7540_101799_000020_000002	I have very little doubt that, if the truth could only be arrived at, it would be found that Richard Saint Leger kept the papers concealed somewhere about his clothing, and that they were buried with him."	I have very little doubt that, if the truth could only be arrived at, it would be found that Richard Saint Leger kept the papers concealed somewhere about his clothing, and that they were buried with him."	false	1065.42	1076.92	23.189405
7540_101799_000021_000000	"No; that was certainly not the case," rejoined my mother; "for it is distinctly stated that--probably to obviate any such possibility--Hugh Saint Leger carefully preserved every article of clothing which his father wore when he died; and the things exist to this day, carefully preserved, upstairs, together with every other article belonging to Richard Saint Leger which happened to be on board the ship at that time."	"No; that was certainly not the case," rejoined my mother; "for it is distinctly stated that-probably to obviate any such possibility-Hugh Saint Leger carefully preserved every article of clothing which his father wore when he died; and the things exist to this day, carefully preserved, upstairs, together with every other article belonging to Richard Saint Leger which happened to be on board the ship at that time."	false	1077.59	1104.04	22.916382
7540_101799_000022_000000	"And have those relics never been examined since my ancestor Hugh abandoned the quest as hopeless?" I inquired.	"And have those relics never been examined since my ancestor Hugh abandoned the quest as hopeless?" I inquired.	true	1104.8	1110.88	22.421375
7540_101799_000023_000000	"They may have been; I cannot say," answered my mother.	"They may have been; I cannot say," answered my mother.	true	1111.37	1114.93	21.311884
7540_101799_000023_000001	"But I do not believe that your dear father--or your grandfather either, for that matter--ever thought it worth while to subject them to a thoroughly exhaustive scrutiny.	"But I do not believe that your dear father-or your grandfather either, for that matter-ever thought it worth while to subject them to a thoroughly exhaustive scrutiny.	true	1115.33	1124.26	21.293636
7540_101799_000023_000002	Your father, I know, always felt convinced, as you do, that the documents had been either irretrievably lost, or destroyed."	Your father, I know, always felt convinced, as you do, that the documents had been either irretrievably lost, or destroyed."	false	1124.63	1133.23	22.18631
7540_101799_000024_000000	"Then if that be so," I exclaimed, "they shall have another thorough overhaul from clew to earring before I am a day older.	"Then if that be so," I exclaimed, "they shall have another thorough overhaul from clew to earring before I am a day older.	true	1133.81	1141.33	19.933956
7540_101799_000024_000001	If, as you say, every scrap of property belonging to Richard Saint Leger was carefully collected and removed from the ship when she came home, and still exists, stored away upstairs, why, the papers _must_ be there too; and if they are I will find them, let them be hidden ever so carefully. Whereabouts do you say these things are, mother?"	If, as you say, every scrap of property belonging to Richard Saint Leger was carefully collected and removed from the ship when she came home, and still exists, stored away upstairs, why, the papers underscore must underscore be there too; and if they are I will find them, let them be hidden ever so carefully. Whereabouts do you say these things are, mother?"	false	1141.67	1163.74	22.253935
7540_101799_000025_000000	"In the west attic, where they have always been kept," answered my mother.	"In the west attic, where they have always been kept," answered my mother.	true	1164.14	1167.9	27.105799
7540_101799_000025_000001	"Wait a few minutes, my dear boy, until I have found the keys of the boxes, and we will make the search together."	"Wait a few minutes, my dear boy, until I have found the keys of the boxes, and we will make the search together."	false	1167.9	1185.06	23.406788
