699_132864_000000_000000	"Even if it were wrong," said Mrs. Wilkins, "it would only be for a month."	"Even if it were wrong," said mrs Wilkins, "it would only be for a month."	false	0	3.66	16.653406
699_132864_000010_000000	The exact right words, she presently discovered, after trying various ones about living for others, and prayer, and the peace to be found in placing oneself unreservedly in God's hands--to meet all these words Mrs. Wilkins had other words, incoherent and yet, for the moment at least, till one had had more time, difficult to answer--the exact right words were a suggestion that it would do no harm to answer the advertisement.	The exact right words, she presently discovered, after trying various ones about living for others, and prayer, and the peace to be found in placing oneself unreservedly in God's hands-to meet all these words mrs Wilkins had other words, incoherent and yet, for the moment at least, till one had had more time, difficult to answer-the exact right words were a suggestion that it would do no harm to answer the advertisement.	true	66.14	99.64	20.339388
699_132864_000010_000001	Non-committal.	Non committal.	true	100.22	101.32	18
699_132864_000010_000002	Mere inquiry.	Mere inquiry.	true	101.72	102.79	14
699_132864_000010_000003	And what disturbed Mrs. Arbuthnot about this suggestion was that she did not make it solely to comfort Mrs. Wilkins; she made it because of her own strange longing for the mediaeval castle.	And what disturbed mrs Arbuthnot about this suggestion was that she did not make it solely to comfort mrs Wilkins; she made it because of her own strange longing for the mediaeval castle.	true	103.55	116.86	20
699_132864_000011_000000	This was very disturbing.	This was very disturbing.	true	116.9	118.78	14
699_132864_000011_000001	There she was, accustomed to direct, to lead, to advise, to support--except Frederick; she long since had learned to leave Frederick to God--being led herself, being influenced and thrown off her feet, by just an advertisement, by just an incoherent stranger.	There she was, accustomed to direct, to lead, to advise, to support-except Frederick; she long since had learned to leave Frederick to God-being led herself, being influenced and thrown off her feet, by just an advertisement, by just an incoherent stranger.	true	119.39	137.5	20.00885
699_132864_000011_000002	It was indeed disturbing.	It was indeed disturbing.	true	138.29	140.11	18
699_132864_000011_000003	She failed to understand her sudden longing for what was, after all, self-indulgence, when for years no such desire had entered her heart.	She failed to understand her sudden longing for what was, after all, self indulgence, when for years no such desire had entered her heart.	true	141.2	150.49	19
699_132864_000012_000000	"There's no harm in simply asking," she said in a low voice, as if the vicar and the Savings Bank and all her waiting and dependent poor were listening and condemning.	"There's no harm in simply asking," she said in a low voice, as if the vicar and the Savings Bank and all her waiting and dependent poor were listening and condemning.	true	152.54	164.17	16
699_132864_000013_000000	"It isn't as if it committed us to anything," said Mrs. Wilkins, also in a low voice, but her voice shook.	"It isn't as if it committed us to anything," said mrs Wilkins, also in a low voice, but her voice shook.	true	166.28	174.04	16.920965
699_132864_000014_000000	They got up simultaneously--Mrs.	They got up simultaneously-mrs	true	175.64	178.26	22
699_132864_000014_000001	Arbuthnot had a sensation of surprise that Mrs. Wilkins should be so tall--and went to a writing-table, and Mrs. Arbuthnot wrote to Z, Box 1000, The Times, for particulars.	Arbuthnot had a sensation of surprise that mrs Wilkins should be so tall-and went to a writing table, and mrs Arbuthnot wrote to Z, Box one thousand, The Times, for particulars.	false	178.26	190.84	20
699_132864_000014_000002	She asked for all particulars, but the only one they really wanted was the one about the rent.	She asked for all particulars, but the only one they really wanted was the one about the rent.	true	191.69	197.05	19.825233
699_132864_000014_000003	They both felt that it was Mrs. Arbuthnot who ought to write the letter and do the business part.	They both felt that it was mrs Arbuthnot who ought to write the letter and do the business part.	true	197.63	202.6	17
699_132864_000014_000004	Not only was she used to organizing and being practical, but she also was older, and certainly calmer; and she herself had no doubt too that she was wiser. Neither had Mrs. Wilkins any doubt of this; the very way Mrs. Arbuthnot parted her hair suggested a great calm that could only proceed from wisdom.	Not only was she used to organizing and being practical, but she also was older, and certainly calmer; and she herself had no doubt too that she was wiser. Neither had mrs Wilkins any doubt of this; the very way mrs Arbuthnot parted her hair suggested a great calm that could only proceed from wisdom.	false	203.42	226.3	19.501537
699_132864_000015_000000	But if she was wiser, older and calmer, Mrs. Arbuthnot's new friend nevertheless seemed to her to be the one who impelled. Incoherent, she yet impelled.	But if she was wiser, older and calmer, mrs Arbuthnot's new friend nevertheless seemed to her to be the one who impelled. Incoherent, she yet impelled.	false	228.29	241.06	18.726074
699_132864_000015_000001	She appeared to have, apart from her need of help, an upsetting kind of character.	She appeared to have, apart from her need of help, an upsetting kind of character.	true	241.79	247.3	20
699_132864_000015_000002	She had a curious infectiousness.	She had a curious infectiousness.	true	248.15	250.57	20
699_132864_000015_000003	She led one on.	She led one on.	true	251.39	252.73	20.398258
699_132864_000015_000004	And the way her unsteady mind leaped at conclusions--wrong ones, of course; witness the one that she, Mrs. Arbuthnot, was miserable--the way she leaped at conclusions was disconcerting.	And the way her unsteady mind leaped at conclusions-wrong ones, of course; witness the one that she, mrs Arbuthnot, was miserable-the way she leaped at conclusions was disconcerting.	true	253.64	265.84	18
699_132864_000016_000000	Whatever she was, however, and whatever her unsteadiness, Mrs. Arbuthnot found herself sharing her excitement and her longing; and when the letter had been posted in the letter-box in the hall and actually was beyond getting back again, both she and Mrs. Wilkins felt the same sense of guilt.	Whatever she was, however, and whatever her unsteadiness, mrs Arbuthnot found herself sharing her excitement and her longing; and when the letter had been posted in the letter box in the hall and actually was beyond getting back again, both she and mrs Wilkins felt the same sense of guilt.	false	267.65	287.88	19
699_132864_000017_000000	"It only shows," said Mrs. Wilkins in a whisper, as they turned away from the letter-box, "how immaculately good we've been all our lives.	"It only shows," said mrs Wilkins in a whisper, as they turned away from the letter box, "how immaculately good we've been all our lives.	false	287.88	300.45	16.974058
699_132864_000017_000001	The very first time we do anything our husbands don't know about we feel guilty."	The very first time we do anything our husbands don't know about we feel guilty."	false	300.45	307.21	16.80182
699_132864_000018_000000	"I'm afraid I can't say I've been immaculately good," gently protested Mrs. Arbuthnot, a little uncomfortable at this fresh example of successful leaping at conclusions, for she had not said a word about her feeling of guilt.	"I'm afraid I can't say I've been immaculately good," gently protested mrs Arbuthnot, a little uncomfortable at this fresh example of successful leaping at conclusions, for she had not said a word about her feeling of guilt.	true	307.49	322.2	18
699_132864_000019_000000	"Oh, but I'm sure you have--I see you being good--and that's why you're not happy."	"Oh, but I'm sure you have-I see you being good-and that's why you're not happy."	false	322.2	328.78	17.244522
699_132864_000020_000000	"She shouldn't say things like that," thought Mrs. Arbuthnot.	"She shouldn't say things like that," thought mrs Arbuthnot.	true	330.08	334.15	19
699_132864_000020_000001	"I must try and help her not to."	"I must try and help her not to."	true	334.67	336.85	16
699_132864_000021_000000	Aloud she said gravely, "I don't know why you insist that I'm not happy.	Aloud she said gravely, "I don't know why you insist that I'm not happy.	true	338.24	344.5	19.825611
699_132864_000021_000001	When you know me better I think you'll find that I am.	When you know me better I think you'll find that I am.	false	345.05	348.34	20.45382
699_132864_000021_000002	And I'm sure you don't mean really that goodness, if one could attain it, makes one unhappy."	And I'm sure you don't mean really that goodness, if one could attain it, makes one unhappy."	true	349.1	355.9	18.470371
699_132864_000022_000000	"Yes, I do," said Mrs. Wilkins.	"Yes, I do," said mrs Wilkins.	true	357.23	359.8	17.322737
699_132864_000022_000001	"Our sort of goodness does.	"Our sort of goodness does.	true	360.44	362.05	18
699_132864_000022_000002	We have attained it, and we are unhappy.	We have attained it, and we are unhappy.	true	362.6	365.29	22.067593
699_132864_000022_000003	There are miserable sorts of goodness and happy sorts--the sort we'll have at the mediaeval castle, for instance, is the happy sort."	There are miserable sorts of goodness and happy sorts-the sort we'll have at the mediaeval castle, for instance, is the happy sort."	true	366.32	373.24	17
699_132864_000023_000000	"That is, supposing we go there," said Mrs. Arbuthnot restrainingly.	"That is, supposing we go there," said mrs Arbuthnot restrainingly.	true	374.93	379.39	19
699_132864_000023_000001	She felt that Mrs. Wilkins needed holding on to. "After all, we've only written just to ask.	She felt that mrs Wilkins needed holding on to. "After all, we've only written just to ask.	false	380.33	387.54	21.242529
699_132864_000023_000002	Anybody may do that.	Anybody may do that.	true	387.54	389.17	24
699_132864_000023_000003	I think it quite likely we shall find the conditions impossible, and even if they were not, probably by to-morrow we shall not want to go."	I think it quite likely we shall find the conditions impossible, and even if they were not, probably by to morrow we shall not want to go."	true	390.65	398.68	21
699_132864_000024_000000	"I see us there," was Mrs. Wilkins's answer to that.	"I see us there," was mrs Wilkins's answer to that.	true	400.64	407.145	17.139812
699_132864_000025_000000	All this was very unbalancing.	All this was very unbalancing.	true	407.145	409.18	15
699_132864_000025_000001	Mrs. Arbuthnot, as she presently splashed though the dripping streets on her way to a meeting she was to speak at, was in an unusually disturbed condition of mind.	mrs Arbuthnot, as she presently splashed though the dripping streets on her way to a meeting she was to speak at, was in an unusually disturbed condition of mind.	false	410.21	420.34	18
699_132864_000025_000002	She had, she hoped, shown herself very calm to Mrs. Wilkins, very practical and sober, concealing her own excitement.	She had, she hoped, shown herself very calm to mrs Wilkins, very practical and sober, concealing her own excitement.	true	421.31	429.61	19.339386
699_132864_000025_000003	But she was really extraordinarily moved, and she felt happy, and she felt guilty, and she felt afraid, and she had all the feelings, though this she did not know, of a woman who was come away from a secret meeting with her lover.	But she was really extraordinarily moved, and she felt happy, and she felt guilty, and she felt afraid, and she had all the feelings, though this she did not know, of a woman who was come away from a secret meeting with her lover.	false	430.46	448.3	18.226414
699_132864_000025_000004	That, indeed, was what she looked like when she arrived late on her platform; she, the open-browed, looked almost furtive as her eyes fell on the staring wooden faces waiting to hear her try and persuade them to contribute to the alleviation of the urgent needs of the Hampstead poor, each one convinced that they needed contributions themselves.	That, indeed, was what she looked like when she arrived late on her platform; she, the open browed, looked almost furtive as her eyes fell on the staring wooden faces waiting to hear her try and persuade them to contribute to the alleviation of the urgent needs of the Hampstead poor, each one convinced that they needed contributions themselves.	true	449.72	472.27	19.69158
699_132864_000025_000005	She looked as though she were hiding something discreditable but delightful.	She looked as though she were hiding something discreditable but delightful.	false	473.87	477.94	20.751783
699_132864_000025_000006	Certainly her customary clear expression of candor was not there, and its place was taken by a kind of suppressed and frightened pleasedness, which would have led a more worldly-minded audience to the instant conviction of recent and probably impassioned lovemaking.	Certainly her customary clear expression of candor was not there, and its place was taken by a kind of suppressed and frightened pleasedness, which would have led a more worldly minded audience to the instant conviction of recent and probably impassioned lovemaking.	true	478.67	496.15	20.350103
699_132864_000026_000000	Beauty, beauty, beauty . . . the words kept ringing in her ears as she stood on the platform talking of sad things to the sparsely attended meeting.	Beauty, beauty, beauty . . . the words kept ringing in her ears as she stood on the platform talking of sad things to the sparsely attended meeting.	true	498.26	509.08	19
699_132864_000026_000001	She had never been to Italy.	She had never been to Italy.	false	509.81	511.51	19
699_132864_000026_000002	Was that really what her nest-egg was to be spent on after all?	Was that really what her nest egg was to be spent on after all?	true	512.57	516.43	16
699_132864_000026_000003	Though she couldn't approve of the way Mrs. Wilkins was introducing the idea of predestination into her immediate future, just as if she had no choice, just as if to struggle, or even to reflect, were useless, it yet influenced her.	Though she couldn't approve of the way mrs Wilkins was introducing the idea of predestination into her immediate future, just as if she had no choice, just as if to struggle, or even to reflect, were useless, it yet influenced her.	true	517.82	532	20.855217
699_132864_000026_000004	Mrs. Wilkins's eyes had been the eyes of a seer.	mrs Wilkins's eyes had been the eyes of a seer.	false	532.52	535.42	14
699_132864_000026_000005	Some people were like that, Mrs. Arbuthnot knew; and if Mrs. Wilkins had actually seen her at the mediaeval castle it did seem probable that struggling would be a waste of time.	Some people were like that, mrs Arbuthnot knew; and if mrs Wilkins had actually seen her at the mediaeval castle it did seem probable that struggling would be a waste of time.	true	536.57	548.23	22
699_132864_000026_000006	Still, to spend her nest-egg on self-indulgence-- The origin of this egg had been corrupt, but she had at least supposed its end was to be creditable.	Still, to spend her nest egg on self indulgence- The origin of this egg had been corrupt, but she had at least supposed its end was to be creditable.	false	549.41	560.95	19.134504
699_132864_000026_000007	Was she to deflect it from its intended destination, which alone had appeared to justify her keeping it, and spend it on giving herself pleasure?	Was she to deflect it from its intended destination, which alone had appeared to justify her keeping it, and spend it on giving herself pleasure?	true	561.8	571.6	18
699_132864_000027_000000	Mrs. Arbuthnot spoke on and on, so much practiced in the kind of speech that she could have said it all in her sleep, and at the end of the meeting, her eyes dazzled by her secret visions, she hardly noticed that nobody was moved in any way whatever, least of all in the way of contributions.	mrs Arbuthnot spoke on and on, so much practiced in the kind of speech that she could have said it all in her sleep, and at the end of the meeting, her eyes dazzled by her secret visions, she hardly noticed that nobody was moved in any way whatever, least of all in the way of contributions.	true	573.71	591.31	17
699_132864_000028_000000	But the vicar noticed.	But the vicar noticed.	true	592.61	594.07	15
699_132864_000028_000001	The vicar was disappointed.	The vicar was disappointed.	true	594.83	597.1	18.208523
699_132864_000028_000002	Usually his good friend and supporter Mrs. Arbuthnot succeeded better than this. And, what was even more unusual, she appeared, he observed, not even to mind.	Usually his good friend and supporter mrs Arbuthnot succeeded better than this. And, what was even more unusual, she appeared, he observed, not even to mind.	true	598.13	610.84	18.018116
699_132864_000029_000000	"I can't imagine," he said to her as they parted, speaking irritably, for he was irritated both by the audience and by her, "what these people are coming to.	"I can't imagine," he said to her as they parted, speaking irritably, for he was irritated both by the audience and by her, "what these people are coming to.	true	612.65	622.48	18
699_132864_000029_000001	Nothing seems to move them."	Nothing seems to move them."	true	622.7	624.43	17
699_132864_000030_000000	"Perhaps they need a holiday," suggested Mrs. Arbuthnot; an unsatisfactory, a queer reply, the vicar thought.	"Perhaps they need a holiday," suggested mrs Arbuthnot; an unsatisfactory, a queer reply, the vicar thought.	true	625.76	634.72	18.791544
699_132864_000031_000000	"In February?" he called after her sarcastically.	"In February?" he called after her sarcastically.	true	635.78	640.18	20.766958
699_132864_000032_000000	"Oh no--not till April," said Mrs. Arbuthnot over her shoulder.	"Oh no-not till April," said mrs Arbuthnot over her shoulder.	true	640.43	645.52	18.753069
699_132864_000033_000000	"Very odd," thought the vicar.	"Very odd," thought the vicar.	true	646.4	648.25	17
699_132864_000033_000001	"Very odd indeed." And he went home and was not perhaps quite Christian to his wife.	"Very odd indeed." And he went home and was not perhaps quite Christian to his wife.	true	648.71	655.89	18.617296
699_132864_000034_000000	That night in her prayers Mrs. Arbuthnot asked for guidance.	That night in her prayers mrs Arbuthnot asked for guidance.	false	655.89	663.22	19.387205
699_132864_000034_000001	She felt she ought really to ask, straight out and roundly, that the mediaeval castle should already have been taken by some one else and the whole thing thus be settled, but her courage failed her.	She felt she ought really to ask, straight out and roundly, that the mediaeval castle should already have been taken by some one else and the whole thing thus be settled, but her courage failed her.	true	663.92	675.46	20
699_132864_000034_000002	Suppose her prayer were to be answered?	Suppose her prayer were to be answered?	true	676.43	678.81	25.00961
699_132864_000034_000003	No; she couldn't ask it; she couldn't risk it.	No; she couldn't ask it; she couldn't risk it.	false	678.81	683.61	18.034048
699_132864_000034_000004	And after all--she almost pointed this out to God--if she spent her present nest-egg on a holiday she could quite soon accumulate another.	And after all-she almost pointed this out to God-if she spent her present nest egg on a holiday she could quite soon accumulate another.	true	683.61	693.28	20.271154
699_132864_000034_000005	Frederick pressed money on her; and it would only mean, while she rolled up a second egg, that for a time her contributions to the parish charities would be less.	Frederick pressed money on her; and it would only mean, while she rolled up a second egg, that for a time her contributions to the parish charities would be less.	false	693.86	703.75	19.425272
699_132864_000034_000006	And then it could be the next nest-egg whose original corruption would be purged away by the use to which it was finally put.	And then it could be the next nest egg whose original corruption would be purged away by the use to which it was finally put.	true	704.9	713.55	18.973598
699_132864_000035_000000	For Mrs. Arbuthnot, who had no money of her own, was obliged to live on the proceeds of Frederick's activities, and her very nest-egg was the fruit, posthumously ripened, of ancient sin.	For mrs Arbuthnot, who had no money of her own, was obliged to live on the proceeds of Frederick's activities, and her very nest egg was the fruit, posthumously ripened, of ancient sin.	false	713.55	728.56	19.330166
699_132864_000035_000001	The way Frederick made his living was one of the standing distresses of her life.	The way Frederick made his living was one of the standing distresses of her life.	true	730.01	734.92	16
699_132864_000035_000002	He wrote immensely popular memoirs, regularly, every year, of the mistresses of kings.	He wrote immensely popular memoirs, regularly, every year, of the mistresses of kings.	true	735.68	744.97	17.16651
699_132864_000035_000003	There were in history numerous kings who had had mistresses, and there were still more numerous mistresses who had had kings; so that he had been able to publish a book of memoirs during each year of his married life, and even so there were greater further piles of these ladies waiting to be dealt with.	There were in history numerous kings who had had mistresses, and there were still more numerous mistresses who had had kings; so that he had been able to publish a book of memoirs during each year of his married life, and even so there were greater further piles of these ladies waiting to be dealt with.	true	745.1	764.17	19
699_132864_000035_000004	Mrs. Arbuthnot was helpless.	mrs Arbuthnot was helpless.	true	765.56	767.41	18
699_132864_000035_000005	Whether she liked it or not, she was obliged to live on the proceeds.	Whether she liked it or not, she was obliged to live on the proceeds.	true	768.32	772.57	16
699_132864_000035_000006	He gave her a dreadful sofa once, after the success of his Du Barri memoir, with swollen cushions and soft, receptive lap, and it seemed to her a miserable thing that there, in her very home, should flaunt this re-incarnation of a dead old French sinner.	He gave her a dreadful sofa once, after the success of his Du Barri memoir, with swollen cushions and soft, receptive lap, and it seemed to her a miserable thing that there, in her very home, should flaunt this re incarnation of a dead old French sinner.	true	773.45	791.8	18.954931
699_132864_000036_000000	Simply good, convinced that morality is the basis of happiness, the fact that she and Frederick should draw their sustenance from guilt, however much purged by the passage of centuries, was one of the secret reasons of her sadness.	Simply good, convinced that morality is the basis of happiness, the fact that she and Frederick should draw their sustenance from guilt, however much purged by the passage of centuries, was one of the secret reasons of her sadness.	false	793.43	810.28	19.757988
699_132864_000036_000001	The more the memoired lady had forgotten herself, the more his book about her was read and the more free-handed he was to his wife; and all that he gave her was spent, after adding slightly to her nest-egg--for she did hope and believe that some day people would cease to want to read of wickedness, and then Frederick would need supporting--on helping the poor.	The more the memoired lady had forgotten herself, the more his book about her was read and the more free handed he was to his wife; and all that he gave her was spent, after adding slightly to her nest egg-for she did hope and believe that some day people would cease to want to read of wickedness, and then Frederick would need supporting-on helping the poor.	false	811.82	835.72	19.80092
699_132864_000036_000002	The parish flourished because, to take a handful at random, of the ill-behavior of the ladies Du Barri, Montespan, Pompadour, Ninon de l'Enclos, and even of learned Maintenon.	The parish flourished because, to take a handful at random, of the ill behavior of the ladies Du Barri, Montespan, Pompadour, Ninon de l'Enclos, and even of learned Maintenon.	false	837.29	851.01	21.143093
699_132864_000036_000003	The poor were the filter through which the money was passed, to come out, Mrs. Arbuthnot hoped, purified.	The poor were the filter through which the money was passed, to come out, mrs Arbuthnot hoped, purified.	true	851.01	857.65	20.419107
699_132864_000036_000004	She could do no more.	She could do no more.	true	858.65	860.14	20
699_132864_000036_000005	She had tried in days gone by to think the situation out, to discover the exact right course for her to take, but had found it, as she had found Frederick, too difficult, and had left it, as she had left Frederick, to God.	She had tried in days gone by to think the situation out, to discover the exact right course for her to take, but had found it, as she had found Frederick, too difficult, and had left it, as she had left Frederick, to God.	false	860.78	878.53	20.096018
699_132864_000036_000006	Nothing of this money was spent on her house or dress; those remained, except for the great soft sofa, austere.	Nothing of this money was spent on her house or dress; those remained, except for the great soft sofa, austere.	true	879.71	889.33	19.493017
699_132864_000036_000007	It was the poor who profited.	It was the poor who profited.	false	890.21	892.18	22.860909
699_132864_000036_000008	Their very boots were stout with sins.	Their very boots were stout with sins.	true	892.64	895.51	23.461632
699_132864_000036_000009	But how difficult it had been.	But how difficult it had been.	true	896.24	898.12	20
699_132864_000036_000010	Mrs. Arbuthnot, groping for guidance, prayed about it to exhaustion.	mrs Arbuthnot, groping for guidance, prayed about it to exhaustion.	true	898.55	903.42	20
699_132864_000036_000011	Ought she perhaps to refuse to touch the money, to avoid it as she would have avoided the sins which were its source?	Ought she perhaps to refuse to touch the money, to avoid it as she would have avoided the sins which were its source?	false	903.42	912.01	16.983059
699_132864_000036_000012	But then what about the parish's boots?	But then what about the parish's boots?	true	912.53	915.1	23.858189
699_132864_000036_000013	She asked the vicar what he thought, and through much delicate language, evasive and cautious, it did finally appear that he was for the boots.	She asked the vicar what he thought, and through much delicate language, evasive and cautious, it did finally appear that he was for the boots.	true	915.83	925.51	19.115707
699_132864_000037_000000	At least she had persuaded Frederick, when first he began his terrible successful career--he only began it after their marriage; when she married him he had been a blameless official attached to the library of the British Museum--to publish the memoirs under another name, so that she was not publicly branded.	At least she had persuaded Frederick, when first he began his terrible successful career-he only began it after their marriage; when she married him he had been a blameless official attached to the library of the British Museum-to publish the memoirs under another name, so that she was not publicly branded.	true	926.81	945.19	17
699_132864_000037_000001	Hampstead read the books with glee, and had no idea that their writer lived in its midst. Frederick was almost unknown, even by sight, in Hampstead.	Hampstead read the books with glee, and had no idea that their writer lived in its midst. Frederick was almost unknown, even by sight, in Hampstead.	true	946.13	955.45	17
699_132864_000037_000002	He never went to any of its gatherings.	He never went to any of its gatherings.	true	955.91	958.03	17
699_132864_000037_000003	Whatever it was he did in the way of recreation was done in London, but he never spoke of what he did or whom he saw; he might have been perfectly friendless for any mention he ever made of friends to his wife.	Whatever it was he did in the way of recreation was done in London, but he never spoke of what he did or whom he saw; he might have been perfectly friendless for any mention he ever made of friends to his wife.	true	958.85	972.37	19.73473
699_132864_000037_000004	Only the vicar knew where the money for the parish came from, and he regarded it, he told Mrs. Arbuthnot, as a matter of honour not to mention it.	Only the vicar knew where the money for the parish came from, and he regarded it, he told mrs Arbuthnot, as a matter of honour not to mention it.	true	973.25	983.2	19
699_132864_000038_000000	And at least her little house was not haunted by the loose lived ladies, for Frederick did his work away from home.	And at least her little house was not haunted by the loose lived ladies, for Frederick did his work away from home.	true	984.86	992.44	20
699_132864_000038_000001	He had two rooms near the British Museum, which was the scene of his exhumations, and there he went every morning, and he came back long after his wife was asleep.	He had two rooms near the British Museum, which was the scene of his exhumations, and there he went every morning, and he came back long after his wife was asleep.	true	992.72	1003.09	18
699_132864_000038_000002	Sometimes he did not come back at all.	Sometimes he did not come back at all.	true	1003.43	1005.76	14
699_132864_000038_000003	Sometimes she did not see him for several days together.	Sometimes she did not see him for several days together.	true	1006.61	1009.96	18
699_132864_000038_000004	Then he would suddenly appear at breakfast, having let himself in with his latchkey the night before, very jovial and good-natured and free-handed and glad if she would allow him to give her something--a well-fed man, contented with the world; a jolly, full-blooded, satisfied man.	Then he would suddenly appear at breakfast, having let himself in with his latchkey the night before, very jovial and good-natured and free handed and glad if she would allow him to give her something-a well fed man, contented with the world; a jolly, full blooded, satisfied man.	true	1010.9	1029.94	20.878971
699_132864_000038_000005	And she was always gentle, and anxious that his coffee should be as he liked it.	And she was always gentle, and anxious that his coffee should be as he liked it.	true	1030.52	1035.73	18
699_132864_000039_000000	He seemed very happy.	He seemed very happy.	true	1038.05	1039.66	19.617016
699_132864_000039_000001	Life, she often thought, however much one tabulated was yet a mystery.	Life, she often thought, however much one tabulated was yet a mystery.	true	1040.81	1045.69	20
699_132864_000039_000002	There were always some people it was impossible to place.	There were always some people it was impossible to place.	true	1046.36	1049.5	18
699_132864_000039_000003	Frederick was one of them.	Frederick was one of them.	true	1050.05	1051.54	18.896835
699_132864_000039_000004	He didn't seem to bear the remotest resemblance to the original Frederick.	He didn't seem to bear the remotest resemblance to the original Frederick.	true	1052.18	1056.19	19
699_132864_000039_000005	He didn't seem to have the least need of any of the things he used to say were so important and beautiful--love, home, complete communion of thoughts, complete immersion in each other's interests.	He didn't seem to have the least need of any of the things he used to say were so important and beautiful-love, home, complete communion of thoughts, complete immersion in each other's interests.	false	1056.74	1068.4	18
699_132864_000039_000006	After those early painful attempts to hold him up to the point from which they had hand in hand so splendidly started, attempts in which she herself had got terribly hurt and the Frederick she supposed she had married was mangled out of recognition, she hung him up finally by her bedside as the chief subject of her prayers, and left him, except for those, entirely to God.	After those early painful attempts to hold him up to the point from which they had hand in hand so splendidly started, attempts in which she herself had got terribly hurt and the Frederick she supposed she had married was mangled out of recognition, she hung him up finally by her bedside as the chief subject of her prayers, and left him, except for those, entirely to God.	true	1069.61	1094.83	18.855612
699_132864_000039_000007	She had loved Frederick too deeply to be able now to do anything but pray for him.	She had loved Frederick too deeply to be able now to do anything but pray for him.	true	1095.17	1100.77	18
699_132864_000039_000008	He had no idea that he never went out of the house without her blessing going with him too, hovering, like a little echo of finished love, round that once dear head.	He had no idea that he never went out of the house without her blessing going with him too, hovering, like a little echo of finished love, round that once dear head.	true	1102.28	1114.06	18
