2368_157066_000000_000000	"What course shall we pursue?" asked Kennedy.	"What course shall we pursue?" asked Kennedy.	false	0	3.51	19.105839
2368_157066_000009_000000	"May God grant it as you say, Dick!" replied the doctor, with much emotion.	"May God grant it as you say, Dick!" replied the doctor, with much emotion.	true	104.63	108.25	18.766333
2368_157066_000009_000001	"We shall do everything in the world to find our lost friend again.	"We shall do everything in the world to find our lost friend again.	false	108.41	111.7	16
2368_157066_000009_000002	Let us, in the first place, see where we are.	Let us, in the first place, see where we are.	true	111.83	114.12	15
2368_157066_000009_000003	But, above all things, let us rid the Victoria of this outside covering, which is of no further use.	But, above all things, let us rid the Victoria of this outside covering, which is of no further use.	false	114.12	119.19	14
2368_157066_000009_000004	That will relieve us of six hundred and fifty pounds, a weight not to be despised--and the end is worth the trouble!"	That will relieve us of six hundred and fifty pounds, a weight not to be despised-and the end is worth the trouble!"	false	119.19	125.8	20.843336
2368_157066_000010_000000	The doctor and Kennedy went to work at once, but they encountered great difficulty.	The doctor and Kennedy went to work at once, but they encountered great difficulty.	true	126.29	130.42	18
2368_157066_000010_000001	They had to tear the strong silk away piece by piece, and then cut it in narrow strips so as to extricate it from the meshes of the network.	They had to tear the strong silk away piece by piece, and then cut it in narrow strips so as to extricate it from the meshes of the network.	false	130.58	137.37	17
2368_157066_000010_000002	The tear made by the beaks of the condors was found to be several feet in length.	The tear made by the beaks of the condors was found to be several feet in length.	false	137.37	141.73	19.151964
2368_157066_000011_000000	This operation took at least four hours, but at length the inner balloon once completely extricated did not appear to have suffered in the least degree.	This operation took at least four hours, but at length the inner balloon once completely extricated did not appear to have suffered in the least degree.	false	141.92	148.69	13
2368_157066_000011_000001	The Victoria was thus diminished in size by one fifth, and this difference was sufficiently noticeable to excite Kennedy's surprise.	The Victoria was thus diminished in size by one fifth, and this difference was sufficiently noticeable to excite Kennedy's surprise.	true	149.12	155.95	16
2368_157066_000012_000000	"Will it be large enough?" he asked.	"Will it be large enough?" he asked.	true	156.41	158.14	19.83089
2368_157066_000013_000000	"Have no fears on that score, I will reestablish the equilibrium, and should our poor Joe return we shall find a way to start off with him again on our old route."	"Have no fears on that score, I will reestablish the equilibrium, and should our poor Joe return we shall find a way to start off with him again on our old route."	false	158.36	166.54	16
2368_157066_000014_000000	"At the moment of our fall, unless I am mistaken, we were not far from an island."	"At the moment of our fall, unless I am mistaken, we were not far from an island."	true	166.85	171.01	18
2368_157066_000015_000000	"Yes, I recollect it," said the doctor, "but that island, like all the islands on Lake Tchad, is, no doubt, inhabited by a gang of pirates and murderers.	"Yes, I recollect it," said the doctor, "but that island, like all the islands on Lake Tchad, is, no doubt, inhabited by a gang of pirates and murderers.	false	171.11	178.9	20
2368_157066_000015_000001	They certainly witnessed our misfortune, and should Joe fall into their hands, what will become of him unless protected by their superstitions?"	They certainly witnessed our misfortune, and should Joe fall into their hands, what will become of him unless protected by their superstitions?"	true	179.15	186.1	15
2368_157066_000016_000000	"Oh, he's just the lad to get safely out of the scrape, I repeat.	"Oh, he's just the lad to get safely out of the scrape, I repeat.	true	186.47	190.21	22.124851
2368_157066_000016_000001	I have great confidence in his shrewdness and skill."	I have great confidence in his shrewdness and skill."	true	190.22	192.82	16
2368_157066_000017_000000	"I hope so.	"I hope so.	true	193.16	194.17	20.354006
2368_157066_000017_000001	Now, Dick, you may go and hunt in the neighborhood, but don't get far away whatever you do.	Now, Dick, you may go and hunt in the neighborhood, but don't get far away whatever you do.	true	194.21	198.66	18
2368_157066_000017_000002	It has become a pressing necessity for us to renew our stock of provisions, since we had to sacrifice nearly all the old lot."	It has become a pressing necessity for us to renew our stock of provisions, since we had to sacrifice nearly all the old lot."	false	198.66	205.6	18
2368_157066_000018_000000	"Very good, doctor, I shall not be long absent."	"Very good, doctor, I shall not be long absent."	true	206	208.51	19
2368_157066_000019_000000	Hereupon, Kennedy took a double-barrelled fowling-piece, and strode through the long grass toward a thicket not far off, where the frequent sound of shooting soon let the doctor know that the sportsman was making a good use of his time.	Hereupon, Kennedy took a double barrelled fowling piece, and strode through the long grass toward a thicket not far off, where the frequent sound of shooting soon let the doctor know that the sportsman was making a good use of his time.	false	209.09	220.48	13
2368_157066_000020_000000	Meanwhile Ferguson was engaged in calculating the relative weight of the articles still left in the car, and in establishing the equipoise of the second balloon.	Meanwhile Ferguson was engaged in calculating the relative weight of the articles still left in the car, and in establishing the equipoise of the second balloon.	true	220.91	228.82	16
2368_157066_000020_000001	He found that there were still left some thirty pounds of pemmican, a supply of tea and coffee, about a gallon and a half of brandy, and one empty water-tank.	He found that there were still left some thirty pounds of pemmican, a supply of tea and coffee, about a gallon and a half of brandy, and one empty water tank.	true	228.95	237.58	20
2368_157066_000020_000002	All the dried meat had disappeared.	All the dried meat had disappeared.	true	237.68	239.77	20.776304
2368_157066_000021_000000	The doctor was aware that, by the loss of the hydrogen in the first balloon, the ascensional force at his disposal was now reduced to about nine hundred pounds.	The doctor was aware that, by the loss of the hydrogen in the first balloon, the ascensional force at his disposal was now reduced to about nine hundred pounds.	true	240.11	248.47	16
2368_157066_000021_000001	He therefore had to count upon this difference in order to rearrange his equilibrium.	He therefore had to count upon this difference in order to rearrange his equilibrium.	true	248.66	252.73	16
2368_157066_000021_000002	The new balloon measured sixty-seven thousand cubic feet, and contained thirty-three thousand four hundred and eighty feet of gas.	The new balloon measured sixty seven thousand cubic feet, and contained thirty three thousand four hundred and eighty feet of gas.	true	253.07	259.63	16
2368_157066_000021_000003	The dilating apparatus appeared to be in good condition, and neither the battery nor the spiral had been injured.	The dilating apparatus appeared to be in good condition, and neither the battery nor the spiral had been injured.	true	259.82	265.66	20
2368_157066_000022_000000	The ascensional force of the new balloon was then about three thousand pounds, and, in adding together the weight of the apparatus, of the passengers, of the stock of water, of the car and its accessories, and putting aboard fifty gallons of water, and one hundred pounds of fresh meat, the doctor got a total weight of twenty-eight hundred and thirty pounds.	The ascensional force of the new balloon was then about three thousand pounds, and, in adding together the weight of the apparatus, of the passengers, of the stock of water, of the car and its accessories, and putting aboard fifty gallons of water, and one hundred pounds of fresh meat, the doctor got a total weight of twenty eight hundred and thirty pounds.	false	265.82	283.42	18
2368_157066_000022_000001	He could then take with him one hundred and seventy pounds of ballast, for unforeseen emergencies, and the balloon would be in exact balance with the surrounding atmosphere.	He could then take with him one hundred and seventy pounds of ballast, for unforeseen emergencies, and the balloon would be in exact balance with the surrounding atmosphere.	true	283.64	291.58	17
2368_157066_000023_000000	His arrangements were completed accordingly, and he made up for Joe's weight with a surplus of ballast.	His arrangements were completed accordingly, and he made up for Joe's weight with a surplus of ballast.	true	292.16	296.71	16
2368_157066_000023_000001	He spent the whole day in these preparations, and the latter were finished when Kennedy returned.	He spent the whole day in these preparations, and the latter were finished when Kennedy returned.	false	296.87	301.3	19.614473
2368_157066_000023_000002	The hunter had been successful, and brought back a regular cargo of geese, wild-duck, snipe, teal, and plover.	The hunter had been successful, and brought back a regular cargo of geese, wild duck, snipe, teal, and plover.	true	301.49	307.66	17
2368_157066_000023_000003	He went to work at once to draw and smoke the game.	He went to work at once to draw and smoke the game.	true	307.91	310.48	17
2368_157066_000023_000004	Each piece, suspended on a small, thin skewer, was hung over a fire of green wood.	Each piece, suspended on a small, thin skewer, was hung over a fire of green wood.	false	310.61	315.28	19
2368_157066_000023_000005	When they seemed in good order, Kennedy, who was perfectly at home in the business, packed them away in the car.	When they seemed in good order, Kennedy, who was perfectly at home in the business, packed them away in the car.	false	315.5	320.53	16
2368_157066_000024_000000	On the morrow, the hunter was to complete his supplies.	On the morrow, the hunter was to complete his supplies.	true	321.02	323.71	18
2368_157066_000025_000000	Evening surprised our travellers in the midst of this work.	Evening surprised our travellers in the midst of this work.	true	323.78	326.85	19.351606
2368_157066_000025_000001	Their supper consisted of pemmican, biscuit, and tea; and fatigue, after having given them appetite, brought them sleep.	Their supper consisted of pemmican, biscuit, and tea; and fatigue, after having given them appetite, brought them sleep.	true	326.85	333.46	18
2368_157066_000025_000002	Each of them strained eyes and ears into the gloom during his watch, sometimes fancying that they heard the voice of poor Joe; but, alas! the voice that they so longed to hear, was far away.	Each of them strained eyes and ears into the gloom during his watch, sometimes fancying that they heard the voice of poor Joe; but, alas! the voice that they so longed to hear, was far away.	true	333.56	343.54	15
2368_157066_000026_000000	"At the first streak of day, the doctor aroused Kennedy.	"At the first streak of day, the doctor aroused Kennedy.	true	343.91	346.44	20
2368_157066_000027_000000	"I have been long and carefully considering what should be done," said he, "to find our companion."	"I have been long and carefully considering what should be done," said he, "to find our companion."	false	346.44	350.89	18.304825
2368_157066_000028_000000	"Whatever your plan may be, doctor, it will suit me.	"Whatever your plan may be, doctor, it will suit me.	false	351.38	355.815	20.07136
2368_157066_000028_000001	Speak!"	Speak!"	true	355.815	356.59	22.319708
2368_157066_000029_000000	"Above all things, it is important that Joe should hear from us in some way."	"Above all things, it is important that Joe should hear from us in some way."	false	356.93	360.64	13
2368_157066_000030_000000	"Undoubtedly.	"Undoubtedly.	true	360.71	361.41	11.1184225
2368_157066_000030_000001	Suppose the brave fellow should take it into his head that we have abandoned him?"	Suppose the brave fellow should take it into his head that we have abandoned him?"	true	361.41	365.02	16
2368_157066_000031_000000	"He!	"He!	true	365.36	366.1	19.23997
2368_157066_000031_000001	He knows us too well for that.	He knows us too well for that.	true	366.17	367.665	17
2368_157066_000031_000002	Such a thought would never come into his mind.	Such a thought would never come into his mind.	true	367.665	369.7	15
2368_157066_000031_000003	But he must be informed as to where we are."	But he must be informed as to where we are."	true	369.77	371.95	19
2368_157066_000032_000000	"How can that be managed?"	"How can that be managed?"	false	372.14	373.57	24.021454
2368_157066_000033_000000	"We shall get into our car and be off again through the air."	"We shall get into our car and be off again through the air."	true	373.7	376.6	18
2368_157066_000034_000000	"But, should the wind bear us away?"	"But, should the wind bear us away?"	true	376.85	378.49	18.413027
2368_157066_000035_000000	"Happily, it will not.	"Happily, it will not.	false	378.77	380.02	22.036823
2368_157066_000035_000001	See, Dick! it is carrying us back to the lake; and this circumstance, which would have been vexatious yesterday, is fortunate now.	See, Dick! it is carrying us back to the lake; and this circumstance, which would have been vexatious yesterday, is fortunate now.	true	380.06	386.68	18
2368_157066_000035_000002	Our efforts, then, will be limited to keeping ourselves above that vast sheet of water throughout the day.	Our efforts, then, will be limited to keeping ourselves above that vast sheet of water throughout the day.	true	386.84	391.51	16
2368_157066_000035_000003	Joe cannot fail to see us, and his eyes will be constantly on the lookout in that direction.	Joe cannot fail to see us, and his eyes will be constantly on the lookout in that direction.	true	391.76	395.95	17
2368_157066_000035_000004	Perhaps he will even manage to let us know the place of his retreat."	Perhaps he will even manage to let us know the place of his retreat."	true	396.17	399.37	19.199812
2368_157066_000036_000000	"If he be alone and at liberty, he certainly will."	"If he be alone and at liberty, he certainly will."	true	399.8	402.28	18
2368_157066_000037_000000	"And if a prisoner," resumed the doctor, "it not being the practice of the natives to confine their captives, he will see us, and comprehend the object of our researches."	"And if a prisoner," resumed the doctor, "it not being the practice of the natives to confine their captives, he will see us, and comprehend the object of our researches."	true	402.53	410.65	19
2368_157066_000038_000000	"But, at last," put in Kennedy--"for we must anticipate every thing--should we find no trace--if he should have left no mark to follow him by, what are we to do?"	"But, at last," put in Kennedy-"for we must anticipate every thing-should we find no trace-if he should have left no mark to follow him by, what are we to do?"	false	410.93	418.84	19
2368_157066_000039_000000	"We shall endeavor to regain the northern part of the lake, keeping ourselves as much in sight as possible.	"We shall endeavor to regain the northern part of the lake, keeping ourselves as much in sight as possible.	false	419.24	424.21	18
2368_157066_000039_000001	There we'll wait; we'll explore the banks; we'll search the water's edge, for Joe will assuredly try to reach the shore; and we will not leave the country without having done every thing to find him."	There we'll wait; we'll explore the banks; we'll search the water's edge, for Joe will assuredly try to reach the shore; and we will not leave the country without having done every thing to find him."	true	424.43	434.41	18
2368_157066_000040_000000	"Let us set out, then!" said the hunter.	"Let us set out, then!" said the hunter.	true	434.72	436.48	23
2368_157066_000041_000000	The doctor hereupon took the exact bearings of the patch of solid land they were about to leave, and arrived at the conclusion that it lay on the north shore of Lake Tchad, between the village of Lari and the village of Ingemini, both visited by Major Denham.	The doctor hereupon took the exact bearings of the patch of solid land they were about to leave, and arrived at the conclusion that it lay on the north shore of Lake Tchad, between the village of Lari and the village of Ingemini, both visited by Major Denham.	true	436.97	450.7	18
2368_157066_000041_000001	During this time Kennedy was completing his stock of fresh meat.	During this time Kennedy was completing his stock of fresh meat.	true	450.98	454.39	19
2368_157066_000041_000002	Although the neighboring marshes showed traces of the rhinoceros, the lamantine (or manatee), and the hippopotamus, he had no opportunity to see a single specimen of those animals.	Although the neighboring marshes showed traces of the rhinoceros, the lamantine (or manatee), and the hippopotamus, he had no opportunity to see a single specimen of those animals.	false	454.43	464.08	14
2368_157066_000042_000000	At seven in the morning, but not without great difficulty--which to Joe would have been nothing--the balloon's anchor was detached from its hold, the gas dilated, and the new Victoria rose two hundred feet into the air.	At seven in the morning, but not without great difficulty-which to Joe would have been nothing-the balloon's anchor was detached from its hold, the gas dilated, and the new Victoria rose two hundred feet into the air.	true	464.48	476.26	18
2368_157066_000042_000001	It seemed to hesitate at first, and went spinning around, like a top; but at last a brisk current caught it, and it advanced over the lake, and was soon borne away at a speed of twenty miles per hour.	It seemed to hesitate at first, and went spinning around, like a top; but at last a brisk current caught it, and it advanced over the lake, and was soon borne away at a speed of twenty miles per hour.	false	476.54	486.22	17
2368_157066_000043_000000	The doctor continued to keep at a height of from two hundred to five hundred feet.	The doctor continued to keep at a height of from two hundred to five hundred feet.	true	486.68	490.72	17
2368_157066_000043_000001	Kennedy frequently discharged his rifle; and, when passing over islands, the aeronauts approached them even imprudently, scrutinizing the thickets, the bushes, the underbrush--in fine, every spot where a mass of shade or jutting rock could have afforded a retreat to their companion.	Kennedy frequently discharged his rifle; and, when passing over islands, the aeronauts approached them even imprudently, scrutinizing the thickets, the bushes, the underbrush-in fine, every spot where a mass of shade or jutting rock could have afforded a retreat to their companion.	false	490.85	505.75	17
2368_157066_000043_000002	They swooped down close to the long pirogues that navigated the lake; and the wild fishermen, terrified at the sight of the balloon, would plunge into the water and regain their islands with every symptom of undisguised affright.	They swooped down close to the long pirogues that navigated the lake; and the wild fishermen, terrified at the sight of the balloon, would plunge into the water and regain their islands with every symptom of undisguised affright.	false	506	517.51	16
2368_157066_000044_000000	"We can see nothing," said Kennedy, after two hours of search.	"We can see nothing," said Kennedy, after two hours of search.	true	517.97	520.69	17
2368_157066_000045_000000	"Let us wait a little longer, Dick, and not lose heart.	"Let us wait a little longer, Dick, and not lose heart.	true	520.94	523.6	16.507225
2368_157066_000045_000001	We cannot be far away from the scene of our accident."	We cannot be far away from the scene of our accident."	true	523.61	526.21	21
2368_157066_000046_000000	By eleven o'clock the balloon had gone ninety miles.	By eleven o'clock the balloon had gone ninety miles.	true	526.52	529.35	14
2368_157066_000046_000001	It then fell in with a new current, which, blowing almost at right angles to the other, drove them eastward about sixty miles.	It then fell in with a new current, which, blowing almost at right angles to the other, drove them eastward about sixty miles.	false	529.35	535.93	15
2368_157066_000046_000002	It next floated over a very large and populous island, which the doctor took to be Farram, on which the capital of the Biddiomahs is situated.	It next floated over a very large and populous island, which the doctor took to be Farram, on which the capital of the Biddiomahs is situated.	false	536.06	544.57	20
2368_157066_000046_000003	Ferguson expected at every moment to see Joe spring up out of some thicket, flying for his life, and calling for help.	Ferguson expected at every moment to see Joe spring up out of some thicket, flying for his life, and calling for help.	false	544.79	551.265	20
2368_157066_000046_000004	Were he free, they could pick him up without trouble; were he a prisoner, they could rescue him by repeating the manoeuvre they had practised to save the missionary, and he would soon be with his friends again; but nothing was seen, not a sound was heard.	Were he free, they could pick him up without trouble; were he a prisoner, they could rescue him by repeating the manoeuvre they had practised to save the missionary, and he would soon be with his friends again; but nothing was seen, not a sound was heard.	false	551.265	562.99	18
2368_157066_000046_000005	The case seemed desperate.	The case seemed desperate.	false	563.09	564.61	22.643993
2368_157066_000047_000000	About half-past two o'clock, the Victoria hove in sight of Tangalia, a village situated on the eastern shore of Lake Tchad, where it marks the extreme point attained by Denham at the period of his exploration.	About half past two o'clock, the Victoria hove in sight of Tangalia, a village situated on the eastern shore of Lake Tchad, where it marks the extreme point attained by Denham at the period of his exploration.	false	564.98	576.49	18
2368_157066_000048_000000	The doctor became uneasy at this persistent setting of the wind in that direction, for he felt that he was being thrown back to the eastward, toward the centre of Africa, and the interminable deserts of that region.	The doctor became uneasy at this persistent setting of the wind in that direction, for he felt that he was being thrown back to the eastward, toward the centre of Africa, and the interminable deserts of that region.	false	576.86	587.47	17
2368_157066_000049_000000	"We must absolutely come to a halt," said he, "and even alight.	"We must absolutely come to a halt," said he, "and even alight.	true	587.93	591.19	21
2368_157066_000049_000001	For Joe's sake, particularly, we ought to go back to the lake; but, to begin with, let us endeavor to find an opposite current."	For Joe's sake, particularly, we ought to go back to the lake; but, to begin with, let us endeavor to find an opposite current."	false	591.2	597.49	21
2368_157066_000050_000000	During more than an hour he searched at different altitudes: the balloon always came back toward the mainland.	During more than an hour he searched at different altitudes: the balloon always came back toward the mainland.	true	597.92	603.51	18
2368_157066_000050_000001	But at length, at the height of a thousand feet, a very violent breeze swept to the northwestward.	But at length, at the height of a thousand feet, a very violent breeze swept to the northwestward.	false	603.51	608.95	18
2368_157066_000051_000000	It was out of the question that Joe should have been detained on one of the islands of the lake; for, in such case he would certainly have found means to make his presence there known.	It was out of the question that Joe should have been detained on one of the islands of the lake; for, in such case he would certainly have found means to make his presence there known.	false	609.44	617.77	15
2368_157066_000051_000001	Perhaps he had been dragged to the mainland.	Perhaps he had been dragged to the mainland.	false	618.02	619.99	20.431965
2368_157066_000051_000002	The doctor was reasoning thus to himself, when he again came in sight of the northern shore of Lake Tchad.	The doctor was reasoning thus to himself, when he again came in sight of the northern shore of Lake Tchad.	true	620.36	626.02	16
2368_157066_000052_000000	As for supposing that Joe had been drowned, that was not to be believed for a moment.	As for supposing that Joe had been drowned, that was not to be believed for a moment.	false	626.3	630.31	19.550108
2368_157066_000052_000001	One horrible thought glanced across the minds of both Kennedy and the doctor: caymans swarm in these waters!	One horrible thought glanced across the minds of both Kennedy and the doctor: caymans swarm in these waters!	true	630.56	636.52	20
2368_157066_000052_000002	But neither one nor the other had the courage to distinctly communicate this impression. However, it came up to them so forcibly at last that the doctor said, without further preface:	But neither one nor the other had the courage to distinctly communicate this impression. However, it came up to them so forcibly at last that the doctor said, without further preface:	false	636.65	645.79	16
2368_157066_000053_000000	"Crocodiles are found only on the shores of the islands or of the lake, and Joe will have skill enough to avoid them.	"Crocodiles are found only on the shores of the islands or of the lake, and Joe will have skill enough to avoid them.	true	646.13	652.74	18.254662
2368_157066_000053_000001	Besides, they are not very dangerous; and the Africans bathe with impunity, and quite fearless of their attacks."	Besides, they are not very dangerous; and the Africans bathe with impunity, and quite fearless of their attacks."	true	652.74	658.33	19
2368_157066_000054_000000	Kennedy made no reply.	Kennedy made no reply.	true	658.64	660.19	18.436005
2368_157066_000054_000001	He preferred keeping quiet to discussing this terrible possibility.	He preferred keeping quiet to discussing this terrible possibility.	true	660.32	663.88	16
2368_157066_000055_000000	The doctor made out the town of Lari about five o'clock in the evening. The inhabitants were at work gathering in their cotton-crop in front of their huts, constructed of woven reeds, and standing in the midst of clean and neatly-kept enclosures.	The doctor made out the town of Lari about five o'clock in the evening. The inhabitants were at work gathering in their cotton crop in front of their huts, constructed of woven reeds, and standing in the midst of clean and neatly kept enclosures.	false	664.07	675.97	16
2368_157066_000055_000001	This collection of about fifty habitations occupied a slight depression of the soil, in a valley extending between two low mountains.	This collection of about fifty habitations occupied a slight depression of the soil, in a valley extending between two low mountains.	true	676.31	683.74	17
2368_157066_000055_000002	The force of the wind carried the doctor farther onward than he wanted to go; but it changed a second time, and bore him back exactly to his starting-point, on the sort of enclosed island where he had passed the preceding night.	The force of the wind carried the doctor farther onward than he wanted to go; but it changed a second time, and bore him back exactly to his starting point, on the sort of enclosed island where he had passed the preceding night.	false	683.96	694.75	15
2368_157066_000055_000003	The anchor, instead of catching the branches of the tree, took hold in the masses of reeds mixed with the thick mud of the marshes, which offered considerable resistance.	The anchor, instead of catching the branches of the tree, took hold in the masses of reeds mixed with the thick mud of the marshes, which offered considerable resistance.	true	695	704.41	18
2368_157066_000056_000000	The doctor had much difficulty in restraining the balloon; but at length the wind died away with the setting in of nightfall; and the two friends kept watch together in an almost desperate state of mind.	The doctor had much difficulty in restraining the balloon; but at length the wind died away with the setting in of nightfall; and the two friends kept watch together in an almost desperate state of mind.	false	704.72	727.56	19.598145
