3923_153309_000002_000000	XVII.	seventeen.
3923_153309_000031_000003	He had not been long in town and was somewhat of a stranger yet, but he wouldn't be so long.	He had not been long in town and was somewhat of a stranger yet, but he wouldn't be so long.
3923_153309_000031_000004	He was going to make things hum, he was.	He was going to make things hum, he was.
3923_153309_000031_000005	Money for this, money for that, a horse where another man would walk, and mail--well, that alone would make this post-office worth while.	Money for this, money for that, a horse where another man would walk, and mail-well, that alone would make this post office worth while.
3923_153309_000031_000006	Then the drugs ordered by wholesale.	Then the drugs ordered by wholesale.
3923_153309_000031_000007	Those boxes over there were his, ready to be carted out to his manufactory.	Those boxes over there were his, ready to be carted out to his manufactory.
3923_153309_000031_000008	Count them, some one, and think of the bottles and bottles of stuff they stand for.	Count them, some one, and think of the bottles and bottles of stuff they stand for.
3923_153309_000031_000009	If it sells as he says it will--then he will soon be rich: and so on, till Sweetwater brought the garrulous Dick to a standstill by asking whether Wellgood had been away for any purpose since he first came to town.	If it sells as he says it will-then he will soon be rich: and so on, till Sweetwater brought the garrulous Dick to a standstill by asking whether Wellgood had been away for any purpose since he first came to town.
3923_153309_000031_000011	Sweetwater felt all his convictions confirmed, and ended the colloquy with the final question:	Sweetwater felt all his convictions confirmed, and ended the colloquy with the final question:
3923_153309_000032_000000	"And where is his manufactory?	"And where is his manufactory?
3923_153309_000032_000001	Might be worth visiting, perhaps."	Might be worth visiting, perhaps."
3923_153309_000033_000000	The other made a gesture, said something about northwest and rushed to help a customer.	The other made a gesture, said something about northwest and rushed to help a customer.
3923_153309_000033_000001	Sweetwater took the opportunity to slide away.	Sweetwater took the opportunity to slide away.
3923_153309_000034_000000	Sweetwater made only one stop on his way to Mr. Grey's hotel rooms, and that was at the stables.	Sweetwater made only one stop on his way to mr Grey's hotel rooms, and that was at the stables.
3923_153309_000034_000001	Here he learned whatever else there was to know, and, armed with definite information, he appeared before Mr. Grey, who, to his astonishment, was dining in his own room.	Here he learned whatever else there was to know, and, armed with definite information, he appeared before mr Grey, who, to his astonishment, was dining in his own room.
3923_153309_000035_000001	He looked up eagerly, however, when Sweetwater entered, and asked what news.	He looked up eagerly, however, when Sweetwater entered, and asked what news.
3923_153309_000036_000000	The detective, with some semblance of respect, answered that he had seen Wellgood, but that he had been unable to detain him or bring him within his employer's observation.	The detective, with some semblance of respect, answered that he had seen Wellgood, but that he had been unable to detain him or bring him within his employer's observation.
3923_153309_000037_000000	"He is a patent-medicine man," he then explained, "and manufactures his own concoctions in a house he has rented here on a lonely road some half-mile out of town."	"He is a patent medicine man," he then explained, "and manufactures his own concoctions in a house he has rented here on a lonely road some half mile out of town."
3923_153309_000038_000000	"Wellgood does?	"Wellgood does?
3923_153309_000038_000001	the man named Wellgood?" Mr. Grey exclaimed with all the astonishment the other secretly expected.	the man named Wellgood?" mr Grey exclaimed with all the astonishment the other secretly expected.
3923_153309_000039_000000	"Yes; Wellgood, James Wellgood.	"Yes; Wellgood, james Wellgood.
3923_153309_000042_000000	"Ah!"	"Ah!"
3923_153309_000043_000000	Mr. Grey rose precipitately.	mr Grey rose precipitately.
3923_153309_000043_000001	His manner had changed.	His manner had changed.
3923_153309_000044_000000	"I must see him.	"I must see him.
3923_153309_000044_000001	What you tell me makes it all the more necessary for me to see him.	What you tell me makes it all the more necessary for me to see him.
3923_153309_000044_000002	How can you bring it about?"	How can you bring it about?"
3923_153309_000046_000001	Couldn't you rap him up at his own door, and hold him in talk a minute, while I looked on from the carriage or whatever vehicle we can get to carry us there?	Couldn't you rap him up at his own door, and hold him in talk a minute, while I looked on from the carriage or whatever vehicle we can get to carry us there?
3923_153309_000046_000002	The least glimpse of his face would satisfy me.	The least glimpse of his face would satisfy me.
3923_153309_000046_000003	That is, to-night."	That is, to night."
3923_153309_000047_000000	"I'll try," said Sweetwater, not very sanguine as to the probable result of this effort.	"I'll try," said Sweetwater, not very sanguine as to the probable result of this effort.
3923_153309_000048_000000	Returning to the stables, he ordered the team.	Returning to the stables, he ordered the team.
