5400_34479_000001_000000	Chapter 4	Chapter four
5400_34479_000035_000002	The master, sure, does his best for himself!	The master, sure, does his best for himself!
5400_34479_000035_000003	But see the grass missed out!	But see the grass missed out!
5400_34479_000035_000004	For such work us fellows would catch it!"	For such work us fellows would catch it!"
5400_34479_000036_000000	The grass became softer, and Levin, listening without answering, followed Tit, trying to do the best he could.	The grass became softer, and Levin, listening without answering, followed Tit, trying to do the best he could.
5400_34479_000036_000001	They moved a hundred paces.	They moved a hundred paces.
5400_34479_000036_000002	Tit kept moving on, without stopping, not showing the slightest weariness, but Levin was already beginning to be afraid he would not be able to keep it up: he was so tired.	Tit kept moving on, without stopping, not showing the slightest weariness, but Levin was already beginning to be afraid he would not be able to keep it up: he was so tired.
5400_34479_000037_000002	Levin straightened himself, and drawing a deep breath looked round.	Levin straightened himself, and drawing a deep breath looked round.
5400_34479_000037_000006	Tit moved on with sweep after sweep of his scythe, not stopping nor showing signs of weariness.	Tit moved on with sweep after sweep of his scythe, not stopping nor showing signs of weariness.
5400_34479_000039_000000	His pleasure was only disturbed by his row not being well cut.	His pleasure was only disturbed by his row not being well cut.
5400_34479_000040_000000	The first row, as Levin noticed, Tit had mowed specially quickly, probably wishing to put his master to the test, and the row happened to be a long one.	The first row, as Levin noticed, Tit had mowed specially quickly, probably wishing to put his master to the test, and the row happened to be a long one.
5400_34479_000041_000000	He thought of nothing, wished for nothing, but not to be left behind the peasants, and to do his work as well as possible.	He thought of nothing, wished for nothing, but not to be left behind the peasants, and to do his work as well as possible.
5400_34479_000043_000000	Another row, and yet another row, followed--long rows and short rows, with good grass and with poor grass.	Another row, and yet another row, followed-long rows and short rows, with good grass and with poor grass.
5400_34479_000043_000002	A change began to come over his work, which gave him immense satisfaction.	A change began to come over his work, which gave him immense satisfaction.
5400_34479_000044_000000	On finishing yet another row he would have gone back to the top of the meadow again to begin the next, but Tit stopped, and going up to the old man said something in a low voice to him.	On finishing yet another row he would have gone back to the top of the meadow again to begin the next, but Tit stopped, and going up to the old man said something in a low voice to him.
5400_34479_000044_000001	They both looked at the sun. "What are they talking about, and why doesn't he go back?" thought Levin, not guessing that the peasants had been mowing no less than four hours without stopping, and it was time for their lunch.	They both looked at the sun "What are they talking about, and why doesn't he go back?" thought Levin, not guessing that the peasants had been mowing no less than four hours without stopping, and it was time for their lunch.
5400_34479_000045_000000	"Lunch, sir," said the old man.	"Lunch, sir," said the old man.
5400_34479_000046_000000	"Is it really time?	"Is it really time?
5400_34479_000046_000001	That's right; lunch, then."	That's right; lunch, then."
5400_34479_000047_000000	Levin gave his scythe to Tit, and together with the peasants, who were crossing the long stretch of mown grass, slightly sprinkled with rain, to get their bread from the heap of coats, he went towards his house. Only then he suddenly awoke to the fact that he had been wrong about the weather and the rain was drenching his hay.	Levin gave his scythe to Tit, and together with the peasants, who were crossing the long stretch of mown grass, slightly sprinkled with rain, to get their bread from the heap of coats, he went towards his house. Only then he suddenly awoke to the fact that he had been wrong about the weather and the rain was drenching his hay.
5400_34479_000048_000000	"The hay will be spoiled," he said.	"The hay will be spoiled," he said.
5400_34479_000049_000000	"Not a bit of it, sir; mow in the rain, and you'll rake in fine weather!" said the old man.	"Not a bit of it, sir; mow in the rain, and you'll rake in fine weather!" said the old man.
5400_34479_000050_000000	Levin untied his horse and rode home to his coffee.	Levin untied his horse and rode home to his coffee.
5400_34479_000050_000001	Sergey Ivanovitch was only just getting up.	Sergey Ivanovitch was only just getting up.
