4899_32637_000001_000000	III	three
4899_32637_000020_000001	So when it came my turn to have the class meet here, she was not quite pleased.	So when it came my turn to have the class meet here, she was not quite pleased.
4899_32637_000020_000002	I told her she could stay and watch us, and then she would see for herself that we all behaved ourselves.	I told her she could stay and watch us, and then she would see for herself that we all behaved ourselves.
4899_32637_000021_000000	Sept. 19.-The class met at Amelia's to-night.	september nineteenth.-The class met at Amelia's to night.
4899_32637_000021_000001	Mother insisted on sending for me, though Mr. Underhill had proposed to see me home himself.	Mother insisted on sending for me, though mr Underhill had proposed to see me home himself.
4899_32637_000021_000002	So he stayed after I left.	So he stayed after I left.
4899_32637_000022_000000	Sept. 28-We met at Jenny's this evening.	september twenty eighth-We met at Jenny's this evening.
4899_32637_000022_000002	Jenny idled over her lessons, and at last took a book and began to read.	Jenny idled over her lessons, and at last took a book and began to read.
4899_32637_000022_000003	I studied awhile with Mr. Underhill.	I studied awhile with mr Underhill.
4899_32637_000022_000004	At last he said, scribbling something on a bit of paper:	At last he said, scribbling something on a bit of paper:
4899_32637_000023_000000	"Here is a sentence I hope you can translate."	"Here is a sentence I hope you can translate."
4899_32637_000024_000000	I took it, and read these words:	I took it, and read these words:
4899_32637_000025_000000	"You are the brightest, prettiest, most warm-hearted little thing in the world.	"You are the brightest, prettiest, most warm hearted little thing in the world.
4899_32637_000025_000001	And I love you more than tongue can tell.	And I love you more than tongue can tell.
4899_32637_000025_000002	You must love me in the same way."	You must love me in the same way."
4899_32637_000026_000001	But I pretended to laugh, and said I could not translate Greek.	But I pretended to laugh, and said I could not translate Greek.
4899_32637_000026_000002	I shall have to tell mother, and what will she say?	I shall have to tell mother, and what will she say?
4899_32637_000028_000000	"Kate, I do not like these lessons of yours.	"Kate, I do not like these lessons of yours.
4899_32637_000028_000001	At your age, with your judgment quite unformed, it is not proper that you should spend so much time with a young man.	At your age, with your judgment quite unformed, it is not proper that you should spend so much time with a young man.
4899_32637_000029_000000	"Jenny is always there, and Amelia," I replied.	"Jenny is always there, and Amelia," I replied.
4899_32637_000030_000000	"That makes no difference.	"That makes no difference.
4899_32637_000030_000001	I wish the whole thing stopped.	I wish the whole thing stopped.
4899_32637_000030_000003	Mrs. Gordon says--"	mrs Gordon says-"
4899_32637_000031_000000	"Mrs. Gordon!	"mrs Gordon!
4899_32637_000032_000000	"If what you say of Amelia is true, it is most ungenerous in you to tell of it.	"If what you say of Amelia is true, it is most ungenerous in you to tell of it.
4899_32637_000032_000001	But I do not believe it.	But I do not believe it.
4899_32637_000033_000000	I began to cry.	I began to cry.
4899_32637_000034_000000	"He likes me," I got out, "he likes me ever so much.	"He likes me," I got out, "he likes me ever so much.
4899_32637_000034_000002	Nobody ever said such nice things to me.	Nobody ever said such nice things to me.
4899_32637_000034_000003	And I don't want such horrid things said about him."	And I don't want such horrid things said about him."
4899_32637_000036_000000	I kept on crying.	I kept on crying.
4899_32637_000037_000000	"Is it possible," she went on, "that with your good sense, and the education you have had, you are captivated by this mere boy?"	"Is it possible," she went on, "that with your good sense, and the education you have had, you are captivated by this mere boy?"
4899_32637_000038_000000	"He is not a boy," I said.	"He is not a boy," I said.
4899_32637_000039_000000	"The child actually keeps his birthdays!" cried mother.	"The child actually keeps his birthdays!" cried mother.
4899_32637_000042_000000	This time my mouth shut itself up, and no mortal force could open it. I stopped crying, and sat with folded arms.	This time my mouth shut itself up, and no mortal force could open it. I stopped crying, and sat with folded arms.
4899_32637_000042_000001	Mother said what she had to say, and then I came to you, my dear old Journal.	Mother said what she had to say, and then I came to you, my dear old Journal.
4899_32637_000043_000000	Yes, he likes me and I like him.	Yes, he likes me and I like him.
4899_32637_000043_000001	Come now, let's out with it once for all.	Come now, let's out with it once for all.
4899_32637_000043_000002	He loves me and I love him.	He loves me and I love him.
4899_32637_000043_000003	You are just a little bit too late, mother.	You are just a little bit too late, mother.
4899_32637_000044_000000	Oct 1.-I never can write down all the things that have happened.	october first.-I never can write down all the things that have happened.
4899_32637_000044_000001	The very day after I wrote that mother had forbidden my going to the class, Charley came to see her, and they had a regular fight together.	The very day after I wrote that mother had forbidden my going to the class, Charley came to see her, and they had a regular fight together.
4899_32637_000044_000003	Then, as he could not prevail, his uncle wrote, told her it would be the making of Charley to be settled down on one young lady instead of hovering from flower to flower, as he was doing now.	Then, as he could not prevail, his uncle wrote, told her it would be the making of Charley to be settled down on one young lady instead of hovering from flower to flower, as he was doing now.
4899_32637_000044_000004	Then Jenny came with her pretty ways, and cried, and told mother what a darling brother Charley was.	Then Jenny came with her pretty ways, and cried, and told mother what a darling brother Charley was.
4899_32637_000044_000005	She made a good deal, too, out of his having lost both father and mother, and needing my affection so much.	She made a good deal, too, out of his having lost both father and mother, and needing my affection so much.
4899_32637_000044_000006	Mother shut herself up, and I have no doubt prayed over it.	Mother shut herself up, and I have no doubt prayed over it.
4899_32637_000044_000008	Then she sent for me and talked beautifully, and I behaved abominably.	Then she sent for me and talked beautifully, and I behaved abominably.
4899_32637_000045_000000	At last she said she would put us on one year's probation.	At last she said she would put us on one year's probation.
4899_32637_000045_000001	Charley might spend one evening here every two weeks, when she should always be present.	Charley might spend one evening here every two weeks, when she should always be present.
4899_32637_000045_000002	We were never to be seen together in public, nor would she allow us to correspond.	We were never to be seen together in public, nor would she allow us to correspond.
4899_32637_000045_000003	If, at the end of the year, we were both as eager for it as we are now, she would consent to our engagement. Of course we shall be, so I consider myself as good as engaged now. Dear me!	If, at the end of the year, we were both as eager for it as we are now, she would consent to our engagement. Of course we shall be, so I consider myself as good as engaged now. Dear me!
4899_32637_000045_000004	how funny it seems.	how funny it seems.
4899_32637_000046_000000	Oct 2.-Charley is not at all pleased with mother's terms, but no one would guess it from his manner to her.	october second.-Charley is not at all pleased with mother's terms, but no one would guess it from his manner to her.
4899_32637_000046_000001	His coming is always the signal for her trotting down stairs; he goes to meet her and offers her a chair, as if he was delighted to see her.	His coming is always the signal for her trotting down stairs; he goes to meet her and offers her a chair, as if he was delighted to see her.
4899_32637_000046_000002	We go on with the lessons, as this gives us a chance to sit pretty close together, and when I am writing my exercises and he corrects them, I rather think a few little things get on to the paper that sound nicely to us, but would not strike mother very agreeably.	We go on with the lessons, as this gives us a chance to sit pretty close together, and when I am writing my exercises and he corrects them, I rather think a few little things get on to the paper that sound nicely to us, but would not strike mother very agreeably.
4899_32637_000046_000003	For instance, last night Charley wrote:	For instance, last night Charley wrote:
4899_32637_000047_000001	A nice little headache or two would be so convenient to us!"	A nice little headache or two would be so convenient to us!"
4899_32637_000048_000000	And I wrote back.	And I wrote back.
4899_32637_000049_000000	"You dear old horrid thing How can you be so selfish?"	"You dear old horrid thing How can you be so selfish?"
4899_32637_000050_000000	Jan. 15, 1833.-I have been trying to think whether I am any happier today than I was at this time a year ago.	january fifteenth eighteen thirty three.-I have been trying to think whether I am any happier today than I was at this time a year ago.
4899_32637_000050_000001	If I am not, I suppose it is the tantalizing way in which I am placed in regard to Charley.	If I am not, I suppose it is the tantalizing way in which I am placed in regard to Charley.
4899_32637_000050_000003	He says he entered into no contract not to write, and keeps slipping little notes into my hand; but I don't think that quite right.	He says he entered into no contract not to write, and keeps slipping little notes into my hand; but I don't think that quite right.
4899_32637_000051_000000	"I would not argue with him, if I were you.	"I would not argue with him, if I were you.
4899_32637_000051_000001	He never will yield."	He never will yield."
4899_32637_000054_000000	"Oh, you may as well finish it!" I cried.	"Oh, you may as well finish it!" I cried.
4899_32637_000054_000001	"I know you think him a fool."	"I know you think him a fool."
4899_32637_000055_000000	Then mother burst out,	Then mother burst out,
4899_32637_000056_000000	"Oh, my child," she said, "before it is too late, do be persuaded by me to give up this whole thing.	"Oh, my child," she said, "before it is too late, do be persuaded by me to give up this whole thing.
4899_32637_000056_000001	I shrink from paining or offending you, but it is my duty, as your mother, to warn you against a marriage that will make shipwreck of your happiness."'	I shrink from paining or offending you, but it is my duty, as your mother, to warn you against a marriage that will make shipwreck of your happiness."'
4899_32637_000057_000000	"Marriage!" I fairly shrieked out.	"Marriage!" I fairly shrieked out.
4899_32637_000057_000002	I felt a chill creep over me.	I felt a chill creep over me.
4899_32637_000058_000000	"Yes, marriage!" mother repeated.	"Yes, marriage!" mother repeated.
4899_32637_000058_000002	How can you fail to see, what I see, oh! so plainly, that Charley Underhill can never, never meet the requirements of your soul.	How can you fail to see, what I see, oh! so plainly, that Charley Underhill can never, never meet the requirements of your soul.
4899_32637_000058_000003	You are captivated by what girls of your age call beauty, regular features, a fair complexion and soft eyes.	You are captivated by what girls of your age call beauty, regular features, a fair complexion and soft eyes.
4899_32637_000058_000004	His flatteries delude, and his professions of affection gratify you.	His flatteries delude, and his professions of affection gratify you.
4899_32637_000058_000005	You do not see that he is shallow, and conceited, and selfish and-"	You do not see that he is shallow, and conceited, and selfish and "
4899_32637_000059_000000	"Oh mother!	"Oh mother!
4899_32637_000059_000001	How can you be so unjust?	How can you be so unjust?
4899_32637_000059_000002	His whole study seems to be to please others."	His whole study seems to be to please others."
4899_32637_000060_000000	"Seems to be--that is true," she replied.	"Seems to be-that is true," she replied.
4899_32637_000060_000001	"His ruling passion is love of admiration; the little pleasing acts that attract you are so many traps set to catch the attention and the favorable opinion of those about him.	"His ruling passion is love of admiration; the little pleasing acts that attract you are so many traps set to catch the attention and the favorable opinion of those about him.
4899_32637_000060_000002	He has not one honest desire to please because it is right to be pleasing.	He has not one honest desire to please because it is right to be pleasing.
4899_32637_000061_000000	I felt very angry.	I felt very angry.
4899_32637_000062_000000	"I thought the Bible forbade back-biting," I said.	"I thought the Bible forbade back biting," I said.
4899_32637_000063_000001	And then I came up here and wrote some poetry, which was very good (for me), though I don't suppose she would think so.	And then I came up here and wrote some poetry, which was very good (for me), though I don't suppose she would think so.
4899_32637_000064_000001	But being engaged is not half so nice as I expected it would be.	But being engaged is not half so nice as I expected it would be.
4899_32637_000064_000002	I suppose it is owing to my being obliged to defy mother's judgment in order to gratify my own.	I suppose it is owing to my being obliged to defy mother's judgment in order to gratify my own.
4899_32637_000064_000003	People say she has great insight into character, and sees, at a glance, what others only learn after much study.	People say she has great insight into character, and sees, at a glance, what others only learn after much study.
4899_32637_000065_000000	Oct. 10.-I have taken a dreadful cold.	october tenth.-I have taken a dreadful cold.
4899_32637_000065_000001	It is too bad.	It is too bad.
4899_32637_000065_000002	I dare say I shall be coughing all winter, and instead of going out with Charley, be shut up at home.	I dare say I shall be coughing all winter, and instead of going out with Charley, be shut up at home.
