329_861_000000_000000	CHAPTER IX: THE SIEGE OF HENNEBON	CHAPTER nine: THE SIEGE OF h e n n e b o n	false	1.38	28.245	21.524273
329_861_000004_000003	The Bishop of Quimper who was within the walls, entered into secret negotiations with his nephew, Henry de Leon, who had gone over to the enemy after the surrender of Nantes, and was now with the besieging army.	The Bishop of Quimper who was within the walls, entered into secret negotiations with his nephew, Henry de Leon, who had gone over to the enemy after the surrender of Nantes, and was now with the besieging army.	false	122.45	136.75	19
329_861_000004_000004	The besiegers, delighted to find an ally within the walls who might save them from the heavy losses which an assault would entail upon them, at once embraced his offers, and promised him a large recompense if he would bring over the other commanders and nobles.	The besiegers, delighted to find an ally within the walls who might save them from the heavy losses which an assault would entail upon them, at once embraced his offers, and promised him a large recompense if he would bring over the other commanders and nobles.	true	137	151.66	15
329_861_000004_000005	The wily bishop set to work, and the consequences were soon visible.	The wily bishop set to work, and the consequences were soon visible.	true	152.06	156.04	21.314178
329_861_000004_000006	Open grumbling broke forth at the hardships which were endured, and at the prospect of the wholesale slaughter which would attend a storm when all hope of a successful resistance was at an end.	Open grumbling broke forth at the hardships which were endured, and at the prospect of the wholesale slaughter which would attend a storm when all hope of a successful resistance was at an end.	true	156.74	168.73	20
329_861_000005_000000	"I fear, Walter," Sir John said one morning, "that the end is at hand. On all sides submission is spoken of, and all that I can say to keep up their spirits is useless.	"I fear, Walter," Sir john said one morning, "that the end is at hand. On all sides submission is spoken of, and all that I can say to keep up their spirits is useless.	false	169.79	181.03	22
329_861_000005_000001	Upon our own little band we can rely, but I doubt if outside them a single determined man is to be found in the town.	Upon our own little band we can rely, but I doubt if outside them a single determined man is to be found in the town.	true	181.1	187.6	14
329_861_000005_000002	In vain do I speak of the arrival of Sir Walter Manny.	In vain do I speak of the arrival of Sir Walter Manny.	true	187.7	190.87	16
329_861_000005_000003	Nearly ninety days have elapsed since we sailed, and all hope of his coming is gone.	Nearly ninety days have elapsed since we sailed, and all hope of his coming is gone.	false	191.12	196.12	16
329_861_000005_000004	I point out to them that contrary winds have been blowing, and that at any moment he may arrive; but they will not hear me.	I point out to them that contrary winds have been blowing, and that at any moment he may arrive; but they will not hear me.	true	196.31	203.23	20
329_861_000005_000005	The bishop has gained over the whole of them by his promises that none shall be molested in property or estate should they surrender."	The bishop has gained over the whole of them by his promises that none shall be molested in property or estate should they surrender."	true	203.48	210.61	15
329_861_000006_000000	"It is sad to see the countess," Walter replied; "she who has shown such high spirit throughout the siege now does nothing but weep, for she knows that with her and her child in the hands of the French the cause of the count is lost.	"It is sad to see the countess," Walter replied; "she who has shown such high spirit throughout the siege now does nothing but weep, for she knows that with her and her child in the hands of the French the cause of the count is lost.	true	211.7	225.49	19
329_861_000006_000001	If she could carry off the child by sea she would not so much care for the fall of the town, but the French ships lie thick round the port, and there is no hope of breaking through."	If she could carry off the child by sea she would not so much care for the fall of the town, but the French ships lie thick round the port, and there is no hope of breaking through."	true	225.65	235.84	18
329_861_000007_000000	Two days later the conspiracy came to a head, and the people, assembling round the countess's house, clamoured for surrender.	Two days later the conspiracy came to a head, and the people, assembling round the countess's house, clamoured for surrender.	true	236.51	244.09	19.951498
329_861_000007_000001	The breaches were open, and the enemy might pour in at any time and put all to the sword.	The breaches were open, and the enemy might pour in at any time and put all to the sword.	true	244.25	249.4	21
329_861_000007_000002	The countess begged for a little further delay, but in vain, and withdrew to the turret where she had for so many weary weeks watched the horizon, in hopes of seeing the sails of the approaching fleet.	The countess begged for a little further delay, but in vain, and withdrew to the turret where she had for so many weary weeks watched the horizon, in hopes of seeing the sails of the approaching fleet.	true	249.68	261.13	18
329_861_000007_000003	Walter was at the time with Sir John Powis on the walls.	Walter was at the time with Sir john Powis on the walls.	true	261.2	264.85	19.985434
329_861_000008_000000	Presently a large body of French were seen approaching headed by Henry de Leon, who summoned the town to surrender.	Presently a large body of French were seen approaching headed by Henry de Leon, who summoned the town to surrender.	false	265.16	272.29	19.796328
329_861_000008_000001	Many standing on the walls shouted that the gates should be thrown open; but Sir John returned for answer that he must consult the countess, and that upon her answer must depend whether he and his men would defend the breach until the last.	Many standing on the walls shouted that the gates should be thrown open; but Sir john returned for answer that he must consult the countess, and that upon her answer must depend whether he and his men would defend the breach until the last.	true	272.57	285.7	19
329_861_000009_000000	"Come with me, Walter," he said, "we must fain persuade the countess.	"Come with me, Walter," he said, "we must fain persuade the countess.	true	286.61	290.86	22.503345
329_861_000009_000001	If she says no, we Englishmen will die in the breach; but though ready to give my life for so brave a lady, I own that it is useless to fight longer.	If she says no, we Englishmen will die in the breach; but though ready to give my life for so brave a lady, I own that it is useless to fight longer.	true	290.93	300.1	17
329_861_000009_000002	Save our own little band not one in the town will lift a sword again.	Save our own little band not one in the town will lift a sword again.	true	300.2	304.18	13
329_861_000009_000003	Such resistance as we can offer will but inflame them to fury, and all the horrors of a sack will be inflicted upon the inhabitants. There she is, poor lady, on the turret, gazing, as usual, seaward."	Such resistance as we can offer will but inflame them to fury, and all the horrors of a sack will be inflicted upon the inhabitants. There she is, poor lady, on the turret, gazing, as usual, seaward."	true	304.25	317.17	20.532263
329_861_000010_000000	Suddenly they saw her throw up her arms, and then, turning towards the city, she cried, as she perceived the English knight: "I see them!	Suddenly they saw her throw up her arms, and then, turning towards the city, she cried, as she perceived the English knight: "I see them!	false	317.51	326.13	22.681458
329_861_000010_000001	I see them!	I see them!	true	326.13	326.76	9
329_861_000010_000002	The English fleet are coming!"	The English fleet are coming!"	true	326.76	328.36	21
329_861_000011_000000	"Run up, Walter," Sir John exclaimed, "maybe the countess is distraught with her sorrows."	"Run up, Walter," Sir john exclaimed, "maybe the countess is distraught with her sorrows."	true	329.27	334.9	21.732172
329_861_000012_000000	Walter dashed up to the turret, and looking seaward beheld rising over the horizon a number of masts.	Walter dashed up to the turret, and looking seaward beheld rising over the horizon a number of masts.	true	335.06	342.03	21
329_861_000013_000000	"Hurrah!	"Hurrah!	false	342.03	343.08	10.471485
329_861_000013_000001	Sir John," he shouted, "we are saved, the English fleet is in sight."	Sir john," he shouted, "we are saved, the English fleet is in sight."	true	343.08	347.5	21.544987
329_861_000014_000000	Many others heard the shout, and the tidings ran like lightning through the town.	Many others heard the shout, and the tidings ran like lightning through the town.	true	348.32	352.84	21
329_861_000014_000001	In wild excitement the people ran to the battlements and roofs, and with cheering and clapping of hands hailed the appearance of the still far-distant fleet.	In wild excitement the people ran to the battlements and roofs, and with cheering and clapping of hands hailed the appearance of the still far distant fleet.	true	353	362.41	21
329_861_000014_000002	The church bells rang out joyfully and the whole town was wild with excitement.	The church bells rang out joyfully and the whole town was wild with excitement.	true	362.57	367.33	19
329_861_000015_000000	The Bishop of Quimper, finding that his plans were frustrated, gathered around him some of those who had taken a leading part in the intrigue. These, leaving the city by a gate at which they had placed some of their own faction to open it to the French, issued out and made their way to the assailants' camp, to give news of the altered situation.	The Bishop of Quimper, finding that his plans were frustrated, gathered around him some of those who had taken a leading part in the intrigue. These, leaving the city by a gate at which they had placed some of their own faction to open it to the French, issued out and made their way to the assailants' camp, to give news of the altered situation.	false	367.85	388.33	23.583632
329_861_000015_000001	Don Louis at once ordered an attack to be made with his whole force, in hopes of capturing the place before the arrival of the English succour.	Don Louis at once ordered an attack to be made with his whole force, in hopes of capturing the place before the arrival of the English succour.	false	388.61	396.43	17
329_861_000015_000002	But, animated by their new hopes, those so lately despondent and ready to yield manned the breaches and repulsed with great slaughter all attempts on the part of the French to carry them.	But, animated by their new hopes, those so lately despondent and ready to yield manned the breaches and repulsed with great slaughter all attempts on the part of the French to carry them.	true	396.77	408.25	19
329_861_000015_000003	While the struggle was still going on, the countess, aided by the wives of the burghers, busied herself in preparing a sumptuous feast in honour of her deliverers who were fast approaching, their ships impelled by a strong and favourable breeze.	While the struggle was still going on, the countess, aided by the wives of the burghers, busied herself in preparing a sumptuous feast in honour of her deliverers who were fast approaching, their ships impelled by a strong and favourable breeze.	true	408.68	422.77	19
329_861_000015_000004	The vessels of the French hastily drew off, and the English fleet sailed into the port hailed by the cheers of the inhabitants. The countess herself received Sir Walter Manny on his landing, and the townspeople vied with each other in offering hospitality to the men-at-arms and archers.	The vessels of the French hastily drew off, and the English fleet sailed into the port hailed by the cheers of the inhabitants. The countess herself received Sir Walter Manny on his landing, and the townspeople vied with each other in offering hospitality to the men at arms and archers.	true	423.08	439.95	18
329_861_000016_000000	"Ah! Sir John Powis," Sir Walter exclaimed, "what, are you here?	"Ah! Sir john Powis," Sir Walter exclaimed, "what, are you here?	false	439.95	445.72	22.584639
329_861_000016_000001	I had given you up for lost.	I had given you up for lost.	true	445.76	447.375	20
329_861_000016_000002	We thought you had gone down in the gale the night you started."	We thought you had gone down in the gale the night you started."	true	447.375	450.34	18
329_861_000017_000000	"We were separated from the fleet, Sir Walter, but the master held on, and we arrived here four days after we put out.	"We were separated from the fleet, Sir Walter, but the master held on, and we arrived here four days after we put out.	true	450.71	457.54	17
329_861_000017_000001	We took part in the siege of Rennes, and have since done our best to aid the countess here."	We took part in the siege of Rennes, and have since done our best to aid the countess here."	true	457.58	462.87	16
329_861_000018_000000	"And their best has been much," the countess said; "not to say how bravely they have fought upon the walls, it is to Sir John and his little band that I owe it that the town was not surrendered days ago. They alone remained steadfast when all others fell away, and it is due to them that I am still able, as mistress of this town, to greet you on your arrival.	"And their best has been much," the countess said; "not to say how bravely they have fought upon the walls, it is to Sir john and his little band that I owe it that the town was not surrendered days ago. They alone remained steadfast when all others fell away, and it is due to them that I am still able, as mistress of this town, to greet you on your arrival.	false	462.87	484.18	21
329_861_000018_000001	Next to Sir John himself, my thanks are due to your young esquire, Walter Somers, who has cheered and stood by me, and to whose suggestions I owe it that I was able at the first to sally out and destroy the French camp while they were attacking the walls, and so greatly hindered their measures against the town.	Next to Sir john himself, my thanks are due to your young esquire, Walter Somers, who has cheered and stood by me, and to whose suggestions I owe it that I was able at the first to sally out and destroy the French camp while they were attacking the walls, and so greatly hindered their measures against the town.	false	484.34	504.04	17
329_861_000018_000002	And now, sir, will you follow me?	And now, sir, will you follow me?	true	504.2	506.11	23.788654
329_861_000018_000003	I have prepared for you and your knights such a banquet of welcome as our poor means will allow, and my townspeople will see that good fare is set before your soldiers."	I have prepared for you and your knights such a banquet of welcome as our poor means will allow, and my townspeople will see that good fare is set before your soldiers."	false	506.24	516.46	17
329_861_000019_000000	That evening there was high feasting in the town, although the crash of the heavy stones cast by the French machines against the walls never ceased.	That evening there was high feasting in the town, although the crash of the heavy stones cast by the French machines against the walls never ceased.	true	516.95	524.86	16
329_861_000019_000001	Early the next morning Sir Walter Manny made a survey of the place and of the disposition of the enemy, and proposed to his knights to sally forth at once and destroy the largest of the enemy's machines, which had been brought up close to the walls.	Early the next morning Sir Walter Manny made a survey of the place and of the disposition of the enemy, and proposed to his knights to sally forth at once and destroy the largest of the enemy's machines, which had been brought up close to the walls.	true	525.17	539.02	17
329_861_000019_000002	In a few minutes the knights were armed and mounted.	In a few minutes the knights were armed and mounted.	true	539.3	542.47	23
329_861_000019_000003	Three hundred knights and esquires were to take part in the sortie, they were to be followed by a strong body of men-at-arms.	Three hundred knights and esquires were to take part in the sortie, they were to be followed by a strong body of men at arms.	true	542.48	550.51	20.997879
329_861_000020_000000	As soon as the gates were opened a number of archers issued out, and taking their place at the edge of the moat, poured a rain of arrows upon the men working the machine and those guarding it.	As soon as the gates were opened a number of archers issued out, and taking their place at the edge of the moat, poured a rain of arrows upon the men working the machine and those guarding it.	true	551.45	561.915	18
329_861_000020_000001	Most of these took to flight at once, the remainder were cut down by the men-at-arms, who at once proceeded to hew the machine in pieces with the axes with which they were provided.	Most of these took to flight at once, the remainder were cut down by the men at arms, who at once proceeded to hew the machine in pieces with the axes with which they were provided.	true	561.915	572.77	18
329_861_000020_000002	Sir Walter himself and his mounted companions dashed forward to the nearer tents of the French camps, cut down all who opposed them, and setting fire to the huts retired towards the city.	Sir Walter himself and his mounted companions dashed forward to the nearer tents of the French camps, cut down all who opposed them, and setting fire to the huts retired towards the city.	true	572.84	584.38	20
329_861_000021_000000	By this time the French were thoroughly alarmed, and numbers of knights and men-at-arms dashed after the little body of English cavalry.	By this time the French were thoroughly alarmed, and numbers of knights and men at arms dashed after the little body of English cavalry.	true	584.9	592.45	14
329_861_000021_000001	These could have regained the place in safety, but in the chivalrous spirit of the time they disdained to retire without striking a blow.	These could have regained the place in safety, but in the chivalrous spirit of the time they disdained to retire without striking a blow.	true	592.73	600.34	17
329_861_000021_000002	Turning their horses, therefore, and laying their lances in rest, they charged the pursuing French.	Turning their horses, therefore, and laying their lances in rest, they charged the pursuing French.	true	601.04	606.96	20.290762
329_861_000022_000000	For a few minutes the conflict was desperate and many on both sides were overthrown; then, as large reinforcements were continually arriving to the French, Sir Walter called off his men and retired slowly. On reaching the moat he halted his forces.	For a few minutes the conflict was desperate and many on both sides were overthrown; then, as large reinforcements were continually arriving to the French, Sir Walter called off his men and retired slowly. On reaching the moat he halted his forces.	false	606.96	623.29	20.199856
329_861_000022_000001	The knights wheeled and presented a firm face to the enemy, covering the entrance of their followers into the gate.	The knights wheeled and presented a firm face to the enemy, covering the entrance of their followers into the gate.	true	623.42	629.89	20
329_861_000022_000002	The French chivalry thundered down upon the little body, but were met by a storm of arrows from the archers lining the moat.	The French chivalry thundered down upon the little body, but were met by a storm of arrows from the archers lining the moat.	false	630.08	637.66	20.54167
329_861_000022_000003	Many knights were struck through the bars of their vizors or the joints of their mail.	Many knights were struck through the bars of their vizors or the joints of their mail.	true	637.88	642.7	18
329_861_000022_000004	The horses, though defended by iron trappings, fell dead under them, or, maddened by pain, dashed wildly through the ranks, carrying confusion with them, and the French commanders, seeing how heavy were their losses, called off their men from the assault.	The horses, though defended by iron trappings, fell dead under them, or, maddened by pain, dashed wildly through the ranks, carrying confusion with them, and the French commanders, seeing how heavy were their losses, called off their men from the assault.	false	642.8	657.97	17
329_861_000022_000005	Sir Walter Manny with his party remained without the gate until the enemy had re-entered their camp, and then rode into the town amid the acclamations of the inhabitants, the countess herself meeting her deliverers at the gate and kissing each, one after the other, in token of her gratitude and admiration.	Sir Walter Manny with his party remained without the gate until the enemy had re-entered their camp, and then rode into the town amid the acclamations of the inhabitants, the countess herself meeting her deliverers at the gate and kissing each, one after the other, in token of her gratitude and admiration.	true	658.04	676.18	17
329_861_000023_000000	The arrival of the reinforcements and the proof of skill and vigour given by the English leader, together with the terror caused by the terrible effect of the English arrows, shook the resolution of Don Louis and his troops.	The arrival of the reinforcements and the proof of skill and vigour given by the English leader, together with the terror caused by the terrible effect of the English arrows, shook the resolution of Don Louis and his troops.	true	676.67	689.68	20
329_861_000023_000001	Deprived of half their force by the absence of Charles of Blois, it was thought prudent by the leaders to withdraw at once, and the third morning after the arrival of Sir Walter Manny the siege was raised, and the French marched to join Charles of Blois before the Castle of Auray.	Deprived of half their force by the absence of Charles of Blois, it was thought prudent by the leaders to withdraw at once, and the third morning after the arrival of Sir Walter Manny the siege was raised, and the French marched to join Charles of Blois before the Castle of Auray.	false	690.08	708.04	17
329_861_000024_000000	Even with the reinforcements brought by Sir Walter Manny, the forces of the Countess of Montford were still so greatly inferior to those of the divisions of the French army that they could not hope to cope with them in the field until the arrival of the main English army, which the King of England himself was to bring over shortly.	Even with the reinforcements brought by Sir Walter Manny, the forces of the Countess of Montford were still so greatly inferior to those of the divisions of the French army that they could not hope to cope with them in the field until the arrival of the main English army, which the King of England himself was to bring over shortly.	false	708.92	727.66	18
329_861_000024_000001	Accordingly the French laid siege to and captured many small towns and castles.	Accordingly the French laid siege to and captured many small towns and castles.	true	728.33	733.84	22.42445
329_861_000024_000002	Charles of Blois continued the siege of Auray, and directed Don Louis with his division to attack the town of Dinan.	Charles of Blois continued the siege of Auray, and directed Don Louis with his division to attack the town of Dinan.	false	733.94	742.11	20.131426
329_861_000024_000003	On his way the Spaniard captured the small fortress of Conquet and put the garrison to the sword.	On his way the Spaniard captured the small fortress of Conquet and put the garrison to the sword.	true	742.11	747.76	21
329_861_000024_000004	Sir Walter Manny, in spite of the inferiority of his force, sallied out to relieve it, but it was taken before his arrival, and Don Louis had marched away to Dinan, leaving a small garrison in Conquet.	Sir Walter Manny, in spite of the inferiority of his force, sallied out to relieve it, but it was taken before his arrival, and Don Louis had marched away to Dinan, leaving a small garrison in Conquet.	false	747.8	760.41	20
329_861_000024_000005	It was again captured by Sir Walter, but finding it indefensible he returned with the whole of his force to Hennebon.	It was again captured by Sir Walter, but finding it indefensible he returned with the whole of his force to Hennebon.	false	760.41	766.96	20
329_861_000024_000006	Don Louis captured Dinan and then besieged Guerande.	Don Louis captured Dinan and then besieged Guerande.	false	767.33	771.63	24.131481
329_861_000024_000007	Here he met with a vigorous resistance, but carried it by storm, and gave it up to be pillaged by his soldiers.	Here he met with a vigorous resistance, but carried it by storm, and gave it up to be pillaged by his soldiers.	false	771.63	778.3	17
329_861_000024_000008	He now sent back to Charles of Blois the greater part of the French troops who accompanied him, and embarked with the Genoese and Spanish, 8000 in number, and sailed to Quimperle, a rich and populous town in Lower Brittany.	He now sent back to Charles of Blois the greater part of the French troops who accompanied him, and embarked with the Genoese and Spanish, eight thousand in number, and sailed to Quimperle, a rich and populous town in Lower Brittany.	true	778.55	793.87	22
329_861_000025_000000	Anchoring in the River Leita, he disembarked his troops, and leaving a guard to protect the vessels marched to the interior, plundering and burning, and from time to time despatching his booty to swell the immense mass which he had brought in his ships from the sack of Guerande.	Anchoring in the River Leita, he disembarked his troops, and leaving a guard to protect the vessels marched to the interior, plundering and burning, and from time to time despatching his booty to swell the immense mass which he had brought in his ships from the sack of Guerande.	true	794.45	810.88	20
329_861_000026_000000	Quimperle lies but a short distance from Hennebon, and Sir Walter Manny with Almeric de Clisson, a number of English knights, and a body of English archers, in all three thousand men, embarked in the ships in the port, and entering the Leita captured the enemy's fleet and all his treasure.	Quimperle lies but a short distance from Hennebon, and Sir Walter Manny with Almeric de Clisson, a number of English knights, and a body of English archers, in all three thousand men, embarked in the ships in the port, and entering the Leita captured the enemy's fleet and all his treasure.	false	811.16	829.48	21
329_861_000026_000001	The English then landed, and dividing into three bodies, set out in search of the enemy.	The English then landed, and dividing into three bodies, set out in search of the enemy.	false	829.55	834.94	20
329_861_000027_000000	The English columns marched at a short distance apart so as to be able to give each other assistance in case of attack.	The English columns marched at a short distance apart so as to be able to give each other assistance in case of attack.	true	835.4	842.02	20
329_861_000027_000001	The news of the English approach soon reached the Spaniards, who were gathered in a solid body, for the enraged country people, armed with clubs and bills, hung on their flanks and cut off any stragglers who left the main body.	The news of the English approach soon reached the Spaniards, who were gathered in a solid body, for the enraged country people, armed with clubs and bills, hung on their flanks and cut off any stragglers who left the main body.	true	842.03	855.1	18
329_861_000027_000002	Don Louis at once moved towards the sea-coast, and coming in sight of one of the English divisions, charged it with his whole force.	Don Louis at once moved towards the sea coast, and coming in sight of one of the English divisions, charged it with his whole force.	true	855.2	862.6	18
329_861_000028_000000	The English fought desperately, but the odds of seven to one were too great, and they would have been overpowered had not the other two divisions arrived on the spot and fallen upon the enemy's flanks. After a severe and prolonged struggle the Genoese and Spaniards were completely routed.	The English fought desperately, but the odds of seven to one were too great, and they would have been overpowered had not the other two divisions arrived on the spot and fallen upon the enemy's flanks. After a severe and prolonged struggle the Genoese and Spaniards were completely routed.	true	863.06	878.92	20
329_861_000028_000001	The armed peasantry slew every fugitive they could overtake, and of the 7000 men with whom Don Louis commenced the battle only 300 accompanied him in his flight to Rennes, the troops of Sir Walter and de Clisson pursuing him to the very gates of that city.	The armed peasantry slew every fugitive they could overtake, and of the seven thousand men with whom Don Louis commenced the battle only three hundred accompanied him in his flight to Rennes, the troops of Sir Walter and de Clisson pursuing him to the very gates of that city.	false	879.32	896.98	21
329_861_000028_000002	Sir Walter marched back with his force to the ships, but finding the wind unfavourable returned to Hennebon by land, capturing by the way the castle of Goy la Foret.	Sir Walter marched back with his force to the ships, but finding the wind unfavourable returned to Hennebon by land, capturing by the way the castle of Goy la Foret.	false	897.2	908.02	20
329_861_000028_000003	Their return was joyfully welcomed, not only for the victory which they had achieved, but because the enemy was again drawing near to the town.	Their return was joyfully welcomed, not only for the victory which they had achieved, but because the enemy was again drawing near to the town.	false	908.54	917.22	21
329_861_000028_000004	Auray had fallen.	Auray had fallen.	false	917.22	918.55	16
329_861_000028_000005	The brave garrison, after existing for some time upon the flesh of their horses, had endeavoured to cut their way through the besiegers.	The brave garrison, after existing for some time upon the flesh of their horses, had endeavoured to cut their way through the besiegers.	true	918.74	926.32	19
329_861_000028_000006	Most of them were killed in the attempt, but a few escaped and made their way to Hennebon.	Most of them were killed in the attempt, but a few escaped and made their way to Hennebon.	true	926.51	931.29	21
329_861_000029_000000	Vannes, an important town, and Carhaix quickly surrendered, and the French force was daily receiving considerable reinforcements.	Vannes, an important town, and Carhaix quickly surrendered, and the French force was daily receiving considerable reinforcements.	false	931.29	940.54	19.911127
329_861_000029_000001	This arose from the fact that large numbers of French nobles and knights had, with their followers, taken part with Alfonso, King of Castile and Leon, in his war with the Moors.	This arose from the fact that large numbers of French nobles and knights had, with their followers, taken part with Alfonso, King of Castile and Leon, in his war with the Moors.	true	940.85	951.97	18
329_861_000029_000002	This had just terminated with the expulsion of the latter from Spain, and the French knights and nobles on their way home for the most part joined at once in the war which their countrymen were waging in Bretagne.	This had just terminated with the expulsion of the latter from Spain, and the French knights and nobles on their way home for the most part joined at once in the war which their countrymen were waging in Bretagne.	false	952.22	964.8	20
329_861_000030_000000	Seeing the great force which was gathering for a fresh siege of Hennebon, Sir Walter Manny and the Countess of Montford sent an urgent message to King Edward for further support.	Seeing the great force which was gathering for a fresh siege of Hennebon, Sir Walter Manny and the Countess of Montford sent an urgent message to King Edward for further support.	true	964.8	975.975	19
329_861_000030_000001	The king was not yet ready, but at the beginning of August he despatched a force under the command of the Earl of Northampton and Robert of Artois.	The king was not yet ready, but at the beginning of August he despatched a force under the command of the Earl of Northampton and Robert of Artois.	true	975.975	984.67	21
329_861_000030_000002	It consisted of twenty-seven knights bannerets and 2000 men-at-arms.	It consisted of twenty seven knights bannerets and two thousand men at arms.	false	985.07	990.52	23.60757
329_861_000030_000003	Before, however, it could reach Hennebon the second siege of that city had begun.	Before, however, it could reach Hennebon the second siege of that city had begun.	true	990.65	995.08	18
329_861_000030_000004	Charles of Blois had approached it with a far larger army than that with which he had on the first occasion sat down before it.	Charles of Blois had approached it with a far larger army than that with which he had on the first occasion sat down before it.	false	995.12	1003.03	20
329_861_000030_000005	Hennebon was, however, much better prepared than at first for resistance.	Hennebon was, however, much better prepared than at first for resistance.	true	1003.19	1007.71	21
329_861_000030_000006	The walls had been repaired, provisions and military stores laid up, and machines constructed.	The walls had been repaired, provisions and military stores laid up, and machines constructed.	true	1007.96	1013.62	22.488735
329_861_000030_000007	The garrison was very much larger, and was commanded by one of the most gallant knights of the age, and the citizens beheld undaunted the approach of the great French army.	The garrison was very much larger, and was commanded by one of the most gallant knights of the age, and the citizens beheld undaunted the approach of the great French army.	true	1013.81	1024.45	20
329_861_000031_000000	Four days after the French had arrived before Hennebon they were joined by Don Louis, who had been severely wounded in the fight near Quimperle, and had lain for six weeks at Rennes.	Four days after the French had arrived before Hennebon they were joined by Don Louis, who had been severely wounded in the fight near Quimperle, and had lain for six weeks at Rennes.	false	1024.97	1035.75	19.624962
329_861_000031_000001	Sixteen great engines at once began to cast stones against the walls, but Sir Walter caused sandbags to be lowered, and so protected the walls from the attack that little damage was done.	Sixteen great engines at once began to cast stones against the walls, but Sir Walter caused sandbags to be lowered, and so protected the walls from the attack that little damage was done.	true	1035.75	1046.89	17
329_861_000031_000002	The garrison confident in their powers to resist, taunted the assailants from the walls, and specially enraged the Spaniards and Don Louis by allusions to the defeat at Quimperle.	The garrison confident in their powers to resist, taunted the assailants from the walls, and specially enraged the Spaniards and Don Louis by allusions to the defeat at Quimperle.	true	1047.08	1057.78	18
329_861_000032_000000	So furious did the Spanish prince become that he took a step unprecedented in those days of chivalry.	So furious did the Spanish prince become that he took a step unprecedented in those days of chivalry.	true	1059.02	1065.04	22
329_861_000032_000001	He one morning entered the tent of Charles of Blois, where a number of French nobles were gathered, and demanded a boon in requital of all his services.	He one morning entered the tent of Charles of Blois, where a number of French nobles were gathered, and demanded a boon in requital of all his services.	true	1065.32	1074.61	18
329_861_000032_000002	Charles at once assented, when, to his surprise and horror, Prince Louis demanded that two English knights, Sir John Butler and Sir Hubert Frisnoy, who had been captured in the course of the campaign and were kept prisoners at Faouet, should be delivered to him to be executed.	Charles at once assented, when, to his surprise and horror, Prince Louis demanded that two English knights, Sir john Butler and Sir Hubert Frisnoy, who had been captured in the course of the campaign and were kept prisoners at Faouet, should be delivered to him to be executed.	false	1075.1	1092.55	23
329_861_000032_000003	"These English," he said, "have pursued, discomforted, and wounded me, and have killed the nephew whom I loved so well, and as I have none other mode of vengeance I will cut off their heads before their companions who lie within those walls."	"These English," he said, "have pursued, discomforted, and wounded me, and have killed the nephew whom I loved so well, and as I have none other mode of vengeance I will cut off their heads before their companions who lie within those walls."	true	1092.86	1109.23	21
329_861_000033_000000	Charles of Blois and his nobles were struck with amazement and horror at the demand, and used every means in their power to turn the savage prince from his purpose, but in vain.	Charles of Blois and his nobles were struck with amazement and horror at the demand, and used every means in their power to turn the savage prince from his purpose, but in vain.	false	1109.81	1120.06	18
