3361_1133_000000_000000	Chapter 23	Chapter twenty three
3361_1133_000005_000005	A week elapsed before she could see Elizabeth without scolding her, a month passed away before she could speak to Sir William or Lady Lucas without being rude, and many months were gone before she could at all forgive their daughter.	A week elapsed before she could see Elizabeth without scolding her, a month passed away before she could speak to Sir William or Lady Lucas without being rude, and many months were gone before she could at all forgive their daughter.
3361_1133_000006_000000	Mr. Bennet's emotions were much more tranquil on the occasion, and such as he did experience he pronounced to be of a most agreeable sort; for it gratified him, he said, to discover that Charlotte Lucas, whom he had been used to think tolerably sensible, was as foolish as his wife, and more foolish than his daughter!	mr Bennet's emotions were much more tranquil on the occasion, and such as he did experience he pronounced to be of a most agreeable sort; for it gratified him, he said, to discover that Charlotte Lucas, whom he had been used to think tolerably sensible, was as foolish as his wife, and more foolish than his daughter!
3361_1133_000007_000000	Jane confessed herself a little surprised at the match; but she said less of her astonishment than of her earnest desire for their happiness; nor could Elizabeth persuade her to consider it as improbable.	Jane confessed herself a little surprised at the match; but she said less of her astonishment than of her earnest desire for their happiness; nor could Elizabeth persuade her to consider it as improbable.
3361_1133_000007_000001	Kitty and Lydia were far from envying Miss Lucas, for Mr. Collins was only a clergyman; and it affected them in no other way than as a piece of news to spread at Meryton.	Kitty and Lydia were far from envying Miss Lucas, for mr Collins was only a clergyman; and it affected them in no other way than as a piece of news to spread at Meryton.
3361_1133_000009_000000	Between Elizabeth and Charlotte there was a restraint which kept them mutually silent on the subject; and Elizabeth felt persuaded that no real confidence could ever subsist between them again.	Between Elizabeth and Charlotte there was a restraint which kept them mutually silent on the subject; and Elizabeth felt persuaded that no real confidence could ever subsist between them again.
3361_1133_000009_000001	Her disappointment in Charlotte made her turn with fonder regard to her sister, of whose rectitude and delicacy she was sure her opinion could never be shaken, and for whose happiness she grew daily more anxious, as Bingley had now been gone a week and nothing more was heard of his return.	Her disappointment in Charlotte made her turn with fonder regard to her sister, of whose rectitude and delicacy she was sure her opinion could never be shaken, and for whose happiness she grew daily more anxious, as Bingley had now been gone a week and nothing more was heard of his return.
3361_1133_000010_000000	Jane had sent Caroline an early answer to her letter, and was counting the days till she might reasonably hope to hear again.	Jane had sent Caroline an early answer to her letter, and was counting the days till she might reasonably hope to hear again.
3361_1133_000010_000001	The promised letter of thanks from Mr. Collins arrived on Tuesday, addressed to their father, and written with all the solemnity of gratitude which a twelvemonth's abode in the family might have prompted.	The promised letter of thanks from mr Collins arrived on Tuesday, addressed to their father, and written with all the solemnity of gratitude which a twelvemonth's abode in the family might have prompted.
3361_1133_000011_000000	Mr. Collins's return into Hertfordshire was no longer a matter of pleasure to Mrs. Bennet.	mr Collins's return into Hertfordshire was no longer a matter of pleasure to mrs Bennet.
3361_1133_000011_000001	On the contrary, she was as much disposed to complain of it as her husband.	On the contrary, she was as much disposed to complain of it as her husband.
3361_1133_000011_000002	It was very strange that he should come to Longbourn instead of to Lucas Lodge; it was also very inconvenient and exceedingly troublesome.	It was very strange that he should come to Longbourn instead of to Lucas Lodge; it was also very inconvenient and exceedingly troublesome.
3361_1133_000011_000003	She hated having visitors in the house while her health was so indifferent, and lovers were of all people the most disagreeable.	She hated having visitors in the house while her health was so indifferent, and lovers were of all people the most disagreeable.
3361_1133_000011_000004	Such were the gentle murmurs of Mrs. Bennet, and they gave way only to the greater distress of Mr. Bingley's continued absence.	Such were the gentle murmurs of mrs Bennet, and they gave way only to the greater distress of mr Bingley's continued absence.
3361_1133_000012_000000	Neither Jane nor Elizabeth were comfortable on this subject.	Neither Jane nor Elizabeth were comfortable on this subject.
3361_1133_000012_000001	Day after day passed away without bringing any other tidings of him than the report which shortly prevailed in Meryton of his coming no more to Netherfield the whole winter; a report which highly incensed Mrs. Bennet, and which she never failed to contradict as a most scandalous falsehood.	Day after day passed away without bringing any other tidings of him than the report which shortly prevailed in Meryton of his coming no more to Netherfield the whole winter; a report which highly incensed mrs Bennet, and which she never failed to contradict as a most scandalous falsehood.
3361_1133_000013_000000	Even Elizabeth began to fear--not that Bingley was indifferent--but that his sisters would be successful in keeping him away.	Even Elizabeth began to fear-not that Bingley was indifferent-but that his sisters would be successful in keeping him away.
3361_1133_000013_000001	Unwilling as she was to admit an idea so destructive of Jane's happiness, and so dishonorable to the stability of her lover, she could not prevent its frequently occurring.	Unwilling as she was to admit an idea so destructive of Jane's happiness, and so dishonorable to the stability of her lover, she could not prevent its frequently occurring.
3361_1133_000013_000002	The united efforts of his two unfeeling sisters and of his overpowering friend, assisted by the attractions of Miss Darcy and the amusements of London might be too much, she feared, for the strength of his attachment.	The united efforts of his two unfeeling sisters and of his overpowering friend, assisted by the attractions of Miss Darcy and the amusements of London might be too much, she feared, for the strength of his attachment.
3361_1133_000014_000001	But as no such delicacy restrained her mother, an hour seldom passed in which she did not talk of Bingley, express her impatience for his arrival, or even require Jane to confess that if he did not come back she would think herself very ill used.	But as no such delicacy restrained her mother, an hour seldom passed in which she did not talk of Bingley, express her impatience for his arrival, or even require Jane to confess that if he did not come back she would think herself very ill used.
3361_1133_000014_000002	It needed all Jane's steady mildness to bear these attacks with tolerable tranquillity.	It needed all Jane's steady mildness to bear these attacks with tolerable tranquillity.
3361_1133_000015_000000	Mr. Collins returned most punctually on Monday fortnight, but his reception at Longbourn was not quite so gracious as it had been on his first introduction.	mr Collins returned most punctually on Monday fortnight, but his reception at Longbourn was not quite so gracious as it had been on his first introduction.
3361_1133_000015_000001	He was too happy, however, to need much attention; and luckily for the others, the business of love-making relieved them from a great deal of his company.	He was too happy, however, to need much attention; and luckily for the others, the business of love making relieved them from a great deal of his company.
3361_1133_000015_000002	The chief of every day was spent by him at Lucas Lodge, and he sometimes returned to Longbourn only in time to make an apology for his absence before the family went to bed.	The chief of every day was spent by him at Lucas Lodge, and he sometimes returned to Longbourn only in time to make an apology for his absence before the family went to bed.
3361_1133_000016_000000	Mrs. Bennet was really in a most pitiable state.	mrs Bennet was really in a most pitiable state.
3361_1133_000016_000001	The very mention of anything concerning the match threw her into an agony of ill-humour, and wherever she went she was sure of hearing it talked of.	The very mention of anything concerning the match threw her into an agony of ill humour, and wherever she went she was sure of hearing it talked of.
3361_1133_000016_000002	The sight of Miss Lucas was odious to her.	The sight of Miss Lucas was odious to her.
3361_1133_000016_000004	Whenever Charlotte came to see them, she concluded her to be anticipating the hour of possession; and whenever she spoke in a low voice to Mr. Collins, was convinced that they were talking of the Longbourn estate, and resolving to turn herself and her daughters out of the house, as soon as Mr. Bennet were dead.	Whenever Charlotte came to see them, she concluded her to be anticipating the hour of possession; and whenever she spoke in a low voice to mr Collins, was convinced that they were talking of the Longbourn estate, and resolving to turn herself and her daughters out of the house, as soon as mr Bennet were dead.
3361_1133_000016_000005	She complained bitterly of all this to her husband.	She complained bitterly of all this to her husband.
3361_1133_000018_000000	"My dear, do not give way to such gloomy thoughts.	"My dear, do not give way to such gloomy thoughts.
3361_1133_000018_000001	Let us hope for better things.	Let us hope for better things.
3361_1133_000018_000002	Let us flatter ourselves that I may be the survivor."	Let us flatter ourselves that I may be the survivor."
3361_1133_000019_000000	This was not very consoling to Mrs. Bennet, and therefore, instead of making any answer, she went on as before.	This was not very consoling to mrs Bennet, and therefore, instead of making any answer, she went on as before.
3361_1133_000020_000000	"I cannot bear to think that they should have all this estate.	"I cannot bear to think that they should have all this estate.
3361_1133_000020_000001	If it was not for the entail, I should not mind it."	If it was not for the entail, I should not mind it."
3361_1133_000021_000000	"What should not you mind?"	"What should not you mind?"
3361_1133_000022_000000	"I should not mind anything at all."	"I should not mind anything at all."
3361_1133_000023_000000	"Let us be thankful that you are preserved from a state of such insensibility."	"Let us be thankful that you are preserved from a state of such insensibility."
3361_1133_000024_000000	"I never can be thankful, Mr. Bennet, for anything about the entail.	"I never can be thankful, mr Bennet, for anything about the entail.
