5126_34483_000001_000000	Chapter 8	Chapter eight
5126_34483_000006_000003	She saw that she was losing her good looks.	She saw that she was losing her good looks.
5126_34483_000006_000004	But now she began to feel pleasure and interest in dress again.	But now she began to feel pleasure and interest in dress again.
5126_34483_000006_000005	Now she did not dress for her own sake, not for the sake of her own beauty, but simply that as the mother of those exquisite creatures she might not spoil the general effect.	Now she did not dress for her own sake, not for the sake of her own beauty, but simply that as the mother of those exquisite creatures she might not spoil the general effect.
5126_34483_000006_000006	And looking at herself for the last time in the looking-glass she was satisfied with herself.	And looking at herself for the last time in the looking glass she was satisfied with herself.
5126_34483_000006_000007	She looked nice.	She looked nice.
5126_34483_000007_000000	In the church there was no one but the peasants, the servants and their women-folk.	In the church there was no one but the peasants, the servants and their women folk.
5126_34483_000007_000001	But Darya Alexandrovna saw, or fancied she saw, the sensation produced by her children and her.	But Darya Alexandrovna saw, or fancied she saw, the sensation produced by her children and her.
5126_34483_000007_000002	The children were not only beautiful to look at in their smart little dresses, but they were charming in the way they behaved.	The children were not only beautiful to look at in their smart little dresses, but they were charming in the way they behaved.
5126_34483_000007_000003	Aliosha, it is true, did not stand quite correctly; he kept turning round, trying to look at his little jacket from behind; but all the same he was wonderfully sweet.	Aliosha, it is true, did not stand quite correctly; he kept turning round, trying to look at his little jacket from behind; but all the same he was wonderfully sweet.
5126_34483_000007_000004	Tanya behaved like a grownup person, and looked after the little ones.	Tanya behaved like a grownup person, and looked after the little ones.
5126_34483_000007_000005	And the smallest, Lily, was bewitching in her naive astonishment at everything, and it was difficult not to smile when, after taking the sacrament, she said in English, "Please, some more."	And the smallest, Lily, was bewitching in her naive astonishment at everything, and it was difficult not to smile when, after taking the sacrament, she said in English, "Please, some more."
5126_34483_000008_000000	On the way home the children felt that something solemn had happened, and were very sedate.	On the way home the children felt that something solemn had happened, and were very sedate.
5126_34483_000009_000000	Everything went happily at home too; but at lunch Grisha began whistling, and, what was worse, was disobedient to the English governess, and was forbidden to have any tart.	Everything went happily at home too; but at lunch Grisha began whistling, and, what was worse, was disobedient to the English governess, and was forbidden to have any tart.
5126_34483_000009_000001	Darya Alexandrovna would not have let things go so far on such a day had she been present; but she had to support the English governess's authority, and she upheld her decision that Grisha should have no tart.	Darya Alexandrovna would not have let things go so far on such a day had she been present; but she had to support the English governess's authority, and she upheld her decision that Grisha should have no tart.
5126_34483_000009_000002	This rather spoiled the general good humor.	This rather spoiled the general good humor.
5126_34483_000009_000005	But on the way, as she passed the drawing room, she beheld a scene, filling her heart with such pleasure that the tears came into her eyes, and she forgave the delinquent herself.	But on the way, as she passed the drawing room, she beheld a scene, filling her heart with such pleasure that the tears came into her eyes, and she forgave the delinquent herself.
5126_34483_000010_000000	The culprit was sitting at the window in the corner of the drawing room; beside him was standing Tanya with a plate.	The culprit was sitting at the window in the corner of the drawing room; beside him was standing Tanya with a plate.
5126_34483_000010_000001	On the pretext of wanting to give some dinner to her dolls, she had asked the governess's permission to take her share of tart to the nursery, and had taken it instead to her brother.	On the pretext of wanting to give some dinner to her dolls, she had asked the governess's permission to take her share of tart to the nursery, and had taken it instead to her brother.
5126_34483_000011_000000	Tanya had at first been under the influence of her pity for Grisha, then of a sense of her noble action, and tears were standing in her eyes too; but she did not refuse, and ate her share.	Tanya had at first been under the influence of her pity for Grisha, then of a sense of her noble action, and tears were standing in her eyes too; but she did not refuse, and ate her share.
5126_34483_000012_000000	On catching sight of their mother they were dismayed, but, looking into her face, they saw they were not doing wrong.	On catching sight of their mother they were dismayed, but, looking into her face, they saw they were not doing wrong.
5126_34483_000013_000002	Tanya!	Tanya!
5126_34483_000013_000003	Grisha!" said their mother, trying to save the frock, but with tears in her eyes, smiling a blissful, rapturous smile.	Grisha!" said their mother, trying to save the frock, but with tears in her eyes, smiling a blissful, rapturous smile.
5126_34483_000014_000000	The new frocks were taken off, and orders were given for the little girls to have their blouses put on, and the boys their old jackets, and the wagonette to be harnessed; with Brownie, to the bailiff's annoyance, again in the shafts, to drive out for mushroom picking and bathing.	The new frocks were taken off, and orders were given for the little girls to have their blouses put on, and the boys their old jackets, and the wagonette to be harnessed; with Brownie, to the bailiff's annoyance, again in the shafts, to drive out for mushroom picking and bathing.
5126_34483_000015_000000	They gathered a whole basketful of mushrooms; even Lily found a birch mushroom.	They gathered a whole basketful of mushrooms; even Lily found a birch mushroom.
5126_34483_000015_000001	It had always happened before that Miss Hoole found them and pointed them out to her; but this time she found a big one quite of herself, and there was a general scream of delight, "Lily has found a mushroom!"	It had always happened before that Miss Hoole found them and pointed them out to her; but this time she found a big one quite of herself, and there was a general scream of delight, "Lily has found a mushroom!"
5126_34483_000016_000000	Then they reached the river, put the horses under the birch trees, and went to the bathing-place.	Then they reached the river, put the horses under the birch trees, and went to the bathing place.
5126_34483_000016_000001	The coachman, Terenty, fastened the horses, who kept whisking away the flies, to a tree, and, treading down the grass, lay down in the shade of a birch and smoked his shag, while the never-ceasing shrieks of delight of the children floated across to him from the bathing-place.	The coachman, Terenty, fastened the horses, who kept whisking away the flies, to a tree, and, treading down the grass, lay down in the shade of a birch and smoked his shag, while the never ceasing shrieks of delight of the children floated across to him from the bathing place.
5126_34483_000017_000001	To go over all those fat little legs, pulling on their stockings, to take in her arms and dip those little naked bodies, and to hear their screams of delight and alarm, to see the breathless faces with wide-open, scared, and happy eyes of all her splashing cherubs, was a great pleasure to her.	To go over all those fat little legs, pulling on their stockings, to take in her arms and dip those little naked bodies, and to hear their screams of delight and alarm, to see the breathless faces with wide open, scared, and happy eyes of all her splashing cherubs, was a great pleasure to her.
5126_34483_000020_000000	"Yes, she has been ill."	"Yes, she has been ill."
5126_34483_000021_000000	"And so they've been bathing you too," said another to the baby.	"And so they've been bathing you too," said another to the baby.
5126_34483_000022_000000	"No; he's only three months old," answered Darya Alexandrovna with pride.	"No; he's only three months old," answered Darya Alexandrovna with pride.
5126_34483_000023_000000	"You don't say so!"	"You don't say so!"
5126_34483_000025_000000	"I've had four; I've two living--a boy and a girl.	"I've had four; I've two living-a boy and a girl.
5126_34483_000025_000001	I weaned her last carnival."	I weaned her last carnival."
5126_34483_000027_000000	"Why, two years old."	"Why, two years old."
5126_34483_000030_000000	And the conversation became most interesting to Darya Alexandrovna.	And the conversation became most interesting to Darya Alexandrovna.
5126_34483_000030_000001	What sort of time did she have?	What sort of time did she have?
5126_34483_000030_000003	Where was her husband?	Where was her husband?
5126_34483_000030_000004	Did it often happen?	Did it often happen?
5126_34483_000031_000000	Darya Alexandrovna felt disinclined to leave the peasant women, so interesting to her was their conversation, so completely identical were all their interests.	Darya Alexandrovna felt disinclined to leave the peasant women, so interesting to her was their conversation, so completely identical were all their interests.
5126_34483_000031_000001	What pleased her most of all was that she saw clearly what all the women admired more than anything was her having so many children, and such fine ones.	What pleased her most of all was that she saw clearly what all the women admired more than anything was her having so many children, and such fine ones.
5126_34483_000031_000002	The peasant women even made Darya Alexandrovna laugh, and offended the English governess, because she was the cause of the laughter she did not understand.	The peasant women even made Darya Alexandrovna laugh, and offended the English governess, because she was the cause of the laughter she did not understand.
