5126_34483_000000_000000	Now in the solitude of the country, she began to be more and more frequently aware of those joys.	Now in the solitude of the country, she began to be more and more frequently aware of those joys.	false	0	6.36	23.968445
5126_34483_000003_000004	The fact that the children had not been at the sacrament for nearly a year worried her extremely, and with the full approval and sympathy of Marya Philimonovna she decided that this should take place now in the summer.	The fact that the children had not been at the sacrament for nearly a year worried her extremely, and with the full approval and sympathy of Marya Philimonovna she decided that this should take place now in the summer.	true	110.78	126.16	24.325155
5126_34483_000004_000000	For several days before, Darya Alexandrovna was busily deliberating on how to dress all the children.	For several days before, Darya Alexandrovna was busily deliberating on how to dress all the children.	false	127.19	135.19	18.33488
5126_34483_000004_000001	Frocks were made or altered and washed, seams and flounces were let out, buttons were sewn on, and ribbons got ready.	Frocks were made or altered and washed, seams and flounces were let out, buttons were sewn on, and ribbons got ready.	true	135.86	145.27	19.205273
5126_34483_000004_000002	One dress, Tanya's, which the English governess had undertaken, cost Darya Alexandrovna much loss of temper.	One dress, Tanya's, which the English governess had undertaken, cost Darya Alexandrovna much loss of temper.	true	145.73	154.54	24.336956
5126_34483_000004_000003	The English governess in altering it had made the seams in the wrong place, had taken up the sleeves too much, and altogether spoilt the dress.	The English governess in altering it had made the seams in the wrong place, had taken up the sleeves too much, and altogether spoilt the dress.	false	155.15	165.4	26.173641
5126_34483_000004_000004	It was so narrow on Tanya's shoulders that it was quite painful to look at her.	It was so narrow on Tanya's shoulders that it was quite painful to look at her.	true	166.4	171.97	22.185839
5126_34483_000004_000005	But Marya Philimonovna had the happy thought of putting in gussets, and adding a little shoulder-cape.	But Marya Philimonovna had the happy thought of putting in gussets, and adding a little shoulder cape.	true	172.58	180.28	25.995745
5126_34483_000004_000006	The dress was set right, but there was nearly a quarrel with the English governess.	The dress was set right, but there was nearly a quarrel with the English governess.	true	180.35	185.71	26.13543
5126_34483_000004_000007	On the morning, however, all was happily arranged, and towards ten o'clock--the time at which they had asked the priest to wait for them for the mass--the children in their new dresses, with beaming faces, stood on the step before the carriage waiting for their mother.	On the morning, however, all was happily arranged, and towards ten o'clock-the time at which they had asked the priest to wait for them for the mass-the children in their new dresses, with beaming faces, stood on the step before the carriage waiting for their mother.	true	186.14	203.62	23.104107
5126_34483_000005_000000	To the carriage, instead of the restive Raven, they had harnessed, thanks to the representations of Marya Philimonovna, the bailiff's horse, Brownie, and Darya Alexandrovna, delayed by anxiety over her own attire, came out and got in, dressed in a white muslin gown.	To the carriage, instead of the restive Raven, they had harnessed, thanks to the representations of Marya Philimonovna, the bailiff's horse, Brownie, and Darya Alexandrovna, delayed by anxiety over her own attire, came out and got in, dressed in a white muslin gown.	false	204.05	224.5	23.200321
5126_34483_000006_000000	Darya Alexandrovna had done her hair, and dressed with care and excitement.	Darya Alexandrovna had done her hair, and dressed with care and excitement.	true	225.23	230.74	25.78433
5126_34483_000006_000001	In the old days she had dressed for her own sake to look pretty and be admired.	In the old days she had dressed for her own sake to look pretty and be admired.	true	231.2	236.86	26.075657
5126_34483_000006_000002	Later on, as she got older, dress became more and more distasteful to her.	Later on, as she got older, dress became more and more distasteful to her.	false	237.5	243.43	26.10468
5126_34483_000006_000003	She saw that she was losing her good looks.	She saw that she was losing her good looks.	true	243.71	246.79	21.33717
5126_34483_000006_000004	But now she began to feel pleasure and interest in dress again.	But now she began to feel pleasure and interest in dress again.	true	247.16	251.86	21.755829
5126_34483_000006_000005	Now she did not dress for her own sake, not for the sake of her own beauty, but simply that as the mother of those exquisite creatures she might not spoil the general effect.	Now she did not dress for her own sake, not for the sake of her own beauty, but simply that as the mother of those exquisite creatures she might not spoil the general effect.	true	252.29	265.9	23.320498
5126_34483_000006_000006	And looking at herself for the last time in the looking-glass she was satisfied with herself.	And looking at herself for the last time in the looking glass she was satisfied with herself.	true	266.51	273.13	27.656897
5126_34483_000006_000007	She looked nice.	She looked nice.	true	273.26	274.72	28.147718
5126_34483_000006_000008	Not nice as she would have wished to look nice in old days at a ball, but nice for the object which she now had in view.	Not nice as she would have wished to look nice in old days at a ball, but nice for the object which she now had in view.	false	275.33	284.95	22.0732
5126_34483_000007_000000	In the church there was no one but the peasants, the servants and their women-folk.	In the church there was no one but the peasants, the servants and their women folk.	true	285.89	291.765	23.93215
5126_34483_000007_000001	But Darya Alexandrovna saw, or fancied she saw, the sensation produced by her children and her.	But Darya Alexandrovna saw, or fancied she saw, the sensation produced by her children and her.	true	291.765	300.67	25.128563
5126_34483_000007_000002	The children were not only beautiful to look at in their smart little dresses, but they were charming in the way they behaved.	The children were not only beautiful to look at in their smart little dresses, but they were charming in the way they behaved.	true	300.74	308.62	23.477057
5126_34483_000007_000003	Aliosha, it is true, did not stand quite correctly; he kept turning round, trying to look at his little jacket from behind; but all the same he was wonderfully sweet.	Aliosha, it is true, did not stand quite correctly; he kept turning round, trying to look at his little jacket from behind; but all the same he was wonderfully sweet.	true	309.38	322	25.09217
5126_34483_000007_000004	Tanya behaved like a grownup person, and looked after the little ones.	Tanya behaved like a grownup person, and looked after the little ones.	true	322.43	327.4	23.44373
5126_34483_000007_000005	And the smallest, Lily, was bewitching in her naive astonishment at everything, and it was difficult not to smile when, after taking the sacrament, she said in English, "Please, some more."	And the smallest, Lily, was bewitching in her naive astonishment at everything, and it was difficult not to smile when, after taking the sacrament, she said in English, "Please, some more."	true	327.92	343.15	23.24907
5126_34483_000008_000000	On the way home the children felt that something solemn had happened, and were very sedate.	On the way home the children felt that something solemn had happened, and were very sedate.	true	344.09	349.84	23.115635
5126_34483_000009_000000	Everything went happily at home too; but at lunch Grisha began whistling, and, what was worse, was disobedient to the English governess, and was forbidden to have any tart.	Everything went happily at home too; but at lunch Grisha began whistling, and, what was worse, was disobedient to the English governess, and was forbidden to have any tart.	true	350.21	363.43	21.66518
5126_34483_000009_000001	Darya Alexandrovna would not have let things go so far on such a day had she been present; but she had to support the English governess's authority, and she upheld her decision that Grisha should have no tart.	Darya Alexandrovna would not have let things go so far on such a day had she been present; but she had to support the English governess's authority, and she upheld her decision that Grisha should have no tart.	true	364.19	379.33	21.306742
5126_34483_000009_000002	This rather spoiled the general good humor.	This rather spoiled the general good humor.	true	380.12	382.78	21.647299
5126_34483_000009_000003	Grisha cried, declaring that Nikolinka had whistled too, and he was not punished, and that he wasn't crying for the tart--he didn't care--but at being unjustly treated.	Grisha cried, declaring that Nikolinka had whistled too, and he was not punished, and that he wasn't crying for the tart-he didn't care-but at being unjustly treated.	false	383.09	396.85	24.428682
5126_34483_000009_000004	This was really too tragic, and Darya Alexandrovna made up her mind to persuade the English governess to forgive Grisha, and she went to speak to her.	This was really too tragic, and Darya Alexandrovna made up her mind to persuade the English governess to forgive Grisha, and she went to speak to her.	false	397.19	408.13	25.095959
5126_34483_000009_000005	But on the way, as she passed the drawing room, she beheld a scene, filling her heart with such pleasure that the tears came into her eyes, and she forgave the delinquent herself.	But on the way, as she passed the drawing room, she beheld a scene, filling her heart with such pleasure that the tears came into her eyes, and she forgave the delinquent herself.	true	408.29	421.33	21.723383
5126_34483_000010_000000	The culprit was sitting at the window in the corner of the drawing room; beside him was standing Tanya with a plate.	The culprit was sitting at the window in the corner of the drawing room; beside him was standing Tanya with a plate.	true	422.21	430.51	22.201155
5126_34483_000010_000001	On the pretext of wanting to give some dinner to her dolls, she had asked the governess's permission to take her share of tart to the nursery, and had taken it instead to her brother.	On the pretext of wanting to give some dinner to her dolls, she had asked the governess's permission to take her share of tart to the nursery, and had taken it instead to her brother.	true	431.18	444.13	23.837572
5126_34483_000010_000002	While still weeping over the injustice of his punishment, he was eating the tart, and kept saying through his sobs, "Eat yourself; let's eat it together ... together."	While still weeping over the injustice of his punishment, he was eating the tart, and kept saying through his sobs, "Eat yourself; let's eat it together ... together."	false	445.01	457.09	22.59954
5126_34483_000011_000000	Tanya had at first been under the influence of her pity for Grisha, then of a sense of her noble action, and tears were standing in her eyes too; but she did not refuse, and ate her share.	Tanya had at first been under the influence of her pity for Grisha, then of a sense of her noble action, and tears were standing in her eyes too; but she did not refuse, and ate her share.	true	457.61	472.45	22.060678
5126_34483_000012_000000	On catching sight of their mother they were dismayed, but, looking into her face, they saw they were not doing wrong.	On catching sight of their mother they were dismayed, but, looking into her face, they saw they were not doing wrong.	true	473.96	482.01	24.170618
5126_34483_000012_000001	They burst out laughing, and, with their mouths full of tart, they began wiping their smiling lips with their hands, and smearing their radiant faces all over with tears and jam.	They burst out laughing, and, with their mouths full of tart, they began wiping their smiling lips with their hands, and smearing their radiant faces all over with tears and jam.	false	482.01	495.37	22.788736
5126_34483_000013_000000	"Mercy!	"Mercy!	true	495.86	496.77	11.713808
5126_34483_000013_000001	Your new white frock!	Your new white frock!	true	496.77	498.21	16
5126_34483_000013_000002	Tanya!	Tanya!	true	498.21	499.15	23.528967
5126_34483_000013_000003	Grisha!" said their mother, trying to save the frock, but with tears in her eyes, smiling a blissful, rapturous smile.	Grisha!" said their mother, trying to save the frock, but with tears in her eyes, smiling a blissful, rapturous smile.	true	499.19	509.2	21.624622
5126_34483_000014_000000	The new frocks were taken off, and orders were given for the little girls to have their blouses put on, and the boys their old jackets, and the wagonette to be harnessed; with Brownie, to the bailiff's annoyance, again in the shafts, to drive out for mushroom picking and bathing.	The new frocks were taken off, and orders were given for the little girls to have their blouses put on, and the boys their old jackets, and the wagonette to be harnessed; with Brownie, to the bailiff's annoyance, again in the shafts, to drive out for mushroom picking and bathing.	true	509.54	527.92	21.760574
5126_34483_000014_000001	A roar of delighted shrieks arose in the nursery, and never ceased till they had set off for the bathing-place.	A roar of delighted shrieks arose in the nursery, and never ceased till they had set off for the bathing place.	true	528.47	536.14	19.951466
5126_34483_000015_000000	They gathered a whole basketful of mushrooms; even Lily found a birch mushroom.	They gathered a whole basketful of mushrooms; even Lily found a birch mushroom.	true	537.05	542.8	22.359165
5126_34483_000015_000001	It had always happened before that Miss Hoole found them and pointed them out to her; but this time she found a big one quite of herself, and there was a general scream of delight, "Lily has found a mushroom!"	It had always happened before that Miss Hoole found them and pointed them out to her; but this time she found a big one quite of herself, and there was a general scream of delight, "Lily has found a mushroom!"	true	543.05	557.74	22.80117
5126_34483_000016_000000	Then they reached the river, put the horses under the birch trees, and went to the bathing-place.	Then they reached the river, put the horses under the birch trees, and went to the bathing place.	true	558.56	564.82	23.741438
5126_34483_000016_000001	The coachman, Terenty, fastened the horses, who kept whisking away the flies, to a tree, and, treading down the grass, lay down in the shade of a birch and smoked his shag, while the never-ceasing shrieks of delight of the children floated across to him from the bathing-place.	The coachman, Terenty, fastened the horses, who kept whisking away the flies, to a tree, and, treading down the grass, lay down in the shade of a birch and smoked his shag, while the never ceasing shrieks of delight of the children floated across to him from the bathing place.	true	564.83	584.41	21.669823
5126_34483_000017_000000	Though it was hard work to look after all the children and restrain their wild pranks, though it was difficult too to keep in one's head and not mix up all the stockings, little breeches, and shoes for the different legs, and to undo and to do up again all the tapes and buttons, Darya Alexandrovna, who had always liked bathing herself, and believed it to be very good for the children, enjoyed nothing so much as bathing with all the children.	Though it was hard work to look after all the children and restrain their wild pranks, though it was difficult too to keep in one's head and not mix up all the stockings, little breeches, and shoes for the different legs, and to undo and to do up again all the tapes and buttons, Darya Alexandrovna, who had always liked bathing herself, and believed it to be very good for the children, enjoyed nothing so much as bathing with all the children.	false	586.19	616.54	23.521915
5126_34483_000017_000001	To go over all those fat little legs, pulling on their stockings, to take in her arms and dip those little naked bodies, and to hear their screams of delight and alarm, to see the breathless faces with wide-open, scared, and happy eyes of all her splashing cherubs, was a great pleasure to her.	To go over all those fat little legs, pulling on their stockings, to take in her arms and dip those little naked bodies, and to hear their screams of delight and alarm, to see the breathless faces with wide open, scared, and happy eyes of all her splashing cherubs, was a great pleasure to her.	true	618.14	639.04	22.769573
5126_34483_000018_000000	When half the children had been dressed, some peasant women in holiday dress, out picking herbs, came up to the bathing-shed and stopped shyly. Marya Philimonovna called one of them and handed her a sheet and a shirt that had dropped into the water for her to dry them, and Darya Alexandrovna began to talk to the women.	When half the children had been dressed, some peasant women in holiday dress, out picking herbs, came up to the bathing shed and stopped shyly. Marya Philimonovna called one of them and handed her a sheet and a shirt that had dropped into the water for her to dry them, and Darya Alexandrovna began to talk to the women.	false	639.47	662.34	22.696838
5126_34483_000018_000001	At first they laughed behind their hands and did not understand her questions, but soon they grew bolder and began to talk, winning Darya Alexandrovna's heart at once by the genuine admiration of the children that they showed.	At first they laughed behind their hands and did not understand her questions, but soon they grew bolder and began to talk, winning Darya Alexandrovna's heart at once by the genuine admiration of the children that they showed.	false	662.34	678.55	21.066977
5126_34483_000019_000000	"My, what a beauty! as white as sugar," said one, admiring Tanitchka, and shaking her head; "but thin..."	"My, what a beauty! as white as sugar," said one, admiring Tanitchka, and shaking her head; "but thin..."	false	679.46	688.05	22.13571
5126_34483_000020_000000	"Yes, she has been ill."	"Yes, she has been ill."	true	688.05	689.8	22.357738
5126_34483_000021_000000	"And so they've been bathing you too," said another to the baby.	"And so they've been bathing you too," said another to the baby.	true	690.35	694.06	20.85575
5126_34483_000022_000000	"No; he's only three months old," answered Darya Alexandrovna with pride.	"No; he's only three months old," answered Darya Alexandrovna with pride.	true	694.49	700.39	21.396639
5126_34483_000023_000000	"You don't say so!"	"You don't say so!"	true	700.85	702.7	24.299007
5126_34483_000024_000000	"And have you any children?"	"And have you any children?"	false	703.52	705.22	24.002707
5126_34483_000025_000000	"I've had four; I've two living--a boy and a girl.	"I've had four; I've two living-a boy and a girl.	true	705.62	709.72	22.276253
5126_34483_000025_000001	I weaned her last carnival."	I weaned her last carnival."	true	709.94	712.12	21.031336
5126_34483_000026_000000	"How old is she?"	"How old is she?"	false	712.91	714.91	19.627426
5126_34483_000027_000000	"Why, two years old."	"Why, two years old."	true	715.01	716.86	26.562042
5126_34483_000028_000000	"Why did you nurse her so long?"	"Why did you nurse her so long?"	true	717.11	719.43	17.117113
5126_34483_000029_000000	"It's our custom; for three fasts..."	"It's our custom; for three fasts..."	false	719.43	722.92	25.269922
5126_34483_000030_000000	And the conversation became most interesting to Darya Alexandrovna.	And the conversation became most interesting to Darya Alexandrovna.	true	723.41	728.23	21.708225
5126_34483_000030_000001	What sort of time did she have?	What sort of time did she have?	true	728.54	730.9	21.761265
5126_34483_000030_000002	What was the matter with the boy?	What was the matter with the boy?	true	731	733.12	19.489124
5126_34483_000030_000003	Where was her husband?	Where was her husband?	true	733.13	734.68	22.35865
5126_34483_000030_000004	Did it often happen?	Did it often happen?	true	734.93	736.54	29.65719
5126_34483_000031_000000	Darya Alexandrovna felt disinclined to leave the peasant women, so interesting to her was their conversation, so completely identical were all their interests.	Darya Alexandrovna felt disinclined to leave the peasant women, so interesting to her was their conversation, so completely identical were all their interests.	true	737.9	748.78	22.61706
5126_34483_000031_000001	What pleased her most of all was that she saw clearly what all the women admired more than anything was her having so many children, and such fine ones.	What pleased her most of all was that she saw clearly what all the women admired more than anything was her having so many children, and such fine ones.	true	749.3	760.3	22.08141
5126_34483_000031_000002	The peasant women even made Darya Alexandrovna laugh, and offended the English governess, because she was the cause of the laughter she did not understand.	The peasant women even made Darya Alexandrovna laugh, and offended the English governess, because she was the cause of the laughter she did not understand.	true	760.85	772.69	22.741505
5126_34483_000031_000003	One of the younger women kept staring at the Englishwoman, who was dressing after all the rest, and when she put on her third petticoat she could not refrain from the remark, "My, she keeps putting on and putting on, and she'll never have done!" she said, and they all went off into roars.	One of the younger women kept staring at the Englishwoman, who was dressing after all the rest, and when she put on her third petticoat she could not refrain from the remark, "My, she keeps putting on and putting on, and she'll never have done!" she said, and they all went off into roars.	false	773.03	795.36	22.0653
5126_34483_000032_000000	Chapter 9	Chapter nine	false	795.36	796.26	30.092419
5126_34483_000033_000000	On the drive home, as Darya Alexandrovna, with all her children round her, their heads still wet from their bath, and a kerchief tied over her own head, was getting near the house, the coachman said, "There's some gentleman coming: the master of Pokrovskoe, I do believe."	On the drive home, as Darya Alexandrovna, with all her children round her, their heads still wet from their bath, and a kerchief tied over her own head, was getting near the house, the coachman said, "There's some gentleman coming: the master of Pokrovskoe, I do believe."	false	796.26	804.81	20.964876
