3119_163527_000000_000000	THE WIDOW'S SON	THE WIDOW'S SON	false	20.625	27.55	21.28857
3119_163527_000042_000000	'Yes, ever so many', said the lad, 'as many as would fill a large church.'	'Yes, ever so many', said the lad, 'as many as would fill a large church.'	true	574.04	579.25	20
3119_163527_000043_000000	'Aye, aye, that's the Troll and his crew', said the Horse; 'now he's got more to back him; but now throw down the stone, and mind you throw it far behind me.'	'Aye, aye, that's the Troll and his crew', said the Horse; 'now he's got more to back him; but now throw down the stone, and mind you throw it far behind me.'	true	579.77	590.65	20.369612
3119_163527_000044_000000	And as soon as the lad did what the Horse said, up rose a great black hill of rock behind him.	And as soon as the lad did what the Horse said, up rose a great black hill of rock behind him.	true	591.11	598.84	22.958115
3119_163527_000044_000001	So the Troll had to be off home to fetch something to mine his way through the rock; and while the Troll did that, the lad rode a good bit further on.	So the Troll had to be off home to fetch something to mine his way through the rock; and while the Troll did that, the lad rode a good bit further on.	true	599.42	609.22	19
3119_163527_000044_000002	But still the Horse begged him to look behind him, and then he saw a troop like a whole army behind him, and they glistened in the sunbeams.	But still the Horse begged him to look behind him, and then he saw a troop like a whole army behind him, and they glistened in the sunbeams.	true	609.8	620.14	20.847113
3119_163527_000045_000000	'Aye, aye', said the Horse, 'that's the Troll, and now he's got his whole band with him, so throw the pitcher of water behind you, but mind you don't spill any of it upon me.'	'Aye, aye', said the Horse, 'that's the Troll, and now he's got his whole band with him, so throw the pitcher of water behind you, but mind you don't spill any of it upon me.'	true	620.54	632.29	21.5718
3119_163527_000046_000000	So the lad did that; but in spite of all the pains he took, he still spilt one drop on the horse's flank.	So the lad did that; but in spite of all the pains he took, he still spilt one drop on the horse's flank.	true	633.05	641.29	22
3119_163527_000046_000001	So it became a great deep lake; and because of that one drop, the horse found himself far out in it, but still he swam safe to land.	So it became a great deep lake; and because of that one drop, the horse found himself far out in it, but still he swam safe to land.	true	641.75	653.59	23.70232
3119_163527_000046_000002	But when the Trolls came to the lake, they lay down to drink it dry; and so they swilled and swilled till they burst.	But when the Trolls came to the lake, they lay down to drink it dry; and so they swilled and swilled till they burst.	true	654.05	664.03	22
3119_163527_000047_000000	'Now we're rid of them', said the Horse.	'Now we're rid of them', said the Horse.	true	664.31	667	19.242168
3119_163527_000048_000000	So when they had gone a long, long while, they came to a green patch in a wood.	So when they had gone a long, long while, they came to a green patch in a wood.	true	668.24	674.23	20
3119_163527_000049_000000	'Now, strip off all your arms', said the Horse, 'and only put on your ragged clothes, and take the saddle off me, and let me loose, and hang all my clothing and your arms up inside that great hollow lime- tree yonder.	'Now, strip off all your arms', said the Horse, 'and only put on your ragged clothes, and take the saddle off me, and let me loose, and hang all my clothing and your arms up inside that great hollow lime tree yonder.	true	674.81	690.22	21
3119_163527_000049_000001	Then make yourself a wig of fir-moss, and go up to the king's palace, which lies close here, and ask for a place.	Then make yourself a wig of fir moss, and go up to the king's palace, which lies close here, and ask for a place.	true	690.53	698.92	21
3119_163527_000049_000002	Whenever you need me, only come here and shake the bridle, and I'll come to you.'	Whenever you need me, only come here and shake the bridle, and I'll come to you.'	true	699.26	705.04	23.597715
3119_163527_000050_000000	Yes! the lad did all his Horse told him, and as soon as ever he put on the wig of moss he became so ugly, and pale, and miserable to look at, no one would have known him again.	Yes! the lad did all his Horse told him, and as soon as ever he put on the wig of moss he became so ugly, and pale, and miserable to look at, no one would have known him again.	true	705.74	719.62	19
3119_163527_000050_000001	Then he went up to the king's palace and begged first for leave to be in the kitchen, and bring in wood and water for the cook, but then the kitchen-maid asked him:	Then he went up to the king's palace and begged first for leave to be in the kitchen, and bring in wood and water for the cook, but then the kitchen maid asked him:	true	720.92	731.53	23.481373
3119_163527_000051_000000	'Why do you wear that ugly wig?	'Why do you wear that ugly wig?	true	731.63	733.365	17.24927
3119_163527_000051_000001	Off with it.	Off with it.	false	733.365	733.89	17
3119_163527_000051_000002	I won't have such a fright in here.'	I won't have such a fright in here.'	true	733.89	735.82	16
3119_163527_000052_000000	'No, I can't do that', said the lad; 'for I'm not quite right in my head.'	'No, I can't do that', said the lad; 'for I'm not quite right in my head.'	true	735.92	740.71	27
3119_163527_000053_000000	'Do you think then I'll have you in here about the food', cried the cook.	'Do you think then I'll have you in here about the food', cried the cook.	true	741.29	744.765	19.258415
3119_163527_000053_000001	'Away with you to the coachman; you're best fit to go and clean the stable.'	'Away with you to the coachman; you're best fit to go and clean the stable.'	false	744.765	749.11	21
3119_163527_000054_000000	But when the coachman begged him to take his wig off, he got the same answer, and he wouldn't have him either.	But when the coachman begged him to take his wig off, he got the same answer, and he wouldn't have him either.	true	749.63	756.46	18.316118
3119_163527_000054_000001	'You'd best go down to the gardener', said he; 'you're best fit to go about and dig in the garden.'	'You'd best go down to the gardener', said he; 'you're best fit to go about and dig in the garden.'	true	757.22	763.03	20.395418
3119_163527_000055_000000	So he got leave to be with the gardener, but none of the other servants would sleep with him, and so he had to sleep by himself under the steps of the summerhouse.	So he got leave to be with the gardener, but none of the other servants would sleep with him, and so he had to sleep by himself under the steps of the summerhouse.	true	763.79	776.83	23.038132
3119_163527_000055_000001	It stood upon beams, and had a high staircase.	It stood upon beams, and had a high staircase.	true	777.11	781.21	21
3119_163527_000055_000002	Under that he got some turf for his bed, and there he lay as well as he could.	Under that he got some turf for his bed, and there he lay as well as he could.	true	781.58	788.47	21.666191
3119_163527_000056_000000	So, when he had been some time at the palace, it happened one morning, just as the sun rose, that the lad had taken off his wig, and stood and washed himself, and then he was so handsome, it was a joy to look at him.	So, when he had been some time at the palace, it happened one morning, just as the sun rose, that the lad had taken off his wig, and stood and washed himself, and then he was so handsome, it was a joy to look at him.	true	788.78	804.64	21.426575
3119_163527_000057_000000	So the Princess saw from her window the lovely gardener's boy, and thought she had never seen any one so handsome.	So the Princess saw from her window the lovely gardener's boy, and thought she had never seen any one so handsome.	true	805.46	815.2	19
3119_163527_000057_000001	Then she asked the gardener why he lay out there under the steps.	Then she asked the gardener why he lay out there under the steps.	true	815.87	820.21	17
3119_163527_000058_000000	'Oh', said the gardener, 'none of his fellow-servants will sleep with him; that's why.'	'Oh', said the gardener, 'none of his fellow servants will sleep with him; that's why.'	true	820.49	825.16	16
3119_163527_000059_000000	'Let him come up to-night, and lie at the door inside my bedroom, and then they'll not refuse to sleep with him any more', said the Princess.	'Let him come up to night, and lie at the door inside my bedroom, and then they'll not refuse to sleep with him any more', said the Princess.	true	825.95	834.64	19
3119_163527_000060_000000	So the gardener told that to the lad.	So the gardener told that to the lad.	true	835.01	837.61	17
3119_163527_000061_000000	'Do you think I'll do any such thing?' said the lad.	'Do you think I'll do any such thing?' said the lad.	true	838.16	841.78	20
3119_163527_000061_000001	'Why they'd say next there was something between me and the Princess.'	'Why they'd say next there was something between me and the Princess.'	true	841.82	845.86	22
3119_163527_000062_000000	'Yes', said the gardener, 'you've good reason to fear any such thing, you who are so handsome.'	'Yes', said the gardener, 'you've good reason to fear any such thing, you who are so handsome.'	true	846.02	852.55	18
3119_163527_000063_000000	'Well, well', said the lad, 'since it's her will, I suppose I must go.'	'Well, well', said the lad, 'since it's her will, I suppose I must go.'	true	852.83	857.47	18
3119_163527_000064_000000	So, when he was to go up the steps in the evening, he tramped and stamped so on the way, that they had to beg him to tread softly lest the King should come to know it.	So, when he was to go up the steps in the evening, he tramped and stamped so on the way, that they had to beg him to tread softly lest the King should come to know it.	true	858.83	869.59	25
3119_163527_000064_000001	So he came into the Princess' bedroom, lay down, and began to snore at once.	So he came into the Princess' bedroom, lay down, and began to snore at once.	true	870.05	875.68	27.053986
3119_163527_000064_000002	Then the Princess said to her maid:	Then the Princess said to her maid:	true	876.35	878.53	19
3119_163527_000065_000000	'Go gently, and just pull his wig off'; and she went up to him.	'Go gently, and just pull his wig off'; and she went up to him.	true	878.66	883.57	22.824282
3119_163527_000066_000000	But just as she was going to whisk it off, he caught hold of it with both hands, and said she should never have it.	But just as she was going to whisk it off, he caught hold of it with both hands, and said she should never have it.	false	883.82	891.28	20.301878
3119_163527_000066_000001	After that he lay down again, and began to snore.	After that he lay down again, and began to snore.	true	891.5	895.48	24.080671
3119_163527_000066_000002	Then the Princess gave her maid a wink, and this time she whisked off the wig; and there lay the lad so lovely, and white and red, just as the Princess had seen him in the morning sun.	Then the Princess gave her maid a wink, and this time she whisked off the wig; and there lay the lad so lovely, and white and red, just as the Princess had seen him in the morning sun	true	896.3	911.29	20.57103
3119_163527_000067_000000	After that the lad slept every night in the Princess' bedroom.	After that the lad slept every night in the Princess' bedroom.	true	912.2	919	20.827251
3119_163527_000068_000000	But it wasn't long before the King came to hear how the gardener's lad slept every night in the Princess' bedroom; and he got so wroth he almost took the lad's life.	But it wasn't long before the King came to hear how the gardener's lad slept every night in the Princess' bedroom; and he got so wroth he almost took the lad's life.	true	919.13	931.66	19
3119_163527_000068_000001	He didn't do that, however, but threw him into the prison tower; and as for his daughter, he shut her up in her own room, whence she never got leave to stir day or night.	He didn't do that, however, but threw him into the prison tower; and as for his daughter, he shut her up in her own room, whence she never got leave to stir day or night.	true	931.79	943.09	18
3119_163527_000068_000002	All that she begged, and all that she prayed, for the lad and herself, was no good.	All that she begged, and all that she prayed, for the lad and herself, was no good.	true	943.55	950.14	22.0435
3119_163527_000068_000003	The King was only more wroth than ever.	The King was only more wroth than ever.	true	950.24	953.83	20.33288
3119_163527_000069_000000	Some time after came a war and uproar in the land, and the king had to take up arms against another king who wished to take the kingdom from him.	Some time after came a war and uproar in the land, and the king had to take up arms against another king who wished to take the kingdom from him.	false	956.96	967.18	24
3119_163527_000069_000001	So when the lad heard that, he begged the gaoler to go to the king and ask for a coat of mail and a sword, and for leave to go to the war.	So when the lad heard that, he begged the gaoler to go to the king and ask for a coat of mail and a sword, and for leave to go to the war.	false	967.85	976.9	21
3119_163527_000069_000002	All the rest laughed when the gaoler told his errand, and begged the king to let him have an old worn-out suit, that they might have the fun of seeing such a wretch in battle.	All the rest laughed when the gaoler told his errand, and begged the king to let him have an old worn out suit, that they might have the fun of seeing such a wretch in battle.	true	977.6	988.48	18
3119_163527_000069_000003	So he got that, and an old broken-down hack besides, which went upon three legs and dragged the fourth after it.	So he got that, and an old broken down hack besides, which went upon three legs and dragged the fourth after it.	true	988.79	998.08	22.40788
3119_163527_000070_000000	Then they went out to meet the foe; but they hadn't got far from the palace before the lad got stuck fast in a bog with his hack.	Then they went out to meet the foe; but they hadn't got far from the palace before the lad got stuck fast in a bog with his hack.	true	999.05	1008.31	24.371468
3119_163527_000070_000001	There he sat and dug his spurs in, and cried, 'Gee up, gee up!' to his hack. And all the rest had their fun out of this, and laughed, and made game of the lad as they rode past him.	There he sat and dug his spurs in, and cried, 'Gee up, gee up!' to his hack. And all the rest had their fun out of this, and laughed, and made game of the lad as they rode past him.	true	1008.62	1021.84	24.466187
3119_163527_000070_000002	But they were scarcely gone, before he ran to the lime-tree, threw on his coat of mail, and shook the bridle, and there came the horse in a trice, and said 'Do now your best, and I'll do mine.'	But they were scarcely gone, before he ran to the lime tree, threw on his coat of mail, and shook the bridle, and there came the horse in a trice, and said 'Do now your best, and I'll do mine.'	true	1022.39	1036.57	18
3119_163527_000071_000000	But when the lad came up the battle had begun, and the king was in a sad pinch; but no sooner had the lad rushed into the thick of it than the foe was beaten back, and put to flight.	But when the lad came up the battle had begun, and the king was in a sad pinch; but no sooner had the lad rushed into the thick of it than the foe was beaten back, and put to flight.	true	1037.75	1051.6	20.685148
3119_163527_000071_000001	The king and his men wondered and wondered who it could be who had come to help them, but none of them got so near him as to be able to talk to him, and as soon as the fight was over he was gone.	The king and his men wondered and wondered who it could be who had come to help them, but none of them got so near him as to be able to talk to him, and as soon as the fight was over he was gone.	false	1052.03	1063.87	19
3119_163527_000071_000002	When they went back, there sat the lad still in the bog, and dug his spurs into his three-legged hack, and they all laughed again.	When they went back, there sat the lad still in the bog, and dug his spurs into his three legged hack, and they all laughed again.	true	1064.54	1073.62	18
3119_163527_000072_000000	'No! only just look', they said; 'there the fool sits still.'	'No! only just look', they said; 'there the fool sits still.'	true	1073.72	1078.93	19
3119_163527_000073_000000	The next day when they went out to battle, they saw the lad sitting there still, so they laughed again, and made game of him; but as soon as ever they had ridden by, the lad ran again to the lime-tree, and all happened as on the first day.	The next day when they went out to battle, they saw the lad sitting there still, so they laughed again, and made game of him; but as soon as ever they had ridden by, the lad ran again to the lime tree, and all happened as on the first day.	false	1080.17	1095.79	19
3119_163527_000073_000001	Every one wondered what strange champion it could be that had helped them, but no one got so near him as to say a word to him; and no one guessed it could be the lad; that's easy to understand.	Every one wondered what strange champion it could be that had helped them, but no one got so near him as to say a word to him; and no one guessed it could be the lad; that's easy to understand.	true	1096.46	1109.77	20
3119_163527_000074_000000	So when they went home at night, and saw the lad still sitting there on his hack, they burst out laughing at him again, and one of them shot an arrow at him and hit him in the leg.	So when they went home at night, and saw the lad still sitting there on his hack, they burst out laughing at him again, and one of them shot an arrow at him and hit him in the leg.	true	1110.65	1123.39	21
3119_163527_000074_000001	So he began to shriek and to bewail; 'twas enough to break one's heart; and so the king threw his pocket-handkerchief to him to bind his wound.	So he began to shriek and to bewail; 'twas enough to break one's heart; and so the king threw his pocket handkerchief to him to bind his wound.	true	1123.39	1133.53	23
3119_163527_000075_000000	When they went out to battle the third day, the lad still sat there.	When they went out to battle the third day, the lad still sat there.	true	1134.68	1139.68	19.760555
3119_163527_000076_000000	'Gee up! gee up!' he said to his hack.	'Gee up! gee up!' he said to his hack.	true	1140.02	1142.65	29.901014
3119_163527_000077_000000	'Nay, nay', said the king's men; 'if he won't stick there till he's starved to death.'	'Nay, nay', said the king's men; 'if he won't stick there till he's starved to death.'	true	1142.78	1148.53	24.03735
3119_163527_000078_000000	And then they rode on, and laughed at him till they were fit to fall from their horses.	And then they rode on, and laughed at him till they were fit to fall from their horses.	true	1148.9	1154.23	22
3119_163527_000078_000001	When they were gone, he ran again to the lime, and came up to the battle just in the very nick of time.	When they were gone, he ran again to the lime, and came up to the battle just in the very nick of time.	true	1155.29	1162.12	21
3119_163527_000078_000002	This day he slew the enemy's king, and then the war was over at once.	This day he slew the enemy's king, and then the war was over at once.	true	1162.25	1168.87	21
3119_163527_000079_000000	When the battle was over, the king caught sight of his handkerchief, which the strange warrior had bound round his leg, and so it wasn't hard to find him out.	When the battle was over, the king caught sight of his handkerchief, which the strange warrior had bound round his leg, and so it wasn't hard to find him out.	true	1170.26	1180.36	18
3119_163527_000079_000001	So they took him with great joy between them to the palace, and the Princess, who saw him from her window, got so glad, no one can believe it.	So they took him with great joy between them to the palace, and the Princess, who saw him from her window, got so glad, no one can believe it.	true	1181	1190.26	17
3119_163527_000080_000000	'Here comes my own true love', she said.	'Here comes my own true love', she said.	true	1190.36	1193.53	18
