3119_163527_000004_000000	'Will you come and serve me?' said the man.	'Will you come and serve me?' said the man.
3119_163527_000032_000000	Oh yes! he could do that, and as for the sword, he brandished it like a feather.	Oh yes! he could do that, and as for the sword, he brandished it like a feather.
3119_163527_000033_000000	'Now saddle me', said the Horse, 'and put on the coat of mail, and then take the bramble-bush rod, and the stone, and the pitcher of water, and the pot of ointment, and then we'll be off as fast as we can.'	'Now saddle me', said the Horse, 'and put on the coat of mail, and then take the bramble bush rod, and the stone, and the pitcher of water, and the pot of ointment, and then we'll be off as fast as we can.'
3119_163527_000034_000000	So when the lad had got on the horse, off they went at such a rate, he couldn't at all tell how they went.	So when the lad had got on the horse, off they went at such a rate, he couldn't at all tell how they went.
3119_163527_000035_000000	'I think I hear a noise; look round! can you see anything?'	'I think I hear a noise; look round! can you see anything?'
3119_163527_000036_000000	'Yes; there are ever so many coming after us, at least a score', said the lad.	'Yes; there are ever so many coming after us, at least a score', said the lad.
3119_163527_000037_000000	'Aye, aye, that's the Troll coming', said the Horse; 'now he's after us with his pack.'	'Aye, aye, that's the Troll coming', said the Horse; 'now he's after us with his pack.'
3119_163527_000039_000000	'Now throw your bramble-bush rod behind you, over your shoulder', said the Horse; 'but mind you throw it a good way off my back.'	'Now throw your bramble bush rod behind you, over your shoulder', said the Horse; 'but mind you throw it a good way off my back.'
3119_163527_000040_000000	So the lad did that, and all at once a close, thick bramble-wood grew up behind them.	So the lad did that, and all at once a close, thick bramble wood grew up behind them.
3119_163527_000040_000002	But at last, the Horse said again.	But at last, the Horse said again.
3119_163527_000041_000000	'Look behind you! can you see anything now?'	'Look behind you! can you see anything now?'
3119_163527_000042_000000	'Yes, ever so many', said the lad, 'as many as would fill a large church.'	'Yes, ever so many', said the lad, 'as many as would fill a large church.'
3119_163527_000043_000000	'Aye, aye, that's the Troll and his crew', said the Horse; 'now he's got more to back him; but now throw down the stone, and mind you throw it far behind me.'	'Aye, aye, that's the Troll and his crew', said the Horse; 'now he's got more to back him; but now throw down the stone, and mind you throw it far behind me.'
3119_163527_000044_000000	And as soon as the lad did what the Horse said, up rose a great black hill of rock behind him.	And as soon as the lad did what the Horse said, up rose a great black hill of rock behind him.
3119_163527_000044_000002	But still the Horse begged him to look behind him, and then he saw a troop like a whole army behind him, and they glistened in the sunbeams.	But still the Horse begged him to look behind him, and then he saw a troop like a whole army behind him, and they glistened in the sunbeams.
3119_163527_000045_000000	'Aye, aye', said the Horse, 'that's the Troll, and now he's got his whole band with him, so throw the pitcher of water behind you, but mind you don't spill any of it upon me.'	'Aye, aye', said the Horse, 'that's the Troll, and now he's got his whole band with him, so throw the pitcher of water behind you, but mind you don't spill any of it upon me.'
3119_163527_000046_000000	So the lad did that; but in spite of all the pains he took, he still spilt one drop on the horse's flank.	So the lad did that; but in spite of all the pains he took, he still spilt one drop on the horse's flank.
3119_163527_000046_000001	So it became a great deep lake; and because of that one drop, the horse found himself far out in it, but still he swam safe to land.	So it became a great deep lake; and because of that one drop, the horse found himself far out in it, but still he swam safe to land.
3119_163527_000046_000002	But when the Trolls came to the lake, they lay down to drink it dry; and so they swilled and swilled till they burst.	But when the Trolls came to the lake, they lay down to drink it dry; and so they swilled and swilled till they burst.
3119_163527_000048_000000	So when they had gone a long, long while, they came to a green patch in a wood.	So when they had gone a long, long while, they came to a green patch in a wood.
3119_163527_000049_000000	'Now, strip off all your arms', said the Horse, 'and only put on your ragged clothes, and take the saddle off me, and let me loose, and hang all my clothing and your arms up inside that great hollow lime- tree yonder.	'Now, strip off all your arms', said the Horse, 'and only put on your ragged clothes, and take the saddle off me, and let me loose, and hang all my clothing and your arms up inside that great hollow lime tree yonder.
3119_163527_000049_000001	Then make yourself a wig of fir-moss, and go up to the king's palace, which lies close here, and ask for a place.	Then make yourself a wig of fir moss, and go up to the king's palace, which lies close here, and ask for a place.
3119_163527_000049_000002	Whenever you need me, only come here and shake the bridle, and I'll come to you.'	Whenever you need me, only come here and shake the bridle, and I'll come to you.'
3119_163527_000050_000001	Then he went up to the king's palace and begged first for leave to be in the kitchen, and bring in wood and water for the cook, but then the kitchen-maid asked him:	Then he went up to the king's palace and begged first for leave to be in the kitchen, and bring in wood and water for the cook, but then the kitchen maid asked him:
3119_163527_000052_000000	'No, I can't do that', said the lad; 'for I'm not quite right in my head.'	'No, I can't do that', said the lad; 'for I'm not quite right in my head.'
3119_163527_000054_000001	'You'd best go down to the gardener', said he; 'you're best fit to go about and dig in the garden.'	'You'd best go down to the gardener', said he; 'you're best fit to go about and dig in the garden.'
3119_163527_000055_000000	So he got leave to be with the gardener, but none of the other servants would sleep with him, and so he had to sleep by himself under the steps of the summerhouse.	So he got leave to be with the gardener, but none of the other servants would sleep with him, and so he had to sleep by himself under the steps of the summerhouse.
3119_163527_000055_000001	It stood upon beams, and had a high staircase.	It stood upon beams, and had a high staircase.
3119_163527_000055_000002	Under that he got some turf for his bed, and there he lay as well as he could.	Under that he got some turf for his bed, and there he lay as well as he could.
3119_163527_000056_000000	So, when he had been some time at the palace, it happened one morning, just as the sun rose, that the lad had taken off his wig, and stood and washed himself, and then he was so handsome, it was a joy to look at him.	So, when he had been some time at the palace, it happened one morning, just as the sun rose, that the lad had taken off his wig, and stood and washed himself, and then he was so handsome, it was a joy to look at him.
3119_163527_000061_000000	'Do you think I'll do any such thing?' said the lad.	'Do you think I'll do any such thing?' said the lad.
3119_163527_000061_000001	'Why they'd say next there was something between me and the Princess.'	'Why they'd say next there was something between me and the Princess.'
3119_163527_000064_000000	So, when he was to go up the steps in the evening, he tramped and stamped so on the way, that they had to beg him to tread softly lest the King should come to know it.	So, when he was to go up the steps in the evening, he tramped and stamped so on the way, that they had to beg him to tread softly lest the King should come to know it.
3119_163527_000064_000001	So he came into the Princess' bedroom, lay down, and began to snore at once.	So he came into the Princess' bedroom, lay down, and began to snore at once.
3119_163527_000065_000000	'Go gently, and just pull his wig off'; and she went up to him.	'Go gently, and just pull his wig off'; and she went up to him.
3119_163527_000066_000001	After that he lay down again, and began to snore.	After that he lay down again, and began to snore.
3119_163527_000066_000002	Then the Princess gave her maid a wink, and this time she whisked off the wig; and there lay the lad so lovely, and white and red, just as the Princess had seen him in the morning sun.	Then the Princess gave her maid a wink, and this time she whisked off the wig; and there lay the lad so lovely, and white and red, just as the Princess had seen him in the morning sun
3119_163527_000067_000000	After that the lad slept every night in the Princess' bedroom.	After that the lad slept every night in the Princess' bedroom.
3119_163527_000068_000002	All that she begged, and all that she prayed, for the lad and herself, was no good.	All that she begged, and all that she prayed, for the lad and herself, was no good.
3119_163527_000068_000003	The King was only more wroth than ever.	The King was only more wroth than ever.
3119_163527_000069_000003	So he got that, and an old broken-down hack besides, which went upon three legs and dragged the fourth after it.	So he got that, and an old broken down hack besides, which went upon three legs and dragged the fourth after it.
3119_163527_000070_000000	Then they went out to meet the foe; but they hadn't got far from the palace before the lad got stuck fast in a bog with his hack.	Then they went out to meet the foe; but they hadn't got far from the palace before the lad got stuck fast in a bog with his hack.
3119_163527_000070_000001	There he sat and dug his spurs in, and cried, 'Gee up, gee up!' to his hack. And all the rest had their fun out of this, and laughed, and made game of the lad as they rode past him.	There he sat and dug his spurs in, and cried, 'Gee up, gee up!' to his hack. And all the rest had their fun out of this, and laughed, and made game of the lad as they rode past him.
3119_163527_000071_000000	But when the lad came up the battle had begun, and the king was in a sad pinch; but no sooner had the lad rushed into the thick of it than the foe was beaten back, and put to flight.	But when the lad came up the battle had begun, and the king was in a sad pinch; but no sooner had the lad rushed into the thick of it than the foe was beaten back, and put to flight.
3119_163527_000073_000001	Every one wondered what strange champion it could be that had helped them, but no one got so near him as to say a word to him; and no one guessed it could be the lad; that's easy to understand.	Every one wondered what strange champion it could be that had helped them, but no one got so near him as to say a word to him; and no one guessed it could be the lad; that's easy to understand.
3119_163527_000074_000000	So when they went home at night, and saw the lad still sitting there on his hack, they burst out laughing at him again, and one of them shot an arrow at him and hit him in the leg.	So when they went home at night, and saw the lad still sitting there on his hack, they burst out laughing at him again, and one of them shot an arrow at him and hit him in the leg.
3119_163527_000074_000001	So he began to shriek and to bewail; 'twas enough to break one's heart; and so the king threw his pocket-handkerchief to him to bind his wound.	So he began to shriek and to bewail; 'twas enough to break one's heart; and so the king threw his pocket handkerchief to him to bind his wound.
3119_163527_000076_000000	'Gee up! gee up!' he said to his hack.	'Gee up! gee up!' he said to his hack.
3119_163527_000077_000000	'Nay, nay', said the king's men; 'if he won't stick there till he's starved to death.'	'Nay, nay', said the king's men; 'if he won't stick there till he's starved to death.'
3119_163527_000078_000000	And then they rode on, and laughed at him till they were fit to fall from their horses.	And then they rode on, and laughed at him till they were fit to fall from their horses.
3119_163527_000078_000001	When they were gone, he ran again to the lime, and came up to the battle just in the very nick of time.	When they were gone, he ran again to the lime, and came up to the battle just in the very nick of time.
3119_163527_000078_000002	This day he slew the enemy's king, and then the war was over at once.	This day he slew the enemy's king, and then the war was over at once.
3119_163527_000081_000000	Then he took the pot of ointment and rubbed himself on the leg, and after that he rubbed all the wounded, and so they all got well again in a moment.	Then he took the pot of ointment and rubbed himself on the leg, and after that he rubbed all the wounded, and so they all got well again in a moment.
3119_163527_000083_000000	'Now I have helped you on, and now I won't live any longer.	'Now I have helped you on, and now I won't live any longer.
3119_163527_000083_000001	So just take the sword, and cut my head off.'	So just take the sword, and cut my head off.'
3119_163527_000085_000000	'Well', said the Horse, 'If you don't do as I tell you, see if I don't take your life somehow.'	'Well', said the Horse, 'If you don't do as I tell you, see if I don't take your life somehow.'
3119_163527_000086_000001	But as soon as ever he had cut off the head, there stood the loveliest Prince on the spot where the horse had stood.	But as soon as ever he had cut off the head, there stood the loveliest Prince on the spot where the horse had stood.
3119_163527_000087_000000	'Why, where in all the world did you come from?' asked the king.	'Why, where in all the world did you come from?' asked the king.
3119_163527_000088_000001	He it was who threw this Troll's shape over me, and sold me to the Troll.	He it was who threw this Troll's shape over me, and sold me to the Troll.
3119_163527_000088_000002	But now he is slain I get my own again, and you and I will be neighbour kings, but war we will never make on one another.'	But now he is slain I get my own again, and you and I will be neighbour kings, but war we will never make on one another.'
