8225_274374_000000_000000	* Whitlocke, p. 66.	asterisk Whitlocke, p. sixty six.	false	0	1.71	17.937616
8225_274374_000008_000004	One division was commanded by Lord Mohun and Sir Ralph Hopton, another by Sir Bevil Granville and Sir John Berkeley, a third by Slanning and Trevannion, a fourth by Basset and Godolphin.	One division was commanded by Lord Mohun and Sir Ralph Hopton, another by Sir Bevil Granville and Sir john Berkeley, a third by Slanning and Trevannion, a fourth by Basset and Godolphin.	true	227.21	238.36	18.211802
8225_274374_000008_000005	In this manner the action began; the king's forces pressing with vigor those four ways up the hill, and their enemies obstinately defending themselves.	In this manner the action began; the king's forces pressing with vigor those four ways up the hill, and their enemies obstinately defending themselves.	true	239.03	248.11	19.525274
8225_274374_000008_000006	The fight continued with doubtful success, till word was brought to the chief officers of the Cornish, that their ammunition was spent to less than four barrels of powder.	The fight continued with doubtful success, till word was brought to the chief officers of the Cornish, that their ammunition was spent to less than four barrels of powder.	true	248.54	257.68	21.321428
8225_274374_000008_000007	This defect, which they concealed from the soldiers, they resolved to supply by their valor. They agreed to advance without firing till they should reach the top of the hill, and could be on equal ground with the enemy.	This defect, which they concealed from the soldiers, they resolved to supply by their valor. They agreed to advance without firing till they should reach the top of the hill, and could be on equal ground with the enemy.	true	258.08	270.25	22.761711
8225_274374_000008_000008	The courage of the officers was so well seconded by the soldiers, that the royalists began on all sides to gain ground.	The courage of the officers was so well seconded by the soldiers, that the royalists began on all sides to gain ground.	true	270.89	277.6	19.037086
8225_274374_000008_000009	Major-General Chidley, who commanded the parliamentary army, (for Stamford kept at a distance,) failed not in his duty; and when he saw his men recoil, he himself advanced with a good stand of pikes, and piercing into the thickest of the enemy, was at last overpowered by numbers, and taken prisoner.	Major General Chidley, who commanded the parliamentary army, (for Stamford kept at a distance,) failed not in his duty; and when he saw his men recoil, he himself advanced with a good stand of pikes, and piercing into the thickest of the enemy, was at last overpowered by numbers, and taken prisoner.	false	277.91	296.47	22.646458
8225_274374_000008_000010	His army, upon this disaster, gave ground apace; insomuch that the four parties of the royalists, growing nearer and nearer as they ascended, at length met together upon the plain at the top; where they embraced with great joy, and signalized their victory with loud shouts and mutual congratulations.[*]	His army, upon this disaster, gave ground apace; insomuch that the four parties of the royalists, growing nearer and nearer as they ascended, at length met together upon the plain at the top; where they embraced with great joy, and signalized their victory with loud shouts and mutual congratulations.[asterisk]	false	296.78	315.12	21.736368
8225_274374_000009_000000	After this success, the attention both of king and parliament was turned towards the west, as to a very important scene of action.	After this success, the attention both of king and parliament was turned towards the west, as to a very important scene of action.	true	315.12	322.51	22.33179
8225_274374_000009_000001	The king sent thither the marquis of Hertford and Prince Maurice, with a reenforcement of cavalry; who, having joined the Cornish army, soon overran the county of Devon; and advancing into that of Somerset, began to reduce it to obedience.	The king sent thither the marquis of Hertford and Prince Maurice, with a reenforcement of cavalry; who, having joined the Cornish army, soon overran the county of Devon; and advancing into that of Somerset, began to reduce it to obedience.	false	322.91	337.36	20.18225
8225_274374_000009_000002	On the other hand, the parliament, having supplied Sir William Waller, in whom they much trusted, with a complete army, despatched him westwards, in order to check the progress of the royalists.	On the other hand, the parliament, having supplied Sir William Waller, in whom they much trusted, with a complete army, despatched him westwards, in order to check the progress of the royalists.	true	337.97	349.03	21.70757
8225_274374_000009_000003	After some skirmishes, the two armies met at Lansdown, near Bath, and fought a pitched battle, with great loss on both sides, but without any decisive event.[**] The gallant Granville was there killed; and Hopton, by the blowing up of some powder, was dangerously hurt.	After some skirmishes, the two armies met at Lansdown, near Bath, and fought a pitched battle, with great loss on both sides, but without any decisive event.[asterisk asterisk] The gallant Granville was there killed; and Hopton, by the blowing up of some powder, was dangerously hurt.	false	349.76	365.7	22.2735
8225_274374_000010_000000	* Rush, vol. vi.	asterisk Rush, vol vi.	false	365.7	365.76	-20
8225_274374_000010_000001	p. 267, 273.	p. two hundred sixty seven, two hundred seventy three.	false	365.76	365.91	-20
8225_274374_000010_000002	Clarendon, vol. iii.	Clarendon, vol iii.	false	365.91	365.97	-20
8225_274374_000010_000003	p. 269, 279.	p. two hundred sixty nine, two hundred seventy nine.	false	365.97	366.15	-20
8225_274374_000011_000000	** Rush, vol. vi.	asterisk asterisk Rush, vol vi.	false	366.15	366.24	-20
8225_274374_000011_000001	p. 284.	p. two hundred eighty four.	false	366.24	366.33	-20
8225_274374_000011_000002	Clarendon, vol. iii.	Clarendon, vol iii.	false	366.33	366.36	-20
8225_274374_000011_000003	p. 282.	p. two hundred eighty two.	false	366.36	366.465	17
8225_274374_000012_000000	The royalists next attempted to march eastwards, and to join their forces to the king's at Oxford: but Waller hung on their rear, and infested their march till they reached the Devizes.	The royalists next attempted to march eastwards, and to join their forces to the king's at Oxford: but Waller hung on their rear, and infested their march till they reached the Devizes.	true	366.465	377.26	21.959118
8225_274374_000012_000001	Reenforced by additional troops, which flocked to him from all quarters, he so much surpassed the royalists in number, that they durst no longer continue their march, or expose themselves to the hazard of an action.	Reenforced by additional troops, which flocked to him from all quarters, he so much surpassed the royalists in number, that they durst no longer continue their march, or expose themselves to the hazard of an action.	false	377.96	390.4	25.078182
8225_274374_000012_000002	It was resolved that Hertford and Prince Maurice should proceed with the cavalry; and, having procured a reenforcement from the king, should hasten back to the relief of their friends.	It was resolved that Hertford and Prince Maurice should proceed with the cavalry; and, having procured a reenforcement from the king, should hasten back to the relief of their friends.	true	391.01	400.33	23.04546
8225_274374_000012_000003	Waller was so confident of taking this body of infantry, now abandoned by the horse, that he wrote to the parliament that their work was done, and that by the next post he would inform them of the number and quality of the prisoners.	Waller was so confident of taking this body of infantry, now abandoned by the horse, that he wrote to the parliament that their work was done, and that by the next post he would inform them of the number and quality of the prisoners.	true	401.12	413.56	24.305899
8225_274374_000012_000004	But the king, even before Hertford's arrival, hearing of the great difficulties to which his western army was reduced, had prepared a considerable body of cavalry, which he immediately despatched to their succor under the command of Lord Wilmot.	But the king, even before Hertford's arrival, hearing of the great difficulties to which his western army was reduced, had prepared a considerable body of cavalry, which he immediately despatched to their succor under the command of Lord Wilmot.	false	414.29	427.72	23.019157
8225_274374_000012_000005	Waller drew up on Roundway Down, about two miles from the Devizes, and advancing with his cavalry to fight Wilmot, and prevent his conjunction with the Cornish infantry, was received with equal valor by the royalists.	Waller drew up on Roundway Down, about two miles from the Devizes, and advancing with his cavalry to fight Wilmot, and prevent his conjunction with the Cornish infantry, was received with equal valor by the royalists.	false	428.33	441.01	22.14341
8225_274374_000012_000006	After a sharp action, he was totally routed, and flying with a few horse, escaped to Bristol.	After a sharp action, he was totally routed, and flying with a few horse, escaped to Bristol.	true	441.44	447.52	22.81088
8225_274374_000012_000007	Wilmot, seizing the enemy's cannon, and having joined his friends whom he came to relieve, attacked Waller's infantry with redoubled courage, drove them off the field, and routed and dispersed the whole army.[*]	Wilmot, seizing the enemy's cannon, and having joined his friends whom he came to relieve, attacked Waller's infantry with redoubled courage, drove them off the field, and routed and dispersed the whole army.[asterisk]	false	447.89	459.69	22.745169
8225_274374_000013_000000	* Rush. vol. vi.	asterisk Rush. vol vi.	false	459.69	459.93	-20
8225_274374_000013_000001	p. 285.	p. two hundred eighty five.	false	459.93	460.2	-20
8225_274374_000013_000002	Clarendoo.	Clarendoo.	false	460.2	460.26	-20
8225_274374_000013_000003	vol. iii.	vol iii.	false	460.26	460.38	-20
8225_274374_000013_000004	p. 29l.	p. twenty nine l.	false	460.38	460.62	-20
8225_274374_000014_000000	This important victory, following so quick after many other successes, struck great dismay into the parliament, and gave an alarm to their principal army, commanded by Essex.	This important victory, following so quick after many other successes, struck great dismay into the parliament, and gave an alarm to their principal army, commanded by Essex.	true	460.62	470.59	23.230247
8225_274374_000014_000001	Waller exclaimed loudly against that general, for allowing Wilmot to pass him, and proceed without any interruption to the succor of the distressed infantry at the Devizes. But Essex, finding that his army fell continually to decay after the siege of Reading, was resolved to remain upon the defensive; and the weakness of the king, and his want of all military stores, had also restrained the activity of the royal army.	Waller exclaimed loudly against that general, for allowing Wilmot to pass him, and proceed without any interruption to the succor of the distressed infantry at the Devizes. But Essex, finding that his army fell continually to decay after the siege of Reading, was resolved to remain upon the defensive; and the weakness of the king, and his want of all military stores, had also restrained the activity of the royal army.	true	471.08	495.76	20.93718
8225_274374_000014_000002	No action had happened in that part of England, except one skirmish, which of itself was of no great consequence, and was rendered memorable by the death alone of the famous Hambden.	No action had happened in that part of England, except one skirmish, which of itself was of no great consequence, and was rendered memorable by the death alone of the famous Hambden.	false	496.4	506.71	21.25386
8225_274374_000015_000000	Colonel Urrey, a Scotchman, who served in the parliamentary army, having received some disgust, came to Oxford and offered his services to the king.	Colonel Urrey, a Scotchman, who served in the parliamentary army, having received some disgust, came to Oxford and offered his services to the king.	true	508.13	517.03	21.842112
8225_274374_000015_000001	In order to prove the sincerity of his conversion, he informed Prince Rupert of the loose disposition of the enemy's quarters, and exhorted him to form some attempt upon them.	In order to prove the sincerity of his conversion, he informed Prince Rupert of the loose disposition of the enemy's quarters, and exhorted him to form some attempt upon them.	true	517.28	527.385	21.13529
8225_274374_000015_000002	The prince, who was entirely fitted for that kind of service, falling suddenly upon the dispersed bodies of Essex's army, routed two regiments of cavalry and one of infantry, and carried his ravages within two miles of the general's quarters.	The prince, who was entirely fitted for that kind of service, falling suddenly upon the dispersed bodies of Essex's army, routed two regiments of cavalry and one of infantry, and carried his ravages within two miles of the general's quarters.	false	527.385	541.3	22.167257
8225_274374_000015_000003	The alarm being given, every one mounted on horseback, in order to pursue the prince, to recover the prisoners, and to repair the disgrace which the army had sustained.	The alarm being given, every one mounted on horseback, in order to pursue the prince, to recover the prisoners, and to repair the disgrace which the army had sustained.	true	541.88	551.29	20.253326
8225_274374_000015_000004	Among the rest Hambden, who had a regiment of infantry that lay at a distance, joined the horse as a volunteer; and overtaking the royalists on Chalgrave field, entered into the thickest of the battle.	Among the rest Hambden, who had a regiment of infantry that lay at a distance, joined the horse as a volunteer; and overtaking the royalists on Chalgrave field, entered into the thickest of the battle.	true	551.93	563.83	21.874851
8225_274374_000015_000005	By the bravery and activity of Rupert, the king's troops were brought off, and a great booty, together with two hundred prisoners, was conveyed to Oxford.	By the bravery and activity of Rupert, the king's troops were brought off, and a great booty, together with two hundred prisoners, was conveyed to Oxford.	true	564.2	572.41	22.89749
8225_274374_000015_000006	But what most pleased the royalists was the expectation that some disaster had happened to Hambden their capital and much dreaded enemy.	But what most pleased the royalists was the expectation that some disaster had happened to Hambden their capital and much dreaded enemy.	true	572.84	579.67	18
8225_274374_000015_000007	One of the prisoners taken in the action, said, that he was confident Mr. Hambden was hurt: for he saw him, contrary to his usual custom, ride off the field before the action was finished; his head hanging down, and his hands leaning upon his horse's neck.	One of the prisoners taken in the action, said, that he was confident mr Hambden was hurt: for he saw him, contrary to his usual custom, ride off the field before the action was finished; his head hanging down, and his hands leaning upon his horse's neck.	false	580.22	595.53	21.704184
8225_274374_000015_000008	Next day the news arrived, that he was shot in the shoulder with a brace of bullets, and the bone broken. Some days after, he died, in exquisite pain, of his wound; nor could his whole party, had their army met with a total overthrow, have been thrown into greater consternation.	Next day the news arrived, that he was shot in the shoulder with a brace of bullets, and the bone broken. Some days after, he died, in exquisite pain, of his wound; nor could his whole party, had their army met with a total overthrow, have been thrown into greater consternation.	false	595.53	611.5	21.69631
8225_274374_000015_000009	The king himself so highly valued him, that, either from generosity or policy, he intended to have sent him his own surgeon to assist at his cure.[*] [13]	The king himself so highly valued him, that, either from generosity or policy, he intended to have sent him his own surgeon to assist at his cure.[asterisk] [thirteen]	false	611.99	621.57	21.73273
8225_274374_000016_000000	* See note M, at the end of the volume.	asterisk See note M, at the end of the volume.	false	621.57	622.515	-20
8225_274374_000017_000000	Many were the virtues and talents of this eminent personage; and his valor during the war had shone out with a lustre equal to that of the other accomplishments by which he had ever been distinguished. Affability in conversation; temper, art, and eloquence in debate; penetration and discernment in counsel; industry, vigilance, and enterprise in action; all these praises are unanimously ascribed to him by historians of the most opposite parties.	Many were the virtues and talents of this eminent personage; and his valor during the war had shone out with a lustre equal to that of the other accomplishments by which he had ever been distinguished. Affability in conversation; temper, art, and eloquence in debate; penetration and discernment in counsel; industry, vigilance, and enterprise in action; all these praises are unanimously ascribed to him by historians of the most opposite parties.	false	622.515	648.25	20.990217
8225_274374_000017_000001	His virtue, too, and integrity in all the duties of private life, are allowed to have been beyond exception: we must only be cautious, notwithstanding his generous zeal for liberty, not hastily to ascribe to him the praises of a good citizen.	His virtue, too, and integrity in all the duties of private life, are allowed to have been beyond exception: we must only be cautious, notwithstanding his generous zeal for liberty, not hastily to ascribe to him the praises of a good citizen.	false	648.89	663.22	22.493467
8225_274374_000017_000002	Through all the horrors of civil war, he sought the abolition of monarchy, and subversion of the constitution; an end which, had it been attainable by peaceful measures, ought carefully to have been avoided by every lover of his country.	Through all the horrors of civil war, he sought the abolition of monarchy, and subversion of the constitution; an end which, had it been attainable by peaceful measures, ought carefully to have been avoided by every lover of his country.	false	664.04	677.23	19.62576
8225_274374_000017_000003	But whether, in the pursuit of this violent enterprise, he was actuated by private ambition or by honest prejudices, derived from the former exorbitant powers of royalty, it belongs not to an historian of this age, scarcely even to an intimate friend, positively to determine.	But whether, in the pursuit of this violent enterprise, he was actuated by private ambition or by honest prejudices, derived from the former exorbitant powers of royalty, it belongs not to an historian of this age, scarcely even to an intimate friend, positively to determine.	true	678.02	694.09	22.37039
8225_274374_000018_000000	Essex, discouraged by this event, dismayed by the total rout of Waller, was further informed, that the queen, who landed at Burlington Bay, had arrived at Oxford, and had brought from the north a reenforcement of three thousand foot and fifteen hundred horse.	Essex, discouraged by this event, dismayed by the total rout of Waller, was further informed, that the queen, who landed at Burlington Bay, had arrived at Oxford, and had brought from the north a reenforcement of three thousand foot and fifteen hundred horse.	true	695.24	710.26	20.556515
8225_274374_000018_000001	Dislodging from Thame and Aylesbury, where he had hitherto lain, he thought proper to retreat nearer to London; and he showed to his friends his broken and disheartened forces, which a few months before he had led into the field in so flourishing a condition.	Dislodging from Thame and Aylesbury, where he had hitherto lain, he thought proper to retreat nearer to London; and he showed to his friends his broken and disheartened forces, which a few months before he had led into the field in so flourishing a condition.	true	710.96	725.8	21.272942
8225_274374_000018_000002	The king, freed from this enemy, sent his army westward under Prince Rupert; and, by their conjunction with the Cornish troops, a formidable force, for numbers as well as reputation and valor, was composed.	The king, freed from this enemy, sent his army westward under Prince Rupert; and, by their conjunction with the Cornish troops, a formidable force, for numbers as well as reputation and valor, was composed.	true	726.32	738.85	22.2973
8225_274374_000018_000003	That an enterprise correspondent to men's expectations might be undertaken, the prince resolved to lay siege to Bristol, the second town for riches and greatness in the kingdom. Nathaniel Fiennes, son of Lord Say he himself, as well as his father, a great parliamentary leader was governor, and commanded a garrison of two thousand five hundred foot, and two regiments, one of horse, another of dragoons.	That an enterprise correspondent to men's expectations might be undertaken, the prince resolved to lay siege to Bristol, the second town for riches and greatness in the kingdom. Nathaniel Fiennes, son of Lord Say he himself, as well as his father, a great parliamentary leader was governor, and commanded a garrison of two thousand five hundred foot, and two regiments, one of horse, another of dragoons.	true	739.46	763.48	21.086725
8225_274374_000018_000004	The fortifications not being complete or regular, it was resolved by Prince Rupert to storm the city, and next morning, with little other provisions suitable to such a work besides the courage of the troops, the assault began.	The fortifications not being complete or regular, it was resolved by Prince Rupert to storm the city, and next morning, with little other provisions suitable to such a work besides the courage of the troops, the assault began.	false	764.21	777.31	22.025038
8225_274374_000018_000005	The Cornish in three divisions attacked the west side, with a resolution which nothing could control; but though the middle division had already mounted the wall, so great was the disadvantage of the ground, and so brave the defence of the garrison, that in the end the assailants were repulsed with a considerable loss both of officers and soldiers.	The Cornish in three divisions attacked the west side, with a resolution which nothing could control; but though the middle division had already mounted the wall, so great was the disadvantage of the ground, and so brave the defence of the garrison, that in the end the assailants were repulsed with a considerable loss both of officers and soldiers.	false	777.95	796.87	18.122412
8225_274374_000018_000006	On the prince's side, the assault was conducted with equal courage, and almost with equal loss, but with better success.	On the prince's side, the assault was conducted with equal courage, and almost with equal loss, but with better success.	true	797.66	805.45	20.310104
8225_274374_000018_000007	One party, led by Lord Grandison, was indeed beaten off, and the commander himself mortally wounded: another, conducted by Colonel Bellasis, met with a like fate: but Washington, with a less party, finding a place in the curtain weaker than the rest, broke in, and quickly made room for the horse to follow.	One party, led by Lord Grandison, was indeed beaten off, and the commander himself mortally wounded: another, conducted by Colonel Bellasis, met with a like fate: but Washington, with a less party, finding a place in the curtain weaker than the rest, broke in, and quickly made room for the horse to follow.	true	805.88	825.28	23.312374
8225_274374_000018_000008	By this irruption, however, nothing but the suburbs was yet gained: the entrance into the town was still more difficult: and by the loss already sustained, as well as by the prospect of further danger, every one was extremely discouraged; when, to the great joy of the army, the city beat a parley. The garrison was allowed to march out with their arms and baggage, leaving their cannon, ammunition, and colors.	By this irruption, however, nothing but the suburbs was yet gained: the entrance into the town was still more difficult: and by the loss already sustained, as well as by the prospect of further danger, every one was extremely discouraged; when, to the great joy of the army, the city beat a parley. The garrison was allowed to march out with their arms and baggage, leaving their cannon, ammunition, and colors.	false	826.28	850.63	21.233816
8225_274374_000018_000009	For this instance of cowardice, Fiennes was afterwards tried by a court martial, and condemned to lose his head; but the sentence was remitted by the general.[*]	For this instance of cowardice, Fiennes was afterwards tried by a court martial, and condemned to lose his head; but the sentence was remitted by the general.[asterisk]	false	851.09	859.98	20.72756
8225_274374_000019_000000	* Rush. vol. vi p. 284.	asterisk Rush. vol vi p. two hundred eighty four.	false	859.98	860.52	-20
8225_274374_000019_000001	Clarendon, vol. iii. p 293, 294, etc.	Clarendon, vol iii. p two hundred ninety three, two hundred ninety four, etc	false	860.52	861.255	0
8225_274374_000020_000000	Great complaints were made of violences exercised on the garrison, contrary to the capitulation.	Great complaints were made of violences exercised on the garrison, contrary to the capitulation.	false	861.255	866.98	22.905354
8225_274374_000020_000001	An apology was made by the royalists, as if these were a retaliation for some violences committed on their friends at the surrender of Reading.	An apology was made by the royalists, as if these were a retaliation for some violences committed on their friends at the surrender of Reading.	true	867.23	875.05	19
8225_274374_000020_000002	And under pretence of like retaliations, but really from the extreme animosity of the parties, were such irregularities continued during the whole course of the war.[*]	And under pretence of like retaliations, but really from the extreme animosity of the parties, were such irregularities continued during the whole course of the war.[asterisk]	false	875.48	884.7	21.141205
8225_274374_000021_000000	* Clarendon, vol. iii.	asterisk Clarendon, vol iii.	false	884.7	885.18	-20
8225_274374_000021_000001	p. 297	p. two hundred ninety seven	false	885.18	885.825	-20
8225_274374_000022_000000	The loss sustained by the royalists in the assault of Bristol was considerable.	The loss sustained by the royalists in the assault of Bristol was considerable.	true	885.825	890.2	18
8225_274374_000022_000001	Five hundred excellent soldiers perished.	Five hundred excellent soldiers perished.	true	890.63	893.14	21.745598
8225_274374_000022_000002	Among those of condition were Grandison, Slanning, Trevannion, and Moyle; Bellasis, Ashley, and Sir John Owen were wounded; yet was the success upon the whole so considerable, as mightily raised the courage of the one party and depressed that of the other.	Among those of condition were Grandison, Slanning, Trevannion, and Moyle; Bellasis, Ashley, and Sir john Owen were wounded; yet was the success upon the whole so considerable, as mightily raised the courage of the one party and depressed that of the other.	true	893.3	909.46	19.746136
8225_274374_000022_000003	The king, to show that he was not intoxicated with good fortune, nor aspired to a total victory over the parliament, published a manifesto, in which he renewed the protestation formerly taken, with great solemnity, at the head of his army, and expressed his firm intention of making peace upon the reestablishment of the constitution.	The king, to show that he was not intoxicated with good fortune, nor aspired to a total victory over the parliament, published a manifesto, in which he renewed the protestation formerly taken, with great solemnity, at the head of his army, and expressed his firm intention of making peace upon the reestablishment of the constitution.	false	909.98	928.75	21.855537
8225_274374_000022_000004	Having joined the camp at Bristol, and sent Prince Maurice with a detachment into Devonshire, he deliberated how to employ the remaining forces in an enterprise of moment.	Having joined the camp at Bristol, and sent Prince Maurice with a detachment into Devonshire, he deliberated how to employ the remaining forces in an enterprise of moment.	true	929.6	939.37	21.09906
