2929_85685_000005_000000	THE LARGER SYNTHESIS	THE LARGER SYNTHESIS
2929_85685_000010_000001	She will be an Ireland without emigration, a place for famines.	She will be an Ireland without emigration, a place for famines.
2929_85685_000011_000000	So much for the Pan-Slavic synthesis.	So much for the Pan Slavic synthesis.
2929_85685_000012_000010	The intellectual development of the Germans is defined to a very large extent by a court-directed officialdom.	The intellectual development of the Germans is defined to a very large extent by a court directed officialdom.
2929_85685_000012_000014	A great number of fine and capable persons must be failing to develop, failing to tell, under the shadow of this too prepotent monarchy.	A great number of fine and capable persons must be failing to develop, failing to tell, under the shadow of this too prepotent monarchy.
2929_85685_000012_000022	That, after all, is the vital question, and not whether her policy is wise or foolish, or her commercial development inflated or sound.	That, after all, is the vital question, and not whether her policy is wise or foolish, or her commercial development inflated or sound.
2929_85685_000015_000000	Moreover, before Germany can unify to the East she must fight the Russian, and to unify to the West she must fight the French and perhaps the English, and she may have to fight a combination of these powers.	Moreover, before Germany can unify to the East she must fight the Russian, and to unify to the West she must fight the French and perhaps the English, and she may have to fight a combination of these powers.
2929_85685_000015_000002	Upon this matter M. Bloch should be read.	Upon this matter m Bloch should be read.
2929_85685_000015_000011	She will fight for Switzerland or Luxembourg, or the mouth of the Rhine.	She will fight for Switzerland or Luxembourg, or the mouth of the Rhine.
2929_85685_000015_000012	She will fight with the gravity of remembered humiliations, with the whole awakened Slav-race at the back of her antagonist, and very probably with the support of the English-speaking peoples.	She will fight with the gravity of remembered humiliations, with the whole awakened Slav race at the back of her antagonist, and very probably with the support of the English speaking peoples.
2929_85685_000017_000004	Europe will have her Irelands as well as her Scotlands, her Irelands of unforgettable wrongs, kicking, squalling, bawling most desolatingly, for nothing that any one can understand. There will be great scope for the shareholding dilettanti, great opportunities for literary quacks, in "national" movements, language leagues, picturesque plotting, and the invention of such "national" costumes as the world has never seen.	Europe will have her Irelands as well as her Scotlands, her Irelands of unforgettable wrongs, kicking, squalling, bawling most desolatingly, for nothing that any one can understand. There will be great scope for the shareholding dilettanti, great opportunities for literary quacks, in "national" movements, language leagues, picturesque plotting, and the invention of such "national" costumes as the world has never seen.
