803_139752_000000_000000	HOW NUTH WOULD HAVE PRACTISED HIS ART UPON THE GNOLES	HOW NUTH WOULD HAVE PRACTISED HIS ART UPON THE g n o l e s	false	9.3	21.45	19.66433
803_139752_000004_000000	At the time that my story begins Nuth lived in a roomy house in Belgrave Square: in his inimitable way he had made friends with the caretaker.	At the time that my story begins Nuth lived in a roomy house in Belgrave Square: in his inimitable way he had made friends with the caretaker.	true	155.06	165.42	18.683073
803_139752_000004_000001	The place suited Nuth, and, whenever anyone came to inspect it before purchase, the caretaker used to praise the house in the words that Nuth had suggested.	The place suited Nuth, and, whenever anyone came to inspect it before purchase, the caretaker used to praise the house in the words that Nuth had suggested.	false	165.42	175.84	20.399393
803_139752_000004_000002	"If it wasn't for the drains," she would say, "it's the finest house in London," and when they pounced on this remark and asked questions about the drains, she would answer them that the drains also were good, but not so good as the house. They did not see Nuth when they went over the rooms, but Nuth was there.	"If it wasn't for the drains," she would say, "it's the finest house in London," and when they pounced on this remark and asked questions about the drains, she would answer them that the drains also were good, but not so good as the house. They did not see Nuth when they went over the rooms, but Nuth was there.	false	176.36	195.7	19.133186
803_139752_000005_000000	Here in a neat black dress on one spring morning came an old woman whose bonnet was lined with red, asking for Mr. Nuth; and with her came her large and awkward son.	Here in a neat black dress on one spring morning came an old woman whose bonnet was lined with red, asking for mr Nuth; and with her came her large and awkward son.	false	196.34	208.12	19.688457
803_139752_000005_000001	Mrs. Eggins, the caretaker, glanced up the street, and then she let them in, and left them to wait in the drawing-room amongst furniture all mysterious with sheets.	mrs Eggins, the caretaker, glanced up the street, and then she let them in, and left them to wait in the drawing room amongst furniture all mysterious with sheets.	true	208.37	218.59	20.631264
803_139752_000005_000002	For a long while they waited, and then there was a smell of pipe-tobacco, and there was Nuth standing quite close to them.	For a long while they waited, and then there was a smell of pipe tobacco, and there was Nuth standing quite close to them.	false	219.02	226.63	19.314293
803_139752_000006_000000	"Lord," said the old woman whose bonnet was lined with red, "you did make me start." And then she saw by his eyes that that was not the way to speak to Mr. Nuth.	"Lord," said the old woman whose bonnet was lined with red, "you did make me start." And then she saw by his eyes that that was not the way to speak to mr Nuth.	false	226.82	238.54	18.216305
803_139752_000007_000000	And at last Nuth spoke, and very nervously the old woman explained that her son was a likely lad, and had been in business already but wanted to better himself, and she wanted Mr. Nuth to teach him a livelihood.	And at last Nuth spoke, and very nervously the old woman explained that her son was a likely lad, and had been in business already but wanted to better himself, and she wanted mr Nuth to teach him a livelihood.	false	239.15	252.76	18.544327
803_139752_000008_000000	First of all Nuth wanted to see a business reference, and when he was shown one from a jeweller with whom he happened to be hand-in-glove the upshot of it was that he agreed to take young Tonker (for this was the surname of the likely lad) and to make him his apprentice.	First of all Nuth wanted to see a business reference, and when he was shown one from a jeweller with whom he happened to be hand in glove the upshot of it was that he agreed to take young Tonker (for this was the surname of the likely lad) and to make him his apprentice.	true	253.31	270.46	19.190084
803_139752_000008_000001	And the old woman whose bonnet was lined with red went back to her little cottage in the country, and every evening said to her old man, "Tonker, we must fasten the shutters of a night-time, for Tommy's a burglar now."	And the old woman whose bonnet was lined with red went back to her little cottage in the country, and every evening said to her old man, "Tonker, we must fasten the shutters of a night-time, for Tommy's a burglar now."	true	270.77	284.65	18.702394
803_139752_000009_000000	The details of the likely lad's apprenticeship I do not propose to give; for those that are in the business know those details already, and those that are in other businesses care only for their own, while men of leisure who have no trade at all would fail to appreciate the gradual degrees by which Tommy Tonker came first to cross bare boards, covered with little obstacles in the dark, without making any sound, and then to go silently up creaky stairs, and then to open doors, and lastly to climb.	The details of the likely lad's apprenticeship I do not propose to give; for those that are in the business know those details already, and those that are in other businesses care only for their own, while men of leisure who have no trade at all would fail to appreciate the gradual degrees by which Tommy Tonker came first to cross bare boards, covered with little obstacles in the dark, without making any sound, and then to go silently up creaky stairs, and then to open doors, and lastly to climb.	true	285.44	317.14	19.44431
803_139752_000010_000000	Let it suffice that the business prospered greatly, while glowing reports of Tommy Tonker's progress were sent from time to time to the old woman whose bonnet was lined with red in the labourious handwriting of Nuth.	Let it suffice that the business prospered greatly, while glowing reports of Tommy Tonker's progress were sent from time to time to the old woman whose bonnet was lined with red in the labourious handwriting of Nuth.	false	317.48	331.44	20.622572
803_139752_000010_000001	Nuth had given up lessons in writing very early, for he seemed to have some prejudice against forgery, and therefore considered writing a waste of time.	Nuth had given up lessons in writing very early, for he seemed to have some prejudice against forgery, and therefore considered writing a waste of time.	true	331.44	340.57	17.5752
803_139752_000010_000002	And then there came the transaction with Lord Castlenorman at his Surrey residence.	And then there came the transaction with Lord Castlenorman at his Surrey residence.	true	341.18	346.14	14
803_139752_000010_000003	Nuth selected a Saturday night, for it chanced that Saturday was observed as Sabbath in the family of Lord Castlenorman, and by eleven o'clock the whole house was quiet.	Nuth selected a Saturday night, for it chanced that Saturday was observed as Sabbath in the family of Lord Castlenorman, and by eleven o'clock the whole house was quiet.	false	346.14	358.15	18.553484
803_139752_000010_000004	Five minutes before midnight Tommy Tonker, instructed by Mr. Nuth, who waited outside, came away with one pocketful of rings and shirt-studs.	Five minutes before midnight Tommy Tonker, instructed by mr Nuth, who waited outside, came away with one pocketful of rings and shirt studs.	true	358.82	368.38	20.458216
803_139752_000010_000005	It was quite a light pocketful, but the jewellers in Paris could not match it without sending specially to Africa, so that Lord Castlenorman had to borrow bone shirt-studs.	It was quite a light pocketful, but the jewellers in Paris could not match it without sending specially to Africa, so that Lord Castlenorman had to borrow bone shirt studs.	true	368.75	379.3	18.944553
803_139752_000011_000000	Not even rumour whispered the name of Nuth.	Not even rumour whispered the name of Nuth.	false	380.48	383.97	19.766127
803_139752_000011_000001	Were I to say that this turned his head, there are those to whom the assertion would give pain, for his associates hold that his astute judgment was unaffected by circumstance.	Were I to say that this turned his head, there are those to whom the assertion would give pain, for his associates hold that his astute judgment was unaffected by circumstance.	true	383.97	394.57	19
803_139752_000011_000002	I will say, therefore, that it spurred his genius to plan what no burglar had ever planned before.	I will say, therefore, that it spurred his genius to plan what no burglar had ever planned before.	true	394.79	401.26	16
803_139752_000011_000003	It was nothing less than to burgle the house of the gnoles.	It was nothing less than to burgle the house of the gnoles.	true	401.51	405.04	16
803_139752_000011_000004	And this that abstemious man unfolded to Tonker over a cup of tea.	And this that abstemious man unfolded to Tonker over a cup of tea.	true	405.56	410.08	18
803_139752_000011_000005	Had Tonker not been nearly insane with pride over their recent transaction, and had he not been blinded by a veneration for Nuth, he would have--but I cry over spilt milk.	Had Tonker not been nearly insane with pride over their recent transaction, and had he not been blinded by a veneration for Nuth, he would have-but I cry over spilt milk.	true	410.6	422.71	18.043541
803_139752_000011_000006	He expostulated respectfully; he said he would rather not go; he said it was not fair; he allowed himself to argue; and in the end, one windy October morning with a menace in the air found him and Nuth drawing near to the dreadful wood.	He expostulated respectfully; he said he would rather not go; he said it was not fair; he allowed himself to argue; and in the end, one windy October morning with a menace in the air found him and Nuth drawing near to the dreadful wood.	false	423.11	440.73	18.20478
803_139752_000012_000000	Nuth, by weighing little emeralds against pieces of common rock, had ascertained the probable weight of those house-ornaments that the gnoles are believed to possess in the narrow, lofty house wherein they have dwelt from of old.	Nuth, by weighing little emeralds against pieces of common rock, had ascertained the probable weight of those house ornaments that the gnoles are believed to possess in the narrow, lofty house wherein they have dwelt from of old.	true	440.73	454.36	18
803_139752_000012_000001	They decided to steal two emeralds and to carry them between them on a cloak; but if they should be too heavy one must be dropped at once.	They decided to steal two emeralds and to carry them between them on a cloak; but if they should be too heavy one must be dropped at once.	false	454.61	464.19	19.415081
803_139752_000012_000002	Nuth warned young Tonker against greed, and explained that the emeralds were worth less than cheese until they were safe away from the dreadful wood.	Nuth warned young Tonker against greed, and explained that the emeralds were worth less than cheese until they were safe away from the dreadful wood.	true	464.19	472.75	16
803_139752_000013_000000	Everything had been planned, and they walked now in silence.	Everything had been planned, and they walked now in silence.	true	473.33	477.49	17.771912
803_139752_000014_000000	No track led up to the sinister gloom of the trees, either of men or cattle; not even a poacher had been there snaring elves for over a hundred years.	No track led up to the sinister gloom of the trees, either of men or cattle; not even a poacher had been there snaring elves for over a hundred years.	true	477.95	488.02	16
803_139752_000014_000001	You did not trespass twice in the dells of the gnoles. And, apart from the things that were done there, the trees themselves were a warning, and did not wear the wholesome look of those that we plant ourselves.	You did not trespass twice in the dells of the gnoles. And, apart from the things that were done there, the trees themselves were a warning, and did not wear the wholesome look of those that we plant ourselves.	true	488.57	501.7	18.716911
803_139752_000015_000000	The nearest village was some miles away with the backs of all its houses turned to the wood, and without one window at all facing in that direction.	The nearest village was some miles away with the backs of all its houses turned to the wood, and without one window at all facing in that direction.	true	501.83	511.36	18
803_139752_000015_000001	They did not speak of it there, and elsewhere it is unheard of.	They did not speak of it there, and elsewhere it is unheard of.	true	511.49	515.86	20.462551
803_139752_000016_000000	Into this wood stepped Nuth and Tommy Tonker.	Into this wood stepped Nuth and Tommy Tonker.	true	516.23	520.09	19.776154
803_139752_000016_000001	They had no firearms. Tonker had asked for a pistol, but Nuth replied that the sound of a shot "would bring everything down on us," and no more was said about it.	They had no firearms. Tonker had asked for a pistol, but Nuth replied that the sound of a shot "would bring everything down on us," and no more was said about it.	true	520.31	531.37	18.770357
803_139752_000017_000000	Into the wood they went all day, deeper and deeper.	Into the wood they went all day, deeper and deeper.	true	531.68	535.36	18
803_139752_000017_000001	They saw the skeleton of some early Georgian poacher nailed to a door in an oak tree; sometimes they saw a fairy scuttle away from them; once Tonker stepped heavily on a hard, dry stick, after which they both lay still for twenty minutes.	They saw the skeleton of some early Georgian poacher nailed to a door in an oak tree; sometimes they saw a fairy scuttle away from them; once Tonker stepped heavily on a hard, dry stick, after which they both lay still for twenty minutes.	true	535.52	550.66	18
803_139752_000017_000002	And the sunset flared full of omens through the tree trunks, and night fell, and they came by fitful starlight, as Nuth had foreseen, to that lean, high house where the gnoles so secretly dwelt.	And the sunset flared full of omens through the tree trunks, and night fell, and they came by fitful starlight, as Nuth had foreseen, to that lean, high house where the gnoles so secretly dwelt.	false	551.18	565.06	18.510988
803_139752_000018_000000	All was so silent by that unvalued house that the faded courage of Tonker flickered up, but to Nuth's experienced sense it seemed too silent; and all the while there was that look in the sky that was worse than a spoken doom, so that Nuth, as is often the case when men are in doubt, had leisure to fear the worst.	All was so silent by that unvalued house that the faded courage of Tonker flickered up, but to Nuth's experienced sense it seemed too silent; and all the while there was that look in the sky that was worse than a spoken doom, so that Nuth, as is often the case when men are in doubt, had leisure to fear the worst.	false	565.28	587.83	19.177706
803_139752_000018_000001	Nevertheless he did not abandon the business, but sent the likely lad with the instruments of his trade by means of the ladder to the old green casement.	Nevertheless he did not abandon the business, but sent the likely lad with the instruments of his trade by means of the ladder to the old green casement.	true	588.2	598.87	19.266144
803_139752_000018_000002	And the moment that Tonker touched the withered boards, the silence that, though ominous, was earthly, became unearthly like the touch of a ghoul.	And the moment that Tonker touched the withered boards, the silence that, though ominous, was earthly, became unearthly like the touch of a ghoul.	true	599.24	608.44	19.610943
803_139752_000018_000003	And Tonker heard his breath offending against that silence, and his heart was like mad drums in a night attack, and a string of one of his sandals went tap on a rung of a ladder, and the leaves of the forest were mute, and the breeze of the night was still; and Tonker prayed that a mouse or a mole might make any noise at all, but not a creature stirred, even Nuth was still.	And Tonker heard his breath offending against that silence, and his heart was like mad drums in a night attack, and a string of one of his sandals went tap on a rung of a ladder, and the leaves of the forest were mute, and the breeze of the night was still; and Tonker prayed that a mouse or a mole might make any noise at all, but not a creature stirred, even Nuth was still.	true	608.69	634.27	18.68121
803_139752_000018_000004	And then and there, while yet he was undiscovered, the likely lad made up his mind, as he should have done long before, to leave those colossal emeralds where they were and have nothing further to do with the lean, high house of the gnoles, but to quit this sinister wood in the nick of time and retire from business at once and buy a place in the country.	And then and there, while yet he was undiscovered, the likely lad made up his mind, as he should have done long before, to leave those colossal emeralds where they were and have nothing further to do with the lean, high house of the gnoles, but to quit this sinister wood in the nick of time and retire from business at once and buy a place in the country.	false	634.61	657.34	18
803_139752_000018_000005	Then he descended softly and beckoned to Nuth.	Then he descended softly and beckoned to Nuth.	true	657.83	660.79	18.753895
803_139752_000018_000006	But the gnoles had watched him through knavish holes that they bore in trunks of the trees, and the unearthly silence gave way, as it were with a grace, to the rapid screams of Tonker as they picked him up from behind--screams that came faster and faster until they were incoherent.	But the gnoles had watched him through knavish holes that they bore in trunks of the trees, and the unearthly silence gave way, as it were with a grace, to the rapid screams of Tonker as they picked him up from behind-screams that came faster and faster until they were incoherent.	true	660.98	679.45	18.950521
803_139752_000018_000007	And where they took him it is not good to ask, and what they did with him I shall not say.	And where they took him it is not good to ask, and what they did with him I shall not say.	false	679.79	686.46	19.54667
803_139752_000019_000000	Nuth looked on for a while from the corner of the house with a mild surprise on his face as he rubbed his chin, for the trick of the holes in the trees was new to him; then he stole nimbly away through the dreadful wood.	Nuth looked on for a while from the corner of the house with a mild surprise on his face as he rubbed his chin, for the trick of the holes in the trees was new to him; then he stole nimbly away through the dreadful wood.	true	686.46	699.94	17
803_139752_000020_000000	"And did they catch Nuth?" you ask me, gentle reader.	"And did they catch Nuth?" you ask me, gentle reader.	false	700.64	704.62	18
803_139752_000021_000000	"Oh, no, my child" (for such a question is childish).	"Oh, no, my child" (for such a question is childish).	true	705.05	709	20.371069
803_139752_000021_000001	"Nobody ever catches Nuth."	"Nobody ever catches Nuth."	false	709.16	711.03	17
803_139752_000022_000000	HOW ONE CAME, AS WAS FORETOLD, TO THE CITY OF NEVER	HOW ONE CAME, AS WAS FORETOLD, TO THE CITY OF NEVER	false	711.03	714.69	9.537475
803_139752_000023_000000	The child that played about the terraces and gardens in sight of the Surrey hills never knew that it was he that should come to the Ultimate City, never knew that he should see the Under Pits, the barbicans and the holy minarets of the mightiest city known.	The child that played about the terraces and gardens in sight of the Surrey hills never knew that it was he that should come to the Ultimate City, never knew that he should see the Under Pits, the barbicans and the holy minarets of the mightiest city known.	false	714.69	716.13	23.34042
803_139752_000023_000001	I think of him now as a child with a little red watering-can going about the gardens on a summer's day that lit the warm south country, his imagination delighted with all tales of quite little adventures, and all the while there was reserved for him that feat at which men wonder.	I think of him now as a child with a little red watering can going about the gardens on a summer's day that lit the warm south country, his imagination delighted with all tales of quite little adventures, and all the while there was reserved for him that feat at which men wonder.	false	716.13	718.92	23.331402
