8474_281187_000000_000000	THE ARABIAN NIGHTS	THE ARABIAN NIGHTS	false	0	0.27	-20
8474_281187_000006_000001	Every man unbridled his horse, tied him to some shrub, and hung about his neck a bag of corn which they brought behind them.	Every man unbridled his horse, tied him to some shrub, and hung about his neck a bag of corn which they brought behind them.	true	97.79	105.1	24.84964
8474_281187_000006_000002	Then each of them took off his saddle-bag, which seemed to Ali Baba to be full of gold and silver from its weight. One, whom he took to be their captain, came under the tree in which Ali Baba was concealed; and, making his way through some shrubs, pronounced these words--"Open, Sesame!" As soon as the captain of the robbers had thus spoken, a door opened in the rock; and after he had made all his troop enter before him, he followed them, when the door shut again of itself.	Then each of them took off his saddle bag, which seemed to Ali Baba to be full of gold and silver from its weight. One, whom he took to be their captain, came under the tree in which Ali Baba was concealed; and, making his way through some shrubs, pronounced these words-"Open, Sesame!" As soon as the captain of the robbers had thus spoken, a door opened in the rock; and after he had made all his troop enter before him, he followed them, when the door shut again of itself.	true	105.62	135.01	23.274801
8474_281187_000007_000000	The robbers stayed some time within the rock, during which Ali Baba, fearful of being caught, remained in the tree.	The robbers stayed some time within the rock, during which Ali Baba, fearful of being caught, remained in the tree.	true	135.92	142.87	25.872921
8474_281187_000008_000000	At last the door opened again, and as the captain went in last, so he came out first, and stood to see them all pass by him; when Ali Baba heard him make the door close by pronouncing these words, "Shut, Sesame!" Every man at once went and bridled his horse, fastened his wallet, and mounted again.	At last the door opened again, and as the captain went in last, so he came out first, and stood to see them all pass by him; when Ali Baba heard him make the door close by pronouncing these words, "Shut, Sesame!" Every man at once went and bridled his horse, fastened his wallet, and mounted again.	true	143.57	164.23	23.846634
8474_281187_000008_000001	When the captain saw them all ready, he put himself at their head, and they returned the way they had come.	When the captain saw them all ready, he put himself at their head, and they returned the way they had come.	true	164.84	170.77	24.51052
8474_281187_000009_000000	Ali Baba followed them with his eyes as far as he could see them, and afterward stayed a considerable time before he descended. Remembering the words the captain of the robbers used to cause the door to open and shut, he had the curiosity to try if his pronouncing them would have the same effect.	Ali Baba followed them with his eyes as far as he could see them, and afterward stayed a considerable time before he descended. Remembering the words the captain of the robbers used to cause the door to open and shut, he had the curiosity to try if his pronouncing them would have the same effect.	true	171.68	188.65	23.445894
8474_281187_000009_000001	Accordingly, he went among the shrubs, and perceiving the door concealed behind them, stood before it and said, "Open, Sesame!"	Accordingly, he went among the shrubs, and perceiving the door concealed behind them, stood before it and said, "Open, Sesame!"	true	188.9	197.02	23.639801
8474_281187_000009_000002	The door instantly flew wide open.	The door instantly flew wide open.	true	197.3	199.57	25.843609
8474_281187_000010_000000	Ali Baba, who expected a dark, dismal cavern, was surprised to see a well-lighted and spacious chamber, which received the light from an opening at the top of the rock, and in which were all sorts of provisions, rich bales of silk, stuff, brocade, and valuable carpeting, piled upon one another, gold and silver ingots in great heaps, and money in bags.	Ali Baba, who expected a dark, dismal cavern, was surprised to see a well lighted and spacious chamber, which received the light from an opening at the top of the rock, and in which were all sorts of provisions, rich bales of silk, stuff, brocade, and valuable carpeting, piled upon one another, gold and silver ingots in great heaps, and money in bags.	true	200.39	223.93	24.39965
8474_281187_000010_000001	The sight of all these riches made him suppose that this cave must have been occupied for ages by robbers, who had succeeded one another.	The sight of all these riches made him suppose that this cave must have been occupied for ages by robbers, who had succeeded one another.	true	224.27	231.73	22.63637
8474_281187_000011_000000	Ali Baba went boldly into the cave, and collected as much of the gold coin, which was in bags, as he thought his three asses could carry.	Ali Baba went boldly into the cave, and collected as much of the gold coin, which was in bags, as he thought his three asses could carry.	true	232.79	240.88	24.205318
8474_281187_000011_000001	When he had loaded them with the bags, he laid wood over them in such a manner that they could not be seen.	When he had loaded them with the bags, he laid wood over them in such a manner that they could not be seen.	true	241.46	247.12	25.212297
8474_281187_000011_000002	When he had passed in and out as often as he wished, he stood before the door, and pronouncing the words, "Shut, Sesame!" the door closed of itself.	When he had passed in and out as often as he wished, he stood before the door, and pronouncing the words, "Shut, Sesame!" the door closed of itself.	false	247.64	257.41	23.663744
8474_281187_000011_000003	He then made the best of his way to town.	He then made the best of his way to town.	true	257.69	260.17	23.04682
8474_281187_000012_000000	When Ali Baba got home, he drove his asses into a little yard, shut the gates very carefully, threw off the wood that covered the panniers, carried the bags into the house, and ranged them in order before his wife.	When Ali Baba got home, he drove his asses into a little yard, shut the gates very carefully, threw off the wood that covered the panniers, carried the bags into the house, and ranged them in order before his wife.	true	261.11	273.73	23.53631
8474_281187_000012_000001	He then emptied the bags, which raised such a great heap of gold as dazzled his wife's eyes, and then he told her the whole adventure from beginning to end, and, above all, recommended her to keep it secret.	He then emptied the bags, which raised such a great heap of gold as dazzled his wife's eyes, and then he told her the whole adventure from beginning to end, and, above all, recommended her to keep it secret.	true	274.1	286.48	23.532925
8474_281187_000013_000000	The wife rejoiced greatly at their good-fortune, and would count all the gold piece by piece.	The wife rejoiced greatly at their good fortune, and would count all the gold piece by piece.	true	286.79	291.67	25.440983
8474_281187_000013_000001	"Wife," replied Ali Baba, "you do not know what you undertake, when you pretend to count the money; you will never have done.	"Wife," replied Ali Baba, "you do not know what you undertake, when you pretend to count the money; you will never have done.	true	291.86	298.72	24.667006
8474_281187_000013_000002	I will dig a hole and bury it.	I will dig a hole and bury it.	true	298.91	300.675	22.367281
8474_281187_000013_000003	There is no time to be lost." "You are in the right, husband," replied she; "but let us know, as nigh as possible, how much we have.	There is no time to be lost." "You are in the right, husband," replied she; "but let us know, as nigh as possible, how much we have.	true	300.675	308.92	24.525541
8474_281187_000013_000004	I will borrow a small measure, and measure it while you dig the hole."	I will borrow a small measure, and measure it while you dig the hole."	true	309.05	312.61	23.446566
8474_281187_000014_000000	Away the wife ran to her brother-in-law Cassim, who lived just by, and, addressing herself to his wife, desired her to lend her a measure for a little while.	Away the wife ran to her brother in law Cassim, who lived just by, and, addressing herself to his wife, desired her to lend her a measure for a little while.	false	313.55	322.96	23.662851
8474_281187_000014_000001	Her sister-in-law asked her whether she would have a great or a small one.	Her sister in law asked her whether she would have a great or a small one.	false	323.24	326.8	20.640154
8474_281187_000014_000002	The other asked for a small one.	The other asked for a small one.	true	327.08	328.99	22.67095
8474_281187_000014_000003	She bade her stay a little, and she would readily fetch one.	She bade her stay a little, and she would readily fetch one.	true	329.27	332.32	20.371628
8474_281187_000015_000000	The sister-in-law did so, but as she knew Ali Baba's poverty, she was curious to know what sort of grain his wife wanted to measure, and, artfully putting some suet at the bottom of the measure, brought it to her, with the excuse that she was sorry that she had made her stay so long, but that she could not find it sooner.	The sister in law did so, but as she knew Ali Baba's poverty, she was curious to know what sort of grain his wife wanted to measure, and, artfully putting some suet at the bottom of the measure, brought it to her, with the excuse that she was sorry that she had made her stay so long, but that she could not find it sooner.	true	333.02	349.33	23.01361
8474_281187_000016_000000	Ali Baba's wife went home, set the measure upon the heap of gold, filled it, and emptied it often upon the sofa, till she had done, when she was very well satisfied to find the number of measures amounted to so many as they did, and went to tell her husband, who had almost finished digging the hole.	Ali Baba's wife went home, set the measure upon the heap of gold, filled it, and emptied it often upon the sofa, till she had done, when she was very well satisfied to find the number of measures amounted to so many as they did, and went to tell her husband, who had almost finished digging the hole.	true	350.36	367.21	22.9995
8474_281187_000016_000001	While Ali Baba was burying the gold, his wife, to show her exactness and diligence to her sister-in-law, carried the measure back again, but without taking notice that a piece of gold had stuck to the bottom.	While Ali Baba was burying the gold, his wife, to show her exactness and diligence to her sister in law, carried the measure back again, but without taking notice that a piece of gold had stuck to the bottom.	true	367.94	379.18	24.31316
8474_281187_000016_000002	"Sister," said she, giving it to her again, "you see that I have not kept your measure long.	"Sister," said she, giving it to her again, "you see that I have not kept your measure long.	true	379.64	385.21	24.860586
8474_281187_000016_000003	I am obliged to you for it, and return it with thanks."	I am obliged to you for it, and return it with thanks."	true	385.25	388.3	24.161974
8474_281187_000017_000000	As soon as Ali Baba's wife was gone, Cassim's wife looked at the bottom of the measure, and was in inexpressible surprise to find a piece of gold sticking to it.	As soon as Ali Baba's wife was gone, Cassim's wife looked at the bottom of the measure, and was in inexpressible surprise to find a piece of gold sticking to it.	false	389.12	398.595	24.674421
8474_281187_000017_000001	Envy immediately possessed her breast.	Envy immediately possessed her breast.	true	398.595	400.69	19.890747
8474_281187_000017_000002	"What!" said she, "has Ali Baba gold so plentiful as to measure it?	"What!" said she, "has Ali Baba gold so plentiful as to measure it?	true	400.7	405.49	26.49841
8474_281187_000017_000003	Whence has he all this wealth?"	Whence has he all this wealth?"	true	405.59	407.4	26.006685
8474_281187_000018_000000	Cassim, her husband, was at his counting-house.	Cassim, her husband, was at his counting house.	false	407.4	411.22	20.358585
8474_281187_000018_000001	When he came home his wife said to him, "Cassim, I know you think yourself rich, but Ali Baba is infinitely richer than you.	When he came home his wife said to him, "Cassim, I know you think yourself rich, but Ali Baba is infinitely richer than you.	false	411.5	418.6	21.234865
8474_281187_000018_000002	He does not count his money, but measures it." Cassim desired her to explain the riddle, which she did by telling him the stratagem she had used to make the discovery, and showed him the piece of money, which was so old that they could not tell in what prince's reign it was coined.	He does not count his money, but measures it." Cassim desired her to explain the riddle, which she did by telling him the stratagem she had used to make the discovery, and showed him the piece of money, which was so old that they could not tell in what prince's reign it was coined.	true	418.73	434.22	23.949797
8474_281187_000019_000000	Cassim, after he had married the rich widow, had never treated Ali Baba as a brother, but neglected him; and now, instead of being pleased, he conceived a base envy at his brother's prosperity.	Cassim, after he had married the rich widow, had never treated Ali Baba as a brother, but neglected him; and now, instead of being pleased, he conceived a base envy at his brother's prosperity.	false	434.22	446.53	23.088745
8474_281187_000019_000001	He could not sleep all that night, and went to him in the morning before sunrise.	He could not sleep all that night, and went to him in the morning before sunrise.	true	446.84	451.24	23.762236
8474_281187_000019_000002	"Ali Baba," said he, "I am surprised at you!	"Ali Baba," said he, "I am surprised at you!	true	451.34	454.63	24.279097
8474_281187_000019_000003	you pretend to be miserably poor, and yet you measure gold.	you pretend to be miserably poor, and yet you measure gold.	true	454.7	458.2	24.99987
8474_281187_000019_000004	My wife found this at the bottom of the measure you borrowed yesterday."	My wife found this at the bottom of the measure you borrowed yesterday."	true	458.27	461.68	22.507824
8474_281187_000020_000000	By this discourse, Ali Baba perceived that Cassim and his wife, through his own wife's folly, knew what they had so much reason to conceal; but what was done could not be undone.	By this discourse, Ali Baba perceived that Cassim and his wife, through his own wife's folly, knew what they had so much reason to conceal; but what was done could not be undone.	false	462.5	473.14	23.76595
8474_281187_000020_000001	Therefore, without showing the least surprise or trouble, he confessed all, and offered his brother part of his treasure to keep the secret.	Therefore, without showing the least surprise or trouble, he confessed all, and offered his brother part of his treasure to keep the secret.	true	473.54	481.06	24.5902
8474_281187_000021_000000	"I expect as much," replied Cassim haughtily; "but I must know exactly where this treasure is, and how I may visit it myself when I choose; otherwise, I will go and inform against you, and then you will not only get no more, but will lose all you have, and I shall have a share for my information."	"I expect as much," replied Cassim haughtily; "but I must know exactly where this treasure is, and how I may visit it myself when I choose; otherwise, I will go and inform against you, and then you will not only get no more, but will lose all you have, and I shall have a share for my information."	true	481.64	499.45	23.65977
8474_281187_000022_000000	Ali Baba told him all he desired, even to the very words he was to use to gain admission into the cave.	Ali Baba told him all he desired, even to the very words he was to use to gain admission into the cave.	true	500.39	506.74	22.346779
8474_281187_000023_000000	Cassim rose the next morning long before the sun, and set out for the forest with ten mules bearing great chests, which he designed to fill, and followed the road which Ali Baba had pointed out to him.	Cassim rose the next morning long before the sun, and set out for the forest with ten mules bearing great chests, which he designed to fill, and followed the road which Ali Baba had pointed out to him.	true	508.01	519.61	22.24482
8474_281187_000023_000001	It was not long before he reached the rock, and found out the place, by the tree and other marks which his brother had given him.	It was not long before he reached the rock, and found out the place, by the tree and other marks which his brother had given him.	true	520.04	526.51	23.946419
8474_281187_000023_000002	When he reached the entrance of the cavern, he pronounced the words, "Open, Sesame!" The door immediately opened, and when he was in, closed upon him.	When he reached the entrance of the cavern, he pronounced the words, "Open, Sesame!" The door immediately opened, and when he was in, closed upon him.	false	526.97	536.53	21.45147
8474_281187_000023_000003	On examining the cave, he was in great admiration to find much more riches than he had expected from Ali Baba's relation.	On examining the cave, he was in great admiration to find much more riches than he had expected from Ali Baba's relation.	true	537.11	543.58	20
8474_281187_000023_000004	He quickly laid as many bags of gold as he could carry at the door of the cavern; but his thoughts were so full of the great riches he should possess, that he could not think of the necessary word to make it open, and instead of "Sesame" said, "Open, Barley!" and was much amazed to find that the door remained fast shut.	He quickly laid as many bags of gold as he could carry at the door of the cavern; but his thoughts were so full of the great riches he should possess, that he could not think of the necessary word to make it open, and instead of "Sesame" said, "Open, Barley!" and was much amazed to find that the door remained fast shut.	false	544.19	562.48	22.856556
8474_281187_000023_000005	He named several sorts of grain, but still the door would not open.	He named several sorts of grain, but still the door would not open.	true	563.06	567.1	21.322142
8474_281187_000024_000000	Cassim had never expected such an incident, and was so alarmed at the danger he was in, that the more he endeavored to remember the word "Sesame," the more his memory was confounded, and he had as much forgotten it as if he had never heard it mentioned, He threw down the bags he had loaded himself with, and walked distractedly up and down the cave, without having the least regard to the riches that were round him.	Cassim had never expected such an incident, and was so alarmed at the danger he was in, that the more he endeavored to remember the word "Sesame," the more his memory was confounded, and he had as much forgotten it as if he had never heard it mentioned, He threw down the bags he had loaded himself with, and walked distractedly up and down the cave, without having the least regard to the riches that were round him.	true	568.04	591.13	21.490154
8474_281187_000025_000000	About noon the robbers visited their cave.	About noon the robbers visited their cave.	true	592.37	595.54	27.520618
8474_281187_000025_000001	At some distance they saw Cassim's mules straggling about the rock, with great chests on their backs.	At some distance they saw Cassim's mules straggling about the rock, with great chests on their backs.	true	595.79	601.36	21.809647
8474_281187_000025_000002	Alarmed at this, they galloped full speed to the cave.	Alarmed at this, they galloped full speed to the cave.	true	601.73	604.81	24.457537
8474_281187_000025_000003	They drove away the mules, who strayed through the forest so far that they were soon out of sight, and went directly, with their naked sabres in their hands, to the door, which, on their captain pronouncing the proper words, immediately opened.	They drove away the mules, who strayed through the forest so far that they were soon out of sight, and went directly, with their naked sabres in their hands, to the door, which, on their captain pronouncing the proper words, immediately opened.	true	605.06	618.48	23.27396
8474_281187_000026_000000	Cassim, who heard the noise of the horses' feet, at once guessed the arrival of the robbers, and resolved to make one effort for his life.	Cassim, who heard the noise of the horses' feet, at once guessed the arrival of the robbers, and resolved to make one effort for his life.	false	618.48	626.92	22.905643
8474_281187_000026_000001	He rushed to the door, and no sooner saw the door open, than he ran out and threw the leader down, but could not escape the other robbers, who with their cimeters soon deprived him of life.	He rushed to the door, and no sooner saw the door open, than he ran out and threw the leader down, but could not escape the other robbers, who with their cimeters soon deprived him of life.	true	627.65	637.66	22.693548
8474_281187_000027_000000	The first care of the robbers after this was to examine the cave. They found all the bags which Cassim had brought to the door, to be ready to load his mules, and carried them again to their places, but they did not miss what Ali Baba had taken away before. Then holding a council, and deliberating upon this occurrence, they guessed that Cassim, when he was in, could not get out again, but could not imagine how he had learned the secret words by which alone he could enter.	The first care of the robbers after this was to examine the cave. They found all the bags which Cassim had brought to the door, to be ready to load his mules, and carried them again to their places, but they did not miss what Ali Baba had taken away before. Then holding a council, and deliberating upon this occurrence, they guessed that Cassim, when he was in, could not get out again, but could not imagine how he had learned the secret words by which alone he could enter.	false	638.63	665.02	22.112017
8474_281187_000027_000001	They could not deny the fact of his being there; and to terrify any person or accomplice who should attempt the same thing, they agreed to cut Cassim's body into four quarters--to hang two on one side, and two on the other, within the door of the cave.	They could not deny the fact of his being there; and to terrify any person or accomplice who should attempt the same thing, they agreed to cut Cassim's body into four quarters-to hang two on one side, and two on the other, within the door of the cave.	true	665.63	679.48	24.08123
8474_281187_000027_000002	They had no sooner taken this resolution than they put it in execution; and when they had nothing more to detain them, left the place of their hoards well closed.	They had no sooner taken this resolution than they put it in execution; and when they had nothing more to detain them, left the place of their hoards well closed.	false	679.88	688.81	21.830896
8474_281187_000027_000003	They mounted their horses, went to beat the roads again, and to attack the caravans they might meet.	They mounted their horses, went to beat the roads again, and to attack the caravans they might meet.	true	689.36	694.54	24.365337
8474_281187_000028_000000	In the meantime, Cassim's wife was very uneasy when night came, and her husband was not returned.	In the meantime, Cassim's wife was very uneasy when night came, and her husband was not returned.	true	695.6	701.05	21.273722
8474_281187_000028_000001	She ran to Ali Baba in great alarm, and said: "I believe, brother-in-law, that you know Cassim is gone to the forest, and upon what account; it is now night, and he has not returned; I am afraid some misfortune has happened to him." Ali Baba told her that she need not frighten herself, for that certainly Cassim would not think it proper to come into the town till the night should be pretty far advanced.	She ran to Ali Baba in great alarm, and said: "I believe, brother in law, that you know Cassim is gone to the forest, and upon what account; it is now night, and he has not returned; I am afraid some misfortune has happened to him." Ali Baba told her that she need not frighten herself, for that certainly Cassim would not think it proper to come into the town till the night should be pretty far advanced.	false	701.45	723.81	22.21425
8474_281187_000029_000000	Cassim's wife, considering how much it concerned her husband to keep the business secret, was the more easily persuaded to believe her brother-in-law.	Cassim's wife, considering how much it concerned her husband to keep the business secret, was the more easily persuaded to believe her brother in law.	false	723.81	732.88	21.92748
8474_281187_000029_000001	She went home again, and waited patiently till midnight.	She went home again, and waited patiently till midnight.	true	733.19	736.54	21.411392
8474_281187_000029_000002	Then her fear redoubled, and her grief was the more sensible because she was forced to keep it to herself.	Then her fear redoubled, and her grief was the more sensible because she was forced to keep it to herself.	true	736.91	742.9	21.130749
8474_281187_000029_000003	She repented of her foolish curiosity, and cursed her desire of prying into the affairs of her brother and sister-in-law.	She repented of her foolish curiosity, and cursed her desire of prying into the affairs of her brother and sister in law.	true	743.12	750.01	22.462967
8474_281187_000029_000004	She spent all the night in weeping; and, as soon as it was day, went to them, telling them, by her tears, the cause of her coming.	She spent all the night in weeping; and, as soon as it was day, went to them, telling them, by her tears, the cause of her coming.	true	750.11	758.65	22.50718
8474_281187_000030_000000	Ali Baba did not wait for his sister-in-law to desire him to go to see what was become of Cassim, but departed immediately with his three asses, begging of her first to moderate her affliction.	Ali Baba did not wait for his sister in law to desire him to go to see what was become of Cassim, but departed immediately with his three asses, begging of her first to moderate her affliction.	false	758.66	769.21	21.754435
8474_281187_000030_000001	He went to the forest, and when he came near the rock, having seen neither his brother nor the mules in his way, was seriously alarmed at finding some blood spilled near the door, which he took for an ill omen; but when he had pronounced the word, and the door had opened, he was struck with horror at the dismal sight of his brother's body.	He went to the forest, and when he came near the rock, having seen neither his brother nor the mules in his way, was seriously alarmed at finding some blood spilled near the door, which he took for an ill omen; but when he had pronounced the word, and the door had opened, he was struck with horror at the dismal sight of his brother's body.	true	769.82	790.42	21.946491
8474_281187_000030_000002	He was not long in determining how he should pay the last dues to his brother; but without adverting to the little fraternal affection he had shown for him, went into the cave to find something to enshroud his remains; and having loaded one of his asses with them, covered them over with wood.	He was not long in determining how he should pay the last dues to his brother; but without adverting to the little fraternal affection he had shown for him, went into the cave to find something to enshroud his remains; and having loaded one of his asses with them, covered them over with wood.	true	791.06	807.4	21.327293
8474_281187_000030_000003	The other two asses he loaded with bags of gold, covering them with wood also as before; and then bidding the door shut, came away; but was so cautious as to stop some time at the end of the forest, that he might not go into the town before night.	The other two asses he loaded with bags of gold, covering them with wood also as before; and then bidding the door shut, came away; but was so cautious as to stop some time at the end of the forest, that he might not go into the town before night.	false	808.43	823.27	21.716074
8474_281187_000030_000004	When he came home, he drove the two asses loaded with gold into his little yard, and left the care of unloading them to his wife, while he led the other to his sister-in-law's house.	When he came home, he drove the two asses loaded with gold into his little yard, and left the care of unloading them to his wife, while he led the other to his sister in law's house.	true	824.09	834.64	22.080936
8474_281187_000031_000000	Ali Baba knocked at the door, which was opened by Morgiana, a clever, intelligent slave, who was fruitful in inventions to meet the most difficult circumstances.	Ali Baba knocked at the door, which was opened by Morgiana, a clever, intelligent slave, who was fruitful in inventions to meet the most difficult circumstances.	true	835.4	844.51	22
8474_281187_000031_000001	When he came into the court, he unloaded the ass, and taking Morgiana aside, said to her: "You must observe an inviolable secrecy.	When he came into the court, he unloaded the ass, and taking Morgiana aside, said to her: "You must observe an inviolable secrecy.	true	845.06	853.36	22.065483
8474_281187_000031_000002	Your master's body is contained in these two panniers.	Your master's body is contained in these two panniers.	true	853.58	856.9	17
8474_281187_000031_000003	We must bury him as if he had died a natural death.	We must bury him as if he had died a natural death.	true	857.15	860.2	20
8474_281187_000031_000004	Go now and tell your mistress.	Go now and tell your mistress.	true	860.42	862.08	19
8474_281187_000031_000005	I leave the matter to your wit and skilful devices."	I leave the matter to your wit and skilful devices."	true	862.08	865	23.65001
8474_281187_000032_000000	Ali Baba helped to place the body in Cassim's house, again recommended to Morgiana to act her part well, and then returned with his ass.	Ali Baba helped to place the body in Cassim's house, again recommended to Morgiana to act her part well, and then returned with his ass.	false	866	874.36	22.112923
8474_281187_000033_000000	Morgiana went out, early the next morning to a druggist, and asked for a sort of lozenge which was considered efficacious in the most dangerous disorders.	Morgiana went out, early the next morning to a druggist, and asked for a sort of lozenge which was considered efficacious in the most dangerous disorders.	true	875.24	883.63	19.65221
8474_281187_000033_000001	The apothecary inquired who was ill.	The apothecary inquired who was ill.	true	884.03	886.39	23.55184
8474_281187_000033_000002	She replied, with a sigh, Her good master, Cassim himself, and that he could neither eat nor speak.	She replied, with a sigh, Her good master, Cassim himself, and that he could neither eat nor speak.	true	886.97	893.29	22.382427
8474_281187_000033_000003	In the evening Morgiana went to the same druggist's again, and with tears in her eyes, asked for an essence which they used to give to sick people only when at the last extremity.	In the evening Morgiana went to the same druggist's again, and with tears in her eyes, asked for an essence which they used to give to sick people only when at the last extremity.	true	893.9	903.58	20.37773
8474_281187_000033_000004	"Alas!" said she, taking it from the apothecary, "I am afraid that this remedy will have no better effect than the lozenges; and that I shall lose my good master."	"Alas!" said she, taking it from the apothecary, "I am afraid that this remedy will have no better effect than the lozenges; and that I shall lose my good master."	true	904.07	914.14	23.584589
8474_281187_000034_000000	On the other hand, as Ali Baba and his wife were often seen to go between Cassim's and their own house all that day, and to seem melancholy, nobody was surprised in the evening to hear the lamentable shrieks and cries of Cassim's wife and Morgiana, who gave out everywhere that her master was dead.	On the other hand, as Ali Baba and his wife were often seen to go between Cassim's and their own house all that day, and to seem melancholy, nobody was surprised in the evening to hear the lamentable shrieks and cries of Cassim's wife and Morgiana, who gave out everywhere that her master was dead.	false	914.72	931.87	22.662235
8474_281187_000034_000001	The next morning at daybreak, Morgiana went to an old cobbler whom she knew to be always early at his stall, and bidding him good-morrow, put a piece of gold into his hand, saying, "Baba Mustapha, you must bring with you your sewing tackle, and come with me; but I must tell you, I shall blindfold you when you come to such a place."	The next morning at daybreak, Morgiana went to an old cobbler whom she knew to be always early at his stall, and bidding him good morrow, put a piece of gold into his hand, saying, "Baba Mustapha, you must bring with you your sewing tackle, and come with me; but I must tell you, I shall blindfold you when you come to such a place."	true	933.29	952	22.984152
8474_281187_000035_000000	Baba Mustapha seemed to hesitate a little at these words.	Baba Mustapha seemed to hesitate a little at these words.	true	952.82	955.695	23
8474_281187_000035_000001	"Oh! oh!" replied he, "you must have me do something against my conscience, or against my honor?" "God forbid," said Morgiana, putting another piece of gold into his hand, "that I should ask anything that is contrary to your honor! only come along with me and fear nothing."	"Oh! oh!" replied he, "you must have me do something against my conscience, or against my honor?" "God forbid," said Morgiana, putting another piece of gold into his hand, "that I should ask anything that is contrary to your honor! only come along with me and fear nothing."	false	955.695	972.49	23.523815
8474_281187_000036_000000	Baba Mustapha went with Morgiana, who, after she had bound his eyes with a handkerchief at the place she had mentioned, conveyed him to her deceased master's house, and never unloosed his eyes till he had entered the room where she had put the corpse together.	Baba Mustapha went with Morgiana, who, after she had bound his eyes with a handkerchief at the place she had mentioned, conveyed him to her deceased master's house, and never unloosed his eyes till he had entered the room where she had put the corpse together.	false	972.92	987.01	22.134212
8474_281187_000037_000000	"Baba Mustapha," said she, "you must make haste and sew the parts of this body together; and when you have done, I will give you another piece of gold."	"Baba Mustapha," said she, "you must make haste and sew the parts of this body together; and when you have done, I will give you another piece of gold."	true	987.53	996.43	23.550987
