8474_281187_000004_000001	Their father divided a small inheritance equally between them.	Their father divided a small inheritance equally between them.
8474_281187_000018_000002	He does not count his money, but measures it." Cassim desired her to explain the riddle, which she did by telling him the stratagem she had used to make the discovery, and showed him the piece of money, which was so old that they could not tell in what prince's reign it was coined.	He does not count his money, but measures it." Cassim desired her to explain the riddle, which she did by telling him the stratagem she had used to make the discovery, and showed him the piece of money, which was so old that they could not tell in what prince's reign it was coined.
8474_281187_000019_000001	He could not sleep all that night, and went to him in the morning before sunrise.	He could not sleep all that night, and went to him in the morning before sunrise.
8474_281187_000019_000002	"Ali Baba," said he, "I am surprised at you!	"Ali Baba," said he, "I am surprised at you!
8474_281187_000019_000003	you pretend to be miserably poor, and yet you measure gold.	you pretend to be miserably poor, and yet you measure gold.
8474_281187_000019_000004	My wife found this at the bottom of the measure you borrowed yesterday."	My wife found this at the bottom of the measure you borrowed yesterday."
8474_281187_000020_000001	Therefore, without showing the least surprise or trouble, he confessed all, and offered his brother part of his treasure to keep the secret.	Therefore, without showing the least surprise or trouble, he confessed all, and offered his brother part of his treasure to keep the secret.
8474_281187_000021_000000	"I expect as much," replied Cassim haughtily; "but I must know exactly where this treasure is, and how I may visit it myself when I choose; otherwise, I will go and inform against you, and then you will not only get no more, but will lose all you have, and I shall have a share for my information."	"I expect as much," replied Cassim haughtily; "but I must know exactly where this treasure is, and how I may visit it myself when I choose; otherwise, I will go and inform against you, and then you will not only get no more, but will lose all you have, and I shall have a share for my information."
8474_281187_000022_000000	Ali Baba told him all he desired, even to the very words he was to use to gain admission into the cave.	Ali Baba told him all he desired, even to the very words he was to use to gain admission into the cave.
8474_281187_000023_000000	Cassim rose the next morning long before the sun, and set out for the forest with ten mules bearing great chests, which he designed to fill, and followed the road which Ali Baba had pointed out to him.	Cassim rose the next morning long before the sun, and set out for the forest with ten mules bearing great chests, which he designed to fill, and followed the road which Ali Baba had pointed out to him.
8474_281187_000023_000001	It was not long before he reached the rock, and found out the place, by the tree and other marks which his brother had given him.	It was not long before he reached the rock, and found out the place, by the tree and other marks which his brother had given him.
8474_281187_000023_000003	On examining the cave, he was in great admiration to find much more riches than he had expected from Ali Baba's relation.	On examining the cave, he was in great admiration to find much more riches than he had expected from Ali Baba's relation.
8474_281187_000023_000005	He named several sorts of grain, but still the door would not open.	He named several sorts of grain, but still the door would not open.
8474_281187_000025_000000	About noon the robbers visited their cave.	About noon the robbers visited their cave.
8474_281187_000025_000001	At some distance they saw Cassim's mules straggling about the rock, with great chests on their backs.	At some distance they saw Cassim's mules straggling about the rock, with great chests on their backs.
8474_281187_000025_000002	Alarmed at this, they galloped full speed to the cave.	Alarmed at this, they galloped full speed to the cave.
8474_281187_000025_000003	They drove away the mules, who strayed through the forest so far that they were soon out of sight, and went directly, with their naked sabres in their hands, to the door, which, on their captain pronouncing the proper words, immediately opened.	They drove away the mules, who strayed through the forest so far that they were soon out of sight, and went directly, with their naked sabres in their hands, to the door, which, on their captain pronouncing the proper words, immediately opened.
8474_281187_000026_000001	He rushed to the door, and no sooner saw the door open, than he ran out and threw the leader down, but could not escape the other robbers, who with their cimeters soon deprived him of life.	He rushed to the door, and no sooner saw the door open, than he ran out and threw the leader down, but could not escape the other robbers, who with their cimeters soon deprived him of life.
8474_281187_000027_000001	They could not deny the fact of his being there; and to terrify any person or accomplice who should attempt the same thing, they agreed to cut Cassim's body into four quarters--to hang two on one side, and two on the other, within the door of the cave.	They could not deny the fact of his being there; and to terrify any person or accomplice who should attempt the same thing, they agreed to cut Cassim's body into four quarters-to hang two on one side, and two on the other, within the door of the cave.
8474_281187_000027_000003	They mounted their horses, went to beat the roads again, and to attack the caravans they might meet.	They mounted their horses, went to beat the roads again, and to attack the caravans they might meet.
8474_281187_000028_000000	In the meantime, Cassim's wife was very uneasy when night came, and her husband was not returned.	In the meantime, Cassim's wife was very uneasy when night came, and her husband was not returned.
8474_281187_000029_000001	She went home again, and waited patiently till midnight.	She went home again, and waited patiently till midnight.
8474_281187_000029_000002	Then her fear redoubled, and her grief was the more sensible because she was forced to keep it to herself.	Then her fear redoubled, and her grief was the more sensible because she was forced to keep it to herself.
8474_281187_000029_000003	She repented of her foolish curiosity, and cursed her desire of prying into the affairs of her brother and sister-in-law.	She repented of her foolish curiosity, and cursed her desire of prying into the affairs of her brother and sister in law.
8474_281187_000029_000004	She spent all the night in weeping; and, as soon as it was day, went to them, telling them, by her tears, the cause of her coming.	She spent all the night in weeping; and, as soon as it was day, went to them, telling them, by her tears, the cause of her coming.
8474_281187_000030_000001	He went to the forest, and when he came near the rock, having seen neither his brother nor the mules in his way, was seriously alarmed at finding some blood spilled near the door, which he took for an ill omen; but when he had pronounced the word, and the door had opened, he was struck with horror at the dismal sight of his brother's body.	He went to the forest, and when he came near the rock, having seen neither his brother nor the mules in his way, was seriously alarmed at finding some blood spilled near the door, which he took for an ill omen; but when he had pronounced the word, and the door had opened, he was struck with horror at the dismal sight of his brother's body.
8474_281187_000030_000002	He was not long in determining how he should pay the last dues to his brother; but without adverting to the little fraternal affection he had shown for him, went into the cave to find something to enshroud his remains; and having loaded one of his asses with them, covered them over with wood.	He was not long in determining how he should pay the last dues to his brother; but without adverting to the little fraternal affection he had shown for him, went into the cave to find something to enshroud his remains; and having loaded one of his asses with them, covered them over with wood.
8474_281187_000030_000004	When he came home, he drove the two asses loaded with gold into his little yard, and left the care of unloading them to his wife, while he led the other to his sister-in-law's house.	When he came home, he drove the two asses loaded with gold into his little yard, and left the care of unloading them to his wife, while he led the other to his sister in law's house.
8474_281187_000031_000000	Ali Baba knocked at the door, which was opened by Morgiana, a clever, intelligent slave, who was fruitful in inventions to meet the most difficult circumstances.	Ali Baba knocked at the door, which was opened by Morgiana, a clever, intelligent slave, who was fruitful in inventions to meet the most difficult circumstances.
8474_281187_000031_000001	When he came into the court, he unloaded the ass, and taking Morgiana aside, said to her: "You must observe an inviolable secrecy.	When he came into the court, he unloaded the ass, and taking Morgiana aside, said to her: "You must observe an inviolable secrecy.
8474_281187_000031_000003	We must bury him as if he had died a natural death.	We must bury him as if he had died a natural death.
8474_281187_000031_000005	I leave the matter to your wit and skilful devices."	I leave the matter to your wit and skilful devices."
8474_281187_000033_000001	The apothecary inquired who was ill.	The apothecary inquired who was ill.
8474_281187_000033_000002	She replied, with a sigh, Her good master, Cassim himself, and that he could neither eat nor speak.	She replied, with a sigh, Her good master, Cassim himself, and that he could neither eat nor speak.
8474_281187_000033_000003	In the evening Morgiana went to the same druggist's again, and with tears in her eyes, asked for an essence which they used to give to sick people only when at the last extremity.	In the evening Morgiana went to the same druggist's again, and with tears in her eyes, asked for an essence which they used to give to sick people only when at the last extremity.
8474_281187_000033_000004	"Alas!" said she, taking it from the apothecary, "I am afraid that this remedy will have no better effect than the lozenges; and that I shall lose my good master."	"Alas!" said she, taking it from the apothecary, "I am afraid that this remedy will have no better effect than the lozenges; and that I shall lose my good master."
8474_281187_000034_000001	The next morning at daybreak, Morgiana went to an old cobbler whom she knew to be always early at his stall, and bidding him good-morrow, put a piece of gold into his hand, saying, "Baba Mustapha, you must bring with you your sewing tackle, and come with me; but I must tell you, I shall blindfold you when you come to such a place."	The next morning at daybreak, Morgiana went to an old cobbler whom she knew to be always early at his stall, and bidding him good morrow, put a piece of gold into his hand, saying, "Baba Mustapha, you must bring with you your sewing tackle, and come with me; but I must tell you, I shall blindfold you when you come to such a place."
8474_281187_000035_000000	Baba Mustapha seemed to hesitate a little at these words.	Baba Mustapha seemed to hesitate a little at these words.
8474_281187_000037_000000	"Baba Mustapha," said she, "you must make haste and sew the parts of this body together; and when you have done, I will give you another piece of gold."	"Baba Mustapha," said she, "you must make haste and sew the parts of this body together; and when you have done, I will give you another piece of gold."
8474_281187_000038_000002	Not long after, the proper officer brought the bier, and when the attendants of the mosque, whose business it was to wash the dead, offered to perform their duty, she told them that it was done already.	Not long after, the proper officer brought the bier, and when the attendants of the mosque, whose business it was to wash the dead, offered to perform their duty, she told them that it was done already.
8474_281187_000038_000005	Ali Baba came after with some neighbors, who often relieved the others in carrying the bier to the burying ground.	Ali Baba came after with some neighbors, who often relieved the others in carrying the bier to the burying ground.
8474_281187_000038_000006	Morgiana, a slave to the deceased, followed in the procession, weeping, beating her breast, and tearing her hair. Cassim's wife stayed at home mourning, uttering lamentable cries with the women of the neighborhood, who came, according to custom, during the funeral, and, joining their lamentations with hers, filled the quarter far and near with sounds of sorrow.	Morgiana, a slave to the deceased, followed in the procession, weeping, beating her breast, and tearing her hair. Cassim's wife stayed at home mourning, uttering lamentable cries with the women of the neighborhood, who came, according to custom, during the funeral, and, joining their lamentations with hers, filled the quarter far and near with sounds of sorrow.
8474_281187_000039_000000	In this manner Cassim's melancholy death was concealed, and hushed up between Ali Baba, his widow, and Morgiana, his slave, with so much contrivance that nobody in the city had the least knowledge or suspicion of the cause of it.	In this manner Cassim's melancholy death was concealed, and hushed up between Ali Baba, his widow, and Morgiana, his slave, with so much contrivance that nobody in the city had the least knowledge or suspicion of the cause of it.
8474_281187_000039_000001	Three or four days after the funeral, Ali Baba removed his few goods openly to his sister-in- law's house, in which it was agreed that he should in future live; but the money he had taken from the robbers he conveyed thither by night.	Three or four days after the funeral, Ali Baba removed his few goods openly to his sister in law's house, in which it was agreed that he should in future live; but the money he had taken from the robbers he conveyed thither by night.
8474_281187_000039_000002	As for Cassim's warehouse, he intrusted it entirely to the management of his eldest son.	As for Cassim's warehouse, he intrusted it entirely to the management of his eldest son.
8474_281187_000040_000000	While these things were being done, the forty robbers again visited their retreat in the forest.	While these things were being done, the forty robbers again visited their retreat in the forest.
8474_281187_000040_000001	Great, then, was their surprise to find Cassim's body taken away, with some of their bags of gold.	Great, then, was their surprise to find Cassim's body taken away, with some of their bags of gold.
8474_281187_000040_000002	"We are certainly discovered," said the captain.	"We are certainly discovered," said the captain.
8474_281187_000040_000003	"The removal of the body and the loss of some of our money plainly show that the man whom we killed had an accomplice; and for our own lives' sake we must try and find him.	"The removal of the body and the loss of some of our money plainly show that the man whom we killed had an accomplice; and for our own lives' sake we must try and find him.
8474_281187_000041_000000	All the robbers unanimously approved of the captain's proposal.	All the robbers unanimously approved of the captain's proposal.
8474_281187_000042_000000	"Well," said the captain, "one of you, the boldest and most skilful among you, must go into the town, disguised as a traveller and a stranger, to try if he can hear any talk of the man whom we have killed, and endeavor to find out who he was, and where he lived.	"Well," said the captain, "one of you, the boldest and most skilful among you, must go into the town, disguised as a traveller and a stranger, to try if he can hear any talk of the man whom we have killed, and endeavor to find out who he was, and where he lived.
8474_281187_000042_000001	This is a matter of the first importance, and for fear of any treachery, I propose that whoever undertakes this business without success, even though the failure arises only from an error of judgment, shall suffer death."	This is a matter of the first importance, and for fear of any treachery, I propose that whoever undertakes this business without success, even though the failure arises only from an error of judgment, shall suffer death."
8474_281187_000043_000000	Without waiting for the sentiments of his companions, one of the robbers started up, and said, "I submit to this condition, and think it an honor to expose my life to serve the troop."	Without waiting for the sentiments of his companions, one of the robbers started up, and said, "I submit to this condition, and think it an honor to expose my life to serve the troop."
8474_281187_000044_000000	After this robber had received great commendations from the captain and his comrades, he disguised himself so that nobody would take him for what he was; and taking his leave of the troop that night, went into the town just at daybreak, and walked up and down, till accidentally he came to Baba Mustapha's stall, which was always open before any of the shops.	After this robber had received great commendations from the captain and his comrades, he disguised himself so that nobody would take him for what he was; and taking his leave of the troop that night, went into the town just at daybreak, and walked up and down, till accidentally he came to Baba Mustapha's stall, which was always open before any of the shops.
8474_281187_000045_000000	Baba Mustapha was seated with an awl in his hand, just going to work.	Baba Mustapha was seated with an awl in his hand, just going to work.
8474_281187_000046_000000	The robber saluted him, bidding him good-morrow; and, perceiving that he was old, said, "Honest man, you begin to work very early: is it possible that one of your age can see so well?	The robber saluted him, bidding him good morrow; and, perceiving that he was old, said, "Honest man, you begin to work very early: is it possible that one of your age can see so well?
8474_281187_000046_000001	I question, even if it were somewhat lighter, whether you could see to stitch."	I question, even if it were somewhat lighter, whether you could see to stitch."
8474_281187_000047_000000	"You do not know me," replied Baba Mustapha; "for old as I am, I have extraordinary good eyes; and you will not doubt it when I tell you that I sewed the body of a dead man together in a place where I had not so much light as I have now."	"You do not know me," replied Baba Mustapha; "for old as I am, I have extraordinary good eyes; and you will not doubt it when I tell you that I sewed the body of a dead man together in a place where I had not so much light as I have now."
8474_281187_000048_000000	"A dead body!" exclaimed the robber, with affected amazement. "Yes, yes," answered Baba Mustapha; "I see you want to have me speak out, but you shall know no more."	"A dead body!" exclaimed the robber, with affected amazement. "Yes, yes," answered Baba Mustapha; "I see you want to have me speak out, but you shall know no more."
8474_281187_000049_000000	The robber felt sure that he had discovered what he sought.	The robber felt sure that he had discovered what he sought.
8474_281187_000049_000001	He pulled out a piece of gold, and putting it into Baba Mustapha's hand, said to him, "I do not want to learn your secret, though I can assume you you might safely trust me with it.	He pulled out a piece of gold, and putting it into Baba Mustapha's hand, said to him, "I do not want to learn your secret, though I can assume you you might safely trust me with it.
8474_281187_000049_000002	The only thing I desire of you is to show me the house where you stitched up the dead body."	The only thing I desire of you is to show me the house where you stitched up the dead body."
8474_281187_000050_000000	"If I were disposed to do you that favor," replied Baba Mustapha, "I assure you I cannot.	"If I were disposed to do you that favor," replied Baba Mustapha, "I assure you I cannot.
8474_281187_000051_000000	"Well," replied the robber, "you may, however, remember a little of the way that you were led blindfold.	"Well," replied the robber, "you may, however, remember a little of the way that you were led blindfold.
8474_281187_000051_000001	Come, let me blind your eyes at the same place.	Come, let me blind your eyes at the same place.
8474_281187_000052_000000	The two pieces of gold were great temptations to Baba Mustapha.	The two pieces of gold were great temptations to Baba Mustapha.
8474_281187_000052_000003	"It was here," said Baba Mustapha, "I was blindfolded; and I turned this way." The robber tied his handkerchief over his eyes, and walked by him till they stopped directly at Cassim's house, where Ali Baba then lived.	"It was here," said Baba Mustapha, "I was blindfolded; and I turned this way." The robber tied his handkerchief over his eyes, and walked by him till they stopped directly at Cassim's house, where Ali Baba then lived.
8474_281187_000052_000004	The thief, before he pulled off the band, marked the door with a piece of chalk, which he had ready in his hand, and then asked him if he knew whose house that was; to which Baba Mustapha replied, that as he did not live in that neighborhood he could not tell.	The thief, before he pulled off the band, marked the door with a piece of chalk, which he had ready in his hand, and then asked him if he knew whose house that was; to which Baba Mustapha replied, that as he did not live in that neighborhood he could not tell.
8474_281187_000053_000000	The robber, finding he could discover no more from Baba Mustapha, thanked him for the trouble he had taken, and left him to go back to his stall, while he returned to the forest, persuaded that he should be very well received.	The robber, finding he could discover no more from Baba Mustapha, thanked him for the trouble he had taken, and left him to go back to his stall, while he returned to the forest, persuaded that he should be very well received.
8474_281187_000054_000000	A little after the robber and Baba Mustapha had parted, Morgiana went out of Ali Baba's house upon some errand, and upon her return, seeing the mark the robber had made, stopped to observe it.	A little after the robber and Baba Mustapha had parted, Morgiana went out of Ali Baba's house upon some errand, and upon her return, seeing the mark the robber had made, stopped to observe it.
8474_281187_000054_000001	"What can be the meaning of this mark?" said she to herself; "somebody intends my master no good: however, with whatever intention it was done, it is advisable to guard against the worst." Accordingly, she fetched a piece of chalk, and marked two or three doors on each side, in the same manner, without saying a word to her master or mistress.	"What can be the meaning of this mark?" said she to herself; "somebody intends my master no good: however, with whatever intention it was done, it is advisable to guard against the worst." Accordingly, she fetched a piece of chalk, and marked two or three doors on each side, in the same manner, without saying a word to her master or mistress.
8474_281187_000055_000000	In the meantime, the robber rejoined his troop in the forest, and recounted to them his success, expatiating upon his good fortune in meeting so soon with the only person who could inform him of what he wanted to know.	In the meantime, the robber rejoined his troop in the forest, and recounted to them his success, expatiating upon his good fortune in meeting so soon with the only person who could inform him of what he wanted to know.
8474_281187_000055_000001	All the robbers listened to him with the utmost satisfaction; when the captain, after commending his diligence, addressing himself to them all, said, "Comrades, we have no time to lose: let us set off well armed, without its appearing who we are; but that we may not excite any suspicion, let only one or two go into the town together, and join at our rendezvous, which shall be the great square.	All the robbers listened to him with the utmost satisfaction; when the captain, after commending his diligence, addressing himself to them all, said, "Comrades, we have no time to lose: let us set off well armed, without its appearing who we are; but that we may not excite any suspicion, let only one or two go into the town together, and join at our rendezvous, which shall be the great square.
8474_281187_000056_000000	This speech and plan were approved of by all, and they were soon ready.	This speech and plan were approved of by all, and they were soon ready.
8474_281187_000056_000001	They filed off in parties of two each, after some interval of time, and got into the town without being in the least suspected.	They filed off in parties of two each, after some interval of time, and got into the town without being in the least suspected.
8474_281187_000056_000002	The captain, and he who had visited the town in the morning as spy, came in the last.	The captain, and he who had visited the town in the morning as spy, came in the last.
