7881_105574_000000_000000	CHAPTER II	CHAPTER two	true	0.63	1.56	28.316565
7881_105574_000012_000004	A candle burned beside him, and his cold hands closed on a pencil note that said, "Kindly bury this unfortunate officer." His breakfast waited on a table in the tent, showing how unexpected was his taking off.	A candle burned beside him, and his cold hands closed on a pencil note that said, "Kindly bury this unfortunate officer." His breakfast waited on a table in the tent, showing how unexpected was his taking off.	true	289.67	304.09	23.83929
7881_105574_000013_000000	Our victory was a great one for the nation, and it put two stars on the shoulder straps of General Pope.	Our victory was a great one for the nation, and it put two stars on the shoulder straps of General Pope.	true	305.09	311.17	22.3017
7881_105574_000013_000001	It made him, too, commander of the Eastern army.	It made him, too, commander of the Eastern army.	true	311.48	314.53	21
7881_105574_000014_000000	A comrade in Company A of my regiment had been wounded a few days before and had died in the enemy's hands.	A comrade in Company A of my regiment had been wounded a few days before and had died in the enemy's hands.	true	315.29	321.67	20.113422
7881_105574_000014_000001	I now found his grave.	I now found his grave.	true	322.1	323.83	23.450794
7881_105574_000014_000002	At its head stood a board with this curious inscription: "This man says he was a private in the Fifth Iowa Regiment.	At its head stood a board with this curious inscription: "This man says he was a private in the Fifth Iowa Regiment.	true	324.23	331.72	20.926104
7881_105574_000014_000003	He was killed while trying to attend to other people's business."	He was killed while trying to attend to other people's business."	true	331.94	335.89	25
7881_105574_000015_000000	Our command was now hurried to the Shiloh battlefield, of course too late to be of any use.	Our command was now hurried to the Shiloh battlefield, of course too late to be of any use.	true	337.31	342.85	20.392885
7881_105574_000015_000001	But we took part in the long, wonderful, and ridiculous siege of Corinth, under Halleck, when our great army was held back by red tape, martinets, and the fear of a lot of wooden guns that sat on top of the enemy's breastworks, while that enemy, with all his men, and with all his guns, and bag and baggage, was escaping to the south.	But we took part in the long, wonderful, and ridiculous siege of Corinth, under Halleck, when our great army was held back by red tape, martinets, and the fear of a lot of wooden guns that sat on top of the enemy's breastworks, while that enemy, with all his men, and with all his guns, and bag and baggage, was escaping to the south.	true	343.1	362.44	21.894672
7881_105574_000015_000002	Our deeds were no credit to anybody, though here and there we had a little fight.	Our deeds were no credit to anybody, though here and there we had a little fight.	true	363.14	367.54	20.59844
7881_105574_000016_000000	One incident of great importance, however, happened to my regiment here. It was the death of our colonel.	One incident of great importance, however, happened to my regiment here. It was the death of our colonel.	true	368.84	375.07	21.727463
7881_105574_000016_000001	One night when he was going the rounds of the picket lines out in the woods he was shot dead by one of our own men.	One night when he was going the rounds of the picket lines out in the woods he was shot dead by one of our own men.	true	375.56	381.61	17
7881_105574_000016_000002	The sentinel who did the killing declared that Rebels had been slipping up to his post all night, and when he would hail with "Who goes there?" they would fire at him and run into the darkness.	The sentinel who did the killing declared that Rebels had been slipping up to his post all night, and when he would hail with "Who goes there?" they would fire at him and run into the darkness.	true	382.43	392.53	20.502678
7881_105574_000016_000003	He resolved to stand behind a tree the next time and fire without hailing.	He resolved to stand behind a tree the next time and fire without hailing.	true	393.02	396.82	20.806417
7881_105574_000016_000004	By some accident Colonel Worthington and his adjutant were approaching this sentinel from the direction of the enemy.	By some accident Colonel Worthington and his adjutant were approaching this sentinel from the direction of the enemy.	true	397.37	403.69	18
7881_105574_000016_000005	Suddenly the sentinel held his gun around the tree and fired.	Suddenly the sentinel held his gun around the tree and fired.	true	404.09	407.53	19.937439
7881_105574_000016_000006	The bullet struck the colonel in the forehead, killing him instantly.	The bullet struck the colonel in the forehead, killing him instantly.	true	408.05	411.31	24.089437
7881_105574_000016_000007	As he fell from his horse the adjutant sprang to the ground and cried, "Who shot the officer of the day?" "I fired," exclaimed the sentinel, and he then told of his experiences of the night.	As he fell from his horse the adjutant sprang to the ground and cried, "Who shot the officer of the day?" "I fired," exclaimed the sentinel, and he then told of his experiences of the night.	true	411.98	423.76	21.146261
7881_105574_000016_000008	He was arrested, tried, and acquitted.	He was arrested, tried, and acquitted.	true	424.67	427.3	24.757671
7881_105574_000016_000009	Yet there were many among us who believed that the colonel had been intentionally murdered. He was one of the most competent colonels in the army, but among his soldiers he was fearfully unpopular.	Yet there were many among us who believed that the colonel had been intentionally murdered. He was one of the most competent colonels in the army, but among his soldiers he was fearfully unpopular.	true	427.31	438.28	20.454742
7881_105574_000016_000010	He was, however, a splendid disciplinarian, but this was something the volunteers did not want.	He was, however, a splendid disciplinarian, but this was something the volunteers did not want.	true	438.92	444.64	22.315321
7881_105574_000016_000011	In their minds the colonel had been only a petty tyrant, and not even wholly loyal.	In their minds the colonel had been only a petty tyrant, and not even wholly loyal.	true	445.49	450.28	23.849937
7881_105574_000016_000012	With a different disposition he certainly would have been a distinguished soldier.	With a different disposition he certainly would have been a distinguished soldier.	true	451.01	455.08	21.14437
7881_105574_000016_000013	He was one of the most military-looking men in the whole army, but friends he had none.	He was one of the most military looking men in the whole army, but friends he had none.	true	455.72	460.63	21.924759
7881_105574_000016_000014	More than once his life had been threatened by soldiers who regarded themselves as having been treated badly by him.	More than once his life had been threatened by soldiers who regarded themselves as having been treated badly by him.	true	461.15	466.72	18
7881_105574_000017_000000	His body was brought into camp the next morning and lay in his tent in state.	His body was brought into camp the next morning and lay in his tent in state.	true	467.48	472.09	22.826927
7881_105574_000017_000001	He was given a military funeral, and the horse that was bearing him when he was killed was led behind his coffin.	He was given a military funeral, and the horse that was bearing him when he was killed was led behind his coffin.	false	472.79	479.17	21.355349
7881_105574_000018_000000	After his death numbers of the men of the regiment were indignant, when they found among his papers warrants and commissions intended by the governor for them, commissions that had never been delivered.	After his death numbers of the men of the regiment were indignant, when they found among his papers warrants and commissions intended by the governor for them, commissions that had never been delivered.	true	479.9	490.6	20.322283
7881_105574_000018_000001	Their promotions had never come about.	Their promotions had never come about.	true	491.24	493.36	23.968313
7881_105574_000018_000002	Now they knew why.	Now they knew why.	true	493.7	494.83	23.219688
7881_105574_000019_000000	Worthington was succeeded by Colonel C. L. Matthies, one of the bravest, best, and most loved commanders of our army.	Worthington was succeeded by Colonel c l Matthies, one of the bravest, best, and most loved commanders of our army.	true	496.19	503.05	22.282701
7881_105574_000019_000001	Later Matthies was made a general, and at the close of the war died of wounds received in battle.	Later Matthies was made a general, and at the close of the war died of wounds received in battle.	true	503.87	509.2	20.036304
7881_105574_000020_000000	Although I was quartermaster sergeant of the regiment, I was always careful that this should not keep me away from the command when enduring hard marches or when engagements were coming on.	Although I was quartermaster sergeant of the regiment, I was always careful that this should not keep me away from the command when enduring hard marches or when engagements were coming on.	true	510.41	519.79	21
7881_105574_000020_000001	When in camp I kept my rifle in one of the ammunition wagons (of several of which I had charge), but if the alarm sounded my rifle was on my shoulder and I was the private soldier in the ranks of the company.	When in camp one kept my rifle in one of the ammunition wagons (of several of which I had charge), but if the alarm sounded my rifle was on my shoulder and I was the private soldier in the ranks of the company.	false	520.43	532	21.686113
7881_105574_000020_000002	I deserved no special credit for this.	I deserved no special credit for this.	true	532.67	534.97	24.736748
7881_105574_000020_000003	I was only doing my duty.	I was only doing my duty.	true	535.01	536.65	26.207844
7881_105574_000020_000004	We had muzzle-loading Whitney rifles and bayonets.	We had muzzle loading Whitney rifles and bayonets.	true	537.32	540.43	22
7881_105574_000020_000005	The equipment and rations we carried in weight would have been a respectable load for a mule.	The equipment and rations we carried in weight would have been a respectable load for a mule.	true	540.95	548.73	21.124138
7881_105574_000021_000000	CHAPTER III	CHAPTER three	false	548.73	548.73	
7881_105574_000022_000000	Iuka, the fiercest battle of the war, 217 men out of 482 of my regiment are shot--The awful Rebel charge at Corinth--Moonlight on the battlefield--Bushels of arms and legs--Tombstones for fireplaces--One of Grant's mistakes.	Iuka, the fiercest battle of the war, two hundred seventeen men out of four hundred eighty two of my regiment are shot-The awful Rebel charge at Corinth-Moonlight on the battlefield-Bushels of arms and legs-Tombstones for fireplaces-One of Grant's mistakes.	false	548.73	554.76	19.165861
