7881_105574_000000_000000	CHAPTER II	CHAPTER two
7881_105574_000013_000000	Our victory was a great one for the nation, and it put two stars on the shoulder straps of General Pope.	Our victory was a great one for the nation, and it put two stars on the shoulder straps of General Pope.
7881_105574_000013_000001	It made him, too, commander of the Eastern army.	It made him, too, commander of the Eastern army.
7881_105574_000014_000000	A comrade in Company A of my regiment had been wounded a few days before and had died in the enemy's hands.	A comrade in Company A of my regiment had been wounded a few days before and had died in the enemy's hands.
7881_105574_000014_000001	I now found his grave.	I now found his grave.
7881_105574_000014_000002	At its head stood a board with this curious inscription: "This man says he was a private in the Fifth Iowa Regiment.	At its head stood a board with this curious inscription: "This man says he was a private in the Fifth Iowa Regiment.
7881_105574_000014_000003	He was killed while trying to attend to other people's business."	He was killed while trying to attend to other people's business."
7881_105574_000015_000000	Our command was now hurried to the Shiloh battlefield, of course too late to be of any use.	Our command was now hurried to the Shiloh battlefield, of course too late to be of any use.
7881_105574_000015_000001	But we took part in the long, wonderful, and ridiculous siege of Corinth, under Halleck, when our great army was held back by red tape, martinets, and the fear of a lot of wooden guns that sat on top of the enemy's breastworks, while that enemy, with all his men, and with all his guns, and bag and baggage, was escaping to the south.	But we took part in the long, wonderful, and ridiculous siege of Corinth, under Halleck, when our great army was held back by red tape, martinets, and the fear of a lot of wooden guns that sat on top of the enemy's breastworks, while that enemy, with all his men, and with all his guns, and bag and baggage, was escaping to the south.
7881_105574_000015_000002	Our deeds were no credit to anybody, though here and there we had a little fight.	Our deeds were no credit to anybody, though here and there we had a little fight.
7881_105574_000016_000000	One incident of great importance, however, happened to my regiment here. It was the death of our colonel.	One incident of great importance, however, happened to my regiment here. It was the death of our colonel.
7881_105574_000016_000002	The sentinel who did the killing declared that Rebels had been slipping up to his post all night, and when he would hail with "Who goes there?" they would fire at him and run into the darkness.	The sentinel who did the killing declared that Rebels had been slipping up to his post all night, and when he would hail with "Who goes there?" they would fire at him and run into the darkness.
7881_105574_000016_000003	He resolved to stand behind a tree the next time and fire without hailing.	He resolved to stand behind a tree the next time and fire without hailing.
7881_105574_000016_000006	The bullet struck the colonel in the forehead, killing him instantly.	The bullet struck the colonel in the forehead, killing him instantly.
7881_105574_000016_000007	As he fell from his horse the adjutant sprang to the ground and cried, "Who shot the officer of the day?" "I fired," exclaimed the sentinel, and he then told of his experiences of the night.	As he fell from his horse the adjutant sprang to the ground and cried, "Who shot the officer of the day?" "I fired," exclaimed the sentinel, and he then told of his experiences of the night.
7881_105574_000016_000008	He was arrested, tried, and acquitted.	He was arrested, tried, and acquitted.
7881_105574_000016_000009	Yet there were many among us who believed that the colonel had been intentionally murdered. He was one of the most competent colonels in the army, but among his soldiers he was fearfully unpopular.	Yet there were many among us who believed that the colonel had been intentionally murdered. He was one of the most competent colonels in the army, but among his soldiers he was fearfully unpopular.
7881_105574_000016_000010	He was, however, a splendid disciplinarian, but this was something the volunteers did not want.	He was, however, a splendid disciplinarian, but this was something the volunteers did not want.
7881_105574_000016_000011	In their minds the colonel had been only a petty tyrant, and not even wholly loyal.	In their minds the colonel had been only a petty tyrant, and not even wholly loyal.
7881_105574_000016_000012	With a different disposition he certainly would have been a distinguished soldier.	With a different disposition he certainly would have been a distinguished soldier.
7881_105574_000016_000013	He was one of the most military-looking men in the whole army, but friends he had none.	He was one of the most military looking men in the whole army, but friends he had none.
7881_105574_000017_000000	His body was brought into camp the next morning and lay in his tent in state.	His body was brought into camp the next morning and lay in his tent in state.
7881_105574_000018_000000	After his death numbers of the men of the regiment were indignant, when they found among his papers warrants and commissions intended by the governor for them, commissions that had never been delivered.	After his death numbers of the men of the regiment were indignant, when they found among his papers warrants and commissions intended by the governor for them, commissions that had never been delivered.
7881_105574_000018_000001	Their promotions had never come about.	Their promotions had never come about.
7881_105574_000018_000002	Now they knew why.	Now they knew why.
7881_105574_000019_000000	Worthington was succeeded by Colonel C. L. Matthies, one of the bravest, best, and most loved commanders of our army.	Worthington was succeeded by Colonel c l Matthies, one of the bravest, best, and most loved commanders of our army.
7881_105574_000019_000001	Later Matthies was made a general, and at the close of the war died of wounds received in battle.	Later Matthies was made a general, and at the close of the war died of wounds received in battle.
7881_105574_000020_000000	Although I was quartermaster sergeant of the regiment, I was always careful that this should not keep me away from the command when enduring hard marches or when engagements were coming on.	Although I was quartermaster sergeant of the regiment, I was always careful that this should not keep me away from the command when enduring hard marches or when engagements were coming on.
7881_105574_000020_000002	I deserved no special credit for this.	I deserved no special credit for this.
7881_105574_000020_000003	I was only doing my duty.	I was only doing my duty.
7881_105574_000020_000004	We had muzzle-loading Whitney rifles and bayonets.	We had muzzle loading Whitney rifles and bayonets.
7881_105574_000020_000005	The equipment and rations we carried in weight would have been a respectable load for a mule.	The equipment and rations we carried in weight would have been a respectable load for a mule.
