3972_170212_000004_000000	CHAPTER XI	CHAPTER eleven
3972_170212_000033_000000	"Glory to God in the highest, and on earth peace, good-will towards men!"	"Glory to God in the highest, and on earth peace, good will towards men!"
3972_170212_000034_000000	Not once the praise, but many times.	Not once the praise, but many times.
3972_170212_000035_000001	Long after he was gone, down from the sky fell the refrain in measure mellowed by distance, "Glory to God in the highest, and on earth peace, good-will towards men."	Long after he was gone, down from the sky fell the refrain in measure mellowed by distance, "Glory to God in the highest, and on earth peace, good will towards men."
3972_170212_000036_000000	When the shepherds came fully to their senses, they stared at each other stupidly, until one of them said, "It was Gabriel, the Lord's messenger unto men."	When the shepherds came fully to their senses, they stared at each other stupidly, until one of them said, "It was Gabriel, the Lord's messenger unto men."
3972_170212_000038_000000	"Christ the Lord is born; said he not so?"	"Christ the Lord is born; said he not so?"
3972_170212_000039_000000	Then another recovered his voice, and replied, "That is what he said."	Then another recovered his voice, and replied, "That is what he said."
3972_170212_000040_000001	And that we should find him a babe in swaddling-clothes?"	And that we should find him a babe in swaddling clothes?"
3972_170212_000042_000001	Brethren, let us go see this thing which has come to pass.	Brethren, let us go see this thing which has come to pass.
3972_170212_000042_000002	The priests and doctors have been a long time looking for the Christ.	The priests and doctors have been a long time looking for the Christ.
3972_170212_000042_000004	Let us go up and worship him."	Let us go up and worship him."
3972_170212_000043_000000	"But the flocks!"	"But the flocks!"
3972_170212_000044_000000	"The Lord will take care of them.	"The Lord will take care of them.
3972_170212_000044_000001	Let us make haste."	Let us make haste."
3972_170212_000045_000000	Then they all arose and left the marah.	Then they all arose and left the marah.
3972_170212_000047_000000	"What would you have?" he asked.	"What would you have?" he asked.
3972_170212_000048_000000	"We have seen and heard great things to-night," they replied.	"We have seen and heard great things to night," they replied.
3972_170212_000049_000001	What did you hear?"	What did you hear?"
3972_170212_000050_000000	"Let us go down to the cave in the enclosure, that we may be sure; then we will tell you all.	"Let us go down to the cave in the enclosure, that we may be sure; then we will tell you all.
3972_170212_000050_000001	Come with us, and see for yourself."	Come with us, and see for yourself."
3972_170212_000051_000000	"It is a fool's errand."	"It is a fool's errand."
3972_170212_000052_000000	"No, the Christ is born."	"No, the Christ is born."
3972_170212_000053_000000	"The Christ!	"The Christ!
3972_170212_000053_000001	How do you know?"	How do you know?"
3972_170212_000054_000000	"Let us go and see first."	"Let us go and see first."
3972_170212_000055_000000	The man laughed scornfully.	The man laughed scornfully.
3972_170212_000056_000000	"The Christ indeed!	"The Christ indeed!
3972_170212_000056_000001	How are you to know him?"	How are you to know him?"
3972_170212_000058_000000	"The cave?"	"The cave?"
3972_170212_000059_000000	"Yes.	"Yes.
3972_170212_000059_000001	Come with us."	Come with us."
3972_170212_000060_000000	They went through the court-yard without notice, although there were some up even then talking about the wonderful light.	They went through the court yard without notice, although there were some up even then talking about the wonderful light.
3972_170212_000060_000001	The door of the cavern was open.	The door of the cavern was open.
3972_170212_000061_000000	"I give you peace," the watchman said to Joseph and the Beth Dagonite.	"I give you peace," the watchman said to Joseph and the Beth Dagonite.
3972_170212_000065_000001	Then the bystanders collected about the two.	Then the bystanders collected about the two.
3972_170212_000066_000000	"It is the Christ!" said a shepherd, at last.	"It is the Christ!" said a shepherd, at last.
3972_170212_000067_000000	"The Christ!" they all repeated, falling upon their knees in worship. One of them repeated several times over,	"The Christ!" they all repeated, falling upon their knees in worship. One of them repeated several times over,
3972_170212_000069_000001	In the khan, to all the people aroused and pressing about them, they told their story; and through the town, and all the way back to the marah, they chanted the refrain of the angels, "Glory to God in the highest, and on earth peace, good-will towards men!"	In the khan, to all the people aroused and pressing about them, they told their story; and through the town, and all the way back to the marah, they chanted the refrain of the angels, "Glory to God in the highest, and on earth peace, good will towards men!"
