3972_170212_000000_000000	A bystander dispelled the comfort.	A bystander dispelled the comfort.	false	0	0.42	-20
3972_170212_000006_000003	On the inner side of the wall, and as an additional security against the constant danger, a hedge of the rhamnus had been planted, an invention so successful that now a sparrow could hardly penetrate the overtopping branches, armed as they were with great clusters of thorns hard as spikes.	On the inner side of the wall, and as an additional security against the constant danger, a hedge of the rhamnus had been planted, an invention so successful that now a sparrow could hardly penetrate the overtopping branches, armed as they were with great clusters of thorns hard as spikes.	true	84.5	102.4	20.262903
3972_170212_000007_000000	The day of the occurrences which occupy the preceding chapters, a number of shepherds, seeking fresh walks for their flocks, led them up to this plain; and from early morning the groves had been made ring with calls, and the blows of axes, the bleating of sheep and goats, the tinkling of bells, the lowing of cattle, and the barking of dogs.	The day of the occurrences which occupy the preceding chapters, a number of shepherds, seeking fresh walks for their flocks, led them up to this plain; and from early morning the groves had been made ring with calls, and the blows of axes, the bleating of sheep and goats, the tinkling of bells, the lowing of cattle, and the barking of dogs.	true	102.41	123.13	21.49193
3972_170212_000007_000001	When the sun went down, they led the way to the marah, and by nightfall had everything safe in the field; then they kindled a fire down by the gate, partook of their humble supper, and sat down to rest and talk, leaving one on watch.	When the sun went down, they led the way to the marah, and by nightfall had everything safe in the field; then they kindled a fire down by the gate, partook of their humble supper, and sat down to rest and talk, leaving one on watch.	false	123.14	137.05	22
3972_170212_000008_000000	There were six of these men, omitting the watchman; and afterwhile they assembled in a group near the fire, some sitting, some lying prone.	There were six of these men, omitting the watchman; and afterwhile they assembled in a group near the fire, some sitting, some lying prone.	true	137.27	145.3	17
3972_170212_000008_000001	As they went bareheaded habitually, their hair stood out in thick, coarse, sunburnt shocks; their beard covered their throats, and fell in mats down the breast; mantles of the skin of kids and lambs, with the fleece on, wrapped them from neck to knee, leaving the arms exposed; broad belts girthed the rude garments to their waists; their sandals were of the coarsest quality; from their right shoulders hung scrips containing food and selected stones for slings, with which they were armed; on the ground near each one lay his crook, a symbol of his calling and a weapon of offence.	As they went bareheaded habitually, their hair stood out in thick, coarse, sunburnt shocks; their beard covered their throats, and fell in mats down the breast; mantles of the skin of kids and lambs, with the fleece on, wrapped them from neck to knee, leaving the arms exposed; broad belts girthed the rude garments to their waists; their sandals were of the coarsest quality; from their right shoulders hung scrips containing food and selected stones for slings, with which they were armed; on the ground near each one lay his crook, a symbol of his calling and a weapon of offence.	true	145.55	179.77	21
3972_170212_000009_000000	Such were the shepherds of Judea!	Such were the shepherds of Judea!	true	179.96	182.2	23.676386
3972_170212_000009_000001	In appearance, rough and savage as the gaunt dogs sitting with them around the blaze; in fact, simple-minded, tender-hearted; effects due, in part, to the primitive life they led, but chiefly to their constant care of things lovable and helpless.	In appearance, rough and savage as the gaunt dogs sitting with them around the blaze; in fact, simple minded, tender hearted; effects due, in part, to the primitive life they led, but chiefly to their constant care of things lovable and helpless.	true	182.42	196.87	20
3972_170212_000010_000000	They rested and talked, and their talk was all about their flocks, a dull theme to the world, yet a theme which was all the world to them.	They rested and talked, and their talk was all about their flocks, a dull theme to the world, yet a theme which was all the world to them.	true	196.94	204.97	23.807959
3972_170212_000010_000001	If in narrative they dwelt long upon affairs of trifling moment; if one of them omitted nothing of detail in recounting the loss of a lamb, the relation between him and the unfortunate should be remembered: at birth it became his charge, his to keep all its days, to help over the floods, to carry down the hollows, to name and train; it was to be his companion, his object of thought and interest, the subject of his will; it was to enliven and share his wanderings; in its defense he might be called on to face the lion or robber--to die.	If in narrative they dwelt long upon affairs of trifling moment; if one of them omitted nothing of detail in recounting the loss of a lamb, the relation between him and the unfortunate should be remembered: at birth it became his charge, his to keep all its days, to help over the floods, to carry down the hollows, to name and train; it was to be his companion, his object of thought and interest, the subject of his will; it was to enliven and share his wanderings; in its defense he might be called on to face the lion or robber-to die.	false	205.16	238.42	19
3972_170212_000011_000000	The great events, such as blotted out nations and changed the mastery of the world, were trifles to them, if perchance they came to their knowledge.	The great events, such as blotted out nations and changed the mastery of the world, were trifles to them, if perchance they came to their knowledge.	true	238.64	246.76	19
3972_170212_000011_000001	Of what Herod was doing in this city or that, building palaces and gymnasia, and indulging forbidden practises, they occasionally heard.	Of what Herod was doing in this city or that, building palaces and gymnasia, and indulging forbidden practises, they occasionally heard.	true	246.92	255.37	17
3972_170212_000011_000002	As was her habit in those days, Rome did not wait for people slow to inquire about her; she came to them. Over the hills along which he was leading his lagging herd, or in the fastnesses in which he was hiding them, not unfrequently the shepherd was startled by the blare of trumpets, and, peering out, beheld a cohort, sometimes a legion, in march; and when the glittering crests were gone, and the excitement incident to the intrusion over, he bent himself to evolve the meaning of the eagles and gilded globes of the soldiery, and the charm of a life so the opposite of his own.	As was her habit in those days, Rome did not wait for people slow to inquire about her; she came to them. Over the hills along which he was leading his lagging herd, or in the fastnesses in which he was hiding them, not unfrequently the shepherd was startled by the blare of trumpets, and, peering out, beheld a cohort, sometimes a legion, in march; and when the glittering crests were gone, and the excitement incident to the intrusion over, he bent himself to evolve the meaning of the eagles and gilded globes of the soldiery, and the charm of a life so the opposite of his own.	true	255.56	290.145	18
3972_170212_000012_000000	Yet these men, rude and simple as they were, had a knowledge and a wisdom of their own.	Yet these men, rude and simple as they were, had a knowledge and a wisdom of their own.	true	290.145	295.2	15
3972_170212_000012_000001	On Sabbaths they were accustomed to purify themselves, and go up into the synagogues, and sit on the benches farthest from the ark.	On Sabbaths they were accustomed to purify themselves, and go up into the synagogues, and sit on the benches farthest from the ark.	true	295.2	302.95	20.880983
3972_170212_000012_000002	When the chazzan bore the Torah round, none kissed it with greater zest; when the sheliach read the text, none listened to the interpreter with more absolute faith; and none took away with them more of the elder's sermon, or gave it more thought afterwards.	When the chazzan bore the Torah round, none kissed it with greater zest; when the sheliach read the text, none listened to the interpreter with more absolute faith; and none took away with them more of the elder's sermon, or gave it more thought afterwards.	false	303.11	318.07	19
3972_170212_000012_000003	In a verse of the Shema they found all the learning and all the law of their simple lives--that their Lord was One God, and that they must love him with all their souls. And they loved him, and such was their wisdom, surpassing that of kings.	In a verse of the Shema they found all the learning and all the law of their simple lives-that their Lord was One God, and that they must love him with all their souls. And they loved him, and such was their wisdom, surpassing that of kings.	true	318.2	332.8	19.426266
3972_170212_000013_000000	While they talked, and before the first watch was over, one by one the shepherds went to sleep, each lying where he had sat.	While they talked, and before the first watch was over, one by one the shepherds went to sleep, each lying where he had sat	true	333.05	340.6	21.877523
3972_170212_000014_000000	The night, like most nights of the winter season in the hill country, was clear, crisp, and sparkling with stars.	The night, like most nights of the winter season in the hill country, was clear, crisp, and sparkling with stars.	true	340.79	347.65	19
3972_170212_000014_000001	There was no wind.	There was no wind.	true	347.9	349.33	17.454998
3972_170212_000014_000002	The atmosphere seemed never so pure, and the stillness was more than silence; it was a holy hush, a warning that heaven was stooping low to whisper some good thing to the listening earth.	The atmosphere seemed never so pure, and the stillness was more than silence; it was a holy hush, a warning that heaven was stooping low to whisper some good thing to the listening earth.	true	349.4	360.97	17
3972_170212_000015_000000	By the gate, hugging his mantle close, the watchman walked; at times he stopped, attracted by a stir among the sleeping herds, or by a jackal's cry off on the mountain-side.	By the gate, hugging his mantle close, the watchman walked; at times he stopped, attracted by a stir among the sleeping herds, or by a jackal's cry off on the mountain side.	true	361.43	372.61	21.17152
3972_170212_000015_000001	The midnight was slow coming to him; but at last it came.	The midnight was slow coming to him; but at last it came.	true	372.83	376.6	22.010891
3972_170212_000015_000002	His task was done; now for the dreamless sleep with which labor blesses its wearied children!	His task was done; now for the dreamless sleep with which labor blesses its wearied children!	true	376.67	382.6	21.069504
3972_170212_000015_000003	He moved towards the fire, but paused; a light was breaking around him, soft and white, like the moon's.	He moved towards the fire, but paused; a light was breaking around him, soft and white, like the moon's.	true	382.85	389.5	21
3972_170212_000015_000004	He waited breathlessly. The light deepened; things before invisible came to view; he saw the whole field, and all it sheltered.	He waited breathlessly. The light deepened; things before invisible came to view; he saw the whole field, and all it sheltered.	true	389.72	398.32	20.332273
3972_170212_000015_000005	A chill sharper than that of the frosty air--a chill of fear--smote him.	A chill sharper than that of the frosty air-a chill of fear-smote him.	true	398.42	403.44	21.696861
3972_170212_000015_000006	He looked up; the stars were gone; the light was dropping as from a window in the sky; as he looked, it became a splendor; then, in terror, he cried,	He looked up; the stars were gone; the light was dropping as from a window in the sky; as he looked, it became a splendor; then, in terror, he cried,	true	403.44	412.845	21
3972_170212_000016_000000	"Awake, awake!"	"Awake, awake!"	true	412.845	414.52	29.282238
3972_170212_000017_000000	Up sprang the dogs, and, howling, ran away.	Up sprang the dogs, and, howling, ran away.	true	414.68	417.64	19
3972_170212_000018_000000	The herds rushed together bewildered.	The herds rushed together bewildered.	true	417.68	420.07	18.597977
3972_170212_000019_000000	The men clambered to their feet, weapons in hand.	The men clambered to their feet, weapons in hand.	true	420.08	423.19	22
3972_170212_000020_000000	"What is it?" they asked, in one voice.	"What is it?" they asked, in one voice.	true	423.32	425.68	21.507607
3972_170212_000021_000000	"See!" cried the watchman, "the sky is on fire!"	"See!" cried the watchman, "the sky is on fire!"	true	425.72	429.52	22.297634
3972_170212_000022_000000	Suddenly the light became intolerably bright, and they covered their eyes, and dropped upon their knees; then, as their souls shrank with fear, they fell upon their faces blind and fainting, and would have died had not a voice said to them,	Suddenly the light became intolerably bright, and they covered their eyes, and dropped upon their knees; then, as their souls shrank with fear, they fell upon their faces blind and fainting, and would have died had not a voice said to them,	true	429.8	443.5	19
3972_170212_000023_000000	"Fear not!"	"Fear not!"	true	443.6	444.73	28.513304
3972_170212_000024_000000	And they listened.	And they listened.	true	444.89	446.11	18.267649
3972_170212_000025_000000	"Fear not: for behold, I bring you good tidings of great joy, which shall be to all people."	"Fear not: for behold, I bring you good tidings of great joy, which shall be to all people."	true	446.36	452.02	21
3972_170212_000026_000000	The voice, in sweetness and soothing more than human, and low and clear, penetrated all their being, and filled them with assurance. They rose upon their knees, and, looking worshipfully, beheld in the centre of a great glory the appearance of a man, clad in a robe intensely white; above its shoulders towered the tops of wings shining and folded; a star over its forehead glowed with steady lustre, brilliant as Hesperus; its hands were stretched towards them in blessing; its face was serene and divinely beautiful.	The voice, in sweetness and soothing more than human, and low and clear, penetrated all their being, and filled them with assurance. They rose upon their knees, and, looking worshipfully, beheld in the centre of a great glory the appearance of a man, clad in a robe intensely white; above its shoulders towered the tops of wings shining and folded; a star over its forehead glowed with steady lustre, brilliant as Hesperus; its hands were stretched towards them in blessing; its face was serene and divinely beautiful.	true	452.09	485.83	19
3972_170212_000027_000000	They had often heard, and, in their simple way, talked, of angels; and they doubted not now, but said, in their hearts, The glory of God is about us, and this is he who of old came to the prophet by the river of Ulai.	They had often heard, and, in their simple way, talked, of angels; and they doubted not now, but said, in their hearts, The glory of God is about us, and this is he who of old came to the prophet by the river of Ulai.	false	486.23	500.34	21
3972_170212_000028_000000	Directly the angel continued:	Directly the angel continued:	true	500.34	502.68	23.567833
3972_170212_000029_000000	"For unto you is born this day, in the city of David, a Savior, which is Christ the Lord!"	"For unto you is born this day, in the city of David, a Savior, which is Christ the Lord!"	true	502.68	508.84	20.800594
3972_170212_000030_000000	Again there was a rest, while the words sank into their minds.	Again there was a rest, while the words sank into their minds.	true	509.09	513.13	19
3972_170212_000031_000000	"And this shall be a sign unto you," the annunciator said next. "Ye shall find the babe, wrapped in swaddling-clothes, lying in a manger."	"And this shall be a sign unto you," the annunciator said next. "Ye shall find the babe, wrapped in swaddling clothes, lying in a manger."	true	513.35	522.16	19.643055
3972_170212_000032_000000	The herald spoke not again; his good tidings were told; yet he stayed awhile.	The herald spoke not again; his good tidings were told; yet he stayed awhile.	true	522.35	527.23	19.914438
3972_170212_000032_000001	Suddenly the light, of which he seemed the centre, turned roseate and began to tremble; then up, far as the men could see, there was flashing of white wings, and coming and going of radiant forms, and voices as of a multitude chanting in unison,	Suddenly the light, of which he seemed the centre, turned roseate and began to tremble; then up, far as the men could see, there was flashing of white wings, and coming and going of radiant forms, and voices as of a multitude chanting in unison,	false	527.36	544.23	19
3972_170212_000033_000000	"Glory to God in the highest, and on earth peace, good-will towards men!"	"Glory to God in the highest, and on earth peace, good will towards men!"	true	544.23	549.4	21
3972_170212_000034_000000	Not once the praise, but many times.	Not once the praise, but many times.	true	549.65	552.64	23.333332
3972_170212_000035_000000	Then the herald raised his eyes as seeking approval of one far off; his wings stirred, and spread slowly and majestically, on their upper side white as snow, in the shadow vari-tinted, like mother-of-pearl; when they were expanded many cubits beyond his stature, he arose lightly, and, without effort, floated out of view, taking the light up with him.	Then the herald raised his eyes as seeking approval of one far off; his wings stirred, and spread slowly and majestically, on their upper side white as snow, in the shadow vari tinted, like mother of pearl; when they were expanded many cubits beyond his stature, he arose lightly, and, without effort, floated out of view, taking the light up with him.	true	552.77	576.58	19
3972_170212_000035_000001	Long after he was gone, down from the sky fell the refrain in measure mellowed by distance, "Glory to God in the highest, and on earth peace, good-will towards men."	Long after he was gone, down from the sky fell the refrain in measure mellowed by distance, "Glory to God in the highest, and on earth peace, good will towards men."	true	576.68	587.98	21
3972_170212_000036_000000	When the shepherds came fully to their senses, they stared at each other stupidly, until one of them said, "It was Gabriel, the Lord's messenger unto men."	When the shepherds came fully to their senses, they stared at each other stupidly, until one of them said, "It was Gabriel, the Lord's messenger unto men."	true	588.29	597.16	21
3972_170212_000037_000000	None answered.	None answered.	true	597.35	598.63	19.56241
3972_170212_000038_000000	"Christ the Lord is born; said he not so?"	"Christ the Lord is born; said he not so?"	true	598.82	601.6	21.178782
3972_170212_000039_000000	Then another recovered his voice, and replied, "That is what he said."	Then another recovered his voice, and replied, "That is what he said."	true	601.91	605.86	21.603785
3972_170212_000040_000000	"And did he not also say, in the city of David, which is our Bethlehem yonder.	"And did he not also say, in the city of David, which is our Bethlehem yonder.	true	605.96	610.87	18
3972_170212_000040_000001	And that we should find him a babe in swaddling-clothes?"	And that we should find him a babe in swaddling clothes?"	true	611.03	614.32	20.37266
3972_170212_000041_000000	"And lying in a manger."	"And lying in a manger."	true	614.57	616.24	15.920059
3972_170212_000042_000000	The first speaker gazed into the fire thoughtfully, but at length said, like one possessed of a sudden resolve, "There is but one place in Bethlehem where there are mangers; but one, and that is in the cave near the old khan.	The first speaker gazed into the fire thoughtfully, but at length said, like one possessed of a sudden resolve, "There is but one place in Bethlehem where there are mangers; but one, and that is in the cave near the old khan.	false	616.4	630.04	20
3972_170212_000042_000001	Brethren, let us go see this thing which has come to pass.	Brethren, let us go see this thing which has come to pass.	true	630.32	633.82	20.648218
3972_170212_000042_000002	The priests and doctors have been a long time looking for the Christ.	The priests and doctors have been a long time looking for the Christ.	true	633.92	637.78	23
3972_170212_000042_000003	Now he is born, and the Lord has given us a sign by which to know him.	Now he is born, and the Lord has given us a sign by which to know him.	true	637.85	642.25	19.653084
3972_170212_000042_000004	Let us go up and worship him."	Let us go up and worship him."	true	642.41	644.38	23.526161
3972_170212_000043_000000	"But the flocks!"	"But the flocks!"	true	644.42	645.7	23.697203
3972_170212_000044_000000	"The Lord will take care of them.	"The Lord will take care of them.	true	645.95	647.715	21.367052
3972_170212_000044_000001	Let us make haste."	Let us make haste."	true	647.715	649.09	22.83669
3972_170212_000045_000000	Then they all arose and left the marah.	Then they all arose and left the marah.	true	649.16	651.79	22.493765
3972_170212_000046_000000	Around the mountain and through the town they passed, and came to the gate of the khan, where there was a man on watch.	Around the mountain and through the town they passed, and came to the gate of the khan, where there was a man on watch.	true	651.8	658.42	19
3972_170212_000047_000000	"What would you have?" he asked.	"What would you have?" he asked.	true	658.61	660.58	23.12935
3972_170212_000048_000000	"We have seen and heard great things to-night," they replied.	"We have seen and heard great things to night," they replied.	true	660.77	664.45	22.934494
3972_170212_000049_000000	"Well, we, too, have seen great things, but heard nothing.	"Well, we, too, have seen great things, but heard nothing.	true	664.55	667.935	18
3972_170212_000049_000001	What did you hear?"	What did you hear?"	true	667.935	669.07	20.409199
3972_170212_000050_000000	"Let us go down to the cave in the enclosure, that we may be sure; then we will tell you all.	"Let us go down to the cave in the enclosure, that we may be sure; then we will tell you all.	true	669.2	674.89	21.0116
3972_170212_000050_000001	Come with us, and see for yourself."	Come with us, and see for yourself."	true	674.9	677.23	20.965845
3972_170212_000051_000000	"It is a fool's errand."	"It is a fool's errand."	true	677.33	679.06	20.025852
3972_170212_000052_000000	"No, the Christ is born."	"No, the Christ is born."	true	679.22	681.61	21.802374
3972_170212_000053_000000	"The Christ!	"The Christ!	true	681.62	682.695	22.045803
3972_170212_000053_000001	How do you know?"	How do you know?"	true	682.695	683.83	24.332596
3972_170212_000054_000000	"Let us go and see first."	"Let us go and see first."	true	684.08	686.05	26.870657
3972_170212_000055_000000	The man laughed scornfully.	The man laughed scornfully.	true	686.15	688.08	23
3972_170212_000056_000000	"The Christ indeed!	"The Christ indeed!	true	688.08	689.625	21.88272
3972_170212_000056_000001	How are you to know him?"	How are you to know him?"	true	689.625	691.21	20.169004
3972_170212_000057_000000	"He was born this night, and is now lying in a manger, so we were told; and there is but one place in Bethlehem with mangers."	"He was born this night, and is now lying in a manger, so we were told; and there is but one place in Bethlehem with mangers."	false	691.4	699.81	20.777111
3972_170212_000058_000000	"The cave?"	"The cave?"	true	699.81	700.785	24.199734
3972_170212_000059_000000	"Yes.	"Yes.	true	700.785	701.535	22.270863
3972_170212_000059_000001	Come with us."	Come with us."	true	701.535	702.7	25.30143
3972_170212_000060_000000	They went through the court-yard without notice, although there were some up even then talking about the wonderful light.	They went through the court yard without notice, although there were some up even then talking about the wonderful light.	true	702.86	709.29	20
3972_170212_000060_000001	The door of the cavern was open.	The door of the cavern was open.	true	709.29	711.4	21.735271
3972_170212_000060_000002	A lantern was burning within, and they entered unceremoniously.	A lantern was burning within, and they entered unceremoniously.	true	711.47	715.42	15
3972_170212_000061_000000	"I give you peace," the watchman said to Joseph and the Beth Dagonite.	"I give you peace," the watchman said to Joseph and the Beth Dagonite.	true	715.85	720.31	22
3972_170212_000061_000001	"Here are people looking for a child born this night, whom they are to know by finding him in swaddling-clothes and lying in a manger."	"Here are people looking for a child born this night, whom they are to know by finding him in swaddling clothes and lying in a manger."	true	720.59	728.62	18
3972_170212_000062_000000	For a moment the face of the stolid Nazarene was moved; turning away, he said, "The child is here."	For a moment the face of the stolid Nazarene was moved; turning away, he said, "The child is here."	true	728.81	735.46	19.950802
3972_170212_000063_000000	They were led to one of the mangers, and there the child was.	They were led to one of the mangers, and there the child was.	false	735.71	739.24	18
3972_170212_000063_000001	The lantern was brought, and the shepherds stood by mute.	The lantern was brought, and the shepherds stood by mute.	false	739.49	742.99	21
3972_170212_000063_000002	The little one made no sign; it was as others just born.	The little one made no sign; it was as others just born.	true	743.15	747.28	18.656755
3972_170212_000064_000000	"Where is the mother?" asked the watchman.	"Where is the mother?" asked the watchman.	true	747.38	749.8	19.882236
3972_170212_000065_000000	One of the women took the baby, and went to Mary, lying near, and put it in her arms.	One of the women took the baby, and went to Mary, lying near, and put it in her arms.	true	750.05	755.44	19
3972_170212_000065_000001	Then the bystanders collected about the two.	Then the bystanders collected about the two.	true	755.57	758.38	23.393196
3972_170212_000066_000000	"It is the Christ!" said a shepherd, at last.	"It is the Christ!" said a shepherd, at last.	true	758.6	761.77	21.791233
3972_170212_000067_000000	"The Christ!" they all repeated, falling upon their knees in worship. One of them repeated several times over,	"The Christ!" they all repeated, falling upon their knees in worship. One of them repeated several times over,	true	761.84	769	21.390484
3972_170212_000068_000000	"It is the Lord, and his glory is above the earth and heaven."	"It is the Lord, and his glory is above the earth and heaven."	true	769.01	772.87	19.103714
3972_170212_000069_000000	And the simple men, never doubting, kissed the hem of the mother's robe, and with joyful faces departed.	And the simple men, never doubting, kissed the hem of the mother's robe, and with joyful faces departed.	true	772.97	779.59	19.622787
3972_170212_000069_000001	In the khan, to all the people aroused and pressing about them, they told their story; and through the town, and all the way back to the marah, they chanted the refrain of the angels, "Glory to God in the highest, and on earth peace, good-will towards men!"	In the khan, to all the people aroused and pressing about them, they told their story; and through the town, and all the way back to the marah, they chanted the refrain of the angels, "Glory to God in the highest, and on earth peace, good will towards men!"	true	779.63	794.74	20
3972_170212_000070_000000	The story went abroad, confirmed by the light so generally seen; and the next day, and for days thereafter, the cave was visited by curious crowds, of whom some believed, though the greater part laughed and mocked.	The story went abroad, confirmed by the light so generally seen; and the next day, and for days thereafter, the cave was visited by curious crowds, of whom some believed, though the greater part laughed and mocked.	false	794.84	815.04	20.481806
