1365_134830_000000_000000	Fantine's hand was hanging over the side of the bed.	Fantine's hand was hanging over the side of the bed.	false	2.76	6.21	19.058376
1365_134830_000006_000003	"His name was not Madeleine at all; he had a frightful name, Bejean, Bojean, Boujean." "Ah!	"His name was not Madeleine at all; he had a frightful name, Bejean, Bojean, Boujean." "Ah!	false	78.08	85.5	20.156727
1365_134830_000006_000004	Good God!" "He has been arrested." "Arrested!"	Good God!" "He has been arrested." "Arrested!"	true	85.5	89.11	22.410017
1365_134830_000006_000005	"In prison, in the city prison, while waiting to be transferred." "Until he is transferred!" "He is to be transferred!" "Where is he to be taken?" "He will be tried at the Assizes for a highway robbery which he committed long ago." "Well!	"In prison, in the city prison, while waiting to be transferred." "Until he is transferred!" "He is to be transferred!" "Where is he to be taken?" "He will be tried at the Assizes for a highway robbery which he committed long ago." "Well!	true	89.15	103.74	20.619099
1365_134830_000006_000006	I suspected as much.	I suspected as much.	true	103.74	105.67	24
1365_134830_000006_000007	That man was too good, too perfect, too affected. He refused the cross; he bestowed sous on all the little scamps he came across.	That man was too good, too perfect, too affected. He refused the cross; he bestowed sous on all the little scamps he came across.	true	105.8	115.39	20.950397
1365_134830_000006_000008	I always thought there was some evil history back of all that."	I always thought there was some evil history back of all that."	true	115.4	119.05	21.468525
1365_134830_000007_000000	The "drawing-rooms" particularly abounded in remarks of this nature.	The "drawing rooms" particularly abounded in remarks of this nature.	true	120.23	124.51	14
1365_134830_000008_000000	One old lady, a subscriber to the Drapeau Blanc, made the following remark, the depth of which it is impossible to fathom:--	One old lady, a subscriber to the Drapeau Blanc, made the following remark, the depth of which it is impossible to fathom:--	true	125.66	133.66	20
1365_134830_000009_000000	"I am not sorry.	"I am not sorry.	true	134.09	135.52	19.79019
1365_134830_000009_000001	It will be a lesson to the Bonapartists!"	It will be a lesson to the Bonapartists!"	true	135.53	137.77	21
1365_134830_000010_000000	It was thus that the phantom which had been called M. Madeleine vanished from M. sur M. Only three or four persons in all the town remained faithful to his memory.	It was thus that the phantom which had been called m Madeleine vanished from m sur m Only three or four persons in all the town remained faithful to his memory.	false	138.8	149.38	17.504072
1365_134830_000010_000001	The old portress who had served him was among the number.	The old portress who had served him was among the number.	true	149.75	153.04	19
1365_134830_000011_000000	On the evening of that day the worthy old woman was sitting in her lodge, still in a thorough fright, and absorbed in sad reflections. The factory had been closed all day, the carriage gate was bolted, the street was deserted.	On the evening of that day the worthy old woman was sitting in her lodge, still in a thorough fright, and absorbed in sad reflections. The factory had been closed all day, the carriage gate was bolted, the street was deserted.	false	153.74	168.82	20.09012
1365_134830_000011_000001	There was no one in the house but the two nuns, Sister Perpetue and Sister Simplice, who were watching beside the body of Fantine.	There was no one in the house but the two nuns, Sister Perpetue and Sister Simplice, who were watching beside the body of Fantine.	false	169.07	178.18	20.600128
1365_134830_000012_000000	Towards the hour when M. Madeleine was accustomed to return home, the good portress rose mechanically, took from a drawer the key of M. Madeleine's chamber, and the flat candlestick which he used every evening to go up to his quarters; then she hung the key on the nail whence he was accustomed to take it, and set the candlestick on one side, as though she was expecting him.	Towards the hour when m Madeleine was accustomed to return home, the good portress rose mechanically, took from a drawer the key of m Madeleine's chamber, and the flat candlestick which he used every evening to go up to his quarters; then she hung the key on the nail whence he was accustomed to take it, and set the candlestick on one side, as though she was expecting him.	false	180.08	201.43	17
1365_134830_000012_000001	Then she sat down again on her chair, and became absorbed in thought once more.	Then she sat down again on her chair, and became absorbed in thought once more.	false	201.8	207.54	19.233566
1365_134830_000012_000002	The poor, good old woman had done all this without being conscious of it.	The poor, good old woman had done all this without being conscious of it.	true	207.54	213.16	19.279728
1365_134830_000013_000000	It was only at the expiration of two hours that she roused herself from her revery, and exclaimed, "Hold!	It was only at the expiration of two hours that she roused herself from her revery, and exclaimed, "Hold!	true	213.86	220.74	21
1365_134830_000013_000001	My good God Jesus!	My good God Jesus!	false	220.74	221.82	20.371664
1365_134830_000013_000002	And I hung his key on the nail!"	And I hung his key on the nail!"	false	221.82	223.9	16.424417
1365_134830_000014_000000	At that moment the small window in the lodge opened, a hand passed through, seized the key and the candlestick, and lighted the taper at the candle which was burning there.	At that moment the small window in the lodge opened, a hand passed through, seized the key and the candlestick, and lighted the taper at the candle which was burning there.	true	224.78	235.45	21.289812
1365_134830_000015_000000	The portress raised her eyes, and stood there with gaping mouth, and a shriek which she confined to her throat.	The portress raised her eyes, and stood there with gaping mouth, and a shriek which she confined to her throat.	true	235.91	242.83	21
1365_134830_000016_000000	She knew that hand, that arm, the sleeve of that coat.	She knew that hand, that arm, the sleeve of that coat.	true	243.29	247.69	18.284946
1365_134830_000017_000000	It was M. Madeleine.	It was m Madeleine.	false	247.97	249.73	14
1365_134830_000018_000000	It was several seconds before she could speak; she had a seizure, as she said herself, when she related the adventure afterwards.	It was several seconds before she could speak; she had a seizure, as she said herself, when she related the adventure afterwards.	true	250.91	258.34	18
1365_134830_000019_000000	"Good God, Monsieur le Maire," she cried at last, "I thought you were--"	"Good God, Monsieur le Maire," she cried at last, "I thought you were-"	false	258.8	263.38	19.284151
1365_134830_000020_000000	She stopped; the conclusion of her sentence would have been lacking in respect towards the beginning.	She stopped; the conclusion of her sentence would have been lacking in respect towards the beginning.	true	264.11	269.68	20
1365_134830_000020_000001	Jean Valjean was still Monsieur le Maire to her.	Jean Valjean was still Monsieur le Maire to her.	true	270.23	273.52	18.810669
1365_134830_000021_000000	He finished her thought.	He finished her thought.	true	274.34	275.77	24.030767
1365_134830_000022_000000	"In prison," said he.	"In prison," said he.	true	277.16	279.43	17.03346
1365_134830_000022_000001	"I was there; I broke a bar of one of the windows; I let myself drop from the top of a roof, and here I am.	"I was there; I broke a bar of one of the windows; I let myself drop from the top of a roof, and here I am.	true	279.71	286.24	20.417791
1365_134830_000022_000002	I am going up to my room; go and find Sister Simplice for me.	I am going up to my room; go and find Sister Simplice for me.	true	286.52	290.53	14
1365_134830_000022_000003	She is with that poor woman, no doubt."	She is with that poor woman, no doubt."	true	290.78	293.2	17
1365_134830_000023_000000	The old woman obeyed in all haste.	The old woman obeyed in all haste.	true	293.69	296.445	17.272642
1365_134830_000024_000000	He gave her no orders; he was quite sure that she would guard him better than he should guard himself.	He gave her no orders; he was quite sure that she would guard him better than he should guard himself.	true	296.445	302.29	19
1365_134830_000025_000000	No one ever found out how he had managed to get into the courtyard without opening the big gates.	No one ever found out how he had managed to get into the courtyard without opening the big gates.	true	302.99	308.44	17
1365_134830_000025_000001	He had, and always carried about him, a pass-key which opened a little side-door; but he must have been searched, and his latch-key must have been taken from him.	He had, and always carried about him, a pass key which opened a little side door; but he must have been searched, and his latch key must have been taken from him.	true	308.72	318.19	19.92535
1365_134830_000025_000002	This point was never explained.	This point was never explained.	true	318.44	320.44	18
1365_134830_000026_000000	He ascended the staircase leading to his chamber.	He ascended the staircase leading to his chamber.	true	321.02	323.89	19
1365_134830_000026_000001	On arriving at the top, he left his candle on the top step of his stairs, opened his door with very little noise, went and closed his window and his shutters by feeling, then returned for his candle and re-entered his room.	On arriving at the top, he left his candle on the top step of his stairs, opened his door with very little noise, went and closed his window and his shutters by feeling, then returned for his candle and re-entered his room.	true	324.02	336.43	17
1365_134830_000027_000000	It was a useful precaution; it will be recollected that his window could be seen from the street.	It was a useful precaution; it will be recollected that his window could be seen from the street.	true	336.86	342.28	18
1365_134830_000028_000000	He cast a glance about him, at his table, at his chair, at his bed which had not been disturbed for three days.	He cast a glance about him, at his table, at his chair, at his bed which had not been disturbed for three days.	true	342.8	349.51	18
1365_134830_000028_000001	No trace of the disorder of the night before last remained.	No trace of the disorder of the night before last remained.	true	349.91	353.41	17
1365_134830_000028_000002	The portress had "done up" his room; only she had picked out of the ashes and placed neatly on the table the two iron ends of the cudgel and the forty-sou piece which had been blackened by the fire.	The portress had "done up" his room; only she had picked out of the ashes and placed neatly on the table the two iron ends of the cudgel and the forty sou piece which had been blackened by the fire.	false	353.6	365.02	20.831976
1365_134830_000029_000000	He took a sheet of paper, on which he wrote: "These are the two tips of my iron-shod cudgel and the forty-sou piece stolen from Little Gervais, which I mentioned at the Court of Assizes," and he arranged this piece of paper, the bits of iron, and the coin in such a way that they were the first things to be seen on entering the room.	He took a sheet of paper, on which he wrote: "These are the two tips of my iron shod cudgel and the forty sou piece stolen from Little Gervais, which I mentioned at the Court of Assizes," and he arranged this piece of paper, the bits of iron, and the coin in such a way that they were the first things to be seen on entering the room.	false	366.02	386.53	20.382893
1365_134830_000029_000001	From a cupboard he pulled out one of his old shirts, which he tore in pieces.	From a cupboard he pulled out one of his old shirts, which he tore in pieces.	true	387.17	391.18	20
1365_134830_000029_000002	In the strips of linen thus prepared he wrapped the two silver candlesticks.	In the strips of linen thus prepared he wrapped the two silver candlesticks.	true	391.61	396.64	20.182287
1365_134830_000029_000003	He betrayed neither haste nor agitation; and while he was wrapping up the Bishop's candlesticks, he nibbled at a piece of black bread.	He betrayed neither haste nor agitation; and while he was wrapping up the Bishop's candlesticks, he nibbled at a piece of black bread.	true	396.68	404.86	20
1365_134830_000029_000004	It was probably the prison-bread which he had carried with him in his flight.	It was probably the prison bread which he had carried with him in his flight.	true	405.08	408.97	15
1365_134830_000030_000000	This was proved by the crumbs which were found on the floor of the room when the authorities made an examination later on.	This was proved by the crumbs which were found on the floor of the room when the authorities made an examination later on.	true	410.06	416.11	12
1365_134830_000031_000000	There came two taps at the door.	There came two taps at the door.	true	416.99	419.08	24.002369
1365_134830_000032_000000	"Come in," said he.	"Come in," said he.	true	420.35	422.17	17
1365_134830_000033_000000	It was Sister Simplice.	It was Sister Simplice.	false	422.54	425.34	19.53867
1365_134830_000034_000000	She was pale; her eyes were red; the candle which she carried trembled in her hand.	She was pale; her eyes were red; the candle which she carried trembled in her hand.	true	425.34	431.17	20.068176
1365_134830_000034_000001	The peculiar feature of the violences of destiny is, that however polished or cool we may be, they wring human nature from our very bowels, and force it to reappear on the surface.	The peculiar feature of the violences of destiny is, that however polished or cool we may be, they wring human nature from our very bowels, and force it to reappear on the surface.	true	431.42	442.27	20
1365_134830_000034_000002	The emotions of that day had turned the nun into a woman once more.	The emotions of that day had turned the nun into a woman once more.	true	442.79	446.98	16
1365_134830_000034_000003	She had wept, and she was trembling.	She had wept, and she was trembling.	true	447.26	449.68	16
1365_134830_000035_000000	Jean Valjean had just finished writing a few lines on a paper, which he handed to the nun, saying, "Sister, you will give this to Monsieur le Cure."	Jean Valjean had just finished writing a few lines on a paper, which he handed to the nun, saying, "Sister, you will give this to Monsieur le Cure."	true	450.68	459.82	19.470358
1365_134830_000036_000000	The paper was not folded.	The paper was not folded.	true	460.97	462.78	23.52171
1365_134830_000036_000001	She cast a glance upon it.	She cast a glance upon it.	true	462.78	464.56	18
1365_134830_000037_000000	"You can read it," said he.	"You can read it," said he.	true	465.2	467.38	16.67011
1365_134830_000038_000000	She read:--	She read:--	true	467.75	468.7	20.73674
1365_134830_000039_000000	"I beg Monsieur le Cure to keep an eye on all that I leave behind me.	"I beg Monsieur le Cure to keep an eye on all that I leave behind me.	true	469.28	473.32	15
1365_134830_000039_000001	He will be so good as to pay out of it the expenses of my trial, and of the funeral of the woman who died yesterday.	He will be so good as to pay out of it the expenses of my trial, and of the funeral of the woman who died yesterday.	true	473.6	480.88	18
1365_134830_000039_000002	The rest is for the poor."	The rest is for the poor."	true	481.07	482.71	13
1365_134830_000040_000000	The sister tried to speak, but she only managed to stammer a few inarticulate sounds.	The sister tried to speak, but she only managed to stammer a few inarticulate sounds.	true	484.16	490.09	21.62968
1365_134830_000040_000001	She succeeded in saying, however:--	She succeeded in saying, however:--	true	490.46	492.58	14
1365_134830_000041_000000	"Does not Monsieur le Maire desire to take a last look at that poor, unhappy woman?"	"Does not Monsieur le Maire desire to take a last look at that poor, unhappy woman?"	true	493.4	498.55	14
1365_134830_000042_000000	"No," said he; "I am pursued; it would only end in their arresting me in that room, and that would disturb her."	"No," said he; "I am pursued; it would only end in their arresting me in that room, and that would disturb her."	true	499.19	506.53	18.787912
1365_134830_000043_000000	He had hardly finished when a loud noise became audible on the staircase.	He had hardly finished when a loud noise became audible on the staircase.	true	507.74	511.87	14
1365_134830_000043_000001	They heard a tumult of ascending footsteps, and the old portress saying in her loudest and most piercing tones:--	They heard a tumult of ascending footsteps, and the old portress saying in her loudest and most piercing tones:--	true	512.21	518.59	18
1365_134830_000044_000000	"My good sir, I swear to you by the good God, that not a soul has entered this house all day, nor all the evening, and that I have not even left the door."	"My good sir, I swear to you by the good God, that not a soul has entered this house all day, nor all the evening, and that I have not even left the door."	true	518.87	527.32	17
1365_134830_000045_000000	A man responded:--	A man responded:--	true	527.99	529.36	23.672192
1365_134830_000046_000000	"But there is a light in that room, nevertheless."	"But there is a light in that room, nevertheless."	false	529.61	532.24	14
1365_134830_000047_000000	They recognized Javert's voice.	They recognized Javert's voice.	false	533.15	535.39	19
1365_134830_000048_000000	The chamber was so arranged that the door in opening masked the corner of the wall on the right.	The chamber was so arranged that the door in opening masked the corner of the wall on the right.	true	536	541.18	16
1365_134830_000048_000001	Jean Valjean blew out the light and placed himself in this angle.	Jean Valjean blew out the light and placed himself in this angle.	true	541.31	544.96	18
1365_134830_000048_000002	Sister Simplice fell on her knees near the table.	Sister Simplice fell on her knees near the table.	true	545.21	548.11	16
1365_134830_000049_000000	The door opened.	The door opened.	true	548.66	549.885	29.924236
1365_134830_000050_000000	Javert entered.	Javert entered.	true	549.885	551.23	20.235504
1365_134830_000051_000000	The whispers of many men and the protestations of the portress were audible in the corridor.	The whispers of many men and the protestations of the portress were audible in the corridor.	true	551.78	556.9	19
1365_134830_000052_000000	The nun did not raise her eyes.	The nun did not raise her eyes.	true	557.42	559.42	16.602976
1365_134830_000052_000001	She was praying.	She was praying.	true	559.64	560.95	17
1365_134830_000053_000000	The candle was on the chimney-piece, and gave but very little light.	The candle was on the chimney piece, and gave but very little light.	false	561.68	565.42	20.1228
1365_134830_000054_000000	Javert caught sight of the nun and halted in amazement.	Javert caught sight of the nun and halted in amazement.	true	565.94	569.08	17
1365_134830_000055_000000	It will be remembered that the fundamental point in Javert, his element, the very air he breathed, was veneration for all authority.	It will be remembered that the fundamental point in Javert, his element, the very air he breathed, was veneration for all authority.	true	569.81	578.14	20.981949
1365_134830_000055_000001	This was impregnable, and admitted of neither objection nor restriction.	This was impregnable, and admitted of neither objection nor restriction.	true	578.66	583.36	21
1365_134830_000055_000002	In his eyes, of course, the ecclesiastical authority was the chief of all; he was religious, superficial and correct on this point as on all others. In his eyes, a priest was a mind, who never makes a mistake; a nun was a creature who never sins; they were souls walled in from this world, with a single door which never opened except to allow the truth to pass through.	In his eyes, of course, the ecclesiastical authority was the chief of all; he was religious, superficial and correct on this point as on all others. In his eyes, a priest was a mind, who never makes a mistake; a nun was a creature who never sins; they were souls walled in from this world, with a single door which never opened except to allow the truth to pass through.	true	583.49	608.74	20.761078
1365_134830_000056_000000	On perceiving the sister, his first movement was to retire.	On perceiving the sister, his first movement was to retire.	true	609.08	612.85	20
1365_134830_000057_000000	But there was also another duty which bound him and impelled him imperiously in the opposite direction.	But there was also another duty which bound him and impelled him imperiously in the opposite direction.	true	613.85	620.08	20
1365_134830_000057_000001	His second movement was to remain and to venture on at least one question.	His second movement was to remain and to venture on at least one question.	true	620.36	625.24	19
1365_134830_000058_000000	This was Sister Simplice, who had never told a lie in her life.	This was Sister Simplice, who had never told a lie in her life.	true	626.81	631.51	22.077574
1365_134830_000058_000001	Javert knew it, and held her in special veneration in consequence.	Javert knew it, and held her in special veneration in consequence.	true	631.58	635.89	21
1365_134830_000059_000000	"Sister," said he, "are you alone in this room?"	"Sister," said he, "are you alone in this room?"	true	636.59	640.72	17.299543
1365_134830_000060_000000	A terrible moment ensued, during which the poor portress felt as though she should faint.	A terrible moment ensued, during which the poor portress felt as though she should faint.	true	642.08	647.29	20
1365_134830_000061_000000	The sister raised her eyes and answered:--	The sister raised her eyes and answered:--	true	647.45	649.72	13
1365_134830_000062_000000	"Yes."	"Yes."	true	650.06	650.77	17
1365_134830_000063_000000	"Then," resumed Javert, "you will excuse me if I persist; it is my duty; you have not seen a certain person--a man--this evening?	"Then," resumed Javert, "you will excuse me if I persist; it is my duty; you have not seen a certain person-a man-this evening?	true	651.53	660.58	20.224277
1365_134830_000063_000001	He has escaped; we are in search of him--that Jean Valjean; you have not seen him?"	He has escaped; we are in search of him-that Jean Valjean; you have not seen him?"	true	660.86	666.19	20.546242
1365_134830_000064_000000	The sister replied:--	The sister replied:--	true	666.86	668.865	20.864273
1365_134830_000065_000000	"No."	"no"	true	668.865	670.15	19.141697
1365_134830_000066_000000	She lied.	She lied.	true	670.76	671.8	18.03661
1365_134830_000066_000001	She had lied twice in succession, one after the other, without hesitation, promptly, as a person does when sacrificing herself.	She had lied twice in succession, one after the other, without hesitation, promptly, as a person does when sacrificing herself.	true	672.17	681.04	20.108685
1365_134830_000067_000000	"Pardon me," said Javert, and he retired with a deep bow.	"Pardon me," said Javert, and he retired with a deep bow.	true	682.1	686.52	19.13129
1365_134830_000068_000000	O sainted maid! you left this world many years ago; you have rejoined your sisters, the virgins, and your brothers, the angels, in the light; may this lie be counted to your credit in paradise!	O sainted maid! you left this world many years ago; you have rejoined your sisters, the virgins, and your brothers, the angels, in the light; may this lie be counted to your credit in paradise!	false	686.52	699.34	20.26581
1365_134830_000069_000000	The sister's affirmation was for Javert so decisive a thing that he did not even observe the singularity of that candle which had but just been extinguished, and which was still smoking on the table.	The sister's affirmation was for Javert so decisive a thing that he did not even observe the singularity of that candle which had but just been extinguished, and which was still smoking on the table.	true	700.16	711.76	18
1365_134830_000070_000000	An hour later, a man, marching amid trees and mists, was rapidly departing from M. sur M. in the direction of Paris.	An hour later, a man, marching amid trees and mists, was rapidly departing from m sur m in the direction of Paris.	false	712.46	721.21	21
1365_134830_000070_000001	That man was Jean Valjean.	That man was Jean Valjean.	true	721.55	723.52	14.33297
1365_134830_000070_000002	It has been established by the testimony of two or three carters who met him, that he was carrying a bundle; that he was dressed in a blouse.	It has been established by the testimony of two or three carters who met him, that he was carrying a bundle; that he was dressed in a blouse.	true	724.13	731.83	21
1365_134830_000070_000003	Where had he obtained that blouse?	Where had he obtained that blouse?	true	732.35	734.41	20.999197
1365_134830_000070_000004	No one ever found out. But an aged workman had died in the infirmary of the factory a few days before, leaving behind him nothing but his blouse.	No one ever found out. But an aged workman had died in the infirmary of the factory a few days before, leaving behind him nothing but his blouse.	true	734.54	743.92	20.69585
1365_134830_000070_000005	Perhaps that was the one.	Perhaps that was the one.	true	744.26	745.93	22
1365_134830_000071_000000	One last word about Fantine.	One last word about Fantine.	true	747.2	749.62	21.472887
1365_134830_000072_000000	We all have a mother,--the earth.	We all have a mother,--the earth.	true	750.29	753.405	20.367733
1365_134830_000072_000001	Fantine was given back to that mother.	Fantine was given back to that mother.	true	753.405	755.83	22
1365_134830_000073_000000	The cure thought that he was doing right, and perhaps he really was, in reserving as much money as possible from what Jean Valjean had left for the poor.	The cure thought that he was doing right, and perhaps he really was, in reserving as much money as possible from what Jean Valjean had left for the poor.	false	757.19	765.94	19
1365_134830_000073_000001	Who was concerned, after all?	Who was concerned, after all?	true	766.4	768.25	20.32928
1365_134830_000073_000002	A convict and a woman of the town.	A convict and a woman of the town.	true	768.38	770.56	20.670465
1365_134830_000073_000003	That is why he had a very simple funeral for Fantine, and reduced it to that strictly necessary form known as the pauper's grave.	That is why he had a very simple funeral for Fantine, and reduced it to that strictly necessary form known as the pauper's grave.	true	770.72	779.14	20
1365_134830_000074_000000	So Fantine was buried in the free corner of the cemetery which belongs to anybody and everybody, and where the poor are lost.	So Fantine was buried in the free corner of the cemetery which belongs to anybody and everybody, and where the poor are lost.	true	779.78	788.26	19
1365_134830_000074_000001	Fortunately, God knows where to find the soul again.	Fortunately, God knows where to find the soul again.	true	788.96	792.61	19.840998
1365_134830_000074_000002	Fantine was laid in the shade, among the first bones that came to hand; she was subjected to the promiscuousness of ashes.	Fantine was laid in the shade, among the first bones that came to hand; she was subjected to the promiscuousness of ashes.	true	792.89	801.49	19
1365_134830_000074_000003	She was thrown into the public grave.	She was thrown into the public grave.	true	801.77	804.28	22.727505
1365_134830_000074_000004	Her grave resembled her bed.	Her grave resembled her bed.	true	804.71	807.12	20.409746
1365_134830_000075_000000	[THE END OF VOLUME I. "FANTINE"]	[THE END OF VOLUME one "FANTINE"]	false	807.12	810.96	17.705347
1365_134830_000076_000000	[Illustration: Frontispiece Volume Two 2frontispiece]	[Illustration: Frontispiece Volume Two two frontispiece]	false	810.96	811.59	-20
1365_134830_000077_000000	[Illustration: Titlepage Volume Two 2titlepage]	[Illustration: Titlepage Volume Two two titlepage]	false	811.59	812.19	54
1365_134830_000078_000000	VOLUME II.--COSETTE	VOLUME two.--COSETTE	false	812.19	812.52	12
1365_134830_000079_000000	BOOK FIRST.--WATERLOO	BOOK FIRST.--WATERLOO	false	812.52	814.86	20.507353
1365_134830_000080_000000	CHAPTER I--WHAT IS MET WITH ON THE WAY FROM NIVELLES	CHAPTER one-WHAT IS MET WITH ON THE WAY FROM n i v e l l e s	false	814.86	816.84	16.206144
