1365_134830_000006_000004	Good God!" "He has been arrested." "Arrested!"	Good God!" "He has been arrested." "Arrested!"
1365_134830_000055_000001	This was impregnable, and admitted of neither objection nor restriction.	This was impregnable, and admitted of neither objection nor restriction.
1365_134830_000055_000002	In his eyes, of course, the ecclesiastical authority was the chief of all; he was religious, superficial and correct on this point as on all others. In his eyes, a priest was a mind, who never makes a mistake; a nun was a creature who never sins; they were souls walled in from this world, with a single door which never opened except to allow the truth to pass through.	In his eyes, of course, the ecclesiastical authority was the chief of all; he was religious, superficial and correct on this point as on all others. In his eyes, a priest was a mind, who never makes a mistake; a nun was a creature who never sins; they were souls walled in from this world, with a single door which never opened except to allow the truth to pass through.
1365_134830_000056_000000	On perceiving the sister, his first movement was to retire.	On perceiving the sister, his first movement was to retire.
1365_134830_000057_000000	But there was also another duty which bound him and impelled him imperiously in the opposite direction.	But there was also another duty which bound him and impelled him imperiously in the opposite direction.
1365_134830_000058_000000	This was Sister Simplice, who had never told a lie in her life.	This was Sister Simplice, who had never told a lie in her life.
1365_134830_000058_000001	Javert knew it, and held her in special veneration in consequence.	Javert knew it, and held her in special veneration in consequence.
1365_134830_000060_000000	A terrible moment ensued, during which the poor portress felt as though she should faint.	A terrible moment ensued, during which the poor portress felt as though she should faint.
1365_134830_000063_000000	"Then," resumed Javert, "you will excuse me if I persist; it is my duty; you have not seen a certain person--a man--this evening?	"Then," resumed Javert, "you will excuse me if I persist; it is my duty; you have not seen a certain person-a man-this evening?
1365_134830_000063_000001	He has escaped; we are in search of him--that Jean Valjean; you have not seen him?"	He has escaped; we are in search of him-that Jean Valjean; you have not seen him?"
1365_134830_000064_000000	The sister replied:--	The sister replied:--
1365_134830_000066_000001	She had lied twice in succession, one after the other, without hesitation, promptly, as a person does when sacrificing herself.	She had lied twice in succession, one after the other, without hesitation, promptly, as a person does when sacrificing herself.
1365_134830_000070_000002	It has been established by the testimony of two or three carters who met him, that he was carrying a bundle; that he was dressed in a blouse.	It has been established by the testimony of two or three carters who met him, that he was carrying a bundle; that he was dressed in a blouse.
1365_134830_000070_000003	Where had he obtained that blouse?	Where had he obtained that blouse?
1365_134830_000070_000004	No one ever found out. But an aged workman had died in the infirmary of the factory a few days before, leaving behind him nothing but his blouse.	No one ever found out. But an aged workman had died in the infirmary of the factory a few days before, leaving behind him nothing but his blouse.
1365_134830_000070_000005	Perhaps that was the one.	Perhaps that was the one.
1365_134830_000071_000000	One last word about Fantine.	One last word about Fantine.
1365_134830_000072_000000	We all have a mother,--the earth.	We all have a mother,--the earth.
1365_134830_000072_000001	Fantine was given back to that mother.	Fantine was given back to that mother.
1365_134830_000073_000001	Who was concerned, after all?	Who was concerned, after all?
1365_134830_000073_000002	A convict and a woman of the town.	A convict and a woman of the town.
1365_134830_000073_000003	That is why he had a very simple funeral for Fantine, and reduced it to that strictly necessary form known as the pauper's grave.	That is why he had a very simple funeral for Fantine, and reduced it to that strictly necessary form known as the pauper's grave.
1365_134830_000074_000003	She was thrown into the public grave.	She was thrown into the public grave.
1365_134830_000074_000004	Her grave resembled her bed.	Her grave resembled her bed.
