7995_280250_000001_000000	III	three
7995_280250_000008_000000	To know the world you must stand apart from it and above it; you must look down on it."	To know the world you must stand apart from it and above it; you must look down on it."
7995_280250_000009_000000	"Well, then," said I, "you will have to find some secret spring of inspiration, some point of vantage from which you can get your outlook and your insight."	"Well, then," said I, "you will have to find some secret spring of inspiration, some point of vantage from which you can get your outlook and your insight."
7995_280250_000010_000000	He stopped short and looked me full in the face.	He stopped short and looked me full in the face.
7995_280250_000011_000000	"And that," cried he, "is precisely what I have found!"	"And that," cried he, "is precisely what I have found!"
7995_280250_000012_000001	After a few minutes we came to a little stream, flowing through a grove of hemlocks.	After a few minutes we came to a little stream, flowing through a grove of hemlocks.
7995_280250_000013_000000	"I promised to give you an explanation to-day--to take you on one of my long walks.	"I promised to give you an explanation to day-to take you on one of my long walks.
7995_280250_000013_000002	It is always the same.	It is always the same.
7995_280250_000013_000007	I have been doubtful, troubled, almost distracted.	I have been doubtful, troubled, almost distracted.
7995_280250_000013_000009	But it could not be helped.	But it could not be helped.
7995_280250_000013_000010	The risk was worth while.	The risk was worth while.
7995_280250_000013_000012	I simply could not throw it away.	I simply could not throw it away.
7995_280250_000013_000015	But you must judge fairly, without haste, without prejudice.	But you must judge fairly, without haste, without prejudice.
7995_280250_000013_000016	I ask you to make me one promise.	I ask you to make me one promise.
7995_280250_000013_000017	You will suspend judgment, you will say nothing, you will keep my secret, until you have been with me three times at the place where I am now taking you."	You will suspend judgment, you will say nothing, you will keep my secret, until you have been with me three times at the place where I am now taking you."
7995_280250_000014_000000	By this time it was clear to me that I had to do with a case lying far outside of the common routine of life; something subtle, abnormal, hard to measure, in which a clear and careful estimate would be necessary.	By this time it was clear to me that I had to do with a case lying far outside of the common routine of life; something subtle, abnormal, hard to measure, in which a clear and careful estimate would be necessary.
7995_280250_000014_000001	If Keene was labouring under some strange delusion, some disorder of mind, how could I estimate its nature or extent, without time and study, perhaps without expert advice?	If Keene was labouring under some strange delusion, some disorder of mind, how could I estimate its nature or extent, without time and study, perhaps without expert advice?
7995_280250_000014_000002	To wait a little would be prudent, for his sake as well as for the sake of others.	To wait a little would be prudent, for his sake as well as for the sake of others.
7995_280250_000014_000003	If there was some extraordinary, reality behind his mysterious hints, it would need patience and skill to test it.	If there was some extraordinary, reality behind his mysterious hints, it would need patience and skill to test it.
7995_280250_000014_000004	I gave him the promise for which he asked.	I gave him the promise for which he asked.
7995_280250_000015_000000	At once, as if relieved, he sprang up, and crying, "Come on, follow me!" began to make his way up the bed of the brook.	At once, as if relieved, he sprang up, and crying, "Come on, follow me!" began to make his way up the bed of the brook.
7995_280250_000015_000003	I could see, here and there, the track of his former journeys: broken branches of witch-hazel and moose-wood, ferns trampled down, a faint trail across some deeper bed of moss.	I could see, here and there, the track of his former journeys: broken branches of witch hazel and moose wood, ferns trampled down, a faint trail across some deeper bed of moss.
7995_280250_000015_000004	At mid-day we rested for a half-hour to eat lunch.	At mid day we rested for a half hour to eat lunch.
7995_280250_000015_000006	He swallowed it hastily, and stooping his face to the spring by which he had halted, drank long and eagerly.	He swallowed it hastily, and stooping his face to the spring by which he had halted, drank long and eagerly.
7995_280250_000016_000000	"An Indian trick," said he, shaking the drops of water from his face. "On a walk, food is a hindrance, a delay.	"An Indian trick," said he, shaking the drops of water from his face. "On a walk, food is a hindrance, a delay.
7995_280250_000016_000001	But this tiny taste of bitter gum is a tonic; it spurs the courage and doubles the strength--if you are used to it.	But this tiny taste of bitter gum is a tonic; it spurs the courage and doubles the strength-if you are used to it.
7995_280250_000016_000002	Otherwise I should not recommend you to try it.	Otherwise I should not recommend you to try it.
7995_280250_000016_000003	Faugh! the flavour is vile."	Faugh! the flavour is vile."
7995_280250_000017_000000	He rinsed his mouth again with water, and stood up, calling me to come on.	He rinsed his mouth again with water, and stood up, calling me to come on.
7995_280250_000017_000001	The way, now tangled among the nameless peaks and ranges, bore steadily southward, rising all the time, in spite of many brief downward curves where a steep gorge must be crossed.	The way, now tangled among the nameless peaks and ranges, bore steadily southward, rising all the time, in spite of many brief downward curves where a steep gorge must be crossed.
7995_280250_000017_000003	Breasting a long slope, we reached the summit of a broad, smoothly rounding ridge covered with a dense growth of stunted spruce.	Breasting a long slope, we reached the summit of a broad, smoothly rounding ridge covered with a dense growth of stunted spruce.
7995_280250_000017_000004	The trees rose above our heads, about twice the height of a man, and so thick that we could not see beyond them.	The trees rose above our heads, about twice the height of a man, and so thick that we could not see beyond them.
7995_280250_000017_000005	But, from glimpses here and there, and from the purity and lightness of the air, I judged that we were on far higher ground than any we had yet traversed, the central comb, perhaps, of the mountain-system.	But, from glimpses here and there, and from the purity and lightness of the air, I judged that we were on far higher ground than any we had yet traversed, the central comb, perhaps, of the mountain system.
7995_280250_000018_000000	A few yards ahead of us, through the crowded trunks of the dwarf forest, I saw a gray mass, like the wall of a fortress, across our path.	A few yards ahead of us, through the crowded trunks of the dwarf forest, I saw a gray mass, like the wall of a fortress, across our path.
7995_280250_000018_000001	It was a vast rock, rising from the crest of the ridge, lifting its top above the sea of foliage.	It was a vast rock, rising from the crest of the ridge, lifting its top above the sea of foliage.
7995_280250_000018_000002	At its base there were heaps of shattered stones, and deep crevices almost like caves.	At its base there were heaps of shattered stones, and deep crevices almost like caves.
7995_280250_000018_000003	One side of the rock was broken by a slanting gully.	One side of the rock was broken by a slanting gully.
7995_280250_000019_000001	The snakes are in their winter quarters now, almost dormant, but they can still strike if you tread on them.	The snakes are in their winter quarters now, almost dormant, but they can still strike if you tread on them.
7995_280250_000019_000002	Step here!	Step here!
7995_280250_000019_000003	Give me your hand--use that point of rock--hold fast by this bush; it is firmly rooted--so!	Give me your hand-use that point of rock-hold fast by this bush; it is firmly rooted-so!
7995_280250_000019_000005	You have heard of it?	You have heard of it?
7995_280250_000019_000006	I thought so. Other people have heard of it, and imagine that they have found it--five miles east of us--on a lower ridge.	I thought so. Other people have heard of it, and imagine that they have found it-five miles east of us-on a lower ridge.
7995_280250_000019_000010	This earth holds no more perfect view-point.	This earth holds no more perfect view point.
7995_280250_000020_000000	The prospect was indeed magnificent; it was strange what a vast enlargement of vision resulted from the slight elevation above the surrounding peaks.	The prospect was indeed magnificent; it was strange what a vast enlargement of vision resulted from the slight elevation above the surrounding peaks.
7995_280250_000020_000001	It was like being lifted up so that we could look over the walls.	It was like being lifted up so that we could look over the walls.
7995_280250_000020_000002	The horizon expanded as if by magic.	The horizon expanded as if by magic.
7995_280250_000020_000005	Every feature of the landscape seemed alive, quivering, pulsating with conscious beauty.	Every feature of the landscape seemed alive, quivering, pulsating with conscious beauty.
7995_280250_000020_000006	You could almost see the world breathe.	You could almost see the world breathe.
7995_280250_000021_000001	"Most wonderful!	"Most wonderful!
7995_280250_000022_000001	Your eyes are new to it.	Your eyes are new to it.
7995_280250_000022_000002	You have not learned the power of far sight, the secret of Spy Rock.	You have not learned the power of far sight, the secret of Spy Rock.
7995_280250_000023_000000	"Do you mean to say that you can look beyond it?"	"Do you mean to say that you can look beyond it?"
7995_280250_000024_000001	And beyond any that you would dream possible--See! Your sight reaches to that dim cloud of smoke in the south?	And beyond any that you would dream possible-See! Your sight reaches to that dim cloud of smoke in the south?
7995_280250_000024_000002	And beneath it you can make out, perhaps, a vague blotch of shadow, or a tiny flash of brightness where the sun strikes it?	And beneath it you can make out, perhaps, a vague blotch of shadow, or a tiny flash of brightness where the sun strikes it?
7995_280250_000027_000000	"It pleases you to call it so," he said, "but I only tell you my real experience.	"It pleases you to call it so," he said, "but I only tell you my real experience.
7995_280250_000027_000002	There is no reason why the power of sight should not be cultivated, enlarged, expanded indefinitely."	There is no reason why the power of sight should not be cultivated, enlarged, expanded indefinitely."
7995_280250_000028_000000	"And the straight rays of light?" I asked.	"And the straight rays of light?" I asked.
7995_280250_000029_000001	"Who can prove that it may not be curved, under certain conditions, or refracted in some places in a way that is not possible elsewhere?	"Who can prove that it may not be curved, under certain conditions, or refracted in some places in a way that is not possible elsewhere?
7995_280250_000029_000002	I tell you there is something extraordinary about this Spy Rock.	I tell you there is something extraordinary about this Spy Rock.
7995_280250_000029_000003	It is a seat of power--Nature's observatory.	It is a seat of power-Nature's observatory.
7995_280250_000029_000004	More things are visible here than anywhere else--more than I have told you yet.	More things are visible here than anywhere else-more than I have told you yet.
7995_280250_000029_000005	But come, we have little time left.	But come, we have little time left.
7995_280250_000029_000007	Then home again to the narrower outlook, the restricted life."	Then home again to the narrower outlook, the restricted life."
7995_280250_000030_000001	He glowed like a piece of phosphorus that has been drenched with light.	He glowed like a piece of phosphorus that has been drenched with light.
7995_280250_000031_000000	Graham took the first opportunity of speaking with me alone.	Graham took the first opportunity of speaking with me alone.
7995_280250_000032_000000	"Well?" said he.	"Well?" said he.
7995_280250_000033_000003	But there is something very strange.	But there is something very strange.
7995_280250_000033_000005	We must wait a few days.	We must wait a few days.
7995_280250_000033_000006	It will do no harm to be patient.	It will do no harm to be patient.
7995_280250_000033_000007	Indeed, I have promised not to judge, not to speak of it, until a certain time.	Indeed, I have promised not to judge, not to speak of it, until a certain time.
7995_280250_000033_000008	Are you satisfied?"	Are you satisfied?"
7995_280250_000034_000000	"This is a curious story," said he, "and I am puzzled by it.	"This is a curious story," said he, "and I am puzzled by it.
7995_280250_000034_000001	But I trust you, I agree to wait, though I am far from satisfied."	But I trust you, I agree to wait, though I am far from satisfied."
7995_280250_000035_000000	Our second expedition was appointed for the following Saturday.	Our second expedition was appointed for the following Saturday.
7995_280250_000035_000001	Keene was hungry for it, and I was almost as eager, desiring to penetrate as quickly as possible into the heart of the affair.	Keene was hungry for it, and I was almost as eager, desiring to penetrate as quickly as possible into the heart of the affair.
7995_280250_000035_000002	Already a conviction in regard to it was pressing upon me, and I resolved to let him talk, this time, as freely as he would, without interruption or denial.	Already a conviction in regard to it was pressing upon me, and I resolved to let him talk, this time, as freely as he would, without interruption or denial.
7995_280250_000036_000000	When we clambered up on Spy Rock, he was more subdued and reserved than he had been the first time.	When we clambered up on Spy Rock, he was more subdued and reserved than he had been the first time.
7995_280250_000036_000002	Then he began to tell me stories of the places that we could see--strange stories of domestic calamity, and social conflict, and eccentric passion, and hidden crime.	Then he began to tell me stories of the places that we could see-strange stories of domestic calamity, and social conflict, and eccentric passion, and hidden crime.
7995_280250_000037_000001	Everyone has something to hide.	Everyone has something to hide.
7995_280250_000037_000002	The surface of life is a mask.	The surface of life is a mask.
7995_280250_000037_000003	The substance of life is a secret.	The substance of life is a secret.
7995_280250_000037_000005	But it is not impenetrable.	But it is not impenetrable.
7995_280250_000037_000007	Here, on Spy Rock, I have found it.	Here, on Spy Rock, I have found it.
7995_280250_000037_000008	I have learned how to look through the veil.	I have learned how to look through the veil.
7995_280250_000037_000009	I can see, not by the light-rays only, but by the rays which are colourless, imperceptible, irresistible the rays of the unknown quantity, which penetrate everywhere.	I can see, not by the light rays only, but by the rays which are colourless, imperceptible, irresistible the rays of the unknown quantity, which penetrate everywhere.
7995_280250_000037_000013	I can see how the illusions of love appear and vanish, and how men and women swear that their dreams are eternal, even while they fade.	I can see how the illusions of love appear and vanish, and how men and women swear that their dreams are eternal, even while they fade.
7995_280250_000037_000014	I can see how poor people blind themselves and deceive each other, calling selfishness devotion, and bondage contentment.	I can see how poor people blind themselves and deceive each other, calling selfishness devotion, and bondage contentment.
7995_280250_000038_000001	"Stop, before you say what can never be unsaid. You know it is not true.	"Stop, before you say what can never be unsaid. You know it is not true.
7995_280250_000039_000000	"I think not," said he, "but I will come.	"I think not," said he, "but I will come.
7995_280250_000039_000004	I will follow you in a quarter of an hour.	I will follow you in a quarter of an hour.
7995_280250_000039_000005	And remember we are to be here together once more!"	And remember we are to be here together once more!"
7995_280250_000040_000001	Yes, and then what must be done?	Yes, and then what must be done?
7995_280250_000041_000000	How was this strange case to be dealt with so as to save all the actors, as far as possible, from needless suffering?	How was this strange case to be dealt with so as to save all the actors, as far as possible, from needless suffering?
7995_280250_000041_000001	That Keene's mind was disordered at least three of us suspected already.	That Keene's mind was disordered at least three of us suspected already.
7995_280250_000041_000002	But to me alone was the nature and seat of the disorder known.	But to me alone was the nature and seat of the disorder known.
7995_280250_000041_000003	How make the others understand it?	How make the others understand it?
7995_280250_000041_000005	As yet, at least, he was no patient for a mad-house: it would be unjust, probably it would be impossible to have him committed.	As yet, at least, he was no patient for a mad house: it would be unjust, probably it would be impossible to have him committed.
7995_280250_000041_000006	But on the other hand they might take it too lightly, as the result of overwork, or perhaps of the use of some narcotic.	But on the other hand they might take it too lightly, as the result of overwork, or perhaps of the use of some narcotic.
7995_280250_000041_000009	It was the working out, in abnormal form, but with essential truth, of his chosen and cherished ideal of life.	It was the working out, in abnormal form, but with essential truth, of his chosen and cherished ideal of life.
7995_280250_000041_000011	The solitary trail that led thither was the symbol of his search for happiness--alone, forgetful of life's lowlier ties, looking down upon the world in the cold abstraction of scornful knowledge.	The solitary trail that led thither was the symbol of his search for happiness-alone, forgetful of life's lowlier ties, looking down upon the world in the cold abstraction of scornful knowledge.
7995_280250_000042_000000	This was what perplexed and oppressed me.	This was what perplexed and oppressed me.
7995_280250_000042_000001	I needed all the time until the next Saturday to think the question through, to decide what should be done.	I needed all the time until the next Saturday to think the question through, to decide what should be done.
7995_280250_000042_000002	But the matter was taken out of my hands.	But the matter was taken out of my hands.
7995_280250_000042_000003	After our latest expedition Keene's dark mood returned upon him with sombre intensity. Dull, restless, indifferent, half-contemptuous, he seemed to withdraw into himself, observing those around him with half-veiled glances, as if he had nothing better to do and yet found it a tiresome pastime.	After our latest expedition Keene's dark mood returned upon him with sombre intensity. Dull, restless, indifferent, half contemptuous, he seemed to withdraw into himself, observing those around him with half veiled glances, as if he had nothing better to do and yet found it a tiresome pastime.
7995_280250_000042_000005	Nothing pleased him.	Nothing pleased him.
7995_280250_000042_000006	He responded to nothing.	He responded to nothing.
7995_280250_000043_000000	Graham controlled his indignation by a constant effort.	Graham controlled his indignation by a constant effort.
7995_280250_000043_000001	A dozen times he was on the point of speaking out.	A dozen times he was on the point of speaking out.
7995_280250_000043_000002	But he restrained himself and played fair.	But he restrained himself and played fair.
7995_280250_000043_000004	Her loyalty was strained to the breaking point.	Her loyalty was strained to the breaking point.
7995_280250_000044_000000	Keene's restlessness increased.	Keene's restlessness increased.
7995_280250_000044_000001	The intervening Thursday was Thanksgiving Day; most of the boys had gone home; the school had holiday.	The intervening Thursday was Thanksgiving Day; most of the boys had gone home; the school had holiday.
7995_280250_000045_000000	"Let us take our walk to-day.	"Let us take our walk to day.
7995_280250_000045_000001	We have no work to do.	We have no work to do.
7995_280250_000045_000002	Come!	Come!
7995_280250_000045_000003	In this clear, frosty air, Spy Rock will be glorious!"	In this clear, frosty air, Spy Rock will be glorious!"
7995_280250_000046_000001	This is the home day.	This is the home day.
7995_280250_000046_000002	Stay here and be happy with us all.	Stay here and be happy with us all.
7995_280250_000046_000003	You owe this to love and friendship.	You owe this to love and friendship.
7995_280250_000046_000004	You owe it to Dorothy Ward."	You owe it to Dorothy Ward."
7995_280250_000047_000000	"Owe it?" said he.	"Owe it?" said he.
7995_280250_000047_000001	"Speaking of debts, I think each man is his own preferred creditor.	"Speaking of debts, I think each man is his own preferred creditor.
7995_280250_000047_000002	But of course you can do as you like about to-day. Tomorrow or Saturday will answer just as well for our third walk together."	But of course you can do as you like about to day. Tomorrow or Saturday will answer just as well for our third walk together."
7995_280250_000048_000001	They talked together in low tones.	They talked together in low tones.
7995_280250_000048_000002	Then she stood up, with pale face and wide-open eyes.	Then she stood up, with pale face and wide open eyes.
7995_280250_000049_000000	"Do not go, Edward.	"Do not go, Edward.
7995_280250_000051_000000	"You will excuse me, Dorothy, I am sure.	"You will excuse me, Dorothy, I am sure.
7995_280250_000051_000001	I feel the need of exercise. Absolutely I must go; good-by--until the evening."	I feel the need of exercise. Absolutely I must go; good by-until the evening."
7995_280250_000052_000001	There was a sense of disaster in the air.	There was a sense of disaster in the air.
7995_280250_000052_000002	Something irretrievable had fallen from our circle. But no one dared to name it.	Something irretrievable had fallen from our circle. But no one dared to name it.
7995_280250_000052_000004	All the stars were hidden.	All the stars were hidden.
7995_280250_000052_000005	The wind whimpered and then shouted.	The wind whimpered and then shouted.
7995_280250_000052_000006	The rain swept down in spiteful volleys, deepening at last into a fierce, steady discharge.	The rain swept down in spiteful volleys, deepening at last into a fierce, steady discharge.
7995_280250_000052_000007	Nine o'clock, ten o'clock passed, and Keene did not return.	Nine o'clock, ten o'clock passed, and Keene did not return.
7995_280250_000052_000008	By midnight we were certain that some accident had befallen him.	By midnight we were certain that some accident had befallen him.
7995_280250_000053_000001	But we could send down to the village for men to organise a search-party and to bring the doctor.	But we could send down to the village for men to organise a search party and to bring the doctor.
7995_280250_000053_000002	At daybreak we set out--some of the men going with the Master along Black Brook, others in different directions to make sure of a complete search--Graham and the doctor and I following the secret trail that I knew only too well. Dorothy insisted that she must go.	At daybreak we set out-some of the men going with the Master along Black Brook, others in different directions to make sure of a complete search-Graham and the doctor and I following the secret trail that I knew only too well. Dorothy insisted that she must go.
7995_280250_000053_000003	She would bear no denial, declaring that it would be worse for her alone at home, than if we took her with us.	She would bear no denial, declaring that it would be worse for her alone at home, than if we took her with us.
7995_280250_000054_000000	It was incredible how the path seemed to lengthen.	It was incredible how the path seemed to lengthen.
7995_280250_000054_000001	Graham watched the girl's every step, helping her over the difficult places, pushing aside the tangled branches, his eyes resting upon her as frankly, as tenderly as a mother looks at her child.	Graham watched the girl's every step, helping her over the difficult places, pushing aside the tangled branches, his eyes resting upon her as frankly, as tenderly as a mother looks at her child.
7995_280250_000054_000002	In single file we marched through the gray morning, clearing cold after the storm, and the silence was seldom broken, for we had little heart to talk.	In single file we marched through the gray morning, clearing cold after the storm, and the silence was seldom broken, for we had little heart to talk.
7995_280250_000055_000001	There, on the back of it, with his right arm hanging over the edge, was the outline of Edward Keene's form.	There, on the back of it, with his right arm hanging over the edge, was the outline of Edward Keene's form.
7995_280250_000056_000000	We called to him but there was no answer.	We called to him but there was no answer.
7995_280250_000056_000001	The doctor climbed up with me, and we hurried to the spot where he was lying.	The doctor climbed up with me, and we hurried to the spot where he was lying.
7995_280250_000056_000002	His face was turned to the sky, his eyes blindly staring; there was no pulse, no breath; he was already cold in death.	His face was turned to the sky, his eyes blindly staring; there was no pulse, no breath; he was already cold in death.
7995_280250_000056_000003	His right hand and arm, the side of his neck and face were horribly swollen and livid.	His right hand and arm, the side of his neck and face were horribly swollen and livid.
7995_280250_000056_000004	The doctor stooped down and examined the hand carefully.	The doctor stooped down and examined the hand carefully.
7995_280250_000056_000005	"See!" he cried, pointing to a great bruise on his wrist, with two tiny punctures in the middle of it from which a few drops of blood had oozed, "a rattlesnake has struck him.	"See!" he cried, pointing to a great bruise on his wrist, with two tiny punctures in the middle of it from which a few drops of blood had oozed, "a rattlesnake has struck him.
7995_280250_000056_000006	He must have fairly put his hand upon it, perhaps in the dark, when he was climbing.	He must have fairly put his hand upon it, perhaps in the dark, when he was climbing.
7995_280250_000056_000007	And, look, what is this?"	And, look, what is this?"
7995_280250_000057_000000	He picked up a flat silver box, that lay open on the rock.	He picked up a flat silver box, that lay open on the rock.
7995_280250_000057_000001	There were two olive-green pellets of a resinous paste in it.	There were two olive green pellets of a resinous paste in it.
7995_280250_000057_000002	He lifted it to his face, and drew a long breath.	He lifted it to his face, and drew a long breath.
7995_280250_000058_000000	"Yes," he said, "it is Gunjab, the most powerful form of Hashish, the narcotic hemp of India.	"Yes," he said, "it is Gunjab, the most powerful form of Hashish, the narcotic hemp of India.
7995_280250_000060_000004	There were tear-marks on her face.	There were tear marks on her face.
7995_280250_000061_000001	We have lost him."	We have lost him."
