606_121661_000000_000000	The Man in the Moon	The Man in the Moon	false	5.67	30.15	17.164488
606_121661_000021_000001	I must not call him the Man in the Moon any longer, for of course he was now out of the moon; so I 'll simply call him the Man, and you 'll know by that which man I mean.	I must not call him the Man in the Moon any longer, for of course he was now out of the moon; so I 'l l simply call him the Man, and you 'l l know by that which man I mean.	false	341.3	352.81	19.999615
606_121661_000022_000000	Well, the Man in the--I mean the Man (but I nearly forgot what I have just said)--the Man turned to the south and began walking briskly along the road, for he had made up his mind to do as the alderman had advised and travel to Norwich, that he might eat some of the famous pease porridge that was made there.	Well, the Man in the-I mean the Man (but I nearly forgot what I have just said)--the Man turned to the south and began walking briskly along the road, for he had made up his mind to do as the alderman had advised and travel to Norwich, that he might eat some of the famous pease porridge that was made there.	false	353.33	375.94	19.405582
606_121661_000022_000001	And finally, after a long and tiresome journey, he reached the town and stopped at one of the first houses he came to, for by this time he was very hungry indeed.	And finally, after a long and tiresome journey, he reached the town and stopped at one of the first houses he came to, for by this time he was very hungry indeed.	true	376.13	388.75	19.389818
606_121661_000023_000000	A good-looking woman answered his knock at the door, and he asked politely,	A good looking woman answered his knock at the door, and he asked politely,	true	389.6	395.53	20.239489
606_121661_000024_000000	"Is this the town of Norwich, madam?"	"Is this the town of Norwich, madam?"	true	395.99	398.8	23
606_121661_000025_000000	"Surely this is the town of Norwich," returned the woman.	"Surely this is the town of Norwich," returned the woman.	true	399.62	403.09	19.44282
606_121661_000026_000000	"I came here to see if I could get some pease porridge," continued the Man, "for I hear you make I the nicest porridge in the world in this town."	"I came here to see if I could get some pease porridge," continued the Man, "for I hear you make I the nicest porridge in the world in this town."	false	403.82	414.07	19.368734
606_121661_000027_000000	"That we do, sir," answered the woman, "and if you 'll step inside I 'll give you a bowl, for I have plenty in the house that is newly made."	"That we do, sir," answered the woman, "and if you 'l l step inside I 'l l give you a bowl, for I have plenty in the house that is newly made."	false	414.77	424	17.529484
606_121661_000028_000000	So he thanked her and entered the house, and she asked,	So he thanked her and entered the house, and she asked,	true	424.46	428.62	20.26149
606_121661_000029_000000	"Will you have it hot or cold, sir?"	"Will you have it hot or cold, sir?"	true	429.05	431.83	18.996502
606_121661_000030_000000	"Oh, cold, by all means," replied the Man, "for I detest anything hot to eat."	"Oh, cold, by all means," replied the Man, "for I detest anything hot to eat."	true	432.44	439.21	19.386799
606_121661_000031_000000	She soon brought him a bowl of cold pease porridge, and the Man was so hungry that he took a big spoonful at once.	She soon brought him a bowl of cold pease porridge, and the Man was so hungry that he took a big spoonful at once.	true	439.79	447.73	18.701107
606_121661_000032_000000	But no sooner had he put it into his mouth than he uttered a great yell, and began dancing frantically about the room, for of course the porridge that was cold to earth folk was hot to him, and the big spoonful of cold pease porridge had burned his mouth to a blister!	But no sooner had he put it into his mouth than he uttered a great yell, and began dancing frantically about the room, for of course the porridge that was cold to earth folk was hot to him, and the big spoonful of cold pease porridge had burned his mouth to a blister!	true	447.98	468.76	19.70748
606_121661_000033_000000	"What 's the matter?" asked the woman.	"What 's the matter?" asked the woman.	true	469.46	471.82	19.6226
606_121661_000034_000000	"Matter!" screamed the Man; "why, your porridge is so hot it has burned me."	"Matter!" screamed the Man; "why, your porridge is so hot it has burned me."	true	472.4	478.72	20.782312
606_121661_000035_000000	"Fiddlesticks!" she replied, "the porridge is quite cold."	"Fiddlesticks!" she replied, "the porridge is quite cold."	true	479.21	483.64	18.535292
606_121661_000036_000000	"Try it yourself!" he cried.	"Try it yourself!" he cried.	true	484.13	486.16	16.510662
606_121661_000036_000001	So she tried it and found it very cold and pleasant.	So she tried it and found it very cold and pleasant.	true	486.56	490.48	19.526737
606_121661_000036_000002	But the Man was so astonished to see her eat the porridge that had blistered his own mouth that he became frightened and ran out of the house and down the street as fast as he could go.	But the Man was so astonished to see her eat the porridge that had blistered his own mouth that he became frightened and ran out of the house and down the street as fast as he could go.	true	490.97	503.47	17.105032
606_121661_000037_000000	The policeman on the first corner saw him running, and promptly arrested him, and he was marched off to the magistrate for trial.	The policeman on the first corner saw him running, and promptly arrested him, and he was marched off to the magistrate for trial.	true	504.17	511.72	17.654497
606_121661_000038_000000	"What is your name?" asked the magistrate.	"What is your name?" asked the magistrate.	true	513.02	515.98	19.394121
606_121661_000039_000000	"I have n't any," replied the Man; for of course as he was the only Man in the Moon it was n't necessary he should have a name.	"I have n't any," replied the Man; for of course as he was the only Man in the Moon it was n't necessary he should have a name.	false	516.5	525.96	16.687716
606_121661_000040_000000	"Come, come, no nonsense!" said the magistrate, "you must have some name.	"Come, come, no nonsense!" said the magistrate, "you must have some name.	true	525.96	530.82	20.276875
606_121661_000040_000001	Who are you?"	Who are you?"	true	530.82	531.73	21.396744
606_121661_000041_000000	"Why, I 'm the Man in the Moon."	"Why, I 'm the Man in the Moon."	false	532.31	534.87	19.768633
606_121661_000042_000000	"That 's rubbish!" said the magistrate, eyeing the prisoner severely, "you may be a man, but you 're not in the moon-you 're in Norwich."	"That 's rubbish!" said the magistrate, eyeing the prisoner severely, "you may be a man, but you 're not in the moon you 're in Norwich."	false	534.87	544.15	20.001669
606_121661_000043_000000	"That is true," answered the Man, who was quite bewildered by this idea.	"That is true," answered the Man, who was quite bewildered by this idea.	true	545.06	549.46	19.388865
606_121661_000044_000000	"And of course you must be called something," continued the magistrate.	"And of course you must be called something," continued the magistrate.	true	550.07	554.5	19.829647
606_121661_000045_000000	"Well, then," said the prisoner, "if I 'm not the Man in the Moon I must be the Man out of the Moon; so call me that."	"Well, then," said the prisoner, "if I 'm not the Man in the Moon I must be the Man out of the Moon; so call me that."	true	555.5	562.93	19.33591
606_121661_000046_000000	"Very good," replied the judge; "now, then, where did you come from?"	"Very good," replied the judge; "now, then, where did you come from?"	true	563.81	568.81	20.008984
606_121661_000047_000000	"The moon."	"The moon."	true	569.27	570.31	29.409605
606_121661_000048_000000	"Oh, you did, eh?	"Oh, you did, eh?	false	570.98	572.49	20.909796
606_121661_000048_000001	How did you get here?"	How did you get here?"	true	572.49	573.7	18.311787
606_121661_000049_000000	"I slid down a moonbeam."	"I slid down a moonbeam."	true	574.43	576.37	24.823221
606_121661_000050_000000	"Indeed!	"Indeed!	true	576.68	577.75	25.481665
606_121661_000050_000001	Well, what were you running for?"	Well, what were you running for?"	true	577.76	580.21	20.06493
606_121661_000051_000000	"A woman gave me some cold pease porridge, and it burned my mouth."	"A woman gave me some cold pease porridge, and it burned my mouth."	true	580.76	585.28	20.628254
606_121661_000052_000000	The magistrate looked at him a moment in surprise, and then he said,	The magistrate looked at him a moment in surprise, and then he said,	true	585.77	590.14	17.911888
606_121661_000053_000000	"This person is evidently crazy; so take him to the lunatic asylum and keep him there."	"This person is evidently crazy; so take him to the lunatic asylum and keep him there."	true	590.6	597.07	20.295332
606_121661_000054_000000	This would surely have been the fate of the Man had there not been present an old astronomer who had often looked at the moon through his telescope, and so had discovered that what was hot on earth was cold in the moon, and what was cold here was hot there; so he began to think the Man had told the truth.	This would surely have been the fate of the Man had there not been present an old astronomer who had often looked at the moon through his telescope, and so had discovered that what was hot on earth was cold in the moon, and what was cold here was hot there; so he began to think the Man had told the truth.	true	598.4	619.84	19.104929
606_121661_000054_000001	Therefore he begged the magistrate to wait a few minutes while he looked through his telescope to see if the Man in the Moon was there.	Therefore he begged the magistrate to wait a few minutes while he looked through his telescope to see if the Man in the Moon was there.	true	620.27	628.09	20
606_121661_000054_000002	So, as it was now night, he fetched his telescope and looked at the Moon,--and found there was no man in it at all!	So, as it was now night, he fetched his telescope and looked at the Moon,--and found there was no man in it at all!	true	628.4	637.06	18.962309
606_121661_000055_000000	"It seems to be true," said the astronomer, "that the Man has got out of the Moon somehow or other.	"It seems to be true," said the astronomer, "that the Man has got out of the Moon somehow or other.	true	638.03	643.72	18.158947
606_121661_000055_000001	Let me look at your mouth, sir, and see if it is really burned."	Let me look at your mouth, sir, and see if it is really burned."	true	644.09	647.59	17.239176
606_121661_000056_000000	Then the Man opened his mouth, and everyone saw plainly it was burned to a blister!	Then the Man opened his mouth, and everyone saw plainly it was burned to a blister!	true	648.17	654.01	19
606_121661_000056_000001	Thereupon the magistrate begged his pardon for doubting his word, and asked him what he would like to do next.	Thereupon the magistrate begged his pardon for doubting his word, and asked him what he would like to do next.	true	654.53	661.84	19.162289
606_121661_000057_000000	"I 'd like to get back to the Moon," said the Man, "for I do n't like this earth of yours at all.	"I 'd like to get back to the Moon," said the Man, "for I do n't like this earth of yours at all.	false	662.63	669.16	19.161356
606_121661_000057_000001	The nights are too hot."	The nights are too hot."	true	669.32	671.92	21
606_121661_000058_000000	"Why, it 's quite cool this evening!" said the magistrate.	"Why, it 's quite cool this evening!" said the magistrate.	false	672.65	675.96	18
606_121661_000059_000000	"I 'll tell you what we can do," remarked the astronomer; "there 's a big balloon in town which belongs to the circus that came here last summer, and was pawned for a board bill.	"I 'l l tell you what we can do," remarked the astronomer; "there 's a big balloon in town which belongs to the circus that came here last summer, and was pawned for a board bill.	false	675.96	688.3	17.543089
606_121661_000059_000001	We can inflate this balloon and send the Man out of the Moon home in it."	We can inflate this balloon and send the Man out of the Moon home in it."	true	688.61	694.15	21.440668
606_121661_000060_000000	"That 's a good idea," replied the judge.	"That 's a good idea," replied the judge.	false	694.88	697.39	19.588717
606_121661_000060_000001	So the balloon was brought and inflated, and the Man got into the basket and gave the word to let go, and then the balloon mounted up into the sky in the direction of the moon.	So the balloon was brought and inflated, and the Man got into the basket and gave the word to let go, and then the balloon mounted up into the sky in the direction of the moon.	true	697.61	709.3	21.182093
606_121661_000061_000000	The good people of Norwich stood on the earth and tipped back their heads, and watched the balloon go higher and higher, until finally the Man reached out and caught hold of the edge of the moon, and behold! the next minute he was the Man in the Moon again!	The good people of Norwich stood on the earth and tipped back their heads, and watched the balloon go higher and higher, until finally the Man reached out and caught hold of the edge of the moon, and behold! the next minute he was the Man in the Moon again!	true	710.03	728.05	18.440859
606_121661_000062_000000	After this adventure he was well contented to stay at home; and I 've no doubt if you look through a telescope you will see him there to this day.	After this adventure he was well contented to stay at home; and I 've no doubt if you look through a telescope you will see him there to this day.	false	729.14	738.87	19.038567
606_121661_000063_000000	The Jolly Miller	The Jolly Miller	false	738.87	742.02	26.903486
606_121661_000064_000000	The Jolly Miller	The Jolly Miller	false	742.02	742.23	7
606_121661_000065_000000	There was a jolly miller Lived on the river Dee; He sang and worked from morn till night, No lark so blithe as he. And this the burden of his song Forever seemed to be: I care for nobody, no! not I, Since nobody cares for me.	There was a jolly miller Lived on the river Dee; He sang and worked from morn till night, No lark so blithe as he. And this the burden of his song Forever seemed to be: I care for nobody, no! not I, Since nobody cares for me.	false	742.23	747.72	12.859777
