1313_136054_000000_000000	"You make my head feel empty," said the Koala.	"You make my head feel empty," said the Koala.	false	0	2.67	20.823202
1313_136054_000018_000001	She had thought she would see a few Black folk, not a crowd of such terrible people as she beheld. They did not look like human beings at all, but like dreadful demons, they were so wicked and ugly in appearance.	She had thought she would see a few Black folk, not a crowd of such terrible people as she beheld. They did not look like human beings at all, but like dreadful demons, they were so wicked and ugly in appearance.	true	215.1	226.51	21.308962
1313_136054_000018_000002	The men who were dancing were without clothes, but their black bodies were painted with red and white stripes, and bits of down and feathers were stuck on their skin. Some had only white stripes over the places where their bones were, which made them look like skeletons flitting before the fire, or in and out of the surrounding darkness.	The men who were dancing were without clothes, but their black bodies were painted with red and white stripes, and bits of down and feathers were stuck on their skin. Some had only white stripes over the places where their bones were, which made them look like skeletons flitting before the fire, or in and out of the surrounding darkness.	true	226.73	244.06	21.900091
1313_136054_000018_000003	The dancing men were divided from the rest of the tribe by a row of fires, which, burning brightly, lit the horrid scene with a lurid red light.	The dancing men were divided from the rest of the tribe by a row of fires, which, burning brightly, lit the horrid scene with a lurid red light.	true	244.52	252.61	20.947435
1313_136054_000018_000004	The firelight seemed to make the ferocious faces of the tribe still more hideous.	The firelight seemed to make the ferocious faces of the tribe still more hideous.	true	252.89	257.32	22.209455
1313_136054_000018_000005	The tribe people were squatting in rows on the ground, beating boomerangs and spears together, or striking bags of skin with sticks, to make an accompaniment to the wailing song they sang.	The tribe people were squatting in rows on the ground, beating boomerangs and spears together, or striking bags of skin with sticks, to make an accompaniment to the wailing song they sang.	false	257.54	267.52	19.538359
1313_136054_000018_000006	Sometimes the women would cease beating the skin bags to clap their hands and strike their sides, yelling the words of the corroboree song, as the painted figures, like fiends and skeletons, danced before the row of fires.	Sometimes the women would cease beating the skin bags to clap their hands and strike their sides, yelling the words of the corroboree song, as the painted figures, like fiends and skeletons, danced before the row of fires.	true	267.92	280.63	20.799007
1313_136054_000019_000000	It was a terrifying sight to Dot.	It was a terrifying sight to Dot.	true	281.57	283.63	22.684927
1313_136054_000019_000001	"Oh, Kangaroo!" she whispered, "they are dreadful, horrid creatures."	"Oh, Kangaroo!" she whispered, "they are dreadful, horrid creatures."	true	284.06	287.92	21.691412
1313_136054_000020_000000	"They're just Humans," replied the Kangaroo, indulgently.	"They're just Humans," replied the Kangaroo, indulgently.	true	288.26	291.52	19.67964
1313_136054_000021_000000	"But white Humans are not like that," said Dot.	"But white Humans are not like that," said Dot.	true	291.89	294.52	23.759077
1313_136054_000022_000000	"All Humans are the same underneath, they all kill kangaroos," said the Kangaroo.	"All Humans are the same underneath, they all kill kangaroos," said the Kangaroo.	true	294.83	299.775	22.162098
1313_136054_000022_000001	"Look there! they are playing at killing us in their dance."	"Look there! they are playing at killing us in their dance."	true	299.775	302.83	23.185406
1313_136054_000023_000000	Dot looked once more at the hideous figures as they left the fire and began acting like actors.	Dot looked once more at the hideous figures as they left the fire and began acting like actors.	true	303.41	308.29	21
1313_136054_000023_000001	One of the Blackfellows had come from a little bower of trees, and wore a few skins so arranged as to make him look as much like a kangaroo as possible, whilst he worked a stick which he pretended was a kangaroo's tail, and hopped about.	One of the Blackfellows had come from a little bower of trees, and wore a few skins so arranged as to make him look as much like a kangaroo as possible, whilst he worked a stick which he pretended was a kangaroo's tail, and hopped about.	true	308.57	321.64	22.603912
1313_136054_000023_000002	The other painted savages were creeping in and out of the bushes with their spears and boomerangs as if they were hunting, and the dressed-up kangaroo made believe not to see them, but stooped down, nibbling grass.	The other painted savages were creeping in and out of the bushes with their spears and boomerangs as if they were hunting, and the dressed up kangaroo made believe not to see them, but stooped down, nibbling grass.	true	321.86	332.83	19.96825
1313_136054_000024_000000	"What an idea of a kangaroo!" sniffed Dot's friend, "why, a real kangaroo would have smelt or heard those Humans, and have bounded away far out of sight by now."	"What an idea of a kangaroo!" sniffed Dot's friend, "why, a real kangaroo would have smelt or heard those Humans, and have bounded away far out of sight by now."	true	333.35	342.46	22.738428
1313_136054_000025_000000	"But it's all sham," said Dot; "the Black man couldn't be a real kangaroo."	"But it's all sham," said Dot; "the Black man couldn't be a real kangaroo."	true	343.01	347.26	21.332592
1313_136054_000026_000000	"Then it just shows how stupid Humans are to try and be one," said her friend.	"Then it just shows how stupid Humans are to try and be one," said her friend.	true	347.72	351.79	19.981148
1313_136054_000026_000001	"Humans think themselves so clever," she continued, "but just see what bad kangaroos they make--such a simple thing to do, too!	"Humans think themselves so clever," she continued, "but just see what bad kangaroos they make-such a simple thing to do, too!	true	351.92	359.08	22.388762
1313_136054_000026_000002	But their legs bend the wrong way for jumping, and that stick isn't any good for a tail, and it has to be worked with those big, clumsy arms.	But their legs bend the wrong way for jumping, and that stick isn't any good for a tail, and it has to be worked with those big, clumsy arms.	true	359.24	366.25	23.63278
1313_136054_000026_000003	Just see, too, how those skins fit!	Just see, too, how those skins fit!	true	366.38	368.59	23.79501
1313_136054_000026_000004	Why it's enough to make a kangaroo's sides split with laughter to see such foolery!" Dot's friend peeped at the Black's acting with the contempt to be expected of a real kangaroo, who saw human beings pretending to be one of those noble animals.	Why it's enough to make a kangaroo's sides split with laughter to see such foolery!" Dot's friend peeped at the Black's acting with the contempt to be expected of a real kangaroo, who saw human beings pretending to be one of those noble animals.	true	368.63	381.85	22.304304
1313_136054_000026_000005	Dot thought the Kangaroo had never looked so grand before.	Dot thought the Kangaroo had never looked so grand before.	true	382.1	385.45	23
1313_136054_000026_000006	She was so tall, so big, and yet so graceful: a really beautiful creature.	She was so tall, so big, and yet so graceful: a really beautiful creature.	true	385.52	391.45	20.812458
1313_136054_000027_000000	"Well, that's over!" remarked the Kangaroo, as one of the Blacks pretended to spear the dressed-up Blackfellow, and all the rest began to dance around, whilst the sham kangaroo made believe to be dead.	"Well, that's over!" remarked the Kangaroo, as one of the Blacks pretended to spear the dressed up Blackfellow, and all the rest began to dance around, whilst the sham kangaroo made believe to be dead.	false	392.18	402.58	21.47781
1313_136054_000027_000001	"Well, I forgive their killing such a silly creature!	"Well, I forgive their killing such a silly creature!	true	402.83	405.63	20.859684
1313_136054_000027_000002	There wasn't a jump in it."	There wasn't a jump in it."	true	405.63	407.05	23.565714
1313_136054_000028_000000	After more dancing to the singing and noise of the on-lookers, a Blackfellow came from the little bower in the dim background, with a battered straw hat on, and a few rags tied round his neck and wrist, in imitation of a collar and cuffs.	After more dancing to the singing and noise of the on lookers, a Blackfellow came from the little bower in the dim background, with a battered straw hat on, and a few rags tied round his neck and wrist, in imitation of a collar and cuffs.	true	407.81	420.55	20.67699
1313_136054_000028_000001	The fellow tried to act the part of a white man, although he had no more clothes on than the old hat and rags. But, after a great deal of dancing, he strutted about, pulled up the rag collar, made a great fuss with his rag cuffs, and kept taking off his old straw hat to the other Blackfellows, and to the rest of the tribe, who kept up the noise on the other side of the fires.	The fellow tried to act the part of a white man, although he had no more clothes on than the old hat and rags. But, after a great deal of dancing, he strutted about, pulled up the rag collar, made a great fuss with his rag cuffs, and kept taking off his old straw hat to the other Blackfellows, and to the rest of the tribe, who kept up the noise on the other side of the fires.	false	420.83	441.45	21.906002
1313_136054_000029_000000	"Now this is better!" said the Kangaroo, with a smile.	"Now this is better!" said the Kangaroo, with a smile.	true	441.45	444.16	21.715267
1313_136054_000029_000001	"It's very silly, but Willy Wagtail says that is just the way Humans go on in the town. Black Humans can act being white Humans, but they are of no good as kangaroos."	"It's very silly, but Willy Wagtail says that is just the way Humans go on in the town. Black Humans can act being white Humans, but they are of no good as kangaroos."	false	444.26	454.39	23.551573
1313_136054_000030_000000	Dot thought that if men behaved like that in towns it must be very strange.	Dot thought that if men behaved like that in towns it must be very strange.	true	454.91	458.71	22.906752
1313_136054_000030_000001	She had not seen any like the acting Blackfellow at her cottage home.	She had not seen any like the acting Blackfellow at her cottage home.	true	458.84	462.55	22.802538
1313_136054_000030_000002	But she did not say anything, for it was quite clear in her little mind that Blackfellows, kangaroos, and willy wagtails had a very poor opinion of white people.	But she did not say anything, for it was quite clear in her little mind that Blackfellows, kangaroos, and willy wagtails had a very poor opinion of white people.	true	462.68	471.79	23.274982
1313_136054_000030_000003	She felt that they must all be wrong; but, all the same, she sometimes wished she could be a noble kangaroo, and not a despised human being.	She felt that they must all be wrong; but, all the same, she sometimes wished she could be a noble kangaroo, and not a despised human being.	true	472.1	479.8	20.487282
1313_136054_000031_000000	"I wish I were not a little white girl," she whispered to the Kangaroo.	"I wish I were not a little white girl," she whispered to the Kangaroo.	true	480.44	484	21.07776
1313_136054_000032_000000	The gentle animal patted her kindly with her delicate black hands.	The gentle animal patted her kindly with her delicate black hands.	true	484.25	487.63	23
1313_136054_000033_000000	"You are as nice now as my baby kangaroo," she said sadly, "but you will have to grow into a real white Human.	"You are as nice now as my baby kangaroo," she said sadly, "but you will have to grow into a real white Human.	true	487.97	493.84	22.31916
1313_136054_000033_000001	For some reason there have to be all sorts of creatures on the earth.	For some reason there have to be all sorts of creatures on the earth.	true	494.09	497.47	20.423872
1313_136054_000033_000002	There are hawks, snakes, dingoes and humans, and no one can tell for what good they exist.	There are hawks, snakes, dingoes and humans, and no one can tell for what good they exist.	true	497.48	503.38	21.502403
1313_136054_000033_000003	They must have dropped on to this world by mistake for another, where there could only have been themselves.	They must have dropped on to this world by mistake for another, where there could only have been themselves.	true	503.54	508.75	21.393938
1313_136054_000033_000004	After all," said the kind animal, "it wouldn't do for every one to be a kangaroo, for I doubt if there would be enough grass; but you may become an improved Human."	After all," said the kind animal, "it wouldn't do for every one to be a kangaroo, for I doubt if there would be enough grass; but you may become an improved Human."	true	509	517.66	22.46934
1313_136054_000034_000000	"How could I be that?" asked Dot, eagerly.	"How could I be that?" asked Dot, eagerly.	false	518.03	520.51	21.70923
1313_136054_000035_000000	"Never wear kangaroo leather boots--never use kangaroo skin rugs, and,"--here it hesitated a little, as though the subject were a most unpleasant one to mention.	"Never wear kangaroo leather boots-never use kangaroo skin rugs, and,"--here it hesitated a little, as though the subject were a most unpleasant one to mention.	true	521	530.47	19.586689
1313_136054_000036_000000	"Never do what?" enquired Dot, anxious to know all that she should do, so as to be improved.	"Never do what?" enquired Dot, anxious to know all that she should do, so as to be improved.	true	530.78	536.23	21.41447
1313_136054_000037_000000	"Never, never eat kangaroo-tail soup!" said the Kangaroo, solemnly.	"Never, never eat kangaroo tail soup!" said the Kangaroo, solemnly.	true	536.6	541.44	20.121233
1313_136054_000038_000000	"I never will," said Dot, earnestly, "I will be an improved Human."	"I never will," said Dot, earnestly, "I will be an improved Human."	false	541.44	546.57	21.523478
1313_136054_000039_000000	This conversation had been so serious to both Dot and the Kangaroo, that they had quite forgotten the perilousness of their position.	This conversation had been so serious to both Dot and the Kangaroo, that they had quite forgotten the perilousness of their position.	false	546.57	554.29	20.273273
1313_136054_000039_000001	Perhaps this was because the kangaroo cannot think, but it quickly jumped to the conclusion that they were in danger.	Perhaps this was because the kangaroo cannot think, but it quickly jumped to the conclusion that they were in danger.	true	554.51	560.17	22.301626
1313_136054_000040_000000	Whilst they had been peeping at the corroboree, and talking, the dingo dogs that had been prowling around the camp, had caught scent of the Kangaroo; and, following the trail, had set up an angry snapping and howling.	Whilst they had been peeping at the corroboree, and talking, the dingo dogs that had been prowling around the camp, had caught scent of the Kangaroo; and, following the trail, had set up an angry snapping and howling.	true	560.42	571.48	22.696182
1313_136054_000041_000000	The instant this sound was heard by the Kangaroo, she made an immense bound, and as she seemed to fly through the bush, Dot could hear the sounds of the corroboree give place to a noise of shouting and disorder: the dingo dogs and the Blacks were all in pursuit, and Dot's Kangaroo, with little Dot in her pouch, was leaping and bounding at a terrific pace to save both their lives!	The instant this sound was heard by the Kangaroo, she made an immense bound, and as she seemed to fly through the bush, Dot could hear the sounds of the corroboree give place to a noise of shouting and disorder: the dingo dogs and the Blacks were all in pursuit, and Dot's Kangaroo, with little Dot in her pouch, was leaping and bounding at a terrific pace to save both their lives!	false	571.88	603.69	19.834455
