1448_135894_000003_000002	In short, he was much honoured and courted by all ranks.	In short, he was much honoured and courted by all ranks.
1448_135894_000030_000001	I kissed the ground, and laying my hand upon my head, signified that I was ready to receive that honour.	I kissed the ground, and laying my hand upon my head, signified that I was ready to receive that honour.
1448_135894_000032_000001	That seeming ape is a young prince, son of a powerful sultan, and has been metamorphosed into an ape by enchantment.	That seeming ape is a young prince, son of a powerful sultan, and has been metamorphosed into an ape by enchantment.
1448_135894_000033_000001	Finding I could not speak, I put my hand to my head' to signify that what the princess spoke was correct.	Finding I could not speak, I put my hand to my head' to signify that what the princess spoke was correct.
1448_135894_000034_000001	She placed herself in the middle of the court, where she made a great circle, and within it she wrote several words in Arabian characters, some of them ancient.	She placed herself in the middle of the court, where she made a great circle, and within it she wrote several words in Arabian characters, some of them ancient.
1448_135894_000036_000000	As soon as the princess perceived this monster, "Dog," said she, "instead of creeping before me, dare you present yourself in this shape, thinking to frighten me?"	As soon as the princess perceived this monster, "Dog," said she, "instead of creeping before me, dare you present yourself in this shape, thinking to frighten me?"
1448_135894_000037_000000	The two parts of the lion disappeared, while the head changed into a large scorpion.	The two parts of the lion disappeared, while the head changed into a large scorpion.
1448_135894_000037_000001	Immediately the princess turned herself into a serpent, and fought the scorpion, who, finding himself worsted, took the shape of an eagle, and flew away: but the serpent at the same time took also the shape of an eagle, that was black and much stronger, and pursued him, so that we lost sight of them both.	Immediately the princess turned herself into a serpent, and fought the scorpion, who, finding himself worsted, took the shape of an eagle, and flew away: but the serpent at the same time took also the shape of an eagle, that was black and much stronger, and pursued him, so that we lost sight of them both.
1448_135894_000039_000000	The wolf had in the meanwhile transformed itself into a cock, and now fell to picking up the seeds of the pomegranate one after another; but finding no more, he came towards us with his wings spread, making a great noise, as if he would ask us whether there were any more seed.	The wolf had in the meanwhile transformed itself into a cock, and now fell to picking up the seeds of the pomegranate one after another; but finding no more, he came towards us with his wings spread, making a great noise, as if he would ask us whether there were any more seed.
1448_135894_000039_000001	There was one lying on the brink of the canal, which the cock perceiving as he went back, ran speedily thither; but just as he was going to pick it up, the seed rolled into the river, and turned into a little fish.	There was one lying on the brink of the canal, which the cock perceiving as he went back, ran speedily thither; but just as he was going to pick it up, the seed rolled into the river, and turned into a little fish.
1448_135894_000040_000003	We must all have perished had not the princess, running to our assistance, forced him to retire, and defend himself against her; yet, notwithstanding all her exertions, she could not hinder the sultan's beard from being burnt, and his face scorched, the chief of the eunuchs from being stifled, and a spark from entering my right eye, and making it blind.	We must all have perished had not the princess, running to our assistance, forced him to retire, and defend himself against her; yet, notwithstanding all her exertions, she could not hinder the sultan's beard from being burnt, and his face scorched, the chief of the eunuchs from being stifled, and a spark from entering my right eye, and making it blind.
1448_135894_000040_000004	The sultan and I expected but death, when we heard a cry of "Victory! Victory!" and instantly the princess appeared in her natural shape, but the genie was reduced to a heap of ashes.	The sultan and I expected but death, when we heard a cry of "Victory! Victory!" and instantly the princess appeared in her natural shape, but the genie was reduced to a heap of ashes.
1448_135894_000046_000001	Public mourning was observed for seven days, and many ceremonies were performed.	Public mourning was observed for seven days, and many ceremonies were performed.
1448_135894_000046_000002	The ashes of the genie were thrown into the air, but those of the princess were collected into a precious urn, to be preserved, and the urn was deposited in a superb mausoleum, constructed for that purpose on the spot where the princess had been consumed.	The ashes of the genie were thrown into the air, but those of the princess were collected into a precious urn, to be preserved, and the urn was deposited in a superb mausoleum, constructed for that purpose on the spot where the princess had been consumed.
1448_135894_000047_000000	The grief of the sultan for the loss of his daughter confined him to his chamber for a whole month.	The grief of the sultan for the loss of his daughter confined him to his chamber for a whole month.
1448_135894_000047_000002	No consideration whatever shall hinder me from making you repent your temerity should you violate my injunction." I was going to speak, but he prevented me by words full of anger; and I was obliged to quit the palace, rejected, banished, an outcast from the world.	No consideration whatever shall hinder me from making you repent your temerity should you violate my injunction." I was going to speak, but he prevented me by words full of anger; and I was obliged to quit the palace, rejected, banished, an outcast from the world.
1448_135894_000047_000004	I began my journey, not so much deploring my own miseries, as the death of the two fair princesses, of which I have been the occasion.	I began my journey, not so much deploring my own miseries, as the death of the two fair princesses, of which I have been the occasion.
1448_135894_000047_000005	I passed through many countries without making myself known; at last I resolved to come to Bagdad, in hopes of getting myself introduced to the commander of the faithful, to move his compassion by relating to him my unfortunate adventures.	I passed through many countries without making myself known; at last I resolved to come to Bagdad, in hopes of getting myself introduced to the commander of the faithful, to move his compassion by relating to him my unfortunate adventures.
1448_135894_000047_000006	I arrived this evening, and the first man I met was this calender, our brother, who spoke before me.	I arrived this evening, and the first man I met was this calender, our brother, who spoke before me.
1448_135894_000047_000007	You know the remaining part, madam, and the cause of my having the honour to be here.	You know the remaining part, madam, and the cause of my having the honour to be here.
