6965_277898_000007_000000	Laploshka was one of the meanest men I have ever met, and quite one of the most entertaining.	Laploshka was one of the meanest men I have ever met, and quite one of the most entertaining.
6965_277898_000018_000001	The appointments were primitive, but the Schnitzel, the beer, and the cheese could not have been improved on. Good cheer brought good custom, and with the exception of one small table near the door every place was occupied.	The appointments were primitive, but the Schnitzel, the beer, and the cheese could not have been improved on. Good cheer brought good custom, and with the exception of one small table near the door every place was occupied.
6965_277898_000018_000003	Poring over the bill of fare with the absorbed scrutiny of one who seeks the cheapest among the cheap was Laploshka. Once he looked across at me, with a comprehensive glance at my repast, as though to say, "It is my two francs you are eating," and then looked swiftly away.	Poring over the bill of fare with the absorbed scrutiny of one who seeks the cheapest among the cheap was Laploshka. Once he looked across at me, with a comprehensive glance at my repast, as though to say, "It is my two francs you are eating," and then looked swiftly away.
6965_277898_000018_000004	Evidently the poor of Monsieur le Cure had been genuine poor.	Evidently the poor of Monsieur le Cure had been genuine poor.
6965_277898_000018_000007	I lunched next day at an expensive restaurant which I felt sure that the living Laploshka would never have entered on his own account, and I hoped that the dead Laploshka would observe the same barriers.	I lunched next day at an expensive restaurant which I felt sure that the living Laploshka would never have entered on his own account, and I hoped that the dead Laploshka would observe the same barriers.
6965_277898_000018_000008	I was not mistaken, but as I came out I found him miserably studying the bill of fare stuck up on the portals.	I was not mistaken, but as I came out I found him miserably studying the bill of fare stuck up on the portals.
6965_277898_000018_000009	Then he slowly made his way over to a milk-hall.	Then he slowly made his way over to a milk hall.
6965_277898_000018_000010	For the first time in my experience I missed the charm and gaiety of Vienna life.	For the first time in my experience I missed the charm and gaiety of Vienna life.
6965_277898_000019_000000	After that, in Paris or London or wherever I happened to be, I continued to see a good deal of Laploshka.	After that, in Paris or London or wherever I happened to be, I continued to see a good deal of Laploshka.
6965_277898_000019_000002	As I turned into my club on a rainy afternoon I would see him taking inadequate shelter in a doorway opposite.	As I turned into my club on a rainy afternoon I would see him taking inadequate shelter in a doorway opposite.
6965_277898_000019_000003	Even if I indulged in the modest luxury of a penny chair in the Park he generally confronted me from one of the free benches, never staring at me, but always elaborately conscious of my presence.	Even if I indulged in the modest luxury of a penny chair in the Park he generally confronted me from one of the free benches, never staring at me, but always elaborately conscious of my presence.
6965_277898_000019_000004	My friends began to comment on my changed looks, and advised me to leave off heaps of things.	My friends began to comment on my changed looks, and advised me to leave off heaps of things.
6965_277898_000019_000005	I should have liked to have left off Laploshka.	I should have liked to have left off Laploshka.
6965_277898_000020_000000	On a certain Sunday--it was probably Easter, for the crush was worse than ever--I was again wedged into the crowd listening to the music in the fashionable Paris church, and again the collection-bag was buffeting its way across the human sea.	On a certain Sunday-it was probably Easter, for the crush was worse than ever-I was again wedged into the crowd listening to the music in the fashionable Paris church, and again the collection bag was buffeting its way across the human sea.
6965_277898_000020_000001	An English lady behind me was making ineffectual efforts to convey a coin into the still distant bag, so I took the money at her request and helped it forward to its destination. It was a two-franc piece.	An English lady behind me was making ineffectual efforts to convey a coin into the still distant bag, so I took the money at her request and helped it forward to its destination. It was a two franc piece.
6965_277898_000021_000000	The delicate mission of bestowing the retrieved sum on the deserving rich still confronted me.	The delicate mission of bestowing the retrieved sum on the deserving rich still confronted me.
6965_277898_000021_000001	Again I trusted to the inspiration of accident, and again fortune favoured me.	Again I trusted to the inspiration of accident, and again fortune favoured me.
6965_277898_000021_000003	It was now or never. Putting a strong American inflection into the French which I usually talked with an unmistakable British accent, I catechised the Baron as to the date of the church's building, its dimensions, and other details which an American tourist would be certain to want to know.	It was now or never. Putting a strong American inflection into the French which I usually talked with an unmistakable British accent, I catechised the Baron as to the date of the church's building, its dimensions, and other details which an American tourist would be certain to want to know.
6965_277898_000021_000004	Having acquired such information as the Baron was able to impart on short notice, I solemnly placed the two-franc piece in his hand, with the hearty assurance that it was "pour vous," and turned to go.	Having acquired such information as the Baron was able to impart on short notice, I solemnly placed the two franc piece in his hand, with the hearty assurance that it was "pour vous," and turned to go.
6965_277898_000021_000005	The Baron was slightly taken aback, but accepted the situation with a good grace. Walking over to a small box fixed in the wall, he dropped Laploshka's two francs into the slot.	The Baron was slightly taken aback, but accepted the situation with a good grace. Walking over to a small box fixed in the wall, he dropped Laploshka's two francs into the slot.
6965_277898_000022_000000	That evening, at the crowded corner by the Cafe de la Paix, I caught a fleeting glimpse of Laploshka.	That evening, at the crowded corner by the Cafe de la Paix, I caught a fleeting glimpse of Laploshka.
6965_277898_000022_000001	He smiled, slightly raised his hat, and vanished.	He smiled, slightly raised his hat, and vanished.
