3032_19361_000000_000000	LAW I. _Planets move in ellipses, with the Sun in one focus._	LAW i underscore Planets move in ellipses, with the Sun in one focus.underscore	false	109.05	141.75	21.996206
3032_19361_000019_000005	He was a sickly lad, subject to violent illnesses from the cradle, so that his life was frequently despaired of.	He was a sickly lad, subject to violent illnesses from the cradle, so that his life was frequently despaired of.	true	541.64	549.55	22.758018
3032_19361_000019_000006	Ultimately he was sent to a monastic school and thence to the University of Tuebingen, where he graduated second on the list.	Ultimately he was sent to a monastic school and thence to the University of Tuebingen, where he graduated second on the list.	true	549.77	558.73	23.227684
3032_19361_000019_000007	Meanwhile home affairs had gone to rack and ruin. His father abandoned the home, and later died abroad.	Meanwhile home affairs had gone to rack and ruin. His father abandoned the home, and later died abroad.	true	559.16	566.68	22.637985
3032_19361_000019_000008	The mother quarrelled with all her relations, including her son John; who was therefore glad to get away as soon as possible.	The mother quarrelled with all her relations, including her son john; who was therefore glad to get away as soon as possible.	false	566.75	574.69	22.66597
3032_19361_000020_000000	All his connection with astronomy up to this time had been the hearing the Copernican theory expounded in University lectures, and defending it in a college debating society.	All his connection with astronomy up to this time had been the hearing the Copernican theory expounded in University lectures, and defending it in a college debating society.	false	575.33	586.3	21.452171
3032_19361_000021_000000	An astronomical lectureship at Graz happening to offer itself, he was urged to take it, and agreed to do so, though stipulating that it should not debar him from some more brilliant profession when there was a chance.	An astronomical lectureship at Graz happening to offer itself, he was urged to take it, and agreed to do so, though stipulating that it should not debar him from some more brilliant profession when there was a chance.	true	586.88	600.67	22.864962
3032_19361_000022_000000	For astronomy in those days seems to have ranked as a minor science, like mineralogy or meteorology now.	For astronomy in those days seems to have ranked as a minor science, like mineralogy or meteorology now.	true	601.22	608.95	20.866714
3032_19361_000022_000001	It had little of the special dignity with which the labours of Kepler himself were destined so greatly to aid in endowing it.	It had little of the special dignity with which the labours of Kepler himself were destined so greatly to aid in endowing it.	true	609.29	617.53	22.351324
3032_19361_000023_000000	Well, he speedily became a thorough Copernican, and as he had a most singularly restless and inquisitive mind, full of appreciation of everything relating to number and magnitude--was a born speculator and thinker just as Mozart was a born musician, or Bidder a born calculator--he was agitated by questions such as these: Why are there exactly six planets?	Well, he speedily became a thorough Copernican, and as he had a most singularly restless and inquisitive mind, full of appreciation of everything relating to number and magnitude-was a born speculator and thinker just as Mozart was a born musician, or Bidder a born calculator-he was agitated by questions such as these: Why are there exactly six planets?	true	618.65	645.79	22.129007
3032_19361_000023_000001	Is there any connection between their orbital distances, or between their orbits and the times of describing them? These things tormented him, and he thought about them day and night.	Is there any connection between their orbital distances, or between their orbits and the times of describing them? These things tormented him, and he thought about them day and night.	true	646.04	657.97	22.63981
3032_19361_000023_000002	It is characteristic of the spirit of the times--this questioning why there should be six planets.	It is characteristic of the spirit of the times-this questioning why there should be six planets.	false	658.22	664.66	23.617558
3032_19361_000023_000003	Nowadays, we should simply record the fact and look out for a seventh.	Nowadays, we should simply record the fact and look out for a seventh.	true	664.85	669.13	22.87589
3032_19361_000023_000004	Then, some occult property of the number six was groped for, such as that it was equal to 1 + 2 + 3 and likewise equal to 1 x 2 x 3, and so on.	Then, some occult property of the number six was groped for, such as that it was equal to one plus two plus three and likewise equal to one by two by three, and so on.	false	669.53	682.36	22.366543
3032_19361_000023_000005	Many fine reasons had been given for the seven planets of the Ptolemaic system (see, for instance, p. 106), but for the six planets of the Copernican system the reasons were not so cogent.	Many fine reasons had been given for the seven planets of the Ptolemaic system (see, for instance, p. one hundred six), but for the six planets of the Copernican system the reasons were not so cogent.	false	683.33	694.12	21.775175
3032_19361_000024_000000	Again, with respect to their successive distances from the sun, some law would seem to regulate their distance, but it was not known. (Parenthetically I may remark that it is not known even now: a crude empirical statement known as Bode's law--see page 294--is all that has been discovered.)	Again, with respect to their successive distances from the sun, some law would seem to regulate their distance, but it was not known. (Parenthetically I may remark that it is not known even now: a crude empirical statement known as Bode's law-see page two hundred ninety four--is all that has been discovered.)	false	694.55	713.14	22.85045
3032_19361_000025_000000	Once more, the further the planet the slower it moved; there seemed to be some law connecting speed and distance.	Once more, the further the planet the slower it moved; there seemed to be some law connecting speed and distance.	true	713.66	721	23.985477
3032_19361_000025_000001	This also Kepler made continual attempts to discover.	This also Kepler made continual attempts to discover.	true	721.19	724.8	23.607084
3032_19361_000026_000000	[Illustration: FIG. 26.--Orbits of some of the planets drawn to scale: showing the gap between Mars and Jupiter.]	[Illustration: FIG. twenty six.--Orbits of some of the planets drawn to scale: showing the gap between Mars and Jupiter.]	false	724.8	725.88	-20
3032_19361_000027_000000	One of his ideas concerning the law of the successive distances was based on the inscription of a triangle in a circle.	One of his ideas concerning the law of the successive distances was based on the inscription of a triangle in a circle.	true	725.88	733.63	20.097609
3032_19361_000027_000001	If you inscribe in a circle a large number of equilateral triangles, they envelop another circle bearing a definite ratio to the first: these might do for the orbits of two planets (see Fig. 27).	If you inscribe in a circle a large number of equilateral triangles, they envelop another circle bearing a definite ratio to the first: these might do for the orbits of two planets (see Fig. twenty seven).	false	733.91	748.86	22.714725
3032_19361_000027_000002	Then try inscribing and circumscribing squares, hexagons, and other figures, and see if the circles thus defined would correspond to the several planetary orbits. But they would not give any satisfactory result.	Then try inscribing and circumscribing squares, hexagons, and other figures, and see if the circles thus defined would correspond to the several planetary orbits. But they would not give any satisfactory result.	true	748.86	765.16	22.323477
3032_19361_000027_000003	Brooding over this disappointment, the idea of trying solid figures suddenly strikes him. "What have plane figures to do with the celestial orbits?" he cries out; "inscribe the regular solids." And then--brilliant idea--he remembers that there are but five.	Brooding over this disappointment, the idea of trying solid figures suddenly strikes him. "What have plane figures to do with the celestial orbits?" he cries out; "inscribe the regular solids." And then-brilliant idea-he remembers that there are but five.	true	765.59	786.7	22.323048
3032_19361_000027_000004	Euclid had shown that there could be only five regular solids.[4] The number evidently corresponds to the gaps between the six planets.	Euclid had shown that there could be only five regular solids.[four] The number evidently corresponds to the gaps between the six planets.	false	787.04	797.71	23.092607
3032_19361_000027_000005	The reason of there being only six seems to be attained.	The reason of there being only six seems to be attained.	true	798.11	802.39	19.465923
3032_19361_000027_000006	This coincidence assures him he is on the right track, and with great enthusiasm and hope he "represents the earth's orbit by a sphere as the norm and measure of all"; round it he circumscribes a dodecahedron, and puts another sphere round that, which is approximately the orbit of Mars; round that, again, a tetrahedron, the corners of which mark the sphere of the orbit of Jupiter; round that sphere, again, he places a cube, which roughly gives the orbit of Saturn.	This coincidence assures him he is on the right track, and with great enthusiasm and hope he "represents the earth's orbit by a sphere as the norm and measure of all"; round it he circumscribes a dodecahedron, and puts another sphere round that, which is approximately the orbit of Mars; round that, again, a tetrahedron, the corners of which mark the sphere of the orbit of Jupiter; round that sphere, again, he places a cube, which roughly gives the orbit of Saturn.	true	802.52	837.75	22.715189
3032_19361_000028_000000	[Illustration: FIG. 27.--Many-sided polygon or approximate circle enveloped by straight lines, as for instance by a number of equilateral triangles.]	[Illustration: FIG. twenty seven.--Many sided polygon or approximate circle enveloped by straight lines, as for instance by a number of equilateral triangles.]	false	837.75	838.62	-20
3032_19361_000029_000000	On the other hand, he inscribes in the sphere of the earth's orbit an icosahedron; and inside the sphere determined by that, an octahedron; which figures he takes to inclose the spheres of Venus and of Mercury respectively.	On the other hand, he inscribes in the sphere of the earth's orbit an icosahedron; and inside the sphere determined by that, an octahedron; which figures he takes to inclose the spheres of Venus and of Mercury respectively.	true	838.62	856	23.716349
3032_19361_000030_000000	The imagined discovery is purely fictitious and accidental.	The imagined discovery is purely fictitious and accidental.	true	856.82	861.01	24.089819
3032_19361_000030_000001	First of all, eight planets are now known; and secondly, their real distances agree only very approximately with Kepler's hypothesis.	First of all, eight planets are now known; and secondly, their real distances agree only very approximately with Kepler's hypothesis.	true	861.26	871.38	23.058516
3032_19361_000031_000000	[Illustration: FIG. 28.--Frameworks with inscribed and circumscribed spheres, representing the five regular solids distributed as Kepler supposed them to be among the planetary orbits. (See "Summary" at beginning of this lecture, p. 57.)]	[Illustration: FIG. twenty eight.--Frameworks with inscribed and circumscribed spheres, representing the five regular solids distributed as Kepler supposed them to be among the planetary orbits. (See "Summary" at beginning of this lecture, p. fifty seven.)]	false	871.38	872.595	-4
3032_19361_000032_000000	Nevertheless, the idea gave him great delight.	Nevertheless, the idea gave him great delight.	true	872.595	876.19	23.386324
3032_19361_000032_000001	He says:--"The intense pleasure I have received from this discovery can never be told in words. I regretted no more the time wasted; I tired of no labour; I shunned no toil of reckoning, days and nights spent in calculation, until I could see whether my hypothesis would agree with the orbits of Copernicus, or whether my joy was to vanish into air."	He says:--"The intense pleasure I have received from this discovery can never be told in words. I regretted no more the time wasted; I tired of no labour; I shunned no toil of reckoning, days and nights spent in calculation, until I could see whether my hypothesis would agree with the orbits of Copernicus, or whether my joy was to vanish into air."	true	876.35	901.72	22.174576
3032_19361_000033_000000	He then went on to speculate as to the cause of the planets' motion. The old idea was that they were carried round by angels or celestial intelligences.	He then went on to speculate as to the cause of the planets' motion. The old idea was that they were carried round by angels or celestial intelligences.	true	901.91	913.09	21.651323
3032_19361_000033_000001	Kepler tried to establish some propelling force emanating from the sun, like the spokes of a windmill.	Kepler tried to establish some propelling force emanating from the sun, like the spokes of a windmill.	true	913.28	920.86	22.883251
3032_19361_000034_000000	This first book of his brought him into notice, and served as an introduction to Tycho and to Galileo.	This first book of his brought him into notice, and served as an introduction to Tycho and to Galileo.	true	921.35	929.16	21.891315
3032_19361_000035_000000	Tycho Brahe was at this time at Prague under the patronage of the Emperor Rudolph; and as he was known to have by far the best planetary observations of any man living, Kepler wrote to him to know if he might come and examine them so as to perfect his theory.	Tycho Brahe was at this time at Prague under the patronage of the Emperor Rudolph; and as he was known to have by far the best planetary observations of any man living, Kepler wrote to him to know if he might come and examine them so as to perfect his theory.	false	929.16	950.14	22.210762
3032_19361_000036_000000	Tycho immediately replied, "Come, not as a stranger, but as a very welcome friend; come and share in my observations with such instruments as I have with me, and as a dearly beloved associate." After this visit, Tycho wrote again, offering him the post of mathematical assistant, which after hesitation was accepted.	Tycho immediately replied, "Come, not as a stranger, but as a very welcome friend; come and share in my observations with such instruments as I have with me, and as a dearly beloved associate." After this visit, Tycho wrote again, offering him the post of mathematical assistant, which after hesitation was accepted.	true	950.66	976.42	21.672802
3032_19361_000036_000001	Part of the hesitation Kepler expresses by saying that "for observations his sight was dull, and for mechanical operations his hand was awkward.	Part of the hesitation Kepler expresses by saying that "for observations his sight was dull, and for mechanical operations his hand was awkward.	true	977.42	988.96	22.55959
3032_19361_000036_000002	He suffered much from weak eyes, and dare not expose himself to night air." In all this he was, of course, the antipodes of Tycho, but in mathematical skill he was greatly his superior.	He suffered much from weak eyes, and dare not expose himself to night air." In all this he was, of course, the antipodes of Tycho, but in mathematical skill he was greatly his superior.	true	989.06	1004.2	22.17202
3032_19361_000037_000000	On his way to Prague he was seized with one of his periodical illnesses, and all his means were exhausted by the time he could set forward again, so that he had to apply for help to Tycho.	On his way to Prague he was seized with one of his periodical illnesses, and all his means were exhausted by the time he could set forward again, so that he had to apply for help to Tycho.	true	1004.81	1018.6	24.0103
3032_19361_000038_000000	It is clear, indeed, that for some time now he subsisted entirely on the bounty of Tycho, and he expresses himself most deeply grateful for all the kindness he received from that noble and distinguished man, the head of the scientific world at that date.	It is clear, indeed, that for some time now he subsisted entirely on the bounty of Tycho, and he expresses himself most deeply grateful for all the kindness he received from that noble and distinguished man, the head of the scientific world at that date.	true	1019.39	1038.73	22.255379
3032_19361_000039_000000	To illustrate Tycho's kindness and generosity, I must read you a letter written to him by Kepler.	To illustrate Tycho's kindness and generosity, I must read you a letter written to him by Kepler.	true	1039.46	1046.5	22.750565
3032_19361_000039_000001	It seems that Kepler, on one of his absences from Prague, driven half mad with poverty and trouble, fell foul of Tycho, whom he thought to be behaving badly in money matters to him and his family, and wrote him a violent letter full of reproaches and insults.	It seems that Kepler, on one of his absences from Prague, driven half mad with poverty and trouble, fell foul of Tycho, whom he thought to be behaving badly in money matters to him and his family, and wrote him a violent letter full of reproaches and insults.	false	1046.69	1066.6	23.529943
3032_19361_000039_000002	Tycho's secretary replied quietly enough, pointing out the groundlessness and ingratitude of the accusation.	Tycho's secretary replied quietly enough, pointing out the groundlessness and ingratitude of the accusation.	true	1067.09	1075.42	23.926197
3032_19361_000040_000000	Kepler repents instantly, and replies:--	Kepler repents instantly, and replies:--	true	1075.88	1079.35	22.764112
3032_19361_000041_000000	"MOST NOBLE TYCHO," (these are the words of his letter), "how shall I enumerate or rightly estimate your benefits conferred on me?	"MOST NOBLE TYCHO," (these are the words of his letter), "how shall I enumerate or rightly estimate your benefits conferred on me?	true	1080.26	1090.9	22.812576
3032_19361_000041_000001	For two months you have liberally and gratuitously maintained me, and my whole family; you have provided for all my wishes; you have done me every possible kindness; you have communicated to me everything you hold most dear; no one, by word or deed, has intentionally injured me in anything; in short, not to your children, your wife, or yourself have you shown more indulgence than to me.	For two months you have liberally and gratuitously maintained me, and my whole family; you have provided for all my wishes; you have done me every possible kindness; you have communicated to me everything you hold most dear; no one, by word or deed, has intentionally injured me in anything; in short, not to your children, your wife, or yourself have you shown more indulgence than to me.	true	1091.18	1122.07	21.18876
3032_19361_000041_000002	This being so, as I am anxious to put on record, I cannot reflect without consternation that I should have been so given up by God to my own intemperance as to shut my eyes on all these benefits; that, instead of modest and respectful gratitude, I should indulge for three weeks in continual moroseness towards all your family, in headlong passion and the utmost insolence towards yourself, who possess so many claims on my veneration, from your noble family, your extraordinary learning, and distinguished reputation.	This being so, as I am anxious to put on record, I cannot reflect without consternation that I should have been so given up by God to my own intemperance as to shut my eyes on all these benefits; that, instead of modest and respectful gratitude, I should indulge for three weeks in continual moroseness towards all your family, in headlong passion and the utmost insolence towards yourself, who possess so many claims on my veneration, from your noble family, your extraordinary learning, and distinguished reputation.	true	1122.47	1161.4	22.029703
3032_19361_000041_000003	Whatever I have said or written against the person, the fame, the honour, and the learning of your excellency; or whatever, in any other way, I have injuriously spoken or written (if they admit no other more favourable interpretation), as, to my grief, I have spoken and written many things, and more than I can remember; all and everything I recant, and freely and honestly declare and profess to be groundless, false, and incapable of proof."	Whatever I have said or written against the person, the fame, the honour, and the learning of your excellency; or whatever, in any other way, I have injuriously spoken or written (if they admit no other more favourable interpretation), as, to my grief, I have spoken and written many things, and more than I can remember; all and everything I recant, and freely and honestly declare and profess to be groundless, false, and incapable of proof."	true	1161.77	1196.89	22.582577
3032_19361_000042_000000	Tycho accepted the apology thus heartily rendered, and the temporary breach was permanently healed.	Tycho accepted the apology thus heartily rendered, and the temporary breach was permanently healed.	true	1196.9	1203.91	22.846165
3032_19361_000043_000000	In 1601, Kepler was appointed "Imperial mathematician," to assist Tycho in his calculations.	In sixteen o one, Kepler was appointed "Imperial mathematician," to assist Tycho in his calculations.	true	1204.34	1211.95	22.705385
3032_19361_000044_000000	The Emperor Rudolph did a good piece of work in thus maintaining these two eminent men, but it is quite clear that it was as astrologers that he valued them; and all he cared for in the planetary motions was limited to their supposed effect on his own and his kingdom's destiny. He seems to have been politically a weak and superstitious prince, who was letting his kingdom get into hopeless confusion, and entangling himself in all manner of political complications.	The Emperor Rudolph did a good piece of work in thus maintaining these two eminent men, but it is quite clear that it was as astrologers that he valued them; and all he cared for in the planetary motions was limited to their supposed effect on his own and his kingdom's destiny. He seems to have been politically a weak and superstitious prince, who was letting his kingdom get into hopeless confusion, and entangling himself in all manner of political complications.	true	1212.23	1243.6	22.903545
3032_19361_000044_000001	While Bohemia suffered, however, the world has benefited at his hands; and the tables upon which Tycho was now engaged are well called the Rudolphine tables.	While Bohemia suffered, however, the world has benefited at his hands; and the tables upon which Tycho was now engaged are well called the Rudolphine tables.	true	1244.21	1256.35	23.512566
3032_19361_000045_000000	These tables of planetary motion Tycho had always regarded as the main work of his life; but he died before they were finished, and on his death-bed he intrusted the completion of them to Kepler, who loyally undertook their charge.	These tables of planetary motion Tycho had always regarded as the main work of his life; but he died before they were finished, and on his death bed he intrusted the completion of them to Kepler, who loyally undertook their charge.	true	1257.32	1273.72	22.247957
3032_19361_000046_000000	The Imperial funds were by this time, however, so taxed by wars and other difficulties that the tables could only be proceeded with very slowly, a staff of calculators being out of the question.	The Imperial funds were by this time, however, so taxed by wars and other difficulties that the tables could only be proceeded with very slowly, a staff of calculators being out of the question.	true	1274.96	1289.14	23.459948
3032_19361_000046_000001	In fact, Kepler could not get even his own salary paid: he got orders, and promises, and drafts on estates for it; but when the time came for them to be honoured they were worthless, and he had no power to enforce his claims.	In fact, Kepler could not get even his own salary paid: he got orders, and promises, and drafts on estates for it; but when the time came for them to be honoured they were worthless, and he had no power to enforce his claims.	true	1289.39	1306.42	23.1293
3032_19361_000047_000000	So everything but brooding had to be abandoned as too expensive, and he proceeded to study optics.	So everything but brooding had to be abandoned as too expensive, and he proceeded to study optics.	true	1306.88	1313.86	22.837006
3032_19361_000047_000001	He gave a very accurate explanation of the action of the human eye, and made many hypotheses, some of them shrewd and close to the mark, concerning the law of refraction of light in dense media: but though several minor points of interest turned up, nothing of the first magnitude came out of this long research.	He gave a very accurate explanation of the action of the human eye, and made many hypotheses, some of them shrewd and close to the mark, concerning the law of refraction of light in dense media: but though several minor points of interest turned up, nothing of the first magnitude came out of this long research.	true	1314.2	1335.22	22.97795
3032_19361_000048_000000	The true law of refraction was discovered some years after by a Dutch professor, Willebrod Snell.	The true law of refraction was discovered some years after by a Dutch professor, Willebrod Snell.	true	1335.86	1343.41	25.223219
3032_19361_000049_000000	We must now devote a little time to the main work of Kepler's life.	We must now devote a little time to the main work of Kepler's life.	true	1344.2	1348.57	23.15891
3032_19361_000049_000001	All the time he had been at Prague he had been making a severe study of the motion of the planet Mars, analyzing minutely Tycho's books of observations, in order to find out, if possible, the true theory of his motion.	All the time he had been at Prague he had been making a severe study of the motion of the planet Mars, analyzing minutely Tycho's books of observations, in order to find out, if possible, the true theory of his motion.	true	1348.76	1365.01	23.017586
3032_19361_000049_000002	Aristotle had taught that circular motion was the only perfect and natural motion, and that the heavenly bodies therefore necessarily moved in circles.	Aristotle had taught that circular motion was the only perfect and natural motion, and that the heavenly bodies therefore necessarily moved in circles.	true	1365.38	1375.96	23.25178
3032_19361_000050_000000	So firmly had this idea become rooted in men's minds, that no one ever seems to have contemplated the possibility of its being false or meaningless.	So firmly had this idea become rooted in men's minds, that no one ever seems to have contemplated the possibility of its being false or meaningless.	true	1376.48	1387.54	21.773176
3032_19361_000051_000000	When Hipparchus and others found that, as a matter of fact, the planets did _not_ revolve in simple circles, they did not try other curves, as we should at once do now, but they tried combinations of circles, as we saw in Lecture I. The small circle carried by a bigger one was called an Epicycle.	When Hipparchus and others found that, as a matter of fact, the planets did underscore not underscore revolve in simple circles, they did not try other curves, as we should at once do now, but they tried combinations of circles, as we saw in Lecture i The small circle carried by a bigger one was called an Epicycle.	false	1388.03	1411.63	24.21246
3032_19361_000051_000001	The carrying circle was called the Deferent.	The carrying circle was called the Deferent.	true	1411.94	1415.32	20.679996
3032_19361_000051_000002	If for any reason the earth had to be placed out of the centre, the main planetary orbit was called an Excentric, and so on.	If for any reason the earth had to be placed out of the centre, the main planetary orbit was called an Excentric, and so on.	true	1415.69	1425.43	22.650898
3032_19361_000052_000000	But although the planetary paths might be roughly represented by a combination of circles, their speeds could not, on the hypothesis of uniform motion in each circle round the earth as a fixed body.	But although the planetary paths might be roughly represented by a combination of circles, their speeds could not, on the hypothesis of uniform motion in each circle round the earth as a fixed body.	true	1426.46	1441	22.744068
