3032_19361_000002_000000	Published his second book containing these laws in 1609.	Published his second book containing these laws in sixteen o nine.
3032_19361_000023_000000	Well, he speedily became a thorough Copernican, and as he had a most singularly restless and inquisitive mind, full of appreciation of everything relating to number and magnitude--was a born speculator and thinker just as Mozart was a born musician, or Bidder a born calculator--he was agitated by questions such as these: Why are there exactly six planets?	Well, he speedily became a thorough Copernican, and as he had a most singularly restless and inquisitive mind, full of appreciation of everything relating to number and magnitude-was a born speculator and thinker just as Mozart was a born musician, or Bidder a born calculator-he was agitated by questions such as these: Why are there exactly six planets?
3032_19361_000023_000001	Is there any connection between their orbital distances, or between their orbits and the times of describing them? These things tormented him, and he thought about them day and night.	Is there any connection between their orbital distances, or between their orbits and the times of describing them? These things tormented him, and he thought about them day and night.
3032_19361_000023_000003	Nowadays, we should simply record the fact and look out for a seventh.	Nowadays, we should simply record the fact and look out for a seventh.
3032_19361_000025_000000	Once more, the further the planet the slower it moved; there seemed to be some law connecting speed and distance.	Once more, the further the planet the slower it moved; there seemed to be some law connecting speed and distance.
3032_19361_000025_000001	This also Kepler made continual attempts to discover.	This also Kepler made continual attempts to discover.
3032_19361_000027_000000	One of his ideas concerning the law of the successive distances was based on the inscription of a triangle in a circle.	One of his ideas concerning the law of the successive distances was based on the inscription of a triangle in a circle.
3032_19361_000027_000002	Then try inscribing and circumscribing squares, hexagons, and other figures, and see if the circles thus defined would correspond to the several planetary orbits. But they would not give any satisfactory result.	Then try inscribing and circumscribing squares, hexagons, and other figures, and see if the circles thus defined would correspond to the several planetary orbits. But they would not give any satisfactory result.
3032_19361_000027_000003	Brooding over this disappointment, the idea of trying solid figures suddenly strikes him. "What have plane figures to do with the celestial orbits?" he cries out; "inscribe the regular solids." And then--brilliant idea--he remembers that there are but five.	Brooding over this disappointment, the idea of trying solid figures suddenly strikes him. "What have plane figures to do with the celestial orbits?" he cries out; "inscribe the regular solids." And then-brilliant idea-he remembers that there are but five.
3032_19361_000029_000000	On the other hand, he inscribes in the sphere of the earth's orbit an icosahedron; and inside the sphere determined by that, an octahedron; which figures he takes to inclose the spheres of Venus and of Mercury respectively.	On the other hand, he inscribes in the sphere of the earth's orbit an icosahedron; and inside the sphere determined by that, an octahedron; which figures he takes to inclose the spheres of Venus and of Mercury respectively.
3032_19361_000030_000000	The imagined discovery is purely fictitious and accidental.	The imagined discovery is purely fictitious and accidental.
3032_19361_000030_000001	First of all, eight planets are now known; and secondly, their real distances agree only very approximately with Kepler's hypothesis.	First of all, eight planets are now known; and secondly, their real distances agree only very approximately with Kepler's hypothesis.
3032_19361_000032_000000	Nevertheless, the idea gave him great delight.	Nevertheless, the idea gave him great delight.
3032_19361_000032_000001	He says:--"The intense pleasure I have received from this discovery can never be told in words. I regretted no more the time wasted; I tired of no labour; I shunned no toil of reckoning, days and nights spent in calculation, until I could see whether my hypothesis would agree with the orbits of Copernicus, or whether my joy was to vanish into air."	He says:--"The intense pleasure I have received from this discovery can never be told in words. I regretted no more the time wasted; I tired of no labour; I shunned no toil of reckoning, days and nights spent in calculation, until I could see whether my hypothesis would agree with the orbits of Copernicus, or whether my joy was to vanish into air."
3032_19361_000033_000000	He then went on to speculate as to the cause of the planets' motion. The old idea was that they were carried round by angels or celestial intelligences.	He then went on to speculate as to the cause of the planets' motion. The old idea was that they were carried round by angels or celestial intelligences.
3032_19361_000033_000001	Kepler tried to establish some propelling force emanating from the sun, like the spokes of a windmill.	Kepler tried to establish some propelling force emanating from the sun, like the spokes of a windmill.
3032_19361_000034_000000	This first book of his brought him into notice, and served as an introduction to Tycho and to Galileo.	This first book of his brought him into notice, and served as an introduction to Tycho and to Galileo.
3032_19361_000036_000000	Tycho immediately replied, "Come, not as a stranger, but as a very welcome friend; come and share in my observations with such instruments as I have with me, and as a dearly beloved associate." After this visit, Tycho wrote again, offering him the post of mathematical assistant, which after hesitation was accepted.	Tycho immediately replied, "Come, not as a stranger, but as a very welcome friend; come and share in my observations with such instruments as I have with me, and as a dearly beloved associate." After this visit, Tycho wrote again, offering him the post of mathematical assistant, which after hesitation was accepted.
3032_19361_000036_000001	Part of the hesitation Kepler expresses by saying that "for observations his sight was dull, and for mechanical operations his hand was awkward.	Part of the hesitation Kepler expresses by saying that "for observations his sight was dull, and for mechanical operations his hand was awkward.
3032_19361_000036_000002	He suffered much from weak eyes, and dare not expose himself to night air." In all this he was, of course, the antipodes of Tycho, but in mathematical skill he was greatly his superior.	He suffered much from weak eyes, and dare not expose himself to night air." In all this he was, of course, the antipodes of Tycho, but in mathematical skill he was greatly his superior.
3032_19361_000037_000000	On his way to Prague he was seized with one of his periodical illnesses, and all his means were exhausted by the time he could set forward again, so that he had to apply for help to Tycho.	On his way to Prague he was seized with one of his periodical illnesses, and all his means were exhausted by the time he could set forward again, so that he had to apply for help to Tycho.
3032_19361_000038_000000	It is clear, indeed, that for some time now he subsisted entirely on the bounty of Tycho, and he expresses himself most deeply grateful for all the kindness he received from that noble and distinguished man, the head of the scientific world at that date.	It is clear, indeed, that for some time now he subsisted entirely on the bounty of Tycho, and he expresses himself most deeply grateful for all the kindness he received from that noble and distinguished man, the head of the scientific world at that date.
3032_19361_000039_000000	To illustrate Tycho's kindness and generosity, I must read you a letter written to him by Kepler.	To illustrate Tycho's kindness and generosity, I must read you a letter written to him by Kepler.
3032_19361_000039_000002	Tycho's secretary replied quietly enough, pointing out the groundlessness and ingratitude of the accusation.	Tycho's secretary replied quietly enough, pointing out the groundlessness and ingratitude of the accusation.
3032_19361_000040_000000	Kepler repents instantly, and replies:--	Kepler repents instantly, and replies:--
3032_19361_000041_000000	"MOST NOBLE TYCHO," (these are the words of his letter), "how shall I enumerate or rightly estimate your benefits conferred on me?	"MOST NOBLE TYCHO," (these are the words of his letter), "how shall I enumerate or rightly estimate your benefits conferred on me?
3032_19361_000041_000001	For two months you have liberally and gratuitously maintained me, and my whole family; you have provided for all my wishes; you have done me every possible kindness; you have communicated to me everything you hold most dear; no one, by word or deed, has intentionally injured me in anything; in short, not to your children, your wife, or yourself have you shown more indulgence than to me.	For two months you have liberally and gratuitously maintained me, and my whole family; you have provided for all my wishes; you have done me every possible kindness; you have communicated to me everything you hold most dear; no one, by word or deed, has intentionally injured me in anything; in short, not to your children, your wife, or yourself have you shown more indulgence than to me.
3032_19361_000042_000000	Tycho accepted the apology thus heartily rendered, and the temporary breach was permanently healed.	Tycho accepted the apology thus heartily rendered, and the temporary breach was permanently healed.
3032_19361_000043_000000	In 1601, Kepler was appointed "Imperial mathematician," to assist Tycho in his calculations.	In sixteen o one, Kepler was appointed "Imperial mathematician," to assist Tycho in his calculations.
3032_19361_000044_000001	While Bohemia suffered, however, the world has benefited at his hands; and the tables upon which Tycho was now engaged are well called the Rudolphine tables.	While Bohemia suffered, however, the world has benefited at his hands; and the tables upon which Tycho was now engaged are well called the Rudolphine tables.
3032_19361_000045_000000	These tables of planetary motion Tycho had always regarded as the main work of his life; but he died before they were finished, and on his death-bed he intrusted the completion of them to Kepler, who loyally undertook their charge.	These tables of planetary motion Tycho had always regarded as the main work of his life; but he died before they were finished, and on his death bed he intrusted the completion of them to Kepler, who loyally undertook their charge.
3032_19361_000046_000000	The Imperial funds were by this time, however, so taxed by wars and other difficulties that the tables could only be proceeded with very slowly, a staff of calculators being out of the question.	The Imperial funds were by this time, however, so taxed by wars and other difficulties that the tables could only be proceeded with very slowly, a staff of calculators being out of the question.
3032_19361_000046_000001	In fact, Kepler could not get even his own salary paid: he got orders, and promises, and drafts on estates for it; but when the time came for them to be honoured they were worthless, and he had no power to enforce his claims.	In fact, Kepler could not get even his own salary paid: he got orders, and promises, and drafts on estates for it; but when the time came for them to be honoured they were worthless, and he had no power to enforce his claims.
3032_19361_000047_000000	So everything but brooding had to be abandoned as too expensive, and he proceeded to study optics.	So everything but brooding had to be abandoned as too expensive, and he proceeded to study optics.
3032_19361_000047_000001	He gave a very accurate explanation of the action of the human eye, and made many hypotheses, some of them shrewd and close to the mark, concerning the law of refraction of light in dense media: but though several minor points of interest turned up, nothing of the first magnitude came out of this long research.	He gave a very accurate explanation of the action of the human eye, and made many hypotheses, some of them shrewd and close to the mark, concerning the law of refraction of light in dense media: but though several minor points of interest turned up, nothing of the first magnitude came out of this long research.
3032_19361_000048_000000	The true law of refraction was discovered some years after by a Dutch professor, Willebrod Snell.	The true law of refraction was discovered some years after by a Dutch professor, Willebrod Snell.
3032_19361_000049_000000	We must now devote a little time to the main work of Kepler's life.	We must now devote a little time to the main work of Kepler's life.
3032_19361_000049_000001	All the time he had been at Prague he had been making a severe study of the motion of the planet Mars, analyzing minutely Tycho's books of observations, in order to find out, if possible, the true theory of his motion.	All the time he had been at Prague he had been making a severe study of the motion of the planet Mars, analyzing minutely Tycho's books of observations, in order to find out, if possible, the true theory of his motion.
3032_19361_000049_000002	Aristotle had taught that circular motion was the only perfect and natural motion, and that the heavenly bodies therefore necessarily moved in circles.	Aristotle had taught that circular motion was the only perfect and natural motion, and that the heavenly bodies therefore necessarily moved in circles.
3032_19361_000050_000000	So firmly had this idea become rooted in men's minds, that no one ever seems to have contemplated the possibility of its being false or meaningless.	So firmly had this idea become rooted in men's minds, that no one ever seems to have contemplated the possibility of its being false or meaningless.
3032_19361_000051_000001	The carrying circle was called the Deferent.	The carrying circle was called the Deferent.
3032_19361_000051_000002	If for any reason the earth had to be placed out of the centre, the main planetary orbit was called an Excentric, and so on.	If for any reason the earth had to be placed out of the centre, the main planetary orbit was called an Excentric, and so on.
3032_19361_000052_000000	But although the planetary paths might be roughly represented by a combination of circles, their speeds could not, on the hypothesis of uniform motion in each circle round the earth as a fixed body.	But although the planetary paths might be roughly represented by a combination of circles, their speeds could not, on the hypothesis of uniform motion in each circle round the earth as a fixed body.
3032_19361_000053_000000	But now that Kepler had the accurate observations of Tycho to refer to, he found immense difficulty in obtaining the true positions of the planets for long together on any such theory.	But now that Kepler had the accurate observations of Tycho to refer to, he found immense difficulty in obtaining the true positions of the planets for long together on any such theory.
3032_19361_000054_000000	He specially attacked the motion of the planet Mars, because that was sufficiently rapid in its changes for a considerable collection of data to have accumulated with respect to it.	He specially attacked the motion of the planet Mars, because that was sufficiently rapid in its changes for a considerable collection of data to have accumulated with respect to it.
3032_19361_000054_000001	He tried all manner of circular orbits for the earth and for Mars, placing them in all sorts of aspects with respect to the sun.	He tried all manner of circular orbits for the earth and for Mars, placing them in all sorts of aspects with respect to the sun
3032_19361_000054_000002	The problem to be solved was to choose such an orbit and such a law of speed, for both the earth and Mars, that a line joining them, produced out to the stars, should always mark correctly the apparent position of Mars as seen from the earth.	The problem to be solved was to choose such an orbit and such a law of speed, for both the earth and Mars, that a line joining them, produced out to the stars, should always mark correctly the apparent position of Mars as seen from the earth.
3032_19361_000054_000003	He had to arrange the size of the orbits that suited best, then the positions of their centres, both being supposed excentric with respect to the sun; but he could not get any such arrangement to work with uniform motion about the sun.	He had to arrange the size of the orbits that suited best, then the positions of their centres, both being supposed excentric with respect to the sun; but he could not get any such arrangement to work with uniform motion about the sun
3032_19361_000055_000000	The equants might divide the line in any arbitrary ratio.	The equants might divide the line in any arbitrary ratio.
3032_19361_000055_000001	All sorts of combinations had to be tried, the relative positions of the earth and Mars to be worked out for each, and compared with Tycho's recorded observations.	All sorts of combinations had to be tried, the relative positions of the earth and Mars to be worked out for each, and compared with Tycho's recorded observations.
3032_19361_000055_000002	It was easy to get them to agree for a short time, but sooner or later a discrepancy showed itself.	It was easy to get them to agree for a short time, but sooner or later a discrepancy showed itself.
3032_19361_000057_000001	Grope he did, however, with unexampled diligence.	Grope he did, however, with unexampled diligence.
3032_19361_000058_000000	At length he hit upon a point that seemed nearly right.	At length he hit upon a point that seemed nearly right.
3032_19361_000058_000001	He thought he had found the truth; but no, before long the position of the planet, as calculated, and as recorded by Tycho, differed by eight minutes of arc, or about one-eighth of a degree.	He thought he had found the truth; but no, before long the position of the planet, as calculated, and as recorded by Tycho, differed by eight minutes of arc, or about one eighth of a degree.
3032_19361_000058_000003	No, he had known Tycho, and knew that he was never wrong eight minutes in an observation.	No, he had known Tycho, and knew that he was never wrong eight minutes in an observation.
3032_19361_000059_000000	So he set out the whole weary way again, and said that with those eight minutes he would yet find out the law of the universe.	So he set out the whole weary way again, and said that with those eight minutes he would yet find out the law of the universe.
3032_19361_000059_000001	He proceeded to see if by making the planet librate, or the plane of its orbit tilt up and down, anything could be done.	He proceeded to see if by making the planet librate, or the plane of its orbit tilt up and down, anything could be done.
3032_19361_000059_000002	He was rewarded by finding that at any rate the plane of the orbit did not tilt up and down: it was fixed, and this was a simplification on Copernicus's theory.	He was rewarded by finding that at any rate the plane of the orbit did not tilt up and down: it was fixed, and this was a simplification on Copernicus's theory.
3032_19361_000061_000001	To simplify calculation, he divided the orbit into triangles, and tried if making the triangles equal would do.	To simplify calculation, he divided the orbit into triangles, and tried if making the triangles equal would do.
3032_19361_000061_000002	A great piece of luck, they did beautifully: the rate of description of areas (not arcs) is uniform.	A great piece of luck, they did beautifully: the rate of description of areas (not arcs) is uniform.
3032_19361_000061_000003	Over this discovery he greatly rejoices.	Over this discovery he greatly rejoices.
3032_19361_000061_000004	He feels as though he had been carrying on a war against the planet and had triumphed; but his gratulation was premature.	He feels as though he had been carrying on a war against the planet and had triumphed; but his gratulation was premature.
3032_19361_000061_000006	Thus he announces it himself:--	Thus he announces it himself:--
3032_19361_000062_000000	"While thus triumphing over Mars, and preparing for him, as for one already vanquished, tabular prisons and equated excentric fetters, it is buzzed here and there that the victory is vain, and that the war is raging anew as violently as before.	"While thus triumphing over Mars, and preparing for him, as for one already vanquished, tabular prisons and equated excentric fetters, it is buzzed here and there that the victory is vain, and that the war is raging anew as violently as before.
3032_19361_000062_000001	For the enemy left at home a despised captive has burst all the chains of the equations, and broken forth from the prisons of the tables."	For the enemy left at home a despised captive has burst all the chains of the equations, and broken forth from the prisons of the tables."
3032_19361_000063_000000	Still, a part of the truth had been gained, and was not to be abandoned any more.	Still, a part of the truth had been gained, and was not to be abandoned any more.
3032_19361_000063_000001	The law of speed was fixed: that which is now known as his second law.	The law of speed was fixed: that which is now known as his second law.
3032_19361_000063_000002	But what about the shape of the orbit--Was it after all possible that Aristotle, and every philosopher since Aristotle, had been wrong?	But what about the shape of the orbit-Was it after all possible that Aristotle, and every philosopher since Aristotle, had been wrong?
3032_19361_000063_000003	that circular motion was not the perfect and natural motion, but that planets might move in some other closed curve?	that circular motion was not the perfect and natural motion, but that planets might move in some other closed curve?
3032_19361_000064_000000	Suppose he tried an oval.	Suppose he tried an oval.
3032_19361_000064_000001	Well, there are a great variety of ovals, and several were tried: with the result that they could be made to answer better than a circle, but still were not right.	Well, there are a great variety of ovals, and several were tried: with the result that they could be made to answer better than a circle, but still were not right.
3032_19361_000065_000000	Now, however, the geometrical and mathematical difficulties of calculation, which before had been tedious and oppressive, threatened to become overwhelming; and it is with a rising sense of despondency that Kepler sees his six years' unremitting labour leading deeper and deeper into complication.	Now, however, the geometrical and mathematical difficulties of calculation, which before had been tedious and oppressive, threatened to become overwhelming; and it is with a rising sense of despondency that Kepler sees his six years' unremitting labour leading deeper and deeper into complication.
3032_19361_000066_000000	One most disheartening circumstance appeared, viz. that when he made the circuit oval his law of equable description of areas broke down.	One most disheartening circumstance appeared, viz. that when he made the circuit oval his law of equable description of areas broke down.
3032_19361_000067_000002	This coincidence, in his own words, woke him out of sleep; and for some reason or other impelled him instantly to try making the planet oscillate in the diameter of its epicycle instead of revolve round it--a singular idea, but Copernicus had had a similar one to explain the motions of Mercury.	This coincidence, in his own words, woke him out of sleep; and for some reason or other impelled him instantly to try making the planet oscillate in the diameter of its epicycle instead of revolve round it-a singular idea, but Copernicus had had a similar one to explain the motions of Mercury.
3032_19361_000069_000000	Away he started through his calculations again.	Away he started through his calculations again.
3032_19361_000069_000001	A long course of work night and day was rewarded by finding that he was now able to hit off the motions better than before; but what a singularly complicated motion it was.	A long course of work night and day was rewarded by finding that he was now able to hit off the motions better than before; but what a singularly complicated motion it was.
3032_19361_000069_000002	Could it be expressed no more simply?	Could it be expressed no more simply?
3032_19361_000069_000003	Yes, the curve so described by the planet is a comparatively simple one: it is a special kind of oval--the ellipse.	Yes, the curve so described by the planet is a comparatively simple one: it is a special kind of oval-the ellipse.
3032_19361_000069_000004	Strange that he had not thought of it before. It was a famous curve, for the Greek geometers had studied it as one of the sections of a cone, but it was not so well known in Kepler's time. The fact that the planets move in it has raised it to the first importance, and it is familiar enough to us now.	Strange that he had not thought of it before. It was a famous curve, for the Greek geometers had studied it as one of the sections of a cone, but it was not so well known in Kepler's time. The fact that the planets move in it has raised it to the first importance, and it is familiar enough to us now.
3032_19361_000069_000005	But did it satisfy the law of speed?	But did it satisfy the law of speed?
3032_19361_000069_000006	Could the rate of description of areas be uniform with it?	Could the rate of description of areas be uniform with it?
3032_19361_000069_000007	Well, he tried the ellipse, and to his inexpressible delight he found that it did satisfy the condition of equable description of areas, if the sun was in one focus.	Well, he tried the ellipse, and to his inexpressible delight he found that it did satisfy the condition of equable description of areas, if the sun was in one focus.
3032_19361_000069_000008	So, moving the planet in a selected ellipse, with the sun in one focus, at a speed given by the equable area description, its position agreed with Tycho's observations within the limits of the error of experiment.	So, moving the planet in a selected ellipse, with the sun in one focus, at a speed given by the equable area description, its position agreed with Tycho's observations within the limits of the error of experiment.
3032_19361_000069_000009	Mars was finally conquered, and remains in his prison-house to this day.	Mars was finally conquered, and remains in his prison house to this day.
3032_19361_000069_000010	The orbit was found.	The orbit was found.
3032_19361_000071_000000	In a paroxysm of delight Kepler celebrates his victory by a triumphant figure, sketched actually on his geometrical diagram--the diagram which proves that the law of equable description of areas can hold good with an ellipse.	In a paroxysm of delight Kepler celebrates his victory by a triumphant figure, sketched actually on his geometrical diagram-the diagram which proves that the law of equable description of areas can hold good with an ellipse.
3032_19361_000071_000001	The above is a tracing of it.	The above is a tracing of it.
3032_19361_000072_000000	Such is a crude and bald sketch of the steps by which Kepler rose to his great generalizations--the two laws which have immortalized his name.	Such is a crude and bald sketch of the steps by which Kepler rose to his great generalizations-the two laws which have immortalized his name.
3032_19361_000073_000000	All the complications of epicycle, equant, deferent, excentric, and the like, were swept at once away, and an orbit of striking and beautiful properties substituted.	All the complications of epicycle, equant, deferent, excentric, and the like, were swept at once away, and an orbit of striking and beautiful properties substituted.
3032_19361_000073_000001	Well might he be called, as he was, "the legislator," or law interpreter, "of the heavens."	Well might he be called, as he was, "the legislator," or law interpreter, "of the heavens."
3032_19361_000075_000000	He concludes his book on the motions of Mars with a half comic appeal to the Emperor to provide him with the sinews of war for an attack on Mars's relations--father Jupiter, brother Mercury, and the rest--but the death of his unhappy patron in 1612 put an end to all these schemes, and reduced Kepler to the utmost misery.	He concludes his book on the motions of Mars with a half comic appeal to the Emperor to provide him with the sinews of war for an attack on Mars's relations-father Jupiter, brother Mercury, and the rest-but the death of his unhappy patron in sixteen twelve put an end to all these schemes, and reduced Kepler to the utmost misery.
3032_19361_000075_000001	While at Prague his salary was in continual arrear, and it was with difficulty that he could provide sustenance for his family.	While at Prague his salary was in continual arrear, and it was with difficulty that he could provide sustenance for his family.
3032_19361_000075_000002	He had been there eleven years, but they had been hard years of poverty, and he could leave without regret were it not that he should have to leave Tycho's instruments and observations behind him.	He had been there eleven years, but they had been hard years of poverty, and he could leave without regret were it not that he should have to leave Tycho's instruments and observations behind him.
3032_19361_000075_000003	While he was hesitating what best to do, and reduced to the verge of despair, his wife, who had long been suffering from low spirits and despondency, and his three children, were taken ill; one of the sons died of small-pox, and the wife eleven days after of low fever and epilepsy.	While he was hesitating what best to do, and reduced to the verge of despair, his wife, who had long been suffering from low spirits and despondency, and his three children, were taken ill; one of the sons died of small pox, and the wife eleven days after of low fever and epilepsy.
3032_19361_000075_000004	No money could be got at Prague, so after a short time he accepted a professorship at Linz, and withdrew with his two quite young remaining children.	No money could be got at Prague, so after a short time he accepted a professorship at Linz, and withdrew with his two quite young remaining children.
3032_19361_000076_000001	He is continually attacking and throwing sarcasm at astrology, but it was the only thing for which people would pay him, and on it after a fashion he lived.	He is continually attacking and throwing sarcasm at astrology, but it was the only thing for which people would pay him, and on it after a fashion he lived.
3032_19361_000076_000002	We do not find that his circumstances were ever prosperous, and though 8,000 crowns were due to him from Bohemia he could not manage to get them paid.	We do not find that his circumstances were ever prosperous, and though eight thousand crowns were due to him from Bohemia he could not manage to get them paid.
3032_19361_000077_000000	About this time occurred a singular interruption to his work.	About this time occurred a singular interruption to his work.
3032_19361_000077_000001	His old mother, of whose fierce temper something has already been indicated, had been engaged in a law-suit for some years near their old home in Wuertemberg.	His old mother, of whose fierce temper something has already been indicated, had been engaged in a law suit for some years near their old home in Wuertemberg.
3032_19361_000077_000002	A change of judge having in process of time occurred, the defendant saw his way to turn the tables on the old lady by accusing her of sorcery.	A change of judge having in process of time occurred, the defendant saw his way to turn the tables on the old lady by accusing her of sorcery.
3032_19361_000077_000003	She was sent to prison, and condemned to the torture, with the usual intelligent idea of extracting a "voluntary" confession. Kepler had to hurry from Linz to interpose.	She was sent to prison, and condemned to the torture, with the usual intelligent idea of extracting a "voluntary" confession. Kepler had to hurry from Linz to interpose.
3032_19361_000077_000004	He succeeded in saving her from the torture, but she remained in prison for a year or so.	He succeeded in saving her from the torture, but she remained in prison for a year or so.
3032_19361_000077_000005	Her spirit, however, was unbroken, for no sooner was she released than she commenced a fresh action against her accuser.	Her spirit, however, was unbroken, for no sooner was she released than she commenced a fresh action against her accuser.
3032_19361_000077_000006	But fresh trouble was averted by the death of the poor old dame at the age of nearly eighty.	But fresh trouble was averted by the death of the poor old dame at the age of nearly eighty.
3032_19361_000078_000000	This narration renders the unflagging energy shown by her son in his mathematical wrestlings less surprising.	This narration renders the unflagging energy shown by her son in his mathematical wrestlings less surprising.
3032_19361_000080_000000	It might well have been that there was no connection, that it was purely imaginary, like his old idea of the law of the successive distances of the planets, and like so many others of the guesses and fancies which he entertained and spent his energies in probing.	It might well have been that there was no connection, that it was purely imaginary, like his old idea of the law of the successive distances of the planets, and like so many others of the guesses and fancies which he entertained and spent his energies in probing.
3032_19361_000080_000001	But fortunately this time there was a connection, and he lived to have the joy of discovering it.	But fortunately this time there was a connection, and he lived to have the joy of discovering it.
3032_19361_000081_000000	The connection is this, that if one compares the distance of the different planets from the sun with the length of time they take to go round him, the cube of the respective distances is proportional to the square of the corresponding times.	The connection is this, that if one compares the distance of the different planets from the sun with the length of time they take to go round him, the cube of the respective distances is proportional to the square of the corresponding times.
3032_19361_000081_000001	In other words, the ratio of r^3 to T^2 for every planet is the same.	In other words, the ratio of r cubed to T squared for every planet is the same.
3032_19361_000081_000003	The product of the distance into the square of the speed is the same for each planet.	The product of the distance into the square of the speed is the same for each planet.
3032_19361_000082_000000	This (however stated) is called Kepler's third law.	This (however stated) is called Kepler's third law.
3032_19361_000082_000001	It welds the planets together, and shows them to be one system.	It welds the planets together, and shows them to be one system.
3032_19361_000082_000002	His rapture on detecting the law was unbounded, and he breaks out into an exulting rhapsody:--	His rapture on detecting the law was unbounded, and he breaks out into an exulting rhapsody:--
