5304_109507_000000_000000	CHAPTER VI	CHAPTER six	true	10.77	12.16	22.058567
5304_109507_000015_000000	Godfrey sat with his head bent in thought for a moment.	Godfrey sat with his head bent in thought for a moment.	false	187.7	191.55	21.25521
5304_109507_000016_000000	"I have it!" he said.	"I have it!" he said.	true	191.55	192.96	22.970436
5304_109507_000016_000001	"At eleven-thirty every night her father and the adept go up to the roof, to remain there till midnight.	"At eleven thirty every night her father and the adept go up to the roof, to remain there till midnight.	false	192.96	198.43	16
5304_109507_000016_000002	That is the one time of the whole day when she is absolutely sure to be alone. Come along, Lester!"	That is the one time of the whole day when she is absolutely sure to be alone. Come along, Lester!"	true	198.44	203.89	16
5304_109507_000017_000000	He was on his feet now, and his voice was quivering with excitement.	He was on his feet now, and his voice was quivering with excitement.	true	203.96	207.61	19
5304_109507_000018_000000	"Where are you going?" I asked.	"Where are you going?" I asked.	true	208.01	210.01	19.50329
5304_109507_000019_000000	"Up the ladder.	"Up the ladder.	true	210.17	211.275	21.732805
5304_109507_000019_000001	It's nearly twelve.	It's nearly twelve.	true	211.275	212.625	19.507513
5304_109507_000019_000002	If the star falls as usual, we'll know that everything is all right.	If the star falls as usual, we'll know that everything is all right.	true	212.625	216.06	15
5304_109507_000019_000003	If it doesn't ..."	If it doesn't ..."	true	216.06	217.51	22.060658
5304_109507_000020_000000	He did not finish, but hurried away among the trees.	He did not finish, but hurried away among the trees.	true	217.76	220.6	19
5304_109507_000020_000001	In a moment we were at the ladder; in another moment we were high among the leaves, straining our eyes through the darkness.	In a moment we were at the ladder; in another moment we were high among the leaves, straining our eyes through the darkness.	true	220.73	227.14	14
5304_109507_000021_000000	"I'm going to look at my watch," said Godfrey, in a low voice.	"I'm going to look at my watch," said Godfrey, in a low voice.	true	227.93	231.195	18
5304_109507_000021_000001	"Lean back and screen me."	"Lean back and screen me."	true	231.195	233.14	18
5304_109507_000022_000000	I heard the flash of the match and saw a little glare of light against the nearest leaves.	I heard the flash of the match and saw a little glare of light against the nearest leaves.	true	233.39	237.67	15
5304_109507_000022_000001	Then Godfrey's voice spoke again.	Then Godfrey's voice spoke again.	true	237.71	239.95	20
5304_109507_000023_000000	"It's three minutes of twelve," he said.	"It's three minutes of twelve," he said.	true	240.35	243.19	21.455603
5304_109507_000024_000000	There was a tension in his voice which sent a shiver through me, though I understood but dimly what it was he feared.	There was a tension in his voice which sent a shiver through me, though I understood but dimly what it was he feared.	true	243.56	250.03	17
5304_109507_000024_000001	The stars were shining brightly, and once I fancied that I saw the strange star appear among them; but when I closed my eyes for an instant and looked again, it was gone.	The stars were shining brightly, and once I fancied that I saw the strange star appear among them; but when I closed my eyes for an instant and looked again, it was gone.	true	250.04	259.57	15
5304_109507_000024_000002	Slow minute followed minute, and the hand with which I clutched the ladder began to tremble.	Slow minute followed minute, and the hand with which I clutched the ladder began to tremble.	true	259.82	265.21	17
5304_109507_000024_000003	The sight of that mysterious light had shaken me the night before, but not half so deeply as its absence shook me now.	The sight of that mysterious light had shaken me the night before, but not half so deeply as its absence shook me now.	true	265.34	272.385	16
5304_109507_000024_000004	At last the suspense grew unendurable.	At last the suspense grew unendurable.	true	272.385	274.96	17
5304_109507_000025_000000	"It must be long past midnight," I whispered.	"It must be long past midnight," I whispered.	true	275.21	277.77	22
5304_109507_000026_000000	"It is," agreed Godfrey gravely; "we may as well go down."	"It is," agreed Godfrey gravely; "we may as well go down."	false	277.77	282.34	20.380621
5304_109507_000027_000000	He paused an instant longer to stare out into the darkness, then descended quickly.	He paused an instant longer to stare out into the darkness, then descended quickly.	true	282.53	287.23	18
5304_109507_000027_000001	I followed, and found him waiting, a dark shadow. He put his hand on my arm, and stood a moment, as though in indecision.	I followed, and found him waiting, a dark shadow. He put his hand on my arm, and stood a moment, as though in indecision.	true	287.36	294.79	18
5304_109507_000027_000002	For myself, I felt as though an intolerable burden had been laid upon my shoulders.	For myself, I felt as though an intolerable burden had been laid upon my shoulders.	true	295.4	300.34	13
5304_109507_000028_000000	"Well," I asked, at last, "what now?"	"Well," I asked, at last, "what now?"	true	300.71	303.37	23.155218
5304_109507_000029_000000	"We must see if Swain has returned," he answered.	"We must see if Swain has returned," he answered.	true	303.77	306.795	19
5304_109507_000029_000001	"If he has, all right.	"If he has, all right.	true	306.795	308.04	15
5304_109507_000029_000002	If he hasn't, we'll have to go and look for him."	If he hasn't, we'll have to go and look for him."	true	308.04	310.72	18
5304_109507_000030_000000	"What is it you fear, Godfrey?" I demanded.	"What is it you fear, Godfrey?" I demanded.	true	311.24	313.665	18.045103
5304_109507_000030_000001	"Do you think Swain's in danger?"	"Do you think Swain's in danger?"	true	313.665	315.34	15
5304_109507_000031_000000	"I don't know what I fear; but there's something wrong over there. This is the first night for a week that that light hasn't appeared."	"I don't know what I fear; but there's something wrong over there. This is the first night for a week that that light hasn't appeared."	true	315.71	323.65	20
5304_109507_000032_000000	"Still," I pointed out, "that may have nothing to do with Swain."	"Still," I pointed out, "that may have nothing to do with Swain."	true	324.23	328.15	20.408289
5304_109507_000033_000000	"No; but it's a coincidence that he should be in the grounds--and I'm always afraid of coincidences.	"No; but it's a coincidence that he should be in the grounds-and I'm always afraid of coincidences.	true	328.37	333.85	13
5304_109507_000033_000001	Let us see if he is back," and he turned toward the house.	Let us see if he is back," and he turned toward the house.	false	333.89	337.45	20.249567
5304_109507_000034_000000	But I held his arm.	But I held his arm.	true	337.76	339.1	18.495878
5304_109507_000035_000000	"If he's back," I said, "he'll have taken the ladders down from the wall."	"If he's back," I said, "he'll have taken the ladders down from the wall."	true	339.35	343.3	21.708313
5304_109507_000036_000000	"That's true," and together we made our way forward among the trees. Then we reached the wall, and there was the dim white line of the ladder leaning against it.	"That's true," and together we made our way forward among the trees. Then we reached the wall, and there was the dim white line of the ladder leaning against it.	true	343.76	352.3	19
5304_109507_000036_000001	Without a word, Godfrey mounted it, stood an instant at the top, and then came down again.	Without a word, Godfrey mounted it, stood an instant at the top, and then came down again.	true	352.37	356.92	17
5304_109507_000037_000000	"The other ladder is still there," he said, and took off his cap and rubbed his head perplexedly.	"The other ladder is still there," he said, and took off his cap and rubbed his head perplexedly.	true	357.38	362.83	20
5304_109507_000037_000001	I could not see his face, but I could guess how tense it was.	I could not see his face, but I could guess how tense it was.	true	363.05	366.22	19
5304_109507_000037_000002	I had been with him in many trying situations, but only once before had I seen him use that gesture!	I had been with him in many trying situations, but only once before had I seen him use that gesture!	true	366.29	372.03	15
5304_109507_000038_000000	"It won't do to alarm the house," he said, at last.	"It won't do to alarm the house," he said, at last.	false	372.03	376.245	14.742692
5304_109507_000038_000001	"Do you know where he was to meet Miss Vaughan?"	"Do you know where he was to meet Miss Vaughan?"	true	376.245	378.49	15
5304_109507_000039_000000	"At an arbour in one corner of the grounds," I answered.	"At an arbour in one corner of the grounds," I answered.	true	379.04	382.18	17.722063
5304_109507_000040_000000	"Then we'll start from there and take a quiet look for him.	"Then we'll start from there and take a quiet look for him.	true	382.58	385.74	22
5304_109507_000040_000001	Wait here for me a minute."	Wait here for me a minute."	false	385.74	387.22	20.210064
5304_109507_000041_000000	He melted into the darkness, and I stood holding on to the ladder as though in danger of falling, and staring at the top of the wall, where I had last seen Swain.	He melted into the darkness, and I stood holding on to the ladder as though in danger of falling, and staring at the top of the wall, where I had last seen Swain.	false	387.44	396.43	15
5304_109507_000041_000001	An hour and a half had passed since then....	An hour and a half had passed since then....	true	396.86	399.28	19
5304_109507_000042_000000	A touch on the arm brought me around with a start.	A touch on the arm brought me around with a start.	true	399.5	402.06	18
5304_109507_000043_000000	"Here, put this pistol in your pocket," said Godfrey's voice, and I felt the weapon pressed into my hand.	"Here, put this pistol in your pocket," said Godfrey's voice, and I felt the weapon pressed into my hand.	false	402.06	408.04	21.464697
5304_109507_000043_000001	"And here's an electric torch. Do you feel the button?"	"And here's an electric torch. Do you feel the button?"	true	408.23	411.31	22
5304_109507_000044_000000	"Yes," I said, and pressed it.	"Yes," I said, and pressed it.	true	411.59	413.745	18.52769
5304_109507_000044_000001	A ray of light shot toward the wall, but I released the button instantly.	A ray of light shot toward the wall, but I released the button instantly.	true	413.745	417.19	19
5304_109507_000045_000000	"You'd better keep it in your hand," he added, "ready for action.	"You'd better keep it in your hand," he added, "ready for action.	true	417.8	421.155	20.945093
5304_109507_000045_000001	No telling what we'll run across.	No telling what we'll run across.	true	421.155	422.985	19
5304_109507_000045_000002	And now come ahead."	And now come ahead."	true	422.985	424.3	22.872458
5304_109507_000046_000000	He put his foot on the ladder, but I stopped him.	He put his foot on the ladder, but I stopped him.	true	424.76	427.39	19.879728
5304_109507_000047_000000	"Look here, Godfrey," I said, "do you realise that what we're about to do is pretty serious?	"Look here, Godfrey," I said, "do you realise that what we're about to do is pretty serious?	true	427.73	432.97	20.177944
5304_109507_000047_000001	Swain might have a legal excuse, since the daughter of the house invited him to a meeting; but if we go over the wall, we're trespassers pure and simple.	Swain might have a legal excuse, since the daughter of the house invited him to a meeting; but if we go over the wall, we're trespassers pure and simple.	false	433.16	441.52	15
5304_109507_000047_000002	Anybody who runs across us in the darkness has the right to shoot us down without asking any questions--and we'd have no legal right to shoot back!"	Anybody who runs across us in the darkness has the right to shoot us down without asking any questions-and we'd have no legal right to shoot back!"	true	441.77	449.23	19
5304_109507_000048_000000	I could hear Godfrey chuckling, and I felt my cheeks redden.	I could hear Godfrey chuckling, and I felt my cheeks redden.	true	449.66	452.68	16
5304_109507_000049_000000	"You remind me of Tartarin," he said; "the adventurer-Tartarin urging you on, the lawyer-Tartarin holding you back.	"You remind me of Tartarin," he said; "the adventurer Tartarin urging you on, the lawyer Tartarin holding you back.	true	453.05	461.115	20.367592
5304_109507_000049_000001	My advice is to shake the lawyer, Lester.	My advice is to shake the lawyer, Lester.	true	461.115	463.665	17
5304_109507_000049_000002	He's out of his element here to-night.	He's out of his element here to night.	true	463.665	465.55	17.669514
5304_109507_000049_000003	But if he's too strong for you, why, stay here," and he started up the ladder.	But if he's too strong for you, why, stay here," and he started up the ladder.	true	465.56	470.2	21.18873
5304_109507_000050_000000	Burning with vexation, I started after him, but suddenly he stopped.	Burning with vexation, I started after him, but suddenly he stopped.	true	470.21	473.83	19
5304_109507_000051_000000	"Listen!" he whispered.	"Listen!" he whispered.	true	474.08	476.02	18.594772
5304_109507_000052_000000	I heard something rattle against the other side of the wall; then a dark figure appeared on the coping.	I heard something rattle against the other side of the wall; then a dark figure appeared on the coping.	true	476.15	481.45	19
5304_109507_000053_000000	I felt Godfrey press me back, and descended cautiously.	I felt Godfrey press me back, and descended cautiously.	true	481.55	485.05	20
5304_109507_000053_000001	A moment later, something slid down the wall, and I knew that the person at the top had lifted the other ladder over.	A moment later, something slid down the wall, and I knew that the person at the top had lifted the other ladder over.	true	485.12	490.69	14
5304_109507_000053_000002	Then the figure descended, and then a distorted face stared into the circle of Godfrey's torch.	Then the figure descended, and then a distorted face stared into the circle of Godfrey's torch.	true	490.7	495.91	16
5304_109507_000054_000000	For a breath, I did not recognise it; then I saw that it was Swain's.	For a breath, I did not recognise it; then I saw that it was Swain's.	true	496.07	500.26	18.831028
5304_109507_000055_000000	I shall never forget the shock it gave me, with its starting eyes and working mouth and smear of blood across the forehead.	I shall never forget the shock it gave me, with its starting eyes and working mouth and smear of blood across the forehead.	true	500.45	507.28	17
5304_109507_000055_000001	Godfrey, I knew, was also startled, for the light flashed out for an instant, and then flashed on again.	Godfrey, I knew, was also startled, for the light flashed out for an instant, and then flashed on again.	true	507.38	513.07	19
5304_109507_000056_000000	"What is it, Swain?" I cried, and seized him by the arm; but he shook me off roughly.	"What is it, Swain?" I cried, and seized him by the arm; but he shook me off roughly.	true	513.68	518.35	19
5304_109507_000057_000000	"Stand back!" he cried, hoarsely.	"Stand back!" he cried, hoarsely.	true	518.78	520.92	21.091331
5304_109507_000057_000001	"Who is it?	"Who is it?	true	520.92	521.625	23.774448
5304_109507_000057_000002	What do you want?"	What do you want?"	true	521.625	522.61	21.365862
5304_109507_000058_000000	"It's Lester," I said, and Godfrey flashed his torch into my face, then back to Swain's.	"It's Lester," I said, and Godfrey flashed his torch into my face, then back to Swain's.	true	522.89	528.34	20
5304_109507_000059_000000	"But you're not alone."	"But you're not alone."	true	528.86	530.11	19.788212
5304_109507_000060_000000	"No; this is Mr. Godfrey."	"No; this is mr Godfrey."	true	530.36	532.27	20.546963
5304_109507_000061_000000	"Mr.	"mr	true	532.46	532.86	15.090285
5304_109507_000061_000001	Godfrey?"	Godfrey?"	true	532.86	533.59	21.873886
5304_109507_000062_000000	"Whose house we're staying at," I explained.	"Whose house we're staying at," I explained.	true	533.93	536.65	21
5304_109507_000063_000000	"Ah!" said Swain, and put one hand to his head and leaned heavily against the ladder.	"Ah!" said Swain, and put one hand to his head and leaned heavily against the ladder.	true	536.99	541.24	15
5304_109507_000064_000000	"I think we'd better go to the house," Godfrey suggested, soothingly. "We all need a bracer.	"I think we'd better go to the house," Godfrey suggested, soothingly. "We all need a bracer.	true	541.76	546.975	17.528502
5304_109507_000064_000001	Then we can talk.	Then we can talk.	true	546.975	547.845	20
5304_109507_000064_000002	Don't you think so, Mr. Swain?"	Don't you think so, mr Swain?"	true	547.845	549.61	15
5304_109507_000065_000000	Swain nodded vacantly, but I could see that he had not understood. His face was still working and he seemed to be in pain.	Swain nodded vacantly, but I could see that he had not understood. His face was still working and he seemed to be in pain.	true	549.83	556.48	15
5304_109507_000066_000000	"I want to wash," he said, thickly.	"I want to wash," he said, thickly.	true	557.24	559.305	21.621979
5304_109507_000066_000001	"I cut my wrist on that damned glass, and I'm blood all over, and my head's wrong, somehow." His voice trailed off into an unintelligible mumble, but he held one hand up into the circle of light, and I saw that his cuff was soaked with blood and his hand streaked with it.	"I cut my wrist on that damned glass, and I'm blood all over, and my head's wrong, somehow." His voice trailed off into an unintelligible mumble, but he held one hand up into the circle of light, and I saw that his cuff was soaked with blood and his hand streaked with it.	true	559.305	574.18	17
5304_109507_000067_000000	"Come along, then," said Godfrey peremptorily.	"Come along, then," said Godfrey peremptorily.	true	574.79	577.335	19
5304_109507_000067_000001	"You're right--that cut must be attended to," and he started toward the house.	"You're right-that cut must be attended to," and he started toward the house.	true	577.335	581.35	22.252613
5304_109507_000068_000000	"Wait!" Swain called after him, with unexpected vigour.	"Wait!" Swain called after him, with unexpected vigour.	true	581.54	584.91	22.820715
5304_109507_000068_000001	"We must take down the ladders.	"We must take down the ladders.	true	584.91	586.38	20.351011
5304_109507_000068_000002	We mustn't leave them here."	We mustn't leave them here."	true	586.38	587.95	18
5304_109507_000069_000000	"Why not?"	"Why not?"	true	588.32	589.27	23.232147
5304_109507_000070_000000	"If they're found, they'll suspect--they'll know ..."	"If they're found, they'll suspect-they'll know ..."	true	589.49	591.975	20.83249
5304_109507_000070_000001	He stopped, stammering, and again his voice trailed away into a mumble, as though beyond his control.	He stopped, stammering, and again his voice trailed away into a mumble, as though beyond his control.	true	591.975	598.18	19.6301
5304_109507_000071_000000	Godfrey looked at him for a moment, and I could guess at the surprise and suspicion in his eyes.	Godfrey looked at him for a moment, and I could guess at the surprise and suspicion in his eyes.	true	598.46	603.46	16
5304_109507_000071_000001	I myself was ill at ease, for there was something in Swain's face--a sort of vacant horror and dumb shrinking--that filled me with a vague repulsion.	I myself was ill at ease, for there was something in Swain's face-a sort of vacant horror and dumb shrinking-that filled me with a vague repulsion.	true	603.53	611.92	16
5304_109507_000071_000002	And then to see his jaw working, as he tried to form articulate words and could not, sent a shiver over my scalp.	And then to see his jaw working, as he tried to form articulate words and could not, sent a shiver over my scalp.	true	612.17	619.39	19.534927
5304_109507_000072_000000	"Very well," Godfrey agreed, at last.	"Very well," Godfrey agreed, at last.	true	619.55	622.035	21.016779
5304_109507_000072_000001	"We'll take the ladders, since you think it so important.	"We'll take the ladders, since you think it so important.	true	622.035	624.84	18.80765
5304_109507_000072_000002	You take that one, Lester, and I'll take this."	You take that one, Lester, and I'll take this."	true	624.84	627.34	18
5304_109507_000073_000000	I stooped to raise the ladder to my shoulder, when suddenly, cutting the darkness like a knife, came a scream so piercing, so vibrant with fear, that I stood there crouching, every muscle rigid.	I stooped to raise the ladder to my shoulder, when suddenly, cutting the darkness like a knife, came a scream so piercing, so vibrant with fear, that I stood there crouching, every muscle rigid.	true	627.8	638.47	13
5304_109507_000073_000001	Again the scream came, more poignant, more terrible, wrung from a woman's throat by the last extremity of horror; and then a silence sickening and awful.	Again the scream came, more poignant, more terrible, wrung from a woman's throat by the last extremity of horror; and then a silence sickening and awful.	true	638.57	647.56	16
5304_109507_000073_000002	What was happening in that silence?	What was happening in that silence?	true	647.72	650.02	18
5304_109507_000074_000000	I stood erect, gaping, suffocated, rising as from a long submersion. Godfrey's finger had slipped from the button of his torch, and we were in darkness; but suddenly a dim figure hurled itself past us, up the ladder.	I stood erect, gaping, suffocated, rising as from a long submersion. Godfrey's finger had slipped from the button of his torch, and we were in darkness; but suddenly a dim figure hurled itself past us, up the ladder.	true	650.3	663.13	19
5304_109507_000075_000000	With a low cry, Godfrey snatched at it, but his hand clutched only the empty air.	With a low cry, Godfrey snatched at it, but his hand clutched only the empty air.	true	663.26	667.84	17
5304_109507_000075_000001	The next instant, the figure poised itself on the coping of the wall and then plunged forward out of sight.	The next instant, the figure poised itself on the coping of the wall and then plunged forward out of sight.	true	667.97	673.66	20.445988
5304_109507_000075_000002	I heard the crash of breaking branches, a scramble, a patter of feet, and all was still.	I heard the crash of breaking branches, a scramble, a patter of feet, and all was still.	true	673.76	678.75	17
5304_109507_000076_000000	"It's Swain!" said Godfrey, hoarsely; "and that's a twelve-foot drop! Why, the man's mad!	"It's Swain!" said Godfrey, hoarsely; "and that's a twelve foot drop! Why, the man's mad!	false	678.75	684.99	20.060526
5304_109507_000076_000001	Hand me that ladder, Lester!" he added, for he was already at the top of the wall.	Hand me that ladder, Lester!" he added, for he was already at the top of the wall.	false	684.99	689.5	20
5304_109507_000077_000000	I lifted it, as I had done once before that night, and saw Godfrey slide it over the wall.	I lifted it, as I had done once before that night, and saw Godfrey slide it over the wall.	true	689.81	694.75	14
5304_109507_000078_000000	"Come on!" he said.	"Come on!" he said.	true	694.82	696.255	23.879631
5304_109507_000078_000001	"We must save him if we can!" and he, too, disappeared.	"We must save him if we can!" and he, too, disappeared.	true	696.255	699.79	21
5304_109507_000079_000000	The next instant, I was scrambling desperately after him.	The next instant, I was scrambling desperately after him.	true	699.83	703.63	18
5304_109507_000079_000001	The lawyer-Tartarin had vanished!	The lawyer Tartarin had vanished!	false	703.82	720.93	18.346983
